[('Local', 'JJ')] 
[('', 'NN')] 
[('months', 'NNS')] 
[('old', 'JJ')] 
[('', 'NN')] 
[('Harlan', 'NN')] 
[('', 'NN')] 
[('Indianapolis', 'NNS')] 
[('', 'NN')] 
[('IN', 'NN')] 
[('', 'NN')] 
[('received', 'VBN')] 
[('unilateralfemoral', 'JJ')] 
[('implants', 'NNS')] 
[('left', 'NN')] 
[('femur', 'NN')] 
[('IACUC', 'NN')] 
[('approvalstudy', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('implantations', 'NNS')] 
[('performed', 'VBN')] 
[('anesthesia', 'NN')] 
[('using', 'VBG')] 
[('ketamine', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mg/kg', 'NN')] 
[('ip', 'NN')] 
[('', 'NN')] 
[('xylazine', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mg/kg', 'NN')] 
[('ip', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('supplemented', 'VBN')] 
[('necessary', 'JJ')] 
[('', 'NN')] 
[('Each', 'DT')] 
[('hind', 'NN')] 
[('limb', 'NN')] 
[('first', 'RB')] 
[('shavedand', 'NN')] 
[('scrubbed', 'NN')] 
[('Betadine', 'NN')] 
[('alcohol', 'NN')] 
[('', 'NN')] 
[('Using', 'VBG')] 
[('aseptictechnique', 'NN')] 
[('', 'NN')] 
[('cm', 'NN')] 
[('incision', 'NN')] 
[('medial', 'NN')] 
[('patella', 'NN')] 
[('made', 'VBN')] 
[('toexpose', 'NN')] 
[('knee', 'NN')] 
[('joint', 'NN')] 
[('', 'NN')] 
[('A', 'DT')] 
[('mm', 'NN')] 
[('hole', 'NN')] 
[('drilled', 'VBN')] 
[('thepatellar', 'NN')] 
[('groove', 'NN')] 
[('Dremel', 'NN')] 
[('drill', 'NN')] 
[('bit', 'NN')] 
[('penetrate', 'NN')] 
[('thesubchondral', 'JJ')] 
[('cortical', 'JJ')] 
[('bone', 'NN')] 
[('gain', 'NN')] 
[('access', 'NN')] 
[('femoralmedullary', 'JJ')] 
[('canal', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('marrow', 'NN')] 
[('cavity', 'NN')] 
[('disrupted', 'VBN')] 
[('inserting', 'VBG')] 
[('threaded', 'VBD')] 
[('hand', 'NN')] 
[('drill', 'NN')] 
[('proximally', 'RB')] 
[('entire', 'JJ')] 
[('length', 'NN')] 
[('diaphysis', 'NN')] 
[('approximately', 'RB')] 
[('level', 'NN')] 
[('thelesser', 'NN')] 
[('trochanter', 'NN')] 
[('', 'NN')] 
[('A', 'DT')] 
[('guide', 'NN')] 
[('implant', 'NN')] 
[('placed', 'VBN')] 
[('theablated', 'VBN')] 
[('cavity', 'NN')] 
[('ensure', 'VB')] 
[('canal', 'NN')] 
[('appropriatesize', 'VB')] 
[('accommodate', 'NN')] 
[('definitive', 'JJ')] 
[('implant', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('cavity', 'NN')] 
[('wasthen', 'NN')] 
[('flushed', 'VBN')] 
[('', 'NN')] 
[('ml', 'NN')] 
[('sterile', 'NN')] 
[('saline', 'NN')] 
[('removal', 'NN')] 
[('loosemarrow', 'NN')] 
[('contents', 'NNS')] 
[('', 'NN')] 
[('Following', 'VBG')] 
[('irrigation', 'NN')] 
[('', 'NN')] 
[('implant', 'NN')] 
[('wasplaced', 'VBD')] 
[('canal', 'NN')] 
[('', 'NN')] 
[('Bone', 'NN')] 
[('wax', 'NN')] 
[('used', 'VBN')] 
[('plug', 'NN')] 
[('distal', 'NN')] 
[('end', 'NN')] 
[('femur', 'NN')] 
[('', 'NN')] 
[('vicryl', 'NN')] 
[('sutures', 'NNS')] 
[('protected', 'VBN')] 
[('staples', 'NNS')] 
[('used', 'VBN')] 
[('seal', 'NN')] 
[('wound', 'NN')] 
[('', 'NN')] 
[('At', 'IN')] 
[('', 'NN')] 
[('days', 'NNS')] 
[('', 'NN')] 
[('rats', 'NNS')] 
[('wereeuthanized', 'VBN')] 
[('carbon', 'NN')] 
[('dioxide', 'NN')] 
[('chamber', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('femurs', 'NNS')] 
[('forACT', 'NN')] 
[('mechanical', 'JJ')] 
[('testing', 'VBG')] 
[('harvested', 'VBN')] 
[('', 'NN')] 
[('denuded', 'VBN')] 
[('soft', 'JJ')] 
[('tissue', 'NN')] 
[('', 'NN')] 
[('frozen', 'NNS')] 
[('/CC', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('femurs', 'NNS')] 
[('histology', 'NN')] 
[('placed', 'VBN')] 
[('', 'NN')] 
[('%', 'NN')] 
[('neutral', 'JJ')] 
[('buffered', 'VBN')] 
[('formalin', 'NN')] 
[('', 'NN')] 
[('Microcomputed', 'VBN')] 
[('tomography', 'NN')] 
[('', 'NN')] 
[('lCT', 'NN')] 
[('', 'NN')] 
[('determination', 'NN')] 
[('periimplant', 'NN')] 
[('bone', 'NN')] 
[('volume', 'NN')] 
[('boneimplant', 'NN')] 
[('contact', 'NN')] 
[('ACT', 'NN')] 
[('', 'NN')] 
[('Scanco', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Scanco', 'NN')] 
[('USA', 'NNP')] 
[('', 'NN')] 
[('Wayne', 'NNP')] 
[('', 'NN')] 
[('PA', 'NN')] 
[('', 'NN')] 
[('scans', 'NNS')] 
[('taken', 'VBN')] 
[('seven', 'CD')] 
[('evenly', 'RB')] 
[('spaced', 'VBN')] 
[('slices', 'NNS')] 
[('along', 'IN')] 
[('length', 'NN')] 
[('theimplant', 'NN')] 
[('', 'NN')] 
[('Fig', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('scan', 'JJ')] 
[('resolution', 'NN')] 
[('', 'NN')] 
[('Am', 'NN')] 
[('plane', 'NN')] 
[('slice', 'NN')] 
[('thickness', 'NN')] 
[('', 'NN')] 
[('Am', 'NN')] 
[('', 'NN')] 
[('At', 'IN')] 
[('proximal', 'NN')] 
[('four', 'CD')] 
[('sections', 'NNS')] 
[('', 'NN')] 
[('slices', 'NNS')] 
[('analyzed', 'VBN')] 
[('bone', 'NN')] 
[('volume', 'NN')] 
[('per', 'IN')] 
[('totalvolume', 'NN')] 
[('', 'NN')] 
[('BV/TV', 'NN')] 
[('', 'NN')] 
[('masking', 'VBG')] 
[('implant', 'NN')] 
[('adjacentA', 'NN')] 
[('', 'NN')] 
[('De', 'NNP')] 
[('Ranieri', 'NN')] 
[('et', 'NN')] 
[('al', 'NN')] 
[('', 'NN')] 
[('/', 'NN')] 
[('Bone', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('voxels', 'NNS')] 
[('cortical', 'JJ')] 
[('bone', 'NN')] 
[('define', 'NN')] 
[('total', 'JJ')] 
[('volume', 'NN')] 
[('', 'NN')] 
[('MatLab', 'NN')] 
[('', 'NN')] 
[('MathWorks', 'NNS')] 
[('', 'NN')] 
[('Inc', 'NNP')] 
[('', 'NN')] 
[('Natick', 'NN')] 
[('', 'NN')] 
[('MA', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('adjacent', 'NN')] 
[('voxels', 'NNS')] 
[('masked', 'NNS')] 
[('addition', 'NN')] 
[('implant', 'NN')] 
[('testimages', 'NNS')] 
[('found', 'NN')] 
[('metalinduced', 'VBN')] 
[('artifacts', 'NNS')] 
[('voxels', 'NNS')] 
[('', 'NN')] 
[('consistent', 'NN')] 
[('recent', 'JJ')] 
[('report', 'NN')] 
[('[', 'NN')] 
[('', 'NN')] 
[(']', 'NN')] 
[('', 'NN')] 
[('BV/TV', 'NN')] 
[('calculated', 'VBN')] 
[('binarizing', 'NN')] 
[('region', 'NN')] 
[('interest', 'NN')] 
[('threshold', 'NN')] 
[('equivalent', 'NN')] 
[('to¨', 'NN')] 
[('Scanco', 'NN')] 
[('software', 'NN')] 
[('', 'NN')] 
[('This', 'DT')] 
[('area', 'NN')] 
[('femur', 'NN')] 
[('normally', 'RB')] 
[('devoid', 'NN')] 
[('bone', 'NN')] 
[('assumption', 'NN')] 
[('made', 'VBN')] 
[('thatbone', 'NN')] 
[('found', 'NN')] 
[('within', 'IN')] 
[('medullary', 'NN')] 
[('cavity', 'NN')] 
[('sections', 'NNS')] 
[('through', 'IN')] 
[('', 'NN')] 
[('formed', 'VBN')] 
[('since', 'IN')] 
[('surgery', 'NN')] 
[('', 'NN')] 
[('Boneimplant', 'NN')] 
[('contactwas', 'NN')] 
[('measured', 'VBN')] 
[('seven', 'CD')] 
[('levels', 'NNS')] 
[('using', 'VBG')] 
[('grid', 'NN')] 
[('testlines', 'NNS')] 
[('radiated', 'VBN')] 
[('outward', 'NN')] 
[('center', 'NN')] 
[('implantand', 'NN')] 
[('counting', 'NN')] 
[('number', 'NN')] 
[('test', 'NN')] 
[('lineimplant', 'NN')] 
[('interface', 'NN')] 
[('intersections', 'NNS')] 
[('positive', 'JJ')] 
[('bone', 'NN')] 
[('dividing', 'VBG')] 
[('sum', 'NN')] 
[('total', 'JJ')] 
[('number', 'NN')] 
[('test', 'NN')] 
[('linegrid', 'NN')] 
[('intersections', 'NNS')] 
[('', 'NN')] 
[('The', 'DT')] 
[('criteria', 'NNS')] 
[('forassigning', 'VBG')] 
[('intersection', 'NN')] 
[('positive', 'JJ')] 
[('bone', 'NN')] 
[('conservative', 'JJ')] 
[('', 'NN')] 
[('requiring', 'VBG')] 
[('intersection', 'NN')] 
[('morphology', 'NN')] 
[('typicalof', 'NN')] 
[('bone', 'NN')] 
[('well', 'RB')] 
[('appropriate', 'NN')] 
[('grey', 'NN')] 
[('scale', 'NN')] 
[('intensity', 'NN')] 
[('', 'NN')] 
[('Forboneimplant', 'NN')] 
[('contact', 'NN')] 
[('', 'NN')] 
[('voxels', 'NNS')] 
[('immediately', 'RB')] 
[('adjacent', 'NN')] 
[('tothe', 'NN')] 
[('implant', 'NN')] 
[('excluded', 'VBN')] 
[('assumed', 'VBN')] 
[('boneimplant', 'NN')] 
[('contact', 'NN')] 
[('could', 'MD')] 
[('judged', 'NN')] 
[('eye', 'NN')] 
[('', 'NN')] 
[('Assessment', 'NN')] 
[('ofboneimplant', 'NN')] 
[('contact', 'NN')] 
[('performed', 'VBN')] 
[('one', 'CD')] 
[('individual', 'JJ')] 
[('blinded', 'VBN')] 
[('treatment', 'NN')] 
[('status', 'NN')] 
[('found', 'NN')] 
[('ahigh', 'NN')] 
[('intraobserver', 'NN')] 
[('degree', 'NN')] 
[('reproducibility', 'NN')] 
[('', 'NN')] 
[('r=', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('P', 'NN')] 
[('<', 'NN')] 
[('', 'NN')] 
[('repeated', 'VBN')] 
[('measurements', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('Mechanical', 'JJ')] 
[('pullout', 'NN')] 
[('test', 'NN')] 
[('Following', 'VBG')] 
[('ACT', 'NN')] 
[('scanning', 'VBG')] 
[('', 'NN')] 
[('mechanical', 'JJ')] 
[('pullout', 'NN')] 
[('test', 'NN')] 
[('measure', 'NN')] 
[('strength', 'NN')] 
[('fixation', 'NN')] 
[('implant', 'NN')] 
[('host', 'NN')] 
[('bone', 'NN')] 
[('performed', 'VBN')] 
[('', 'NN')] 
[('To', 'TO')] 
[('prepare', 'NN')] 
[('specimen', 'NNS')] 
[('', 'NN')] 
[('proximalpart', 'NN')] 
[('femur', 'NN')] 
[('embedded', 'VBN')] 
[('dental', 'NN')] 
[('acrylic', 'NN')] 
[('', 'NN')] 
[('LangDental', 'JJ')] 
[('', 'NN')] 
[('Wheeling', 'VBG')] 
[('', 'NN')] 
[('IL', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mm', 'NN')] 
[('implant', 'NN')] 
[('wasexposed', 'VBN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('exposed', 'VBN')] 
[('implant', 'NN')] 
[('gripped', 'NNS')] 
[('S', 'NN')] 
[('hookswere', 'RB')] 
[('placed', 'VBN')] 
[('either', 'DT')] 
[('end', 'NN')] 
[('specimen', 'NNS')] 
[('permit', 'NN')] 
[('coaxialalignment', 'NN')] 
[('implant', 'NN')] 
[('direction', 'NN')] 
[('force', 'NN')] 
[('', 'NN')] 
[('Pullouttesting', 'VBG')] 
[('conducted', 'VBN')] 
[('displacement', 'NN')] 
[('rate', 'NN')] 
[('', 'NN')] 
[('mm/', 'NN')] 
[('min', 'NN')] 
[('failure', 'NN')] 
[('force', 'NN')] 
[('recorded', 'VBN')] 
[('Newtons', 'NNS')] 
[('', 'NN')] 
[('Instron', 'NNP')] 
[('model', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Canton', 'NN')] 
[('', 'NN')] 
[('MA', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Because', 'IN')] 
[('part', 'NN')] 
[('implantexposed', 'VBN')] 
[('gripping', 'VBG')] 
[('varied', 'NNS')] 
[('', 'NN')] 
[('report', 'NN')] 
[('shear', 'NN')] 
[('strength', 'NN')] 
[('ascalculated', 'VBN')] 
[('dividing', 'VBG')] 
[('force', 'NN')] 
[('', 'NN')] 
[('N', 'NN')] 
[('', 'NN')] 
[('point', 'NN')] 
[('failure', 'NN')] 
[('bythe', 'NN')] 
[('surface', 'NN')] 
[('area', 'NN')] 
[('implant', 'NN')] 
[('nominally', 'RB')] 
[('contact', 'NN')] 
[('withtissue', 'NN')] 
[('', 'NN')] 
[('implant', 'NN')] 
[('circumference', 'NN')] 
[('/Cimplant', 'NN')] 
[('length', 'NN')] 
[('exposed', 'VBN')] 
[('gripping', 'VBG')] 
[('', 'NN')] 
[('', 'NN')] 
[('One', 'CD')] 
[('specimen', 'NNS')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('included', 'VBD')] 
[('Fig', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Contact', 'NN')] 
[('radiograph', 'NN')] 
[('rat', 'NN')] 
[('femur', 'NN')] 
[('implant', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('lines', 'NNS')] 
[('show', 'NN')] 
[('locations', 'NNS')] 
[('microcomputed', 'VBN')] 
[('tomography', 'NN')] 
[('slices', 'NNS')] 
[('', 'NN')] 
[('Slices', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('used', 'VBN')] 
[('measurement', 'NN')] 
[('bone', 'NN')] 
[('volume', 'NN')] 
[('area', 'NN')] 
[('implant', 'NN')] 
[('endocortical', 'JJ')] 
[('surface', 'NN')] 
[('', 'NN')] 
[('All', 'DT')] 
[('', 'NN')] 
[('slices', 'NNS')] 
[('used', 'VBN')] 
[('measurement', 'NN')] 
[('boneimplant', 'NN')] 
[('contact', 'NN')] 
[('', 'NN')] 
[('Scale', 'NN')] 
[('bar', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mm', 'NN')] 
[('', 'NN')] 
[('Fig', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Release', 'NN')] 
[('kinetics', 'NNS')] 
[('', 'NN')] 
[('A', 'DT')] 
[('', 'NN')] 
[('implant', 'NN')] 
[('treated', 'VBN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('B', 'NN')] 
[('', 'NN')] 
[('implant', 'NN')] 
[('treated', 'VBN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('cumulative', 'JJ')] 
[('release', 'NN')] 
[('plotted', 'VBN')] 
[('function', 'NN')] 
[('time', 'NN')] 
[('', 'NN')] 
[('Note', 'NN')] 
[('fold', 'NN')] 
[('difference', 'NN')] 
[('scale', 'NN')] 
[('thevertical', 'JJ')] 
[('axis', 'NN')] 
[('two', 'CD')] 
[('graphsA', 'NN')] 
[('', 'NN')] 
[('De', 'NNP')] 
[('Ranieri', 'NN')] 
[('et', 'NN')] 
[('al', 'NN')] 
[('', 'NN')] 
[('/', 'NN')] 
[('Bone', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('technical', 'JJ')] 
[('problem', 'NN')] 
[('testing', 'VBG')] 
[('', 'NN')] 
[('To', 'TO')] 
[('determine', 'NN')] 
[('baseline', 'NN')] 
[('strength', 'NN')] 
[('fixation', 'NN')] 
[('', 'NN')] 
[('implants', 'NNS')] 
[('placed', 'VBN')] 
[('rat', 'NN')] 
[('femurs', 'NNS')] 
[('ex', 'NN')] 
[('vivo', 'NN')] 
[('following', 'VBG')] 
[('surgical', 'JJ')] 
[('protocol', 'NN')] 
[('exceptthat', 'RB')] 
[('site', 'NN')] 
[('irrigated', 'VBN')] 
[('', 'NN')] 
[('These', 'DT')] 
[('specimens', 'NNS')] 
[('thensubjected', 'VBN')] 
[('pullout', 'NN')] 
[('testStatistical', 'JJ')] 
[('analyses', 'NNS')] 
[('The', 'DT')] 
[('morphometric', 'NN')] 
[('mechanical', 'JJ')] 
[('data', 'NNS')] 
[('appeared', 'VBD')] 
[('normally', 'RB')] 
[('distributed', 'VBN')] 
[('', 'NN')] 
[('therefore', 'RB')] 
[('', 'NN')] 
[('analyzed', 'VBN')] 
[('byanalysis', 'NN')] 
[('variance', 'NN')] 
[('Bonferonni', 'NN')] 
[('corrected', 'VBN')] 
[('post', 'NN')] 
[('hoctests', 'NNS')] 
[('', 'NN')] 
[('repeated', 'VBN')] 
[('measures', 'NNS')] 
[('analyses', 'NNS')] 
[('variance', 'NN')] 
[('stepwisemultiple', 'NN')] 
[('regression', 'NN')] 
[('', 'NN')] 
[('SPSS', 'NN')] 
[('version', 'NN')] 
[('', 'NN')] 
[('Windows', 'NNS')] 
[('', 'NN')] 
[('SPSS', 'NN')] 
[('', 'NN')] 
[('Inc', 'NNP')] 
[('', 'NN')] 
[('Chicago', 'NNP')] 
[('', 'NN')] 
[('IL', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Results', 'NNS')] 
[('In', 'IN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('loaded', 'VBN')] 
[('implants', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('%', 'NN')] 
[('adsorbed', 'NNS')] 
[('TGF', 'NN')] 
[('hwas', 'NN')] 
[('released', 'VBN')] 
[('medium', 'NN')] 
[('', 'NN')] 
[('predominately', 'RB')] 
[('within', 'IN')] 
[('first', 'RB')] 
[('', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('Fig', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('There', 'EX')] 
[('slow', 'VB')] 
[('release', 'NN')] 
[('', 'NN')] 
[('h', 'NN')] 
[('Inspection', 'NN')] 
[('ACT', 'NN')] 
[('images', 'NNS')] 
[('showed', 'VBD')] 
[('implants', 'NNS')] 
[('treated', 'VBN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('dose', 'NN')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('typically', 'RB')] 
[('zone', 'NN')] 
[('mineralized', 'VBN')] 
[('bone', 'NN')] 
[('periimplant', 'NN')] 
[('region', 'NN')] 
[('', 'NN')] 
[('lowerdose', 'NN')] 
[('control', 'NN')] 
[('groups', 'NNS')] 
[('apparent', 'NN')] 
[('increase', 'NN')] 
[('bone', 'NN')] 
[('', 'NN')] 
[('Fig', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Histology', 'NN')] 
[('showed', 'VBD')] 
[('typically', 'RB')] 
[('thin', 'NN')] 
[('layer', 'NN')] 
[('bone', 'NN')] 
[('formed', 'VBN')] 
[('HA/TCP', 'NN')] 
[('surfacewhether', 'NN')] 
[('implant', 'NN')] 
[('treated', 'VBN')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('Figs', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('A', 'DT')] 
[('B', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('This', 'DT')] 
[('layer', 'NN')] 
[('', 'NN')] 
[('Am', 'NN')] 
[('thick', 'NN')] 
[('', 'NN')] 
[('Along', 'IN')] 
[('aspects', 'NNS')] 
[('implant', 'NN')] 
[('apparent', 'NN')] 
[('connections', 'NNS')] 
[('thin', 'NN')] 
[('layer', 'NN')] 
[('surroundingbone', 'NN')] 
[('', 'NN')] 
[('except', 'IN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('dose', 'NN')] 
[('group', 'NN')] 
[('', 'NN')] 
[('In', 'IN')] 
[('addition', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('dose', 'NN')] 
[('group', 'NN')] 
[('', 'NN')] 
[('often', 'RB')] 
[('rim', 'NN')] 
[('bone', 'NN')] 
[('separated', 'VBN')] 
[('implant', 'NN')] 
[('space', 'NN')] 
[('', 'NN')] 
[('Am', 'NN')] 
[('wide', 'JJ')] 
[('often', 'RB')] 
[('filled', 'VBN')] 
[('apparent', 'NN')] 
[('unmineralized', 'JJ')] 
[('osteoid', 'NN')] 
[('', 'NN')] 
[('Figs', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('C', 'SYM')] 
[('D', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Fig', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Microcomputed', 'VBN')] 
[('tomography', 'NN')] 
[('images', 'NNS')] 
[('slice', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('weeks', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('A', 'DT')] 
[('', 'NN')] 
[('Control', 'NN')] 
[('implant', 'NN')] 
[('treated', 'VBN')] 
[('buffer', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('B', 'NN')] 
[('', 'NN')] 
[('Implant', 'NN')] 
[('treated', 'VBN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('rhTGF', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('C', 'SYM')] 
[('', 'NN')] 
[('Implant', 'NN')] 
[('treated', 'VBN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('rhTGF', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('D', 'NN')] 
[('', 'NN')] 
[('Implant', 'NN')] 
[('treated', 'VBN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('rhTGF', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('Note', 'NN')] 
[('increased', 'VBN')] 
[('bone', 'NN')] 
[('formation', 'NN')] 
[('adjacent', 'NN')] 
[('implant', 'NN')] 
[('treated', 'VBN')] 
[('highest', 'JJS')] 
[('dose', 'NN')] 
[('growth', 'NN')] 
[('factor', 'NN')] 
[('', 'NN')] 
[('Scale', 'NN')] 
[('bar', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mm', 'NN')] 
[('', 'NN')] 
[('Fig', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Photomicrographs', 'NN')] 
[('boneimplant', 'NN')] 
[('interface', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('A', 'DT')] 
[('', 'NN')] 
[('Control', 'NN')] 
[('implant', 'NN')] 
[('treated', 'VBN')] 
[('buffer', 'NN')] 
[('', 'NN')] 
[('scale', 'NN')] 
[('bar', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Am', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('B', 'NN')] 
[('', 'NN')] 
[('enlarged', 'VBN')] 
[('region', 'NN')] 
[('panel', 'NN')] 
[('A', 'DT')] 
[('', 'NN')] 
[('showing', 'VBG')] 
[('thin', 'NN')] 
[('layer', 'NN')] 
[('bone', 'NN')] 
[('interface', 'NN')] 
[('', 'NN')] 
[('see', 'VB')] 
[('arrow', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('scale', 'NN')] 
[('bar', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Am', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('C', 'SYM')] 
[('', 'NN')] 
[('implant', 'NN')] 
[('treated', 'VBN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('TGF', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('showing', 'VBG')] 
[('gap', 'NN')] 
[('newly', 'RB')] 
[('formed', 'VBN')] 
[('bone', 'NN')] 
[('implant', 'NN')] 
[('', 'NN')] 
[('see', 'VB')] 
[('asterisk', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('scale', 'NN')] 
[('bar', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Am', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('D', 'NN')] 
[('', 'NN')] 
[('enlarged', 'VBN')] 
[('region', 'NN')] 
[('panel', 'NN')] 
[('C', 'SYM')] 
[('', 'NN')] 
[('showing', 'VBG')] 
[('gap', 'NN')] 
[('region', 'NN')] 
[('occupied', 'VBN')] 
[('apparent', 'NN')] 
[('osteoid', 'NN')] 
[('', 'NN')] 
[('scale', 'NN')] 
[('bar', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Am', 'NN')] 
[('', 'NN')] 
[('A', 'DT')] 
[('', 'NN')] 
[('De', 'NNP')] 
[('Ranieri', 'NN')] 
[('et', 'NN')] 
[('al', 'NN')] 
[('', 'NN')] 
[('/', 'NN')] 
[('Bone', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('quantitative', 'NN')] 
[('study', 'NN')] 
[('BV/TV', 'NN')] 
[('showed', 'VBD')] 
[('dose', 'NN')] 
[('significant', 'JJ')] 
[('factor', 'NN')] 
[('', 'NN')] 
[('P', 'NN')] 
[('<', 'NN')] 
[('', 'NN')] 
[('analysis', 'NN')] 
[('variance', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('group', 'NN')] 
[('significantly', 'RB')] 
[('elevated', 'VBN')] 
[('BV/TV', 'NN')] 
[('compared', 'VBN')] 
[('groups', 'NNS')] 
[('', 'NN')] 
[('P', 'NN')] 
[('<', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Fig', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('A', 'DT')] 
[('', 'NN')] 
[('', 'NN')] 
[('Similarly', 'RB')] 
[('', 'NN')] 
[('boneimplant', 'NN')] 
[('contact', 'NN')] 
[('varied', 'NNS')] 
[('function', 'NN')] 
[('dose', 'NN')] 
[('', 'NN')] 
[('P', 'NN')] 
[('<', 'NN')] 
[('', 'NN')] 
[('analysis', 'NN')] 
[('variance', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Ag', 'NN')] 
[('group', 'NN')] 
[('significantly', 'RB')] 
[('elevated', 'VBN')] 
[('boneimplant', 'NN')] 
[('contact', 'NN')] 
[('compared', 'VBN')] 
[('groups', 'NNS')] 
[('', 'NN')] 
[('P', 'NN')] 
