[('Selective', 'JJ')] 
[('mmol/L', 'NN')] 
[('MgCl', 'NN')] 
[('', 'NN')] 
[('mmol/L', 'NN')] 
[('CaCl', 'NN')] 
[('', 'NN')] 
[('pH', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('After', 'IN')] 
[('saturation', 'NN')] 
[('', 'NN')] 
[('fluid', 'NN')] 
[('aspirated', 'VBN')] 
[('plate', 'NN')] 
[('washed', 'VBN')] 
[('three', 'CD')] 
[('times', 'NNS')] 
[('PBS', 'NNP')] 
[('', 'NN')] 
[('Rat', 'NN')] 
[('Calvarial', 'JJ')] 
[('Cell', 'NN')] 
[('Isolation', 'NN')] 
[('Culture', 'NN')] 
[('Cells', 'NNS')] 
[('enzymatically', 'RB')] 
[('isolated', 'JJ')] 
[('calvariae', 'NN')] 
[('dayold', 'NN')] 
[('Wistarratfetusesbysequentialdigestionwithcollagenaseandthe', 'NN')] 
[('populations', 'NNS')] 
[('obtained', 'VBN')] 
[('digestion', 'NN')] 
[('step', 'NN')] 
[('', 'NN')] 
[('IV', 'NN')] 
[('', 'NN')] 
[('platedinto', 'NN')] 
[('', 'NN')] 
[('cm', 'NN')] 
[('tissue', 'NN')] 
[('culture', 'NN')] 
[('flasks', 'NNS')] 
[('aMEM', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('%', 'NN')] 
[('heatinactivated', 'VBN')] 
[('FCSwithantibiotics', 'NNS')] 
[('', 'NN')] 
[('IU/mLpenicillinIU/mLstreptomycin', 'NN')] 
[('', 'NN')] 
[('After', 'IN')] 
[('', 'NN')] 
[('h', 'NN')] 
[('°C', 'NN')] 
[('', 'NN')] 
[('cells', 'NNS')] 
[('released', 'VBN')] 
[('', 'NN')] 
[('%', 'NN')] 
[('trypsin', 'NN')] 
[('incitratesaline', 'NN')] 
[('', 'NN')] 
[('counted', 'VBN')] 
[('', 'NN')] 
[('resuspended', 'VBN')] 
[('different', 'JJ')] 
[('media', 'NNS')] 
[('depending', 'VBG')] 
[('experiment', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('populations', 'NNS')] 
[('used', 'VBN')] 
[('cellattachmentexperiments', 'NNS')] 
[('pools', 'NNS')] 
[('digests', 'NNS')] 
[('IIV', 'NN')] 
[('', 'NN')] 
[('except', 'IN')] 
[('individualdigestsweretested', 'VBN')] 
[('', 'NN')] 
[('see', 'VB')] 
[('ResultsandFigure', 'NN')] 
[('', 'NN')] 
[('Inexperimentsaimed', 'VBN')] 
[('assessing', 'VBG')] 
[('effect', 'NN')] 
[('dexamethasone', 'NN')] 
[('', 'NN')] 
[('Dex', 'NN')] 
[('', 'NN')] 
[('bone', 'NN')] 
[('noduleformationinthesuccessivepopulations', 'NNS')] 
[('', 'NN')] 
[('cellsfromeachdigest', 'NN')] 
[('', 'NN')] 
[('IV', 'NN')] 
[('', 'NN')] 
[('plated', 'VBN')] 
[('independently', 'RB')] 
[('', 'NN')] 
[('/cm', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('naMEM', 'NN')] 
[('', 'NN')] 
[('containing', 'VBG')] 
[('', 'NN')] 
[('%', 'NN')] 
[('FCS', 'NN')] 
[('', 'NN')] 
[('antibiotics', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('mmol/L', 'NN')] 
[('ascorbic', 'NN')] 
[('acid', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mmol/L', 'NN')] 
[('bglycerophosphate', 'NN')] 
[('', 'NN')] 
[('culturemedium', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('thengrownfordaysinthe', 'NN')] 
[('medium', 'NN')] 
[('without', 'IN')] 
[('', 'NN')] 
[('nmol/L', 'NN')] 
[('Dex', 'NN')] 
[('', 'NN')] 
[('medium', 'NN')] 
[('waschanged', 'VBD')] 
[('every', 'DT')] 
[('', 'NN')] 
[('days', 'NNS')] 
[('', 'NN')] 
[('The', 'DT')] 
[('cultures', 'NNS')] 
[('fixed', 'VBN')] 
[('bonenodules', 'NNS')] 
[('counted', 'VBN')] 
[('Von', 'NNP')] 
[('Kossa', 'NNP')] 
[('staining', 'VBG')] 
[('invertedmicroscope', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Assays', 'NNS')] 
[('Osteoprogenitor', 'NN')] 
[('Attachment', 'NN')] 
[('Timelimited', 'VBN')] 
[('cell', 'NN')] 
[('attachment', 'NN')] 
[('assay', 'NN')] 
[('', 'NN')] 
[('Harvested', 'VBN')] 
[('cells', 'NNS')] 
[('resus', 'NN')] 
[('pended', 'VBN')] 
[('aMEM', 'NN')] 
[('', 'NN')] 
[('containing', 'VBG')] 
[('', 'NN')] 
[('%', 'NN')] 
[('BSA', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mmol/L', 'NN')] 
[('Lcysteine', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mmol/L', 'NN')] 
[('sodium', 'NN')] 
[('pyruvate', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mg/mL', 'NN')] 
[('transferrin', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('mmol/L', 'NN')] 
[('ascorbic', 'NN')] 
[('acid', 'NN')] 
[('', 'NN')] 
[('antibiotics', 'NNS')] 
[('', 'NN')] 
[('left', 'NN')] 
[('recover', 'NN')] 
[('°C', 'NN')] 
[('min', 'NN')] 
[('', 'NN')] 
[('For', 'IN')] 
[('timelimited', 'VBN')] 
[('cellattachment', 'NN')] 
[('assays', 'NNS')] 
[('', 'NN')] 
[('Figure', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('cells', 'NNS')] 
[('plated', 'VBN')] 
[('', 'NN')] 
[('cells/cm', 'NN')] 
[('in', 'IN')] 
[('wells', 'NNS')] 
[('coated', 'VBN')] 
[('', 'NN')] 
[('control', 'NN')] 
[('', 'NN')] 
[('various', 'JJ')] 
[('amounts', 'NNS')] 
[('protein', 'NN')] 
[('saturated', 'VBN')] 
[('describedAfter', 'NN')] 
[('', 'NN')] 
[('ormin', 'NN')] 
[('', 'NN')] 
[('nonadherentandlooselyadherentcellswere', 'RB')] 
[('aspirated', 'VBN')] 
[('', 'NN')] 
[('wells', 'NNS')] 
[('refilled', 'VBN')] 
[('culture', 'NN')] 
[('medium', 'NN')] 
[('', 'NN')] 
[('After', 'IN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('adherent', 'NN')] 
[('cells', 'NNS')] 
[('fixed', 'VBN')] 
[('plates', 'NNS')] 
[('', 'NN')] 
[('%', 'NN')] 
[('', 'NN')] 
[('v/v', 'NN')] 
[('', 'NN')] 
[('formaldehyde', 'NN')] 
[('PBS', 'NNP')] 
[('', 'NN')] 
[('washed', 'VBN')] 
[('distilled', 'VBN')] 
[('water', 'NN')] 
[('', 'NN')] 
[('stained', 'VBN')] 
[('withmethylene', 'NN')] 
[('blue', 'NN')] 
[('', 'NN')] 
[('counted', 'VBN')] 
[('phasecontrast', 'NN')] 
[('microscopeAlternate', 'NN')] 
[('plates', 'NNS')] 
[('', 'NN')] 
[('matched', 'VBN')] 
[('plating', 'VBG')] 
[('time', 'NN')] 
[('coating', 'VBG')] 
[('', 'NN')] 
[('weregrown', 'NN')] 
[('', 'NN')] 
[('days', 'NNS')] 
[('culture', 'NN')] 
[('medium', 'NN')] 
[('containing', 'VBG')] 
[('', 'NN')] 
[('nmol/L', 'NN')] 
[('Dex', 'NN')] 
[('', 'NN')] 
[('Depletion', 'NN')] 
[('experiments', 'NNS')] 
[('', 'NN')] 
[('Depletion', 'NN')] 
[('experiments', 'NNS')] 
[('cellat', 'NN')] 
[('tachment', 'NN')] 
[('assays', 'NNS')] 
[('', 'NN')] 
[('first', 'RB')] 
[('', 'NN')] 
[('min', 'NN')] 
[('plating', 'VBG')] 
[('onlaminincoated', 'VBN')] 
[('control', 'NN')] 
[('wells', 'NNS')] 
[('', 'NN')] 
[('first', 'RB')] 
[('selection', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('unattachedcells', 'NNS')] 
[('replated', 'VBN')] 
[('second', 'JJ')] 
[('well', 'RB')] 
[('additional', 'JJ')] 
[('', 'NN')] 
[('min', 'NN')] 
[('', 'NN')] 
[('second', 'JJ')] 
[('selection', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Cells', 'NNS')] 
[('still', 'RB')] 
[('unattached', 'JJ')] 
[('replated', 'VBN')] 
[('inwells', 'NNS')] 
[('prefilled', 'VBN')] 
[('aMEM', 'NN')] 
[('supplemented', 'VBN')] 
[('FCS', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('%', 'NN')] 
[('final', 'JJ')] 
[('concentration', 'NN')] 
[('', 'NN')] 
[('recovery', 'NN')] 
[('step', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('matched', 'VBN')] 
[('plates', 'NNS')] 
[('eitherprocessed', 'VBN')] 
[('cell', 'NN')] 
[('counting', 'NN')] 
[('grown', 'NN')] 
[('bone', 'NN')] 
[('nodule', 'NN')] 
[('formation', 'NN')] 
[('', 'NN')] 
[('described', 'NN')] 
[('earlier', 'RBR')] 
[('', 'NN')] 
[('Osteoprogenitor', 'NN')] 
[('differentiation', 'NN')] 
[('assay', 'NN')] 
[('', 'NN')] 
[('For', 'IN')] 
[('differentiation', 'NN')] 
[('as', 'IN')] 
[('says', 'VBZ')] 
[('', 'NN')] 
[('cells', 'NNS')] 
[('plated', 'VBN')] 
[('culture', 'NN')] 
[('medium', 'NN')] 
[('', 'NN')] 
[('containing', 'VBG')] 
[('', 'NN')] 
[('%', 'NN')] 
[('FCS', 'NN')] 
[('', 'NN')] 
[('wells', 'NNS')] 
[('coated', 'VBN')] 
[('various', 'JJ')] 
[('proteins', 'NNS')] 
[('', 'NN')] 
[('saturatedwith', 'NN')] 
[('denatured', 'VBN')] 
[('BSA', 'NN')] 
[('', 'NN')] 
[('After', 'IN')] 
[('', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('medium', 'NN')] 
[('containing', 'VBG')] 
[('unattached', 'JJ')] 
[('cells', 'NNS')] 
[('removed', 'VBN')] 
[('', 'NN')] 
[('matched', 'VBN')] 
[('plates', 'NNS')] 
[('either', 'DT')] 
[('processed', 'VBN')] 
[('cell', 'NN')] 
[('counting', 'NN')] 
[('grown', 'NN')] 
[('bone', 'NN')] 
[('nodule', 'NN')] 
[('formation', 'NN')] 
[('', 'NN')] 
[('asdescribed', 'NNS')] 
[('earlier', 'RBR')] 
[('', 'NN')] 
[('In', 'IN')] 
[('experiments', 'NNS')] 
[('', 'NN')] 
[('order', 'NN')] 
[('reduce', 'VB')] 
[('intraassay', 'NN')] 
[('variability', 'NN')] 
[('', 'NN')] 
[('coated', 'VBN')] 
[('control', 'NN')] 
[('wells', 'NNS')] 
[('given', 'VBN')] 
[('test', 'NN')] 
[('plate', 'NN')] 
[('', 'NN')] 
[('Statistical', 'JJ')] 
[('Analysis', 'NN')] 
[('The', 'DT')] 
[('data', 'NNS')] 
[('subjected', 'VBN')] 
[('KruskalWallis', 'NNS')] 
[('MannWhitney', 'NN')] 
[('Utests', 'NNS')] 
[('', 'NN')] 
[('using', 'VBG')] 
[('I', 'PRP')] 
[('NSTATsoftware', 'NN')] 
[('', 'NN')] 
[('Graphpad', 'NN')] 
[('', 'NN')] 
[('San', 'NNP')] 
[('Diego', 'NN')] 
[('', 'NN')] 
[('CA', 'NN')] 
[('', 'NN')] 
[('twoway', 'NN')] 
[('analysis', 'NN')] 
[('variance', 'NN')] 
[('', 'NN')] 
[('A', 'DT')] 
[('NOVA', 'NN')] 
[('', 'NN')] 
[('using', 'VBG')] 
[('S', 'NN')] 
[('UPERANOVA', 'NN')] 
[('soft', 'JJ')] 
[('ware', 'NN')] 
[('', 'NN')] 
[('Abacus', 'NN')] 
[('Concepts', 'NNS')] 
[('', 'NN')] 
[('Berkeley', 'NNP')] 
[('', 'NN')] 
[('CA', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Results', 'NNS')] 
[('Development', 'NNP')] 
[('Assay', 'VB')] 
[('Osteoprogenitor', 'NN')] 
[('RecruitmentThe', 'NN')] 
[('relationship', 'NN')] 
[('number', 'NN')] 
[('adherent', 'NN')] 
[('cells', 'NNS')] 
[('number', 'NN')] 
[('nodules', 'NNS')] 
[('developed', 'NN')] 
[('investigated', 'VBN')] 
[('range', 'NN')] 
[('of', 'IN')] 
[('cells', 'NNS')] 
[('plated', 'VBN')] 
[('per', 'IN')] 
[('square', 'NN')] 
[('centimeter', 'NN')] 
[('', 'NN')] 
[('corresponding', 'VBG')] 
[('to', 'TO')] 
[('', 'NN')] 
[('', 'NN')] 
[('cells', 'NNS')] 
[('actually', 'RB')] 
[('attached', 'VBN')] 
[('', 'NN')] 
[('h', 'NN')] 
[('', 'NN')] 
[('n', 'NN')] 
[('', 'NN')] 
[('wells', 'NNS')] 
[('per', 'IN')] 
[('plating', 'VBG')] 
[('density', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('As', 'IN')] 
[('reported', 'VBD')] 
[('previously', 'RB')] 
[('others', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('linear', 'NN')] 
[('relationship', 'NN')] 
[('', 'NN')] 
[('r', 'NN')] 
[('', 'NN')] 
[('number', 'NN')] 
[('nodules', 'NNS')] 
[('formed', 'VBN')] 
[('number', 'NN')] 
[('cells', 'NNS')] 
[('attached', 'VBN')] 
[('', 'NN')] 
[('meanratio', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('nodules', 'NNS')] 
[('per', 'IN')] 
[('', 'NN')] 
[('cells', 'NNS')] 
[('attached', 'VBN')] 
[('', 'NN')] 
[('n', 'NN')] 
[('', 'NN')] 
[('cell', 'NN')] 
[('densities', 'NNS')] 
[('tested', 'VBN')] 
[('', 'NN')] 
[('Figure', 'NN')] 
[('A', 'DT')] 
[('', 'NN')] 
[('experiments', 'NNS')] 
[('', 'NN')] 
[('When', 'WRB')] 
[('RC', 'NN')] 
[('cellswere', 'RB')] 
[('plated', 'VBN')] 
[('', 'NN')] 
[('min', 'NN')] 
[('uncoated', 'JJ')] 
[('plates', 'NNS')] 
[('saturated', 'VBN')] 
[('withdenatured', 'VBD')] 
[('BSA', 'NN')] 
[('', 'NN')] 
[('control', 'NN')] 
[('conditions', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('according', 'VBG')] 
[('protocol', 'NN')] 
[('P', 'NN')] 
[('Roche', 'NN')] 
[('et', 'NN')] 
[('al', 'NN')] 
[('', 'NN')] 
[('Bone', 'NN')] 
[('Vol', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('No', 'DT')] 
[('', 'NN')] 
[('', 'NN')] 
[('Osteoprogenitor', 'NN')] 
[('attachment', 'NN')] 
[('laminin', 'NN')] 
[('April', 'NNP')] 
[('', 'NN')] 
[('showninFigureB', 'NN')] 
[('', 'NN')] 
[('thenumberofcellsattachedandthenumber', 'NN')] 
[('nodules', 'NNS')] 
[('formed', 'VBN')] 
[('increased', 'VBN')] 
[('plating', 'VBG')] 
[('time', 'NN')] 
[('', 'NN')] 
[('Figure', 'NN')] 
[('C', 'SYM')] 
[('', 'NN')] 
[('However', 'RB')] 
[('', 'NN')] 
[('accordance', 'NN')] 
[('results', 'NNS')] 
[('celldilution', 'NN')] 
[('analysis', 'NN')] 
[('', 'NN')] 
[('Figure', 'NN')] 
[('A', 'DT')] 
[('', 'NN')] 
[('', 'NN')] 
[('ratio', 'NN')] 
[('', 'NN')] 
[('nodules', 'NNS')] 
[('formed', 'VBN')] 
[('per', 'IN')] 
[('', 'NN')] 
[('cells', 'NNS')] 
[('attached', 'VBN')] 
[('', 'NN')] 
[('wasthesameatalltimepointstested', 'VBN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('n', 'NN')] 
[('timepoints', 'NNS')] 
[('tested', 'VBN')] 
[('', 'NN')] 
[('p', 'NN')] 
[('timepoints', 'NNS')] 
[('', 'NN')] 
[('using', 'VBG')] 
[('KruskalWallis', 'NNS')] 
[('test', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('indicating', 'VBG')] 
[('proportion', 'NN')] 
[('OP', 'NN')] 
[('among', 'IN')] 
[('adherentcells', 'NNS')] 
[('remained', 'VBD')] 
[('constant', 'JJ')] 
[('', 'NN')] 
[('These', 'DT')] 
[('results', 'NNS')] 
[('allowed', 'VBN')] 
[('us', 'PRP')] 
[('use', 'NN')] 
[('timelimiting', 'VBG')] 
[('plating', 'VBG')] 
[('RC', 'NN')] 
[('cells', 'NNS')] 
[('test', 'NN')] 
[('relative', 'NN')] 
[('affinity', 'NN')] 
[('OPfor', 'NN')] 
[('various', 'JJ')] 
[('protein', 'NN')] 
[('substrates', 'NNS')] 
[('', 'NN')] 
[('Cell', 'NN')] 
[('Attachment', 'NN')] 
[('Purified', 'VBN')] 
[('Extracellular', 'NN')] 
[('Matrix', 'NN')] 
[('Proteins', 'NNS')] 
[('In', 'IN')] 
[('preliminary', 'JJ')] 
[('study', 'NN')] 
[('', 'NN')] 
[('data', 'NNS')] 
[('shown', 'VBN')] 
[('', 'NN')] 
[('', 'NN')] 
[('gelfiltration', 'NN')] 
[('chroma', 'NN')] 
[('tographyfractionsofbovineboneproteinextractsweretestedforRC', 'NN')] 
[('cell', 'NN')] 
[('attachment', 'NN')] 
[('OP', 'NN')] 
[('recruitment', 'NN')] 
[('timelimited', 'VBN')] 
[('cellattachment', 'NN')] 
[('assays', 'NNS')] 
[('', 'NN')] 
[('described', 'NN')] 
[('earlier', 'RBR')] 
[('', 'NN')] 
[('These', 'DT')] 
[('experimentsshowed', 'VBN')] 
[('highmolecularweight', 'NN')] 
[('', 'NN')] 
[('void', 'NN')] 
[('volume', 'NN')] 
[('', 'NN')] 
[('fractions', 'NNS')] 
[('inhibited', 'VBN')] 
[('RC', 'NN')] 
[('cell', 'NN')] 
[('attachment', 'NN')] 
[('increased', 'VBN')] 
[('proportion', 'NN')] 
[('OPamong', 'RB')] 
[('cells', 'NNS')] 
[('attached', 'VBN')] 
[('', 'NN')] 
[('whereas', 'NNS')] 
[('fractions', 'NNS')] 
[('lower', 'JJR')] 
[('molecular', 'NN')] 
[('weight', 'NN')] 
[('effect', 'NN')] 
[('', 'NN')] 
[('Immunoblotting', 'VBG')] 
[('studies', 'NNS')] 
[('showed', 'VBD')] 
[('efficient', 'NN')] 
[('fractions', 'NNS')] 
[('enriched', 'VBN')] 
[('tenascin', 'NN')] 
[('', 'NN')] 
[('laminin', 'NN')] 
[('', 'NN')] 
[('fibronectin', 'NN')] 
[('', 'NN')] 
[('BSP', 'NN')] 
[('', 'NN')] 
[('osteopontin', 'NN')] 
[('', 'NN')] 
[('prompted', 'VBN')] 
[('us', 'PRP')] 
[('test', 'NN')] 
[('proteins', 'NNS')] 
[('', 'NN')] 
[('along', 'IN')] 
[('vitronectin', 'NN')] 
[('', 'NN')] 
[('type', 'NN')] 
[('I', 'PRP')] 
[('collagen', 'NN')] 
[('', 'NN')] 
[('osteocalcin', 'NN')] 
[('', 'NN')] 
[('HS', 'NN')] 
[('glycoprotein/fetuin', 'NN')] 
[('', 'NN')] 
[('purified', 'VBN')] 
[('reagents', 'NNS')] 
[('assay', 'NN')] 
[('', 'NN')] 
[('In', 'IN')] 
[('thesetests', 'NNS')] 
[('', 'NN')] 
[('although', 'IN')] 
[('number', 'NN')] 
[('cells', 'NNS')] 
[('attached', 'VBN')] 
[('control', 'NN')] 
[('wells', 'NNS')] 
[('wasvariable', 'JJ')] 
[('assay', 'NN')] 
[('assay', 'NN')] 
[('', 'NN')] 
[('difference', 'NN')] 
[('cell', 'NN')] 
[('adhesionbetween', 'NN')] 
[('control', 'NN')] 
[('wells', 'NNS')] 
[('wells', 'NNS')] 
[('coated', 'VBN')] 
[('given', 'VBN')] 
[('proteinsample', 'NN')] 
[('reproducible', 'JJ')] 
[('range', 'NN')] 
[('independent', 'JJ')] 
[('experiments', 'NNS')] 
[('', 'NN')] 
[('Of', 'IN')] 
[('proteins', 'NNS')] 
[('tested', 'VBN')] 
[('', 'NN')] 
[('cell', 'NN')] 
[('attachment', 'NN')] 
[('stronglystimulatedascomparedwithcontrolsbyfibronectin', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('type', 'NN')] 
[('I', 'PRP')] 
[('collagen', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('vitronectin', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('shown', 'VBN')] 
[('', 'NN')] 
[('', 'NN')] 
[('well', 'RB')] 
[('BSP', 'NN')] 
[('', 'NN')] 
[('Figure', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Tenascin', 'NN')] 
[('', 'NN')] 
[('shown', 'VBN')] 
[('', 'NN')] 
[('laminin', 'NN')] 
[('', 'NN')] 
[('Figure', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('inhibited', 'VBN')] 
[('RC', 'NN')] 
[('cell', 'NN')] 
[('attachment', 'NN')] 
[('timepoints', 'NNS')] 
[('tested', 'VBN')] 
[('', 'NN')] 
[('proteins', 'NNS')] 
[('effect', 'NN')] 
[('', 'NN')] 
[('As', 'IN')] 
[('average', 'JJ')] 
[('five', 'CD')] 
[('independentexperiments', 'NNS')] 
[('', 'NN')] 
[('RC', 'NN')] 
[('cell', 'NN')] 
[('attachment', 'NN')] 
[('laminin', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('%', 'NN')] 
[('control', 'NN')] 
[('', 'NN')] 
[('min', 'NN')] 
[('plating', 'VBG')] 
[('', 'NN')] 
[('effect', 'NN')] 
[('sustained', 'VBN')] 
[('overtime', 'NN')] 
[('', 'NN')] 
[('attachment', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('%', 'NN')] 
[('control', 'NN')] 
[('', 'NN')] 
[('min', 'NN')] 
[('', 'NN')] 
[('Figure', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('Characterization', 'NN')] 
[('timelimited', 'VBN')] 
[('cellattachment', 'NN')] 
[('assay', 'NN')] 
[('OP', 'NN')] 
[('selection', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('A', 'DT')] 
[('', 'NN')] 
[('Linear', 'JJ')] 
[('relationship', 'NN')] 
[('number', 'NN')] 
[('bone', 'NN')] 
[('nodules', 'NNS')] 
[('developed', 'NN')] 
[('number', 'NN')] 
[('cells', 'NNS')] 
[('attached', 'VBN')] 
[('', 'NN')] 
[('RC', 'NN')] 
[('cells', 'NNS')] 
[('plated', 'VBN')] 
[('', 'NN')] 
[('cells/cm', 'NN')] 
[('', 'NN')] 
[('dishes', 'NNS')] 
[('either', 'DT')] 
[('fixed', 'VBN')] 
[('', 'NN')] 
[('h', 'NN')] 
[('cell', 'NN')] 
[('counting', 'NN')] 
[('orgrownfordaystoassessbonenoduleproduction', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('B', 'NN')] 
[('', 'NN')] 
[('ExperimentalprotocolfortimelimitedcellattachmentassaysRCcellswereplatedonwel', 'NN')] 
[('ls', 'NN')] 
[('coated', 'VBN')] 
[('', 'NN')] 
[('controls', 'NNS')] 
[('', 'NN')] 
[('protein', 'NN')] 
[('substrates', 'NNS')] 
[('', 'NN')] 
[('saturated', 'VBN')] 
[('denatured', 'VBN')] 
[('BSA', 'NN')] 
[('', 'NN')] 
[('After', 'IN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('min', 'NN')] 
[('', 'NN')] 
[('nonadherent', 'NN')] 
[('cells', 'NNS')] 
[('removed', 'VBN')] 
[('', 'NN')] 
[('andattached', 'VBN')] 
[('cells', 'NNS')] 
[('either', 'DT')] 
[('counted', 'VBN')] 
[('grown', 'NN')] 
[('', 'NN')] 
[('days', 'NNS')] 
[('assess', 'NN')] 
[('bone', 'NN')] 
[('nodule', 'NN')] 
[('production', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('C', 'SYM')] 
[('', 'NN')] 
[('The', 'DT')] 
[('proportion', 'NN')] 
[('OP', 'NN')] 
[('among', 'IN')] 
[('cells', 'NNS')] 
[('attached', 'VBN')] 
[('aftertimelimited', 'VBN')] 
[('plating', 'VBG')] 
[('constant', 'JJ')] 
[('plating', 'VBG')] 
[('time', 'NN')] 
[('', 'NN')] 
[('RC', 'NN')] 
[('cells', 'NNS')] 
[('', 'NN')] 
[('', 'NN')] 
[('cell/cm', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('subjected', 'VBN')] 
[('timelimited', 'VBN')] 
[('cellattachment', 'NN')] 
[('assay', 'NN')] 
[('uncoated', 'JJ')] 
[('BSAsaturated', 'VBN')] 
[('wells', 'NNS')] 
[('', 'NN')] 
[('controls', 'NNS')] 
[('', 'NN')] 
[('described', 'NN')] 
[('', 'NN')] 
[('B', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('The', 'DT')] 
[('number', 'NN')] 
[('cells', 'NNS')] 
[('attached', 'VBN')] 
[('bone', 'NN')] 
[('nodules', 'NNS')] 
[('formed', 'VBN')] 
[('increased', 'VBN')] 
[('plating', 'VBG')] 
[('time', 'NN')] 
[('', 'NN')] 
[('ratio', 'NN')] 
[('n', 'NN')] 
[('', 'NN')] 
[('nodules/', 'NN')] 
[('cells', 'NNS')] 
[('attached', 'VBN')] 
[('', 'NN')] 
[('', 'NN')] 
[('indirect', 'NN')] 
[('measurement', 'NN')] 
[('proportion', 'NN')] 
[('OP', 'NN')] 
[('cells', 'NNS')] 
[('plated', 'VBN')] 
[('', 'NN')] 
[('constant', 'JJ')] 
[('', 'NN')] 
[('Open', 'VB')] 
[('circles', 'NNS')] 
[('', 'NN')] 
[('cells', 'NNS')] 
[('attached/cm', 'NN')] 
[('', 'NN')] 
[('open', 'JJ')] 
[('squares', 'NNS')] 
[('', 'NN')] 
[('bone', 'NN')] 
[('nodules/cm', 'NN')] 
[('', 'NN')] 
[('closed', 'VBD')] 
[('squares', 'NNS')] 
[('', 'NN')] 
[('bone', 'NN')] 
[('nodules/', 'NN')] 
[('cells', 'NNS')] 
[('attached', 'VBN')] 
[('', 'NN')] 
[('Values', 'NNS')] 
[('mean', 'NN')] 
[('SD', 'NN')] 
[('eight', 'CD')] 
[('culture', 'NN')] 
[('wells', 'NNS')] 
[('', 'NN')] 
[('See', 'VB')] 
[('Materials', 'NNS')] 
[('Methods', 'NNS')] 
[('details', 'NNS')] 
[('Bone', 'NN')] 
[('Vol', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('', 'NN')] 
[('No', 'DT')] 
[('', 'NN')] 
[('', 'NN')] 
[('P', 'NN')] 
[('Roche', 'NN')] 
[('et', 'NN')] 
[('al', 'NN')] 
[('', 'NN')] 
[('April', 'NNP')] 
[('', 'NN')] 
[('Osteoprogenitor', 'NN')] 
[('attachment', 'NN')] 
[('laminin', 'NN')] 
[('Osteoprogenitor', 'NN')] 
[('Recruitment', 'NN')] 
[('Purified', 'VBN')] 
[('Extracellular', 'NN')] 
[('Matrix', 'NN')] 
[('Protein', 'NN')] 
[('ThenumberofbonenodulesdevelopedandtheproportionofOP', 'NN')] 
[('observed', 'VBN')] 
[('proteins', 'NNS')] 
[('tested', 'VBN')] 
[('controls', 'NNS')] 
[('', 'NN')] 
[('notshown', 'RB')] 
[('', 'NN')] 
