biodegradable, ADJ 
calculated, VERB 
BV, PROPN 
BMC, PROPN 

, SPACE 
indices, NOUN 
bone, NOUN 
volume, NOUN 
total, ADJ 
volume, NOUN 
ratio, NOUN 
BV/, PROPN 

, SPACE 
TV, PROPN 
evaluates, VERB 
quantity, NOUN 
new, ADJ 
bone, NOUN 
density, NOUN 
newbone, NOUN 
calculated, VERB 
BMD, PROPN 
measured, VERB 
total, ADJ 
BMD, PROPN 
new, ADJ 

, SPACE 
bone, NOUN 
implanted, VERB 
material, NOUN 
equal, ADJ 
defect, NOUN 
area, NOUN 
different, ADJ 

, SPACE 
times, NOUN 
surgery, NOUN 
measured, VERB 
recorded, VERB 
D, PROPN 

, SPACE 
1, NUM 
BMD, PROPN 
theimplanted, VERB 
material, NOUN 
measured, VERB 
micro, ADJ 
CT, PROPN 
images, NOUN 
0, NUM 
dayafter, NOUN 
surgery, NOUN 
recorded, VERB 
D, PROPN 

, SPACE 
2, NUM 
percent, NOUN 
material, NOUN 

, SPACE 
biodegradation, NOUN 
different, ADJ 
times, NOUN 
surgery, NOUN 
recorded, VERB 
P, NOUN 
obtained, VERB 
method, NOUN 
described, VERB 
Evaluation, NOUN 

, SPACE 
implant, ADJ 
materials, NOUN 
biodegradation, NOUN 
section, NOUN 
BMD, PROPN 
new, ADJ 

, SPACE 
bone, NOUN 
different, ADJ 
times, NOUN 
obtained, VERB 
D, PROPN 
=D, PROPN 

, SPACE 
1−D2×, PROPN 
1−P, PROPN 

, SPACE 
Histological, ADJ 
analysis, NOUN 

, SPACE 
Rats, NOUN 
sacri, ADV 
ﬁced, VERB 
anesthesia, NOUN 
heart, NOUN 
perfusion, NOUN 

, SPACE 
physiologic, ADJ 
saline, NOUN 
10, NUM 
neutral, ADJ 
formalin, NOUN 
buffer, NOUN 
solution, NOUN 
pH=7.4, PROPN 

, SPACE 
Wako, PROPN 
Tokyo, PROPN 
Japan, PROPN 
0, NUM 
14, NUM 
30, NUM 
90, NUM 
days, NOUN 
5, NUM 
rats, NOUN 
time, NOUN 
point, NOUN 

, SPACE 
group, NOUN 
surgery, NOUN 
Specimens, NOUN 
ﬁxed, VERB 
10, NUM 
formalin, NOUN 

, SPACE 
48, NUM 
h, NOUN 
decalci, NOUN 
ﬁed, PROPN 
10, NUM 
EDTA, INTJ 
0.1, NUM 
M, PROPN 
phosphate, NOUN 
buffer, PROPN 
pH, NUM 
7.4, NUM 

, SPACE 
4, NUM 
weeks, NOUN 
embedded, VERB 
paraf, NOUN 
ﬁn, NOUN 
cut, VERB 
5, NUM 
μm, NOUN 
thick, ADJ 
sections, NOUN 

, SPACE 
sections, NOUN 
stained, VERB 
hematoxylin, NOUN 
eosin, NOUN 
H, NOUN 
E, NOUN 
photo-, ADJ 

, SPACE 
graphs, NOUN 
taken, VERB 
evaluated, VERB 
light, ADJ 
microscopy, NOUN 

, SPACE 
Evaluation, PROPN 
implant, ADJ 
material, NOUN 
biodegradation, NOUN 

, SPACE 
Images, PROPN 
areas, NOUN 
implanted, VERB 
materials, NOUN 
histological, ADJ 
sections, NOUN 

, SPACE 
H&E, PROPN 
stained, VERB 
different, ADJ 
times, NOUN 
surgery, NOUN 
measured, VERB 

, SPACE 
Canvas, PROPN 
™, X 
×software, NOUN 
ACD, PROPN 
Systems, PROPN 
America, PROPN 
Miami, PROPN 
Florida, PROPN 
USA, PROPN 

, SPACE 
area, NOUN 
data, NOUN 
meant, VERB 
total, ADJ 
area, NOUN 
material, NOUN 
defect, ADJ 
area, NOUN 
Areaat, PROPN 
0, NUM 
day, NOUN 
surgery, NOUN 
recorded, VERB 

, SPACE 
1, NUM 
Area, NOUN 
times, NOUN 
A2, PROPN 

, SPACE 
percent, NOUN 
material, NOUN 
biodegradation, NOUN 
different, ADJ 
times, NOUN 
aftersurgery, NOUN 
P, PROPN 
obtained, VERB 
P=(A, PROPN 

, SPACE 
1−A2)/A1, PROPN 

, SPACE 
Osteoclasts, NOUN 
stained, VERB 
TRAP, PROPN 
hematoxylin, PROPN 
counterstain-, PROPN 

, SPACE 
ing, NOUN 
sections, NOUN 
TRAP, PROPN 
Tartrate, NOUN 
Resistant, ADJ 
Acid, PROPN 
Phosphatase, PROPN 

, SPACE 
stained, VERB 
TRAP, PROPN 
Staining, ADJ 
kit, NOUN 
®, NOUN 
(Primary, PUNCT 
Cell, PROPN 
Hokkaido, PROPN 
Japan, PROPN 

, SPACE 
Brieﬂy, PROPN 
sections, NOUN 
deparaf, NOUN 
ﬁnized, VERB 
xylene, NOUN 
alcohol, PROPN 

, SPACE 
rinsed, VERB 
running, VERB 
distilled, ADJ 
water, NOUN 
5, NUM 
min, NOUN 
50, NUM 
μl, ADJ 

, SPACE 
staining, VERB 
solution, NOUN 
3, NUM 
mg, ADP 
tartaric, PROPN 
acid, NOUN 
50, NUM 
ml, NOUN 
tartaric, PROPN 
acid, PROPN 
buffersolution, NOUN 
pH, NUM 
5.0, NUM 
dropped, VERB 
section, NOUN 
sections, NOUN 

, SPACE 
incubated, VERB 
37, NUM 
°, NUM 
C, NOUN 
45, NUM 
min, NOUN 
osteoclasts, NOUN 
bright, ADJ 
red, ADJ 

, SPACE 
rinsed, VERB 
times, NOUN 
distilled, ADJ 
water, NOUN 
Following, VERB 
counter-, NOUN 

, SPACE 
staining, VERB 
hematoxylin, NOUN 
2, NUM 
s, NOUN 
washed, VERB 
running, VERB 
water, NOUN 

, SPACE 
5, NUM 
min, NOUN 
mounted, VERB 
aqueous, ADJ 
permanent, ADJ 
mounting, VERB 

, SPACE 
medium, NOUN 
CC, PROPN 
Mount, PROPN 
™, NUM 
DBS, PROPN 
Pleasanton, PROPN 
USA, PROPN 

, SPACE 
Statistical, ADJ 
analysis, NOUN 

, SPACE 
results, NOUN 
expressed, VERB 
means±SD, X 
Data, NOUN 
analyzed, VERB 

, SPACE 
way, NOUN 
ANOVA, PROPN 
followed, VERB 
post, X 
hoc, X 
tests, NOUN 
pairwise, NOUN 

, SPACE 
comparisons, NOUN 
Tukey, PROPN 
test, NOUN 
Differences, NOUN 
considered, VERB 
besigniﬁcant, VERB 
pb0.05, PROPN 

, SPACE 
Results, NOUN 

, SPACE 
Scaffold, PROPN 
characterization, NOUN 

, SPACE 
microstructures, NOUN 
3D, ADJ 
porous, ADJ 
scaffolds, NOUN 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 

, SPACE 
1:3, NUM 
fabricated, VERB 
SC, PROPN 
PL, PROPN 
method, NOUN 
analyzed, VERB 
SEM, PROPN 
Fig, PROPN 

, SPACE 
3).Fig, PROPN 
3, NUM 
b, NUM 
scaffolds, NOUN 
irregular, ADJ 
macro, NOUN 
pores, NOUN 

, SPACE 
cubical, ADJ 
like, ADJ 
pores, NOUN 
average, ADJ 
pore, ADJ 
sizes, NOUN 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 

, SPACE 
scaffolds, NOUN 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
scaffolds, NOUN 
504.2±93.5, ADJ 
μm, NOUN 

, SPACE 
483.3±113.6, PROPN 
μm, VERB 
respectively, ADV 
difference, NOUN 

, SPACE 
statistically, ADV 
signi, NOUN 
ﬁcant, NOUN 

, SPACE 
opening, NOUN 
porosities, NOUN 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
scaffolds, NOUN 
PGA/, NOUN 
β-, ADP 

, SPACE 
TCP, PROPN 
1:3, NUM 
scaffolds, NOUN 
93.6±2.0, NUM 
88.4±0.7, NUM 
respectively, ADV 

, SPACE 
statistically, ADV 
signi, NOUN 
ﬁcant, NOUN 
difference, NOUN 
pb0.001, PROPN 

, SPACE 
Fig, PROPN 
3, NUM 
c, NOUN 
d, NOUN 
surface, NOUN 
topography, NOUN 
pore, ADJ 
walls, NOUN 

, SPACE 
scaffolds, NOUN 
β, X 
TCP, ADJ 
particles, NOUN 
uniformly, ADV 
dispersed, VERB 

, SPACE 
PGA, PROPN 
matrix, NOUN 
visualization, NOUN 
micropores, NOUN 

, SPACE 
evaporation, NOUN 
solvent, NOUN 
reveals, VERB 
pore, ADJ 
walls, NOUN 
PGA/, NOUN 
β, X 
TCP, NOUN 

, SPACE 
composites, NOUN 
rough, ADJ 
distinct, ADJ 
difference, NOUN 
types, NOUN 

, SPACE 
Fig, PROPN 
2, NUM 
X-,Y-, PROPN 
Z, PROPN 
axes, NOUN 
images, NOUN 
micro, ADJ 
CT, ADJ 
slices, NOUN 
80, NUM 
kV/120, NUM 
mA, NUM 
30, NUM 
μm, NOUN 
slice, NOUN 

, SPACE 
thickness, NOUN 
3D, ADJ 
images, NOUN 
bone, NOUN 
defect, NOUN 
3, NUM 
mm, NOUN 
diameter, NOUN 
2, NUM 
mm, NOUN 
depth, NOUN 

, SPACE 
cortical, ADJ 
bone, NOUN 
surface, NOUN 
cancellous, ADJ 
bone, NOUN 
medial, ADJ 
epicondyles, NOUN 
bilateral, ADJ 

, SPACE 
femora, NOUN 
rats.388, PROPN 
H., PROPN 
Cao, PROPN 
N., PROPN 
Kuboyama, PROPN 
Bone, PROPN 
46, NUM 
2010, NUM 
386, NUM 
395, NUM 

, SPACE 
PGA/, NOUN 
β, X 
TCP, ADJ 
scaffolds, NOUN 
β, X 
TCP, ADJ 
granules, NOUN 
present, ADJ 

, SPACE 
pore, PROPN 
wall, PROPN 
surface, PROPN 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
compared, VERB 
PGA/, NOUN 
β, X 
TCP, NOUN 

, SPACE 
1:1, NUM 
compared, VERB 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
scaffold, NOUN 
Fig, PROPN 
3, NUM 
c, NOUN 

, SPACE 
gnarled, ADJ 
pore, ADJ 
wall, NOUN 
found, VERB 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
scaffold, NOUN 

, SPACE 
Fig, PROPN 
3, NUM 
d, NUM 
Furthermore, ADV 
weight, NOUN 
ratio, NOUN 
β, ADJ 
TCP, PROPN 
determines, VERB 

, SPACE 
surface, NOUN 
roughness, NOUN 
PGA/, NOUN 
β, X 
TCP, ADJ 
scaffold, NOUN 

, SPACE 
Fig, PROPN 
4, NUM 
shows, VERB 
T, PROPN 
mCT, NOUN 
image, NOUN 
soaking, VERB 
scaffold, NOUN 
agar, NOUN 

, SPACE 
high, ADJ 
brightness, NOUN 
regions, NOUN 
represent, VERB 
pore, ADJ 
walls, NOUN 
containing, VERB 
β, NOUN 
TCP, NOUN 
Thepores, NOUN 
scaffold, NOUN 
ﬁlled, VERB 
gel, PROPN 
griscent, NOUN 
region, NOUN 
indicated, VERB 

, SPACE 
white, ADJ 
arrows, NOUN 
proves, VERB 
pores, NOUN 
interconnected, VERB 

, SPACE 
leaching, NOUN 
NaCl, PROPN 
particles, NOUN 
evaporation, NOUN 
solvent, NOUN 

, SPACE 
Bone, NOUN 
reformation, NOUN 
femoral, ADJ 
defect, NOUN 

, SPACE 
Bone, NOUN 
repair, NOUN 
experiments, NOUN 
carried, VERB 
femoral, ADJ 

, SPACE 
medial, ADJ 
epicondyle, NOUN 
defects, NOUN 
3, NUM 
mm, NOUN 
diameter, NOUN 
2, NUM 
mm, NOUN 
depth, NOUN 
replaced, VERB 

, SPACE 
PGA/, NOUN 
β, X 
TCP, ADJ 
scaffolds, NOUN 
HAP, PROPN 
rats, NOUN 
survived, VERB 

, SPACE 
surgery, NOUN 
signi, NOUN 
ﬁcant, ADJ 
events, NOUN 
surgery, NOUN 
adverse, ADJ 

, SPACE 
reactions, NOUN 
treatment, NOUN 
animals, NOUN 
examined, VERB 
vivo, PROPN 

, SPACE 
micro, NOUN 
CT, PROPN 
different, ADJ 
time, NOUN 
intervals, NOUN 
sacri, ADV 
ﬁced, VERB 
histolog-, ADJ 

, SPACE 
ical, ADJ 
analysis, NOUN 
0, NUM 
14, NUM 
30, NUM 
90, NUM 
days, NOUN 
surgery, NOUN 

, SPACE 
Micro, PROPN 
CT, PROPN 
examination, NOUN 
3D, NOUN 
images, NOUN 

, SPACE 
Fig, PROPN 
5, NUM 
depicts, VERB 
typical, ADJ 
micro, ADJ 
CT, ADJ 
images, NOUN 
defects, NOUN 
repair, NOUN 

, SPACE 
process, NOUN 
groups, NOUN 
different, ADJ 
times, NOUN 
14, NUM 
90, NUM 
days, NOUN 

, SPACE 
surgery, NOUN 
brightness, NOUN 
defect, ADJ 
areas, NOUN 
groups, NOUN 
increased, VERB 

, SPACE 
gradually, ADV 
degrees, NOUN 
mean, VERB 
mineralization, NOUN 

, SPACE 
osteogenesis, NOUN 
progress, NOUN 

, SPACE 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
Fig, PROPN 
5, NUM 
c, NOUN 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
Fig, PROPN 
5, NUM 
d, NUM 

, SPACE 
groups, NOUN 
mineralization, NOUN 
osteogenesis, NOUN 
began, VERB 
defect, NOUN 

, SPACE 
area, NOUN 
14, NUM 
days, NOUN 
surgery, NOUN 
advanced, VERB 
rapidly, ADV 
90, NUM 
days, NOUN 

, SPACE 
surgery, NOUN 
defect, NOUN 
areas, NOUN 
showed, VERB 
appearance, NOUN 
natural, ADJ 
bone, NOUN 

, SPACE 
smooth, ADJ 
bone, NOUN 
surface, NOUN 
shape, NOUN 
progress, NOUN 
bone, NOUN 

, SPACE 
remodeling, NOUN 
mineralization, NOUN 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
group, NOUN 
higher, ADJ 

, SPACE 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
group, NOUN 

, SPACE 
implant, ADJ 
control, NOUN 
group, NOUN 
Fig, PROPN 
5, NUM 
mineralization, NOUN 

, SPACE 
osteogenesis, NOUN 
began, VERB 
basal, NOUN 
defect, NOUN 
grewgradually, ADV 
upward, ADV 
defect, VERB 
surface, NOUN 
layer, NOUN 
90, NUM 
days, NOUN 
surgery, NOUN 

, SPACE 
remained, VERB 
conspicuous, ADJ 
introcession, NOUN 
HAP, PROPN 
control, NOUN 
group, NOUN 
Fig, PROPN 

, SPACE 
5b, PROPN 
brightness, NOUN 
variation, NOUN 
HAP, PROPN 
control, NOUN 
group, NOUN 

, SPACE 
obvious, ADJ 
large, ADJ 
remaining, NOUN 
HAP, NOUN 
observedinFig, PROPN 
6, NUM 
90, NUM 
days, NOUN 
surgery, NOUN 
surface, NOUN 
shape, NOUN 
irregular, ADJ 

, SPACE 
Fig, PROPN 
3, X 
SEM, PROPN 
images, NOUN 
20, NUM 
kV, NUM 
scaffolds, NOUN 
prepared, VERB 
PGA, PROPN 
b, PROPN 
TCP, ADJ 
weight, NOUN 
ratios, NOUN 
1:1, NUM 
1:3, NUM 
c, PROPN 
PGA, PROPN 
β, X 
-TCP, PROPN 
1:1, NUM 
b, PROPN 
d, PROPN 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
b, PRON 
×100, NOUN 
scaffolds, NOUN 

, SPACE 
irregular, ADJ 
macro, NOUN 
pores, NOUN 
cubical, ADJ 
like, ADJ 
pores, NOUN 
c, PROPN 
d, PROPN 
×2000, NOUN 
rough, ADJ 
surface, NOUN 
PGA, PROPN 
β, PROPN 
-TCP, PUNCT 
scaffold, NOUN 
β, X 
TCP, ADJ 
particles, NOUN 
shown, VERB 
black, ADJ 
arrows, NOUN 

, SPACE 
Fig, PROPN 
4, NUM 
T, PROPN 
mCT, PROPN 
image, NOUN 
74, NUM 
kV/110, NOUN 
μA, NUM 
25, NUM 
μm, NOUN 
slice, NOUN 
thickness, NOUN 
near, ADP 
center, NOUN 
PGA/, NOUN 

, SPACE 
β, X 
TCP, ADJ 
scaffold, NOUN 
agar, NOUN 
inside, ADP 
pores, NOUN 
high, ADJ 
brightness, NOUN 
regions, NOUN 
pore, ADJ 
walls, NOUN 

, SPACE 
containing, VERB 
β, NOUN 
TCP, NOUN 
black, ADJ 
arrows, NOUN 
pores, NOUN 
scaffold, NOUN 
ﬁlled, VERB 
gel, PROPN 

, SPACE 
griscent, NOUN 
region, NOUN 
white, ADJ 
arrows, NOUN 
proves, VERB 
pores, NOUN 

, SPACE 
interconnected.389, NOUN 
H., PROPN 
Cao, PROPN 
N., PROPN 
Kuboyama, PROPN 
Bone, PROPN 
46, NUM 
2010, NUM 
386, NUM 
395, NUM 

, SPACE 
micro, ADJ 
CT, ADJ 
observations, NOUN 
indicate, VERB 
composite, NOUN 
PGA/, NOUN 

, SPACE 
β, X 
TCP, PROPN 
allows, VERB 
rapid, ADJ 
mineralization, NOUN 
osteogenesis, NOUN 

, SPACE 
HAP, PROPN 
control, NOUN 
group, NOUN 
implant, ADJ 
control, NOUN 
group, NOUN 

, SPACE 
BMD, PROPN 
BV, PROPN 
TV, NOUN 
analyses, VERB 

, SPACE 
new, ADJ 
bone, NOUN 
quantity, NOUN 
BV, PROPN 
TV, PROPN 
group, NOUN 
time, NOUN 

, SPACE 
shown, VERB 
Fig, PROPN 
7, NUM 
14, NUM 
days, NOUN 
distinction, NOUN 
new, ADJ 
bone, NOUN 

, SPACE 
quantity, NOUN 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
group, NOUN 
HAP, PROPN 
group, NOUN 

, SPACE 
pb0.05, NOUN 
Compared, VERB 
groups, NOUN 
markedly, ADV 

, SPACE 
greater, ADJ 
quantity, NOUN 
new, ADJ 
bone, NOUN 
formation, NOUN 
groups, NOUN 
PGA/, NOUN 

, SPACE 
β, X 
TCP, ADJ 
scaffolds, NOUN 
control, NOUN 
groups, NOUN 
pb0.05, NOUN 
30and, NOUN 
90, NUM 
days, NOUN 
surgery, NOUN 
BV, PROPN 
TV, PROPN 
implant, ADJ 
theHAP, PROPN 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
groups, NOUN 

, SPACE 
76.5±3.0, PROPN 
37.3±3.0, NUM 
91.7±5.0, NOUN 
96.4±2.0, NUM 
respectively, ADV 
at90, PROPN 
days, NOUN 
surgery, NOUN 
evident, ADJ 
distinction, NOUN 

, SPACE 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
group, NOUN 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
group, NOUN 

, SPACE 
new, ADJ 
bone, NOUN 
quantity, NOUN 
time, NOUN 
period, NOUN 
observed, VERB 

, SPACE 
Fig, PROPN 
8, NUM 
shows, VERB 
new, ADJ 
bone, NOUN 
BMD, PROPN 
group, NOUN 
ﬂects, VERB 
new, ADJ 

, SPACE 
bone, NOUN 
strength, NOUN 
mineralization, NOUN 
time, NOUN 
point, NOUN 
BMD, PROPN 
inmg, PROPN 
cm, PROPN 

, SPACE 
3, NUM 
implant, ADJ 
HAP, PROPN 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
PGA/, NOUN 
β, X 
TCP, NOUN 

, SPACE 
1:3, NUM 
385.1±19.9, ADJ 
390.4±18.1, ADJ 
563.8±26.9, PROPN 
606.3±26.9,respectively, NUM 
90, NUM 
days, NOUN 
surgery, NOUN 
evident, ADJ 

, SPACE 
distinction, NOUN 
BMD, PROPN 
control, NOUN 
groups, NOUN 
14, NUM 
days, NOUN 

, SPACE 
Fig, PROPN 
5, NUM 
Micro, PROPN 
CT, PROPN 
images, NOUN 
80, NUM 
kV/120, NUM 
mA, NUM 
100, NUM 
μm, NOUN 
slice, NOUN 
thickness, NOUN 
showing, VERB 
mineralization, NOUN 
osteogenesis, NOUN 
rat, PROPN 
femoral, ADJ 
distal, ADJ 
end, NOUN 
implants, NOUN 
group, NOUN 
0, NUM 
14, NUM 
30, NUM 

, SPACE 
90, NUM 
days, NOUN 
post, NOUN 
surgery, NOUN 
90, NUM 
days, NOUN 
surgery, NOUN 
good, ADJ 
bone, NOUN 
appearance, NOUN 
PGA, PROPN 
β, PROPN 
-TCP, NOUN 
groups, NOUN 
c-90, ADV 
d-90, VERB 
irregular, ADJ 
surface, NOUN 
HAP, PROPN 
group, NOUN 
b-90, PROPN 

, SPACE 
conspicuous, ADJ 
introcession, NOUN 
remained, VERB 
implant, ADJ 
group, NOUN 
a-90, PROPN 
shown, VERB 
arrows, NOUN 
implant, ADJ 
group, NOUN 
b, PROPN 
HAP, PROPN 
group, NOUN 
c, PROPN 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
d, X 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
dashed, VERB 

, SPACE 
line, NOUN 
frame, NOUN 
implant, ADJ 
area.390, ADJ 
H., PROPN 
Cao, PROPN 
N., PROPN 
Kuboyama, PROPN 
Bone, PROPN 
46, NUM 
2010, NUM 
386, NUM 
395, NUM 

, SPACE 
Fig, PROPN 
6, NUM 
Histological, ADJ 
micrographs, NOUN 
H, NOUN 
E, PROPN 
×40, PROPN 
specimens, NOUN 
group, NOUN 
0, NUM 
14, NUM 
30, NUM 
90, NUM 
days, NOUN 
surgery, NOUN 
biodegradation, NOUN 
PGA/, NOUN 
β, X 
TCP, ADJ 
groups, NOUN 
match, VERB 
new, ADJ 
bone, NOUN 

, SPACE 
regeneration, NOUN 
rate, NOUN 
c, NOUN 
d, NUM 
HAP, PROPN 
remain, VERB 
90, NUM 
days, NOUN 
surgery, NOUN 
implant, ADJ 
group, NOUN 
b, PROPN 
HAP, PROPN 
group, NOUN 
c, PROPN 
PGA, PROPN 
β, X 
-TCP, PROPN 
1:1, NUM 
d, X 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
Black, ADJ 
arrows, NOUN 
materials, NOUN 

, SPACE 
green, ADJ 
arrows, NOUN 
new, ADJ 
bone, NOUN 
dashed, VERB 
line, NOUN 
frame, NOUN 
implant, ADJ 
area, NOUN 
scale, NOUN 
bar, NOUN 
1, NUM 
mm, NUM 

, SPACE 
Fig, PROPN 
7, NUM 
New, ADJ 
bone, NOUN 
volume, NOUN 
total, ADJ 
volume, NOUN 
ratio, NOUN 
BV, PROPN 
TV, PROPN 
group, NOUN 
evaluating, VERB 
quantity, NOUN 
new, ADJ 
bone, NOUN 
BV, PROPN 
TV, PROPN 
PGA, PROPN 
b, PROPN 
TCP, ADJ 
scaffolds, NOUN 
greater, ADJ 
pure, ADJ 
HAP, PROPN 

, SPACE 
group, NOUN 
30, NUM 
90, NUM 
days, NOUN 
pb0.001, PROPN 
⁎pb0.05, PROPN 
⁎⁎pb0.01, PROPN 
⁎⁎⁎pb0.001, NOUN 
n=5).391, PROPN 
H., PROPN 
Cao, PROPN 
N., PROPN 
Kuboyama, PROPN 
Bone, PROPN 
46, NUM 
2010, NUM 
386, NUM 
395, NUM 

, SPACE 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
group, NOUN 
implant, ADJ 
control, NOUN 

, SPACE 
group, NOUN 
30, NUM 
days, NOUN 

, SPACE 
InFigs, PROPN 
7, NUM 
Fig, PROPN 
8, NUM 
BV, PROPN 
TV, PROPN 
BMD, PROPN 
new, ADJ 
bone, NOUN 
HAP, PROPN 

, SPACE 
group, NOUN 
lowest, ADJ 
groups, NOUN 

, SPACE 
consistent, ADJ 
Fig, PROPN 
5, NUM 
reason, NOUN 
reported, VERB 
BMD, PROPN 
data, NOUN 

, SPACE 
described, VERB 
new, ADJ 
bone, NOUN 
mineralization, NOUN 
subtract, VERB 
BMD, PROPN 
thematerials, NOUN 
density, NOUN 
HAP, PROPN 
highest, ADJ 
implanted, VERB 

, SPACE 
materials, NOUN 
large, ADJ 
remaining, NOUN 
HAP, NOUN 
different, ADJ 
times, NOUN 

, SPACE 
observed, VERB 
Fig, PROPN 
6, NUM 
brightness, NOUN 
HAP, NOUN 
different, ADJ 

, SPACE 
times, NOUN 
highest, ADJ 
groups, NOUN 
variation, NOUN 
notobvious, ADJ 
micro, ADJ 
CT, PROPN 
images, NOUN 
Fig, PROPN 
5, NUM 

, SPACE 
results, NOUN 
indicate, VERB 
PGA/, NOUN 
β, X 
TCP, ADJ 
composite, NOUN 
allows, VERB 

, SPACE 
rapid, ADJ 
mineralization, NOUN 
osteogenesis, NOUN 
pure, ADJ 
HAP, PROPN 

, SPACE 
consistent, ADJ 
vivo, PROPN 
micro, ADJ 
CT, PROPN 
images, NOUN 
described, VERB 

, SPACE 

, SPACE 
Histological, ADJ 
analysis, NOUN 
H, NOUN 
E, NOUN 
staining, NOUN 

, SPACE 
Photomicrographs, PROPN 
cross, NOUN 
sections, NOUN 
H, NOUN 
E, NOUN 
staining, NOUN 

, SPACE 
femoral, ADJ 
medial, ADJ 
epicondyle, NOUN 
bone, NOUN 
defect, NOUN 
sites, NOUN 
groups, NOUN 
different, ADJ 

, SPACE 
times, NOUN 
surgery, NOUN 
presented, VERB 
Fig, PROPN 
6, NUM 

, SPACE 
day, NOUN 
0, NUM 
90, NUM 
days, NOUN 
defect, NOUN 
sites, NOUN 
implanted, VERB 
PGA/, NOUN 
β, X 
TCP, NOUN 

, SPACE 
1:1, NUM 
PGA/, NOUN 
β, X 
TCP, ADJ 
1:3, NUM 
similar, ADJ 
histological, ADJ 
appearance(Fig, NOUN 
6, NUM 
c, NOUN 
d, NUM 
90, NUM 
days, NOUN 
PGA/, NOUN 
β, X 
TCP, ADJ 
scaffolds, NOUN 
substituted, VERB 

, SPACE 
completely, ADV 
newly, ADV 
formed, VERB 
bone, NOUN 
newly, ADV 
formed, VERB 

, SPACE 
bones, NOUN 
possessed, VERB 
intact, ADJ 
structures, NOUN 
femora, PROPN 
metaphysis, PROPN 
including, VERB 

, SPACE 
continuous, ADJ 
cortical, ADJ 
bone, NOUN 
surface, NOUN 
cancellous, ADJ 
tissue, NOUN 

, SPACE 
marrow, NOUN 
cavity, NOUN 
ﬁlled, VERB 
bone, NOUN 
marrow, NOUN 
spread, VERB 

, SPACE 
cancellous, ADJ 
bone, NOUN 

, SPACE 
biodegradation, NOUN 
HAP, PROPN 
slow, ADJ 
remained, VERB 

, SPACE 
90, NUM 
days, NOUN 
Fig, PROPN 
6, NUM 
b-90, NOUN 
implant, ADJ 
control, NOUN 
support, NOUN 

, SPACE 
materials, NOUN 
new, ADJ 
bone, NOUN 
grew, VERB 
basal, NOUN 
rate, NOUN 
bone, NOUN 

, SPACE 
formation, NOUN 
slow, ADJ 
90, NUM 
days, NOUN 
small, ADJ 
defect, NOUN 

, SPACE 
bone, NOUN 
repair, NOUN 
Fig, PROPN 
6, NUM 
a-90, NOUN 

, SPACE 
Biodegradation, PROPN 
implanted, VERB 
materials, NOUN 

, SPACE 
percent, NOUN 
material, NOUN 
biodegradation, NOUN 
different, ADJ 
times, NOUN 

, SPACE 
surgery, NOUN 
shown, VERB 
Fig, PROPN 
9, NUM 
90, NUM 
days, NOUN 
biodegradation, NOUN 
percents, NOUN 

, SPACE 
HAP, PROPN 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:1, NUM 
PGA/, NOUN 
β, X 
TCP, PROPN 
1:3, NUM 
35.1±5.5, NUM 

, SPACE 
99.0±1.0, PROPN 
96.2±3.3, PROPN 
respectively, ADV 
PGA/, NOUN 
β, X 
TCP, ADJ 
groups, NOUN 

, SPACE 
markedly, ADV 
faster, ADV 
HAP, PROPN 
group, NOUN 
pb0.05, NOUN 

, SPACE 
completed, VERB 
biodegradation, NOUN 
90, NUM 
days, NOUN 
surgery, NOUN 

