CwJ, X 
K., PROPN 
Yamanishi, PROPN 
S., PROPN 
Yasunaga, PROPN 
Y., PROPN 
Kawagoe, PROPN 
K., PROPN 
Sate, PROPN 
K., PROPN 

, SPACE 
Imada, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 
37/38, NUM 
1989, NUM 
930, NUM 
A., PROPN 
Ryohman, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 
80/81, NUM 
1993, NUM 
1313, NUM 

, SPACE 
5, X 
K., PROPN 
Yamanishi, PROPN 
Y., PROPN 
Minowa, PROPN 
A., PROPN 
Shuhara, PROPN 
Proc, PROPN 
Int, PROPN 
Ion, NOUN 
Engi-, X 

, SPACE 
neering, VERB 
Congress, PROPN 
ISIAT’83&IPAT’83, NOUN 
Kyoto, PROPN 
1983, NUM 
p., NOUN 
1203, NUM 

, SPACE 
161, NUM 
Y., PROPN 
Minowa, PROPN 
K., PROPN 
Yamanishi, PROPN 
K., PROPN 
Tsukamoto, PROPN 
J., PROPN 
Vat, PROPN 
Sci, PROPN 

, SPACE 
Technol, PROPN 
B, PROPN 
l/4, PUNCT 
1983, NUM 
1148, NUM 

, SPACE 
