cm, INTJ 
univocally, ADV 
obtained, VERB 

, SPACE 
monitoring, VERB 
irradiation, NOUN 
induced, VERB 
modification, NOUN 

, SPACE 
valence, NOUN 
band, NOUN 
structure, NOUN 
Fig, PROPN 
2, NUM 
reports, NOUN 
uppermost, ADJ 

, SPACE 
valence, NOUN 
bands, NOUN 
virgin, PROPN 
sample, NOUN 
Fig, PROPN 
2a, PROPN 

, SPACE 
2, NUM 
keV, NOUN 
Arf, PROPN 
irradiated, VERB 
Fig, PROPN 
2b, NUM 
case, NOUN 
pure, ADJ 

, SPACE 
ZrO, PROPN 
Yttria, PROPN 
doped, VERB 
ZrO, PROPN 
theoretical, ADJ 
calcula-, NOUN 

, SPACE 
tions, NOUN 
showed, VERB 
levels, NOUN 
correspond, VERB 
bonding, NOUN 

, SPACE 
levels, NOUN 
formed, VERB 
essentially, ADV 
02~, NOUN 
bands, NOUN 
weak, ADJ 

, SPACE 
d, NOUN 
character, NOUN 
expected, VERB 
Zr, PROPN 
Y, PROPN 
4d(O, NUM 
configuration, NOUN 

, SPACE 
15, NUM 
particular, ADJ 
doublet, NOUN 
Fig, PROPN 
2a, PROPN 
consists, VERB 
essen-, NOUN 

, SPACE 
tially, ADV 
component, NOUN 
0, NUM 
2pa, ADJ 
molecular, ADJ 
orbit, NOUN 

, SPACE 
centred, VERB 
7.8, NUM 
eV, NUM 
present, ADJ 
spectra, NOUN 
component, NOUN 

, SPACE 
02prr, NOUN 
roughly, ADV 
centred, VERB 
5.5, NUM 
eV, NUM 
10,14,15, NUM 

, SPACE 
note, VERB 
absolute, ADJ 
value, NOUN 
bonding, NOUN 
levels, NOUN 

, SPACE 
matter, NOUN 
debate, NOUN 
experimental, ADJ 
factors, NOUN 

, SPACE 
physical, ADJ 
structure, NOUN 
oxide, NOUN 
layer, NOUN 

, SPACE 
thickness, NOUN 
crystalline, ADJ 
structure, NOUN 
etc, X 
affect, VERB 
correct, ADJ 

, SPACE 
determination, NOUN 
B.E., PROPN 
bonding, NOUN 
levels, NOUN 

, SPACE 
respect, NOUN 
Fermi, PROPN 
level, NOUN 
Accordingly, ADV 
positioned, VERB 

, SPACE 
spectra, NOUN 
respect, NOUN 
apparent, ADJ 
B.E., PROPN 
remov-, PRON 

, SPACE 
ing, VERB 
work, NOUN 
function, NOUN 
spectrometer, NOUN 

, SPACE 
Ar+, ADJ 
irradiation, NOUN 
shape, NOUN 
va-, ADJ 

, SPACE 
lence, NOUN 
band, NOUN 
significantly, ADV 
modified, VERB 
particular, ADJ 

, SPACE 
interesting, ADJ 
feature, NOUN 
corresponds, NOUN 
new, ADJ 
broad, ADJ 
band, NOUN 

, SPACE 
appears, VERB 
bandgap, NOUN 
centroid, NOUN 
0, NUM 
eV., ADJ 

, SPACE 
new, ADJ 
band, NOUN 
filling, NOUN 
4d, PROPN 
orbitals, NOUN 

, SPACE 
altered, VERB 
layer, NOUN 
141, NUM 
i.e., X 
formation, NOUN 
reduced, VERB 
Zr(III, NUM 

, SPACE 
Zr(I1, PROPN 
species, NOUN 
agreement, NOUN 
spectral, ADJ 
evidence, NOUN 

, SPACE 
-2, X 
-0, NOUN 
2, NUM 
4, NUM 
6, NUM 
2, NUM 
10, NUM 
12, NUM 

, SPACE 
Binding, VERB 
energy, NOUN 
t?V, PROPN 

, SPACE 
Fig, PROPN 
2, NUM 
Valence, NOUN 
band, NOUN 
region, NOUN 
surface, NOUN 
8, NUM 
wt.%, PROPN 
Y203-, PROPN 

, SPACE 
ZrO, PROPN 
samples, NOUN 
b, NOUN 
4, NUM 
keV, AUX 
Ar+-etched, VERB 

, SPACE 
G.M., PROPN 
lngo, NOUN 
G., PROPN 
Marletta, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
440, NUM 
446, NUM 
443, NUM 

, SPACE 
reported, VERB 
core, NOUN 
Zr3d, ADJ 
peaks, NOUN 
Fig, PROPN 
1, NUM 
recall, VERB 

, SPACE 
possible, ADJ 
contribution, NOUN 
Y, PROPN 
species, NOUN 
V.B., PROPN 

, SPACE 
structure, NOUN 
negligible, ADJ 
low, ADJ 
concentration, NOUN 

, SPACE 
Y, PROPN 
Y, PROPN 
Zr, PROPN 
atomic, ADJ 
ratio, NOUN 
0.085, NUM 
0.091, NUM 

, SPACE 
expected, VERB 
8, NUM 
wt.%, PROPN 
doping, NOUN 

, SPACE 
results, NOUN 
indicate, VERB 
clearly, ADV 
reduction, NOUN 
process, NOUN 

, SPACE 
induced, VERB 
ion, NOUN 
irradiation, NOUN 
YSZ, PROPN 
samples, NOUN 
reduc-, ADJ 

, SPACE 
tion, NOUN 
effect, NOUN 
ZrO,-based, VERB 
materials, NOUN 
observed, VERB 

, SPACE 
research, NOUN 
groups, NOUN 
induced, VERB 
electron-, X 

, SPACE 
1161, NUM 
ion, NOUN 
irradiation, NOUN 
3,14,17, NUM 
201, NUM 
general, ADJ 

, SPACE 
interpretation, NOUN 
0, NUM 
loss, NOUN 
ZrO, PROPN 
stable, ADJ 
oxide, NOUN 

, SPACE 
attributed, VERB 
chemically, ADV 
guided, VERB 
mecha-, PART 

, SPACE 
nism, NOUN 
based, VERB 
formation, NOUN 
met&able, ADJ 
phase, NOUN 

, SPACE 

, SPACE 
2r, PROPN 
3d, NOUN 

, SPACE 
=, NOUN 
O, NOUN 

, SPACE 
Zr, PROPN 
O, INTJ 
demanding, VERB 
0.95, NUM 
eV, NUM 
atom, NOUN 
instead, ADV 

, SPACE 
3.8, NUM 
eV, SYM 
atom, NOUN 
needed, VERB 
obtain, VERB 
complete, ADJ 

, SPACE 
unlike, ADJ 
reduction, NOUN 
metallic, ADJ 
cations, NOUN 
3,4, NUM 

, SPACE 
open, ADJ 
problem, NOUN 
materials, NOUN 
consists, VERB 

, SPACE 
extent, NOUN 
dependence, NOUN 
reduction, NOUN 
ion, NOUN 
energy, NOUN 

, SPACE 
fluence, NOUN 
authors, NOUN 
claimed, VERB 
ZrO, PROPN 

, SPACE 
thin, ADJ 
films, NOUN 
extensive, ADJ 
reduction, NOUN 
occurs, VERB 
producing, VERB 

, SPACE 
predominant, ADJ 
Zr(I1, PROPN 
species, NOUN 
metallic, ADJ 
Zr, PROPN 

, SPACE 
species, NOUN 
14,19, NUM 
hand, NOUN 
authors, NOUN 
work-, VERB 

, SPACE 
ing, PROPN 
ZrO, PROPN 
powder, NOUN 
compacts, NOUN 
thick, ADJ 
layers, NOUN 
observed, VERB 

, SPACE 
mild, ADJ 
reduction, NOUN 
producing, VERB 
mainly, ADV 
Zr(II1, PROPN 

, SPACE 
species, NOUN 
final, ADJ 
substoichiometric, ADJ 
layer, NOUN 
Zr0,,so_s5, PROPN 

, SPACE 
3,16, NUM 
18,201, NUM 
order, NOUN 
provide, VERB 
dam, NOUN 

, SPACE 
r, NOUN 

, SPACE 
178, NUM 
182, NUM 
186, NUM 

, SPACE 
Binding, VERB 
energy, NOUN 
eV, PROPN 
178, NUM 
182, NUM 
186, NUM 

, SPACE 
Binding, VERB 
energy, NOUN 
eV, PROPN 

, SPACE 
Fig, PROPN 
3, X 
XPS, PROPN 
spectra, PROPN 
energy, NOUN 
region, NOUN 
Zr3d, NOUN 
3d, PROPN 
region, NOUN 
virgin, ADJ 
8, NUM 
wt.%, PROPN 
Y, PROPN 
O,-ZrO, PROPN 
ion, NOUN 
irradiated, VERB 
surfaces, NOUN 

, SPACE 
b, PROPN 
bulk, NOUN 
like, NOUN 
c, NOUN 
surface, NOUN 
enhanced, VERB 
spectra, NOUN 
Ar, PROPN 
1, NUM 
keV, NOUN 
fluence, NOUN 
=, PROPN 
5.6, NUM 
X, NOUN 
lOI, X 
cm-, X 
d, X 
bulk, NOUN 
like, ADJ 
e, NOUN 
surface, NOUN 
enhanced, VERB 
spectxa, NOUN 

, SPACE 
Ar, PROPN 
2, NUM 
keV, NOUN 
fluence, NOUN 
=, PROPN 
1.3, NUM 
X, NOUN 
10, NUM 
cm-, PROPN 
f, X 
>, X 
bulk, NOUN 
like, ADJ 
g, NOUN 
surface, NOUN 
enhanced, VERB 
spectra, NOUN 
Ar, PROPN 
4, NUM 
keV, NOUN 
fluence, NOUN 
=, PROPN 
1.3, NUM 
X, NOUN 
10, NUM 
cm-, PROPN 

, SPACE 
sampling, VERB 
depth, NOUN 
bulk, NOUN 
like, ADJ 
spectra, NOUN 
6.6, NUM 
nm, NOUN 
surface, NOUN 
enhanced, VERB 
spectra, NOUN 
3.3, NUM 
mn, NOUN 
components, NOUN 
assigned, VERB 
Fig, PROPN 

, SPACE 
f, PROPN 

, SPACE 
444, NUM 
G.M., PROPN 
Ingo, PROPN 
G., PROPN 
Marletta, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
440, NUM 
446, NUM 

, SPACE 
controversial, ADJ 
point, NOUN 
performed, VERB 
series, NOUN 
experiments, NOUN 

, SPACE 
determine, VERB 
evolution, NOUN 
reduced, VERB 
phase, NOUN 

, SPACE 
thick, ADJ 
film, NOUN 
YSZ, PROPN 

, SPACE 
Fig, PROPN 
3, NUM 
reports, NOUN 
irradiation, NOUN 
effects, NOUN 
Zr3d, ADJ 
region, NOUN 

, SPACE 
induced, VERB 
ions, NOUN 
different, ADJ 
energy, NOUN 
different, ADJ 
flu-, PROPN 

, SPACE 
ence, NOUN 
samples, NOUN 
analysed, VERB 
bulk, NOUN 
like, ADJ 

, SPACE 
surface, NOUN 
enhanced, VERB 
modes, NOUN 
order, NOUN 
provide, VERB 
insight, NOUN 

, SPACE 
nature, NOUN 
phenomenon, NOUN 
spectra, PROPN 
reported, VERB 

, SPACE 
Figs, PROPN 
3a, PROPN 
3b, NUM 
3d, NOUN 
3f, NOUN 
obtained, VERB 
angle, NOUN 

, SPACE 
Y, PROPN 
=, NOUN 
O, PROPN 
i.e., X 
sampling, VERB 
depth, NOUN 
6.6, NUM 
nm, NOUN 
Spectra, PROPN 
3c, NUM 

, SPACE 
3e, NOUN 
3, NUM 
g, NOUN 
obtained, VERB 
angle, NOUN 

, SPACE 
Y, PROPN 
=, SYM 
60, NUM 
i.e., X 
sampling, VERB 
depth, NOUN 
3.3, NUM 
nm, NOUN 
13, NUM 

, SPACE 
comparison, NOUN 
spectra, PROPN 
3b, PROPN 
3c, NOUN 
bulk, NOUN 
like, INTJ 

, SPACE 
spectra, ADJ 
3d, NOUN 
3e, NOUN 
surface, NOUN 
enhanced, VERB 
suggests, VERB 

, SPACE 
energy, NOUN 
threshold, NOUN 
exist, VERB 
reduction, NOUN 
far, ADV 
1, NUM 

, SPACE 
keV, NOUN 
Ar+, NOUN 
irradiation, NOUN 
induce, VERB 
measurable, ADJ 
re-, ADP 

, SPACE 
duction, NOUN 
Figs, PROPN 
3b-3c, PROPN 
experiments, NOUN 
Labora-, PROPN 

, SPACE 
tory, NOUN 
reported, VERB 
shown, VERB 
1, NUM 
keV, NOUN 
Ar, PROPN 
ions, NOUN 

, SPACE 
able, ADJ 
promote, VERB 
reduction, NOUN 
fluence, NOUN 

, SPACE 
1, NUM 
X, NUM 
10, NUM 
ions, NOUN 
cm, PROPN 
energy, NOUN 
fluence, NOUN 
thresholds, NOUN 

, SPACE 
Ar, PROPN 
ions, NOUN 
exist, VERB 
energies, NOUN 
higher, ADJ 
1, NUM 

, SPACE 
keV, NOUN 
fluence, VERB 
higher, ADJ 
1, NUM 
X, NUM 
10, NUM 
ions, NOUN 
cm, PROPN 
needed, VERB 

, SPACE 
promote, VERB 
cation, NOUN 
reduction, NOUN 

, SPACE 
hand, NOUN 
comparison, NOUN 
spectra, ADJ 
3d-3e, NUM 

, SPACE 
3f-3, NUM 
g, NOUN 
suggests, VERB 
ions, NOUN 
increasing, VERB 
energy, NOUN 
increasing, VERB 
effectiveness, NOUN 
promoting, VERB 
reduction, NOUN 
Zr, PROPN 

, SPACE 
fact, NOUN 
spectra, NOUN 
refer, VERB 
samples, NOUN 
irradiated, VERB 
respectively, ADV 

, SPACE 
2, NUM 
4, NUM 
keV, NOUN 
Ar+, NOUN 
total, ADJ 
fluence, NOUN 

, SPACE 
1.3, NUM 
X, NUM 
10, NUM 
ions, NOUN 
cm, PROPN 
According, VERB 
figure, NOUN 
2, NUM 
keV, NOUN 

, SPACE 
Arf, PROPN 
irradiation, NOUN 
promotes, VERB 
low, ADJ 
detectable, ADJ 

, SPACE 
reduction, NOUN 
Zr(IV, PROPN 
Zr(III, NUM 
reduced, VERB 
species, NOUN 
resulting, VERB 

, SPACE 
segregated, VERB 
surface, NOUN 
indicated, VERB 
fluence, NOUN 

, SPACE 
1, NUM 
X, NUM 
10, NUM 
ions, NOUN 
cm2, NOUN 
onset, ADJ 
fluence, NOUN 

, SPACE 
Zr, PROPN 
reduction, NOUN 
Fig, PROPN 
3d, PROPN 
variance, NOUN 
4, NUM 
keV, NOUN 
Art, NOUN 

, SPACE 
irradiation, NOUN 
induces, VERB 
significant, ADJ 
reduction, NOUN 
Z&V, PROPN 

, SPACE 
Z&II, PROPN 
small, ADJ 
extent, NOUN 
Z&I, PROPN 
species, NOUN 
reduced, VERB 

, SPACE 
species, NOUN 
abundant, ADJ 
depth, NOUN 
i.e., X 
buried, VERB 

, SPACE 
altered, ADJ 
layer, NOUN 

, SPACE 
Fig, PROPN 
4, NUM 
reports, NOUN 
effects, NOUN 
Ar+, ADJ 
irradiation, NOUN 

, SPACE 
oxidation, NOUN 
state, NOUN 
Y, PROPN 
atoms, NOUN 
present, ADJ 
structure, NOUN 

, SPACE 
samples, NOUN 
general, ADJ 
trend, NOUN 
respect, NOUN 
ion, NOUN 
fluence, NOUN 

, SPACE 
close, ADJ 
obtained, VERB 
Zr, PROPN 
atoms, NOUN 
Y(II1, NOUN 

, SPACE 
species, NOUN 
reduced, VERB 
Y(II, PROPN 
species, NOUN 

, SPACE 
ArC, PROPN 
fluence, NOUN 
energy, NOUN 
increase, NOUN 
Accordingly, ADV 

, SPACE 
case, NOUN 
irradiation, NOUN 
2, NUM 
keV, NOUN 
effective, ADJ 

, SPACE 
irradiation, NOUN 
4, NUM 
keV, NOUN 
Ar, PROPN 
ions, NOUN 
Furthermore, ADV 
profile, NOUN 

, SPACE 
Y, PROPN 
reduced, VERB 
species, NOUN 
tend, VERB 
follow, VERB 
reduced, VERB 

, SPACE 
Zr, PROPN 
ones, NOUN 
Y(I1, NOUN 
depth, NOUN 
4, NUM 
keV, NOUN 
Ar, PROPN 
irradiated, VERB 

, SPACE 
samples, NOUN 

, SPACE 
Fig, PROPN 
5, NUM 
reports, NOUN 
respectively, ADV 
information, NOUN 
rela-, NOUN 

, SPACE 
152, NUM 
156, NUM 
160, NUM 
164, NUM 
152, NUM 
156, NUM 
160, NUM 
164, NUM 

, SPACE 
Binding, VERB 
energy, NOUN 
eV, PROPN 
Binding, VERB 
energy, NOUN 
eV, PROPN 

, SPACE 
Fig, PROPN 
4, NUM 
XPS, PROPN 
spectra, PROPN 
energy, NOUN 
region, NOUN 
Y, PROPN 
3d,,,-3d, NUM 
region, NOUN 
oE, ADV 
virgin, ADJ 
8, NUM 
wt.%, PROPN 
Y, PROPN 
O,-ZrO, PROPN 
ion, NOUN 
irradiated, VERB 
surfaces, NOUN 
b, X 

, SPACE 
bulk, NOUN 
like, ADJ 
aad, NOUN 
c, NOUN 
surface, NOUN 
enhanced, VERB 
spectra, NOUN 
Ar, PROPN 
2, NUM 
keV, NOUN 
fluence, NOUN 
=, PROPN 
1.3, NUM 
X, NOUN 
1, NUM 
017, NUM 
cm-, NOUN 
>, X 
d, X 
bulk, NOUN 
like, NOUN 
f, PROPN 
surface, NOUN 
enhanced, VERB 
spectra, NOUN 
Ar, PROPN 

, SPACE 
4, NUM 
keV, NOUN 
fluence, NOUN 
=, PROPN 
1.3, NUM 
X, NOUN 
lO”cm-, PROPN 
sampling, VERB 
depth, NOUN 
bulk, NOUN 
like, ADJ 
spectra, NOUN 
6.6, NUM 
MI, NOUN 
surface, NOUN 
enhanced, VERB 
spectra, NOUN 
3.3, NUM 
urn, NOUN 

, SPACE 
components, NOUN 
assigned, VERB 
Fig, PROPN 
1, NUM 

, SPACE 
G.M., PROPN 
Ingo, PROPN 
G., PROPN 
Marletta, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
440, NUM 
446, NUM 
445, NUM 

, SPACE 
x, SYM 
ZrOx, PROPN 

, SPACE 
1.5, NUM 
f, PROPN 

, SPACE 
x, PROPN 
YOX, PROPN 

, SPACE 
1.4, NUM 
S, NOUN 

, SPACE 
1.3, NUM 
b, DET 
5, NUM 

, SPACE 
1.2, NUM 

, SPACE 
a.r, PROPN 
2, NUM 
keV, NOUN 
1.3~10, PROPN 
4, NUM 
keV, NOUN 
1.3~10, PROPN 

, SPACE 
Fig, PROPN 
5, NUM 
Histograms, NOUN 
x, NOUN 
value, NOUN 
Zro, PROPN 
l/2, VERB 
Y, NOUN 
O, INTJ 

, SPACE 
function, NOUN 
ion, NOUN 
energy, NOUN 
XPS, PROPN 
sampling, VERB 
depth, NOUN 
b, PROPN 
traces, NOUN 

, SPACE 
indicate, VERB 
data, NOUN 
bulk, NOUN 
like, ADJ 
spectra, NOUN 
s, PROPN 
traces, NOUN 
indicate, VERB 
data, NOUN 

, SPACE 
surface, NOUN 
enhanced, VERB 
spectra, NOUN 
data, NOUN 
calculated, VERB 

, SPACE 
curve, NOUN 
fitting, NOUN 
XPS, PROPN 
spectra, NOUN 
reported, VERB 
Figs, PROPN 
2, NUM 
3, NUM 

, SPACE 
tive, NOUN 
content, NOUN 
Zr-, PROPN 
Y, PROPN 
related, VERB 
oxygen, NOUN 
content, NOUN 

, SPACE 
virgin, NOUN 
Ar+, NUM 
irradiated, VERB 
samples, NOUN 
calculation, NOUN 

, SPACE 
performed, VERB 
taking, VERB 
account, NOUN 
percentage, NOUN 

, SPACE 
reduced, VERB 
Zr(II1, NOUN 
ZrfII, PROPN 
Y(I1, PROPN 
species, NOUN 

, SPACE 
normalised, VERB 
respectively, ADV 
initial, ADJ 
100, NUM 
Z&V, PROPN 

, SPACE 
x, SYM 
=, SYM 
2.0, NUM 
Y(II1, NOUN 
x, SYM 
=, SYM 
1.5, NUM 
Fig, PROPN 
5, NUM 
con-, NOUN 

, SPACE 
tains, NOUN 
interesting, ADJ 
feature, NOUN 
indicating, VERB 
starting, NOUN 

, SPACE 
reversal, NOUN 
profile, NOUN 
reduced, VERB 
Zr, PROPN 
Y, PROPN 
species, NOUN 

, SPACE 
fact, NOUN 
comparison, NOUN 
bulk, NOUN 
like, ADJ 
b, PROPN 
traces, NOUN 

, SPACE 
figure, NOUN 
surface, NOUN 
enhanced, VERB 
dam, NOUN 
s, NOUN 
traces, VERB 
fig-, NOUN 

, SPACE 
ure, ADJ 
2, NUM 
keV, NOUN 
irradiated, VERB 
samples, NOUN 
indicate, VERB 
reduced, VERB 

, SPACE 
species, NOUN 
lies, VERB 
altered, VERB 
layer, NOUN 

, SPACE 
comparison, NOUN 
4, NUM 
keV, NOUN 
irradiated, VERB 
samples, NOUN 
indicate, VERB 

, SPACE 
reduced, VERB 
species, NOUN 
depth, NOUN 
higher, ADJ 

, SPACE 
energy, NOUN 

, SPACE 
results, NOUN 
shown, VERB 
Figs, PROPN 
3, NUM 
5, NUM 
deserve, VERB 
careful, ADJ 

, SPACE 
discussion, NOUN 
particular, ADJ 
facts, NOUN 
de-, ADJ 

, SPACE 
fined, VERB 
higher, ADJ 
ion, NOUN 
energy, NOUN 
extended, ADJ 

, SPACE 
reduction, NOUN 
b, X 
4, NUM 
keV, NOUN 
Ar, PROPN 
irradiation, NOUN 
reduced, VERB 
Zr, PROPN 

, SPACE 
Y, PROPN 
species, NOUN 
located, VERB 
beneath, ADP 
surface, NOUN 

, SPACE 
effects, NOUN 
analysed, VERB 
separately, ADV 

, SPACE 
effect, NOUN 
simple, ADJ 
explanation, NOUN 

, SPACE 
related, VERB 
mean, ADJ 
projected, VERB 
range, NOUN 
projectiles, NOUN 
in-, ADV 

, SPACE 
creasing, VERB 
energy, NOUN 
Accordingly, ADV 
difference, NOUN 
ion, NOUN 

, SPACE 
range, NOUN 
responsible, ADJ 
variation, NOUN 
thickness, NOUN 

, SPACE 
effectively, ADV 
altered, ADJ 
layer, NOUN 
turn, NOUN 
thicker, ADJ 

, SPACE 
altered, VERB 
layer, NOUN 
higher, ADJ 
detected, VERB 
concentration, NOUN 

, SPACE 
reduced, VERB 
species, NOUN 
explanation, NOUN 
involve, VERB 
dif-, ADJ 

, SPACE 
ference, NOUN 
total, ADJ 
deposited, VERB 
energy, NOUN 
ions, NOUN 
increasing, VERB 

, SPACE 
energy, NOUN 
irradiation, NOUN 
given, VERB 
fluence, NOUN 
1, NUM 
2, NUM 

, SPACE 
4, NUM 
keV, NOUN 
Ar, PROPN 
ions, NOUN 
involve, VERB 
increasing, VERB 
deposited, VERB 
energy, NOUN 
roughly, ADV 
factor, NOUN 
1.5, NUM 
1, NUM 
4, NUM 

, SPACE 
keV, NOUN 
turn, NOUN 
increasing, VERB 
efficiency, NOUN 
reduction, NOUN 

, SPACE 
process, NOUN 
point, VERB 
univoque, ADJ 
explanation, NOUN 

, SPACE 
reduction, NOUN 
efficiency, NOUN 
needs, VERB 
clarification, NOUN 

, SPACE 
relation, NOUN 
reduction, NOUN 
mechanism, NOUN 
primary, ADJ 

, SPACE 
energy, NOUN 
deposition, NOUN 
events, NOUN 

, SPACE 
second, ADJ 
effect, NOUN 
deserves, VERB 
careful, ADJ 

, SPACE 
discussion, NOUN 
chemically, ADV 
guided, VERB 
mechanisms, NOUN 
i.e., X 

, SPACE 
chemically, ADV 
random, ADJ 
enthalpy, NOUN 
guided, VERB 
ones, NOUN 
cur-, AUX 

, SPACE 
rently, ADV 
proposed, VERB 
account, VERB 
0, NUM 
loss, NOUN 
irradiated, ADJ 

, SPACE 
oxides, NOUN 
allow, VERB 
definite, ADJ 
expectation, NOUN 

, SPACE 
depth, NOUN 
distribution, NOUN 
0, NUM 
vacancies, NOUN 
4, NUM 
way, NOUN 

, SPACE 
rule, VERB 
possible, ADJ 
influence, NOUN 
merely, ADV 
ballistic, ADJ 

, SPACE 
mechanism, NOUN 
expect, VERB 
case, NOUN 
O, NOUN 
depleted, VERB 

, SPACE 
layer, NOUN 
lies, VERB 
surface, NOUN 
inhinsic, ADJ 
nature, NOUN 

, SPACE 
ballistic, ADJ 
mechanism, NOUN 
20, NUM 

, SPACE 
propose, VERB 
peculiar, ADJ 
behaviour, NOUN 
Zr, PROPN 

, SPACE 
reduced, VERB 
species, NOUN 
chemically, ADV 
guided, VERB 
mech-, NOUN 

, SPACE 
anism, NOUN 
i.e., X 
bombardment, NOUN 
induced, VERB 
Gibbsian, ADJ 
segrega-, ADJ 

, SPACE 
tion, NOUN 
BIS, PROPN 
4,21, X 
According, VERB 
mechanism, NOUN 
loss, NOUN 

, SPACE 
0, NUM 
induced, VERB 
projected, VERB 
range, NOUN 

, SPACE 
incoming, ADJ 
ions, NOUN 
preferential, ADJ 
sense, NOUN 
diffusion, NOUN 

, SPACE 
available, ADJ 
0, NUM 
atoms, NOUN 
energetically, ADV 
favoured, VERB 

, SPACE 
formation, NOUN 
surface, NOUN 
spike, NOUN 
0, NUM 
acting, VERB 
pump, NOUN 

, SPACE 
subsurface, NOUN 
atoms, NOUN 
process, NOUN 
consists, VERB 

, SPACE 
streaming, NOUN 
trapping, VERB 
depth, NOUN 
depleted, VERB 

, SPACE 
oxygen, NOUN 
surfacial, ADJ 
layer, NOUN 
framework, NOUN 

, SPACE 
account, VERB 
observed, ADJ 
difference, NOUN 
2, NUM 

, SPACE 
4, NUM 
keV, NOUN 
Arf, PROPN 
effect, NOUN 
fact, NOUN 

, SPACE 
critical, ADJ 
distance, NOUN 
damage, NOUN 
peak, NOUN 
surface, NOUN 

, SPACE 
oxygen, NOUN 
segregation, NOUN 
layer, NOUN 
detected, VERB 
XI, PROPN 

, SPACE 
thickness, NOUN 
critically, ADV 
related, VERB 
effective, ADJ 
0, NUM 

, SPACE 
escape, VERB 
depth, NOUN 
obviously, ADV 
depending, VERB 
chemical, NOUN 
na-, X 

, SPACE 
ture, NOUN 
oxide, NOUN 

, SPACE 
Accordingly, ADV 
reported, VERB 
experiments, NOUN 
suggest, VERB 

, SPACE 
0, NUM 
escape, NOUN 
depth, NOUN 
3, NUM 
nm, NOUN 
YSZ, PROPN 

, SPACE 
coincides, VERB 
projected, VERB 
range, NOUN 
2, NUM 
keV, NOUN 
Ar+, NOUN 
ions, NOUN 

, SPACE 
recall, VERB 
XI, PROPN 
technique, NOUN 
surface, NOUN 
enhanced, VERB 

, SPACE 
mode, NOUN 
sampling, VERB 
depth, NOUN 
3.3, NUM 
nm, NOUN 

, SPACE 
existence, NOUN 
possible, ADJ 
surface, NOUN 
O, NOUN 
rich, ADJ 
layer, NOUN 
remain, VERB 
unde-, ADJ 

, SPACE 
tectable, ADJ 
variance, NOUN 
clear, ADJ 
difference, NOUN 
seen, VERB 

, SPACE 
Ar, PROPN 
ion, NOUN 
projected, VERB 
range, NOUN 
4.8, NUM 
nm, ADJ 

, SPACE 
reduced, VERB 
species, NOUN 
detected, VERB 
bulk, NOUN 
like, ADJ 
mode, NOUN 

, SPACE 
sampling, VERB 
depth, NOUN 
6.6, NUM 
mn, NOUN 
surface, NOUN 
enhanced, VERB 

, SPACE 
mode, NOUN 

, SPACE 
4, X 
Conclusions, NOUN 

, SPACE 
Let, VERB 
summarize, VERB 
experimental, ADJ 
data, NOUN 

, SPACE 
reported, VERB 

, SPACE 
Ar+, ADJ 
irradiation, NOUN 
promotes, VERB 
reduction, NOUN 
Zr(IV, PROPN 

, SPACE 
Y(II1, NOUN 
cations, NOUN 
respectively, ADV 
Zr(III, NUM 
Zr(II, PROPN 

, SPACE 
Y(I1, PROPN 
species, NOUN 
producing, VERB 
respectively, ADV 
average, ADJ 
ZrO, PROPN 

, SPACE 
Y, PROPN 
O,,e, NOUN 
phase, NOUN 

, SPACE 
446, NUM 
G.M., PROPN 
Zngo, PROPN 
G., PROPN 
Marletta, PROPN 
Nucl, PROPN 
Znstr, PROPN 
Meth, PROPN 
Phys, PROPN 
Rex, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
440446, NUM 

, SPACE 
b, X 
>, X 
formation, NOUN 
rate, NOUN 
reduced, VERB 
species, NOUN 
increases, VERB 

, SPACE 
energy, NOUN 
primary, ADJ 
ion, NOUN 

, SPACE 
c, X 
reduced, VERB 
Z&II, PROPN 
Y(U, PROPN 
species, NOUN 
depth, NOUN 

, SPACE 
profile, NOUN 
peaked, VERB 
surface, NOUN 
2, NUM 
keV, NOUN 
Ar, PROPN 
ions, NOUN 
peaked, VERB 

, SPACE 
inside, ADP 
altered, VERB 
layer, NOUN 
4, NUM 
keV, NOUN 
Ar, PROPN 
ions, NOUN 

, SPACE 
d, X 
experimental, ADJ 
evidence, NOUN 
explained, VERB 

, SPACE 
framework, NOUN 
bombardment, NOUN 
induced, VERB 
Gibbsian, ADJ 
segrega-, ADJ 

, SPACE 
tion, NOUN 
model, NOUN 
accounting, VERB 
