CQa, PROPN 
comparison, NOUN 

, SPACE 
plume, ADJ 
contours, NOUN 
obtained, VERB 
square, ADJ 
spot, NOUN 
excimer, NOUN 

, SPACE 
laser, NOUN 
beam, NOUN 
reducing, VERB 
larger, ADJ 
lateral, ADJ 
dimension, NOUN 

, SPACE 
smaller, ADJ 
homogeneous, ADJ 
distribution, NOUN 

, SPACE 
energy, NOUN 
sides, NOUN 
provide, VERB 
identical, ADJ 
plume, NOUN 

, SPACE 
symmetry, NOUN 
observed, VERB 
circular, ADJ 
spot, NOUN 
13, NUM 

, SPACE 
case, NOUN 
excimer, NOUN 
laser, NOUN 

, SPACE 
unreduced, VERB 
small, ADJ 
dimension, NOUN 
kept, VERB 
energy, NOUN 
distri-, VERB 

, SPACE 
101, NUM 
1, NUM 

, SPACE 
x, SYM 
DIMENSION, NOUN 
LASER, PROPN 
SPOT, PROPN 
mm, PROPN 

, SPACE 
10, NUM 
L, NOUN 

, SPACE 
hv(248nm)--Cu, PROPN 

, SPACE 
L, PROPN 
J, PROPN 

, SPACE 
6, NUM 
8, NUM 
10, NUM 
12, NUM 

, SPACE 
ENERGY, PROPN 
FLUENCE, PROPN 
J, PROPN 
cm, PROPN 

, SPACE 
Fig, PROPN 
4, NUM 
Angular, ADJ 
distribution, NOUN 
terms, NOUN 
cos@, PROPN 
data, NOUN 

, SPACE 
laser, NOUN 
irradiated, VERB 
Cu, PROPN 
disk, NOUN 
Fig, PROPN 
3, NUM 
Plot, NOUN 
p, NOUN 
versus, ADP 
varying, VERB 

, SPACE 
laser, NOUN 
spot, NOUN 
dimension, NOUN 
x, PUNCT 
dimension, NOUN 
remaining, VERB 
fixed, VERB 

, SPACE 
1.0, NUM 
mm, NUM 
b, X 
Plot, NOUN 
p, NOUN 
versus, ADP 
fluence, NOUN 
case, NOUN 
of(b, VERB 
spot, NOUN 

, SPACE 
dimensions, NOUN 
2.4X, NOUN 
1.0, NUM 
mm, NUM 
views, NOUN 
xz, PROPN 
plane, NOUN 

, SPACE 
spot, NOUN 
b, NOUN 

, SPACE 
A., PROPN 
Mele, PROPN 
et, PROPN 
al./Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
257, NUM 
261, NUM 
261, NUM 

, SPACE 
.z, NOUN 
600, NUM 
ns, NUM 

, SPACE 
1, NUM 
TARGET, PROPN 
I600, PROPN 
ns, VERB 
1, NUM 

, SPACE 
TARGET, PROPN 
i(b)I, PROPN 

, SPACE 
Fig, PROPN 
5, NUM 
Set, NOUN 
dimensional, ADJ 
10, NUM 
density, NOUN 
contours, NOUN 
smoothened, VERB 
photographs, NOUN 
Cu, PROPN 
disk, NOUN 
laser, NOUN 
irradiated, VERB 

, SPACE 
indicated, VERB 
solid, ADJ 
circle, NOUN 
Details, NOUN 
delay, NOUN 
time, NOUN 
600, NUM 
ns, ADJ 
exposure, NOUN 
time, NOUN 
100, NUM 
ns, ADJ 
fluence, NOUN 
12, NUM 
J, PROPN 
cm, PROPN 
square, ADJ 
laser, NOUN 
spot, NOUN 

, SPACE 
views, NOUN 
indicated, VERB 
case, NOUN 
xz, PROPN 
yz, NOUN 
plane, NOUN 
spot, NOUN 
Grid, PROPN 
step, NOUN 
2, NUM 
mm, NOUN 
248, NUM 
nm, NOUN 
maxima, NOUN 

, SPACE 
0.8, NUM 
X, NUM 
0.8, NUM 
mm2, NUM 

, SPACE 
bution, NOUN 
acquires, VERB 
homoge-, ADJ 

, SPACE 
neous, ADJ 
distribution, NOUN 
original, ADJ 
dimension, NOUN 
reduced, VERB 

, SPACE 
distribution, NOUN 
produces, VERB 
plume, NOUN 
Fig, PROPN 
5a, PROPN 

, SPACE 
ZJ, PROPN 
plane, NOUN 
unchanged, ADJ 
Fig, PROPN 
5b, NOUN 
zy, NOUN 

, SPACE 
plane, NOUN 

, SPACE 
angular, ADJ 
distribution, NOUN 
expanding, VERB 
plume, NOUN 

, SPACE 
direct, ADJ 
measurement, NOUN 
particles, NOUN 
velocities, VERB 
di-, NOUN 

, SPACE 
mensional, ADJ 
space, NOUN 
results, NOUN 
Figs, PROPN 
2, NUM 
3, NUM 

, SPACE 
appears, VERB 
highest, ADJ 
velocity, NOUN 
normal, ADJ 
target, NOUN 

, SPACE 
lowest, ADJ 
velocities, NOUN 
lateral, ADJ 
expansion, NOUN 

, SPACE 
factors, NOUN 
lead, VERB 
behaviour, NOUN 
example, NOUN 

, SPACE 
result, NOUN 
complex, ADJ 
phenomena, NOUN 
occurring, VERB 

, SPACE 
interaction, NOUN 
laser, NOUN 
beam, NOUN 
solid, ADJ 
surface, NOUN 

, SPACE 
number, NOUN 
layers, NOUN 
material, NOUN 
ejected, VERB 

, SPACE 
pressure, NOUN 
profile, NOUN 
develops, VERB 
interface, NOUN 
character-, NOUN 

, SPACE 
izes, VERB 
flow, NOUN 
material, NOUN 
especially, ADV 
true, ADJ 

, SPACE 
higher, ADJ 
fluences, NOUN 
explosive, ADJ 
normal, ADJ 
vapor-, NOUN 

, SPACE 
ization, NOUN 
expected, VERB 
11,12, X 
expansion, NOUN 
n&ma1, PROPN 

, SPACE 
parallel, ADJ 
target, NOUN 
evidently, ADV 
acquires, VERB 
different, ADJ 
pressure, NOUN 

, SPACE 
gradients, NOUN 
13,141, NUM 
highest, ADJ 
gradient, NOUN 
expected, VERB 

, SPACE 
target, NOUN 
normal, ADJ 
z, NOUN 
axis, NOUN 
lowest, ADJ 
gradients, NOUN 

, SPACE 
x, PROPN 
y, PROPN 
axes, NOUN 
gradients, NOUN 

, SPACE 
turn, NOUN 
effected, VERB 
size, NOUN 
shape, NOUN 
laser, NOUN 
beam, NOUN 

, SPACE 
Finally, ADV 
note, VERB 
conditions, NOUN 
normal, ADJ 
vaporization, NOUN 

, SPACE 
lead, NOUN 
low, ADJ 
particle, NOUN 
densities, NOUN 
distributions, NOUN 

, SPACE 
characterized, VERB 
low, ADJ 
powers, NOUN 
cos, PROPN 
6, NUM 
flow, NOUN 

, SPACE 
particles, NOUN 
conditions, NOUN 
explosive, ADJ 
boiling, NOUN 
character-, ADJ 

, SPACE 
ized, VERB 
high, ADJ 
number, NOUN 
densities, NOUN 
flow, NOUN 
conditions, NOUN 

, SPACE 
characterized, VERB 
Knudsen, PROPN 
layer, NOUN 
distribu-, X 

, SPACE 
tion, NOUN 
discontinuous, ADJ 
11,121, NUM 
boundary, ADJ 
layer, NOUN 
fol-, NOUN 

, SPACE 
lowed, VERB 
fist, NOUN 
unsteady, ADJ 
adiabatic, ADJ 
expansion, NOUN 
finally, ADV 

, SPACE 
free, ADJ 
flight, NOUN 
Depending, VERB 
persistance, NOUN 
adiabatic, ADJ 
expansion, NOUN 
phase, NOUN 
angular, ADJ 
distributions, NOUN 
strong, ADJ 

, SPACE 
forward, ADP 
peaking, NOUN 
type, NOUN 
cos%, NOUN 
p, NOUN 
>, X 
>, X 
1, NUM 

, SPACE 
References, NOUN 

, SPACE 
K.L., PROPN 
Saenger, PROPN 
Pulsed, PROPN 
Laser, PROPN 
Deposition, PROPN 
Thin, PROPN 
Films, PROPN 

, SPACE 
71, NUM 
eds, PROPN 
D.B., PROPN 
Chrisev, PROPN 
G.K., PROPN 
Hubler, PROPN 
Wiley, PROPN 
New, PROPN 

, SPACE 
01, NUM 

, SPACE 
31, NUM 

, SPACE 
41, NUM 

, SPACE 
151, NUM 

, SPACE 
t61, NOUN 

, SPACE 
iI, NUM 

, SPACE 
k4, PROPN 

, SPACE 
191, NUM 

, SPACE 
1101, NUM 

, SPACE 
illI, X 

, SPACE 
I21, PROPN 

, SPACE 
I31, PROPN 

, SPACE 
I41, PROPN 
York, PROPN 
1994, NUM 
p., NOUN 
199, NUM 

, SPACE 
R., PROPN 
Kelly, PROPN 
A., PROPN 
Miotello, PROPN 
B., PROPN 
Braren, PROPN 
A., PROPN 
Gupta, PROPN 
K., PROPN 
Casey, PROPN 

, SPACE 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, PROPN 
65, NUM 
1992, NUM 
187, NUM 

, SPACE 
T., PROPN 
Di, PROPN 
Palma, PROPN 
S., PROPN 
Orlando, PROPN 
A., PROPN 
Giardini, PROPN 
Guidoni, PROPN 
A.J., PROPN 
Paul, PROPN 

, SPACE 
J.W., PROPN 
Hastie, PROPN 
A., PROPN 
Mele, PROPN 
Appl, PROPN 
Surf, PROPN 
Sci, PROPN 
86, NUM 
1995, NUM 
68, NUM 

, SPACE 
R, NOUN 
E., PROPN 
Muenchausen, PROPN 
K.M., PROPN 
Hubbard, PROPN 
S., PROPN 
Foltyn, PROPN 
R.G., PROPN 
Esteer, PROPN 

, SPACE 
N.S., PROPN 
Nogar, PROPN 
C., PROPN 
Jenkins, PROPN 
Appl, PROPN 
Phys, NOUN 
Lett, PROPN 
56, NUM 
1990, NUM 
578, NUM 

, SPACE 
R., PROPN 
Kelly, PROPN 
R.W., PROPN 
Dreyfus, PROPN 
Surf, PROPN 
Sci, PROPN 
198, NUM 
1988, NUM 
263, NUM 

, SPACE 
R., PROPN 
Kelly, PROPN 
A., PROPN 
Miotello, PROPN 
Appl, PROPN 
Phys, NOUN 
B, NOUN 
57, NUM 
1993, NUM 
145, NUM 

, SPACE 
D.B., PROPN 
Geohegan, PROPN 
Pulsed, VERB 
Laser, PROPN 
Deposition, PROPN 
Thin, PROPN 
Films, PROPN 

, SPACE 
chap, NOUN 
51, NUM 
eds, PROPN 
D.B., PROPN 
Chrisey, PROPN 
G.K., PROPN 
Hubler, PROPN 
Wiley, PROPN 
New, PROPN 

, SPACE 
York, PROPN 
1994, NUM 
p., NOUN 
115, NUM 

, SPACE 
A., PROPN 
Mele, PROPN 
A., PROPN 
Giardmi, PROPN 
R., PROPN 
Kelly, PROPN 
A., PROPN 
Miotello, PROPN 
S., PROPN 
Orlando, PROPN 

, SPACE 
R., PROPN 
Teghil, PROPN 
Appl, PROPN 
Surf, PROPN 
Sci, PROPN 
96, NUM 
98, NUM 
1996, NUM 
102, NUM 

, SPACE 
A., PROPN 
Miotello, PROPN 
R., PROPN 
Kelly, PROPN 
Appl, PROPN 
Phys, NOUN 
Lett, PROPN 
61, NUM 
1992, NUM 
2784, NUM 

, SPACE 
R., PROPN 
Kelly, PROPN 
A., PROPN 
Miotello, PROPN 
Nucl, PROPN 
Jnstr, PROPN 
Meth, PROPN 
B, NOUN 
91, NUM 
1994, NUM 

, SPACE 
682, NUM 

, SPACE 
R., PROPN 
Kelly, PROPN 
A., PROPN 
Miotello, PROPN 
Appl, PROPN 
Surf, PROPN 
Sci, PROPN 
96, NUM 
98, NUM 
1996, NUM 
205, NUM 

, SPACE 
R., PROPN 
Kelly, PROPN 
A., PROPN 
Miotello, PROPN 
A., NOUN 
Mele, PROPN 
A., PROPN 
Giardini, PROPN 
Guidoni, PROPN 
J.W., PROPN 

, SPACE 
Hastie, PROPN 
P.K., PROPN 
Schenck, PROPN 
H., PROPN 
Okabe, PROPN 
Surf, PROPN 
Sci, PROPN 
submitted, VERB 

, SPACE 
R.W., PROPN 
Ohse, PROPN 
J.F., PROPN 
Bebelot, PROPN 
A., PROPN 
Frezzotti, PROPN 
K.A., PROPN 
Long, PROPN 
J., PROPN 

, SPACE 
Magill, PROPN 
High, PROPN 
Temp, PROPN 
High, PROPN 
Press, PROPN 
2, NUM 
1980, NUM 
537, NUM 

, SPACE 
N.F., PROPN 
Ramsey, PROPN 
Molecular, PROPN 
Beams, NOUN 
Clarendon, PROPN 
Press, PROPN 
Oxford, PROPN 

, SPACE 
1956, NUM 

, SPACE 
