Anin, NOUN 
fracture, ADJ 
results, NOUN 
interference, NOUN 
spreading, VERB 
greatertransducer, NOUN 
separations, NOUN 
creating, VERB 
broad, ADJ 
maximum, NOUN 
Region, NOUN 
3, NUM 
ischaracterised, VERB 
large, ADJ 
decrease, NOUN 
amplitude, NOUN 
compared, VERB 
thebaseline, VERB 
data, NOUN 
Subsequently, ADV 
region, NOUN 
4, NUM 
slope, NOUN 
curve(attenuation, PROPN 
comparable, ADJ 
slope, NOUN 
base-, ADJ 

, SPACE 
line, NOUN 
attenuation, NOUN 
curve, NOUN 
Fracture, PROPN 
Transmission, PROPN 
Loss, PROPN 
FTL, PROPN 
calcu-, ADJ 

, SPACE 
lations, NOUN 
performed, VERB 
measurement, NOUN 
position, NOUN 
125, NUM 
mm, PROPN 
net, ADJ 
loss, NOUN 
expected, VERB 
large, ADJ 
SPL, PROPN 
eachcurve, NOUN 
Fig, PROPN 
3, NUM 
calculated, VERB 
125, NUM 
mm, NOUN 
baseline=, PROPN 
−10.6±, PROPN 

, SPACE 
1.8, NUM 
dB, NUM 
mean±standard, NOUN 
error, NOUN 
2, NUM 
mm, NOUN 
gap=, PROPN 
−15.7±2.5, PROPN 
dB, VERB 

, SPACE 
6, NUM 
mm, PROPN 
gap=, PROPN 
−16.9±2.7, PROPN 
dB, NUM 
10, NUM 
mm, NUM 
gap=, PROPN 
−18±3, NOUN 
dB., VERB 

, SPACE 
gave, VERB 
FTL, PROPN 
values, NOUN 
ranging, VERB 
5, NUM 
7, NUM 
dB, NUM 
depending, VERB 
onthe, DET 
fracture, ADJ 
gap, NOUN 
width, AUX 
analysed, VERB 

, SPACE 
Numerical, PROPN 
simulations, NOUN 
help, VERB 
understand, VERB 

, SPACE 
interaction, NOUN 
plate, NOUN 
wave, NOUN 
fracture, NOUN 
site, NOUN 
theresulting, VERB 
characteristic, ADJ 
curves, NOUN 
simulation, NOUN 
data, NOUN 
SPL, PROPN 
inthe, NOUN 
case, NOUN 
Sawbones, PROPN 
®, NOUN 
plates, NOUN 
plotted, VERB 
Fig, PROPN 
4, NUM 
SPL, NOUN 

, SPACE 
simulation, NOUN 
plots, NOUN 
similar, ADJ 
characteristic, ADJ 
shapes, NOUN 
theamplitude, ADJ 
curves, NOUN 
found, VERB 
experiments, NOUN 
similarvalues, NOUN 
FTL, PROPN 
125, NUM 
mm, NOUN 
5.1, NUM 
7.3, NUM 
dB, NUM 
gap, NOUN 
sizes, NOUN 
rangingfrom, ADJ 
2, NUM 
10, NUM 
mm, NUM 
peaks, NOUN 
simulation, NOUN 
curves, NOUN 

, SPACE 
cross, VERB 
baseline, NOUN 
unlike, ADP 
experiment, NOUN 

, SPACE 
attributed, VERB 
lack, NOUN 
damping, VERB 
values, NOUN 
simulationcalculations, NOUN 

, SPACE 
Bovine, PROPN 
femur, NOUN 

, SPACE 
Attenuation, PROPN 
measurements, NOUN 
performed, VERB 
bovine, ADJ 

, SPACE 
femur, NOUN 
provide, VERB 
suitable, ADJ 
mimic, NOUN 
human, ADJ 
cortical, ADJ 
bone, NOUN 

, SPACE 
Sawbones, NOUN 
®, NOUN 
plates, NOUN 
experimental, ADJ 
results, NOUN 
bovine, ADJ 

, SPACE 
cortical, ADJ 
bone, NOUN 
SPL, NOUN 
shown, VERB 
Fig, PROPN 
5, NUM 
Similar, ADJ 
characteristics, NOUN 

, SPACE 
obtained, VERB 
SPL, NOUN 
femur, NOUN 
described, VERB 

, SPACE 
Fig, PROPN 
3, NUM 
Experimental, ADJ 
results, NOUN 
change, NOUN 
arrival, NOUN 
signal, NOUN 
FAS, PROPN 
amplitude, NOUN 

, SPACE 
SPL, PROPN 
versus, ADP 
transducer, NOUN 
separation, NOUN 
different, ADJ 
fracture, ADJ 
gap, NOUN 
widths, NOUN 
tested, VERB 
onSawbones, NOUN 
®, NOUN 
plates, NOUN 
solid, ADJ 
line, NOUN 
represents, VERB 
baseline, NOUN 
intact, ADJ 
data, NOUN 
line, NOUN 

, SPACE 
symbols, NOUN 
denote, VERB 
discontinuity, NOUN 
fracture, ADJ 
data, NOUN 
different, ADJ 
fracture, ADJ 
gap, NOUN 
widths, NOUN 

, SPACE 
Arrow, PROPN 
denotes, VERB 
measurement, NOUN 
position, NOUN 
FTL, PROPN 
change, NOUN 
SPL, PROPN 
wascalculated, VERB 

, SPACE 
Fig, PROPN 
2, NUM 
anterior, ADJ 
lateral, ADJ 
section, NOUN 
bovine, ADJ 
femur, NOUN 
axialtransmission, NOUN 
experiments.658, PROPN 
S.P, PROPN 
Dodd, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
40, NUM 
2007, NUM 
656, NUM 
661, NUM 

, SPACE 
previous, ADJ 
section, NOUN 
presented, VERB 
Fig, PROPN 
3, NUM 
Sawbones, NOUN 
®, NOUN 
plates, NOUN 

, SPACE 
characteristic, ADJ 
interference, NOUN 
results, NOUN 
peak, NOUN 
largedrop, NOUN 
amplitude, NOUN 
fracture, NOUN 
passed, VERB 
given, VERB 
fracture, ADJ 

, SPACE 
gap, NOUN 
size, NOUN 
measurement, NOUN 
position, NOUN 
79, NUM 
mm, NUM 
SPL, NOUN 
values, NOUN 

, SPACE 
calculated, VERB 
baseline=, PRON 
−6.9±0.6, PROPN 
dB, NUM 
mean±standard, NOUN 

, SPACE 
error, NOUN 
1, NUM 
mm, NOUN 
gap=, PROPN 
−14±0.8, PROPN 
dB, VERB 
2, NUM 
mm, NOUN 
gap=, PROPN 
−16±1, PROPN 
dB., NOUN 

, SPACE 
gave, VERB 
FTL, PROPN 
values, NOUN 
ranging, VERB 
7, NUM 
9, NUM 
dB., PROPN 

, SPACE 
Similarly, ADV 
SPL, NOUN 
calculated, VERB 
modelling, VERB 
data, NOUN 

, SPACE 
presence, NOUN 
fracture, NOUN 
bovine, ADJ 
cortical, ADJ 
bone, NOUN 
Fig, PROPN 
6, NUM 
shows, VERB 

, SPACE 
good, ADJ 
qualitative, ADJ 
results, NOUN 
compared, VERB 
experiments, NOUN 
Thebaseline, ADJ 
data, NOUN 
simulations, NOUN 
change, NOUN 
slope, NOUN 
0.04, NUM 

, SPACE 
0.05, NUM 
mm, NOUN 
attributed, VERB 
interference, VERB 
water, NOUN 

, SPACE 
borne, ADJ 
waves, NOUN 
experiments, NOUN 
interference, NOUN 
present, ADJ 
suggesting, VERB 
estimated, VERB 
velocity, NOUN 
values, NOUN 
themodelling, VERB 
lower, ADJ 
acoustic, ADJ 
properties, NOUN 
bovinefemur, NOUN 
amplitude, NOUN 
reradiated, VERB 
wave, NOUN 
displays, VERB 

, SPACE 
characteristic, ADJ 
regions, NOUN 
receiver, ADJ 
moves, NOUN 
thefracture, NOUN 
site, NOUN 

, SPACE 
Discussion, PROPN 

, SPACE 
little, ADJ 
work, NOUN 
performed, VERB 
understand, VERB 
effect, NOUN 

, SPACE 
fracture, NOUN 
FAS, PROPN 
peak, NOUN 
amplitude, NOUN 
propagatingwave, NOUN 
SPL, NOUN 
plots, NOUN 
experimental, ADJ 
numericalmodelling, VERB 
data, NOUN 
Sawbones, NOUN 
®, NOUN 
plates, NOUN 
Figs, PROPN 
3, NUM 
4, NUM 
Bovine, PROPN 

, SPACE 
cortical, ADJ 
bone, NOUN 
Figs, PROPN 
5, NUM 
6, NUM 
respectively, ADV 
curves, NOUN 
showed, VERB 

, SPACE 
similar, ADJ 
characteristics, NOUN 
Fig, PROPN 
3, NUM 
curves, NOUN 
described, VERB 

, SPACE 
terms, NOUN 
4, NUM 
regions, NOUN 
mechanisms, NOUN 
causing, VERB 
thesecharacteristic, ADJ 
changes, NOUN 
explained, VERB 
aid, NOUN 
ofsnapshots, NOUN 
2, NUM 
D, ADJ 
simulations, NOUN 

, SPACE 
Figs, PROPN 
7, NUM 
b, NOUN 
c, PROPN 
stages, NOUN 
simulation, NOUN 

, SPACE 
200, NUM 
kHz, ADJ 
ultrasonic, ADJ 
wave, NOUN 
propagating, VERB 
10, NUM 
mm, NOUN 
fracturefrom, NOUN 
Sections, NOUN 
1, NUM 
2, NUM 
represent, VERB 
ends, NOUN 
thefractured, VERB 
plate, NOUN 
Fig, PROPN 
7, NUM 
transmitting, VERB 
transducer, NOUN 

, SPACE 
shown, VERB 
figures, NOUN 
positioned, VERB 
left, NOUN 
Section, PROPN 

, SPACE 
1, NUM 
snapshots, NOUN 
negative, ADJ 
images, NOUN 
originalsimulations, NOUN 
successive, ADJ 
dark, ADJ 
light, ADJ 
regions, NOUN 
ofthe, PRON 
waves, NOUN 
represent, VERB 
high, ADJ 
low, ADJ 
pressure, NOUN 
regions, NOUN 
amaterial, ADJ 
respectively, ADV 
black, ADJ 
corresponding, NOUN 
highestpressure, NOUN 
white, VERB 
lowest, ADJ 
thin, ADJ 
grey, NOUN 
lines, NOUN 
ofeach, NOUN 
picture, NOUN 
represent, VERB 
overlapping, ADJ 
array, NOUN 
receivingtransducers, NOUN 
ends, NOUN 
Sections, NOUN 
1, NUM 
2, NUM 
provide, VERB 

, SPACE 
interface, NOUN 
fracture, NOUN 
site, NOUN 
defined, VERB 
interfaces, NOUN 

, SPACE 
1, NUM 
2, NUM 
respectively, ADV 
Fig, PROPN 
7, NUM 
White, ADJ 
arrows, NOUN 
denote, ADJ 
wave, NOUN 

, SPACE 
direction, NOUN 
Figs, PROPN 
7, NUM 
b, PROPN 
c., PROPN 

, SPACE 
plate, NOUN 
wave, NOUN 
propagating, VERB 
left, VERB 
right, NOUN 
Section, NOUN 
1, NUM 

, SPACE 
Fig, PROPN 
7, NUM 
approaches, NOUN 
interface, VERB 
1, NUM 
fracture, NOUN 
site, NOUN 
wave, NOUN 

, SPACE 
reradiated, VERB 
surface, NOUN 
Section, NOUN 
1, NUM 
labelled, VERB 
Fig, PROPN 

, SPACE 
7a, PROPN 
gives, VERB 
rise, NOUN 
arrival, NOUN 
signal, NOUN 
detected, VERB 
receiving, NOUN 

, SPACE 
transducer, NOUN 
represents, VERB 
region, NOUN 
1, NUM 
Fig, PROPN 
3, NUM 
region, NOUN 

, SPACE 
radiated, VERB 
waves, NOUN 
intact, ADJ 
fractured, ADJ 
specimens, NOUN 

, SPACE 
Fig, PROPN 
5, NUM 
Experimental, ADJ 
results, NOUN 
change, NOUN 
arrival, NOUN 
signal, NOUN 
FAS, PROPN 
amplitude, NOUN 

, SPACE 
SPL, PROPN 
versus, ADP 
transducer, NOUN 
separation, NOUN 
different, ADJ 
fracture, ADJ 
gap, NOUN 
widths, NOUN 
tested, VERB 

, SPACE 
bovine, ADJ 
femur, NOUN 
solid, ADJ 
line, NOUN 
represents, VERB 
baseline, NOUN 
intact, ADJ 
data, NOUN 
line, NOUN 

, SPACE 
symbols, NOUN 
denote, VERB 
discontinuity, NOUN 
fracture, ADJ 
data, NOUN 
different, ADJ 
fracture, ADJ 
gap, NOUN 
widths, NOUN 
Arrow, ADJ 
denotes, NOUN 
measurement, NOUN 
position, NOUN 
FTL, PROPN 
calculated, VERB 

, SPACE 
Fig, PROPN 
6, NUM 
Numerical, ADJ 
modelling, NOUN 
results, NOUN 
change, NOUN 
arrival, NOUN 
signal, NOUN 
FAS)amplitude, NOUN 
SPL, NOUN 
versus, ADP 
transducer, NOUN 
separation, NOUN 
different, ADJ 
fracture, ADJ 
gap, NOUN 
widths, NOUN 

, SPACE 
tested, VERB 
bovine, ADJ 
cortical, ADJ 
bone, NOUN 
mimicking, VERB 
plates, NOUN 
solid, ADJ 
line, NOUN 
represents, VERB 

, SPACE 
baseline, NOUN 
intact, ADJ 
data, NOUN 
line, NOUN 
symbol, NOUN 
denotes, VERB 
discontinuity, NOUN 
fracture, ADJ 
data, NOUN 
atdifferent, ADJ 
fracture, ADJ 
gap, NOUN 
widths, NOUN 

, SPACE 
Fig, PROPN 
4, NUM 
Numerical, ADJ 
modelling, NOUN 
results, NOUN 
change, NOUN 
arrival, NOUN 
signal, NOUN 
FAS)amplitude, NOUN 
SPL, NOUN 
versus, ADP 
transducer, NOUN 
separation, NOUN 
different, ADJ 
fracture, ADJ 
gap, NOUN 
widthstested, VERB 
Sawbones, NOUN 
®, NOUN 
plates, NOUN 
solid, ADJ 
line, NOUN 
represents, VERB 
baseline, NOUN 
intact, ADJ 
dataand, NOUN 
line, NOUN 
symbol, NOUN 
denotes, VERB 
discontinuity, NOUN 
fracture, ADJ 
data, NOUN 
different, ADJ 
fracture, ADJ 
gap, NOUN 

, SPACE 
widths.659, PROPN 
S.P, PROPN 
Dodd, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
40, NUM 
2007, NUM 
656, NUM 
661, NUM 

, SPACE 
coincide, NOUN 
receiving, NOUN 
transducer, NOUN 
crossed, VERB 

, SPACE 
fracture, NOUN 
site, NOUN 
Fig, PROPN 
7, NUM 

, SPACE 
Fig, PROPN 
7, NUM 
b, PROPN 
shows, VERB 
peak, NOUN 
plate, NOUN 
wave, NOUN 
transmitted, VERB 

, SPACE 
fracture, NOUN 
site, NOUN 
results, VERB 
scattering, VERB 
diffraction, NOUN 
thewave, NOUN 
amplitude, NOUN 
receiver, ADJ 
signal, NOUN 
given, VERB 
thesuperposition, NOUN 
reradiated, VERB 
wave, NOUN 
Section, NOUN 
1, NUM 

, SPACE 
scattered, VERB 
diffracted, VERB 
waves, NOUN 
B, NOUN 
interface, NOUN 
1, NUM 
Fig, PROPN 
7, NUM 
b, NUM 

, SPACE 
wave, NOUN 
interaction, NOUN 
corresponds, VERB 
region, NOUN 
2, NUM 
Fig, PROPN 
3, NUM 
location, NOUN 

, SPACE 
transducer, NOUN 
array, NOUN 
superposition, NOUN 
regionoccurs, NOUN 
depend, VERB 
height, NOUN 
h, PROPN 
angle, NOUN 

, SPACE 
reradiated, VERB 
wave, NOUN 
relative, NOUN 
reradiating, VERB 
surface, NOUN 
inturn, NOUN 
depends, VERB 
ratio, NOUN 
plate, NOUN 
wave, NOUN 
velocity, NOUN 
watervelocity, NOUN 

, SPACE 
Subsequently, ADV 
wave, NOUN 
energy, NOUN 
couples, NOUN 

, SPACE 
Section, NOUN 
2, NUM 
bone, NOUN 
Fig, PROPN 
7, NUM 
c, NOUN 
second, ADJ 
plate, NOUN 
wave, NOUN 

, SPACE 
constantly, ADV 
radiated, VERB 
water, NOUN 
set, VERB 
wave, NOUN 
CinFig, PROPN 
7, NUM 
c, NOUN 
wave, NOUN 
energy, NOUN 
coupled, VERB 
Section, NOUN 
2, NUM 

, SPACE 
fracture, NOUN 
site, NOUN 
takes, VERB 
form, NOUN 
waterborne, ADJ 
wave, NOUN 
wave, NOUN 
B, NOUN 
inFig, NOUN 
7, NUM 
c, NOUN 
material, NOUN 
damping, VERB 
present, ADJ 

, SPACE 
simulations, NOUN 
region, NOUN 
3, NUM 
Fig, PROPN 
3, NUM 
showing, VERB 
large, ADJ 
decrease, NOUN 

, SPACE 
amplitude, NOUN 
highly, ADV 
dependent, ADJ 
acoustic, ADJ 
impedancemismatch, NOUN 
plate, NOUN 
material, NOUN 
water, NOUN 

, SPACE 
interfaces, NOUN 
resulting, VERB 
wave, NOUN 
reflection, NOUN 
addition, NOUN 

, SPACE 
energy, NOUN 
coupled, VERB 
Section, NOUN 
2, NUM 
decreases, NOUN 
gapsize, NOUN 
increases, NOUN 
phenomenon, NOUN 
noticed, VERB 
bothexperiments, NOUN 
modelling, NOUN 
results, NOUN 
suggesting, VERB 
signalspread, NOUN 
important, ADJ 
factor, NOUN 
investigation, NOUN 
isneeded, VERB 
determine, VERB 
mechanisms, NOUN 
ofsignal, ADJ 
loss, NOUN 

, SPACE 
Finally, ADV 
region, NOUN 
4, NUM 
corresponds, NOUN 
detection, NOUN 

, SPACE 
reradiating, VERB 
wave, NOUN 
C, NOUN 
propagating, VERB 
interference, NOUN 
thediffracted, VERB 
wave, NOUN 
B, NOUN 
large, ADJ 
reduction, NOUN 
amplitude, NOUN 

, SPACE 
loss, NOUN 
factors, NOUN 
described, VERB 

, SPACE 
similar, ADJ 
thicknesses, NOUN 
bovine, ADJ 
cortex, PROPN 
Saw-, PROPN 

, SPACE 
bones, NOUN 
®, NOUN 
plates, NOUN 
allow, VERB 
comparison, NOUN 
thedifferent, NOUN 
data, NOUN 
sets, NOUN 
peak, NOUN 
amplitude, NOUN 
sensitive, ADJ 
smallfracture, VERB 
gaps, NOUN 
example, NOUN 
2, NUM 
mm, NOUN 
water, NOUN 
gap, NOUN 
produces, VERB 

, SPACE 
FTL, NOUN 
5, NUM 
dB, NUM 
reduction, NOUN 
44, NUM 
Sawbones, PROPN 
®, NOUN 
FTL, NOUN 

, SPACE 
9, NUM 
dB, NUM 
65, NUM 
reduction, NOUN 
bovine, ADJ 
femur, NOUN 
impedancemismatch, NOUN 
larger, ADJ 
bovine, ADJ 
cortical, ADJ 
bone, NOUN 
thefaster, ADJ 
plate, NOUN 
velocity, NOUN 
higher, ADJ 
material, NOUN 
density, NOUN 
compared, VERB 
tothe, ADJ 
Sawbones, PROPN 
®, NOUN 
material, NOUN 
parameter, NOUN 
partcontribute, VERB 
larger, ADJ 
FTL, PROPN 
value, NOUN 
measurement, NOUN 
errorsassociated, VERB 
calculating, VERB 
Fracture, PROPN 
Transmission, PROPN 
Loss, PROPN 
frompeak, NOUN 
amplitude, NOUN 
values, NOUN 
given, VERB 
measurement, NOUN 
position, NOUN 

, SPACE 
dependent, ADJ 
signal, NOUN 
noise, NOUN 
ratio, NOUN 
study, NOUN 

, SPACE 
signal, NOUN 
noise, NOUN 
ratio, NOUN 
provided, VERB 
relatively, ADV 
large, ADJ 
errors, NOUN 
errors, NOUN 
reduced, VERB 
providing, VERB 
greater, ADJ 
signalamplification, NOUN 

, SPACE 
absolute, ADJ 
changes, NOUN 
FAS, PROPN 
peak, NOUN 
amplitude, NOUN 

, SPACE 
function, NOUN 
gap, NOUN 
size, NOUN 
differ, VERB 
simulation, NOUN 
experiment, VERB 
forboth, ADJ 
Sawbones, NOUN 
®, NOUN 
bovine, ADJ 
cortical, ADJ 
bone, NOUN 
interferencecausing, VERB 
change, NOUN 
peak, NOUN 
amplitude, NOUN 

, SPACE 
simulations, NOUN 
bovine, ADJ 
femur, ADJ 
experiments, NOUN 

, SPACE 
peak, NOUN 
measurements, NOUN 
wave, NOUN 
interference, NOUN 
effects, NOUN 
thatoccur, VERB 
isotropic, ADJ 
flat, ADJ 
plate, NOUN 
materials, NOUN 
occur, VERB 
anisotropicbone, NOUN 
specimens, NOUN 

, SPACE 
material, NOUN 
density, NOUN 
acoustic, ADJ 
properties, NOUN 
human, ADJ 

, SPACE 
bovine, ADJ 
cortical, ADJ 
bone, NOUN 
similar, ADJ 
types, NOUN 
changes, NOUN 
beexpected, VERB 
ultrasound, NOUN 
measurements, NOUN 
fractured, ADJ 
tibia, NOUN 
forexample, NOUN 
context, NOUN 
monitoring, VERB 
fracture, ADJ 

, SPACE 
healing, NOUN 
peak, NOUN 
amplitude, NOUN 
suited, ADJ 
detecting, VERB 

, SPACE 
Fig, PROPN 
7, NUM 
b, NOUN 
c, NOUN 
Snapshots, NOUN 
numerical, ADJ 
modelling, NOUN 
fracture, ADJ 
simulation, NOUN 
showing, VERB 
stages, NOUN 
200, NUM 
kHz, NOUN 
wave, NOUN 
propagating, VERB 
10, NUM 
mm, NOUN 
fractur, NOUN 
e, NOUN 
gap, NOUN 

, SPACE 
water, NOUN 
tank, NOUN 
Sections, NOUN 
1, NUM 
2, NUM 
represent, VERB 
ends, NOUN 
fracture, NOUN 
Successive, ADJ 
dark, ADJ 
light, ADJ 
regions, NOUN 
wave, NOUN 
represent, VERB 
high, ADJ 
low, ADJ 
pressure, NOUN 
reg, NOUN 
ions, NOUN 

, SPACE 
material, NOUN 
respectively, ADV 
thin, ADJ 
grey, NOUN 
lines, NOUN 
picture, NOUN 
represent, VERB 
overlapping, NOUN 
array, NOUN 
receiving, VERB 
transducers, NOUN 
Panel, NOUN 
shows, VERB 
p, NOUN 
late, ADJ 
wave, NOUN 

, SPACE 
propagating, VERB 
Section, NOUN 
1, NUM 
left, ADV 
right, NOUN 
approaching, VERB 
fracture, NOUN 
site, NOUN 
produces, VERB 
radiated, VERB 
wave, NOUN 
propagating, NOUN 
water, NOUN 
different, ADJ 
ngle, NOUN 
white, ADJ 

, SPACE 
arrows, NOUN 
plate, NOUN 
wave, NOUN 
white, ADJ 
arrows, NOUN 
panel, NOUN 
b, PROPN 
shows, VERB 
wave, NOUN 
transmitted, VERB 
fracture, NOUN 
site, NOUN 
denoted, VERB 
B, PROPN 
panel, NOUN 
c, PROPN 
shows, VERB 
wave, NOUN 
transmit, VERB 
ted, VERB 

, SPACE 
Section, NOUN 
2, NUM 
produces, VERB 
radiated, VERB 
wave, NOUN 
C.660, PROPN 
S.P, PROPN 
Dodd, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
40, NUM 
2007, NUM 
656, NUM 
661, NUM 

, SPACE 
healing, NOUN 
process, NOUN 
small, ADJ 
fractures, NOUN 
changes, NOUN 

, SPACE 
mechanical, ADJ 
properties, NOUN 
fracture, ADJ 
site, NOUN 
healing, NOUN 
brought, VERB 
formation, NOUN 
connective, ADJ 
tissue, NOUN 
cartilage, NOUN 
andthen, ADV 
woven, VERB 
bone, NOUN 
reflected, VERB 
relative, ADJ 
amplitudemeasurements, NOUN 
change, NOUN 
acoustic, ADJ 
impedance, NOUN 
andamount, PROPN 
signal, NOUN 
spread, NOUN 
Alternatively, ADV 
combination, NOUN 
FASarrival, PROPN 
time, NOUN 
peak, NOUN 
amplitude, NOUN 
measurements, NOUN 
healingfractures, NOUN 
generate, VERB 
repeated, VERB 
characteristics, NOUN 
allow, VERB 

, SPACE 
healing, NOUN 
stage, NOUN 
identified, VERB 
reveal, VERB 
mechanical, ADJ 
strength, NOUN 

, SPACE 
bone, NOUN 

, SPACE 
number, NOUN 
physical, ADJ 
properties, NOUN 

, SPACE 
cortical, ADJ 
thickness, NOUN 
material, NOUN 
damping, VERB 
anisotropic, NOUN 
propertiesand, NOUN 
porosity, NOUN 
need, VERB 
investigated, VERB 
provide, VERB 
morecomplete, ADJ 
picture, NOUN 
wave, NOUN 
interaction, NOUN 
simple, ADJ 
fracturesite, NOUN 
Following, VERB 
effects, NOUN 
callus, NOUN 
formation, NOUN 
includingasymmetry, NOUN 
periosteal, NOUN 
endosteal, NOUN 
callus, NOUN 

, SPACE 
differing, VERB 
sizes, NOUN 
different, ADJ 
fracture, NOUN 
geometries, NOUN 

, SPACE 
influence, NOUN 
bone, NOUN 
marrow, NOUN 
ultrasound, NOUN 
parametersneed, NOUN 
investigated, VERB 
preferably, ADV 
conjunction, NOUN 

, SPACE 
vivo, ADJ 
experiments, NOUN 

, SPACE 
Acknowledgments, NOUN 

, SPACE 
authors, NOUN 
grateful, ADJ 
Action, PROPN 
Medical, PROPN 
Research, PROPN 

, SPACE 
funding, VERB 
work, NOUN 
Mr., PROPN 
Richard, PROPN 
Weston, PROPN 
technical, ADJ 

, SPACE 
assistance, NOUN 

, SPACE 
References, NOUN 

, SPACE 
1, X 
Barbieri, PROPN 
G, PROPN 
Barbieri, PROPN 
CH, PROPN 
De, PROPN 
Matos, PROPN 
PS, PROPN 
Pela, PROPN 
Mazzer, PROPN 
N., PROPN 

, SPACE 
Ultrasonometric, PROPN 
evaluation, NOUN 
bone, NOUN 
healing, NOUN 
experimental, ADJ 
study, NOUN 

, SPACE 
model, NOUN 
diaphyseal, ADJ 
transverse, ADJ 
osteotomy, NOUN 
sheep, NOUN 
tibiae, NOUN 
Ultrasound, PROPN 
Med, PROPN 

, SPACE 
Biol, PROPN 
2006;32:875, NOUN 
82, NUM 

, SPACE 
2, X 
Protopappas, PROPN 
VC, PROPN 
Baga, PROPN 
DA, PROPN 
Fotiadis, PROPN 
DI, PROPN 
Likas, PROPN 
AC, PROPN 
Papachristos, PROPN 

, SPACE 
Malizos, PROPN 
KN, PROPN 
ultrasound, NOUN 
wearable, ADJ 
system, NOUN 
monitoring, NOUN 

, SPACE 
acceleration, NOUN 
fracture, ADJ 
healing, NOUN 
long, ADJ 
bones, NOUN 
IEEE, PROPN 
Trans, PROPN 
Biomed, PROPN 
Eng, PROPN 

, SPACE 
2005;52:1597, NOUN 
608, NUM 

, SPACE 
3, X 
Protopappas, PROPN 
VC, PROPN 
Fotiadis, PROPN 
DI, PROPN 
Malizos, PROPN 
KN, PROPN 
Guided, VERB 
ultrasound, NOUN 
wave, NOUN 

, SPACE 
propagation, NOUN 
intact, ADJ 
healing, VERB 
long, ADJ 
bones, NOUN 
Ultrasound, PROPN 
Med, PROPN 
Biol, PROPN 

, SPACE 
2006;32:693, NOUN 
708, NUM 

, SPACE 
4, X 
Chen, PROPN 
T, PROPN 
Chen, PROPN 
P, PROPN 
J, PROPN 
Fung, PROPN 
C, PROPN 
S, PROPN 
Lin, PROPN 
C, PROPN 
J, PROPN 
Yao, PROPN 
W, PROPN 
J., PROPN 
Quantitative, PROPN 
assessment, NOUN 

, SPACE 
osteoporosis, NOUN 
tibia, PROPN 
shaft, NOUN 
ultrasound, NOUN 
techniques, NOUN 
Med, PROPN 
Eng, PROPN 
Phys, PROPN 

, SPACE 
2004;26:141, NUM 
5.[5, X 
Haïat, PROPN 
G, PROPN 
Padilla, PROPN 
F, PROPN 
Barkmann, PROPN 
R, PROPN 
Kolta, PROPN 
S, PROPN 
Latremouille, PROPN 
C, PROPN 
Glüer, PROPN 
CC, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
Ultrasound, PROPN 
Med, PROPN 
Biol, PROPN 
2005;31:987, NOUN 
96, NUM 

, SPACE 
6, NUM 
Tatarinov, PROPN 
Sarvazyan, PROPN 
N, PROPN 
Sarvazyan, PROPN 
A., NOUN 
Use, PROPN 
multiple, ADJ 
acoustic, ADJ 
wave, NOUN 

, SPACE 
modes, NOUN 
assessment, NOUN 
long, ADJ 
bones, NOUN 
model, NOUN 
study, NOUN 
Ultrasonics, NOUN 

, SPACE 
2005;43:672, PROPN 
80, NUM 

, SPACE 
7, X 
Ta, PROPN 
D, PROPN 
a., NOUN 
Huang, PROPN 
K., PROPN 
Wang, PROPN 
W, PROPN 
q., NOUN 
Wang, PROPN 
Y, PROPN 
Y, PROPN 
Le, PROPN 
H.L., PROPN 
Identification, PROPN 

, SPACE 
analysis, NOUN 
multimode, PROPN 
guided, VERB 
waves, NOUN 
tibia, PROPN 
cortical, ADJ 
bone, NOUN 
Ultrasonics, NOUN 

, SPACE 
press, NOUN 

, SPACE 
8, X 
Moilanen, PROPN 
P, PROPN 
Nicholson, PROPN 
PHF, PROPN 
Kilappa, PROPN 
V, PROPN 
Cheng, PROPN 
S, PROPN 
Timonen, PROPN 
J., PROPN 
Measuring, PROPN 

, SPACE 
guided, VERB 
waves, NOUN 
long, ADJ 
bones, NOUN 
modelling, NOUN 
experiments, NOUN 
free, ADJ 
andimmersed, ADJ 
plates, NOUN 
Ultrasound, PROPN 
Med, PROPN 
Biol, PROPN 
2006;32:709, PROPN 
19, NUM 

, SPACE 
9, X 
Nokes, PROPN 
LDM, PROPN 
use, NOUN 
low, ADJ 
frequency, ADJ 
vibration, NOUN 
measurement, NOUN 

, SPACE 
orthopaedics, NOUN 
Proc, PROPN 
Inst, ADP 
Mech, PROPN 
Eng, PROPN 
1999;213(H):271, PROPN 
90, NUM 

, SPACE 
10, NUM 
Maylia, PROPN 
E, PROPN 
Nokes, PROPN 
LDM, PROPN 
use, NOUN 
ultrasound, NOUN 
orthopaedics, NOUN 
review, NOUN 

, SPACE 
Technol, PROPN 
Health, PROPN 
