s, VERB 
, SPACE 
photoemission, NOUN 
measurements, NOUN 
151, NUM 
rea-, NOUN 

, SPACE 
sonably, ADV 
close, ADJ 
experimental, ADJ 
value, NOUN 

, SPACE 
3, X 
Discussion, NOUN 

, SPACE 
thermally, ADV 
deposited, VERB 
ZnTe, PROPN 
films, NOUN 
found, VERB 

, SPACE 
Maity, PROPN 
et, PROPN 
al, PROPN 
16, NUM 
conductivity, NOUN 
decreased, VERB 

, SPACE 
increase, NOUN 
substrate, NOUN 
temperature, NOUN 

, SPACE 
laser, NOUN 
deposited, VERB 
films, NOUN 
higher, ADJ 
higher, ADJ 
sub-, NOUN 

, SPACE 
strate, NOUN 
temperature, NOUN 
effect, NOUN 
substrate, NOUN 
tempera-, ADJ 

, SPACE 
ture, NOUN 
explained, VERB 
basis, NOUN 
temperature, NOUN 

, SPACE 
dependence, NOUN 
sticking, VERB 
coefficient, NOUN 
Zn, PROPN 

, SPACE 
positive, ADJ 
concentration, NOUN 
zinc, NOUN 
vacancies, NOUN 

, SPACE 
reduced, VERB 
higher, ADJ 
substrate, NOUN 
temperatures, NOUN 
resulting, VERB 

, SPACE 
films, NOUN 
lower, ADJ 
conductivity, NOUN 
crystalline, NOUN 

, SPACE 
quality, NOUN 
films, NOUN 
deposited, VERB 
higher, ADJ 
substrate, NOUN 

, SPACE 
temperature, NOUN 
considered, VERB 

, SPACE 
present, ADJ 
case, NOUN 
laser, NOUN 
deposited, VERB 
films, NOUN 
energy, NOUN 

, SPACE 
deposited, VERB 
ions, NOUN 
higher, ADJ 
leading, VERB 
greater, ADJ 
surface, NOUN 

, SPACE 
mobility, NOUN 
better, ADJ 
stoichiometry, NOUN 
Zn, ADJ 
va-, ADJ 

, SPACE 
cancy, NOUN 
concentration, NOUN 
remained, VERB 

, SPACE 
substrate, NOUN 
temperatures, NOUN 
conductivity, NOUN 
case, NOUN 

, SPACE 
mainly, ADV 
determined, VERB 
crystalline, ADJ 
quality, NOUN 

, SPACE 
films, NOUN 
Films, NOUN 
deposited, VERB 
286, NUM 
°, NUM 
C, NOUN 
substrate, NOUN 
temper-, X 

, SPACE 
ature, NOUN 
crystalline, ADJ 
deposited, VERB 
26, NUM 
°, NUM 
C, NOUN 

, SPACE 
amorphous, ADJ 
films, NOUN 
larger, ADJ 

, SPACE 
free, ADJ 
carrier, NOUN 
hole, NOUN 
concentration, NOUN 
mobility, NOUN 
result-, PART 

, SPACE 
ing, PROPN 
higher, ADJ 
conductivity, NOUN 

, SPACE 
S., PROPN 
Bhumia, PROPN 
et, NOUN 
al./Materials, PROPN 
Letters, PROPN 
27, NUM 
19, NUM 
307, NUM 
31, NUM 
311, NUM 

, SPACE 
4, X 
Conclusion, NOUN 

, SPACE 
ZnTe, PROPN 
films, NOUN 
band, NOUN 
gap, NOUN 
2.2, NUM 
eV, NUM 
good, ADJ 

, SPACE 
electrical, ADJ 
properties, NOUN 
obtained, VERB 
pulsed, VERB 

, SPACE 
laser, NOUN 
ablation, NOUN 
substrate, ADJ 
temperature, NOUN 
286, NUM 
°, NUM 
C, NOUN 

, SPACE 
advantages, NOUN 
laser, NOUN 
deposition, NOUN 
viz, PROPN 
better, ADJ 
stoi-, NOUN 

, SPACE 
chiometry, NOUN 
crystallinity, NOUN 
optimum, ADJ 
substrate, NOUN 

, SPACE 
temperature, NOUN 
demonstrated, VERB 
study, NOUN 

, SPACE 
ZnTe, PROPN 
Si, PROPN 
heterojunctions, NOUN 
studied, VERB 

, SPACE 
V, PROPN 
C, NOUN 
V, NOUN 
characteristics, NOUN 
determine, VERB 

, SPACE 
ideality, NOUN 
factor, NOUN 
valence, NOUN 
band, NOUN 
offset, VERB 
E, NOUN 

, SPACE 
reasonable, ADJ 
agreement, NOUN 
earlier, ADJ 
values, NOUN 

, SPACE 
References, NOUN 

, SPACE 
I., PROPN 
Kimmerle, PROPN 
et, PROPN 
al, PROPN 
Proc, PROPN 
6th, PROPN 
Europ, PROPN 
Photovoltaic, PROPN 
Solar, PROPN 

, SPACE 
Energy, PROPN 
Conf, PROPN 
Reidel, PROPN 
Dordrecht, PROPN 
1985, NUM 
p., NOUN 
199, NUM 

, SPACE 
2, X 
F., PROPN 
Buch, PROPN 
et, NOUN 
al, PROPN 
Appl, PROPN 
Phys, NOUN 
Letters, NOUN 
28, NUM 
1976, NUM 
593, NUM 
31, NUM 

, SPACE 
41, NUM 

, SPACE 
61, NUM 

, SPACE 
t61, NOUN 

, SPACE 
71, NUM 

, SPACE 
k31, NOUN 

, SPACE 
91, NUM 

, SPACE 
JOI, PROPN 

, SPACE 
ill1, PROPN 

, SPACE 
t121, PROPN 

, SPACE 
131, NUM 

, SPACE 
I141, NOUN 

, SPACE 
151, NUM 

, SPACE 
I61, PROPN 
F., PROPN 
Buch, PROPN 
et, PROPN 
al, PROPN 
J., PROPN 
Appl, PROPN 
Phys, PROPN 
48, NUM 
1977, NUM 
1596, NUM 

, SPACE 
N., PROPN 
Nakayama, PROPN 
et, NOUN 
al, PROPN 
Elect, PROPN 
Letters, NOUN 
29, NUM 
1993, NUM 
2194, NUM 

, SPACE 
P.V., PROPN 
Meyers, PROPN 
Polycrystalline, PROPN 
thin, ADJ 
film, NOUN 
CdTe, PROPN 
n, PROPN 
p, NOUN 
solar, ADJ 

, SPACE 
cells, NOUN 
Final, PROPN 
Subcontract, PROPN 
Rep., PROPN 
September, PROPN 
1988, NUM 
August, PROPN 

, SPACE 
1989, NUM 
Contract, PROPN 
DE, PROPN 
AC02, PROPN 
83CH10093, PROPN 
Department, PROPN 

, SPACE 
Energy, PROPN 
Washington, PROPN 
DC, PROPN 

, SPACE 
A., PROPN 
Rohatgi, PROPN 
et, PROPN 
al, PROPN 
Sol, PROPN 
Cells, NOUN 
27, NUM 
1989, NUM 
219, NUM 

, SPACE 
Y., PROPN 
Tokumitsu, PROPN 
et, PROPN 
al, PROPN 
Jpn, PROPN 
J., PROPN 
Appl, PROPN 
Phys, PROPN 
29, NUM 
1990, NUM 
1039, NUM 

, SPACE 
N.G., PROPN 
Patel, PROPN 
J., PROPN 
Mater, PROPN 
Sci, PROPN 
21, NUM 
1986, NUM 
2099, NUM 

, SPACE 
A., NOUN 
Mondal, PROPN 
et, PROPN 
al, PROPN 
Thin, PROPN 
Solid, PROPN 
Films, PROPN 
176, NUM 
1989, NUM 
L183, PROPN 

, SPACE 
P., PROPN 
Bhattacharya, PROPN 
D.N., PROPN 
Bose, PROPN 
Elect, PROPN 
Letters, NOUN 
25, NUM 
1989, NUM 

, SPACE 
1602, NUM 

, SPACE 
H., PROPN 
Sakura, PROPN 
T.J., PROPN 
Cheng, PROPN 
J., PROPN 
Appl, PROPN 
Phys, PROPN 
47, NUM 
1988, NUM 
284, NUM 

, SPACE 
X.D., PROPN 
Wu, PROPN 
et, PROPN 
al, PROPN 
Appl, PROPN 
Phys, NOUN 
Letters, NOUN 
56, NUM 
1990, NUM 
400, NUM 

, SPACE 
P., PROPN 
Bhattacharya, PROPN 
D.N., PROPN 
Bose, PROPN 
Semicond, PROPN 
Sci, PROPN 
Technol, PROPN 
6, NUM 

, SPACE 
1991, NUM 
384, NUM 

, SPACE 
S., PROPN 
Vincett, PROPN 
W.A., PROPN 
Barlow, PROPN 
G.G., PROPN 
Roberts, PROPN 
J., PROPN 
Appl, PROPN 
Phys, NOUN 
48, NUM 

, SPACE 
1977, NUM 
3800, NUM 

, SPACE 
A.D., PROPN 
Katnani, PROPN 
G., PROPN 
Margaritondo, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
24, NUM 
1983, NUM 

, SPACE 
1944, NUM 

, SPACE 
B., PROPN 
Maiti, PROPN 
et, PROPN 
al, PROPN 
Thin, PROPN 
Solid, PROPN 
Films, PROPN 
239, NUM 
1994, NUM 
104, NUM 

, SPACE 
