EUFWIER, PROPN 
ratios, NOUN 

, SPACE 
H,[C, PROPN 
+, PROPN 
Si, PROPN 
b, X 
=, VERB 
15, NUM 
k, PROPN 
d, X 
=, VERB 
10, NUM 
e, NOUN 
f, X 
=, NOUN 
5, NUM 
g, PROPN 
h, PROPN 
=, VERB 
1, NUM 
respectively, ADV 

, SPACE 
254, NUM 
Y., PROPN 
Kim, PROPN 
et, NOUN 
al./Materials, PROPN 
Letters, PROPN 
26, NUM 
1996, NUM 
249, NUM 
257, NUM 

, SPACE 
3.2, NUM 
C, NOUN 
H,-Ar, NOUN 
system, NOUN 

, SPACE 
deposition, NOUN 
thick, ADJ 
carbon, NOUN 
layer, NOUN 

, SPACE 
CH, PROPN 
SiCl, PROPN 
difficult, ADJ 
C, PROPN 
H, PROPN 
+, PROPN 

, SPACE 
Ar, PROPN 
system, NOUN 
tried, VERB 
provide, VERB 
sufficient, ADJ 
amounts, NOUN 

, SPACE 
carbon, NOUN 
atoms, NOUN 
Ar, PROPN 
instead, ADV 
H, PROPN 
improve, VERB 

, SPACE 
decomposition, NOUN 
C, PROPN 
H, PROPN 
efficiently, ADV 
sys-, NOUN 

, SPACE 
tem, NOUN 
pebble, ADJ 
structure, NOUN 
shown, VERB 

, SPACE 
Fig, PROPN 
4, NUM 
g, NOUN 
layered, ADJ 
structure, NOUN 
observed, VERB 

, SPACE 
surface, NOUN 
fracture, ADJ 
surface, NOUN 
respec-, X 

, SPACE 
tively, ADV 
morphologies, NOUN 
supposed, VERB 

, SPACE 
typical, ADJ 
morphologies, NOUN 
turbostratic, ADJ 
pyrolytic, ADJ 
carbon, NOUN 

, SPACE 
151, NUM 
growth, NOUN 
rate, NOUN 
carbon, NOUN 
layer, NOUN 
in-, ADV 

, SPACE 
creased, ADJ 
optimum, ADJ 
growth, NOUN 
rate, NOUN 

, SPACE 
deposition, NOUN 
C, NOUN 
rich, ADJ 
phase, NOUN 
FGM, PROPN 

, SPACE 
obtained, VERB 
system, NOUN 

, SPACE 
3.3, NUM 
C, NOUN 
H,-SiCl,-Ar, ADJ 
system, NOUN 

, SPACE 
Sic, PROPN 
C, NOUN 
composite, ADJ 
layers, NOUN 
containing, VERB 
carbon, NOUN 
50, NUM 

, SPACE 
60, NUM 
at%, NOUN 
deposited, VERB 
CH,-SiCl,-H2, PROPN 

, SPACE 
system, NOUN 
lowering, VERB 
HJ[C, PROPN 
+, PROPN 
Si, PROPN 
ratio, NOUN 

, SPACE 
CsHs, PROPN 
SiCI,-Ar, NOUN 
system, NOUN 
tried, VERB 
order, NOUN 

, SPACE 
control, VERB 
carbon, NOUN 
content, NOUN 
possible, ADJ 
combi-, X 

, SPACE 
nation, NOUN 
Sic, PROPN 
C., PROPN 
Fig, PROPN 
5, NUM 
shows, VERB 
SEM, PROPN 
micrographs, VERB 

, SPACE 
Si, PROPN 
containing, VERB 
carbon, NOUN 
deposits, NOUN 
surface, NOUN 
mor-, X 

, SPACE 
phologies, NOUN 
similar, ADJ 
carbon, NOUN 
deposits, NOUN 

, SPACE 
obtained, VERB 
C, PROPN 
H,-Ar, NOUN 
system, NOUN 
layered, ADJ 

, SPACE 
structure, NOUN 
appeared, VERB 
fracture, ADJ 
surface, NOUN 
depo-, NOUN 

, SPACE 
sition, NOUN 
rate, NOUN 
3, NUM 
4, NUM 
times, NOUN 
higher, ADJ 

, SPACE 
C, PROPN 
H,-Ar, NOUN 
system, NOUN 
result, NOUN 
good, ADJ 
agreement, NOUN 

, SPACE 
results, NOUN 
Hirai, PROPN 
et, PROPN 
al, PROPN 
8,15,16, NUM 
growth, NOUN 

, SPACE 
rate, NOUN 
nearly, ADV 
comparable, ADJ 
Sic, PROPN 
obtained, VERB 

, SPACE 
CH,-SiCI,-H, NOUN 
system, NOUN 
SiCl, PROPN 
SM, PROPN 
gener-, NOUN 

, SPACE 
ally, NOUN 
known, VERB 
increase, VERB 
deposition, NOUN 
rate, NOUN 
py-, NOUN 

, SPACE 
rolytic, ADJ 
carbon, NOUN 
cause, NOUN 
phe-, NOUN 

, SPACE 
nomenon, PROPN 
clear, ADJ 

, SPACE 
Pyrolytic, ADJ 
graphite, NOUN 
excellent, ADJ 
insulator, NOUN 
perpen-, NOUN 

, SPACE 
dicular, ADJ 
basal, NOUN 
plane, NOUN 
high, ADJ 
temperature, NOUN 

, SPACE 
exhibits, VERB 
lowest, ADJ 
thermal, ADJ 
conductivities, NOUN 

, SPACE 
solid, ADJ 
insulators, NOUN 
Hirai, PROPN 
et, PROPN 
al, PROPN 
reported, VERB 

, SPACE 
layered, VERB 
structure, NOUN 
pyrolytic, ADJ 
carbons, NOUN 
exhibited, VERB 

, SPACE 
low, ADJ 
thermal, ADJ 
conductivity, NOUN 
perpendicular, ADJ 

, SPACE 
layers, NOUN 
8, NUM 
deposits, NOUN 
having, VERB 
layered, ADJ 
structure, NOUN 

, SPACE 
shown, VERB 
Fig, PROPN 
5, NUM 
play, VERB 
important, ADJ 
role, NOUN 

, SPACE 
thermal, ADJ 
barrier, NOUN 
Sic, PROPN 
C, PROPN 
FGM, PROPN 

, SPACE 
XRD, PROPN 
analysis, NOUN 
deposited, VERB 
layer, NOUN 

, SPACE 
composed, VERB 
graphite, NOUN 
SIC, PROPN 
negligible, ADJ 
Si, PROPN 
peak, NOUN 
Fig, PROPN 
5, NUM 
SEM, NOUN 
micrographs, NOUN 
Si, PROPN 
containing, VERB 
pyrolytic, ADJ 
carbon, NOUN 
layers, NOUN 

, SPACE 
deposited, VERB 
C, PROPN 
H, PROPN 
-SiCl,-Ar, PROPN 
system, NOUN 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
=, SYM 
0.96, NUM 

, SPACE 
Ar/[C, NOUN 
+, CCONJ 
Si, NOUN 
=, SYM 
5, NUM 
surface, NOUN 
b, NOUN 
fracture, ADJ 
surface, NOUN 

, SPACE 
detected, VERB 
contents, NOUN 
C, PROPN 
Sic, PROPN 

, SPACE 
deposit, NOUN 
shown, VERB 
Fig, PROPN 
5, NUM 
85.7, NUM 
wt%, NOUN 
14.3, NUM 

, SPACE 
wt%, NUM 
respectively, ADV 
EDS, PROPN 
quantitative, ADJ 
analysis, NOUN 

, SPACE 
turned, VERB 
system, NOUN 
suitable, ADJ 

, SPACE 
deposition, NOUN 
C, NOUN 
rich, ADJ 
layers, NOUN 
FGM, PROPN 

, SPACE 
growth, NOUN 
rate, NOUN 
compositional, ADJ 
points, NOUN 
view, NOUN 

, SPACE 
3.4, X 
C, NOUN 
H,-SiCl,-Ar, ADJ 
H, NOUN 
system, NOUN 

, SPACE 
shown, VERB 
Fig, PROPN 
6, NUM 
morphologies, NOUN 

, SPACE 
deposited, VERB 
layers, NOUN 
depend, VERB 
C/[C, PROPN 
+, PROPN 
Si, PROPN 

, SPACE 
H2/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 
monolithic, ADJ 
SIC, NOUN 
layer, NOUN 

, SPACE 
faceted, ADJ 
structure, NOUN 
shown, VERB 
Fig, PROPN 
6a, NOUN 
appeared, VERB 

, SPACE 
different, ADJ 
Sic, PROPN 
layer, NOUN 
deposited, VERB 

, SPACE 
CH,-SiCl,-H, ADJ 
system, NOUN 
Fig, PROPN 
lc, PROPN 
C/[C, PROPN 
+, PROPN 
Si, PROPN 

, SPACE 
ratio, NOUN 
higher, ADJ 
H,/[C, NOUN 
+, PROPN 
Si, PROPN 
ratio, NOUN 
lower, ADJ 

, SPACE 
morphology, NOUN 
fracture, ADJ 
surface, NOUN 
changed, VERB 

, SPACE 
columnar, ADJ 
layered, ADJ 
structure, NOUN 
shown, VERB 
Figs, PROPN 

, SPACE 
6b, NUM 
6d, NOUN 
6f, NOUN 
surface, NOUN 
morphology, NOUN 

, SPACE 
changed, VERB 
faceted, ADJ 
structure, NOUN 
rounded, ADJ 
struc-, NOUN 

, SPACE 
Y., PROPN 
Kim, PROPN 
et, NOUN 
al./Materials, PROPN 
Letters, PROPN 
26, NUM 
1996, NUM 
249, NUM 
257, NUM 
255, NUM 

, SPACE 
ture, NOUN 
shown, VERB 
Figs, PROPN 
6a, NOUN 
6c, NOUN 
6e, NUM 
Judging, VERB 

, SPACE 
Fig, PROPN 
6, NUM 
EDS, PROPN 
quantitative, ADJ 
analyses, NOUN 
composi-, ADJ 

, SPACE 
tional, ADJ 
change, NOUN 
growth, NOUN 
rate, NOUN 
condition, NOUN 

, SPACE 
controlled, VERB 
good, ADJ 
deposition, NOUN 

, SPACE 
FGM, PROPN 
layers, NOUN 
concluded, VERB 

, SPACE 
system, NOUN 
suitable, ADJ 
deposition, NOUN 
layers, NOUN 

, SPACE 
composition, NOUN 
pure, ADJ 
Sic, PROPN 
C, NOUN 
rich, ADJ 

, SPACE 
phases, NOUN 

, SPACE 
3.5, X 
Deposition, NOUN 
SC, PROPN 
C, PROPN 
FGM, PROPN 

, SPACE 
Sic, PROPN 
C, PROPN 
FGMs, NOUN 
having, VERB 
3, NUM 
6, NUM 
steps, NOUN 
prepared, VERB 

, SPACE 
methane, NOUN 
propane, NOUN 
source, NOUN 
gases, NOUN 
case, NOUN 

, SPACE 
CH,-SiCl,-H, PROPN 
system, NOUN 
C/[C, PROPN 
+, PROPN 
Si, PROPN 

, SPACE 
ratio, NOUN 
varies, NOUN 
H,/‘[C, PRON 
+, PROPN 
Si, PROPN 
ratio, NOUN 
fixed, VERB 
(=, NOUN 
201, NUM 

, SPACE 
boundaries, NOUN 
step, NOUN 
distinctive, ADJ 
somewhat, ADV 
porous, ADJ 
layer, NOUN 
grown, VERB 
dendritic, ADJ 

, SPACE 
manner, NOUN 
second, ADJ 
step, NOUN 

, SPACE 
compositional, ADJ 
gradient, NOUN 
layers, NOUN 
de-, X 

, SPACE 
posited, VERB 
CH,-SiC14, NOUN 
H2, PROPN 
system, NOUN 
iden-, PRON 

, SPACE 
tified, VERB 
EPMA, PROPN 
line, NOUN 
scanning, NOUN 
mapping, NOUN 
despite, SCONJ 

, SPACE 
variation, NOUN 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratio, NOUN 
source, NOUN 

, SPACE 
gas, NOUN 
reported, VERB 
Sic, PROPN 
C, PROPN 
FGM, PROPN 

, SPACE 
prepared, VERB 
controlling, VERB 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratio, NOUN 

, SPACE 
input, NOUN 
gases, NOUN 
10,17, NUM 
201, NUM 
composi-, ADJ 

, SPACE 
tional, ADJ 
gradient, NOUN 
Sic, PROPN 
C, PROPN 
FGM, PROPN 
realized, VERB 

, SPACE 
controlling, VERB 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratio, NOUN 
input, NOUN 
gas, NOUN 

, SPACE 
fixing, VERB 
H&C, PROPN 
+, PROPN 
Si, PROPN 
ratio, NOUN 
high, ADJ 

, SPACE 
etching, VERB 
free, ADJ 
carbon, NOUN 
hydrogen, NOUN 

, SPACE 
higher, ADJ 
H,/[C, ADV 
+, ADJ 
Si, PROPN 
ratios, NOUN 
expected, VERB 
re-, ADJ 

, SPACE 
sults, NOUN 
non, ADJ 
FGM, PROPN 
produced, VERB 
CH,-, PROPN 

, SPACE 
SiCl,-H, PROPN 
system, NOUN 
desirable, ADJ 
depo-, PROPN 

, SPACE 
Fig, PROPN 
6, NUM 
SEM, PROPN 
micrographs, NOUN 
surface, NOUN 
fracture, NOUN 
deposited, VERB 
layers, NOUN 
obtained, VERB 
input, NOUN 
gas, NOUN 
ratios, NOUN 
C, PROPN 
H,-SiCl,-Ar, ADJ 
Hz, PROPN 

, SPACE 
system, NOUN 
C/[C, PROPN 
+, PROPN 
8, NUM 
H,/[C, NOUN 
+, PROPN 
Si, PROPN 
Ar, PROPN 
+, PROPN 
H, PROPN 
l/[C, NOUN 
+, CCONJ 
Si, PROPN 
ratio, NOUN 
b, X 
=, NOUN 
0.5, NUM 
20, NUM 
0, NUM 
c, NOUN 
d, X 
=, VERB 
0.75, NUM 
10, NUM 
0, NUM 
e, NOUN 
<, X 
fJ, X 
=, NUM 
0.99, NUM 
1.1, NUM 
3.3, NUM 

, SPACE 
respectively, ADV 

, SPACE 
256, NUM 
Y., PROPN 
Kim, PROPN 
et, NOUN 
d, PROPN 
Materials, NOUN 
Letters, PROPN 
26, NUM 
19, NUM 
249, NUM 
257, NUM 

, SPACE 
sition, NOUN 
Sic, PROPN 
C, PROPN 
FGM, PROPN 
simultaneously, ADV 
control, VERB 

, SPACE 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
H2/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 
input, NOUN 

, SPACE 
gas, NOUN 

, SPACE 
Fig, PROPN 
7, NUM 
shows, VERB 
fracture, ADJ 
surface, NOUN 
.of, PUNCT 
Sic, PROPN 
C, PROPN 

, SPACE 
FGM, PROPN 
deposited, VERB 
C, PROPN 
Hs, ADJ 
SiCl,-Ar, PROPN 
H, PROPN 
system, NOUN 

, SPACE 
seen, VERB 
Fig, PROPN 
7a, NOUN 
layered, ADJ 
structure, NOUN 
pyrolytic, ADJ 

, SPACE 
carbon, NOUN 
observed, VERB 
layers, NOUN 
1, NUM 
2, NUM 
porous, ADJ 

, SPACE 
structure, NOUN 
shown, VERB 
layer, NOUN 
3, NUM 
substrate, NOUN 
50, NUM 
mm, PROPN 
FGM, PROPN 
layers, NOUN 
constant, ADJ 

, SPACE 
monolithic, ADJ 
Sic, NOUN 
layer, NOUN 
EDS, PROPN 
analysis, NOUN 

, SPACE 
demonstrated, VERB 
clearly, ADV 
composition, NOUN 
gradient, NOUN 

, SPACE 
Sic, PROPN 
C, PROPN 
FGM, PROPN 

, SPACE 
4, X 
Conclusions, NOUN 

, SPACE 
Wang, PROPN 
et, PROPN 
al, PROPN 
reported, VERB 
porous, ADJ 
structure, NOUN 

, SPACE 
Sic, PROPN 
C, NOUN 
nanocomposites, NOUN 
supersat-, ADJ 

, SPACE 
uration, NOUN 
reactant, ADJ 
gas, NOUN 
influenced, VERB 
total, ADJ 

, SPACE 
pressure, NOUN 
concentration, NOUN 
reactant, ADJ 
gases, NOUN 

, SPACE 
proposed, VERB 
condition, NOUN 
porous, ADJ 
Sic, PROPN 
C, PROPN 

, SPACE 
nanocomposite, PROPN 
formed, VERB 
2, NUM 
experiment, NOUN 

, SPACE 
porous, ADJ 
structure, NOUN 
appeared, VERB 
FGMs, PROPN 

, SPACE 
generated, VERB 
non, ADJ 
FGM, ADJ 
layer, NOUN 

, SPACE 
state, NOUN 
layer, NOUN 
FGM, PROPN 
supposed, VERB 
affect, VERB 

, SPACE 
nucleation, NOUN 
growth, NOUN 
kinetics, NOUN 

, SPACE 
layered, VERB 
structure, NOUN 
existing, VERB 
layers, NOUN 
1, NUM 
2, NUM 
shown, VERB 

, SPACE 
Fig, PROPN 
7a, NOUN 
observed, VERB 
deposition, NOUN 

, SPACE 
pyrolytic, ADJ 
carbon, NOUN 
expected, VERB 
thermal, ADJ 
bar-, PROPN 

, SPACE 
rier, ADJ 
Sic, PROPN 
C, PROPN 
FGM, PROPN 
deposit, NOUN 
6, NUM 
steps, NOUN 
Fig, PROPN 

, SPACE 
7b, PROPN 
porous, ADJ 
layer, NOUN 
deposited, VERB 

, SPACE 
layer, NOUN 
substrate, NOUN 
dendritic, ADJ 
pattern, NOUN 

, SPACE 
dendritic, ADJ 
structure, NOUN 
transformed, VERB 
dense, ADJ 

, SPACE 
columnar, ADJ 
structure, NOUN 
Sic, NOUN 
C, PROPN 
FGMs, PROPN 
compositional, ADJ 
gradients, NOUN 

, SPACE 
prepared, VERB 
C, PROPN 
Hs, ADJ 
SiCl,-Ar, PROPN 
H, PROPN 
system, NOUN 
con-, NOUN 

, SPACE 
trolling, NOUN 
H&C, PROPN 
+, PROPN 
Si, PROPN 
C/[C, PROPN 
+, PROPN 
Si, PROPN 
ratios, NOUN 

, SPACE 
FGM, PROPN 
layers, NOUN 
porous, ADJ 
structure, NOUN 

, SPACE 
observed, VERB 
appear, VERB 
non, ADJ 
FGM, NOUN 

, SPACE 
experimental, ADJ 
condition, NOUN 
likely, ADJ 

, SPACE 
state, NOUN 
layer, NOUN 
influenced, VERB 
nucleation, NOUN 

, SPACE 
growth, NOUN 
kinetics, NOUN 
layer, NOUN 
deposi-, ADJ 

, SPACE 
tion, NOUN 
FGMs, PROPN 
deposit, VERB 
stepwise, NOUN 
FGMs, NOUN 
turned, VERB 

, SPACE 
CH,-SiCl,-Hz, NOUN 
CsHs, PROPN 
SiCl,-Ar, PUNCT 

, SPACE 
C, PROPN 
H,-SiCl,-Ar, ADJ 
H, PROPN 
systems, NOUN 
suitable, ADJ 

, SPACE 
deposition, NOUN 
Sic, NOUN 
rich, ADJ 
layers, NOUN 
C, NOUN 
rich, ADJ 
layers, NOUN 

, SPACE 
layers, NOUN 
respectively, ADV 

, SPACE 
Acknowledgements, NOUN 

, SPACE 
EDS, PROPN 
line, NOUN 
scanning, NOUN 
5, NUM 
step, NOUN 
FGM, PROPN 
specimen, NOUN 
work, NOUN 
supported, VERB 
KOSEF, PROPN 
Grant, PROPN 
92, NUM 
23-, NOUN 

, SPACE 
shown, VERB 
Fig, PROPN 
7c, PROPN 
intensities, NOUN 
Si, PROPN 
varied, VERB 
00, NUM 
10, NUM 
01, NUM 
3, NUM 

, SPACE 
Fig, PROPN 
7, X 
SEM, PROPN 
micrographs, NOUN 
fracture, ADJ 
surfaces, NOUN 
Sic, PROPN 
C, PROPN 
FGMs, PROPN 
deposited, VERB 
different, ADJ 
number, NOUN 
steps, NOUN 
conditions, NOUN 

, SPACE 
C, PROPN 
H,-SKI,-Ar, NOUN 
H2, NOUN 
system, NOUN 
4, NUM 
step, NOUN 
b, X 
6, NUM 
step, NOUN 
c, NOUN 
5, NUM 
step, NOUN 
FGM, PROPN 

, SPACE 
Y., PROPN 
Kim, PROPN 
et, NOUN 
al./Muteriah, PROPN 
Letters, PROPN 
26, NUM 
1996, NUM 
249, NUM 
257, NUM 
257, NUM 

, SPACE 
References, PROPN 

, SPACE 
B.H., PROPN 
Rabin, PROPN 
I., PROPN 
Shiota, PROPN 
MRS, PROPN 
Bull, PROPN 
Japan, PROPN 
1995, NUM 
14, NUM 

, SPACE 
121, NUM 
Y., PROPN 
Wang, PROPN 
M., PROPN 
Sasaki, PROPN 
T., PROPN 
Goto, PROPN 
T., PROPN 
Hirai, PROPN 
J., PROPN 
Mater, PROPN 
Sci, PROPN 
2.5, NUM 

, SPACE 
1990, NUM 
4697, NUM 

, SPACE 
3, X 
M., PROPN 
Koizumi, PROPN 
M., PROPN 
Niino, PROPN 
MRS, PROPN 
Bull, PROPN 
Japan, PROPN 
1995, NUM 
19, NUM 

, SPACE 
4, X 
R., PROPN 
Watanabe, PROPN 
MRS, PROPN 
IBull, PROPN 
Japan, PROPN 
1995, NUM 
32, NUM 

, SPACE 
5, X 
papers, NOUN 
Ceramic, ADJ 
transactions, NOUN 
Vol, PROPN 
34, NUM 
Function-, PROPN 

, SPACE 
ally, NOUN 
gradient, NOUN 
materials, NOUN 
eds, PROPN 
J.B., PROPN 
Holt, PROPN 
M., PROPN 
Koizumi, PROPN 
T., PROPN 
Hirai, PROPN 

, SPACE 
Z.A., PROPN 
Munir, PROPN 
American, PROPN 
Ceramic, PROPN 
Society, PROPN 
1994, NUM 

, SPACE 
6, NUM 
M., PROPN 
Koizumi, PROPN 
Ceramic, ADJ 
transactions, NOUN 
Vol, PROPN 
34, NUM 
Functionally, ADV 

, SPACE 
gradient, NOUN 
materials, NOUN 
ais, PROPN 
J.B., PROPN 
Holt, PROPN 
M., PROPN 
Koizumi, PROPN 
T., PROPN 
Hirai, PROPN 

, SPACE 
Z.A., PROPN 
Munir, PROPN 
American, PROPN 
Ceramic, PROPN 
Society, PROPN 
1994, NUM 
p., NOUN 
3, NUM 

, SPACE 
7, X 
M., PROPN 
Sasaki, PROPN 
T., PROPN 
Hi, PROPN 
T., PROPN 
Hashida, PROPN 
H., PROPN 
Takahashi, PROPN 
Japan, PROPN 

, SPACE 
Powder, PROPN 
Metall, PROPN 
37, NUM 
li990, PROPN 
58, NUM 

, SPACE 
S, X 
Y., PROPN 
Wang, PROPN 
M., PROPN 
Sasaki, PROPN 
T., PROPN 
Hirai, PROPN 
J., PROPN 
Mater, PROPN 
Sci, PROPN 
26, NUM 
1991, NUM 

, SPACE 
5495, NUM 

, SPACE 
9, X 
T., PROPN 
Hirai, PROPN 
M., PROPN 
Sasaki, PROPN 
J., PROPN 
Japan, PROPN 
Ceram, PROPN 
Sot, PROPN 
26, NUM 
1991, NUM 
216, NUM 

, SPACE 
IO, PROPN 
M., PROPN 
Sasaki, PROPN 
A., PROPN 
Oh, INTJ 
D., PROPN 
Hirano, PROPN 
T., PROPN 
Hirai, PROPN 
J., PROPN 
Japan, PROPN 
Ceram, PROPN 

, SPACE 
Sot, PROPN 
97, NUM 
1989, NUM 
539, NUM 
Ill, PROPN 
Y.T., PROPN 
Kim, PROPN 
N.H., PROPN 
Kim, PROPN 
K.H., PROPN 
Orr, PROPN 
J., PROPN 
Korean, PROPN 
Crystal, PROPN 

, SPACE 
Growth, PROPN 
3, NUM 
1994, NUM 
262, NUM 

, SPACE 
12, NUM 
J., PROPN 
Chin, PROPN 
P.K., PROPN 
Gantzeiand, PROPN 
R.G., PROPN 
Hudson, PROPN 
Thin, PROPN 
Solid, ADJ 
Films, PROPN 
40, NUM 

, SPACE 
1977, NUM 
57, NUM 

, SPACE 
1131, NUM 
D, PROPN 
T., PROPN 
Cheng, PROPN 
W.J., PROPN 
Shyy, PROPN 
D.H., PROPN 
Kuo, PROPN 
M.H., PROPN 
HOD, PROPN 
I., PROPN 
Elec-, PROPN 

, SPACE 
trochem, NOUN 
Sot, PROPN 
1987, NUM 
3145, NUM 

, SPACE 
I41, PROPN 
J., PROPN 
Yeheskel, PROPN 
M.S., PROPN 
Dariel, PROPN 
J., PROPN 
Ceram, PROPN 
Sot, PROPN 
78, NUM 
1995, NUM 

, SPACE 
229, NUM 

, SPACE 
1151, NUM 
J.L., PROPN 
Kaae, PROPN 
T.D., PROPN 
Guldeo, PROPN 
1, NUM 
Ceram, PROPN 
Sot, PROPN 
54, NUM 
1971, NUM 

, SPACE 
I61, PROPN 
Eagima, PROPN 
T., PROPN 
Hirai, PROPN 
J., PROPN 
Mater, PROPN 
Sci, PROPN 
1%9, NUM 
424, NUM 

, SPACE 
17, NUM 
M., PROPN 
Sasaki, PROPN 
T., PROPN 
Hirai, PROPN 
J., PROPN 
Japan, PROPN 
Ceram, PROPN 
Sot, PROPN 
99, NUM 
1991, NUM 

, SPACE 
1002, NUM 

, SPACE 
1181, NUM 
M., PROPN 
Sasaki, PROPN 
A., PROPN 
Oh, INTJ 
A., NOUN 
Okubo, PROPN 
T., PROPN 
Hirai, PROPN 
T., PROPN 
Hashida, PROPN 
H., PROPN 

, SPACE 
Takahashi, PROPN 
Japan, PROPN 
Powder, PROPN 
Metall, PROPN 
37, NUM 
1990, NUM 
9, NUM 
1, NUM 

, SPACE 
1191, NUM 
A., NOUN 
Oh, INTJ 
M., PROPN 
Sasaki, PROPN 
T., PROPN 
Hirai, PROPN 
Japan, PROPN 
Powder, PROPN 
Metall, PROPN 
37, NUM 

, SPACE 
1990, NUM 
87, NUM 

, SPACE 
20, NUM 
T., PROPN 
Hirai, PROPN 
M., PROPN 
Sasaki, PROPN 
JSME, PROPN 
Intern, PROPN 
J., PROPN 
34, NUM 
1991, NUM 
123, NUM 

, SPACE 
