ELSEVIER, NOUN 
provides, VERB 
node, NOUN 

, SPACE 
embedded, VERB 
mesh, NOUN 
unique, ADJ 
j, PROPN 
k, PROPN 
triplet, NOUN 
identifies, VERB 

, SPACE 
position, NOUN 
nodes, NOUN 
given, VERB 
unique, ADJ 
index, NOUN 
sequential, ADJ 

, SPACE 
list, NOUN 
nodes, NOUN 
index, NOUN 
identify, VERB 

, SPACE 
nodes, NOUN 
discretization, NOUN 
scheme, NOUN 
background, NOUN 
j, PROPN 
k, PROPN 

, SPACE 
triplet, NOUN 
compute, VERB 
mesh, NOUN 
connectivity, NOUN 
arrays, NOUN 

, SPACE 
diagnostic, ADJ 
output, NOUN 

, SPACE 
background, NOUN 
j, PROPN 
k, PROPN 
triplets, NOUN 
insufficient, ADJ 

, SPACE 
define, VERB 
mesh, NOUN 
connectivity, NOUN 
necessary, ADJ 
additional, ADJ 
infor-, ADJ 

, SPACE 
mation, NOUN 
contained, VERB 
array, NOUN 
LTR(n, NUM 
indicates, VERB 

, SPACE 
presence, NOUN 
absence, NOUN 
neighbours, NOUN 
node, PROPN 
n, ADV 
mesh, NOUN 

, SPACE 
directions, NOUN 
LTR(n, NUM 
=, NOUN 
neighbour, ADJ 
indicator, NOUN 
j, NOUN 
neighbour, PROPN 
indica-, ADJ 

, SPACE 
tor, NOUN 
k, ADJ 
neighbour, ADJ 
indicator, NOUN 
neighbour, ADJ 
indicators, NOUN 
set, VERB 

, SPACE 
-1, PROPN 
0, NUM 
+, PROPN 
1, NUM 
with-, NOUN 
1, NUM 
indicating, VERB 
neighbour, NOUN 

, SPACE 
-ve, NOUN 
mesh, NOUN 
direction, NOUN 
absent, ADJ 
+, SYM 
1, NUM 
indicating, VERB 
+, ADJ 
ve, VERB 

, SPACE 
neighbour, NOUN 
absent, ADJ 
0, NUM 
indicating, VERB 
neighbours, NOUN 

, SPACE 
present, ADJ 
mesh, NOUN 
structure, NOUN 
allow, VERB 
node, NOUN 

, SPACE 
neighbours, NOUN 
absent, ADJ 
mesh, NOUN 
direction, NOUN 
Typical, ADJ 
values, NOUN 
Mesh, PROPN 
embedding, VERB 
film, NOUN 
cooling, VERB 
holes, NOUN 
B., PROPN 
L., PROPN 
Lapworth, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
LTR, PROPN 
hanging, VERB 
nodes, NOUN 
shown, VERB 
Figure, PROPN 
la, PROPN 
nonhang-, ADJ 

, SPACE 
ing, PROPN 
nodes, PROPN 
LTR, PROPN 
=, PROPN 
0, NUM 
O, INTJ 
0, NUM 

, SPACE 
values, NOUN 
LTR, PROPN 
background, NOUN 
j, PROPN 
k, PROPN 
triplet, NOUN 

, SPACE 
node, PROPN 
completely, ADV 
define, VERB 
structure, NOUN 
embedded, VERB 
mesh, NOUN 

, SPACE 
information, NOUN 
node, NOUN 
coordinates, NOUN 

, SPACE 
passed, VERB 
mesh, NOUN 
generator, NOUN 
flow, NOUN 
solver, VERB 

, SPACE 
simplify, VERB 
numerical, ADJ 
discretizations, NOUN 
flow, NOUN 
solver, VERB 
gener-, NOUN 

, SPACE 
ates, VERB 
set, NOUN 
connectivity, NOUN 
arrays, NOUN 
arrays, NOUN 

, SPACE 
1, X 
NGBN, PROPN 
list, NOUN 
direct, ADJ 
nodal, NOUN 
neighbours, NOUN 
mesh, ADJ 

, SPACE 
direction, NOUN 

, SPACE 
2, X 
NGBH, PROPN 
list, NOUN 
nodal, NOUN 
neighbours, NOUN 
hanging, VERB 
node, NOUN 

, SPACE 
interpolations, NOUN 

, SPACE 
3, X 
NSRM, PROPN 
list, NOUN 
nodal, NOUN 
vertices, VERB 
cell, NOUN 

, SPACE 
4, NUM 
NGBC, PROPN 
list, NOUN 
direct, ADJ 
cell, NOUN 
wise, ADJ 
neighbours, NOUN 
mesh, ADJ 

, SPACE 
direction, NOUN 

, SPACE 
5, X 
MSRN, NOUN 
list, NOUN 
cells, NOUN 
touching, VERB 
node, NOUN 

, SPACE 
6, NUM 
MSRD, ADV 
list, NOUN 
cells, NOUN 
sharing, VERB 
dummy, ADJ 
cell, NOUN 
index, NOUN 

, SPACE 

, SPACE 
7, NUM 
ICFN, NOUN 
list, NOUN 
nodes, NOUN 
convection, NOUN 
diffusion, NOUN 
equation, NOUN 

, SPACE 
difference, NOUN 
stencil, NOUN 

, SPACE 
arrays, NOUN 
illustrated, VERB 
Figures, PROPN 
la, PROPN 
b., PROPN 

, SPACE 
reduce, VERB 
unstructured, ADJ 
array, NOUN 
handling, NOUN 
connectivity, NOUN 
arrays, NOUN 

, SPACE 
fixed, VERB 
dimensions, NOUN 
example, NOUN 
array, NOUN 
NGBN, PROPN 
stor-, ADJ 

, SPACE 
age, NOUN 
neighbours, NOUN 
direction, NOUN 
nodes, NOUN 

, SPACE 
independently, ADV 
neighbours, NOUN 
actually, ADV 
present, ADJ 

, SPACE 
hanging, VERB 
node, NOUN 
NGBN, PROPN 
set, VERB 
-1, INTJ 
neighbours, NOUN 

, SPACE 
absent, ADJ 
Typical, ADJ 
values, NOUN 
NGBN, PROPN 
shown, VERB 
Figure, PROPN 
la, PROPN 

, SPACE 
hanging, VERB 
nodes, NOUN 
important, ADJ 
neighbours, NOUN 

, SPACE 
interpolate, VERB 
linearly, ADV 
hanging, VERB 
node, NOUN 
properties, NOUN 

, SPACE 
stored, VERB 
array, NOUN 
NGBH, PROPN 
interpolation, NOUN 
uses, VERB 
values, NOUN 

, SPACE 
vertices, NOUN 
face, NOUN 
face, NOUN 
centered, VERB 
hanging, NOUN 
nodes, NOUN 

, SPACE 
values, NOUN 
ends, NOUN 
edge, NOUN 
edge, NOUN 
centered, VERB 
nodes, NOUN 

, SPACE 
NGBH, PROPN 
stores, NOUN 
neighbours, NOUN 
hanging, NOUN 
nodes, NOUN 

, SPACE 
edge, NOUN 
centered, VERB 
nodes, NOUN 
neighbour, NOUN 
stored, VERB 
twice, ADV 

, SPACE 
interpolation, NOUN 
weights, NOUN 
set, VERB 
0.25, NUM 
independently, ADV 

, SPACE 
hanging, VERB 
node, NOUN 
position, NOUN 
edge, NOUN 
centered, VERB 
nodes, NOUN 
weights, NOUN 

, SPACE 
automatically, ADV 
increase, VERB 
0.5, NUM 
neighbour, NOUN 
counted, VERB 

, SPACE 
twice, ADV 
Typical, ADJ 
values, NOUN 
NGBH, PROPN 
shown, VERB 
Figure, PROPN 
la, PROPN 

, SPACE 
structure, NOUN 
NGBH, PROPN 
highlights, VERB 
important, ADJ 
aspect, NOUN 

, SPACE 
embedded, VERB 
mesh, NOUN 
model, NOUN 
neighbouring, NOUN 
cells, NOUN 

, SPACE 
differ, VERB 
generation, NOUN 
cell, NOUN 
division, NOUN 
process, NOUN 

, SPACE 
cell, NOUN 
edge, NOUN 
face, NOUN 
contain, VERB 
hanging, VERB 

, SPACE 
node, NOUN 
lie, VERB 
strictly, ADV 
geometric, ADJ 
centre, NOUN 

, SPACE 
values, NOUN 
hanging, VERB 
nodes, NOUN 
set, VERB 
linear, ADJ 
interpolation, NOUN 

, SPACE 
properties, NOUN 
cell, NOUN 
coarse, ADJ 
interface, NOUN 

, SPACE 
obtained, VERB 
solely, ADV 
values, NOUN 
cell, NOUN 
vertices, NOUN 

, SPACE 
linear, ADJ 
interpolation, NOUN 
rules, NOUN 
number, NOUN 
location, NOUN 

, SPACE 
hanging, VERB 
nodes, NOUN 
immaterial, ADJ 
special, ADJ 
interpolation, NOUN 

, SPACE 
treatments, NOUN 
required, VERB 
indices, NOUN 
cell, NOUN 
vertices, NOUN 

, SPACE 
stored, VERB 
array, NOUN 
NSRM, PROPN 
illustrated, VERB 
Figure, PROPN 
la, PROPN 
addition, NOUN 

, SPACE 
inuerse, NOUN 
NSRM, PROPN 
stored, VERB 
array, NOUN 
MSRN, NOUN 

, SPACE 
contains, VERB 
cells, NOUN 
share, VERB 
given, VERB 
node, NOUN 
vertex, NOUN 

, SPACE 
nonhanging, NOUN 
nodes, NOUN 
cells, NOUN 
sharing, VERB 
node, NOUN 
unique, ADJ 

, SPACE 
Hanging, VERB 
nodes, NOUN 
surrounded, VERB 
fewer, ADJ 
cells, NOUN 

, SPACE 
cells, NOUN 
coarse, ADJ 
inserted, VERB 
MSRN, NOUN 

, SPACE 
shown, VERB 
Figure, PROPN 
lb, PROPN 

, SPACE 
evaluate, VERB 
certain, ADJ 
flux, NOUN 
contributions, NOUN 
necessary, ADJ 
find, VERB 

, SPACE 
cells, NOUN 
cell, NOUN 
face, NOUN 
information, NOUN 

, SPACE 
available, ADJ 
array, NOUN 
NGBC, PROPN 
contains, VERB 
cell, NOUN 
neigh-, ADJ 

, SPACE 
bours, NOUN 
mesh, NOUN 
direction, NOUN 
embedding, VERB 
interface, NOUN 
cell, NOUN 

, SPACE 
coarse, ADJ 
multiple, ADJ 
neighbours, NOUN 
fine, ADJ 

, SPACE 
NGBC, PROPN 
store, VERB 
neighbour, NOUN 

, SPACE 
direction, NOUN 
fine, ADJ 
cells, NOUN 
allocated, VERB 
dummy, ADJ 
index, NOUN 

, SPACE 
stored, VERB 
NGBC, PROPN 
array, NOUN 
MSRD, PROPN 
identifies, VERB 
fine, ADJ 

, SPACE 
cells, NOUN 
share, VERB 
dummy, ADJ 
index, NOUN 
dummy, ADJ 
indices, NOUN 

, SPACE 
easily, ADV 
identified, VERB 
appended, VERB 
list, NOUN 
cells, NOUN 

, SPACE 
values, NOUN 
greater, ADJ 
total, ADJ 
number, NOUN 
cells, NOUN 

, SPACE 
cells, NOUN 
fine, ADJ 
interface, NOUN 
share, VERB 
unique, ADJ 
coarse, NOUN 

, SPACE 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
2, NUM 
April, PROPN 
1996, NUM 
157, NUM 


, SPACE 
Mesh, PROPN 
embedding, VERB 
film, NOUN 
cooling, VERB 
holes, NOUN 
B., PROPN 
L., PROPN 
Lapworth, PROPN 
et, PROPN 
aL, PROPN 

, SPACE 
Heirarchy, PROPN 
Violated, PROPN 
Heirarchy, PROPN 
Satisfied, NUM 

, SPACE 

, SPACE 

, SPACE 
b, PROPN 

, SPACE 
c, PROPN 

, SPACE 
Figure, PROPN 
2, NUM 
Embedded, VERB 
mesh, NOUN 
hierarchy, NOUN 
constraints, NOUN 
adjacent, ADJ 

, SPACE 
cells, NOUN 
differ, VERB 
generation, NOUN 
b, X 
cells, NOUN 

, SPACE 
simultaneously, ADV 
fine, ADJ 
coarse, ADJ 
sides, NOUN 

, SPACE 
interface, NOUN 
c, X 
nonhanging, NOUN 
nodes, NOUN 
lie, VERB 
interface, NOUN 

, SPACE 
neighbour, NOUN 
index, NOUN 
multiplied, VERB 
-1, PROPN 

, SPACE 
stored, VERB 
NGBC, PROPN 
boundary, ADJ 
cells, NOUN 
neighbours, NOUN 

, SPACE 
given, VERB 
direction, NOUN 
NGBC, PROPN 
set, VERB 
0, NUM 
NGBC, PROPN 
contains, VERB 

, SPACE 
information, NOUN 
needed, VERB 
decide, VERB 
given, VERB 
cell, NOUN 

, SPACE 
coarse, ADJ 
fine, ADJ 
interface, NOUN 
away, ADV 
inter-, NOUN 

, SPACE 
faces, NOUN 
Typical, ADJ 
values, NOUN 
NGBC, PROPN 
MSRD, PROPN 
shown, VERB 
Figure, PROPN 

, SPACE 
lb, X 

, SPACE 
difference, NOUN 
stencil, NOUN 
convection, NOUN 
diffusion, NOUN 
operator, NOUN 

, SPACE 
stored, VERB 
array, NOUN 
ICFN, PROPN 
discussed, VERB 

, SPACE 
Numerical, ADJ 
discretization, NOUN 
scheme, NOUN 
section, NOUN 
preceding, VERB 
connec-, ADJ 

, SPACE 
tivity, NOUN 
arrays, NOUN 
provide, VERB 
efficient, ADJ 
look, VERB 
tables, NOUN 
nodal, NOUN 

, SPACE 
cellwise, ADJ 
indices, NOUN 
needed, VERB 
discretization, NOUN 
scheme, NOUN 
Searching, VERB 

, SPACE 
neighbours, NOUN 
avoided, VERB 
initial, ADJ 
calculation, NOUN 

, SPACE 
connectivity, NOUN 
arrays, NOUN 
searches, NOUN 
carded, VERB 
mesh, NOUN 

, SPACE 
lines, NOUN 
background, NOUN 
fine, ADJ 
mesh, NOUN 
LTR, PROPN 
decide, VERB 

, SPACE 
terminate, VERB 
search, NOUN 

, SPACE 
Hierarchical, ADJ 
constraints, NOUN 
cell, NOUN 
divisions, NOUN 

, SPACE 
preceding, VERB 
data, NOUN 
structure, NOUN 
places, VERB 
certain, ADJ 
hierarchical, ADJ 
con-, NOUN 

, SPACE 
straints, NOUN 
mesh, NOUN 
embedding, VERB 
algorithm, NOUN 
illustrated, VERB 

, SPACE 
Figure, PROPN 
2, NUM 
constraint, NOUN 
prevents, VERB 
cells, NOUN 
fine, ADJ 

, SPACE 
interface, NOUN 
divided, VERB 
coarse, ADJ 
cell, NOUN 

, SPACE 
divided, VERB 
Figure, NOUN 
2a, PROPN 
neighbouring, NOUN 
cells, NOUN 

, SPACE 
differ, VERB 
generation, NOUN 
second, ADJ 
constraint, NOUN 
pre-, NOUN 

, SPACE 
vents, NOUN 
neighbouring, NOUN 
cells, NOUN 
refined, VERB 
conjugate, ADJ 
directions, NOUN 

, SPACE 
Figure, NOUN 
2b, PROPN 
cell, NOUN 
simultaneously, ADV 
fine, ADJ 

, SPACE 
interface, NOUN 
orientation, NOUN 
coarse, ADJ 

, SPACE 
conjugate, NOUN 
orientation, NOUN 
constraint, NOUN 
prevents, VERB 
diagonally, ADV 

, SPACE 
adjacent, ADJ 
cells, NOUN 
refined, VERB 
direction, NOUN 

, SPACE 
neighbours, NOUN 
refined, VERB 
Figure, NOUN 
2c, PROPN 
node, NOUN 

, SPACE 
highlighted, VERB 
figure, NOUN 
set, NOUN 
neighbours, NOUN 
LTR, PROPN 
=, ADJ 

, SPACE 
0, NUM 
0, NUM 
0, NUM 
classed, VERB 
hanging, VERB 
node, NOUN 

, SPACE 
lies, VERB 
embedding, VERB 
interface, NOUN 
violations, NOUN 
hierarchy, NOUN 
constraints, NOUN 
removed, VERB 

, SPACE 
dividing, VERB 
cell(s, PROPN 
coarse, ADJ 
interface, NOUN 

, SPACE 
Unfortunately, ADV 
division, NOUN 
create, VERB 
hierarchy, NOUN 
viola-, NOUN 

, SPACE 
tion, NOUN 
cell, NOUN 
lead, VERB 
series, NOUN 
parasitic, ADJ 

, SPACE 
divisions, NOUN 
cascade, VERB 
mesh, NOUN 
Experience, NOUN 
shown, VERB 

, SPACE 
constraint, NOUN 
leads, VERB 
particularly, ADV 
high, ADJ 
number, NOUN 

, SPACE 
parasitic, ADJ 
divisions, NOUN 

, SPACE 
Embedded, VERB 
mesh, NOUN 
generation, NOUN 

, SPACE 
Embedded, VERB 
meshes, NOUN 
generated, VERB 
following, ADJ 
algorithm, PROPN 

, SPACE 
1, X 
Define, VERB 
initial, ADJ 
mesh, NOUN 
read, VERB 
previous, ADJ 
mesh, NOUN 
performing, VERB 

, SPACE 
solution, NOUN 
adaptation, NOUN 

, SPACE 
2, X 
Calculate, VERB 
connectivity, NOUN 
arrays, NOUN 

, SPACE 
3, X 
Select, PROPN 
cells, NOUN 
subdivision, NOUN 
geometric, ADJ 
block, NOUN 

, SPACE 
adaptation, NOUN 
criteria, NOUN 

, SPACE 
4, X 
Select, VERB 
cells, NOUN 
needed, VERB 
remove, VERB 
hierarchy, NOUN 
violations, NOUN 

, SPACE 
5, X 
Order, VERB 
selected, VERB 
cells, NOUN 
coarse, ADJ 
cells, NOUN 

, SPACE 
divided, VERB 
neighbours, NOUN 

, SPACE 
6, NUM 
Subdivide, ADJ 
cells, NOUN 
updating, VERB 
LTR, PROPN 
j, PROPN 
k, PROPN 
triplets, NOUN 
new, ADJ 

, SPACE 
nodes, NOUN 
added, VERB 

, SPACE 
7, X 
Generate, VERB 
new, ADJ 
background, NOUN 
fine, ADJ 
mesh, NOUN 

, SPACE 
8), NUM 
Ensure, NOUN 
new, ADJ 
nodes, NOUN 
solid, ADJ 
boundary, ADJ 
lie, NOUN 

, SPACE 
boundary, NOUN 
blend, VERB 
changes, NOUN 
boundary, ADJ 
node, NOUN 

, SPACE 
position, NOUN 
surrounding, VERB 
mesh, NOUN 

, SPACE 
9, X 
Repeat, NOUN 
2, NUM 
embedding, VERB 
criteria, NOUN 
satisfied, ADJ 

, SPACE 
cells, NOUN 
divided, VERB 
new, ADJ 
nodes, NOUN 
created, VERB 
ap-, X 

, SPACE 
pended, VERB 
list, NOUN 
nodes, PROPN 
existing, VERB 
nodes, NOUN 
connected, VERB 

, SPACE 
new, ADJ 
neighbours, NOUN 
Existing, VERB 
nodes, NOUN 
simply, ADV 
LTR, PROPN 
values, NOUN 

, SPACE 
modified, VERB 
new, ADJ 
nodes, NOUN 
assigned, VERB 
j, PROPN 
k, PROPN 
index, NOUN 

, SPACE 
background, NOUN 
mesh, NOUN 
correspond, VERB 
index, NOUN 

, SPACE 
exists, VERB 
background, NOUN 
mesh, NOUN 
index, NOUN 

, SPACE 
given, VERB 
half, ADJ 
integer, NOUN 
value, NOUN 
conflict, VERB 
indices, NOUN 

, SPACE 
node, NOUN 
cell, NOUN 
divisions, NOUN 
completed, VERB 

, SPACE 
new, ADJ 
lines, NOUN 
inserted, VERB 
background, NOUN 
mesh, NOUN 

, SPACE 
half, ADJ 
integer, ADJ 
values, NOUN 
created, VERB 
j, PROPN 
k, PROPN 
triplets, NOUN 

, SPACE 
nodes, NOUN 
modified, VERB 
account, VERB 
increased, VERB 
dimen-, NOUN 

, SPACE 
sions, NOUN 
background, NOUN 
mesh, NOUN 
connectivity, NOUN 
array, NOUN 

, SPACE 
updated, VERB 
cell, NOUN 
divisions, NOUN 
NGBN, PROPN 

, SPACE 
arrays, NOUN 
updated, VERB 
embedding, VERB 
sweep, NOUN 

, SPACE 
completed, VERB 

, SPACE 
Numerical, ADJ 
model, NOUN 

, SPACE 
Governing, NOUN 
equations, NOUN 

, SPACE 
flow, NOUN 
heat, NOUN 
transfer, NOUN 
modelled, VERB 
steady, ADJ 

, SPACE 
Reynolds, PROPN 
averaged, VERB 
conservation, NOUN 
equations, NOUN 
mass, PROPN 
momentum, NOUN 

, SPACE 
energy, NOUN 
following, VERB 
perfect, ADJ 
gas, NOUN 
law, NOUN 

, SPACE 
0, NUM 

, SPACE 
0x---, PROPN 
7, NUM 
puj, NOUN 
=, VERB 
0, NUM 

, SPACE 
Ou, PROPN 

, SPACE 
pUj, VERB 
~Xj, X 
~'rij, PUNCT 
~p, PUNCT 

, SPACE 
~Xj, X 
~Xj, X 

, SPACE 
°, VERB 
-ax, ADV 
axj, NOUN 
1, NUM 
7, NUM 

, SPACE 
1, NUM 
,i, PUNCT 
+, PROPN 
IL, PROPN 
1, NUM 
7, NUM 
Ox, PROPN 
Tt2c,/, PROPN 

, SPACE 
p, NOUN 
=, PROPN 
RpT, PROPN 

, SPACE 

, SPACE 
au, ADV 
auj, INTJ 
2, NUM 
Tij, NOUN 
=, NOUN 
ILl, PROPN 
+, CCONJ 
ILt, NOUN 
~xj, X 
÷, PUNCT 
~x, PUNCT 
-3, SYM 
~ijpk, X 
1, X 

, SPACE 
laminar, NOUN 
turbulent, ADJ 
Prandtl, PROPN 
numbers, NOUN 
energy, NOUN 

, SPACE 
equation, NOUN 
taken, VERB 
0.7, NUM 
0.9, NUM 
respectively, ADV 
turbulent, ADJ 

, SPACE 
158, NUM 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
2, NUM 
April, PROPN 
1996, NUM 


, SPACE 
viscosity, NOUN 
modelled, VERB 
high, ADJ 
Reynolds, PROPN 
number, NOUN 
k, PROPN 
e, NOUN 

, SPACE 
model, NOUN 

, SPACE 
k, NOUN 
2, NUM 

, SPACE 
~t, PUNCT 
=, NOUN 
c, NOUN 
~, NOUN 
p--, NOUN 

, SPACE 
pUj, VERB 
~Xj, X 
~Xj, PUNCT 
J'l, NOUN 
~tGk, PUNCT 
~Xj, X 
G, PROPN 
p~., PROPN 

, SPACE 
+, PUNCT 
ClG-, VERB 
£, NOUN 
c2p-, NOUN 
~, PUNCT 
2, NUM 
pUJ, ADJ 
oxj, NOUN 
OXj, NOUN 
P'l, NOUN 
+, CCONJ 
OXj, NOUN 

, SPACE 
generation, NOUN 
term, NOUN 
G, NOUN 
defined, VERB 

, SPACE 
G, NOUN 
=, PROPN 
lx, ADP 
t, PROPN 
~x./, PROPN 
~x, PUNCT 
Oxj, PROPN 

, SPACE 
k, PROPN 
e, PROPN 
model, NOUN 
constants, NOUN 
standard, ADJ 
values, NOUN 

, SPACE 
c~, PROPN 
=, NUM 
0.09, NUM 
~k, PUNCT 
=, NOUN 
1.0, NUM 
o-~, ADJ 
=, NOUN 
1.3, NUM 
c, NOUN 
1, NUM 
=, SYM 
1.44, NUM 
c, NOUN 
2, NUM 
=, SYM 
1.92, NUM 

, SPACE 
log, NOUN 
law, NOUN 
near, ADJ 
wall, NOUN 
regions, NOUN 

, SPACE 
production, NOUN 
term, NOUN 
k, PROPN 
equation, NOUN 
evaluated, VERB 
logarith-, ADJ 

, SPACE 
mic, ADJ 
velocity, NOUN 
profile, NOUN 
e, NOUN 
set, VERB 
directly, ADV 
local, ADJ 
equilib-, ADJ 

, SPACE 
rium, NOUN 
assumption, NOUN 
places, VERB 
constraint, NOUN 
proximity, NOUN 

, SPACE 
near, ADJ 
wall, NOUN 
grid, PROPN 
nodes, PROPN 
closer, ADJ 
y+=, PROPN 
12, NUM 

, SPACE 
average, ADJ 
y, NOUN 
÷, PUNCT 
values, NOUN 
present, ADJ 
calculations, NOUN 

, SPACE 
range, NOUN 
25, NUM 
50, NUM 

, SPACE 
Control, PROPN 
volume, NOUN 
assignment, NOUN 

, SPACE 
flow, NOUN 
equations, NOUN 
discretized, VERB 
upwind, NOUN 
control, NOUN 

, SPACE 
volume, NOUN 
algorithm, PROPN 
Moore, PROPN 
1985, NUM 
algorithm, NOUN 
control, NOUN 

, SPACE 
volumes, NOUN 
allocated, VERB 
node, NOUN 
fixed, VERB 
advance, NOUN 

, SPACE 
allowed, VERB 
adjust, VERB 
calculation, NOUN 
proceeds, VERB 

, SPACE 
aligned, VERB 
closely, ADV 
possible, ADJ 
local, ADJ 
flow, NOUN 
direction, NOUN 

, SPACE 
alignment, NOUN 
computed, VERB 
subdividing, VERB 
computational, ADJ 
cell, NOUN 

, SPACE 
1/8th, NUM 
subceUs, ADJ 
assigning, VERB 
1/8th, NUM 
cell, NOUN 

, SPACE 
vertex, NOUN 
closest, ADJ 
downstream, ADJ 
direction, NOUN 
division, NOUN 

, SPACE 
1/8th, NUM 
subcells, NOUN 
method, NOUN 
perform, VERB 
finite, ADJ 

, SPACE 
volume, NOUN 
integration, NOUN 
independent, ADJ 
mesh, NOUN 
embedding, VERB 

, SPACE 
algorithm, NOUN 
1/8th, NUM 
cells, NOUN 
allocated, VERB 

, SPACE 
control, NOUN 
volume, NOUN 
node, NOUN 
agglomeration, NOUN 

, SPACE 
1/8th, NUM 
cells, NOUN 
assigned, VERB 
illustrate, VERB 
case, NOUN 
flow, NOUN 

, SPACE 
grid, NOUN 
lines, NOUN 
shown, VERB 
Figure, PROPN 
3, NUM 
downstream, ADJ 
vertices, VERB 

, SPACE 
cell, NOUN 
allocated, VERB 
1/8th, NUM 
sub, NOUN 
cells, NOUN 

, SPACE 
allocated, VERB 
upstream, ADJ 
vertices, NOUN 
Figure, NOUN 
3a, PROPN 
Agglomerating, VERB 

, SPACE 
l/8th, NOUN 
cells, NOUN 
produces, VERB 
nodal, NOUN 
control, NOUN 
volume, NOUN 
node, NOUN 

, SPACE 
center, NOUN 
downstream, ADJ 
face, NOUN 
Figure, NOUN 
3b, PROPN 
control, NOUN 

, SPACE 
Flow, NOUN 

, SPACE 
Nodes, PROPN 
receiving, VERB 
l/8th, NOUN 
contributions, NOUN 

, SPACE 
C, NOUN 
Nodes, PROPN 
receiving, VERB 
1/8th, NUM 
contribution~, PROPN 
Control, PROPN 
volume, NOUN 
node, PROPN 

, SPACE 
Assignment, PROPN 
l/8th, NOUN 
sub, NOUN 
~, NOUN 
cells, NOUN 
b, X 
Agglomeration, NOUN 
llSths, NOUN 
fo, VERB 
~, NOUN 
n, NOUN 

, SPACE 
nodal, NOUN 
control, NOUN 
volume, NOUN 

, SPACE 
Figure, PROPN 
3, NUM 
Upwind, NOUN 
control, NOUN 
volumes, NOUN 
convection, NOUN 
dominated, VERB 

, SPACE 
flow, NOUN 
grid, NOUN 
lines, NOUN 
Mesh, PROPN 
embedding, VERB 
film, NOUN 
cooling, VERB 
holes, NOUN 
B., PROPN 
L., PROPN 
Lapworth, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
F,?w, ADP 
~, PROPN 
l, NOUN 

, SPACE 
b, X 

, SPACE 
m, AUX 
Hanging, PROPN 
Node, PROPN 
o, PROPN 
Control, PROPN 
Volumes, PROPN 
Reassigned, VERB 

, SPACE 
m, PRON 
Control, PROPN 
Volumes, PROPN 
Assigned, VERB 
Regular, PROPN 
Nodes, PROPN 
o, PROPN 

, SPACE 
Figure, PROPN 
4, NUM 
Reassignment, PROPN 
hanging, VERB 
node, PROPN 
control, NOUN 
volumes, NOUN 

, SPACE 
flow, NOUN 
fine, ADJ 
coarse, VERB 
interface, NOUN 
reas-, ADJ 

, SPACE 
signment, NOUN 
b, X 
reassignment, NOUN 

, SPACE 
volume, NOUN 
convective, ADJ 
fluxes, NOUN 
discretized, VERB 
second, ADJ 
order, NOUN 

, SPACE 
accurate, ADJ 
central, ADJ 
differencing, NOUN 
need, NOUN 
additional, ADJ 

, SPACE 
artificial, ADJ 
viscosity, NOUN 
stabilize, VERB 
discretization, NOUN 
Readers, NOUN 

, SPACE 
referred, VERB 
Moore, PROPN 
fuller, ADJ 
details, NOUN 
control, NOUN 
volume, NOUN 
upwind-, X 

, SPACE 
ing, PROPN 
algorithm, PROPN 

, SPACE 
Control, PROPN 
volume, NOUN 
upwinding, VERB 
embedding, VERB 
interfaces, NOUN 

, SPACE 
important, ADJ 
interfaces, NOUN 
treated, VERB 
implicitly, ADV 

, SPACE 
act, VERB 
internal, ADJ 
boundaries, NOUN 
retard, VERB 
rate, NOUN 

, SPACE 
convergence, NOUN 
Stability, PROPN 
accuracy, NOUN 
flux, NOUN 
conservation, NOUN 

, SPACE 
maintained, VERB 
interfaces, NOUN 
features, NOUN 
achieved, VERB 

, SPACE 
extending, VERB 
numerical, PROPN 
scheme, NOUN 
proposed, VERB 

, SPACE 
present, ADJ 
authors, NOUN 
Lapworth, PROPN 
1993, NUM 
stacked, VERB 
meshes, NOUN 

, SPACE 
direction, NOUN 
rationale, NOUN 
interface, NOUN 
treatment, NOUN 

, SPACE 
ensure, VERB 
1/8th, NUM 
subcells, NOUN 
assigned, VERB 
hanging, VERB 

, SPACE 
nodes, NOUN 
hanging, VERB 
nodes, NOUN 
receive, VERB 
control, NOUN 
volume, NOUN 

, SPACE 
updates, NOUN 
conflict, NOUN 
setting, VERB 
values, NOUN 
linear, ADJ 

, SPACE 
interpolation, NOUN 
achieve, VERB 
1/8th, NUM 
subcells, NOUN 
control, NOUN 

, SPACE 
volume, NOUN 
upwinding, VERB 
algorithm, PROPN 
prefer, VERB 
