s, X 
recorded, VERB 
distance, NOUN 
200, NUM 
mm, NOUN 

, SPACE 
crystal, NOUN 
viewing, VERB 
screen, NOUN 

, SPACE 
considerably, ADV 
shorter, ADJ 
distance, NOUN 
patterns, NOUN 

, SPACE 
paper, NOUN 
distance, NOUN 
680, NUM 
mm, NOUN 

, SPACE 
separate, ADJ 
rings, NOUN 
merge, VERB 
resolved, VERB 

, SPACE 
3.2, X 
Lenses, NOUN 
switched, VERB 

, SPACE 
Multiple, ADJ 
beam, NOUN 
channeling, VERB 
patterns, NOUN 
produced, VERB 

, SPACE 
quadrupole, NOUN 
lenses, NOUN 
nuclear, ADJ 
microprobe, NOUN 
switched, VERB 

, SPACE 
separate, ADJ 
proton, NOUN 
beams, NOUN 
focused, VERB 

, SPACE 
point, NOUN 
crystal, NOUN 
surface, NOUN 
described, VERB 

, SPACE 
beam, NOUN 
separated, VERB 
0.15, NUM 
horizontal, ADJ 
beam, NOUN 

, SPACE 
direction, NOUN 
angular, ADJ 
width, NOUN 
beam, NOUN 
0.04, NUM 

, SPACE 
Fig, PROPN 
4a, PROPN 
shows, VERB 
separate, ADJ 
proton, NOUN 
beams, NOUN 
hitting, VERB 

, SPACE 
viewing, VERB 
screen, NOUN 
crystaf, NOUN 
removed, VERB 
beam, NOUN 

, SPACE 
axis, NOUN 
lenses, NOUN 
switched, VERB 
110, NUM 
planes, NOUN 

, SPACE 
aligned, VERB 
beam, NOUN 
axis, NOUN 
nest, NOUN 
Fig, PROPN 
4, NUM 

, SPACE 
shows, VERB 
channeling, VERB 
patterns, NOUN 
produced, VERB 
tilting, VERB 
crystal, NOUN 

, SPACE 
loo, AUX 
axis, VERB 
small, ADJ 
angles, NOUN 

, SPACE 
alignment, NOUN 
beam, NOUN 
axis, NOUN 
Fig, PROPN 
4b, PROPN 
beams, NOUN 

, SPACE 
aligned, VERB 
far, ADV 
away, ADV 
lo01, PROPN 
axis, NOUN 
project, VERB 
dough-, X 

, SPACE 
nut, NOUN 
distributions, NOUN 
Fig, PROPN 
4c, NOUN 
right, ADJ 
hand, NOUN 
beam, NOUN 

, SPACE 
projects, VERB 
faint, ADJ 
doughnut, NOUN 
distribution, NOUN 
large, ADJ 
angular, ADJ 

, SPACE 
diameter, NOUN 
doughnut, NOUN 
stronger, ADJ 
pro-, NOUN 

, SPACE 
gressively, ADV 
smaller, ADJ 
diameter, NOUN 
Figs, PROPN 
4d, PROPN 
4e, PROPN 
right, ADJ 

, SPACE 
hand, NOUN 
beam, NOUN 
aligned, VERB 
IOO, PROPN 
axis, VERB 

, SPACE 
Fig, PROPN 
4e, PROPN 
tbe, NOUN 
left, VERB 
hand, NOUN 
beam, NOUN 
projects, VERB 
doughnut, NOUN 

, SPACE 
distribution, NOUN 
larger, ADJ 
diameter, NOUN 
corresponding, VERB 
h4.B.H., PUNCT 
Breese, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
I14, PROPN 
1996, NUM 
252, NUM 
258, NUM 
255, NUM 

, SPACE 
Fig, PROPN 
4, NUM 
Patterns, NOUN 
recorded, VERB 
single, ADJ 
0.3, NUM 
Frn, PROPN 
thick, ADJ 
silicon, NOUN 
crystal, NOUN 
function, NOUN 
tilt, NOUN 
angle, NOUN 
beam, NOUN 
axis, NOUN 
110, NUM 
planes, NOUN 

, SPACE 
proton, NOUN 
beams, NOUN 
shown, VERB 
Fig, PROPN 
4a, PROPN 
separated, VERB 
+0.075, PROPN 
beam, NOUN 
axis, NOUN 
focused, VERB 
crystal, NOUN 
surface, NOUN 
lenses, NOUN 

, SPACE 
switched, VERB 
crystal, NOUN 
IO01, PROPN 
tilt, NOUN 
angle, NOUN 
beam, NOUN 
axis, NOUN 
b, X 
-O&Y, NOUN 
c, NOUN 
-O.ZO, PUNCT 
d, X 
-0.17, NUM 
e, PROPN 
-O.I3, VERB 
f, PROPN 
-O.OS, PUNCT 
g, X 
>, X 
-l-0.02, PROPN 
h, PROPN 

, SPACE 
+0.2T., PROPN 

, SPACE 
256, NUM 
M.B.H., PROPN 
Breese, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
114, NUM 
1996, NUM 
252, NUM 
258, NUM 

, SPACE 
right, ADJ 
hand, NOUN 
beam, NOUN 
creating, VERB 
alternate, ADJ 
bright, ADJ 
dark, ADJ 
rings, NOUN 

, SPACE 
centred, VERB 
1001, NUM 
axis, NOUN 
Fig, PROPN 
4f, NUM 
right, ADJ 
hand, NOUN 
beam, NOUN 

, SPACE 
aligned, VERB 
lo01, PROPN 
axis, NOUN 
producing, VERB 
bright, ADJ 
spot, NOUN 

, SPACE 
left, ADJ 
hand, NOUN 
beam, NOUN 
projects, VERB 
bright, ADJ 
doughnut, NOUN 
distribution, NOUN 

, SPACE 
Fig, PROPN 
4, NUM 
g, NOUN 
beams, NOUN 
aligned, VERB 

, SPACE 
opposite, ADJ 
sides, NOUN 
lOOI, NOUN 
axis, NOUN 
rings, NOUN 
observed, VERB 

, SPACE 
intensity, NOUN 
distributions, NOUN 
produced, VERB 
beams, NOUN 

, SPACE 
overlap, NOUN 
Fig, PROPN 
4h, NUM 
right, ADJ 
hand, NOUN 
beam, NOUN 
far, ADV 
away, ADV 

, SPACE 
lOOI, NOUN 
axis, NOUN 
produce, VERB 
doughnut, NOUN 
distribution, NOUN 

, SPACE 
left, ADJ 
hand, NOUN 
beam, NOUN 
produce, VERB 
tilt, NOUN 

, SPACE 
angles, NOUN 
direction, NOUN 
beams, NOUN 
channeled, VERB 

, SPACE 
110, NUM 
planes, NOUN 
produce, VERB 
doughnut, NOUN 
distributions, NOUN 

, SPACE 
Fig, PROPN 
5, NUM 
shows, VERB 
similar, ADJ 
sequence, NOUN 
channeling, VERB 
patterns, NOUN 

, SPACE 
produced, VERB 
aligning, VERB 
l, NOUN 
lo, X 
axis, NOUN 
crystal, NOUN 

, SPACE 
close, ADJ 
beam, NOUN 
axis, NOUN 
tilting, VERB 
horizontally-, NOUN 

, SPACE 
running, VERB 
100, NUM 
planes, NOUN 
1, NUM 
lo, NOUN 
axis, NOUN 
wider, ADJ 

, SPACE 
lo01, PROPN 
axis, NOUN 
beams, NOUN 
separated, VERB 
0.15, NUM 

, SPACE 
produce, VERB 
patterns, NOUN 
instead, ADV 
lOOI, NOUN 
axis, NOUN 

, SPACE 
similar, ADJ 
series, NOUN 
bright, ADJ 
dark, ADJ 
rings, NOUN 
centred, VERB 
1, NUM 
lo, X 

, SPACE 
axis, NOUN 
observed, VERB 
sequence, NOUN 
patterns, NOUN 

, SPACE 
3.3, X 
Discussion, NOUN 

, SPACE 
quadrupole, NOUN 
lenses, NOUN 
switched, VERB 
series, NOUN 

, SPACE 
bright, ADJ 
rings, NOUN 
similar, ADJ 
diameters, NOUN 
offset, VERB 

, SPACE 
observed, VERB 
multiple, ADJ 
beam, NOUN 
channeling, NOUN 
pat-, X 

, SPACE 
terns, NOUN 
shown, VERB 
Fig, PROPN 
3, NUM 
rings, NOUN 
offset, VERB 

, SPACE 
patterns, NOUN 
generated, VERB 
separate, ADJ 
beams, NOUN 
produced, VERB 

, SPACE 
different, ADJ 
parts, NOUN 
crystal, NOUN 
similar, ADJ 

, SPACE 
diameter, NOUN 
separate, ADJ 
beams, NOUN 
nearly, ADV 

, SPACE 
beam, NOUN 
crystal, NOUN 
alignment, NOUN 
lenses, NOUN 
switched, VERB 
series, NOUN 
bright, ADJ 
dark, ADJ 

, SPACE 
rings, NOUN 
different, ADJ 
diameters, NOUN 
centred, VERB 

, SPACE 
point, NOUN 
screen, NOUN 
observed, VERB 
multiple, ADJ 
beam, NOUN 

, SPACE 
channeling, VERB 
patterns, NOUN 
Figs, PROPN 
4, NUM 
5, NUM 
centred, VERB 

, SPACE 
point, NOUN 
patterns, NOUN 
generated, VERB 

, SPACE 
separate, ADJ 
beams, NOUN 
produced, VERB 

, SPACE 
crystal, NOUN 
rings, NOUN 
different, ADJ 
diameter, NOUN 

, SPACE 
separate, ADJ 
beams, NOUN 
widely, ADV 
differing, VERB 
angles, NOUN 
1001, NUM 

, SPACE 
llO, NOUN 
axes, NOUN 

, SPACE 
example, NOUN 
intermediate, ADJ 
condition, NOUN 

, SPACE 
discussed, VERB 
far, ADV 
lenses, NOUN 

, SPACE 
switched, VERB 
focus, VERB 
multiple, ADJ 
beams, NOUN 

, SPACE 
point, NOUN 
crystal, NOUN 
surface, NOUN 
shown, VERB 
Fig, PROPN 
3f, NOUN 

, SPACE 
shows, VERB 
multiple, ADJ 
beam, NOUN 
pattern, NOUN 
produced, VERB 

, SPACE 
beams, NOUN 
Figs, PROPN 
3d, NOUN 
3e, NOUN 
case, NOUN 
lenses, NOUN 

, SPACE 
switched, VERB 
strengths, NOUN 
required, VERB 
focus, VERB 

, SPACE 
separate, ADJ 
beams, NOUN 
crystal, NOUN 
surface, NOUN 
different, ADJ 

, SPACE 
beams, NOUN 
hit, VERB 
different, ADJ 
parts, NOUN 
crystal, NOUN 
surface, NOUN 

, SPACE 
different, ADJ 
angles, NOUN 
resultant, NOUN 
pattern, NOUN 
superposition, NOUN 

, SPACE 
different, ADJ 
patterns, NOUN 
similarity, NOUN 

, SPACE 
common, ADJ 
centre, NOUN 

, SPACE 
4, X 
Interpretation, NOUN 
channeling, VERB 
patterns, NOUN 
ro-, X 

, SPACE 
tated, VERB 
bilayers, NOUN 

, SPACE 
addition, NOUN 
interesting, ADJ 
example, NOUN 
use, NOUN 

, SPACE 
nuclear, ADJ 
microprobe, NOUN 
produce, VERB 
previously, ADV 
unobserved, VERB 

, SPACE 
patterns, NOUN 
use, NOUN 
multiple, ADJ 
beams, NOUN 
produced, VERB 

, SPACE 
quadrupole, NOUN 
lenses, NOUN 
switched, VERB 
helps, VERB 
under-, NOUN 

, SPACE 
standing, NOUN 
previous, ADJ 
work, NOUN 
7, NUM 
characterising, VERB 
effects, NOUN 

, SPACE 
Fig, PROPN 

, SPACE 
ho, X 
5, X 
Patterns, NOUN 
recorded, VERB 
single, ADJ 
0.3, NUM 
@rn, NOUN 
thick, ADJ 
silicon, NOUN 
crystal, NOUN 
function, NOUN 
tilt, NOUN 
angle, NOUN 
beam, NOUN 
axis, NOUN 

, SPACE 
izontally, ADV 
running, VERB 
100, NUM 
planes, NOUN 
proton, NOUN 
beams, NOUN 
separated, VERB 
O.lS, PROPN 
central, ADJ 
beam, NOUN 
beam, NOUN 
axis, NOUN 
focused, VERB 

, SPACE 
crystal, NOUN 
surface, NOUN 
crystal, NOUN 
l, NOUN 
101, NUM 
tilt, NOUN 
angle, NOUN 
beam, NOUN 
axis, NOUN 
>, X 
OH, NOUN 
b, X 
0.50, NUM 
c, NOUN 
0.34, NUM 
d, X 
0.28, NUM 
e, NOUN 
0.22, NUM 
f, X 
+, SYM 
0, NUM 

, SPACE 
+, CCONJ 
0.14, NUM 
h, PROPN 
+, NOUN 
0.25, NUM 
Ignore, VERB 
far, ADV 
left, ADJ 
hand, NOUN 
pattern, NOUN 
chopped, VERB 
limited, ADJ 
extent, NOUN 
viewing, VERB 
screen, NOUN 

, SPACE 
M&H., PROPN 
Breese, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
I14, PROPN 
1996, NUM 
252, NUM 
258, NUM 
257, NUM 

, SPACE 
Fig, PROPN 
6, NUM 
Pattern, PROPN 
generated, VERB 
bilayer, NOUN 
comprising, VERB 

, SPACE 
individual, NOUN 
0.3, NUM 
pm, NOUN 
thick, ADJ 
lOOI, NOUN 
silicon, NOUN 
crystals, NOUN 
rotation, NOUN 

, SPACE 
angle, NOUN 
0.25, NUM 
7, NUM 
crystal, NOUN 
lOC, X 

, SPACE 
axes, NOUN 
respectively, ADV 
aligned, VERB 
0.15, NUM 
+, NUM 
0.10, NUM 

, SPACE 
beam, NOUN 
axis, NOUN 
b, X 
Fig, PROPN 
4d, PROPN 
rotated, VERB 
anticlock-, INTJ 

, SPACE 
wise, ADJ 
90, NUM 
comparison, NOUN 
Fig, PROPN 
6a, NOUN 

, SPACE 
rotated, VERB 
bilayers, NOUN 
channeling, VERB 
patterns, NOUN 
rotated, VERB 
bi-, NOUN 

, SPACE 
layer, NOUN 
interface, NOUN 
dechanneling, VERB 
mechanism, NOUN 

, SPACE 
character&e, PROPN 
strained, VERB 
layers, NOUN 
ion, NOUN 
channeling, VERB 
analysis, NOUN 

, SPACE 
described, VERB 
Ref, PROPN 
13, NUM 

, SPACE 
example, NOUN 
type, NOUN 
pattern, NOUN 
shown, VERB 
Fig, PROPN 
6a, NOUN 

, SPACE 
recorded, VERB 
bilayer, NOUN 
comprising, VERB 
indi-, NOUN 

, SPACE 
vidual, ADJ 
0.3, NUM 
pm, NOUN 
thick, ADJ 
lOO, NOUN 
silicon, NOUN 
crystals, NOUN 
rotation, NOUN 

, SPACE 
angle, NOUN 
0.25, NUM 
crystal, NOUN 

, SPACE 
lOO, NOUN 
axes, NOUN 
respectively, ADV 
aligned, VERB 
-0.15, PROPN 
+, ADP 
O.lOO, NUM 

, SPACE 
vertical, ADJ 
beam, NOUN 
axis, NOUN 
loo, X 

, SPACE 
axes, NOUN 
crystals, NOUN 
opposite, ADJ 
sides, NOUN 

, SPACE 
beam, NOUN 
axis, NOUN 
doughnut, NOUN 
distribution, NOUN 
projected, VERB 

, SPACE 
crystal, NOUN 
crystal, NOUN 
giving, VERB 
beam, NOUN 

, SPACE 
portions, NOUN 
th.e, NOUN 
vertically, ADV 
running, ADJ 
iio, NOUN 
planes, NOUN 

, SPACE 
crystal, NOUN 
lower, ADV 
bright, ADJ 
regions, NOUN 

, SPACE 
170, NUM 
planes, NOUN 
Fig, PROPN 
6a, NOUN 
lower, ADJ 
extent, NOUN 

, SPACE 
doughnut, PROPN 
distribution, NOUN 
lies, VERB 
beam, NOUN 
axis, NOUN 

, SPACE 
portion, NOUN 
beam, NOUN 
axis, NOUN 
projects, NOUN 
doughnut, NOUN 
distri-, VERB 

, SPACE 
bution, NOUN 
crystal, NOUN 
lo01, ADJ 
axis, NOUN 
visible, ADJ 

, SPACE 
upper, ADJ 
region, NOUN 
pattern, NOUN 
resultant, NOUN 
channeling, VERB 

, SPACE 
pattern, NOUN 
produced, VERB 
layers, NOUN 
superposi-, ADJ 

, SPACE 
tion, NOUN 
different, ADJ 
patterns, NOUN 
produced, VERB 
separate, ADJ 

, SPACE 
beam, NOUN 
fractions, NOUN 
170, NUM 
planes, NOUN 
crystal, NOUN 

, SPACE 
beam, NOUN 
enters, VERB 
170, NUM 
planes, NOUN 

, SPACE 
crystal, NOUN 
Fig, PROPN 
6a, NOUN 
separated, VERB 
portions, NOUN 

, SPACE 
travelling, VERB 
position, NOUN 
different, ADJ 

, SPACE 
angles, NOUN 
respect, NOUN 
beam, NOUN 
axis, NOUN 
mechanism, NOUN 

, SPACE 
pattern, NOUN 
formation, NOUN 
similar, ADJ 
multiple, ADJ 

, SPACE 
beam, NOUN 
channeling, VERB 
patterns, NOUN 
Fig, PROPN 
4, NUM 
example, NOUN 
Fig, PROPN 
4d, PROPN 

, SPACE 
produced, VERB 
separate, ADJ 
beams, NOUN 
entering, VERB 
110, NUM 

, SPACE 
planes, NOUN 
crystal, NOUN 
layer, NOUN 
emerging, VERB 

, SPACE 
point, NOUN 
gives, VERB 
similar, ADJ 
behaviour, NOUN 
shown, VERB 

, SPACE 
Fig, PROPN 
6b, NUM 
rotated, VERB 
90, NUM 
easier, ADJ 
comparison, NOUN 
Fig, PROPN 

, SPACE 
6a, NOUN 
Fig, PROPN 
6a, NOUN 
upper, ADJ 
beam, NOUN 
portions, NOUN 

, SPACE 
doughnut, NOUN 
projected, VERB 
crystai, NOUN 
ITO, PROPN 

, SPACE 
planes, NOUN 
crystal, NOUN 
aligned, VERB 
approximately, ADV 
0.10, NUM 
crystal, NOUN 
IOO, PROPN 
axis, VERB 
Similarly, ADV 
Fig, PROPN 
6b, NUM 

, SPACE 
upper, ADJ 
multiple, ADJ 
beam, NOUN 
portions, NOUN 
projected, VERB 

, SPACE 
110, NUM 
planes, NOUN 
single, ADJ 
crystal, NOUN 
aligned, VERB 
approximately, ADV 

, SPACE 
0.10, NUM 
loo, X 
axis, NOUN 
Figs, PROPN 
6a, NOUN 
6b, NUM 

, SPACE 
beam, NOUN 
portion, NOUN 
similar, ADJ 
alignment, NOUN 
crystal, NOUN 

, SPACE 
axis, NOUN 
similar, ADJ 
size, NOUN 
doughnut, NOUN 
distributions, NOUN 
pro-, PROPN 

, SPACE 
duced, VERB 
crystal, NOUN 
patterns, NOUN 

, SPACE 
multiple, ADJ 
beam, NOUN 
patterns, NOUN 
Figs, PROPN 
4, NUM 
5, NUM 
Fig, PROPN 

, SPACE 
6b, NUM 
considered, VERB 
limiting, VERB 
cases, NOUN 
produc-, ADJ 

, SPACE 
ing, PROPN 
channeling, VERB 
patterns, NOUN 
rotated, VERB 
bilayers, NOUN 

, SPACE 
shown, VERB 
Fig, PROPN 
6a, NOUN 
multiple, ADJ 
beam, NOUN 

, SPACE 
patterns, NOUN 
dechanneling, NOUN 
caused, VERB 
proportion, NOUN 

, SPACE 
doughnut, PROPN 
intensity, NOUN 
distribution, NOUN 
outside, ADP 
170, NUM 

, SPACE 
channeling, VERB 
angle, NOUN 
layer, NOUN 
makes, VERB 
multi-, NOUN 

, SPACE 
ple, PROPN 
beam, NOUN 
patterns, NOUN 
Figs, PROPN 
4, NUM 
5, NUM 
Fig, PROPN 
6b, NUM 

, SPACE 
blurred, VERB 
strained, ADJ 
layer, NOUN 
patterns, NOUN 
Fig, PROPN 
6a, NOUN 

, SPACE 
Ref, PROPN 
7, X 
crystal, NOUN 
thickness, NOUN 
example, NOUN 

, SPACE 
centre, NOUN 
1001, NUM 
axis, NOUN 
uniformly, ADV 
dark, ADJ 
Fig, PROPN 

, SPACE 
6b, NOUN 
blurred, ADJ 
Fig, PROPN 
6a, NOUN 
owing, VERB 
higher, ADJ 
scattered, VERB 

, SPACE 
beam, NOUN 
fraction, NOUN 
reason, NOUN 
defined, VERB 

, SPACE 
proton, NOUN 
trajectories, NOUN 
beam, NOUN 
portions, NOUN 

, SPACE 
crystal, NOUN 
liO, NOUN 
>, X 
planes, NOUN 
rotated, VERB 
bilayer, NOUN 
pattern, NOUN 

, SPACE 
Fig, PROPN 
6a, NOUN 
owing, VERB 
scattering, VERB 
crystal, NOUN 

, SPACE 
compared, VERB 
sharply, ADV 
defined, VERB 
trajectories, NOUN 
Fig, PROPN 
6b, NUM 

, SPACE 
5, X 
Conclusions, NOUN 

, SPACE 
Multiple, ADJ 
beam, NOUN 
ion, NOUN 
channeling, VERB 
patterns, NOUN 
generated, VERB 

, SPACE 
quadrupole, NOUN 
lenses, NOUN 
nuclear, ADJ 
microprobe, NOUN 
switched, VERB 

, SPACE 
described, VERB 
relationship, NOUN 

, SPACE 
explained, VERB 
demonstrated, VERB 

, SPACE 
separate, ADJ 
beam, NOUN 
portions, NOUN 
travelling, VERB 

, SPACE 
spatial, ADJ 
location, NOUN 
channeling, VERB 
planes, NOUN 
crystal, NOUN 
layer, NOUN 

, SPACE 
gives, VERB 
rise, NOUN 
channeling, VERB 
patterns, NOUN 
considered, VERB 

, SPACE 
superposition, NOUN 
patterns, NOUN 
produced, VERB 
indi-, NOUN 

, SPACE 
vidual, ADJ 
beams, NOUN 
Multiple, ADJ 
beam, NOUN 
channeling, VERB 
patterns, NOUN 
produced, VERB 

, SPACE 
quadrupole, NOUN 
lenses, NOUN 
switched, VERB 
able, ADJ 
help, VERB 

, SPACE 
interpretation, NOUN 
channeling, VERB 
patterns, NOUN 
recorded, VERB 

, SPACE 
rotated, VERB 
bilayers, NOUN 

, SPACE 
Acknowledgement, PROPN 

, SPACE 
Prof., PROPN 
L.E., PROPN 
Seiberling, PROPN 
Physics, PROPN 
Department, PROPN 

, SPACE 
University, PROPN 
Florida, PROPN 
gratefully, ADV 
acknowledged, VERB 
sup-, NOUN 

, SPACE 
plying, VERB 
thin, ADJ 
silicon, NOUN 
membranes, NOUN 
work, NOUN 

, SPACE 
References, NOUN 

, SPACE 
l, X 
C.S., PROPN 
Barrett, PROPN 
R.M., PROPN 
Mueller, PROPN 
W., PROPN 
White, PROPN 
J., PROPN 
Appl, PROPN 
Phys, PROPN 
39, NUM 

, SPACE 
1968, NUM 
4695, NUM 

, SPACE 
2, X 
D.V., PROPN 
Morgan, PROPN 
ed, PROPN 
Channeling, PROPN 
Theory, PROPN 
Observation, PROPN 

, SPACE 
Applications, PROPN 
Wiley, PROPN 
London, PROPN 
1973, NUM 

, SPACE 
258, NUM 
M.B.H., PROPN 
Breese, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
114, NUM 
1996, NUM 
252, NUM 
258, NUM 

, SPACE 
3, X 
M.B.H., PROPN 
Breese, PROPN 
P.J.C., PROPN 
King, PROPN 
G.W., PROPN 
Grime, PROPN 
P.J.M., PROPN 
Smulders, PROPN 

, SPACE 
L.E., PROPN 
Seiberling, VERB 
M.A., PROPN 
Boshart, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
53, NUM 
1996, NUM 

, SPACE 
8267, NUM 

, SPACE 
4, X 
G., PROPN 
Deamaley, PROPN 
I.V., PROPN 
Mitchell, PROPN 
R.S., PROPN 
Nelson, PROPN 
B.W., PROPN 
Farmery, PROPN 

, SPACE 
M.W., PROPN 
Thompson, PROPN 
Philos, PROPN 
Mag, PROPN 
18, NUM 
1968, NUM 
985, NUM 

, SPACE 
5, X 
D.S., PROPN 
Gemmell, PROPN 
R.E., PROPN 
Holland, PROPN 
Phys, PROPN 
Rev., PROPN 
Led, PROPN 
14, NUM 
1965, NUM 

, SPACE 
945, NUM 
8, X 
J.S., PROPN 
Rosner, PROPN 
W.M., PROPN 
Gibson, PROPN 
J.A., PROPN 
Golovchenko, PROPN 
A.N., PROPN 
Goland, PROPN 

, SPACE 
H.E., PROPN 
Wegner, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
18, NUM 
1978, NUM 
1066, NUM 

, SPACE 
9, X 
N.W., PROPN 
Cheung, PROPN 
Rev., PROPN 
Sci, PROPN 
Instr, PROPN 
51, NUM 
1980, NUM 
1212, NUM 

, SPACE 
lo, X 
J.F., PROPN 
Barrett, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
3, NUM 
1971, NUM 
1527, NUM 

, SPACE 
ll, X 
M.B.H., PROPN 
Breese, PROPN 
D.N., PROPN 
Jamieson, PROPN 
P.J.C., PROPN 
King, PROPN 
Materials, PROPN 

, SPACE 
Analysis, PROPN 
Nuclear, PROPN 
Microprobe, PROPN 
Wiley, PROPN 
New, PROPN 
York, PROPN 

, SPACE 
1995, NUM 

, SPACE 
6, NUM 
M.B.H., PROPN 
Breese, PROPN 
P.J.C., PROPN 
King, PROPN 
G.W., PROPN 
Grime, PROPN 
L.E., PROPN 
Seiberling, VERB 
12, NUM 
G.W., PROPN 
Grime, PROPN 
M., PROPN 
Dawson, PROPN 
M., PROPN 
Marsh, PROPN 
I.C., PROPN 
McArthur, PROPN 
F., PROPN 

, SPACE 
M.A., PROPN 
Boshart, PROPN 
Appl, PROPN 
Phys, NOUN 
Lett, PROPN 
67, NUM 
1995, NUM 
2132, NUM 
Watt, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 
54, NUM 
1991, NUM 
52, NUM 

, SPACE 
7, X 
M.B.H., PROPN 
Breese, PROPN 
P.J.C., PROPN 
King, PROPN 
P.J.M., PROPN 
Smulders, PROPN 
unpub-, NOUN 
13, NUM 
S.T., PROPN 
Picraux, PROPN 
B.L., PROPN 
Doyle, PROPN 
J.Y., PROPN 
Tsao, PROPN 
Semiconductors, PROPN 

, SPACE 
lished, VERB 
Metals, NOUN 
vol, NOUN 
33, NUM 
T, PROPN 
Bell, PROPN 
Labs, PROPN 
1991, NUM 
chap, NOUN 
3, X 

, SPACE 
