Increased, VERB 
50Niacin, PROPN 
vit, PROPN 
B3, PROPN 
30, NUM 
78, NUM 

, SPACE 
D, PROPN 
pantothenate, VERB 

, SPACE 
vit, PROPN 
B5)10, PROPN 
26, NUM 

, SPACE 
Riboﬂavin, PROPN 
Vit, PROPN 
B2, NOUN 
27, NUM 
11, NUM 

, SPACE 
Thiamine, PROPN 
HCl, NOUN 
vit, PROPN 
B1, PROPN 
10, NUM 
14Pyridoxine, NOUN 
HCl, NOUN 
vit, PROPN 
B6, NOUN 
15, NUM 
14Cyanocobalamin(vit, NUM 
B12)0.05, PROPN 
0.02, NUM 

, SPACE 
PABA, PROPN 
vit, PROPN 
Bx, PROPN 
5, NUM 

, SPACE 
Mineral, PROPN 
mix, NOUN 
elemental, NOUN 

, SPACE 
compositionReported, VERB 

, SPACE 
mg, PROPN 
kgObserved, VERB 

, SPACE 
e, NOUN 

, SPACE 
mg, ADP 
kg, PROPN 
SD)Reported, VERB 

, SPACE 
mg, ADP 
kgObservede, NOUN 

, SPACE 
mg, ADP 
kg, PROPN 
SD, PROPN 

, SPACE 
5006, NUM 
5387, NUM 
367, NUM 
8800, NUM 
8849, NUM 
1481, NUM 

, SPACE 
K, PROPN 
3659, NUM 
3271, NUM 
725, NUM 
7000, NUM 
7714, NUM 
476)Na, NUM 
828, NUM 
3400Mg, NUM 
499, NUM 
412, NUM 
16, NUM 
1600, NUM 
1680, NUM 
81, NUM 

, SPACE 
Mn, PROPN 
50.4, NUM 
55.6, NUM 
10.9, NUM 
68, NUM 
66.1, NUM 
4.0, NUM 

, SPACE 
Zn, PROPN 
44.7, NUM 
49.7, NUM 
6.7, NUM 
95, NUM 
103.8, NUM 
18.6)Fe, NUM 
35.2, NUM 
36.2, NUM 
1.3, NUM 
104, NUM 
145.4, NUM 
10.6)Cu, NUM 
5.09, NUM 
4.57, NUM 
1.03, NUM 
20, NUM 
18.3, NUM 
1.98)Se, NUM 
0.15, NUM 
0.36Mo, NUM 
0.25B, PROPN 
1.05, NUM 
0.98, NUM 
0.17, NUM 
7.42, NUM 
0.62)Co, PROPN 
0.002, NUM 
0.46, NUM 

, SPACE 
Si, PROPN 
N, PROPN 
P, PROPN 
3.19, NUM 
0.64, NUM 
N, PROPN 
P, NOUN 
322.4, NUM 
47.3, NUM 

, SPACE 
P, NOUN 
2276, NUM 
7000F, PROPN 
0.91, NUM 

, SPACE 
aConsists, PROPN 
wheat, NOUN 
meal, NOUN 
barley, NOUN 
meal, NOUN 
Soya, PROPN 
meal, NOUN 
wheat, NOUN 
feed, NOUN 
ﬁsh, PROPN 
meal, NOUN 
fats, NOUN 
oils, NOUN 

, SPACE 
minerals, NOUN 
trace, NOUN 
elements, NOUN 
molasses, NOUN 

, SPACE 
bWashed, PROPN 
casein, NOUN 

, SPACE 
cAcid, PROPN 
washed, VERB 
corn, NOUN 

, SPACE 
dCorn, PROPN 
oil, NOUN 

, SPACE 
eMeasured, VERB 
ICPOES, NOUN 
following, VERB 
microwave, NOUN 
digestion.597, NOUN 
R., PROPN 
Jugdaohsingh, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
43, NUM 
2008, NUM 
596, NUM 
606, NUM 

, SPACE 
feed, NOUN 
nutritional, ADJ 
differences, NOUN 
diets, NOUN 

, SPACE 
compared, VERB 
study, NOUN 
regards, NOUN 
effect, NOUN 
silicon, NOUN 

, SPACE 
Materials, NOUN 
methods, NOUN 

, SPACE 
Experimental, ADJ 
groups, NOUN 

, SPACE 
weanling, NOUN 
21, NUM 
d, CCONJ 
old, ADJ 
female, ADJ 
Sprague, PROPN 
Dawley, PROPN 
rats, NOUN 
B&K, PROPN 
Universal, PROPN 
Ltd, PROPN 
Hull, PROPN 
UK, PROPN 

, SPACE 
separated, VERB 
plastic, NOUN 
cages, NOUN 
stainless, ADJ 
steel, NOUN 
grid, NOUN 
bases, NOUN 
North, PROPN 
Kent, PROPN 
Plastics, PROPN 
Rochester, PROPN 
UK, PROPN 
ﬁve, NOUN 
rats, NOUN 
cage, NOUN 
Female, ADJ 
rats, NOUN 
chosen, VERB 
generally, ADV 

, SPACE 
aggressive, ADJ 
easily, ADV 
handled, VERB 
males, NOUN 
study, NOUN 
started, VERB 
prior, ADV 
2004, NUM 

, SPACE 
publication, NOUN 
reporting, VERB 
marked, ADJ 
association, NOUN 
dietary, ADJ 
Si, PROPN 
intake, NOUN 
bonemineral, ADJ 
density, NOUN 
pre, ADJ 
menopausal, ADJ 
women, NOUN 
compared, VERB 
men, NOUN 
post, ADJ 
menopausalwomen, NOUN 
suggesting, VERB 
Si, PROPN 
estrogen, NOUN 
interaction, NOUN 
18, NUM 
acclimatisation, NOUN 
days, NOUN 

, SPACE 
standard, ADJ 
pelleted, ADJ 
rodent, ADJ 
feed, NOUN 
B&K, PROPN 
Rat, PROPN 
Mouse, PROPN 
Standard, PROPN 
Diet, PROPN 
B&K, PROPN 
Universal, PROPN 
Ltd, PROPN 
anddrinking, VERB 
water, NOUN 
tap, NOUN 
water, NOUN 
rats, NOUN 
divided, VERB 
dietary, ADJ 
groups, NOUN 

, SPACE 
Group, PROPN 
1, NUM 
Si, PROPN 
deprived, VERB 

, SPACE 
group, NOUN 
consisted, VERB 
rats, NOUN 
weighed, VERB 
precision, NOUN 

, SPACE 
balance, NOUN 
accurate, ADJ 
0.1, NUM 
g, PROPN 
Sartorius, PROPN 
Ltd, PROPN 
Epsom, PROPN 
UK, PROPN 
length, NOUN 
including, VERB 
tail, NOUN 
measured, VERB 
ruler, NOUN 
nearest, ADJ 
0.1, NUM 
cm, NOUN 
Rats, NOUN 
fed, VERB 
ad, NOUN 
libitum, NOUN 
speci, NOUN 
ﬁcally, ADV 

, SPACE 
formulated, VERB 
non, ADJ 
pelleted, ADJ 
low, ADJ 
Si, ADJ 
rodent, ADJ 
feed, NOUN 
prepared, VERB 
authors, NOUN 
FN, PROPN 
aspreviously, ADV 
described, VERB 
29–34, NUM 
containing, VERB 
essential, ADJ 
nutrients, NOUN 
Si, PROPN 
content, NOUN 

, SPACE 
3.2±0.6, NUM 
μg, NOUN 
Si, PROPN 
g, PROPN 
feed, NOUN 
n=6, NOUN 
batches, NOUN 
Table, NOUN 
1, NUM 
vitamin, NOUN 
K, NOUN 
content, NOUN 
15, NUM 
fold, ADJ 

, SPACE 
lower, ADJ 
compared, VERB 
standard, ADJ 
rodent, ADJ 
stock, NOUN 
feed, NOUN 
identical, ADJ 
vitamin, NOUN 
K, NOUN 

, SPACE 
requirement, NOUN 
published, VERB 
laboratory, NOUN 
animals, NOUN 
38, NUM 
animals, NOUN 
received, VERB 
ultra-, ADJ 

, SPACE 
high, ADJ 
purity, NOUN 
UHP, PROPN 
water, NOUN 
18, NUM 
M, PROPN 
Ωcm, PROPN 

, SPACE 
−1, NOUN 
Elga, PROPN 
water, NOUN 
puri, PROPN 
ﬁer, PROPN 
High, PROPN 
Wycombe, PROPN 
UK, PROPN 

, SPACE 
low, ADJ 
Si, PROPN 
content, NOUN 
15.2±9.6, NUM 
ng, PROPN 
Si, PROPN 
g, PROPN 
n=5, PROPN 
ad, NOUN 
libitum, NOUN 
rat, NOUN 
feed, NOUN 
easily, ADV 
accessible, ADJ 

, SPACE 
stainless, ADJ 
steel, NOUN 
food, NOUN 
tray, NOUN 
replaced, VERB 
fresh, ADJ 
food, NOUN 
2, NUM 
3, NUM 
days, NOUN 
Similarly, ADV 

, SPACE 
drinking, NOUN 
water, NOUN 
UHP, PROPN 
water, NOUN 
plastic, ADJ 
bottles, NOUN 
North, PROPN 
Kent, PROPN 
Plastic, PROPN 
renewedevery, NOUN 
day, NOUN 
Stainless, ADJ 
steel, NOUN 
grid, NOUN 
base, NOUN 
cages, NOUN 
minimise, VERB 
coprophagia, NOUN 

, SPACE 
group, NOUN 
consisted, VERB 
twice, DET 
number, NOUN 
animals, NOUN 
Si, PROPN 
supplemented, VERB 
group, NOUN 

, SPACE 
planned, VERB 
half, DET 
animals, NOUN 
supplemented, VERB 
Si, PROPN 

, SPACE 
drinking, NOUN 
water, NOUN 
observation, NOUN 
external, ADJ 
signs, NOUN 
Si, PROPN 
de, X 
ﬁciency, NOUN 

, SPACE 
effect, NOUN 
Si, PROPN 
depletion, NOUN 
factor, NOUN 

, SPACE 
Group, PROPN 
2, NUM 
Si, PROPN 
supplemented, VERB 

, SPACE 
group, NOUN 
consisted, VERB 
rats, NOUN 
similarly, ADV 
treated, VERB 
maintained, VERB 

, SPACE 
described, VERB 
Group, PROPN 
1, NUM 
UHP, PROPN 
drinking, NOUN 
water, NOUN 
supplemented, VERB 
siliconat, NOUN 
53.2±0.6, NUM 
μg, NOUN 
Si, PROPN 
g, PROPN 
nN10, PROPN 
form, NOUN 
readily, ADV 
absorbable, ADJ 
orthosilicic, PROPN 
acid, NOUN 

, SPACE 
highest, ADJ 
concentration, NOUN 
prepared, VERB 
solution, NOUN 

, SPACE 
maintaining, VERB 
silicon, NOUN 
soluble, ADJ 
monomeric, ADJ 
highly, ADV 
bioavailable, ADJ 
form, NOUN 
8,39, NUM 

, SPACE 
Group, PROPN 
3, NUM 
reference, NOUN 
group, NOUN 

, SPACE 
group, NOUN 
consisted, VERB 
rats, NOUN 
housed, VERB 
measured, VERB 
described, VERB 
Group, PROPN 
1, NUM 

, SPACE 
maintained, VERB 
standard, ADJ 
rodent, ADJ 
stock, NOUN 
feed, NOUN 
B&K, PROPN 
Rat, PROPN 
Mouse, PROPN 
Standard, PROPN 
feedcontaining, NOUN 
322±47, NOUN 
µg, ADP 
Si, PROPN 
g, PROPN 
feed, NOUN 
n=5, ADJ 
batches, NOUN 
Table, NOUN 
1, NUM 
tap, NOUN 
water, NOUN 
5.04±1.12, PROPN 
μg, NOUN 

, SPACE 
Si, PROPN 
g, PROPN 
n=5, PROPN 
ad, NOUN 
libitum, NOUN 
reference, NOUN 
group, NOUN 
normal, ADJ 
anthropometric, NOUN 

, SPACE 
bone, NOUN 
quality, NOUN 
measures, NOUN 

, SPACE 
Study, PROPN 
design, NOUN 

, SPACE 
Rats, NOUN 
maintained, VERB 
described, VERB 
22, NUM 
°, NOUN 
C, NOUN 
12/12, NUM 
h, NOUN 
light, ADJ 
dark, ADJ 
cycle, NOUN 

, SPACE 
free, ADJ 
access, NOUN 
feed, NOUN 
water, NOUN 
26, NUM 
weeks, NOUN 
sample, NOUN 
feeds, NOUN 
drinkingwaters, NOUN 
collected, VERB 
month, NOUN 
analysed, VERB 
total, ADJ 
Si, PROPN 
content, NOUN 
Feedand, PROPN 
water, NOUN 
intake, NOUN 
measured, VERB 
cage, NOUN 
5, NUM 
animals, NOUN 
cage, NOUN 
17, NUM 
25, NUM 
weeks, NOUN 
Animals, NOUN 
pair, NOUN 
fed, VERB 
study, NOUN 
intakes, NOUN 
expected, VERB 
differentbetween, VERB 
groups, NOUN 
Previous, ADJ 
studies, NOUN 
reported, VERB 
Si, PROPN 
supplementation, NOUN 
impacton, NOUN 
feed, VERB 
consumption, NOUN 
body, NOUN 
weight, NOUN 
gain, NOUN 
feed, VERB 
ef, PROPN 
ﬁciency, NOUN 
40, NUM 

, SPACE 
Rat, ADJ 
weights, NOUN 
lengths, NOUN 
measured, VERB 
weekly, NOUN 
blood, NOUN 
sample, NOUN 
tail, NOUN 
vein, NOUN 

, SPACE 
collected, VERB 
monthly, ADV 
hour, NOUN 
fasted, VERB 
rats, NOUN 
access, NOUN 
UHP, PROPN 
water, NOUN 
allowed)in, PUNCT 
group, NOUN 
longitudinal, ADJ 
analysis, NOUN 
bone, NOUN 
markers, NOUN 
CTx, NOUN 
osteocalcin, PROPN 
IGF-1, PROPN 
CTx, NOUN 
II, PROPN 
urine, NOUN 
sample, NOUN 
collected, VERB 
end, NOUN 
study, NOUN 
week, NOUN 
25)from, NUM 
fasted, VERB 
rats, NOUN 
assessment, NOUN 
urinary, ADJ 
bone, NOUN 
resorption, NOUN 
markers, NOUN 
urinary, ADJ 
Siexcretion, PROPN 
Prior, ADV 
sacri, PROPN 
ﬁce, PROPN 
rats, NOUN 
double, ADV 
labelled, VERB 
tetracycline, NOUN 
HCl, NOUN 
bone, NOUN 

, SPACE 
histomorphometric, ADJ 
analyses, NOUN 

, SPACE 
26, NUM 
weeks, NOUN 
animals, NOUN 
sacri, ADV 
ﬁced, VERB 
equally, ADV 
groups, NOUN 
period, NOUN 

, SPACE 
days, NOUN 
allow, VERB 
time, NOUN 
tissue, NOUN 
processing, NOUN 
Animals, NOUN 
starved, VERB 
1700, NUM 
h, NOUN 

, SPACE 
day, NOUN 
removal, NOUN 
feed, NOUN 
drinking, NOUN 
water, NOUN 
UHP, ADJ 
water, NOUN 
low, ADJ 
Sicontent, PROPN 
allowed, VERB 
Rats, NOUN 
sacri, ADV 
ﬁced, VERB 
asphyxiation, NOUN 
schedule, NOUN 
1, NUM 
method, NOUN 

, SPACE 
carbon, NOUN 
dioxide, NOUN 
gas, NOUN 
specially, ADV 
constructed, VERB 
chamber, NOUN 
Animals, NOUN 
weighed, VERB 
andthe, DET 
peritoneum, NOUN 
opened, VERB 
longitudinally, ADV 
abdominal, ADJ 
aorta, NOUN 
vena, PROPN 
cava, NOUN 
mesentericarteries, NOUN 
heart, NOUN 
drained, VERB 
19, NUM 
gauge, NOUN 
needle, NOUN 
Terumno, PROPN 
Terumno, PROPN 
EuropeNV, PROPN 
10, NUM 
mL, NUM 
low, ADJ 
Si, PROPN 
contaminating, VERB 
syringe, NOUN 
Monovette, PROPN 
Sarstedt, PROPN 
Beaumont, PROPN 
Leys, PROPN 
UK, PROPN 
clotting, NOUN 
blood, NOUN 
samples, NOUN 
centrifuged, VERB 
1500, NUM 
rpm, NOUN 
10, NUM 
min, NOUN 
room, NOUN 

, SPACE 
temperature, NOUN 
serum, NOUN 
separated, VERB 
transport, NOUN 
tubes, NOUN 
Medfor, PROPN 
Products, PROPN 
Ltd, PROPN 

, SPACE 
Farnborough, PROPN 
UK, PROPN 
stored, VERB 
−70, PROPN 
°, NUM 
C, NOUN 
later, ADJ 
analysis, NOUN 
bone, NOUN 
markers, NOUN 
Si, PROPN 

, SPACE 
concentration, NOUN 
Kidneys, NOUN 
spleen, NOUN 
liver, NOUN 
removed, VERB 
washed, VERB 
thoroughlywith, NOUN 
UHP, PROPN 
water, NOUN 
blotted, VERB 
dry, ADJ 
non, ADJ 
shedding, ADJ 
paper, NOUN 
towels, NOUN 
placed, VERB 
25, NUM 
mL, NOUN 
pre, ADJ 
weighed, ADJ 
universal, ADJ 
polypropylene, NOUN 
tubes, NOUN 
Sarstedt, PROPN 
weight, NOUN 
determined, VERB 
thenearest, VERB 
0.1, NUM 
mg, NOUN 
frozen, ADJ 
storage, NOUN 
−20, PROPN 
°, NUM 
C, PROPN 
livers, NOUN 
−80, PROPN 
°, NUM 
C, PROPN 
later, ADV 
microwave-, NOUN 

, SPACE 
assisted, VERB 
acid, NOUN 
digestion, NOUN 
analysis, NOUN 
Si, PROPN 
content, NOUN 
Femurs, NOUN 
tibias, NOUN 
humeri, PROPN 
lumbar, PROPN 
vertebrae, PROPN 
ﬁrst, PROPN 
rib, PROPN 
pelvis, PROPN 
dissected, VERB 
freed, VERB 
soft, ADJ 

, SPACE 
tissue, NOUN 
i.e., X 
cleaned, VERB 
bone, NOUN 
right, ADJ 
tibia, NOUN 
immediately, ADV 
placed, VERB 
Burkhardtﬁxative, ADJ 
solution, NOUN 
24, NUM 
h, NOUN 
4, NUM 
°, NUM 
C, NOUN 
stored, VERB 
70, NUM 
ethanol, NOUN 

, SPACE 
later, ADV 
histomorphometric, ADJ 
analyses, NOUN 
dissected, VERB 
bones, NOUN 
mass(to, NOUN 
nearest, ADP 
0.1, NUM 
mg, PROPN 
length, NOUN 
nearest, ADV 
0.1, NUM 
mm, NOUN 
callipers, NOUN 
VWR, PROPN 
International)were, PUNCT 
determined, VERB 
placed, VERB 
tubes, NOUN 
stored, VERB 
−20, PROPN 
°, NUM 
C, PROPN 
avoid, VERB 

, SPACE 
dehydration, NOUN 
loss, NOUN 
moisture, NOUN 
storage, NOUN 
dissected, VERB 
bones, NOUN 
stored, VERB 
1, NUM 
2, NUM 

, SPACE 
drops, NOUN 
UHP, ADJ 
water, NOUN 
Dissected, VERB 
bones, NOUN 
analysed, VERB 
bone, NOUN 
mineral, NOUN 
density, NOUN 
BMD, PROPN 
Siand, PROPN 
bone, NOUN 
associated, VERB 
mineral, NOUN 
content, NOUN 
hydroxyproline, NOUN 
concentration, NOUN 
mechanicalstrength, NOUN 
histomorphometry, NOUN 

, SPACE 
study, NOUN 
approved, VERB 
King, PROPN 
College, PROPN 
London, PROPN 
Animal, PROPN 
Ethics, PROPN 
Committee, PROPN 

, SPACE 
UK, PROPN 
Home, NOUN 
ﬁce, NOUN 
Animals, PROPN 
Scienti, PROPN 
ﬁc, PROPN 
Procedures, PROPN 
Act, PROPN 
1986, NUM 
Scienti, PROPN 
ﬁc, VERB 
Procedures, NOUN 

, SPACE 
Living, PROPN 
Animals, NOUN 

, SPACE 
Formulated, VERB 
low, ADJ 
Si, ADJ 
rat, NOUN 
feed, NOUN 

, SPACE 
speci, NOUN 
ﬁcally, ADV 
formulated, VERB 
rodent, ADJ 
feed, NOUN 
prepared, VERB 
mixed, VERB 
fresh, ADJ 
month, NOUN 

, SPACE 
Table, PROPN 
1, NUM 

, SPACE 
list, NOUN 
constituents, NOUN 
shipped, VERB 
UK, PROPN 
experiment, NOUN 

, SPACE 
undertaken, VERB 
stored, VERB 
−20, PROPN 
°, NUM 
C, PROPN 
thawed, VERB 
required, VERB 

, SPACE 
Preparation, PROPN 
orthosilicic, PROPN 
acid, NOUN 

, SPACE 
Orthosilicic, PROPN 
acid, NOUN 
solution, NOUN 
1.9, NUM 
mmol, PROPN 
L, PROPN 
Si, PROPN 
Si, PROPN 
supplemented, VERB 
rats, NOUN 

, SPACE 
prepared, VERB 
fresh, ADJ 
weekly, ADJ 
described, VERB 
previously, ADV 
8,39,41, NUM 
Brie, PROPN 
ﬂy, PROPN 
concentrated, ADJ 
basic, ADJ 

, SPACE 
sodium, NOUN 
silicate, NOUN 
Aldrich, PROPN 
Chemical, PROPN 
Co., PROPN 
Poole, PROPN 
UK, PROPN 
diluted, VERB 
2.5, NUM 
L, NOUN 
ultra, ADJ 
high, ADJ 
puritywater, NOUN 
followed, VERB 
pH, DET 
neutralisation, NOUN 
7.2, NUM 
5, NUM 
mol, NOUN 
L, PROPN 
hydrochloric, NOUN 
acid, NOUN 
volumetricstandard, NOUN 
Aldrich, PROPN 
Chemical, PROPN 
Co., PROPN 
solution, NOUN 
allowed, VERB 
stand, VERB 
roomtemperature, NOUN 
24, NUM 
h, NOUN 
prior, ADV 
use, VERB 
10, NUM 
mL, NOUN 
aliquot, NOUN 
taken, VERB 
total, ADJ 
Si, PROPN 
analysis, NOUN 

, SPACE 
Silicon, PROPN 
intake, NOUN 

, SPACE 
Feed, PROPN 
water, NOUN 
intakes, NOUN 
measured, VERB 
end, NOUN 
study, NOUN 
Brie, PROPN 
ﬂy, PROPN 
17, NUM 

, SPACE 
25, NUM 
weeks, NOUN 
feed, NOUN 
tray, NOUN 
water, NOUN 
bottles, NOUN 
cage, NOUN 
appropriately, ADV 
ﬁlled, VERB 

, SPACE 
weighed, VERB 
nearest, ADJ 
0.1, NUM 
g, NOUN 
hours, NOUN 
later, ADV 
feed, NOUN 
tray, NOUN 
water, NOUN 
bottleswere, VERB 
weighed, VERB 
measure, VERB 
loss, NOUN 
mass, NOUN 
intake, NOUN 
rats, NOUN 
24, NUM 
hmeasurement, NOUN 
immediately, ADV 
repeated, VERB 
subsequent, ADJ 
24, NUM 
h, NOUN 
periods, NOUN 
andthe, PROPN 
mean, NOUN 
feed, NOUN 
water, NOUN 
intakes, NOUN 
calculated, VERB 
cage, NOUN 
group, NOUN 

, SPACE 
mean, VERB 
24, NUM 
h, NOUN 
daily, ADV 
Si, PROPN 
intake, NOUN 
group, NOUN 

, SPACE 
Monthly, ADJ 
blood, NOUN 
collection, NOUN 
preparation, NOUN 

, SPACE 
fasting, VERB 
blood, NOUN 
sample, NOUN 
collected, VERB 
monthly, ADV 
half, DET 
animals, NOUN 
group, NOUN 

, SPACE 
10, NUM 
rats, NOUN 
Si, PROPN 
deprived, VERB 
group, NOUN 
ﬁve, NOUN 
groups, NOUN 

, SPACE 
alternating, VERB 
monthly, ADV 
halves, NOUN 
group, NOUN 
Animals, NOUN 
fasted, VERB 

, SPACE 
0900, NUM 
h, NOUN 
removal, NOUN 
feed, NOUN 
access, NOUN 
UHP, ADJ 
water, NOUN 
hours, NOUN 
later, ADV 

, SPACE 
1500, NUM 
h, NOUN 
maximum, NOUN 
1, NUM 
mL, NUM 
blood, NOUN 
rat, PROPN 
collected, VERB 
venepuncture, NOUN 
tailvein, NOUN 
23, NUM 
gauge, NOUN 
needle, NOUN 
Terumo, PROPN 
Europe, PROPN 
NV, PROPN 
Belgium, PROPN 
use, NOUN 
asyringe, NOUN 
Prior, ADV 
blood, NOUN 
collection, NOUN 
rats, NOUN 
warmed, VERB 
heating, NOUN 
pad, NOUN 
box, NOUN 

, SPACE 
Tecniplast, ADJ 
Kettering, PROPN 
UK, PROPN 
restrained, VERB 
Vet, PROPN 
Tech, PROPN 
Solutions, PROPN 
Ltd, PROPN 
Congleton, PROPN 
UK).Blood, PROPN 
collected, VERB 
directly, ADV 
1.5, NUM 
mL, NUM 
Eppendorf, PROPN 
tubes, NOUN 
Greiner, PROPN 
Bio, PROPN 
Ltd, PROPN 
Stonehouse, PROPN 
UK, PROPN 
allowed, VERB 
clot, VERB 
centrifugation, NOUN 
3000, NUM 
rpm, NOUN 
10, NUM 
min, NOUN 
atroom, NOUN 
temperature, NOUN 
Serum, PROPN 
separated, VERB 
Eppendorf, PROPN 
tubes, NOUN 
stored, VERB 
−70, PROPN 
°, NUM 
C, NOUN 

, SPACE 
Fasting, VERB 
urine, NOUN 
sample, NOUN 

, SPACE 
weeks, NOUN 
prior, ADV 
sacri, PROPN 
ﬁce, PROPN 
spot, NOUN 
urine, NOUN 
sample, NOUN 
collected, VERB 
bladder, NOUN 

, SPACE 
massage, NOUN 
6, NUM 
h, NOUN 
fasted, VERB 
rats, NOUN 
Urine, NOUN 
samples, NOUN 
successfully, ADV 
collected, VERB 
ratsin, NOUN 
Si, PROPN 
deprived, VERB 
group, NOUN 
ﬁve, NOUN 
Si, PROPN 
supplemented, VERB 
group, NOUN 
seven, NUM 
standard, ADJ 

, SPACE 
rodent, ADJ 
stock, NOUN 
feed, NOUN 
fed, NOUN 
reference, NOUN 
group, NOUN 
stored, VERB 
Eppendorf, PROPN 
tubes, NOUN 
−70, PROPN 
°, NUM 
C, NOUN 

, SPACE 
later, ADJ 
analysis, NOUN 
Si, PROPN 
concentrations, NOUN 
bone, NOUN 
resorption, NOUN 
markers, NOUN 

, SPACE 
Tetracycline, PROPN 
double, ADJ 
labelling, NOUN 

, SPACE 
locate, VERB 
growing, VERB 
bone, NOUN 
measure, VERB 
rate, NOUN 
bone, NOUN 
apposition/, NUM 

, SPACE 
formation, NOUN 
day, NOUN 
period, NOUN 
ﬂuence, NOUN 
dietary, ADJ 
Si, PROPN 
rats, NOUN 
injected, VERB 

, SPACE 
tetracycline, NOUN 
7, NUM 
days, NOUN 
1, NUM 
day, NOUN 
prior, ADV 
sacri, PROPN 
ﬁce, PROPN 
i.e., X 
occasions, NOUN 
days, NOUN 
apart, ADV 

, SPACE 
Tetracycline, PROPN 
localises, VERB 
growing, VERB 
bone, NOUN 
site, NOUN 
bone, NOUN 
formation, NOUN 
mineralisation, NOUN 
Tetracycline, PROPN 
HCl, PROPN 
Sigma, PROPN 
Chemical, PROPN 
Co, PROPN 
solution, NOUN 
10, NUM 
mg, PROPN 
mL, NUM 
preparedjust, NOUN 
prior, ADV 
use, NOUN 
dissolving, VERB 
powder, NOUN 
sterile, ADJ 
saline, NOUN 
0.9, NUM 
w, NOUN 
v, PROPN 
NaCl, PROPN 
thesolution, NOUN 
sterilised, VERB 
ﬁltration, NOUN 
0.2, NUM 
μm, NOUN 
membrane, NOUN 
ﬁlter, NOUN 
Nalgene, PROPN 
surfactant, NOUN 

, SPACE 
free, ADJ 
cellulose, NOUN 
acetate, NOUN 
VWR, PROPN 
International, PROPN 
Animals, NOUN 
administered, VERB 
tetracycline, NOUN 

, SPACE 
30, NUM 
mg, PROPN 
kg, PROPN 
body, NOUN 
weight, NOUN 
injection, NOUN 
intraperitoneal, ADJ 
cavity, NOUN 
lateral, ADJ 
thenavel, NOUN 
25, NUM 
gauge, NOUN 
needle, NOUN 
7, NUM 
days, NOUN 
1, NUM 
day, NOUN 
prior, ADV 
sacri, PROPN 
ﬁce, PROPN 

, SPACE 
Burkhardt, PROPN 
ﬁxative, ADJ 
solution, NOUN 

, SPACE 
right, ADJ 
tibia, NOUN 
rat, NOUN 
collected, VERB 
sacri, PROPN 
ﬁce, PROPN 
immediately, ADV 
ﬁxed, VERB 

, SPACE 
Burkhardt, PROPN 
ﬁxative, NOUN 
42, NUM 
prior, ADV 
embedding, VERB 
methyl, NOUN 
methacrylate, NOUN 
sectioning, VERB 
for598, PROPN 
R., PROPN 
Jugdaohsingh, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
43, NUM 
2008, NUM 
596, NUM 
606, NUM 

, SPACE 
histomorphometric, ADJ 
analyses, NOUN 
Burkhardt, ADJ 
ﬁxative, ADJ 
ﬁxes, NOUN 
tissue, NOUN 
components, NOUN 
place, NOUN 

, SPACE 
reduces, VERB 
leaching, VERB 
tetracycline, NOUN 
labels, NOUN 
Burkhardt, ADJ 
solution, NOUN 
prepared, VERB 
fresh, ADJ 
daily, ADV 
mixing, VERB 
12.5, NUM 
mL, NUM 
neutralised, VERB 
formaldehyde, NOUN 
37, NUM 
w, NOUN 
v, NOUN 
24, NUM 
mL, NUM 
absolutemethanol, NOUN 
0.5, NUM 
mL, NUM 
phosphate, ADJ 
buffer, PROPN 
prepared, VERB 
dissolving, VERB 
1.92, NUM 
g, PROPN 
disodium, NOUN 
hydrogen, NOUN 

, SPACE 
phosphate, NOUN 
0.348, NUM 
g, NOUN 
potassium, NOUN 
dihydrogen, PROPN 
phosphate, NOUN 
100, NUM 
mL, ADJ 
UHP, PROPN 
water, NOUN 

, SPACE 
0.5, NUM 
mL, NUM 
6.16, NUM 
glucose, NOUN 
prepared, VERB 
dissolving, VERB 
6.16, NUM 
g, NOUN 
glucose, NOUN 
monohydrate, ADJ 
100, NUM 
mLUHP, VERB 
water, NOUN 
solution, NOUN 
cooled, VERB 
4, NUM 
°, NOUN 
C, NOUN 
prior, ADV 
use, VERB 

, SPACE 
Analyses, PROPN 

, SPACE 
Bone, PROPN 
mineral, NOUN 
density, NOUN 

, SPACE 
right, ADJ 
femur, NOUN 
lumbar, PROPN 
vertebrae, PROPN 
L1, PROPN 
L4, PROPN 
analysed, VERB 

, SPACE 
bone, NOUN 
mineral, NOUN 
content, NOUN 
BMC, PROPN 
bone, NOUN 
mineral, NOUN 
density, NOUN 
BMD, PROPN 
dual, ADJ 

, SPACE 
energy, NOUN 
X, NOUN 
ray, NOUN 
absorptiometry, NOUN 
DEXA, PROPN 
Hologic, PROPN 
QDR-2000, PROPN 
S, PROPN 
N, PROPN 
2484)adapted, NUM 
use, NOUN 
small, ADJ 
animals, NOUN 
Measurements, NOUN 
femur, NOUN 

, SPACE 
regions, NOUN 
interest, NOUN 
midshaft, NOUN 
H1, NOUN 
primary, ADJ 
cortical, ADJ 
