cw, INTJ 
Fig, PROPN 
3, NUM 
exhibits, VERB 
defect, ADJ 
indicators, NOUN 
cluster, NOUN 

, SPACE 
projectiles, NOUN 
noted, VERB 
context, NOUN 
data, NOUN 

, SPACE 
atomic, ADJ 
projectiles, NOUN 
cold, ADJ 
sample, NOUN 
125, NUM 
K, PROPN 
data, NOUN 

, SPACE 
defect, ADJ 
production, NOUN 
low, ADJ 
temperatures, NOUN 
increases, VERB 

, SPACE 
steeply, ADV 
increasing, VERB 
fluence, NOUN 
elevated, ADJ 

, SPACE 
temperatures, NOUN 
present, ADJ 
investigation, NOUN 
means, VERB 

, SPACE 
cluster, NOUN 
indicators, NOUN 
shifted, VERB 
slightly, ADV 
higher, ADJ 

, SPACE 
values, NOUN 
Fig, PROPN 
3, NUM 

, SPACE 
r, NOUN 
value, NOUN 
Au, PROPN 
coincides, VERB 
nuclear, ADJ 
band, NOUN 

, SPACE 
Fig, PROPN 
3, NUM 
mean, VERB 
total, ADJ 
defect, NOUN 
production, NOUN 

, SPACE 
nuclear, ADJ 
processes, NOUN 
provided, VERB 
concept, NOUN 

, SPACE 
atomic, ADJ 
ions, NOUN 
applicable, ADJ 
relatively, ADV 
large, ADJ 

, SPACE 
electronic, ADJ 
energy, NOUN 
loss, NOUN 
Au, PROPN 
Table, NOUN 
1, X 

, SPACE 
expect, VERB 
considerable, ADJ 
electronic, ADJ 
contribution, NOUN 

, SPACE 
defect, ADJ 
production, NOUN 
i.e., X 
Au, PROPN 
data, NOUN 
point, NOUN 

, SPACE 
nuclear, ADJ 
band, NOUN 
temperature, NOUN 
correction, NOUN 

, SPACE 
rise, VERB 
measured, VERB 
Au, PROPN 
value, NOUN 
expected, VERB 

, SPACE 
value, NOUN 

, SPACE 
Ch, PROPN 
Tomaschko, PROPN 
et, PROPN 
al, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
I1, PROPN 
7, NUM 
1996, NUM 
90, NUM 
94, NUM 
93, NUM 

, SPACE 
r, NOUN 
value, NOUN 
Au, PROPN 
straight, ADJ 
continuation, NOUN 

, SPACE 
band, NOUN 
indication, NOUN 
peculiar, ADJ 

, SPACE 
behaviour, NOUN 
Au, PROPN 
cluster, NOUN 
fact, NOUN 

, SPACE 
nuclear, ADJ 
band, NOUN 
changes, VERB 
slope, NOUN 
S, PROPN 
=, SYM 
10, NUM 
keV, PROPN 
nm, PROPN 

, SPACE 
dashed, VERB 
lines, NOUN 
Fig, PROPN 
4, NUM 
strong, ADJ 
indications, NOUN 

, SPACE 
recent, ADJ 
measurements, NOUN 
atomic, ADJ 
data, NOUN 
13,141, NUM 

, SPACE 
case, NOUN 
additional, ADJ 
atomic, ADJ 
data, NOUN 

, SPACE 
labelled, VERB 
triangles, NOUN 
Fig, PROPN 
4, NUM 
case, NOUN 
Au, PROPN 
data, NOUN 

, SPACE 
fit, VERB 
nuclear, ADJ 
band, NOUN 
r,,e, PROPN 
indicator, NOUN 

, SPACE 
smaller, ADJ 
expected, VERB 
magnitude, NOUN 
S, PROPN 

, SPACE 
Table, PROPN 
1, NUM 
Fig, PROPN 
5, NUM 
provided, VERB 
nuclear, ADJ 
electronic, ADJ 

, SPACE 
contributions, NOUN 
independent, ADJ 
case, NOUN 
atomic, ADJ 

, SPACE 
projectiles, NOUN 

, SPACE 
result, NOUN 
obtained, VERB 
Bi, PROPN 
film, NOUN 
irradiated, VERB 
23, NUM 

, SPACE 
MeV, PROPN 
C, PROPN 
projectiles, NOUN 
differs, VERB 
significantly, ADV 
Au, PROPN 

, SPACE 
result, NOUN 
defect, ADJ 
indicator, NOUN 
r, NOUN 
exceeds, VERB 
values, NOUN 

, SPACE 
nuclear, ADJ 
band, NOUN 
Fig, PROPN 
3, NUM 
electronic, ADJ 
contribution, NOUN 

, SPACE 
value, NOUN 
expected, VERB 
electronic, ADJ 
energy, NOUN 
loss, NOUN 

, SPACE 
C, PROPN 
according, VERB 
irradiation, NOUN 
experiments, NOUN 
atomic, ADJ 
ions, NOUN 

, SPACE 
result, NOUN 
indicate, VERB 
C, NOUN 
projectiles, NOUN 
behave, VERB 

, SPACE 
like, ADP 
atomic, ADJ 
ions, NOUN 
nuclear, ADJ 
electronic, ADJ 
processes, NOUN 

, SPACE 
contribute, VERB 
independently, ADV 
defect, ADJ 
production, NOUN 

, SPACE 
greatly, ADV 
differing, VERB 
results, NOUN 
C, NOUN 
Au, PROPN 
lead, NOUN 
course, NOUN 

, SPACE 
question, NOUN 
different, ADJ 
mechanisms, NOUN 

, SPACE 
effective, ADJ 
defect, ADJ 
production, NOUN 
induced, VERB 
cluster, NOUN 
ions, NOUN 

, SPACE 
clarify, VERB 
question, NOUN 
experiments, NOUN 
cluster, NOUN 

, SPACE 
ions, NOUN 
SJS, PROPN 
ratios, NOUN 
desirable, ADJ 

, SPACE 
measured, ADJ 
p, PROPN 
p, PROPN 
versus, X 
q5, PROPN 
t, NOUN 
curves, NOUN 
Figs, PROPN 
1, NUM 

, SPACE 
2, NUM 
area, NOUN 
amorphous, ADJ 
cores, NOUN 
produced, VERB 

, SPACE 
cluster, NOUN 
irradiation, NOUN 
determined, VERB 
easily, ADV 

, SPACE 
181, NUM 
connection, NOUN 
p, PROPN 
pc, NOUN 
r$t, NOUN 
given, VERB 

, SPACE 
expression, NOUN 

, SPACE 
p, NOUN 
p0, NOUN 
=, SYM 
e2A+, PROPN 

, SPACE 
1033, NUM 

, SPACE 
IO41, PROPN 

, SPACE 
1, NUM 
o-3, NUM 
10, NUM 
Z, NOUN 
10, NUM 
100, NUM 
d, PROPN 
102, NUM 
103, NUM 
104, NUM 
105, NUM 

, SPACE 
S, PROPN 
eV, PROPN 
nm, ADJ 

, SPACE 
Fig, PROPN 
4, X 
Nuclear, ADJ 
defect, NOUN 
indicator, NOUN 
r, NOUN 
irradiation, NOUN 

, SPACE 
YBa, PROPN 
Cu, PROPN 
O, INTJ 
films, NOUN 
24, NUM 
MeV, PROPN 
Au, PROPN 
clusters, NOUN 
atomic, ADJ 
ions, NOUN 

, SPACE 
12, NUM 
Atomic, ADJ 
ions, NOUN 
energy, NOUN 
losses, NOUN 
dominated, VERB 
S, PROPN 

, SPACE 
labellcd, ADJ 
open, ADJ 
squares, NOUN 
triangles, NOUN 
respectively, ADV 
Closed, PROPN 

, SPACE 
squares, NOUN 
represent, VERB 
atomic, ADJ 
ions, NOUN 
energy, NOUN 
loss, NOUN 
mainly, ADV 
elec-, X 

, SPACE 
Ironic, PROPN 
atomic, ADJ 
data, NOUN 
arc, NOUN 
8,12, NUM 
141, NUM 
rh, PROPN 
nm2, PROPN 

, SPACE 
250, NUM 

, SPACE 
0, NUM 

, SPACE 

, SPACE 
0, PROPN 
5, NUM 
10, NUM 
15, NUM 
20, NUM 
25, NUM 
30, NUM 
35, NUM 
40, NUM 

, SPACE 
S, PROPN 
keV, PROPN 
nm, PROPN 

, SPACE 
Fig, PROPN 
5, X 
Electronic, ADJ 
defect, NOUN 
indicator, NOUN 
r, NOUN 
YBa, PROPN 
Cu,0,_8, NOUN 

, SPACE 
film, NOUN 
function, NOUN 
electronic, ADJ 
energy, NOUN 
loss, NOUN 
atomic, ADJ 
projec-, ADJ 

, SPACE 
tiles, NOUN 
121, NUM 
figure, NOUN 
contames, VERB 
data, NOUN 
point, NOUN 
obtained, VERB 

, SPACE 
Au, PROPN 
irradiation, NOUN 

, SPACE 
provided, VERB 
defect, NOUN 
producing, VERB 
ions, NOUN 
hit, VERB 
sample, NOUN 

, SPACE 
totally, ADV 
random, ADJ 
way, NOUN 
damaged, VERB 
volume, NOUN 

, SPACE 
packed, VERB 
cylinder, NOUN 
ion, NOUN 
path, NOUN 
having, VERB 
cross, NOUN 

, SPACE 
section, NOUN 
=, PROPN 
vrR, PROPN 
R, PROPN 
effective, ADJ 
damage, NOUN 

, SPACE 
radius, NOUN 
introduced, VERB 
R, NOUN 
values, NOUN 
obtained, VERB 
C, PROPN 

, SPACE 
Au, PROPN 
given, VERB 
Table, PROPN 
1, NUM 
R, NOUN 
R, PROPN 

, SPACE 
values, NOUN 
atomic, ADJ 
projectiles, NOUN 
R, NOUN 
defect, ADJ 
radius, NOUN 

, SPACE 
obtained, VERB 
high, ADJ 
resolution, NOUN 
TBM, NOUN 
analysis, NOUN 
case, NOUN 

, SPACE 
Bi, PROPN 
film, NOUN 
obtains, VERB 
R, NOUN 
values, NOUN 
cluster, NOUN 
ions, NOUN 

, SPACE 
belong, VERB 
range, NOUN 
V, NOUN 
classification, NOUN 
scheme, NOUN 

, SPACE 
Meftah, PROPN 
et, PROPN 
al, PROPN 
3, X 
different, ADJ 
ranges, NOUN 
II, PROPN 
V, PROPN 

, SPACE 
scheme, NOUN 
characterize, VERB 
different, ADJ 
defect, NOUN 
morphologies, NOUN 
range, NOUN 

, SPACE 
V, NOUN 
defects, NOUN 
long, ADJ 
cylinders, NOUN 
amorphous, ADJ 
material, NOUN 

, SPACE 
continues, VERB 
tracks, NOUN 
range, NOUN 
IV, PROPN 
defects, NOUN 
represent, VERB 
over-, X 

, SPACE 
lapping, NOUN 
cylinders, NOUN 
discontinous, ADJ 
tracks, NOUN 
Range, NOUN 
V, NOUN 
covers, VERB 

, SPACE 
effective, ADJ 
damage, NOUN 
radii, NOUN 
R, NOUN 
>, X 
3, NUM 
nm, NOUN 
respect, NOUN 

, SPACE 
classification, NOUN 
expects, VERB 
discontinues, NOUN 
tracks, NOUN 
irradi-, PRON 

, SPACE 
ation, NOUN 
123, NUM 
~, NOUN 
film, NOUN 
24, NUM 
MeV, PROPN 
Au, PROPN 
continues, VERB 

, SPACE 
tracks, NOUN 
Bi, PROPN 
film, NOUN 
irradiated, VERB 
Au, PROPN 
23, NUM 

, SPACE 
MeV, PROPN 
C, PROPN 

, SPACE 
actual, ADJ 
defect, NOUN 
morphology, NOUN 
safely, ADV 
deter-, NOUN 

, SPACE 
mined, VERB 
course, NOUN 
means, NOUN 
high, ADJ 
resolution, NOUN 
transmission, NOUN 

, SPACE 
electron, NOUN 
microscopy, NOUN 
HRTBM, PROPN 
aid, NOUN 
HRTBM, PROPN 

, SPACE 
micrographs, NOUN 
shown, VERB 
recently, ADV 
191, NUM 
18, NUM 
MeV, PROPN 

, SPACE 
C, PROPN 
ions, NOUN 
able, ADJ 
produce, VERB 
continues, VERB 
tracks, NOUN 
metallic, ADJ 

, SPACE 
samples, NOUN 
unreasonable, ADJ 
speculate, VERB 

, SPACE 
similar, ADJ 
tracks, NOUN 
result, VERB 
irradiation, NOUN 
Bi, PROPN 
films, NOUN 

, SPACE 
23, NUM 
MeV, PROPN 
C, PROPN 
cluster, NOUN 
ions, NOUN 

, SPACE 
94, NUM 
Ch, PROPN 
Tomaschko, PROPN 
et, PROPN 
al, PROPN 
/Nucl, PUNCT 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, NOUN 
117, NUM 
1996, NUM 
90, NUM 
94, NUM 

, SPACE 
4, NUM 
Conclusion, NOUN 

, SPACE 
result, NOUN 
present, ADJ 
investigations, NOUN 
find, VERB 

, SPACE 
defect, NOUN 
production, NOUN 
Bi, PROPN 
Sr, PROPN 
Cu, PROPN 
O,+, PROPN 
YBa, PROPN 
Cu,-, PROPN 

, SPACE 
O, PROPN 
thin, ADJ 
films, NOUN 
induced, VERB 
irradiation, NOUN 
23, NUM 
MeV, PROPN 

, SPACE 
C, PROPN 
24, NUM 
MeV, PROPN 
Au, PROPN 
cluster, NOUN 
ions, NOUN 
comparable, ADJ 

, SPACE 
larger, ADJ 
defect, ADJ 
production, NOUN 
heavy, ADJ 
ener-, NOUN 

, SPACE 
getic, ADJ 
atomic, ADJ 
ions, NOUN 
analysis, NOUN 
damage, NOUN 
mechanism, NOUN 

, SPACE 
terms, NOUN 
model, NOUN 
developed, VERB 
irradiation, NOUN 
HTSC, PROPN 

, SPACE 
films, NOUN 
atomic, ADJ 
projectiles, NOUN 
leads, VERB 
different, ADJ 
results, NOUN 

, SPACE 
6, X 
C, PROPN 
cluster, NOUN 
ions, NOUN 
behave, VERB 
like, ADP 
atomic, ADJ 
ions, NOUN 

, SPACE 
ii, PROPN 
Au, PROPN 
ions, NOUN 
behave, VERB 
differently, ADV 
reason, NOUN 

, SPACE 
conjecture, VERB 
independence, NOUN 
nuclear, ADJ 
electronic, ADJ 

, SPACE 
contributions, NOUN 
defect, ADJ 
production, NOUN 
holds, VERB 

, SPACE 
case, NOUN 
atomic, ADJ 
projectiles, NOUN 
valid, ADJ 
case, NOUN 

, SPACE 
nuclear, ADJ 
defects, NOUN 
annealed, VERB 
electronic, ADJ 

, SPACE 
energy, NOUN 
deposition, NOUN 
case, NOUN 
Au, PROPN 
irradiation, NOUN 
similar, ADJ 

, SPACE 
observations, NOUN 
crystalline, ADJ 
metals, NOUN 

, SPACE 
large, ADJ 
defect, NOUN 
radii, NOUN 
deduced, VERB 
Bi, PROPN 
Sr, PROPN 
Cu,-, PROPN 

, SPACE 
0, NUM 
s+, SYM 
6, NUM 
film, NOUN 
irradiated, VERB 
Au, PROPN 
C, PROPN 
clusters, NOUN 

, SPACE 
indicate, VERB 
continues, VERB 
tracks, NOUN 
formed, VERB 
film, NOUN 

, SPACE 
Acknowledgements, NOUN 

, SPACE 
work, NOUN 
supported, VERB 
Deutsche, PROPN 
Forschungs-, PROPN 

, SPACE 
gemeinschaft, NOUN 
Bonn, PROPN 
Germany, PROPN 

, SPACE 
References, PROPN 

, SPACE 
11, NUM 
M., PROPN 
Toulemonde, PROPN 
S., PROPN 
Bouffard, PROPN 
F., PROPN 
Studer, PROPN 
Nucl, PROPN 
Instr, PROPN 

, SPACE 
Meth, PROPN 
B, NOUN 
91, NUM 
1994, NUM 
108, NUM 
2, X 
P., PROPN 
Bauer, PROPN 
C., PROPN 
Rose, PROPN 
E.J., PROPN 
Williams, PROPN 
R., PROPN 
Berger, PROPN 
J., PROPN 
Daniel, PROPN 
B., PROPN 

, SPACE 
Irmer, PROPN 
M., PROPN 
Kraus, PROPN 
G., PROPN 
Kreisehneyer, PROPN 
G., PROPN 
Saemann, PROPN 
Ischenko, PROPN 

, SPACE 
J., PROPN 
Karpinski, PROPN 
Physica, PROPN 
C, PROPN 
258, NUM 
1996, NUM 
84, NUM 

, SPACE 
3, X 
Y., PROPN 
Zhu, PROPN 
Z.X., PROPN 
Cai, PROPN 
R.C., PROPN 
Budhani, PROPN 
M., PROPN 
Suenaga, PROPN 
D.O., PROPN 

, SPACE 
Welch, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
48, NUM 
1993, NUM 
6436, NUM 

, SPACE 
4, NUM 
A., NOUN 
Meftah, PROPN 
F., PROPN 
Brisard, PROPN 
J.M., PROPN 
Constantini, PROPN 
M., PROPN 
Hage, PROPN 
Ali, PROPN 
J.P., PROPN 

, SPACE 
Stoquert, PROPN 
F., PROPN 
Studer, PROPN 
M., PROPN 
Toulemonde, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
48, NUM 

, SPACE 
I(19931, PROPN 
920, NUM 

, SPACE 
5, X 
B., PROPN 
Holzapfel, PROPN 
B., PROPN 
Roas, PROPN 
L., PROPN 
Schultz, PROPN 
P., PROPN 
Bauer, PROPN 
G., PROPN 

, SPACE 
Saemam, PROPN 
Ischenko, PROPN 
Apl, PROPN 
Phys, PROPN 
Lett, PROPN 
61, NUM 
1992, NUM 
3178, NUM 

, SPACE 
6, NUM 
Th, PROPN 
Amrein, PROPN 
PhD, PROPN 
Thesis, PROPN 
RWTH, PROPN 
Aachen, PROPN 
1994, NUM 

, SPACE 
7, X 
S., PROPN 
Della, PROPN 
Negra, PROPN 
A., PROPN 
Brunelle, PROPN 
Y., PROPN 
LeBeyec, PROPN 
J.M., PROPN 
Curaudeau, PROPN 

, SPACE 
J.P., PROPN 
Mouffron, PROPN 
B., PROPN 
Waast, PROPN 
P., PROPN 
Hakansson, PROPN 
B.U.R., PROPN 
Sundqvsit, PROPN 

, SPACE 
E., PROPN 
Parilis, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 
74, NUM 
1993, NUM 
453, NUM 

, SPACE 
8, X 
M., PROPN 
Kraus, PROPN 
PhD, NOUN 
thesis, NOUN 
University, PROPN 
Erlangen, PROPN 
Nlmberg, PROPN 

, SPACE 
1995, NUM 

, SPACE 
9, X 
J.P., PROPN 
Biersack, PROPN 
L.G., PROPN 
Haggmark, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
174, NUM 

, SPACE 
1980, NUM 
257, NUM 

, SPACE 
lo, X 
K., PROPN 
Baudin, PROPN 
A., PROPN 
Bnmelle, PROPN 
M., PROPN 
Chabot, PROPN 
S., PROPN 
Della, PROPN 
Negra, PROPN 
J., PROPN 

, SPACE 
Depauw, PROPN 
D., PROPN 
Gardts, PROPN 
P., PROPN 
Hgkansson, PROPN 
Y., PROPN 
LeBeyec, PROPN 
A., NOUN 
Bille-, PROPN 

, SPACE 
baud, NOUN 
M., PROPN 
Fallavier, PROPN 
J., PROPN 
Remillieux, PROPN 
J.C., PROPN 
Poizat, PROPN 
J.P., PROPN 

, SPACE 
Thomas, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, PROPN 
published, VERB 

, SPACE 
111, NUM 
Ch, PROPN 
Tomaschko, PROPN 
D., PROPN 
Brandl, PROPN 
R., PROPN 
Kiigler, PROPN 
M., PROPN 
Schurr, PROPN 
H., PROPN 

, SPACE 
Voit, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 
103, NUM 
1995, NUM 
407, NUM 

, SPACE 
1121, NUM 
M., PROPN 
Kraus, PROPN 
P., PROPN 
van, PROPN 
Hasselt, PROPN 
J.P., PROPN 
Striibel, PROPN 
S., PROPN 
Peehs, PROPN 
M., PROPN 
Leghissa, PROPN 

, SPACE 
G., PROPN 
Kreiselmeyer, PROPN 
B., PROPN 
Holzapfel, PROPN 
W., PROPN 
Gerhluser, PROPN 
B., PROPN 
Hensel, PROPN 
S., PROPN 

, SPACE 
Klaumlinzer, PROPN 
S., PROPN 
Bouffard, PROPN 
G., PROPN 
Saemann, PROPN 
Ischenko, PROPN 
Radiat, PROPN 

, SPACE 
Eff, PROPN 
Defects, PROPN 
Solids, PROPN 
126, NUM 
1993, NUM 
147, NUM 

, SPACE 
1131, NUM 
M., PROPN 
Kraus, PROPN 
et, PROPN 
al, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
published, VERB 

, SPACE 
14, NUM 
M., PROPN 
Kraus, PROPN 
et, PROPN 
al, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
published, VERB 

, SPACE 
15, NUM 
F., PROPN 
Rullier, PROPN 
Albenque, PROPN 
A., PROPN 
Legris, PROPN 
S., PROPN 
Bouffard, PROPN 
E., PROPN 
Paumier, PROPN 

, SPACE 
P., PROPN 
Lejay, PROPN 
Physica, PROPN 
C, PROPN 
175, NUM 
1991, NUM 
111, NUM 

, SPACE 
16, NUM 
A., NOUN 
Dunlop, PROPN 
E., PROPN 
Lesueur, PROPN 
J., PROPN 
Morillo, PROPN 
J., PROPN 
Dural, PROPN 
R., PROPN 
Spohr, PROPN 
J., PROPN 

, SPACE 
Vetter, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 
48, NUM 
1990, NUM 
419, NUM 

, SPACE 
17, NUM 
E.J., PROPN 
Kobetich, PROPN 
R., PROPN 
Katz, PROPN 
Phys, PROPN 
Rev., PROPN 
170, NUM 
1968, NUM 
391, NUM 

, SPACE 
18, NUM 
S., PROPN 
Klaumlinzer, PROPN 
Radiat, PROPN 
Eff, PROPN 
Defects, PROPN 
Solids, PROPN 
126, NUM 
1993, NUM 
141, NUM 

, SPACE 
19, NUM 
H., PROPN 
Dammak, PROPN 
A., NOUN 
Dunlop, PROPN 
D., PROPN 
Lesueur, PROPN 
A., PROPN 
Brunelle, PROPN 
S., PROPN 
Della-, PROPN 

, SPACE 
Negra, PROPN 
Y., PROPN 
LeBeyec, PROPN 
Phys, PROPN 
Rev., PROPN 
Lett, PROPN 
74, NUM 
1995, NUM 
1135, NUM 

, SPACE 
