DlSCRETE, PROPN 
Y2, NOUN 
keeps, VERB 
red, ADJ 
hamiltonian, ADJ 
cycle, NOUN 
obtain, VERB 
hamiltonian, ADJ 

, SPACE 
decomposition, NOUN 
Cr, PROPN 
x, PROPN 
C2, PROPN 
0, PUNCT 

, SPACE 
Lemma, PROPN 
2.13, NUM 
gcd(r, PROPN 
m, PROPN 
=, VERB 
2, NUM 
t, NUM 
>, X 
4, NUM 
C1, PROPN 
X, PROPN 
C2, PROPN 
hamiltonian, ADJ 
decomposition, NOUN 

, SPACE 
Proof, PROPN 
n, NOUN 
=, SYM 
3, NUM 
color, NOUN 
switchings, NOUN 
1,2, NUM 
2, NUM 
t, NOUN 
2, NUM 
C1, PROPN 
x, PROPN 
C2, PROPN 
shown, VERB 

, SPACE 
Fig, PROPN 
2, NUM 
color, NOUN 
switching, VERB 
X, NOUN 
switches, VERB 
colors, NOUN 
edge, NOUN 
sets, NOUN 
b, PROPN 
1, NUM 
+, NUM 

, SPACE 
b, PROPN 
h, PROPN 
a~,b2t+r)(~3,bd, PROPN 
al, PROPN 
b2t, NOUN 
l+*)(al, NOUN 
bzt+~, PROPN 
h, PROPN 
b, NOUN 
d(a~,b2, NOUN 

, SPACE 
follows, VERB 
Remark, PROPN 
2.3, NUM 
Fact, NOUN 
2.4, NUM 
blue, ADJ 
hamiltonian, ADJ 
cycle, NOUN 

, SPACE 
easy, ADJ 
red, ADJ 
edges, NOUN 
form, VERB 
hamiltonian, ADJ 
cycle, NOUN 
assume, VERB 
n, ADV 
3, NUM 
4, NUM 

, SPACE 
applying, VERB 
Lemma, PROPN 
2.10, NUM 
Cr, PROPN 
x, PROPN 
Cz, PROPN 
obtain, VERB 
blue, ADJ 
hamiltonian, ADJ 
cycle, NOUN 
connect, VERB 

, SPACE 
aj, ADJ 
columns, NOUN 
j, PROPN 
<, X 
4, NUM 
single, ADJ 
red, ADJ 
cycle, NOUN 
rest, NOUN 
proof, NOUN 
similar, ADJ 

, SPACE 
proof, NOUN 
Lemma, PROPN 
2.12, NUM 
use, VERB 
bj, NOUN 
rows, NOUN 
j, PROPN 
=, PROPN 
2, NUM 
t, NOUN 
1,2t,2, NUM 
t, NOUN 
+, SYM 
1, NUM 
instead, ADV 

, SPACE 
j, PROPN 
=, NOUN 
1,2,3, NUM 
0, PUNCT 

, SPACE 
Lemma, PROPN 
2.14, NUM 
Zf, PROPN 
gcd(r, PROPN 
m, PROPN 
=, VERB 
2, NUM 
t, NOUN 
+, NUM 
1, NUM 
2, NUM 
3, NUM 
C1, PROPN 
x, PROPN 
C2, PROPN 
hamiltonian, ADJ 
de-, NOUN 

, SPACE 
composition, NOUN 

, SPACE 
Proof, PROPN 
apply, VERB 
Proposition, PROPN 
2.8, NUM 
n, NOUN 
odd, ADJ 
Lemma, PROPN 
2.9, NUM 
n, NOUN 
C1, PROPN 
x, PROPN 
C2, PROPN 

, SPACE 
obtain, VERB 
blue, ADJ 
hamiltonian, ADJ 
cycle, NOUN 
H, PROPN 
connect, VERB 
aj, ADJ 
columns, NOUN 
1, NUM 
<, NOUN 
j, NOUN 
d, NOUN 
h, NOUN 
red, ADJ 

, SPACE 
cycle, NOUN 
h, NOUN 
=, SYM 
3, NUM 
n, NOUN 
odd, ADJ 
4, NUM 
n, NOUN 
h, NOUN 
+, SYM 
1, NUM 
red, ADJ 
cycles, NOUN 

, SPACE 
n, NOUN 
h, PROPN 
parity, NOUN 
n, NOUN 
h, NOUN 
=, NOUN 
212~, NUM 
nonnegative, ADJ 
integer, NOUN 
nl, PROPN 
Let, VERB 

, SPACE 
y, NOUN 
=, NOUN 
2, NUM 
n, NOUN 
odd, ADJ 
2, NUM 
t, NOUN 
+, NUM 
1, NUM 
tiI, X 
>, X 
0, NUM 
define, VERB 
color, NOUN 
switchings, NOUN 

, SPACE 
Xl, PROPN 
XZ, PROPN 
9, NUM 
X2, ADJ 
Xzi, PROPN 
+, PROPN 
1, NUM 
=, PROPN 
h+2i, PROPN 
ah+2i+l, NOUN 
l, NOUN 
andXzi.2, X 
=, PROPN 
ah+2i+l, PROPN 

, SPACE 
a,,+z+&vby+d, VERB 
Th, X 
en, INTJ 
follows, VERB 
Fact, PROPN 
2.4, NUM 
making, VERB 
color, NOUN 
switchings, NOUN 

, SPACE 
XI, PROPN 
XZ, PROPN 
X2, ADJ 
connects, VERB 
n, NOUN 
h, NOUN 
+, PROPN 
1, NUM 
=, NOUN 
2nl, NOUN 
+, SYM 
1, NUM 
red, ADJ 
cycles, NOUN 
red, ADJ 
hamiltonian, ADJ 
cycle, NOUN 

, SPACE 
end, VERB 
blue, ADJ 
hamiltonian, ADJ 
cycle, NOUN 
applying, VERB 
Lemma, PROPN 
2.11, NUM 
nl, PROPN 
times, PROPN 
0, PUNCT 

, SPACE 
Combining, VERB 
Lemmas, PROPN 
2.12, NUM 
2.13, NUM 
2.14, NUM 
derived, VERB 
following, ADJ 
result, NOUN 

, SPACE 
Theorem, PROPN 
2.15, NUM 
pseudo, ADJ 
Cartesian, ADJ 
product, NOUN 
C1, PROPN 
x, PROPN 
C2, PROPN 
decomposed, VERB 

, SPACE 
hamiltonian, ADJ 
cycles, NOUN 

, SPACE 
3, X 
Main, ADJ 
results, NOUN 

, SPACE 
begin, VERB 
section, NOUN 
introducing, VERB 
graphs, NOUN 
Dk, PROPN 
defined, VERB 
S, PROPN 

, SPACE 
Recall, VERB 
Cr, PROPN 
=, VERB 
a2, PROPN 
ana1, PROPN 
C2, PROPN 
=, SYM 
bI, PROPN 
b2, PROPN 
b, PROPN 
bI, PROPN 
cycles, NOUN 
order, NOUN 
n, PROPN 
m, PROPN 

, SPACE 
respectively, ADV 

, SPACE 
C., PROPN 
Fan, PROPN 
et, PROPN 
al, PROPN 
/Discrete, PUNCT 
Mathematics, PROPN 
158, NUM 
1996, NUM 
49, NUM 
E, NOUN 
55, NUM 

, SPACE 
Definition, PROPN 
3.1, NUM 
k, PROPN 
>, X 
2, NUM 
define, VERB 
D, NOUN 
graph, NOUN 
satisfying, VERB 

, SPACE 
1, NUM 
V(D, NOUN 
=, VERB 
ui, PROPN 
bj, ADV 
11, NUM 
<, X 
d, NOUN 
PI, PROPN 
1, NUM 
<, X 
j, PROPN 
d, PROPN 
m, PROPN 
>, X 

, SPACE 
2, NUM 
E(Dk, NOUN 
decomposed, VERB 
2, NUM 
factors, NOUN 
HI, PROPN 
Hz, PROPN 
Hk, PROPN 
1, NUM 
F, PROPN 

, SPACE 
3, X 
F, PROPN 
=, PUNCT 
lJr, NOUN 
=, SYM 
IFi, NOUN 
Fi, PROPN 
cycle, NOUN 
ui, PROPN 
bl)(ai, PROPN 
b2), PROPN 
(ui, SYM 
b~)(ai, PROPN 
blX, NOUN 

, SPACE 
4, NUM 
1, NUM 
<, NUM 
j, PROPN 
<, X 
k, PROPN 
1, NUM 
HjUF, PROPN 
=, PROPN 
C, PROPN 
xr, PROPN 
C2, PROPN 
0, NUM 
6, NUM 
Tj, PROPN 
<, X 
m, PROPN 
1, NUM 
C$, SYM 
=, SYM 
ui,,r, PROPN 

, SPACE 
4,(2, PROPN 
4,(&Jl, NUM 
nj, ADP 
permutation, NOUN 
1,2, NUM 
n, CCONJ 
b, PROPN 
=, PROPN 
q, PROPN 
b, NOUN 

, SPACE 
1, NUM 
d, X 
<, X 
n, CCONJ 
0, NUM 
<, X 
hi, PROPN 
<, VERB 
m, VERB 
1, NUM 

, SPACE 
Clearly, ADV 
definition, NOUN 
easy, ADJ 
HjU, NOUN 
F, PROPN 
=, PROPN 
C, PROPN 
x, SYM 
r, NOUN 
C2, PROPN 
edges, NOUN 

, SPACE 
Hj, PROPN 
horizontal, ADJ 
type, NOUN 
edges, NOUN 
F, PROPN 
vertical, ADJ 

, SPACE 
Let, VERB 
finite, ADJ 
abelian, PROPN 
group, NOUN 
S, PROPN 
=, NOUN 
s1,s2, PROPN 
sk, INTJ 
generating, VERB 
set, NOUN 

, SPACE 
O&S, PROPN 
s, VERB 
E, NOUN 
S, PROPN 
implies, VERB 
s$S, PROPN 
m, VERB 
=, SYM 
ord(sk, NUM 
3, NUM 
3, NUM 
edges, VERB 
cay(A., PROPN 
S, PROPN 

, SPACE 
generated, VERB 
sk, NOUN 
form, VERB 
factor, NOUN 
F., PROPN 
Furthermore, PROPN 
F, PROPN 
consists, VERB 
n, NOUN 
=, ADJ 
1, NUM 
l, NOUN 
m, PROPN 
cycles, NOUN 

, SPACE 
length, NOUN 
m., NOUN 
Let, VERB 
J, PROPN 
=, PROPN 
Sk, PROPN 
S, PROPN 
=, PROPN 
S, PROPN 
.Fz, PROPN 
.sk_r, X 
G, PROPN 
=, PROPN 
J, PROPN 
use, VERB 
X, PROPN 

, SPACE 
represent, VERB 
coset, NOUN 
x, PROPN 
+, PROPN 
J., PROPN 

, SPACE 
Definition, PROPN 
3.2, NUM 
edge, NOUN 
X, NOUN 
j, NOUN 
cuy(A, PROPN 
S, PROPN 
X, PROPN 
j, NOUN 
=, ADJ 
Si, PROPN 
E, PROPN 
S, PROPN 
edge, NOUN 
set, VERB 

, SPACE 
uIu2, PROPN 
U1, NOUN 
=, NOUN 
x, VERB 
u2, ADJ 
=, NOUN 
yandu, NOUN 
u2, ADJ 
=, X 
si, X 
cuy(A, PROPN 
S, PROPN 
lifting, NOUN 
edge, NOUN 
set, VERB 
edge, NOUN 
x, PROPN 
1, NUM 

, SPACE 
Remark, PROPN 
3.3, NUM 
start, VERB 
set, ADJ 
S, PROPN 
=, NOUN 
.(s1,s2, PROPN 
$, SYM 
1, NUM 
SE, PROPN 
S, PROPN 
implies, VERB 

, SPACE 
~$3, PROPN 
possible, ADJ 
Si, PROPN 
=, PROPN 
t, PROPN 
sjESfor, ADP 
1, NUM 
<, X 
fj, PROPN 
<, X 
k, PROPN 
1, NUM 
case, NOUN 
Si, PROPN 
=, SYM 
5j, NUM 

, SPACE 
gj, NOUN 
multiple, ADJ 
edges, NOUN 
pair, NOUN 
X, PROPN 
j, NOUN 
X, PROPN 
=, PROPN 

, SPACE 
Si, PROPN 
Sj, PROPN 
Sj, PROPN 
edge, NOUN 
Xl, PROPN 
Si, PROPN 
lift, VERB 
edge, NOUN 
set, VERB 

, SPACE 
~u, NUM 
u2, ADJ 
~, PUNCT 
lnl, PROPN 
=, PROPN 
x, PROPN 
u2, ADJ 
=, NOUN 
yandu, NOUN 
u2, ADJ 
=, X 
si, X 
edge, NOUN 
x, PUNCT 
y, NOUN 
Si, PROPN 
Sj, PROPN 
lift, VERB 

, SPACE 
edge, NOUN 
set, VERB 
uluz, PROPN 
IU, PROPN 
=, PROPN 
x, PROPN 
u2, PROPN 
=, PROPN 
j, PROPN 
tl, PROPN 
~2, PROPN 
=, SYM 
sj, X 
sj, NOUN 

, SPACE 
Definition, PROPN 
3.4, NUM 
subgraph, ADJ 
Q, NOUN 
cay(Al, PROPN 
s, PROPN 
subgraph, NOUN 
Q, PROPN 
cay(A, PROPN 
S, PROPN 

, SPACE 
edge, NOUN 
set, VERB 
union, NOUN 
lifting, NOUN 
edge, NOUN 
sets, NOUN 
edges, NOUN 
Q, PROPN 
called, VERB 
subgraph, NOUN 

, SPACE 
lifted, VERB 
Q, PROPN 
Q, PROPN 
lifts, VERB 
Q., PROPN 

, SPACE 
easy, ADJ 
definitions, NOUN 
edge, NOUN 
disjoint, NOUN 
subgraphs, NOUN 
cuy(A, PROPN 
3, X 

, SPACE 
lift, VERB 
edge, NOUN 
disjoint, NOUN 
subgraphs, NOUN 
ca!jA, PROPN 
S, PROPN 

, SPACE 
Remark, PROPN 
3.3, NUM 
Corollary, PROPN 
3.9, NUM 
S, PROPN 
works, VERB 
minimal, ADJ 
generating, NOUN 
set, VERB 
S, PROPN 

, SPACE 
extended, VERB 
directly, ADV 
following, NOUN 

, SPACE 
Lemma, PROPN 
3.5, NUM 
Suppose, VERB 
Al, PROPN 
=, PROPN 
al, PROPN 
ii, PROPN 
Cayley, PROPN 
multigraph, NOUN 
cuy(A, PROPN 
S, PROPN 

, SPACE 
decomposed, VERB 
k, PROPN 
1, NUM 
hamiltonian, ADJ 
cycles, NOUN 
fi, NOUN 
li2, NOUN 
H, PROPN 
1, NUM 
Ri, PROPN 
=, NOUN 
L?~,,~, PROPN 

, SPACE 
Zl, INTJ 
un,(n, ADJ 
l, NOUN 
cuy(A, PROPN 
S, PROPN 
E, PROPN 
Dk, PROPN 
F, PROPN 
2, NUM 
factor, NOUN 
generated, VERB 
sk, ADP 
und, NOUN 

, SPACE 
Hi, PROPN 
2, NUM 
factor, NOUN 
lifted, VERB 
fii, PROPN 

, SPACE 
alternative, ADJ 
proof, NOUN 
main, ADJ 
result, NOUN 
4, NUM 
including, VERB 
missing, VERB 

, SPACE 
cases, NOUN 
follows, VERB 

, SPACE 
56, NUM 
C., PROPN 
Fan, PROPN 
et, PROPN 
al, PROPN 
/Discrete, PUNCT 
Mathematics, PROPN 
158, NUM 
1996, NUM 
49, NUM 
62, NUM 

, SPACE 
Theorem, PROPN 
3.6, NUM 
4, NUM 
regular, ADJ 
connected, ADJ 
Cayley, PROPN 
graph, NOUN 
cay(A, PROPN 
S, PROPN 
finite, ADJ 
abelian, PROPN 

, SPACE 
group, NOUN 
decomposed, VERB 
hamiltonian, ADJ 
cycles, NOUN 

, SPACE 
Proof, PROPN 
Suppose, VERB 
cay(A, PROPN 
S, PROPN 
4, NUM 
regular, ADJ 
connected, ADJ 
Cayley, PROPN 
graph, NOUN 
finite, ADJ 
abelian, PROPN 

, SPACE 
group, NOUN 
A., PROPN 
Remark, PROPN 
1.1, NUM 
S, PROPN 
generating, VERB 
set, NOUN 
S, PROPN 
=, PROPN 
sr, PROPN 
s2, PROPN 

, SPACE 
si, NOUN 
having, VERB 
order, NOUN 
3, NUM 
S, PROPN 
=, PROPN 
s1,s2,sJ, ADJ 
elements, NOUN 
order, NOUN 

, SPACE 
S=, NOUN 
sl, NOUN 
s2, PROPN 
s3, PROPN 
s4, PROPN 
elements, NOUN 
order, NOUN 
2, NUM 

, SPACE 
Case, PROPN 
1, NUM 
S, PROPN 
=, NOUN 
s1,s2, PROPN 
loss, NOUN 
generality, NOUN 
assume, VERB 
s1, PROPN 
f, NOUN 
s2, PROPN 

, SPACE 
ord(sI, PROPN 
3, NUM 
m, NOUN 
=, NOUN 
ord(sz, NOUN 
Let, VERB 
J, PROPN 
=, PROPN 
sZ, PROPN 
AI, PROPN 
=, NOUN 
J., PROPN 
A1, PROPN 
generated, VERB 
Si, PROPN 
Let, VERB 

, SPACE 
n, ADV 
=, PRON 
ord(S1, PROPN 
n, CCONJ 
>, X 
3, NUM 
cay(A, PROPN 
S, PROPN 
cycle, NOUN 
follows, VERB 
Lemma, PROPN 
3.5, NUM 

, SPACE 
cay(A, PROPN 
S, PROPN 
g, PROPN 
D, PROPN 
=, PROPN 
C1, PROPN 
x, PROPN 
Cz, PROPN 
Theorem, PROPN 
2.15, NUM 
cay(A, PROPN 
S, PROPN 
decomposed, VERB 

, SPACE 
hamiltonian, ADJ 
cycles, NOUN 
n, NOUN 
=, SYM 
2, NUM 
2si, ADJ 
E, NOUN 
ord(s, NUM 
>, X 
ord(sz, X 
=, VERB 
1, NUM 
A1/2, NOUN 

, SPACE 
follows, VERB 
ord(sI, X 
=, VERB 
ord(s2, PROPN 
1, NUM 
1, NUM 
case, NOUN 
difficult, ADJ 
obtain, VERB 
hamil-, ADJ 

, SPACE 
tonian, ADJ 
decomposition, NOUN 
cay(A, PROPN 
S, PROPN 

, SPACE 
Case, PROPN 
2, NUM 
S, NOUN 
=, NOUN 
si, ADP 
s2, PROPN 
s3, PROPN 
elements, NOUN 
order, NOUN 
loss, NOUN 
generality, NOUN 

, SPACE 
assume, VERB 
ord(s2, PROPN 
=, VERB 
ord(s, PROPN 
=, VERB 
2, NUM 
Let, VERB 
J, PROPN 
=, PROPN 
s2,s3, PROPN 
$, X 
=, SYM 
0,s2,s3,s2, PROPN 
+, CCONJ 
s3J, NOUN 

, SPACE 
Ai, PROPN 
=, X 
J, PROPN 
=, PROPN 
0,S1,2SI, PROPN 
n, NUM 
l)S, PROPN 
Let, VERB 
C, PROPN 
=, NOUN 
os12s, NOUN 
n, CCONJ 
l)siO, NUM 

, SPACE 
C, NOUN 
=, PUNCT 
Os2(s1, PROPN 
+, ADJ 
ss)s30, NOUN 
map, NOUN 
cp, PROPN 
:x, PROPN 
+, PROPN 
y, PROPN 
-+, PROPN 
x, PROPN 
y, PROPN 
follows, VERB 

, SPACE 
ns, ADJ 
=, PROPN 
0, NUM 
cay(A, PROPN 
S, PROPN 
E, PROPN 
C, PROPN 
x, SYM 
C, PROPN 
nsl, X 
=, X 
s2, PROPN 
+, SYM 
s3, PROPN 
cay(A, PROPN 
S, PROPN 
r, NOUN 
C, PROPN 
x2C, PROPN 

, SPACE 
cay(A, PROPN 
S, PROPN 
hamiltonian, ADJ 
decomposition, NOUN 
Theorem, PROPN 
2.15, NUM 
nsl, NOUN 
=, NOUN 
s2, PROPN 
s3, PROPN 

, SPACE 
cay(A, PROPN 
S, PROPN 
graph, NOUN 
shown, VERB 
Fig, PROPN 
3, NUM 
intersection, NOUN 
x, NOUN 
row, ADJ 
y, PROPN 
column, NOUN 

, SPACE 
element, NOUN 
x, PROPN 
+, X 
y., PROPN 
color, VERB 
vertical, ADJ 
edges, NOUN 
red, NOUN 
edges, NOUN 
blue, ADJ 

, SPACE 
easy, ADJ 
color, NOUN 
switchings, NOUN 
shown, VERB 
Fig, PROPN 
3, NUM 
result, VERB 

, SPACE 
hamiltonian, ADJ 
decomposition, NOUN 
cay(A, PROPN 
S, PROPN 

, SPACE 
Case, PROPN 
3, NUM 
S, NOUN 
=, NOUN 
si, ADJ 
s2, PROPN 
s3, PROPN 
s4, PROPN 
elements, NOUN 
having, VERB 
order, NOUN 
2, NUM 
case, NOUN 
easy, ADJ 

, SPACE 
cay(A, PROPN 
S, PROPN 
FZ, PROPN 
K2, PROPN 
x, PROPN 
K2, PROPN 
x, PROPN 
K2, PROPN 
x, PROPN 
K, PROPN 
=, PROPN 
C4, PROPN 
x, SYM 
Cq, PROPN 
C4, PROPN 
cycle, NOUN 
order, NOUN 
4, NUM 

, SPACE 
cay(A, PROPN 
S, PROPN 
decomposed, VERB 
hamiltonian, ADJ 
cycles, NOUN 
0, PUNCT 

, SPACE 
focus, VERB 
6, NUM 
regular, ADJ 
connected, ADJ 
Cayley, PROPN 
graphs, NOUN 
abelian, ADJ 
groups, NOUN 
shall, AUX 

, SPACE 
decompose, VERB 
graph, NOUN 
D3, PROPN 
hamiltonian, ADJ 
cycles, NOUN 
certain, ADJ 
cases, NOUN 

, SPACE 
generalizes, VERB 
following, VERB 
theorem, NOUN 
3, NUM 
corresponding, ADJ 
cases, NOUN 

, SPACE 
0, X 
s1, NOUN 
2Sl, NUM 
35, NUM 
n-2)Sl, PROPN 
n, CCONJ 
l).91, NOUN 
0, NUM 
s, PROPN 
2Sl, PROPN 
3Sl, PROPN 
n-2)Sl, PROPN 
n-1)Sl, PROPN 

, SPACE 
0, NUM 

, SPACE 
9, NUM 
s3, PROPN 

, SPACE 
s, VERB 
+, NUM 
s, NUM 
2, NUM 
3, NUM 

, SPACE 
s3, PROPN 
s2, PROPN 

, SPACE 
nisodd, PROPN 
n, CCONJ 

, SPACE 
Fig, PROPN 
3, NUM 
graph, NOUN 
cay(A.S, X 
ns, VERB 
=, PRON 
s2, PROPN 
s3, PROPN 
color, NOUN 
switchings, NOUN 

, SPACE 
C., PROPN 
Fan, PROPN 
et, PROPN 
al, PROPN 
Discrete, PROPN 
Mathematics, PROPN 
158, NUM 
1996, NUM 
49, NUM 
62, NUM 
57, NUM 

, SPACE 
Theorem, PROPN 
3.7, NUM 
Aubert, PROPN 
Schneider, PROPN 
131, NUM 
fG, PROPN 
decomposed, VERB 
humiltonian, ADJ 

, SPACE 
cycles, NOUN 
C, NOUN 
cycle, NOUN 
G, PROPN 
x, PROPN 
C, PROPN 
cun, NOUN 
decomposed, VERB 
hamiltonian, ADJ 
cycles, NOUN 

, SPACE 
following, VERB 
result, NOUN 
Lemma, PROPN 
3.14, NUM 
S, PROPN 

, SPACE 
Proposition, PROPN 
3.8, NUM 
Let, VERB 
n, CCONJ 
odd, ADJ 
Assume, VERB 
Hi, PROPN 
D3, PROPN 
consists, VERB 
of2ti, NOUN 
+, NUM 
1, NUM 
>, SYM 
3, NUM 
cycles, NOUN 

, SPACE 
=, X 
1, NUM 
2, NUM 
If’the, PRON 
sets, VERB 
K1, NOUN 
=, SYM 
j71,(1),7~~(2),n,(3),7c~(4)i, PROPN 
K2, ADJ 
=, PUNCT 
x2(1),7t2(2),7r2(3, PROPN 

, SPACE 
exactly, ADV 
common, ADJ 
element, NOUN 
7rI, X 
4, NUM 
=, NOUN 
rc2, NOUN 
l, PROPN 
D3, PROPN 
decomposed, VERB 

, SPACE 
humiltonian, ADJ 
cycles, NOUN 

, SPACE 
method, NOUN 
prove, VERB 
result, NOUN 
similar, ADJ 
proposition, NOUN 

, SPACE 
II, PROPN 
convenience, NOUN 
color, VERB 
edges, NOUN 
D3, PROPN 
edges, NOUN 
F, PROPN 
red, ADJ 

, SPACE 
edges, NOUN 
HI, PROPN 
blue, ADJ 
edges, NOUN 
Hz, PROPN 
green, ADJ 

, SPACE 
Lemma, PROPN 
3.9, NUM 
Let, VERB 
n, NUM 
>, X 
6, NUM 
Assume, PROPN 
Hz, PROPN 
consists, VERB 
2, NUM 
t, NOUN 
+, SYM 
1, NUM 
>, SYM 
3, NUM 
cycles, NOUN 
Jf, PROPN 
sets, NOUN 

, SPACE 
KI, PROPN 
=, PUNCT 
C71*(1),711(2),7~1(3),7~1(4, PROPN 
Kz, PROPN 
=, PROPN 
~r~(1),71~(2),71~(3, PROPN 
hutle, VERB 
exactly, ADV 
com-, NOUN 

, SPACE 
mon, PROPN 
element, NOUN 
n, CCONJ 
4, NUM 
=, NOUN 
x2(1, PROPN 
D3, PROPN 
decomposed, VERB 
hamiltonian, ADJ 
cycles, NOUN 

, SPACE 
Proof, PROPN 
goal, NOUN 
edge, NOUN 
disjoint, NOUN 
color, NOUN 
switchings, NOUN 
D3, PROPN 
obtain, VERB 

, SPACE 
monochromatic, ADJ 
hamiltonian, ADJ 
cycles, NOUN 
loss, NOUN 
generality, NOUN 
assume, VERB 

, SPACE 
nl(i, PUNCT 
=, VERB 
p, NOUN 
4, NUM 
+, NUM 
i(modn, NOUN 
j7c2(2),n2(3)i, PROPN 
=, PROPN 
q, PROPN 
n, CCONJ 
4, NUM 
<, NOUN 
p, NOUN 
<, X 
4, NUM 
<, X 
n., NOUN 
Note, PROPN 

, SPACE 
jump, NOUN 
r, NOUN 
r, NOUN 
pseudo, NOUN 
cartesin, NOUN 
product, NOUN 
C, PROPN 
x, PROPN 
Cz, PROPN 
located, VERB 

, SPACE 
ad.jacent, ADJ 
columns, NOUN 
necessary, ADJ 
changes, NOUN 
view, VERB 

, SPACE 
HluF, PROPN 
=, PUNCT 
C, PROPN 
x, PROPN 
C2, PROPN 
C1, PROPN 
x1, PROPN 
>, X 
Cz, NOUN 
locate, VERB 
jump, NOUN 
rl, X 
ai, NOUN 
columns, NOUN 

, SPACE 
=, NOUN 
1, NUM 
n, CCONJ 
instead, ADV 
=, X 
p, NOUN 
4, NUM 
p, NOUN 
3, NUM 
Let, VERB 
t, NOUN 
=, PRON 
gcd(rI, PROPN 
m, PROPN 
Remark, PROPN 
2.3, NUM 
HI, PROPN 
consists, VERB 

, SPACE 
oft, ADJ 
blue, ADJ 
cycles, NOUN 
equal, ADJ 
length, NOUN 
t, NOUN 
consecutive, ADJ 
rows, NOUN 
HI, PROPN 
uF, PROPN 
=, PROPN 
C, PROPN 
x, PROPN 
Cz, PROPN 

, SPACE 
t, NOUN 
different, ADJ 
blue, ADJ 
cycles, NOUN 
t, NOUN 
=, SYM 
1, NUM 
H, PROPN 
hamiltonian, ADJ 
cycle, NOUN 
Theorem, PROPN 
2.15, NUM 

, SPACE 
H, PROPN 
uF, NUM 
=, PUNCT 
Cf, PROPN 
x, PROPN 
C2, PROPN 
decomposed, VERB 
hamiltonian, ADJ 
cycles, NOUN 
D3, PROPN 

, SPACE 
decomposed, VERB 
hamiltonian, ADJ 
cycles, NOUN 
assume, VERB 
t, PROPN 
>, X 
2, NUM 
claim, VERB 

, SPACE 
HI, PROPN 
uF, NUM 
making, VERB 
color, NOUN 
switchings, NOUN 
ai, NOUN 
columns, NOUN 
1, NUM 
<, NOUN 
j, NOUN 
d, NOUN 
4, NUM 

, SPACE 
color, NOUN 
switching, NOUN 
a,-column, PROPN 
a,-column, PROPN 
obtain, VERB 
blue, ADJ 

, SPACE 
hamiltonian, ADJ 
cycle, NOUN 
connect, VERB 
columns, NOUN 
single, ADJ 
red, ADJ 
cycle, NOUN 
fact, NOUN 

, SPACE 
t, PROPN 
3, NUM 
3, NUM 
claim, NOUN 
follows, VERB 
directly, ADV 
Lemmas, PROPN 
2.9, NUM 
2.10, NUM 
t, NOUN 
=, SYM 
2, NUM 
Fact, PROPN 
2.4, NUM 

, SPACE 
Lemma, PROPN 
2.11, NUM 
claim, NOUN 
follows, VERB 
making, VERB 
color, NOUN 
switchings, NOUN 
X, PROPN 
=, PROPN 
a,,u2,h, NOUN 
hzj, PROPN 

, SPACE 
X, PROPN 
=, PROPN 
~lZ>%hZ, NOUN 
>, X 
b3, PROPN 
X3, PROPN 
=, PROPN 
u3,u4, PROPN 
hI, PROPN 
h2, PROPN 
Suppose, VERB 
corres-, NOUN 

, SPACE 
ponding, VERB 
color, NOUN 
switchings, NOUN 
obtain, VERB 
claim, NOUN 
let, VERB 
2, NUM 
integer, NOUN 

, SPACE 
color, NOUN 
switching, NOUN 
u,-column, ADJ 
a,-column, NOUN 
u4, PROPN 
h, NOUN 
I,+, PROPN 

, SPACE 
color, NOUN 
switchings, NOUN 
Y, PROPN 
Y, PROPN 
L., PROPN 
Y, PROPN 
H, PROPN 
1, NUM 
u, NOUN 
F, PROPN 
=, PUNCT 
C, PROPN 
x, NOUN 
r, NOUN 
C2, PROPN 
defined, VERB 
follows, VERB 

, SPACE 
Y, PROPN 
Y, PROPN 
Y, PROPN 
defined, VERB 

, SPACE 
58, NUM 
C., PROPN 
Fan, PROPN 
et, PROPN 
al, PROPN 
/Discrete, PUNCT 
Mathematics, PROPN 
158, NUM 
1996j, NUM 
49, NUM 
62, NUM 

, SPACE 
yq-4, NOUN 
y,-3, NUM 
5, NUM 
Y, PROPN 
6, NUM 
defined, VERB 

, SPACE 
Yzi-1, PROPN 
=, NUM 
U, NOUN 
21, NUM 
+, NUM 
2+r9a2i+3+x, NUM 
b, NUM 
y-1, PROPN 
yj, PROPN 
b, PROPN 
aZi+2+x, PROPN 
a2i+3+x, PROPN 
by+l, NUM 
by+2, X 

, SPACE 
y2i, NOUN 
=, X 
ia2i+3+x, PROPN 
2r+4+x, NUM 
>, X 
by+, PROPN 

, SPACE 
x, SYM 
=, SYM 
1, NUM 
7r2(2, NUM 
>, X 
7c2(3, NUM 
i.e., X 
7c2(2, NUM 
=, VERB 
n, NOUN 
~~(3, PROPN 
=, PROPN 
q, PROPN 
x, SYM 
=, NOUN 
2, NUM 
~~(2, PROPN 
<, X 
~~(3, PROPN 

, SPACE 
i.e., X 
~~(2, PUNCT 
=, VERB 
q, NOUN 
~~(3, PROPN 
=, VERB 
n, CCONJ 
Fact, PROPN 
2.4, NUM 
follows, VERB 
