Local, ADJ 
Inspection, PROPN 
ACT, PROPN 
images, NOUN 
showed, VERB 
implants, NOUN 

, SPACE 
treated, VERB 
10-, PROPN 
Ag, PROPN 
dose, NOUN 
TGF-, NUM 
h2, PROPN 
typically, ADV 
zone, NOUN 

, SPACE 
mineralized, ADJ 
bone, NOUN 
peri, ADJ 
implant, ADJ 
region, NOUN 
lowerdose, NOUN 
control, NOUN 
groups, NOUN 
apparent, ADJ 
increase, NOUN 
bone(Fig, NOUN 
3, X 
Histology, PROPN 
showed, VERB 
typically, ADV 

, SPACE 
thin, ADJ 
layer, NOUN 
bone, NOUN 
formed, VERB 
HA, PROPN 
TCP, NOUN 
surfacewhether, NOUN 
implant, NOUN 
treated, VERB 
TGF-, PROPN 
h2, NOUN 

, SPACE 
Figs, PROPN 
4, NUM 
B, NOUN 
layer, NOUN 
5–10, PROPN 
thick, ADJ 

, SPACE 
aspects, NOUN 
implant, NOUN 
apparent, ADJ 

, SPACE 
connections, NOUN 
thin, ADJ 
layer, NOUN 
surroundingbone, NOUN 
10-, PROPN 
Ag, PROPN 
dose, NOUN 
group, NOUN 
addition, NOUN 
10-, NUM 

, SPACE 
Ag, PROPN 
dose, NOUN 
group, NOUN 
rim, NOUN 
bone, NOUN 
separated, VERB 

, SPACE 
implant, NOUN 
space, NOUN 
50–200, NUM 
wide, ADJ 

, SPACE 
filled, VERB 
apparent, ADJ 
unmineralized, ADJ 
osteoid, NOUN 
Figs, PROPN 
4, NUM 
C, PROPN 
D, PROPN 

, SPACE 
Fig, PROPN 
3, NUM 
Microcomputed, ADJ 
tomography, NOUN 
images, NOUN 
slice, NOUN 
3, NUM 
4, NUM 
weeks, NOUN 

, SPACE 
Control, PROPN 
implant, NOUN 
treated, VERB 
buffer, NOUN 
B, NOUN 
Implant, PROPN 
treated, VERB 
0.1, NUM 
Ag, PROPN 

, SPACE 
rhTGF-, X 
h2, PROPN 
C, NOUN 
Implant, PROPN 
treated, VERB 
1, NUM 
Ag, PROPN 
rhTGF-, ADJ 
h2, PROPN 
D, PROPN 
Implant, PROPN 
treated, VERB 

, SPACE 
10, NUM 
Ag, PROPN 
rhTGF-, ADJ 
h2, NOUN 
Note, VERB 
increased, VERB 
bone, NOUN 
formation, NOUN 
adjacent, ADJ 

, SPACE 
implant, NOUN 
treated, VERB 
highest, ADJ 
dose, NOUN 
growth, NOUN 
factor, NOUN 
Scale, NOUN 
bar, NOUN 
2, NUM 
mm, NUM 

, SPACE 
Fig, PROPN 
4, NUM 
Photomicrographs, NOUN 
bone, NOUN 
implant, ADJ 
interface, NOUN 
Control, PROPN 
implant, NOUN 
treated, VERB 
buffer, NOUN 
scale, NOUN 
bar, NOUN 
300, NUM 
B, NOUN 
enlarged, VERB 
region, NOUN 
panel, NOUN 
showing, VERB 

, SPACE 
thin, ADJ 
layer, NOUN 
bone, NOUN 
interface, NOUN 
arrow, NOUN 
scale, NOUN 
bar, NOUN 
100, NUM 
C, NOUN 
implant, NOUN 
treated, VERB 
10, NUM 
Ag, PROPN 
TGF-, X 
h2, NOUN 
showing, VERB 
gap, NOUN 
newly, ADV 
formed, VERB 
bone, NOUN 
implant, ADJ 

, SPACE 
asterisk, NOUN 
scale, NOUN 
bar, NOUN 
300, NUM 
D, NOUN 
enlarged, VERB 
region, NOUN 
panel, NOUN 
C, PROPN 
showing, VERB 
gap, NOUN 
region, NOUN 
occupied, VERB 
apparent, ADJ 
osteoid, NOUN 
scale, NOUN 
bar, NOUN 
100, NUM 
Am).A., NUM 
De, PROPN 
Ranieri, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
37, NUM 
2005, NUM 
55, NUM 
62, NUM 
58, NUM 

, SPACE 
quantitative, ADJ 
study, NOUN 
BV, PROPN 
TV, PROPN 
showed, VERB 
dose, NOUN 

, SPACE 
significant, ADJ 
factor, NOUN 
P, NOUN 
<, X 
0.001, NUM 
analysis, NOUN 
variance, NOUN 

, SPACE 
10-, PROPN 
Ag, PROPN 
group, NOUN 
having, AUX 
significantly, ADV 
elevated, VERB 
BV, PROPN 
TV, PROPN 

, SPACE 
compared, VERB 
groups, NOUN 
P, NOUN 
<, X 
0.001, NUM 
Fig, PROPN 
5, NUM 

, SPACE 
Similarly, ADV 
bone, NOUN 
implant, ADJ 
contact, NOUN 
varied, VERB 
function, NOUN 
dose(P, PROPN 
<, X 
0.001, NUM 
analysis, NOUN 
variance, NOUN 
10-, PROPN 
Ag, PROPN 
group, NOUN 

, SPACE 
having, AUX 
significantly, ADV 
elevated, VERB 
bone, NOUN 
implant, ADJ 
contact, NOUN 
com, NOUN 
pared, VERB 
groups, NOUN 
P, NOUN 
<, X 
0.01, NUM 
Fig, PROPN 
5, NUM 
B, NOUN 

, SPACE 
distribution, NOUN 
bone, NOUN 
varied, ADJ 
length, NOUN 

, SPACE 
implant, NOUN 
basic, ADJ 
patterns, NOUN 
control, NOUN 
group, NOUN 
BV, PROPN 
TV(which, PROPN 
measured, VERB 
sections, NOUN 
1, NUM 
4, NUM 

, SPACE 
highest, ADJ 
proximally, ADV 
followed, VERB 
drop, NOUN 
sections, NOUN 
2through, NUM 
4, NUM 
Fig, PROPN 
6, NUM 
panel, NOUN 
similar, ADJ 
pattern, NOUN 

, SPACE 
observed, VERB 
BV, PROPN 
TV, PROPN 
growth, NOUN 
factor, NOUN 
treated, VERB 
groupsexcept, ADJ 
10-, PROPN 
Ag, PROPN 
group, NOUN 
showed, VERB 
uniform, ADJ 

, SPACE 
distribution, NOUN 
BV, PROPN 
TV, PROPN 
sections, NOUN 
1, NUM 
4, NUM 
Fig, PROPN 
6, NUM 

, SPACE 
panel, NOUN 
observation, NOUN 
confirmed, VERB 
therepeated, VERB 
measures, NOUN 
analyses, NOUN 
variance, NOUN 
showed, VERB 

, SPACE 
significant, ADJ 
section, NOUN 
location, NOUN 
effects, NOUN 
BV, PROPN 
TV, PROPN 
0-, PROPN 

, SPACE 
Ag, PROPN 
0.1, NUM 
Ag, PROPN 
1.0-, NUM 
Ag, PROPN 
groups, NOUN 
P, NOUN 
<, X 
0.001, NUM 
group, NOUN 

, SPACE 
10-, PROPN 
Ag, PROPN 
group, NOUN 
P=, PROPN 
0.456, NUM 
Bone, NOUN 
implant, ADJ 

, SPACE 
contact, NOUN 
measured, VERB 
7, NUM 
sections, NOUN 
examined, VERB 
byACT, PROPN 
highest, ADJ 
proximally, ADV 
section, NOUN 
1, NUM 
distally, ADV 

, SPACE 
section, NOUN 
7, NUM 
control, NOUN 
group, NOUN 
contact, NOUN 
towardthe, PROPN 
middle, NOUN 
implant, ADJ 
Fig, PROPN 
6, NUM 
B, PROPN 
panel, NOUN 

, SPACE 
distribution, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 
similar, ADJ 

, SPACE 
treatment, NOUN 
groups, NOUN 
10-, PROPN 
Ag, PROPN 
treatment, NOUN 
group, NOUN 

, SPACE 
uniform, ADJ 
distribution, NOUN 
bone, NOUN 
implant, ADJ 
contact(Fig, NOUN 
6, NUM 
B, PROPN 
panel, NOUN 
Statistically, ADV 
significant, ADJ 

, SPACE 
subjects, NOUN 
section, NOUN 
effect, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 
forthe, PRON 
0, NUM 
Ag, PROPN 
0.1, NUM 
Ag, PROPN 
1.0-, NUM 
Ag, PROPN 
groups, NOUN 
P, NOUN 
<, X 
0.001, NUM 

, SPACE 
10-, PROPN 
Ag, PROPN 
group, NOUN 
P=, NOUN 
0.097, NUM 

, SPACE 
mechanical, ADJ 
pullout, NOUN 
results, NOUN 
showed, VERB 
non, ADJ 
significant, ADJ 

, SPACE 
dose, NOUN 
dependent, ADJ 
trend, NOUN 
elevated, ADJ 
strength, NOUN 
Fig, PROPN 
5, NUM 
C;P=, NUM 

, SPACE 
0.480, NUM 
analysis, NOUN 
variance, NOUN 
values, NOUN 

, SPACE 
1.0, NUM 
Ag, PROPN 
group, NOUN 
low, ADJ 
compared, VERB 
cases, NOUN 

, SPACE 
group, NOUN 
0.15, NUM 
MPa, NOUN 
vs., ADP 
range, NOUN 
1.17–2.32, NUM 
theother, NOUN 
cases, NOUN 
case, NOUN 
eliminated, VERB 
outlier, NOUN 
thenthis, DET 
group, NOUN 
highest, ADJ 
implant, ADJ 
strength, NOUN 
fixation(1.87, NOUN 
T0.45, ADP 
vs., ADP 
1.69, NUM 
T0.61, NOUN 
MPa, NOUN 
10-, PROPN 
Ag, PROPN 
group, NOUN 

, SPACE 
1.22, NUM 
T0.42, NOUN 
MPa, NOUN 
control, NOUN 
group, NOUN 
statisti-, PROPN 

, SPACE 
cally, ADV 
significant, ADJ 
dose, ADJ 
effect, NOUN 
P=, NOUN 

, SPACE 
0.132, NUM 
analysis, NOUN 
variance, NOUN 
baseline, NOUN 
strength, NOUN 

, SPACE 
fixation, NOUN 
strength, NOUN 
0, NUM 
MPa, NOUN 
9, NUM 
10, NUM 
bonesimplanted, VERB 
ex, NOUN 
vivo, NOUN 
0.02, NUM 
MPa, NOUN 
theother, NOUN 
bone, NOUN 

, SPACE 
Implant, ADJ 
fixation, NOUN 
strength, NOUN 
dependent, ADJ 
BV, PROPN 
TV, PROPN 

, SPACE 
bone, NOUN 
implant, ADJ 
contact, NOUN 
multiple, ADJ 
regression, NOUN 
modelin, NOUN 
BV, PROPN 
TV, PROPN 
sections, NOUN 
measured, VERB 
andbone, ADJ 
implant, ADJ 
contact, NOUN 
7, NUM 
sections, NOUN 
measured, VERB 

, SPACE 
allowed, VERB 
enter, VERB 
equation, NOUN 
model, NOUN 
involving, VERB 
bone-, ADJ 

, SPACE 
implant, ADJ 
contact, NOUN 
sections, NOUN 
3, NUM 
7, NUM 
BV, PROPN 
TV, PROPN 
section, NOUN 
1was, AUX 
found, VERB 
account, VERB 
52, NUM 
variance, NOUN 
implantfixation, NOUN 
strength, NOUN 
P, NOUN 
<, X 
0.001, NUM 
Table, NOUN 
1, NUM 
strongest, ADJ 

, SPACE 
bivariate, NOUN 
correlation, NOUN 
strength, NOUN 
bone, NOUN 
implantcontact, NOUN 
section, NOUN 
3, NUM 
r=, NOUN 
0.547, NUM 
P=, PROPN 
0.002, NUM 
implying, VERB 

, SPACE 
variable, NOUN 
accounted, VERB 
nearly, ADV 
30, NUM 
variancein, NOUN 
implant, ADJ 
fixation, NOUN 
strength, NOUN 

, SPACE 
Discussion, PROPN 

, SPACE 
present, ADJ 
study, NOUN 
demonstrated, VERB 
treatment, NOUN 

, SPACE 
implant, NOUN 
10, NUM 
Ag, PROPN 
TGF-, NUM 
h2, NOUN 
resulted, VERB 
enhanced, VERB 
peri-, NOUN 

, SPACE 
implant, ADJ 
bone, NOUN 
volume, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 
ratmodel, NOUN 
Lower, ADJ 
doses, NOUN 
1, NUM 
Ag, PROPN 
0.1, NUM 
Ag, PROPN 
effective, ADJ 

, SPACE 
Fig, PROPN 
5, NUM 
Bone, NOUN 
volume, NOUN 
tissue, NOUN 
volume, NOUN 
BV, PROPN 
TV, PROPN 
region, NOUN 

, SPACE 
implant, ADJ 
endocortical, ADJ 
surface, NOUN 
increased, VERB 
function, NOUN 
dose, NOUN 
P, NOUN 
<, X 

, SPACE 
0.001, NUM 
way, NOUN 
ANOV, PROPN 
group, NOUN 
different, ADJ 
group(P, PROPN 
<, X 
0.001, NUM 
B, NOUN 
Bone, NOUN 
implant, ADJ 
contact, NOUN 
increased, VERB 
function, NOUN 
dose, NOUN 
P, NOUN 
<, X 

, SPACE 
0.001, NUM 
way, NOUN 
ANOV, PROPN 
group, NOUN 
different, ADJ 
group, NOUN 
P, NOUN 
<, X 

, SPACE 
0.01, NUM 
C, PROPN 
Strength, PROPN 
fixation, NOUN 
implant, NOUN 
tended, VERB 
increase, VERB 
dose, NOUN 
effect, NOUN 
statistically, ADV 
significant, ADJ 
Note, VERB 
graphs, NOUN 
means, NOUN 
standard, ADJ 
deviations, NOUN 
plotted, VERB 
A., NOUN 
De, PROPN 
Ranieri, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
37, NUM 
2005, NUM 
55, NUM 
62, NUM 
59, NUM 

, SPACE 
trend, NOUN 
increased, VERB 
mechanical, ADJ 

, SPACE 
fixation, NOUN 
implant, NOUN 
slight, ADJ 
dose, NOUN 
dependency, NOUN 

, SPACE 
morphologic, ADJ 
findings, NOUN 
consistent, ADJ 
previous, ADJ 

, SPACE 
work, NOUN 
canine, NOUN 
models, NOUN 
TGF-, NUM 
h1, NOUN 
TGF-, PROPN 

, SPACE 
h2, PROPN 
applied, VERB 
implant, NOUN 
led, VERB 
increased, VERB 
bone, NOUN 
formation[1–3,18,20,21, NOUN 
Experiments, NOUN 
enhancement, NOUN 
peri-, NOUN 

, SPACE 
implant, ADJ 
bone, NOUN 
formation, NOUN 
intramembranous, ADJ 
repair, NOUN 
withTGF, ADP 
hin, PRON 
species, NOUN 
common, ADJ 
negative, ADJ 

, SPACE 
findings, NOUN 
reported, VERB 
sheep, NOUN 
22]and, NUM 
rats, NOUN 
16, NUM 
Positive, ADJ 
results, NOUN 

, SPACE 
fracture, ADJ 
healing, NOUN 
endochondral, ADJ 
repair, NOUN 
following, VERB 
release, NOUN 

, SPACE 
Fig, PROPN 
6, NUM 
Distribution, NOUN 
bone, NOUN 
volume, NOUN 
total, ADJ 
volume, NOUN 
BV, PROPN 
TV, PROPN 
B, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 
function, NOUN 
section, NOUN 
location, NOUN 
experimental, ADJ 
dos, NOUN 
e., PROPN 
Note, PROPN 

, SPACE 
graphs, NOUN 
means, NOUN 
standard, ADJ 
deviations, NOUN 
plotted, VERB 
A., NOUN 
De, PROPN 
Ranieri, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
37, NUM 
2005, NUM 
55, NUM 
62, NUM 
60, NUM 

, SPACE 
TGF-, NUM 
hfrom, ADP 
medullary, NOUN 
implant, NOUN 
reported, VERB 

, SPACE 
rats, NOUN 
23, NUM 
dose, ADJ 
range, NOUN 
sheep, NOUN 
study, NOUN 
22, NUM 

, SPACE 
overlapped, VERB 
effective, ADJ 
doses, NOUN 
canine, NOUN 
studiesso, NOUN 
clear, ADJ 
benefit, NOUN 
found, VERB 
sheepstudy, NOUN 
maximum, NOUN 
dose, NOUN 
rat, NOUN 
study, NOUN 
16, NUM 

, SPACE 
1Ag, NUM 
consideration, NOUN 
findings, NOUN 

, SPACE 
present, ADJ 
study, NOUN 
simply, ADV 
low, ADJ 
elicit, VERB 

, SPACE 
morphologic, NOUN 
mechanical, ADJ 
effect, NOUN 

, SPACE 
limitation, NOUN 
rat, PROPN 
model, NOUN 
present, ADJ 
study, NOUN 

, SPACE 
magnitude, NOUN 
anabolic, ADJ 
effect, NOUN 
appears, VERB 
lowerthan, ADJ 
found, VERB 
canines, NOUN 
mechanical, ADJ 
endpoint, NOUN 
ofimplant, ADJ 
fixation, NOUN 
strength, NOUN 
fixation, NOUN 
strength, NOUN 
theimplant, NOUN 
10-, PROPN 
Ag, PROPN 
group, NOUN 
non, ADJ 
significant, ADJ 
39, NUM 

, SPACE 
higher, ADJ 
control, NOUN 
group, NOUN 
present, ADJ 
experiment, NOUN 
Incontrast, PROPN 
canine, NOUN 
model, NOUN 
implant, ADJ 
fixation, NOUN 
strength, NOUN 

, SPACE 
increased, VERB 
3, NUM 
fold, ADJ 
following, VERB 
growth, NOUN 
factor, NOUN 

, SPACE 
treatment, NOUN 
3, NUM 
consistent, ADJ 
2-, NUM 
4, NUM 
fold, ADJ 
increases, NOUN 
BV/, PROPN 

, SPACE 
TV, NOUN 
gap, NOUN 
canine, NOUN 
models, NOUN 
1,3,18, NUM 
Interestingly, ADV 

, SPACE 
BV, PROPN 
TV, PROPN 
10-, PROPN 
Ag, PROPN 
group, NOUN 
present, ADJ 
study, NOUN 

, SPACE 
2, NUM 
fold, VERB 
greater, ADJ 
control, NOUN 
value, NOUN 
consistent, ADJ 
withfindings, NOUN 
gap, NOUN 
region, NOUN 
canine, NOUN 
models, NOUN 

, SPACE 
propose, VERB 
differences, NOUN 
bone, NOUN 
implant, ADJ 
geometry, NOUN 

, SPACE 
rat, NOUN 
canine, NOUN 
models, NOUN 
account, VERB 
different, ADJ 

, SPACE 
mechanical, ADJ 
responses, NOUN 
species, NOUN 
rat, NOUN 
model, NOUN 

, SPACE 
likely, ADJ 
degree, NOUN 
mechanical, ADJ 
fixation, NOUN 
occursproximally, ADV 
distally, ADV 
regardless, ADV 
treatment, NOUN 
ofthe, DET 
proximity, NOUN 
implant, NOUN 
host, NOUN 
bone, NOUN 
theselocations, NOUN 
baseline, ADJ 
mechanical, ADJ 
fixation, NOUN 
nil, ADJ 
close, ADJ 
proximity, NOUN 
implant, NOUN 
hostbone, NOUN 
account, VERB 
finding, NOUN 
higher, ADJ 
bone, NOUN 
implantcontact, NOUN 
sections, NOUN 
present, ADJ 
study, NOUN 
previous, ADJ 

, SPACE 
studies, NOUN 
laboratory, NOUN 
midpoint, NOUN 

, SPACE 
implant, ADJ 
14,15, X 
Furthermore, ADV 
previous, ADJ 
studies, NOUN 

, SPACE 
bone, NOUN 
implant, ADJ 
contact, NOUN 
proximal, ADJ 
anddistal, ADJ 
sections, NOUN 
predictive, ADJ 
implant, ADJ 
fixation, NOUN 
strength[14,15, VERB 
contrast, NOUN 
present, ADJ 
study, NOUN 
bone, NOUN 

, SPACE 
regeneration, NOUN 
enhanced, VERB 
bone, NOUN 
implant, ADJ 
contact, NOUN 
section3, PROPN 
midpoint, NOUN 
implant, ADJ 
variable, NOUN 
enterthe, VERB 
regression, NOUN 
model, NOUN 
predicting, VERB 
implant, ADJ 
fixation, NOUN 
strength, NOUN 

, SPACE 
canine, NOUN 
model, NOUN 
greater, ADJ 
absolute, ADJ 
size, NOUN 
bone, NOUN 
allows, VERB 

, SPACE 
creation, NOUN 
controlled, VERB 
defect, NOUN 
meaning, VERB 
proximity, NOUN 
tohost, NUM 
bone, NOUN 
low, ADJ 
treatment, NOUN 
inducedincreases, NOUN 
implant, ADJ 
fixation, NOUN 
strength, NOUN 
greater, ADJ 

, SPACE 
rat, NOUN 
model, NOUN 
anatomy, NOUN 
rat, PROPN 
model, NOUN 
involvingsome, ADJ 
degree, NOUN 
inherent, ADJ 
proximal, ADJ 
distal, ADJ 
implantproximity, NOUN 
host, NOUN 
bone, NOUN 
limits, VERB 
extent, NOUN 
magnitudeof, ADJ 
increase, NOUN 
achievable, ADJ 
mechanical, ADJ 
endpoints, NOUN 
Anothercontributing, VERB 
factor, NOUN 
limiting, VERB 
sensitivity, NOUN 
mechanicalmeasurements, NOUN 
presence, NOUN 
HA, PROPN 
TCPcoating, VERB 
implant, ADJ 
carrier, NOUN 
growth, NOUN 
factor, NOUN 

, SPACE 
Calcium, NOUN 
phosphate, ADJ 
coatings, NOUN 
known, VERB 
enhance, VERB 
implant, ADJ 

, SPACE 
fixation, NOUN 
24,25, NUM 
HA, PROPN 
TCP, PROPN 
coating, VERB 
present, ADJ 

, SPACE 
study, NOUN 
found, VERB 
enhance, VERB 
mechanical, ADJ 
fixation, NOUN 
50%compared, NUM 
non, ADJ 
HA, ADJ 
TCP, PROPN 
treated, VERB 
implants, NOUN 
rat, NOUN 
model(unpublished, PROPN 
data, NOUN 

, SPACE 
data, NOUN 
present, ADJ 
study, NOUN 
useful, ADJ 

, SPACE 
design, NOUN 
future, ADJ 
studies, NOUN 
instance, NOUN 
39, NUM 
differ, NOUN 
ence, NOUN 
implant, ADJ 
fixation, NOUN 
strength, NOUN 
control, NOUN 
group, NOUN 

, SPACE 
10, NUM 
Ag, PROPN 
treatment, NOUN 
group, NOUN 
significant, ADJ 
given, VERB 

, SPACE 
relatively, ADV 
high, ADJ 
variance, NOUN 
measurement, NOUN 
sample, NOUN 
sizeof, NOUN 
20, NUM 
group, NOUN 
needed, VERB 
assuming, VERB 
a=, NOUN 
0.05, NUM 
b=, VERB 

, SPACE 
0.80, NUM 
26, NUM 
calculation, NOUN 
data, NOUN 

, SPACE 
1.0-, NUM 
Ag, PROPN 
group, NOUN 
outlier, NOUN 
removed, VERB 
i.e., X 

, SPACE 
difference, NOUN 
group, NOUN 
controlgroup, NOUN 
53, NUM 
sample, NOUN 
size, NOUN 
9, NUM 
group, NOUN 
beneeded, VERB 
demonstrate, VERB 
effect, NOUN 
goal, NOUN 

, SPACE 
directly, ADV 
increase, NOUN 
mechanical, ADJ 
fixation, NOUN 
strength, NOUN 

, SPACE 
future, ADJ 
experiments, NOUN 
need, VERB 
designed, VERB 
greater, ADJ 
samplesizes, NOUN 

, SPACE 
Clearly, ADV 
use, NOUN 
morphological, ADJ 
data, NOUN 
case, NOUN 
BV/, PROPN 

, SPACE 
TV, NOUN 
bone, NOUN 
implant, ADJ 
contact, NOUN 
opposed, VERB 
mechanicaldata, NOUN 
permits, VERB 
discrimination, NOUN 
TGF-, NUM 
htreatment, NOUN 

, SPACE 
groups, NOUN 
rat, NOUN 
model, NOUN 
smaller, ADJ 
sample, NOUN 
sizes, NOUN 
thanrequired, VERB 
mechanical, ADJ 
endpoint, NOUN 
implant, ADJ 
fixation, NOUN 

, SPACE 
strength, NOUN 
possible, ADJ 
creating, VERB 
connections, NOUN 

, SPACE 
regenerating, VERB 
bone, NOUN 
host, NOUN 
bone, NOUN 
wouldlead, NOUN 
profound, ADJ 
mechanical, ADJ 
effect, NOUN 
giventhat, ADV 
approximately, ADV 
50, NUM 
variance, NOUN 
implant, ADJ 
fixationstrength, NOUN 
associated, VERB 
variance, NOUN 
bone, NOUN 
implantcontact, NOUN 
peri, ADJ 
implant, ADJ 
BV, PROPN 
TV, PROPN 
present, ADJ 
study, NOUN 
islikely, ADV 
use, NOUN 
TGF-, NUM 
hdid, PROPN 
mechanical, ADJ 
effect, NOUN 

, SPACE 
simply, ADV 
directly, ADV 
detectable, ADJ 

, SPACE 
vitro, X 
growth, NOUN 
factor, NOUN 
release, NOUN 
profile, NOUN 
found, VERB 

, SPACE 
present, ADJ 
study, NOUN 
consistent, ADJ 
previous, ADJ 
work, NOUN 
ourlaboratory, NOUN 
canine, NOUN 
implants, NOUN 
18, NUM 

, SPACE 
release, NOUN 
occurred, VERB 
rapidly, ADV 
essentially, ADV 
sustainedrelease, NOUN 
48, NUM 
h., NOUN 
rat, PROPN 
model, NOUN 
wasapproximately, ADV 
30, NUM 
cumulative, ADJ 
release, NOUN 
opposed, VERB 
toapproximately, ADV 
15, NUM 
cumulative, ADJ 
release, NOUN 
canine, NOUN 
model[18, PROPN 
assumes, VERB 
released, VERB 
TGF-, PRON 
responsible, ADJ 

, SPACE 
biological, ADJ 
activity, NOUN 
vitro, X 
release, NOUN 
profile, NOUN 

, SPACE 
characteristic, ADJ 
vivo, ADJ 
profile, NOUN 
TGF-, PROPN 
h, NOUN 
effect, NOUN 

, SPACE 
primarily, ADV 
early, ADJ 
phase, NOUN 
finding, NOUN 
thetranscription, NOUN 
profiles, NOUN 
inflammatory, ADJ 
marker, NOUN 
gene, NOUN 
cyclooxygenase-2, PROPN 
altered, VERB 
early, ADJ 
time, NOUN 
points, NOUN 
follow, VERB 
ing, NOUN 
TGF-, NUM 
htreatment, NOUN 
model, NOUN 
consistent, ADJ 

, SPACE 
interpretation, NOUN 
27, NUM 
Alternatively, ADV 
possible, ADJ 

, SPACE 
growth, NOUN 
factor, NOUN 
retained, VERB 
implant, NOUN 
causes, VERB 
theTable, ADJ 
1, NUM 

, SPACE 
Results, NOUN 
step, NOUN 
wise, ADJ 
multiple, ADJ 
regression, NOUN 
predicting, VERB 
implantfixation, NOUN 
strength, NOUN 

, SPACE 
Model, PROPN 
variables, NOUN 

, SPACE 
entered)Adjusted, VERB 
r, NOUN 

, SPACE 
2Significance, NOUN 

, SPACE 
change, NOUN 
r2Overall, PROPN 

, SPACE 
significance, NOUN 

, SPACE 
Bone, NOUN 
implant, ADJ 

, SPACE 
contact, NOUN 
section, NOUN 
30.270, NUM 
0.004, NUM 
0.004, NUM 

, SPACE 
Bone, NOUN 
implant, ADJ 

, SPACE 
contact, NOUN 
section, NOUN 
30.434, NUM 
0.010, NUM 
0.001, NUM 

, SPACE 
BV, PROPN 
TV, PROPN 
section, NOUN 
1, NUM 

, SPACE 
Bone, NOUN 
implant, ADJ 

, SPACE 
contact, NOUN 
section, NOUN 
30.515, NUM 
0.038, NUM 
<, X 
0.001, NUM 

, SPACE 
BV, PROPN 
TV, PROPN 
section, NOUN 
1, NUM 

, SPACE 
Bone, NOUN 
implant, ADJ 
contact, NOUN 
section, NOUN 
7A., NUM 
De, PROPN 
Ranieri, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
37, NUM 
2005, NUM 
55, NUM 
62, NUM 
61, NUM 

, SPACE 
enhancement, NOUN 
bone, NOUN 
formation, NOUN 
implying, VERB 
anabolic, NOUN 

, SPACE 
stimulus, NOUN 
available, ADJ 
prolonged, VERB 
time, NOUN 
frame, NOUN 

, SPACE 
cascade, NOUN 
morphological, ADJ 
events, NOUN 
following, VERB 
marrow, NOUN 

, SPACE 
ablation, NOUN 
defined, VERB 
5–9, NUM 
rat, NOUN 
femoral, ADJ 
implant, ADJ 

, SPACE 
model, NOUN 
basic, ADJ 
regenerative, ADJ 
cycle, NOUN 
similar, ADJ 
marrowablation, NOUN 
model, NOUN 
surgical, ADJ 
injury, NOUN 
induces, VERB 
medullarybone, NOUN 
formation, NOUN 
14, NUM 
days, NOUN 
followed, VERB 
period, NOUN 
ofbone, NOUN 
remodeling, NOUN 
medullary, NOUN 
bone, NOUN 

, SPACE 
removed, VERB 
bone, NOUN 
left, VERB 
contact, NOUN 

, SPACE 
implant, ADJ 
11,14, NUM 
present, ADJ 
study, NOUN 
relatively, ADV 
large, ADJ 

, SPACE 
volume, NOUN 
peri, ADJ 
implant, ADJ 
bone, NOUN 
present, ADJ 
28, NUM 
days, NOUN 
inthe, NOUN 
10-, NUM 
Ag, PROPN 
TGF-, PRON 
hgroup, NOUN 
compared, VERB 
control, NOUN 
group, NOUN 

, SPACE 
previous, ADJ 
rat, NOUN 
implant, ADJ 
studies, NOUN 
11,14, NUM 
likely, ADJ 
mecha-, ADJ 

, SPACE 
nism, NOUN 
action, NOUN 
inferred, VERB 
recent, ADJ 
study, NOUN 
thesame, ADJ 
model, NOUN 
found, VERB 
application, NOUN 
TGF-, NUM 
h2, PROPN 

, SPACE 
implant, NOUN 
led, VERB 
regulation, NOUN 
gene, NOUN 
expression, NOUN 

, SPACE 
markers, NOUN 
bone, NOUN 
formation, NOUN 
days, NOUN 
7, NUM 
14, NUM 
collagen, NOUN 

, SPACE 
type, NOUN 
osteocalcin, PROPN 
alkaline, NOUN 
phosphatase, NOUN 
osteonectin, NOUN 
osteopontin, ADJ 
core, ADJ 
binding, VERB 
factor, NOUN 
1, NUM 
latesuppression, NOUN 
markers, NOUN 
associated, VERB 
bone, NOUN 
remodel, NOUN 
ing, PROPN 
tumor, NOUN 
necrosis, NOUN 
factor, NOUN 
alpha, NOUN 
cyclooxygenase-2)[27, PROPN 
likely, ADJ 
10-, PROPN 
Ag, PROPN 
TGF-, NUM 
hdose, NOUN 
stimulated, VERB 

, SPACE 
bone, NOUN 
formation, NOUN 
altering, VERB 
bone, NOUN 
resorption, NOUN 
resulting, VERB 
inprolonged, ADJ 
persistence, NOUN 
peri, ADJ 
implant, ADJ 
bone, NOUN 
volume, NOUN 

, SPACE 
