\T.U, NUM 
defects, NOUN 
oxygen, NOUN 

, SPACE 
vacancies, NOUN 
LiNbO, NOUN 
crystals, NOUN 
known, VERB 
lead, VERB 
strong, ADJ 

, SPACE 
absorption, NOUN 
visible, ADJ 
similar, ADJ 
absorption, NOUN 
ob-, PRON 

, SPACE 
served, VERB 
PLD, PROPN 
films, NOUN 
deposited, VERB 
vacuum, NOUN 

, SPACE 
notably, ADV 
reduced, VERB 
films, NOUN 
annealed, VERB 
oxy-, ADJ 

, SPACE 
gen, PROPN 
environment, NOUN 
25, NUM 

, SPACE 
presence, NOUN 
oxygen, NOUN 
atmosphere, NOUN 

, SPACE 
demonstrated, VERB 
far, ADV 
necessary, ADJ 
produce, VERB 
low, ADJ 
absorbing, NOUN 

, SPACE 
C.N., PROPN 
Afonso, PROPN 
J., PROPN 
Gonzalo, PROPN 
/Nucl, PUNCT 
Insir, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
I16, PROPN 
1996, NUM 
404, NUM 
409, NUM 
407, NUM 

, SPACE 
PI, PROPN 
Pi1, PROPN 
cl, PROPN 

, SPACE 
Bi, PROPN 
Sr, PROPN 
Cu, PROPN 
O, INTJ 
LiNbO, PROPN 

, SPACE 
Fig, PROPN 
5, NUM 
Relative, ADJ 
oxygen, NOUN 
content, NOUN 
Ol/[N,,,l, NUM 
UN, PROPN 
=, PUNCT 
Bil+, PUNCT 
Sri, PROPN 

, SPACE 
+, CCONJ 
+, PUNCT 
Cu, X 
b, X 
O]/[Ca, X 
c, NOUN 
O]/[Bi, X 
ratios, NOUN 
films, NOUN 
grown, VERB 

, SPACE 
laser, NOUN 
ablation, NOUN 
Bi, PROPN 
Sr, PROPN 
Cu, PROPN 
Os, INTJ 
target, VERB 
vacuum, NOUN 

, SPACE 
argon, PROPN 
oxygen, NOUN 
pressures, NOUN 
10, NUM 
r, NOUN 
mbar, NOUN 
30, NUM 
Relative, ADJ 
oxygen, NOUN 

, SPACE 
content, NOUN 
d, X 
Ol/[N,,,l, NUM 
=, X 
Li]+, X 
Nb, X 
e, NOUN 
Ol/[Lil, NUM 
f, PROPN 

, SPACE 
O]/[Nb, NOUN 
ratios, NOUN 
films, NOUN 
grown, VERB 
laser, NOUN 
ablation, NOUN 
single, ADJ 
crystal, NOUN 

, SPACE 
LiNbO, NOUN 
target, NOUN 
vacuum, NOUN 
oxygen, NOUN 
pressure, NOUN 
6X, PROPN 
IO-, PROPN 

, SPACE 
mbar, NOUN 
28, NUM 

, SPACE 
oxide, NOUN 
films, NOUN 
question, NOUN 
arises, VERB 

, SPACE 
atmosphere, NOUN 
necessarily, ADV 
oxygen, VERB 

, SPACE 
gas, NOUN 
Fig, PROPN 
5a, PROPN 
shows, VERB 
oxygen, NOUN 
cations, NOUN 
ratio, NOUN 
measured, VERB 

, SPACE 
films, NOUN 
grown, VERB 
vacuum, NOUN 
presence, NOUN 
inert, ADJ 
argon, PROPN 

, SPACE 
reactive, NOUN 
oxygen, NOUN 
gas, NOUN 
environments, NOUN 
ablation, NOUN 

, SPACE 
Bi, PROPN 
Sr, PROPN 
Cu, PROPN 
O, INTJ 
target, NOUN 
301, NUM 
oxygen, NOUN 
content, NOUN 

, SPACE 
films, NOUN 
observed, VERB 
increase, VERB 
presence, NOUN 
gas, NOUN 

, SPACE 
environment, NOUN 
matter, NOUN 
inert, ADJ 
reactive, ADJ 
character, NOUN 

, SPACE 
producing, VERB 
composition, NOUN 
changes, NOUN 
case, NOUN 

, SPACE 
argon, NOUN 
pressure, NOUN 
oxygen, NOUN 
incorporated, VERB 

, SPACE 
atmosphere, NOUN 
results, NOUN 
suggest, VERB 
processes, NOUN 
occur-, X 

, SPACE 
ring, NOUN 
gas, NOUN 
phase, NOUN 
deposition, NOUN 
crucial, ADJ 

, SPACE 
determining, VERB 
film, NOUN 
composition, NOUN 
reactions, NOUN 
be-, ADP 

, SPACE 
tween, VERB 
foreign, ADJ 
gas, NOUN 
ablated, ADJ 
species, NOUN 
ruled, VERB 

, SPACE 
case, NOUN 
inert, ADJ 
argon, PROPN 
environment, NOUN 

, SPACE 
scattering, NOUN 
ablated, VERB 
species, NOUN 
gas, NOUN 
species, NOUN 

, SPACE 
prior, ADV 
deposition, NOUN 
i.e., X 
collisional, ADJ 
processes, NOUN 

, SPACE 
responsible, ADJ 
increase, NOUN 
oxygen, NOUN 
content, NOUN 
observed, VERB 

, SPACE 
Fig, PROPN 
5a, PROPN 
films, NOUN 
grown, VERB 
presence, NOUN 
gas, NOUN 

, SPACE 
pressure, NOUN 
Furthermore, ADV 
scattering, VERB 
effects, NOUN 
found, VERB 

, SPACE 
depend, VERB 
critically, ADV 
mass, NOUN 
collisional, PROPN 
cross, NOUN 
section, NOUN 

, SPACE 
different, ADJ 
elements, NOUN 
forming, VERB 
target, NOUN 
discussed, VERB 

, SPACE 
30,31, X 
illustrate, VERB 
Figs, PROPN 
5b, PROPN 
5c, NUM 

, SPACE 
oxygen, NOUN 
Bi, PROPN 
ratios, NOUN 
lightest, ADJ 

, SPACE 
heaviest, ADJ 
elements, NOUN 
target, NOUN 
clearly, ADV 
seen, VERB 
ratios, NOUN 
follow, VERB 
similar, ADJ 
trends, NOUN 
increase, NOUN 

, SPACE 
oxygen, NOUN 
content, NOUN 
respect, NOUN 
light, ADJ 
element, NOUN 

, SPACE 
higher, ADJ 
respect, NOUN 
heavy, ADJ 
element, NOUN 

, SPACE 
ablation, NOUN 
performed, VERB 
gas, NOUN 
pressure, NOUN 
Light, NOUN 
species, NOUN 

, SPACE 
high, ADJ 
collisional, ADJ 
cross, NOUN 
section, NOUN 
like, SCONJ 
suffer, VERB 
significant, ADJ 

, SPACE 
deviations, NOUN 
plasma, NOUN 
expansion, NOUN 
heavy, ADJ 

, SPACE 
species, NOUN 
like, ADP 
Bi, PROPN 
suffer, VERB 
little, ADJ 
deviation, NOUN 
increase, NOUN 
ob-, NOUN 

, SPACE 
served, VERB 
oxygen, NOUN 
ratio, NOUN 
gas, NOUN 
environment, NOUN 

, SPACE 
mainly, ADV 
related, VERB 
decrease, NOUN 
number, NOUN 

, SPACE 
species, NOUN 
reaching, VERB 
target, NOUN 
scattering, VERB 
processes, NOUN 

, SPACE 
Figs, PROPN 
.5d-5f, PROPN 
ratios, NOUN 
measured, VERB 
PLD, PROPN 
films, NOUN 

, SPACE 
grown, VERB 
vacuum, NOUN 
oxygen, NOUN 
ablation, NOUN 
LiNbO, PROPN 

, SPACE 
target, NOUN 
28, NUM 
result, NOUN 
obtained, VERB 
riamely, ADV 

, SPACE 
oxygen, NOUN 
light, VERB 
element, NOUN 
Li, PROPN 
ratio, NOUN 
increases, VERB 
sharply, ADV 

, SPACE 
ablation, NOUN 
occurs, VERB 
oxygen, NOUN 
pressure, NOUN 
oxygen, NOUN 

, SPACE 
heavy, ADJ 
element, NOUN 
@lb, PROPN 
ratio, NOUN 
case, NOUN 
tends, VERB 

, SPACE 
decrease, VERB 

, SPACE 
mechanisms, NOUN 
proposed, VERB 
litera-, ADJ 

, SPACE 
ture, NOUN 
explain, VERB 
composition, NOUN 
deviations, NOUN 
observed, VERB 

, SPACE 
PLD, PROPN 
presence, NOUN 
foreign, ADJ 
gas, NOUN 
preferential, ADJ 

, SPACE 
evaporation, NOUN 
volatile, ADJ 
component, NOUN 
sub-, PROPN 

, SPACE 
strate, NOUN 
35, NUM 
sputtering, ADJ 
components, NOUN 

, SPACE 
substrate, NOUN 
36,37, X 
scattering, VERB 
processes, NOUN 
tak-, ADP 

, SPACE 
ing, ADJ 
place, NOUN 
prior, ADV 
deposition, NOUN 
described, VERB 

, SPACE 
mechanisms, NOUN 
involve, VERB 
ejection, NOUN 
species, NOUN 

, SPACE 
growing, VERB 
film, NOUN 
referred, VERB 
emis-, NOUN 

, SPACE 
sion, NOUN 
processes, NOUN 
order, NOUN 
analyze, VERB 
emission, NOUN 

, SPACE 
S, PROPN 
SR, PROPN 
SG, PROPN 

, SPACE 
Fig, PROPN 
6, NUM 
Substrate, NOUN 
configuration, NOUN 
study, VERB 
role, NOUN 
emission, NOUN 

, SPACE 
b, X 
scattering, VERB 
processes, NOUN 
tbe, NOUN 
film, NOUN 
composition, NOUN 
S, PROPN 

, SPACE 
substrate, NOUN 
tbe, NOUN 
standard, ADJ 
configuration, NOUN 
facing, VERB 
tbe, NOUN 
target, NOUN 
T, NOUN 

, SPACE 
SR, PROPN 
SG, PROPN 
non, ADJ 
facing, ADJ 
substrates, NOUN 
Total, ADJ 
number, NOUN 
atoms, NOUN 

, SPACE 
deposited, VERB 
facing, VERB 
S, PROPN 
non, ADJ 
facing, ADJ 
SR, PROPN 
SG, PROPN 
substrates, VERB 

, SPACE 
ablation, NOUN 
Bi, PROPN 
Sr, PROPN 
C+O, PROPN 
target, NOUN 
c, NOUN 
vacuum, NOUN 
d, X 

, SPACE 
10, NUM 
l, NOUN 
mbar, NOUN 
oxygen, NOUN 
e, PROPN 
10, NUM 
l, NOUN 
mbar, NOUN 
argon, PROPN 
31,38, NUM 

, SPACE 
408, NUM 
CiV., NOUN 
Afonso, PROPN 
.I., PROPN 
Gonzalo, PROPN 
Nucl, PROPN 
Instr, PROPN 
ana, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
404, NUM 
409, NUM 

, SPACE 
scattering, VERB 
processes, NOUN 
dominant, ADJ 
mechanism, NOUN 
ex-, NOUN 

, SPACE 
periment, NOUN 
second, ADJ 
substrate, NOUN 
SR, PROPN 
located, VERB 

, SPACE 
chamber, NOUN 
facing, VERB 
growing, VERB 
film, NOUN 
substrate, NOUN 
S, PROPN 
per-, X 

, SPACE 
formed, VERB 
Fig, PROPN 
6a, NUM 
material, NOUN 
reaching, VERB 
substrate, NOUN 
SR, PROPN 

, SPACE 
produced, VERB 
emission, NOUN 
substrate, NOUN 
S, PROPN 

, SPACE 
result, NOUN 
scattering, VERB 
processes, NOUN 
produced, VERB 
gas, NOUN 
species, NOUN 

, SPACE 
facing, NOUN 
substrate, NOUN 
S, PROPN 
removed, VERB 
material, NOUN 
de-, AUX 

, SPACE 
posited, VERB 
non, ADJ 
facing, ADJ 
substrate, NOUN 
SG, PROPN 
Fig, PROPN 
6b, NUM 

, SPACE 
produced, VERB 
process, NOUN 
number, NOUN 
de-, PROPN 

, SPACE 
posited, VERB 
atoms, NOUN 
substrate, NOUN 
facing, VERB 
target, NOUN 
S, PROPN 

, SPACE 
non, ADJ 
facing, ADJ 
substrate, NOUN 
emission, NOUN 
SR, PROPN 
scattering, VERB 

, SPACE 
SG, PROPN 
configurations, NOUN 
shown, VERB 
Figs, PROPN 
6c-6e, NOUN 
films, NOUN 

, SPACE 
deposited, VERB 
vacuum, NOUN 
oxygen, NOUN 
argon, NOUN 
pressures, NOUN 
3, NUM 
1,381, NUM 

, SPACE 
clearly, ADV 
seen, VERB 
little, ADJ 
deposition, NOUN 
occurs, VERB 

, SPACE 
vacuum, NOUN 
non, ADJ 
facing, ADJ 
substrates, NOUN 
proving, VERB 

, SPACE 
emission, NOUN 
scattering, VERB 
effects, NOUN 
nearly, ADV 
negligible, ADJ 

, SPACE 
results, NOUN 
emission, ADJ 
effects, NOUN 
affect, VERB 

, SPACE 
3, NUM 
total, ADJ 
number, NOUN 
atoms, NOUN 
deposited, VERB 
material, NOUN 

, SPACE 
gas, NOUN 
present, ADJ 
dramatic, ADJ 
increase, NOUN 

, SPACE 
material, NOUN 
deposited, VERB 
non, ADJ 
facing, ADJ 
sub-, NOUN 

, SPACE 
strates, NOUN 
occurs, VERB 
increase, NOUN 
higher, ADJ 

, SPACE 
facing, VERB 
substrate, NOUN 
S, PROPN 
removed, VERB 
SG, PROPN 
configuration, NOUN 

, SPACE 
gas, NOUN 
argon, NOUN 
results, NOUN 
clearly, ADV 
dominant, ADJ 

, SPACE 
composition, NOUN 
altering, NOUN 
mechanism, NOUN 
scattering, NOUN 

, SPACE 
ablated, VERB 
species, NOUN 
foreign, ADJ 
gas, NOUN 
species, NOUN 
mechanism, NOUN 

, SPACE 
important, ADJ 
lighter, ADJ 
species, NOUN 
31,38, NUM 

, SPACE 
6, X 
Summary, PROPN 

, SPACE 
Pulsed, VERB 
laser, NOUN 
deposition, NOUN 
produces, VERB 
films, NOUN 
high, ADJ 
den-, NOUN 

, SPACE 
sity, NOUN 
promising, ADJ 
technique, NOUN 

, SPACE 
produce, VERB 
oxide, NOUN 
films, NOUN 
linear, ADJ 
non, ADJ 
linear, ADJ 
optical, ADJ 

, SPACE 
applications, NOUN 
gas, NOUN 
environment, NOUN 
usually, ADV 
required, VERB 

, SPACE 
produce, VERB 
low, ADJ 
absorbing, NOUN 
films, NOUN 
introduce, VERB 

, SPACE 
undesired, ADJ 
deviations, NOUN 
composition, NOUN 
and/or, CCONJ 
homo-, NOUN 

, SPACE 
geneity, NOUN 
films, NOUN 
mainly, ADV 
scattering, NOUN 

, SPACE 
ablated, VERB 
species, NOUN 
foreign, ADJ 
gas, NOUN 
species, NOUN 
prior, ADV 
deposi-, ADJ 

, SPACE 
tion, NOUN 
experimental, ADJ 
conditions, NOUN 

, SPACE 
carefully, ADV 
determined, ADJ 
particular, ADJ 
material, NOUN 
order, NOUN 

, SPACE 
achieve, VERB 
desired, VERB 
properties, NOUN 

, SPACE 
Acknowledgements, NOUN 

, SPACE 
work, NOUN 
partially, ADV 
supported, VERB 
CICYT, PROPN 

, SPACE 
Spain, PROPN 
TIC93, PROPN 
0125, NUM 
project, NOUN 
EC, PROPN 

, SPACE 
Science, PROPN 
project, NOUN 

, SPACE 
References, NOUN 

, SPACE 
ll, AUX 
D., PROPN 
Dijkkamp, PROPN 
T., PROPN 
Venkatessan, PROPN 
X.D., PROPN 
Wu, PROPN 
S.A., PROPN 
Shasheen, PROPN 
N., PROPN 

, SPACE 
Jisrawi, PROPN 
Y.H., PROPN 
Min, PROPN 
lee, PROPN 
W.L., PROPN 
McLean, PROPN 
M., PROPN 
Croft, PROPN 
Appl, PROPN 

, SPACE 
Phys, PROPN 
Lett, PROPN 
51, NUM 
1987, NUM 
619, NUM 

, SPACE 
2, X 
X.D., PROPN 
Wu, PROPN 
D., PROPN 
Dijkkamp, PROPN 
S.B., PROPN 
Ogale, PROPN 
A., NOUN 
Inam, PROPN 
E.W., PROPN 
Chase, PROPN 
131, NUM 

, SPACE 
141, NUM 

, SPACE 
51, NUM 

, SPACE 
Kl, PROPN 

, SPACE 
71, NUM 

, SPACE 
81, NUM 

, SPACE 
91, NUM 

, SPACE 
t101, PROPN 

, SPACE 
1111, NUM 

, SPACE 
121, NUM 

, SPACE 
131, NUM 

, SPACE 
141, NUM 

, SPACE 
151, NUM 

, SPACE 
b61, NOUN 

, SPACE 
171, NUM 

, SPACE 
ISI, PROPN 
P.F., PROPN 
Miceli, PROPN 
CC, PROPN 
Chang, PROPN 
J.M., PROPN 
Tarascon, PROPN 
T., PROPN 
Venkatessan, PROPN 

, SPACE 
Appl, PROPN 
Phys, NOUN 
Lett, PROPN 
51, NUM 
1987, NUM 
861, NUM 

, SPACE 
G.K., PROPN 
Hubler, PROPN 
Pulsed, VERB 
Laser, PROPN 
Deposition, PROPN 
Thin, PROPN 
Films, PROPN 
eds, NOUN 

, SPACE 
D.B., PROPN 
Chrisey, PROPN 
G.K., PROPN 
Hubler, PROPN 
Wiley, PROPN 
New, PROPN 
York, PROPN 
1994, NUM 

, SPACE 
Chap, PROPN 
13, NUM 

, SPACE 
K.L., PROPN 
Saenger, PROPN 
Proc, PROPN 
Adv, PROPN 
Materials, NOUN 
2, NUM 
1993, NUM 
1, NUM 

, SPACE 
D.B., PROPN 
Geohegan, PROPN 
Thin, PROPN 
Solid, PROPN 
Films, PROPN 
220, NUM 
1992, NUM 
138, NUM 

, SPACE 
Y.B., PROPN 
Zel’dovich, PROPN 
Y.P., PROPN 
Raizer, PROPN 
Physics, PROPN 
Shock, PROPN 

, SPACE 
Waves, PROPN 
High, ADJ 
Temperature, PROPN 
Hydrodynamic, PROPN 
Phenomena, PROPN 

, SPACE 
Vol, PROPN 
1, NUM 
Academic, PROPN 
Press, PROPN 
New, PROPN 
York, PROPN 
1966, NUM 
p., NOUN 
94, NUM 

, SPACE 
P.E., PROPN 
Dyer, PROPN 
A., PROPN 
Issa, PROPN 
P.H., PROPN 
Key, PROPN 
Appl, PROPN 
Phys, NOUN 
Lett, PROPN 
57, NUM 
1990, NUM 

, SPACE 
186, NUM 

, SPACE 
W.K.A., PROPN 
Kumuduni, PROPN 
Y., PROPN 
Nakayama, PROPN 
Y., PROPN 
Nakata, PROPN 
T., PROPN 
Okada, PROPN 

, SPACE 
M., PROPN 
Maeda, PROPN 
J., PROPN 
Appl, PROPN 
Phys, PROPN 
74, NUM 
1993, NUM 
75, NUM 
10, NUM 

, SPACE 
P.E., PROPN 
Dyer, PROPN 
A., PROPN 
Issa, PROPN 
P.H., PROPN 
Key, PROPN 
Appl, PROPN 
Surf, PROPN 
Sci, PROPN 
46, NUM 
1990, NUM 

, SPACE 
89, NUM 

, SPACE 
L.I., PROPN 
Maissel, PROPN 
R., PROPN 
Glang, PROPN 
eds, PROPN 
Handbook, PROPN 
Thin, PROPN 
Film, PROPN 

, SPACE 
Technology, PROPN 
McGraw, PROPN 
Hill, PROPN 
New, PROPN 
York, PROPN 
1983, NUM 

, SPACE 
L.C., PROPN 
Chen, PROPN 
Pulsed, VERB 
Laser, PROPN 
Deposition, PROPN 
Thin, PROPN 
Films, PROPN 
eds, PROPN 

, SPACE 
D.B., PROPN 
Chrisey, PROPN 
G.K., PROPN 
Hubler, PROPN 
Wiley, PROPN 
New, PROPN 
York, PROPN 
1994, NUM 

, SPACE 
Chap, PROPN 
6, NUM 

, SPACE 
D., PROPN 
Lubben, PROPN 
S.A., PROPN 
Barnett, PROPN 
K., PROPN 
Suzuki, PROPN 
S., PROPN 
Gorbatkin, PROPN 
J.E., PROPN 

, SPACE 
Greene, PROPN 
J., PROPN 
Vat, PROPN 
Sci, PROPN 
Technol, PROPN 
B, NOUN 
3, NUM 
1985, NUM 
968, NUM 

, SPACE 
D.B., PROPN 
Chrisey, PROPN 
G.K., PROPN 
Hubler, PROPN 
eds, PROPN 
Pulsed, VERB 
Laser, PROPN 
Deposi-, PROPN 

, SPACE 
tion, NOUN 
Thin, PROPN 
Films, PROPN 
Wiley, PROPN 
New, PROPN 
York, PROPN 
1994, NUM 

, SPACE 
J.T., PROPN 
Cheung, PROPN 
H., PROPN 
Sankur, PROPN 
T., PROPN 
Chang, PROPN 
Optics, PROPN 
Photonics, PROPN 

, SPACE 
News, PROPN 
3, NUM 
1992, NUM 
24, NUM 

, SPACE 
H., PROPN 
Sankur, PROPN 
Thin, PROPN 
Solid, PROPN 
Films, PROPN 
218, NUM 
1992, NUM 
161, NUM 

, SPACE 
C.N., PROPN 
Afonso, PROPN 
Insulating, VERB 
Materials, PROPN 
Optoelectronics, PROPN 

, SPACE 
New, PROPN 
Developments, PROPN 
ed, PROPN 
F., PROPN 
Agull&L6pez, PROPN 
Weld, PROPN 
Scientific, PROPN 

, SPACE 
1995, NUM 
Chap, PROPN 
1, X 

, SPACE 
W., PROPN 
Jo, PROPN 
H.-J., PROPN 
Cho, PROPN 
T.W., PROPN 
Noh, PROPN 
B.I., PROPN 
Kim, PROPN 
D.Y., PROPN 
Kim, PROPN 
Z.G., PROPN 
Kim, PROPN 

, SPACE 
S.-Y., PROPN 
Kwun, PROPN 
Appl, PROPN 
Phys, NOUN 
Lett, PROPN 
63, NUM 
1993, NUM 
2198, NUM 

, SPACE 
W., PROPN 
Jo, PROPN 
G.-C., PROPN 
Yi, PROPN 
T.W., PROPN 
Noh, PROPN 
D.-K., PROPN 
Ko, PROPN 
Y.S., PROPN 
Cho, PROPN 
S.-I., ADJ 

, SPACE 
Kwun, PROPN 
Appl, PROPN 
Phys, NOUN 
Lett, PROPN 
61, NUM 
1992, NUM 
1516, NUM 

, SPACE 
S., PROPN 
Yihnaz, PROPN 
R., PROPN 
Gerhard, PROPN 
Multhaupt, PROPN 
W.A., PROPN 
Bomrer, PROPN 
D.M., PROPN 

, SPACE 
Hwang, PROPN 
A., NOUN 
Inam, PROPN 
J.A., PROPN 
Martinez, PROPN 
T.S., PROPN 
Ravi, PROPN 
T., PROPN 
Sands, PROPN 
B.J., PROPN 

, SPACE 
Wilkens, PROPN 
X.D., PROPN 
Wu, PROPN 
T., PROPN 
Venkatesan, PROPN 
J., PROPN 
Mater, PROPN 
Res, PROPN 
9, NUM 

, SPACE 
1994, NUM 
1272, NUM 

, SPACE 
19, NUM 
F., PROPN 
Xiong, PROPN 
M., PROPN 
Hagerman, PROPN 
H., PROPN 
Zhou, PROPN 
V., PROPN 
Kozhevnikov, PROPN 
G.K., PROPN 

, SPACE 
Wong, PROPN 
K., PROPN 
Poeppelmeier, PROPN 
J.B., PROPN 
Ketterson, PROPN 
R.P.H., PROPN 
Chang, PROPN 

, SPACE 
C.W., PROPN 
White, PROPN 
J., PROPN 
Vat, PROPN 
Sci, PROPN 
Technol, PROPN 
12, NUM 
1994, NUM 
1446, NUM 

, SPACE 
201, NUM 
M., PROPN 
Haruna, PROPN 
J., PROPN 
Tsutsumi, PROPN 
Y., PROPN 
Segawa, PROPN 
H., PROPN 
Nishihara, PROPN 
Proc, PROPN 

, SPACE 
SPIE, PROPN 
2045, NUM 
1994, NUM 
133, NUM 

, SPACE 
211, NUM 
D.H., PROPN 
Reitze, PROPN 
E., PROPN 
Haton, PROPN 
R., PROPN 
Ramexh, PROPN 
S., PROPN 
Etemad, PROPN 
D.E., PROPN 
Leaini, PROPN 

, SPACE 
T., PROPN 
Sands, PROPN 
2, NUM 
Karim, PROPN 
A.R., PROPN 
Tanguay, PROPN 
Jr., PROPN 
Appl, PROPN 
Phys, NOUN 
Lett, PROPN 

, SPACE 
63, NUM 
1993, NUM 
596, NUM 

, SPACE 
22, NUM 
S., PROPN 
Ohtsuka, PROPN 
K., PROPN 
Tsunemoto, PROPN 
H., PROPN 
Nagata, PROPN 
S., PROPN 
Tanaka, PROPN 
Appl, PROPN 

, SPACE 
Phys, PROPN 
Lett, PROPN 
61, NUM 
1992, NUM 
2953, NUM 

, SPACE 
S., PROPN 
Ohtsuka, PROPN 
K., PROPN 
Tsunemoto, PROPN 
T., PROPN 
Koyama, PROPN 
S., PROPN 
Tanaka, PROPN 
Opt, PROPN 

, SPACE 
Materials, NOUN 
2, NUM 
1993, NUM 
209, NUM 

, SPACE 
1231, NUM 
C.N., PROPN 
Afonso, PROPN 
J.M., PROPN 
Ballesteros, PROPN 
J., PROPN 
Gonzalo, PROPN 
G.C., PROPN 
Righini, PROPN 

, SPACE 
S., PROPN 
Pelli, PROPN 
Appl, PROPN 
Surf, PROPN 
Sci, PROPN 
press, NOUN 

, SPACE 
1241, NUM 
R., PROPN 
Sema, PROPN 
J.M., PROPN 
Ballesteros, PROPN 
C.N., PROPN 
Afonso, PROPN 
A., PROPN 
Zschocke, PROPN 

, SPACE 
published, VERB 

, SPACE 
25, NUM 
C.N., PROPN 
Afonso, PROPN 
F., PROPN 
Vega, PROPN 
J., PROPN 
Gonzalo, PROPN 
C., PROPN 
Zaldo, PROPN 
Appl, PROPN 
Surf, PROPN 

, SPACE 
Sci, PROPN 
69, NUM 
1993, NUM 
149, NUM 

, SPACE 
26, NUM 
J.C.G., PROPN 
de, PROPN 
Sande, PROPN 
C.N., PROPN 
Afonso, PROPN 
J.L., PROPN 
Escudero, PROPN 
R., PROPN 
Sema, PROPN 
F., PROPN 

, SPACE 
Catalina, PROPN 
E., PROPN 
Bemabeu, PROPN 
Appl, PROPN 
Optics, NOUN 
31, NUM 
1992, NUM 
6133, NUM 

, SPACE 
27, NUM 
F., PROPN 
Vega, PROPN 
J.C.G., PROPN 
de, PROPN 
Sande, PROPN 
C.N., PROPN 
Afonso, PROPN 
C., PROPN 
Ortega, PROPN 
J., PROPN 

, SPACE 
Siejka, PROPN 
Appl, PROPN 
Optics, NOUN 
33, NUM 
1994, NUM 
1203, NUM 

, SPACE 
C.N., PROPN 
Afonso, PROPN 
.I., PROPN 
Gonzalo, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, NOUN 
I6, PROPN 
1996, NUM 
404, NUM 
409, NUM 
409, NUM 

, SPACE 
28, NUM 
C.N., PROPN 
Afonso, PROPN 
J., PROPN 
Gonzalo, PROPN 
F., PROPN 
Vega, PROPN 
E., PROPN 
Dieguez, PROPN 
J.C., PROPN 
Cheang-, PROPN 

, SPACE 
Wong, PROPN 
C., PROPN 
Ortega, PROPN 
J., PROPN 
Siejka, PROPN 
G., PROPN 
Amsel, PROPN 
Appl, PROPN 
Phys, NOUN 
Lett, PROPN 

, SPACE 
66, NUM 
1995, NUM 
1452, NUM 

, SPACE 
29, NUM 
C.N., PROPN 
Afonso, PROPN 
F., PROPN 
Vega, PROPN 
J., PROPN 
Solis, PROPN 
F., PROPN 
Catalina, PROPN 
C., PROPN 
Ortega, PROPN 
J., PROPN 

, SPACE 
Siejka, PROPN 
Appl, PROPN 
Surf, PROPN 
Sci, PROPN 
54, NUM 
1992, NUM 
175, NUM 

, SPACE 
30, NUM 
J., PROPN 
Gonzalo, PROPN 
C.N., PROPN 
Afonso, PROPN 
F., PROPN 
Vega, PROPN 
D., PROPN 
Martinez, PROPN 
Garcia, PROPN 
J., PROPN 

, SPACE 
Peniere, PROPN 
Appl, PROPN 
Surf, PROPN 
Sci, PROPN 
86, NUM 
1995, NUM 
40, NUM 

, SPACE 
31, NUM 
J., PROPN 
Gonzalo, PROPN 
C.N., PROPN 
Afonso, PROPN 
J., PROPN 
Perriere, PROPN 
Appl, PROPN 
Phys, NOUN 
Lett, PROPN 
67, NUM 

, SPACE 
1995, NUM 
1325, NUM 

, SPACE 
32, NUM 
J.E., PROPN 
Yehoda, PROPN 
B., PROPN 
Yang, PROPN 
K., PROPN 
Vedam, PROPN 
R., PROPN 
Messier, PROPN 
J., PROPN 
Vat, PROPN 

, SPACE 
Sci, PROPN 
Technol, PROPN 
6, NUM 
1988, NUM 
1631, NUM 
33, X 
L., PROPN 
Pasajova, PROPN 
Czech, PROPN 
J., PROPN 
Phys, PROPN 
B, PROPN 
19, NUM 
1969, NUM 
1265, NUM 

, SPACE 
34, NUM 
P.J., PROPN 
Wolf, PROPN 
T.M., PROPN 
Christensen, PROPN 
N.G., PROPN 
Coit, PROPN 
R.W., PROPN 
Swinford, PROPN 

, SPACE 
J., PROPN 
Vat, PROPN 
Sci, PROPN 
Teclmol, PROPN 
11, NUM 
1993, NUM 
2725, NUM 

, SPACE 
35, NUM 
D., PROPN 
Roy, PROPN 
S.B., PROPN 
Krupanidhi, PROPN 
J., PROPN 
Mater, PROPN 
Res, PROPN 
7, NUM 
1992, NUM 
2521, NUM 

, SPACE 
1361, NUM 
E., PROPN 
van, PROPN 
de, X 
Riet, PROPN 
J.C.S., PROPN 
Kools, PROPN 
J., PROPN 
Dieleman, PROPN 
J., PROPN 
Appt, PROPN 
Phys, PROPN 

, SPACE 
73, NUM 
1993, NUM 
8290, NUM 

, SPACE 
37, NUM 
S.K., PROPN 
Hau, PROPN 
K.H., PROPN 
Wong, PROPN 
P.W., PROPN 
Chan, PROPN 
