oFOUr, NUM 
, SPACE 
evaporated, VERB 
vacua, NOUN 
residue, NOUN 
extracted, VERB 

, SPACE 
repeatedly, ADV 
20, NUM 
ml, NOUN 
hexane, NOUN 
brown, ADJ 
solid, ADJ 

, SPACE 
3, NUM 
saturated, ADJ 
solution, NOUN 
solid, ADJ 
dissolved, VERB 

, SPACE 
toluene, NOUN 
brown, ADJ 
solution, NOUN 
Crystalline, PROPN 
3, NUM 

, SPACE 
obtained, VERB 
saturated, ADJ 
toluene, NOUN 
solution, NOUN 
cooling, VERB 

, SPACE 
Yield, NOUN 
brown, ADJ 
crystalline, NOUN 
product, NOUN 
0.47, NUM 
g, NOUN 
93, NUM 

, SPACE 
Rec, VERB 
~, PUNCT 
stall;zation, NOUN 
50, NUM 
ml, NOUN 
hexane, NOUN 
afforded, VERB 
metal-, NOUN 

, SPACE 
lie, NOUN 
blue, ADJ 
crystals, NOUN 
soluble, ADJ 
hexane, NOUN 

, SPACE 
toluene, NOUN 
brown, ADJ 
solutions, NOUN 

, SPACE 
MS, PROPN 
130, NUM 
°, NUM 
C, NOUN 
~, NOUN 
e, PROPN 
507, NUM 
M+, NUM 
4.5, NUM 
386(21, NUM 

, SPACE 
371(2, PROPN 
290(100, NUM 
179(8, NUM 
168(11, NUM 
167(10, NUM 
166(13, NUM 
165(6, NUM 
164(7, NUM 
83(8, PROPN 
73(4, PROPN 
23(Na+, NUM 
12, NUM 
Elemental, NOUN 

, SPACE 
analysis, NOUN 
507.2406, NUM 
error, NOUN 
-4.7, NOUN 
X, NOUN 
10-, NUM 
~, PUNCT 

, SPACE 
C28H44SizTiNa, NOUN 
386.1901, NUM 
error, NOUN 
-0.8, NUM 
×, PROPN 
10, NUM 
-3, PUNCT 

, SPACE 
C,3H34SiTi, PROPN 
IR, PROPN 
toluene, PROPN 
cm, PROPN 
1945, NUM 
vs, ADP 
1935, NUM 
vs, ADP 

, SPACE 
2.4.3, NUM 
rlS, NOUN 
Cs, ADJ 
HMe~, NUM 
zTi(rl'-C-, PROPN 
SiMe~, PROPN 
z, PROPN 
l, NOUN 
IK, PROPN 
+, PROPN 
l, NOUN 
4, NUM 

, SPACE 
3, NUM 
h, NOUN 
reaction, NOUN 
time, NOUN 
solution, NOUN 
separated, VERB 

, SPACE 
potassium, NOUN 
metal, NOUN 
evaporated, VERB 
vacua, NOUN 

, SPACE 
residue, NOUN 
extracted, VERB 
20, NUM 
ml, NOUN 
hexane, NOUN 

, SPACE 
extract, NOUN 
separated, VERB 
discarded, VERB 
residue, NOUN 

, SPACE 
extracted, VERB 
toluene, NOUN 
brown, ADJ 
solution, NOUN 

, SPACE 
saturated, VERB 
toluene, NOUN 
solution, NOUN 
yielded, VERB 
brown, ADJ 
crystals, NOUN 
4, NUM 

, SPACE 
cooling, VERB 
refrigerator, NOUN 
overnight, ADV 
Yield, VERB 
0.44, NUM 
g, NOUN 

, SPACE 
85, NUM 
Occasionally, ADV 
blue, ADJ 
crystals, NOUN 
obtained, VERB 

, SPACE 
dissolved, VERB 
toluene, NOUN 
brown, ADJ 
solution, NOUN 

, SPACE 
MS, PROPN 
190, NUM 
°, NUM 
(2, PROPN 
m, PROPN 
e, PROPN 
523, NUM 
M, NOUN 
1.2, NUM 
386(19, NUM 

, SPACE 
371(2, PROPN 
290(100, NUM 
179(7, NUM 
168(11, NUM 
167(9, NUM 
166(13, NUM 

, SPACE 
165(6, PROPN 
164(7, NUM 
83(13, NUM 
73(5, NUM 
39(K+, PROPN 
17, NUM 
IR, PROPN 
toluene, PROPN 

, SPACE 
cm, PROPN 
1944, NUM 
vs, ADV 
1937, NUM 
vs, ADV 
EDAX, VERB 
Ka, PROPN 
approxi-, NOUN 

, SPACE 
mate, NOUN 
ratio, NOUN 
Ti, NOUN 
K, PROPN 
I., PROPN 

, SPACE 
2.4.4, PROPN 
vlS, NOUN 
Cs, ADJ 
HMe4, NUM 
2Ti(rl'-C=, NUM 
SiMe, PROPN 
~, PUNCT 
z, X 
-[Cs, X 
+, CCONJ 
5, NUM 

, SPACE 
1, NUM 
h, NOUN 
reaction, NOUN 
time, NOUN 
large, ADJ 
black, ADJ 

, SPACE 
sediment, NOUN 
formed, VERB 
system, NOUN 
light, ADJ 
brown, ADJ 

, SPACE 
solution, NOUN 
poured, VERB 
away, ADV 
sediment, NOUN 

, SPACE 
discarded, VERB 
sediment, NOUN 
repeatedly, ADV 
extracted, VERB 
30, NUM 

, SPACE 
ml, NOUN 
toluene, NOUN 
light, ADJ 
brown, ADJ 
colour, NOUN 
extracts, NOUN 

, SPACE 
faded, VERB 
soluble, ADJ 
material, NOUN 
obtained, VERB 
sediment, NOUN 

, SPACE 
dissolved, VERB 
hot, ADJ 
toluene, NOUN 
slowly, ADV 
cooled, VERB 

, SPACE 
room, NOUN 
temperature, NOUN 
Grey, NOUN 
needles, NOUN 
metallic, ADJ 
appearance, NOUN 

, SPACE 
obtained, VERB 
yield, NOUN 
0.24, NUM 
g, NOUN 
40, NUM 

, SPACE 
MS, PROPN 
22&C, NUM 
~, NOUN 
e, PROPN 
617, NUM 
M+, NUM 
386(19, NUM 

, SPACE 
290(100, NUM 
179(6, NUM 
168(13, NUM 
167(13, NUM 
166(16, NUM 
65(8, X 

, SPACE 
164(10, NUM 
133(Cs+, NUM 
52, NUM 
83(56, NUM 
73(11, NUM 
IR, PROPN 
toluene, PROPN 

, SPACE 
cm-, PROPN 
J, PROPN 
1948, NUM 
s, X 

, SPACE 
Infrared, PROPN 
spectra, PROPN 
2, NUM 
5, NUM 
region, NOUN 

, SPACE 
v(CmC, PROPN 
vibrations, NOUN 
virtually, ADV 
identical, ADJ 

, SPACE 
2.5, X 
Preparation, PROPN 
I(vls, PROPN 
CsHMe4)2TifviI.C, NOUN 
=, NOUN 
CSi, ADJ 

, SPACE 
Mej)zI, PROPN 
IMfTHF),i, PROPN 
+, PUNCT 
1t4, PROPN 
Li, PROPN 
Na, PROPN 
K, PROPN 
CS, PROPN 
n, NOUN 
<, PROPN 
2, NUM 
2a-, NUM 

, SPACE 
5a, PROPN 
alkali, ADJ 
metals, NOUN 
THF, PROPN 

, SPACE 
reactions, NOUN 
alkali, ADJ 
metals, NOUN 
carried, VERB 

, SPACE 
way, NOUN 
described, VERB 
toluene, NOUN 

, SPACE 
replaced, VERB 
vacuum, NOUN 
line, NOUN 
THF, PROPN 
reaction, NOUN 

, SPACE 
generally, ADV 
completed, VERB 
shorter, ADJ 
times, NOUN 
e.g., ADV 
Li, PROPN 

, SPACE 
day, NOUN 
workup, NOUN 
began, VERB 
evaporating, VERB 
THF, PROPN 

, SPACE 
vacua, PROPN 
extracting, VERB 
residue, NOUN 
hexane, NOUN 

, SPACE 
2.5.1, NOUN 
~lS, NUM 
CsHMe4)2Ti(rll, NOUN 
C---, NOUN 
CSiMe~)z, NOUN 
l-, X 
Li, PROPN 

, SPACE 
THF, PROPN 
+, CCONJ 
n, CCONJ 
<, X 
2, NUM 
2a, PROPN 

, SPACE 
Compound, PROPN 
2a, PROPN 
obtained, VERB 
fine, ADJ 
brownish, ADJ 
green, ADJ 

, SPACE 
crystals, NOUN 
cooling, VERB 
saturated, ADJ 
hexane, NOUN 
solution, NOUN 

, SPACE 
10, NUM 
°, NUM 
C, NOUN 
days, NOUN 
Yield, VERB 
0.48, NUM 
g, NOUN 
76, NUM 
n, CCONJ 
=, SYM 
2, NUM 

, SPACE 
EPR, PROPN 
UV, NOUN 
Vis, PROPN 
THF, PROPN 
Table, NOUN 
1, NUM 
2, NUM 

, SPACE 
MTHF, PROPN 
MS, PROPN 
direct, ADJ 
inlet, NOUN 
50, NUM 
90, NUM 
°, NUM 
C, NOUN 
evolution, NOUN 
THF, PROPN 


, SPACE 
V., PROPN 
Vavga, PROPN 
el, PROPN 
al./, ADV 
Jowrmal, PROPN 
OrRanometallic, PROPN 
Ckemtstry, PROPN 
514, NUM 
1996, NUM 
219, NUM 
226, NUM 

, SPACE 
m, PROPN 
e, PROPN 
72, NUM 
71, NUM 
42, NUM 
90, NUM 
120, NUM 
°, NUM 
C, NOUN 
MS, PROPN 
identical, NOUN 

, SPACE 
Z, PROPN 
IR, PROPN 
hexane, NOUN 
cm, PROPN 
-I, PROPN 
identical, ADJ 
2, NUM 

, SPACE 
1948, NUM 
sh, PROPN 
1941, NUM 
vs, ADV 
p(CmC, PROPN 
1040, NUM 
m, PROPN 

, SPACE 
coordinated, VERB 
TEIF, NOUN 
toluene, ADJ 
solution, NOUN 
band, NOUN 
free, ADJ 

, SPACE 
1060, NUM 
cm-, ADV 
probably, ADV 
interfered, VERB 
band, NOUN 

, SPACE 
coordinated, VERB 
THF, PROPN 
times, NOUN 
repeated, VERB 
dissolution, NOUN 

, SPACE 
2a, PROPN 
toluene, NOUN 
evaporation, NOUN 
solvent, NOUN 
vacuo, PROPN 

, SPACE 
afforded, VERB 
2, NUM 

, SPACE 
products, NOUN 
obtained, VERB 
metals, NOUN 

, SPACE 
losing, VERB 
coordinated, VERB 
THF, PROPN 
easily, ADV 
Compound, PROPN 
3a, PROPN 

, SPACE 
contained, VERB 
~, PUNCT 
evaporation, NOUN 
solvents, NOUN 
vacuo, PROPN 

, SPACE 
extract, NOUN 
hexane, NOUN 
showed, VERB 
IR, PROPN 
absorption, NOUN 
bands, NOUN 

, SPACE 
coordinated, VERB 
1053, NUM 
cm, NOUN 
-I, PROPN 
free, ADJ 
1075, NUM 
cm, NOUN 
-j, PUNCT 

, SPACE 
THF, PROPN 
comparable, ADJ 
intensifies, NOUN 
evaporating, VERB 

, SPACE 
solvent, NOUN 
dissolving, VERB 
residue, NOUN 
toluene, NOUN 

, SPACE 
weak, ADJ 
absorption, NOUN 
band, NOUN 
free, ADJ 
THF, PROPN 
observed, VERB 
Evap-, NUM 

, SPACE 
oration, NOUN 
solvent, NOUN 
afforded, VERB 
3, NUM 
coordi-, NOUN 

, SPACE 
nated, VERB 
THF, PROPN 
wa~, PROPN 
evolved, VERB 
4a, PROPN 
Sa, PROPN 
evacuation, NOUN 

, SPACE 
subsequent, ADJ 
washing, NOUN 
remainders, NOUN 
hexane, NOUN 

, SPACE 
afforded, VERB 
4, NUM 
$, SYM 
yields, NOUN 
compounds, NOUN 
2, NUM 
5, NUM 
pre-, NOUN 

, SPACE 
pared, VERB 
2a-$a, NUM 
differ, VERB 
yields, NOUN 
obtained, VERB 

, SPACE 
toluene, NOUN 
Reversely, ADV 
compounds, VERB 
2a, PROPN 
Sa, PROPN 
obtained, VERB 

, SPACE 
dissolving, VERB 
2, NUM 
5, NUM 
THF, PROPN 
EPR, NOUN 
UV, NOUN 
vis, X 

, SPACE 
spectra, NOUN 
given, VERB 
Table, PROPN 
listed, VERB 
MTHF, PROPN 

, SPACE 
solven0, NOUN 

, SPACE 
2.6, X 
Preparation, NOUN 
2, NUM 
C, NOUN 
~, NOUN 
HMe4)zTiCI, PROPN 

, SPACE 
LiC, PROPN 
m, VERB 
C$, SYM 
iMe, NUM 

, SPACE 
solution, NOUN 
BuLi, PROPN 
hexane, NOUN 
I.6, PROPN 
M, PROPN 
1.3, NUM 
ml, PROPN 

, SPACE 
added, VERB 
CsHMe4)2TiCi, NOUN 
2, NUM 
0.65, NUM 
g, PROPN 
2, NUM 
mmol, NOUN 
30, NUM 
ml, NOUN 

, SPACE 
toluene, NOUN 
mixture, NOUN 
warmed, VERB 
50, NUM 
°, NUM 
C, NOUN 

, SPACE 
blue, ADJ 
solution, NOUN 
BuLl, PROPN 
hexane, NOUN 
I,6, PROPN 
M, PROPN 
2,5, NUM 
ml, NOUN 

, SPACE 
mixed, ADJ 
tHmethylsilylethyne, PROPN 
0.6, NUM 
ml, NOUN 
4, NUM 
retool, NOUN 

, SPACE 
toluene, NOUN 
60, NUM 
ml, NOUN 
mixture, NOUN 
stirred, VERB 
overnight, ADV 

, SPACE 
blue, ADJ 
reaction, NOUN 
mixture, NOUN 
containing, VERB 
CsHMe4)2TiCI, PROPN 

, SPACE 
added, VERB 
yellow, ADJ 
slurry, NOUN 
containing, VERB 
LiC, PROPN 
CSiMes, PROPN 

, SPACE 
mixture, NOUN 
stirred, VERB 
2, NUM 
h, NOUN 
ambient, ADJ 
tempera-, ADJ 

, SPACE 
ture, NOUN 
solvents, NOUN 
evaporated, VERB 
vacuo, PROPN 

, SPACE 
residue, NOUN 
worked, VERB 
Yield, NOUN 
crystalline, NOUN 
2, NUM 

, SPACE 
0.41, NUM 
g, NOUN 
85, NUM 

, SPACE 
2.7, NUM 
X.ray, PROPN 
crystal, PROPN 
structure, NOUN 
analysis, NOUN 
4, NUM 

, SPACE 
dark, ADJ 
brown, ADJ 
crystal, NOUN 
fragment, NOUN 
0.6, NUM 
x, SYM 
0.5, NUM 
x, SYM 
0.4, NUM 
mm, NOUN 
3, NUM 

, SPACE 
mounted, VERB 
glass, NOUN 
capillary, NOUN 
purifi, PROPN 
nitrogen, NOUN 

, SPACE 
glovebox, NOUN 
Braun, PROPN 
sealed, VERB 
wax, NOUN 

, SPACE 
X, NOUN 
ray, NOUN 
measurements, NOUN 
carried, VERB 
Phillips, PROPN 
PW, PROPN 

, SPACE 
II00, PROPN 
circle, NOUN 
diffractometer, NOUN 
equipped, VERB 
STOE, PROPN 

, SPACE 
electronic, ADJ 
control, NOUN 
system, NOUN 
graphite, NOUN 
monochro-, NOUN 

, SPACE 
mated, VERB 
Mo, PROPN 
Ka, PROPN 
radiation, NOUN 
A-0.71069, PROPN 
~, PUNCT 
room, NOUN 

, SPACE 
temperature, NOUN 

, SPACE 
Crystallographic, ADJ 
data, NOUN 
4, NUM 
C, NOUN 
~, NOUN 
sH44KSi2Ti, VERB 
M-, PROPN 

, SPACE 
523.83, NUM 
monoclinic, ADJ 
P2,/c, NUM 
14, NUM 
a-10.883, NUM 
3, NUM 

, SPACE 
b-, PROPN 
18.047, NUM 
8), NUM 
c-, X 
16.562, NUM 
3, NUM 
~, PUNCT 
/3-, PROPN 
104.10, NUM 
2, NUM 
°, NOUN 

, SPACE 
V-, PROPN 
3156(I, X 
-~, PROPN 
D, PROPN 
c, NOUN 
1.102, NUM 
g, PROPN 
cm, PROPN 
-3, PROPN 
Z-4, PROPN 
/z--4.46, PUNCT 
Table, NOUN 
2, NUM 

, SPACE 
Atomic, ADJ 
coordinates, NOUN 
4, NUM 

, SPACE 
Atom, PROPN 
x, PROPN 
y, PROPN 
z, NOUN 
Ueq, PROPN 

, SPACE 
Ti, PROPN 
0,1950(1, NUM 
0.1555(1, PROPN 
0,3385(1, NOUN 
0,048(1, PROPN 

, SPACE 
K, PROPN 
0,1126(1, PROPN 
0.2726(1, PROPN 
0.1247(1, PUNCT 
0,094(1, NUM 

, SPACE 
Si(1, PROPN 
0,4295(1, PROPN 
0.3843(1, PROPN 
0.2656(I, NOUN 
0.085(1, PROPN 

, SPACE 
Si(2, PROPN 
-0.1955(i, PROPN 
0.1497, NUM 
0.0875(1, PROPN 
0.070(1, NUM 

, SPACE 
C(I, PROPN 
0,2770(3, PROPN 
0.2501(2, PROPN 
0.2926(2, PROPN 
0.055(2, PROPN 

, SPACE 
C(2, PROPN 
0,3315(4, PROPN 
0.3038(2, PROPN 
0.2721(3, PROPN 
0.064(2, PROPN 

, SPACE 
C(3, PUNCT 
0,4792(7, PROPN 
0.4270(3, PROPN 
0.3729(4, PUNCT 
0.135(4, PROPN 

, SPACE 
C(4, PROPN 
0,3371(8, PROPN 
0.4532(3, PROPN 
0.1925(4, PROPN 
0, PUNCT 
35(4, X 

, SPACE 
C'(5, PROPN 
0,5733(6, PROPN 
0.3576(5, PROPN 
0.2328(5, PROPN 
0.149(6, PROPN 

, SPACE 
C(6, X 
0.0383(3, PROPN 
0.1587(2, PROPN 
0.2314(2, PROPN 
0,054(2, PROPN 

, SPACE 
C(7, X 
0.0534(4, PROPN 
0.1584(2, PROPN 
0,1708(3, PROPN 
0.064(2, PROPN 

, SPACE 
C(8, X 
0.3334(6, PROPN 
0.1301(5, PROPN 
0.1311(4, PROPN 
0.140(5, PROPN 

, SPACE 
C(9, X 
0.2285(6, NOUN 
0.2397(4, NUM 
0.0294(4, PROPN 
0, NUM 
24(4, X 

, SPACE 
C(10, PROPN 
-0.1698(7, SYM 
0.0756(4, PROPN 
0.0148(4, PROPN 
0.139(5, PROPN 

, SPACE 
C(I, PROPN 
t, PROPN 
0.2299(5, X 
0.2099(3, PROPN 
0.4744(3, X 
0.092(3, PROPN 

, SPACE 
C(i, NOUN 
0.3633(6, PROPN 
0.2254(5, PROPN 
0.5228(4, NOUN 
0.157(6, PROPN 

, SPACE 
C(12, PROPN 
0.1466(5, PROPN 
0.2624(3, PROPN 
0,4246(3, PROPN 
0.083(3, PROPN 

, SPACE 
C(121, PROPN 
0.1716(8, PROPN 
0.3439(3, PROPN 
0.4175(5, PROPN 
0.142(5, PROPN 

, SPACE 
C(13, PROPN 
0.0322(4, PROPN 
0,2273(3, PROPN 
0.3918(3, PROPN 
0.075(3, PROPN 

, SPACE 
C(131, PROPN 
-0.0886(6, X 
0.2629(4, PUNCT 
0.3378(3, X 
0.122(4, PROPN 

, SPACE 
C(14, PROPN 
0.0374(4, PROPN 
0.1535(3, PUNCT 
0.4192(3, PUNCT 
0.073(3, PROPN 

, SPACE 
C(141, PROPN 
-0.0714(6, PROPN 
0.0988(3, PUNCT 
0.4006(4, X 
0.115(4, PROPN 

, SPACE 
C(]5, PROPN 
0, NUM 
595(5, NUM 
0,1428(3, NUM 
0.47, NUM 
2(3, PROPN 
0.084(3, NUM 

, SPACE 
C(16, PROPN 
0,3973(4, PROPN 
0, NUM 
042(2, X 
0.3308(4, X 
0.082(3, NOUN 

, SPACE 
C(161, PROPN 
0.5178(5, PROPN 
0.14720, NUM 
0.3453(7, PROPN 
0.159(6, PROPN 

, SPACE 
C(17, PROPN 
0.3099(4, PROPN 
0.0870(2, PROPN 
0.2553(3, NUM 
0,069(2, NUM 

, SPACE 
C(171, PROPN 
0.3178(8, PROPN 
0.1113(3, PROPN 
0.1694(4, PROPN 
0.129(4, PROPN 

, SPACE 
C(18, PROPN 
0.2194(4, PROPN 
0.0371(2, PROPN 
0.27, NUM 
7(3, PROPN 
0.68(2, PROPN 

, SPACE 
C(181, PROPN 
0.1196(6, PROPN 
-0.0038(3, PUNCT 
0.2093(5, PROPN 
0.138(5, PROPN 

, SPACE 
C(19, PROPN 
0.2494(5, PROPN 
0.0251(2, PROPN 
0.3569(3, PROPN 
0.082(3, PROPN 

, SPACE 
C(191, PROPN 
0.184(I, PROPN 
-0.0327(3, X 
0.3997(6, PROPN 
0.185(7, PROPN 

, SPACE 
C(20, PROPN 
0.3567(6, PROPN 
0.0663(3, PROPN 
0.3913(3, PROPN 
0.092(3, PROPN 

, SPACE 
cm, PROPN 
=, NOUN 
l., PROPN 
Crystal, PROPN 
data, NOUN 
collected, VERB 
0/20, NUM 
method, NOUN 

, SPACE 
2Om~, NOUN 
50, NUM 
°, NOUN 
total, NOUN 
5460, NUM 
unique, ADJ 
reflections, NOUN 

, SPACE 
5698, NUM 
observed, ADJ 
reflections, NOUN 
calculations, NOUN 

, SPACE 
positions, NOUN 
heavy, ADJ 
atoms, NOUN 
Ti, PROPN 
K, PROPN 
Si, PROPN 

, SPACE 
determined, VERB 
Patterson, PROPN 
method, NOUN 
Atomic, ADJ 
coordi-, NOUN 

, SPACE 
~tates, NOUN 
anisotropic, VERB 
thermal, ADJ 
parameters, NOUN 
non, ADJ 
hy-, ADJ 

, SPACE 
drogen, NOUN 
atoms, NOUN 
refined, VERB 
squares, NOUN 
method, NOUN 

, SPACE 
Hydrogen, PROPN 
atoms, NOUN 
included, VERB 
optimized, VERB 
posi-, NUM 

, SPACE 
tions, NOUN 
final, ADJ 
R, NOUN 
indices, NOUN 
R, PROPN 
1-, PROPN 
0.064, NUM 
R, PROPN 
0.073, NUM 

, SPACE 
3629, NUM 
reflections, NOUN 
F, PROPN 
o, PROPN 
>, X 
o'(Fo, VERB 
PC, NOUN 

, SPACE 
Ut, PROPN 
M, PROPN 
package, PROPN 
12, NUM 
calculations, NOUN 

, SPACE 
atomic, ADJ 
coordinates, NOUN 
thermal, ADJ 
parameters, NOUN 
given, VERB 

, SPACE 
Table, PROPN 
2, NUM 

, SPACE 
3, X 
Results, NOUN 
discussion, NOUN 

, SPACE 
3.1, NUM 
Synthesis, NOUN 
2, NUM 
5, NUM 
toluene, NOUN 

, SPACE 
titanocene, NOUN 
Ti, PROPN 
m, PROPN 
diacetylide, NOUN 
tweezer, NOUN 
alkali, ADJ 

, SPACE 
metal, NOUN 
complexes, NOUN 
type, NOUN 
CsHMe4)2Ti(~'-CmCSi-, PROPN 

, SPACE 
x)2]-[M, NUM 
+, CCONJ 
easily, ADV 
obtained, VERB 
redox, PROPN 
reac-, ADJ 

, SPACE 
tion, NOUN 
bis(tetramethyicyclopentadienyl)tita-, PROPN 


, SPACE 
V., PROPN 
Varga, PROPN 
et, NOUN 
aL, PROPN 
/Journal, PUNCT 
Organometallic, PROPN 
Chemistry, PROPN 
514, NUM 
¢1996, PUNCT 
219, NUM 
226, NUM 
223, NUM 

, SPACE 
Fig, PROPN 
I., PROPN 
Molecular, ADJ 
structure, NOUN 
atom, NOUN 
numbering, NOUN 
scheme, NOUN 

, SPACE 
CsHMe4)aTi(~t, PROPN 
CmSiMe3)2]-[K, NUM 
+, NUM 
4, NUM 
view, NOUN 
perpendicu-, NOUN 

, SPACE 
lar, ADJ 
Ti, PROPN 
C(I, PROPN 
C(6, NUM 
plane, NOUN 

, SPACE 
nium(IV, ADV 
diacetylide, NOUN 
1, NUM 
alkali, ADJ 
metal, NOUN 
toluene, NOUN 

, SPACE 
according, VERB 
Eq, PROPN 

, SPACE 
CsHMe4)2Ti(T/, NOUN 
C, PROPN 
CSiMe3, PROPN 
2, NUM 
4-, X 
M, NOUN 

, SPACE 
CsHMe4)2Ti(~, PROPN 
C, PROPN 
CSiMe3)2]-, PROPN 
M, PROPN 
+, SYM 

, SPACE 
M, PROPN 
Li(2, PROPN 
Na(3, PROPN 
K(4, NUM 
Cs(5, PROPN 

, SPACE 
Compounds, NOUN 
2, NUM 
4, NUM 
obtained, VERB 
high, ADJ 
yields, NOUN 
70, NUM 
90, NUM 

, SPACE 
compound, NOUN 
$, SYM 
accompanied, VERB 
unknown, ADJ 
byprod-, NOUN 

, SPACE 
uct, NOUN 
insoluble, ADJ 
toluene, NOUN 
Compound, NOUN 
2, NUM 

, SPACE 
obtained, VERB 
high, ADJ 
yield, NOUN 
dismutation, NOUN 
reaction, NOUN 

, SPACE 
2, NUM 
toluene, NOUN 

, SPACE 
CsHMe4)aTiCI, NOUN 
+, PROPN 
2LiCuCSiMe~, NUM 

, SPACE 
CsHMe4)2Ti(~/'-C~'SiMe3)a, X 
Li, X 
+, PROPN 
+, PROPN 
LiCI, PROPN 

, SPACE 
2, X 
compounds, NOUN 
form, VERB 
crystalline, NOUN 
materials, NOUN 

, SPACE 
hexane, NOUN 
toluene, ADJ 
solutions, NOUN 
solubility, NOUN 
decreases, VERB 

, SPACE 
Li, PROPN 
Cs, ADJ 
2, NUM 
highly, ADV 
soluble, ADJ 
hexane, NOUN 
$, SYM 

, SPACE 
dissolves, NOUN 
slightly, ADV 
toluene, NOUN 
compounds, NOUN 

, SPACE 
thermally, ADV 
robust, ADJ 
evaporate, VERB 
decomposi-, NOUN 

, SPACE 
tion, NOUN 
vacuum, NOUN 
mass, NOUN 
spectrometer, NOUN 

, SPACE 
120, NUM 
°, NUM 
C, NOUN 
2, NUM 
220, NUM 
°, NUM 
C, NOUN 
5, NUM 
MS, PROPN 
spectra, NOUN 

, SPACE 
molecular, ADJ 
ions, NOUN 
corresponding, VERB 
formulae, VERB 
2, NUM 
5, NUM 

, SPACE 
ions, NOUN 
alkali, ADJ 
metals, NOUN 
fragment, ADJ 
ions, NOUN 

, SPACE 
CsHMe4)2Ti(C, PROPN 
CSiMe3, PROPN 
+, ADV 
CsHMe4)2Ti, PROPN 
+, CCONJ 
ahd, NOUN 

, SPACE 
ions, NOUN 
probably, ADV 
diyne, NOUN 
C, PROPN 
CSiMe3, PROPN 
2, NUM 
practi-, ADJ 

, SPACE 
cally, ADV 
identical, ADJ 
compounds, NOUN 
EPR, PROPN 
UV, NOUN 
vis, X 

, SPACE 
IR, PROPN 
spectra, PROPN 
compounds, NOUN 
showed, VERB 
features, NOUN 
simi-, ADJ 

, SPACE 
lar, ADJ 
CsHMe4)2Ti('r, PROPN 
t, PROPN 
C, PROPN 
CSiMe3)2]-[Mg, NOUN 

, SPACE 
THF)CI, PROPN 
+, CCONJ 
6, NUM 
1, NUM 
CsHMe4)2Ti(@s, NOUN 
C, PROPN 
CC, PROPN 
CSi, ADJ 

, SPACE 
Me3)2]-[Li(THF)2, NUM 
+, CCONJ 
7, X 
3, X 
structurally, ADV 
char-, ADV 

, SPACE 
acterized, VERB 
Ti, PROPN 
Ill, PROPN 
tweezer, NOUN 
complexes, NOUN 
vide, NOUN 
infra, NOUN 

, SPACE 
X, NOUN 
ray, NOUN 
single, ADJ 
crystal, NOUN 
analysis, NOUN 
4, NUM 
confirmed, VERB 
tweezer, NOUN 

, SPACE 
structure, NOUN 
potassium, NOUN 
cation, NOUN 
embedded, VERB 

, SPACE 
trimethylsilylethynyl, NOUN 
tweezer, PROPN 
arms, NOUN 

, SPACE 
3.2, NUM 
Crystal, NOUN 
structure, NOUN 
4, NUM 

, SPACE 
PLUTO, PROPN 
drawing, NOUN 
4, NUM 
atom, PROPN 
numbering, NOUN 
scheme, NOUN 

, SPACE 
shown, VERB 
Fig, PROPN 
selected, VERB 
bond, NOUN 
distances, NOUN 
bond, NOUN 

, SPACE 
angles, NOUN 
listed, VERB 
Table, PROPN 
3, NUM 
demonstrate, VERB 

, SPACE 
molecular, ADJ 
structure, NOUN 
4, NUM 
asymmetric, NOUN 
parts, NOUN 

, SPACE 
titanocene, NOUN 
moiety, NOUN 
T/5, PROPN 
CsHMe4, ADJ 
ligands, NOUN 

, SPACE 
irregularly, ADV 
staggered, ADJ 
conformation, NOUN 
proton, NOUN 

, SPACE 
bearing, VERB 
ring, NOUN 
atoms, NOUN 
C(15, PROPN 
C(20, PROPN 
close, ADV 
positions, NOUN 

, SPACE 
ligands, NOUN 
approach, VERB 
CE(I)-Ti-, PROPN 

, SPACE 
CE, PROPN 
2, X 
CE, PROPN 
I)-centroid, NOUN 
C(I, PROPN 
-C(15, X 
ring, NOUN 
CE, PROPN 

, SPACE 
2)-centroid, NUM 
C(16)-C(20)ring, PROPN 
angle, NOUN 
amounts, VERB 

, SPACE 
136.9(2, PROPN 
°, NUM 
value, NOUN 
close, ADJ 
found, VERB 
7, NUM 

, SPACE 
Table, NOUN 
3, NUM 

, SPACE 
Selected, VERB 
interatomic, ADJ 
distances, NOUN 
~, PUNCT 
bond, NOUN 
angles, NOUN 
o, NOUN 
4, NUM 

, SPACE 
lnteratomic, ADJ 
dlstanc¢:~, PROPN 

, SPACE 
Ti-~l, PROPN 
2.149(4, NUM 
Ti, PROPN 
C(6, PROPN 
2.142(4, NUM 

, SPACE 
C(1)-C(2, PROPN 
1.228(5, PROPN 
C(6)-C(7, PROPN 
i.231(5, PROPN 

, SPACE 
Si(I)-C(2, PROPN 
.82, X 
4, NUM 
Si(2)-C(7, PROPN 
