o~.41ourna, PUNCT 
IH, PROPN 
NMR, PROPN 
spectrum, NOUN 
showed, VERB 
Ru(CO)2CI]2-, PROPN 

, SPACE 
7, NUM 
s, PROPN 
7, NUM 
s, PROPN 
CsH, NOUN 
4(CH, NUM 
3)2SiCsH, NUM 
4, NUM 
Column, NOUN 
chromatography, NOUN 

, SPACE 
CCI, PROPN 
4, NUM 
soluble, ADJ 
components, NOUN 
reaction, NOUN 
mixture, NOUN 

, SPACE 
yielded, VERB 
trace, NOUN 
new, ADJ 
compound, NOUN 
Xl, PROPN 
XI, PROPN 

, SPACE 
exclusive, ADJ 
product, NOUN 
V, PROPN 
photolyzed, VERB 
4:1, NUM 

, SPACE 
benzene, NOUN 
chloroform, NOUN 
mixture, NOUN 
IR, PROPN 
11, NUM 
~3C, PROPN 
NMR, PROPN 

, SPACE 
Xl, PROPN 
similar, ADJ 
twisted, VERB 
compounds, NOUN 
de-, X 

, SPACE 
scribed, VERB 
consistent, ADJ 
classification, NOUN 


, SPACE 
16, NUM 
T.E., PROPN 
Bitterwo, PROPN 
~, PUNCT 
f, PROPN 
et, PROPN 
al, PROPN 
Jot,~'~l, PROPN 
Organometo#ic, INTJ 
Chemistry, PROPN 
514, NUM 
1996, NUM 
13, NUM 
21, NUM 

, SPACE 

, SPACE 
II, PROPN 
0, NUM 

, SPACE 
b-.,.c, NOUN 

, SPACE 
Xll, PROPN 

, SPACE 
X, PROPN 
twist, NOUN 
derivative, NOUN 
Vi, PROPN 
formula, NOUN 

, SPACE 
Ru(CO)2, X 
IRu(CO)2Cil, PRON 
~s, PROPN 
ns, ADJ 
n'-CsH, NUM 
4(CH, NUM 
3)aSiCsH, NUM 
3, NUM 

, SPACE 
COSY, PROPN 
NMR, PROPN 
spectra, NOUN 
permitted, VERB 
specific, ADJ 
assign-, ADJ 

, SPACE 
ments, NOUN 
Accidental, ADJ 
overlap, NOUN 
proton, NOUN 

, SPACE 
resonances, NOUN 
hydrogens, NOUN 
adjacent, ADJ 
bridge, NOUN 

, SPACE 
~/S, PROPN 
Cp, PROPN 
ring, NOUN 
designated, VERB 
T/5, PROPN 
Cp, PROPN 
precluded, VERB 
exact, ADJ 

, SPACE 
assignment, NOUN 
H-3, NOUN 
H-4, ADJ 

, SPACE 
designated, VERB 
simply, ADV 
/~-~5, PROPN 
Cp, PROPN 
cases, NOUN 

, SPACE 
able, ADJ 
exactly, ADV 
assign, VERB 
protons, NOUN 
H-8, NOUN 

, SPACE 
H-10, PROPN 
ring, NOUN 
7/5:~?LCp, NUM 
COSY, NOUN 
NOESY, PROPN 

, SPACE 
spectroscopy, NOUN 

, SPACE 
contrast, NOUN 
behavior, NOUN 
carbon, NOUN 
bridged, VERB 

, SPACE 
compounds, NOUN 
described, VERB 
continued, ADJ 
irradiation, NOUN 

, SPACE 
solutions, NOUN 
V, PROPN 
gave, VERB 
rise, NOUN 
second, ADJ 
non, ADJ 
hydride, ADJ 

, SPACE 
species, NOUN 
appeared, VERB 
grow, VERB 
expense, NOUN 

, SPACE 
ruthenium, NOUN 
hydride, NOUN 
compound, NOUN 
Column, NOUN 
chromatography, NOUN 

, SPACE 
reaction, NOUN 
mixture, NOUN 
microscale, NOUN 
photolysis, NOUN 

, SPACE 
V, PROPN 
eluted, VERB 
rapidly, ADV 
moving, VERB 
pale, ADJ 
yellow, ADJ 
compound, NOUN 

, SPACE 
gave, VERB 
colorless, ADJ 
oil, NOUN 
Xll, PROPN 
removal, NOUN 

, SPACE 
solvent, NOUN 
IR, PROPN 
spectrum, NOUN 
compound, NOUN 
consisted, VERB 

, SPACE 
bands, NOUN 
terminal, ADJ 
carbonyl, NOUN 
region, NOUN 
simple, ADJ 

, SPACE 
t, NOUN 
H, PROPN 
NMR, PROPN 
spectrum, VERB 
c, NOUN 
~, NOUN 
nsisted, VERB 
cyclopentadienyl, NOUN 

, SPACE 
ring, NOUN 
proton, NOUN 
resonances, NOUN 
single, ADJ 
methyl, NOUN 
silyl, NOUN 
rose-, X 

, SPACE 
nance, NOUN 
-MS, ADJ 
analysis, NOUN 
compound, NOUN 
showed, VERB 

, SPACE 
parent, NOUN 
mass, NOUN 
500, NUM 
Da, PROPN 
fragmentation, NOUN 

, SPACE 
pattern, NOUN 
consistent, ADJ 
sequential, ADJ 
loss, NOUN 
carbonyl, NOUN 

, SPACE 
groups, NOUN 
starting, NOUN 
material, NOUN 
VI, PROPN 
parent, NOUN 
mass, NOUN 

, SPACE 
fragmentation, NOUN 
pattern, NOUN 
effectively, ADV 
identical, ADJ 

, SPACE 
XII, PROPN 
compounds, NOUN 
differing, VERB 

, SPACE 
relative, ADJ 
amounts, NOUN 
carbonyl, NOUN 
loss, NOUN 
fragments, NOUN 

, SPACE 
retention, NOUN 
time, NOUN 
chromatographic, ADJ 
column, NOUN 

, SPACE 
data, NOUN 
arc, NOUN 
consistent, ADJ 
XII, PROPN 
structural, ADJ 

, SPACE 
isomer, NOUN 
VI, PROPN 
having, VERB 
unique, ADJ 
structure, NOUN 

, SPACE 
cyclopentadienyl, NOUN 
silyl, NOUN 
bonds, NOUN 
broken, VERB 

, SPACE 
Ru, PROPN 
Ru, PROPN 
bond, NOUN 
molecule, NOUN 
reformed, VERB 

, SPACE 
Ru-~ILCp, PROPN 
bond, NOUN 
Ru, PROPN 
Si, PROPN 
bond, NOUN 

, SPACE 
molecule, NOUN 
form, NOUN 
Ru(CO)z]z(/.~-T, NOUN 
s, PROPN 
III, PROPN 
CsH, NOUN 
I)-, PROPN 

, SPACE 
It-(CH, PROPN 
~)~, NOUN 
Si~-(~s, ADJ 
Cs, ADJ 
H, PROPN 
4, NUM 

, SPACE 
order, NOUN 
clarify, VERB 
relationship, NOUN 
inter-, ADJ 

, SPACE 
mediate, ADJ 
hydride, NOUN 
XII, PROPN 
sample, NOUN 
VI, PROPN 
pho-, PROPN 

, SPACE 
tolyzed, VERB 
briefly, ADV 
recording, VERB 
H, NOUN 
NMR, PROPN 
establish, VERB 

, SPACE 
relative, ADJ 
quantities, NOUN 
VI, PROPN 
hydride, VERB 
XII, PROPN 

, SPACE 
sample, NOUN 
stored, VERB 
dark, NOUN 
23, NUM 
°, NOUN 
C, PROPN 
Spectra, PROPN 
taken, VERB 
sample, NOUN 
15, NUM 
h, NOUN 
period, NOUN 
demonstrated, VERB 

, SPACE 
relative, ADJ 
ratios, NOUN 
Vl, PROPN 
Xll, PROPN 
change, VERB 
signifi-, NOUN 

, SPACE 
cantly, ADV 
hydride, NOUN 
slowly, ADV 
disappeared, VERB 
Heat-, X 

, SPACE 
ing, VERB 
similar, ADJ 
sample, NOUN 
65, NUM 
°, NOUN 
C, NOUN 
5, NUM 
min, NOUN 
resulted, VERB 

, SPACE 
formation, NOUN 
fine, ADJ 
precipitate, NOUN 
NMR, PROPN 
analysis, NOUN 
showed, VERB 

, SPACE 
significant, ADJ 
depletion, NOUN 
relative, ADJ 
quantity, NOUN 
hydride, NOUN 

, SPACE 
present, ADJ 
change, NOUN 
relative, ADJ 
amounts, NOUN 
VI, PROPN 

, SPACE 
XII, PROPN 
distinguish, VERB 
possibility, NOUN 

, SPACE 
hydride, NOUN 
thermally, ADV 
rearranged, VERB 
VI, PROPN 

, SPACE 
XII, PROPN 
traces, NOUN 
air, NOUN 
selectively, ADV 
reacting, VERB 

, SPACE 
hydride, NOUN 
Photolyses, NOUN 
conducted, VERB 
optical, ADJ 

, SPACE 
filters, NOUN 
passed, VERB 
light, NOUN 
shorter, ADJ 
450, NUM 
nm, NOUN 

, SPACE 
400, NUM 
500, NUM 
nm, NOUN 
yielded, VERB 
hydride, NOUN 

, SPACE 
Xll, PROPN 
Photolysis, NOUN 
VI, PROPN 
neat, ADJ 
CCI4, PROPN 
yielded, VERB 
XI, NOUN 

, SPACE 
Xll, PROPN 
formed, VERB 
XI, PROPN 
photolysis, NOUN 

, SPACE 
carried, VERB 
toluene, NOUN 
10, NUM 
CCi, NOUN 
4, NUM 

, SPACE 
apparent, ADJ 
ease, NOUN 
formation, NOUN 
metal, NOUN 
ring, NOUN 
cou-, NOUN 

, SPACE 
pling, VERB 
products, NOUN 
photochemical, ADJ 
reactions, NOUN 

, SPACE 
ring, NOUN 
coupled, VERB 
ruthenium, NOUN 
compounds, NOUN 
prompted, VERB 
ex-, NOUN 

, SPACE 
amine, VERB 
photolysis, NOUN 
NMR, PROPN 
sample, NOUN 
deuter-, ADJ 

, SPACE 
obenzene, NOUN 
~H, PUNCT 
NMR, PROPN 
spectrt, VERB 
~, PUNCT 
m, AUX 
recorded, VERB 
immediately, ADV 

, SPACE 
photolysis, NOUN 
revealed, VERB 
prcsen,~e, NOUN 
hydride, NOUN 

, SPACE 
products, NOUN 
cyclopentadienyi, NOUN 
ing, PROPN 
region, NOUN 
contained, VERB 

, SPACE 
resonances, NOUN 
possible, ADJ 
identify, VERB 

, SPACE 
single, ADJ 
species, NOUN 
certainty, NOUN 
carried, VERB 

, SPACE 
similar, ADJ 
reactions, NOUN 
number, NOUN 
ring, NOUN 
substituted, VERB 

, SPACE 
compounds, NOUN 
general, ADJ 
form, NOUN 
Ru, PROPN 
2(CO)4(~/S, PROPN 
C, PROPN 
s, PART 
H, NOUN 
4R)2, NUM 

, SPACE 
R, PROPN 
CH~, PROPN 
CH2Ph, PROPN 
CHO, PROPN 
COCH, PROPN 
3, NUM 
COACH, PROPN 
3, NUM 

, SPACE 
found, VERB 
hydride, NOUN 
products, NOUN 
formed, VERB 
cases, NOUN 

, SPACE 
far, ADV 
unsuccessful, ADJ 
cleanly, ADV 
isolating, VERB 

, SPACE 
chloride, NOUN 
derivatives, NOUN 
hydride, ADJ 
species, NOUN 
how-, X 

, SPACE 
strongly, ADV 
believe, VERB 
dominant, ADJ 
products, NOUN 

, SPACE 
form, NOUN 
Ru(CO)2(~s, PROPN 
CsH4R)(/~.T, PROPN 
s:~I, PROPN 
CsH, PROPN 
~, NOUN 
R, NOUN 

, SPACE 
Ru(CO)2H, VERB 
ring, NOUN 
ring, NOUN 
coupled, VERB 
fulvalene, NOUN 

, SPACE 
Cl, PROPN 
C{6, VERB 

, SPACE 
CI11i~, PROPN 

, SPACE 
el3|, VERB 

, SPACE 
C(4, PROPN 
~, PUNCT 

, SPACE 
ClSl, PROPN 

, SPACE 
cu,,l, PROPN 
 , SPACE 
C18, PROPN 

, SPACE 
Rdll, PROPN 
C, PROPN 
O, PROPN 

, SPACE 
C(23l, PROPN 

, SPACE 
~0t23, PUNCT 

, SPACE 
ICl21l, PROPN 
0122, NUM 

, SPACE 
Fig, PROPN 
2, NUM 
X, NOUN 
ray, NOUN 
crystal, NOUN 
structure, NOUN 
VIII, PROPN 


, SPACE 
T.E., PROPN 
Bitterwolf, PROPN 
et, PROPN 
at./J, PROPN 
ournal, ADJ 
Organometallic, PROPN 
Chemistry, PROPN 
514, NUM 
1996, NUM 
3, X 
2, NUM 
17, NUM 

, SPACE 
products, NOUN 
Ru(CO)2H]2(T, PROPN 
s, PROPN 
T/5, PROPN 
CsH4CsH4, PROPN 

, SPACE 
formed, VERB 
propose, VERB 
reaction, NOUN 

, SPACE 
bimetallic, ADJ 
hydride, NOUN 
species, NOUN 
adventitious, ADJ 
oxy-, ADJ 

, SPACE 
gen, PROPN 
gave, VERB 
rise, NOUN 
red, ADJ 
tetrameric, ADJ 
product, NOUN 
11, NUM 

, SPACE 
reported, VERB 
Knox, PROPN 
coworkers, NOUN 

, SPACE 
3, X 
X, NOUN 
ray, NOUN 
crystallography, NOUN 

, SPACE 
order, NOUN 
definitively, ADV 
establish, VERB 
structure, NOUN 

, SPACE 
VIII, PROPN 
crystals, NOUN 
grown, VERB 
dichloromethane, NOUN 
petro-, NOUN 

, SPACE 
leum, NOUN 
ether, ADV 
vapor, NOUN 
diffusion, NOUN 
cold, NOUN 
X, NOUN 
ray, NOUN 
crystal-, NOUN 

, SPACE 
lographic, ADJ 
analyses, NOUN 
crystals, NOUN 
revealed, VERB 
unique, ADJ 

, SPACE 
twisted, VERB 
structures, NOUN 
presented, VERB 
Fig, PROPN 
2, NUM 

, SPACE 
cyclopentadienyl, NOUN 
ring, NOUN 
pentahapto, VERB 
ruthenium, NOUN 

, SPACE 
second, ADJ 
ring, NOUN 
monohapto, ADJ 
ruthenium, NOUN 

, SPACE 
Table, PROPN 
1, NUM 

, SPACE 
Crystallographic, ADJ 
data, NOUN 
VIII, PROPN 

, SPACE 
Crystal, PROPN 
parameters, NOUN 

, SPACE 
Formula, PROPN 
Cts, PROPN 
HoCIO4Ru, PROPN 
2, NUM 

, SPACE 
Formula, PROPN 
weight, NOUN 
490.8, NUM 

, SPACE 
Crystal, PROPN 
system, NOUN 
Monoclinic, PROPN 

, SPACE 
Space, PROPN 
group, NOUN 
Cc, PROPN 

, SPACE 
~, PROPN 
27.636(5, PROPN 

, SPACE 
b, PROPN 
~, PROPN 
9.058(2, NUM 

, SPACE 
c, X 
~, PUNCT 
4.545(5, NUM 

, SPACE 
/3, PROPN 
deg, PROPN 
120.8(5, PROPN 

, SPACE 
V, PROPN 
~3, PROPN 
3126(2, PROPN 

, SPACE 
Z, PROPN 
8, NUM 

, SPACE 
Crystal, PROPN 
dimensions, NOUN 
ram, VERB 
3, NUM 
0.28, NUM 
x, SYM 
0.29, NUM 
x, SYM 
0.3, NUM 

, SPACE 
Crystal, PROPN 
color, NOUN 
orange, NOUN 

, SPACE 
D(calc, PUNCT 
g, PROPN 
cm, PROPN 
~, PUNCT 
2.085, NUM 

, SPACE 
Mo, PROPN 
K, PROPN 
cm, NOUN 
°, NUM 
t, NOUN 
20,92, NUM 

, SPACE 
Temperature, PROPN 
K, PROPN 
293, NUM 

, SPACE 
T(max)/T(min, PROPN 
12, NUM 

, SPACE 
Data, PROPN 
~llectlon, NOUN 

, SPACE 
Diffractometer, PROPN 
Nicolet, PROPN 
R3m/, VERB 

, SPACE 
Monochromator, PROPN 
graphite, NOUN 

, SPACE 
Radiation, PROPN 
K, NOUN 
0.71073, NUM 
~, PUNCT 

, SPACE 
28, NUM 
scan, ADJ 
range, NOUN 
deg, PROPN 
4, NUM 
52, NUM 

, SPACE 
Datacoilected(h, PROPN 
k, PROPN 
4, NUM 
33, NUM 
+9, PROPN 
+, CCONJ 
17, NUM 

, SPACE 
Reflections, NOUN 
collected, VERB 
3395, NUM 

, SPACE 
Independent, PROPN 
reflections, NOUN 
3058, NUM 

, SPACE 
Independent, PROPN 
observed, VERB 
reflections, NOUN 
2960, NUM 
n, NUM 
31, NUM 

, SPACE 
nc,(Fo, PROPN 

, SPACE 
Std./Rfln, VERB 
3/197, NUM 

, SPACE 
Vat, PROPN 
stds, NOUN 
<, X 

, SPACE 
Refillem¢li, VERB 

, SPACE 
R(F)(%, PROPN 
2.29, NUM 

, SPACE 
e(w~, NOUN 
~, PUNCT 
3.15, NUM 

, SPACE 
`, PUNCT 
4o'(max, NUM 
0.04, NUM 

, SPACE 
4(p, NUM 
e, NOUN 
~-, PROPN 
3, NUM 
0.47, NUM 

, SPACE 
N, NOUN 
v, ADP 
7.5, NUM 

, SPACE 
GOF, PROPN 
0.82, NUM 

, SPACE 
Quantity, PROPN 
minimized-, NOUN 
~wa2, PUNCT 
/~-, PROPN 
~d/,~(Fo, PROPN 
R(w)-, PROPN 

, SPACE 
~aw'/2/:~(~ow~/z, NUM 
=, PROPN 
I(Fo-, PROPN 
Fc)l, NOUN 
Table, NOUN 
2, NUM 

, SPACE 
Bond, NOUN 
lengths, NOUN 
angles, NOUN 
deg, PROPN 
vm, PROPN 

, SPACE 
Molecule, PROPN 
Molecule, PROPN 
B, PROPN 

, SPACE 
Bond, NOUN 
distances, VERB 

, SPACE 
Ru(I)-CNT(I, PROPN 
1.883(5, NUM 
.892(5, PUNCT 

, SPACE 
Ru(i)-CI(I, PROPN 
2.419(3, PROPN 
2.420(3, NUM 

, SPACE 
Ru(I)-C(21, PROPN 
1.900(7, NUM 
1.865(7, NUM 

, SPACE 
Re(I)-C(22, PROPN 
i.877(8, PROPN 
1.893(8, NUM 

, SPACE 
Ru(2)-CNT(2, PROPN 
1.892(5, PROPN 
1.895(5, NUM 

, SPACE 
Ru(2)-C(2, PROPN 
2.076(5, PROPN 
2.063(5, NUM 

, SPACE 
Re(2)-C(23, NOUN 
1.888(8, PROPN 
1.894(10, NUM 

, SPACE 
Re(2)-C(24, PROPN 
1.861(9, NUM 
1.858(9, PROPN 

, SPACE 
C(3)-C(I, PROPN 
l, PROPN 
1.504(12, NUM 
1.498(13, NUM 

, SPACE 
C(8)-C(I, PUNCT 
l, NOUN 
1.51, NUM 
9, NUM 
1.506(9, NUM 

, SPACE 
Ru(l).--, PROPN 
Ru(2, PROPN 
3.9401(4, X 
3.9472(4, PROPN 

, SPACE 
C(21)-O(21, PROPN 
1.125(9, PROPN 
1.145(10, NUM 

, SPACE 
C(22)-O(22, PROPN 
.130(1, PUNCT 
1.136(10, X 

, SPACE 
C(23)-0(23, NOUN 
138(i, PROPN 
I., PROPN 
15(13, NUM 

, SPACE 
C(24)-0(24, X 
.!39(13, X 
.!38(12, X 

, SPACE 
Bond, PROPN 
angles, VERB 

, SPACE 
CNT(I)-Ru(I)-Ci(I, PROPN 
121.6(2, PROPN 
122.3(2, PROPN 

, SPACE 
CNT, PROPN 
-Ru(I)-C(2, X 
127.2(3, PROPN 
126.8(3, NUM 

, SPACE 
CNT(I)-Ru(I)-C(22, PROPN 
125.5(3, PROPN 
126.7(3, PROPN 

, SPACE 
CI(I)-Ru(I)-C(21, PROPN 
91.2(3, PROPN 
91.9(3, PROPN 

, SPACE 
CI(I)-Ru(l)-C(22, PROPN 
90.9(3, PROPN 
86.3(4, NOUN 

, SPACE 
C(2, PROPN 
I)-Ru(I)-C(22, PROPN 
89.9(3, PROPN 
91.3(3, PROPN 

, SPACE 
CNT(2)-Ru(2)-C(2, PROPN 
1, NUM 
1.5(3, X 
1, NUM 
.2(3, PUNCT 

, SPACE 
CNT(2)-Ru(2)-C(23, PROPN 
127.7(3, PROPN 
128.7(3, NUM 

, SPACE 
CNT(2)-Ru(2)-C(24, PROPN 
130.5(3, PROPN 
130.4(3, NUM 

, SPACE 
C(2)-Re(2)-C(23, NOUN 
94.8(3, PROPN 
92.6(3, PROPN 

, SPACE 
C(2)-Re(2)-C(24, X 
90.9(3, PROPN 
94, NUM 
3, X 

, SPACE 
C(23)-Ru(2)-C(24, NOUN 
91.3(4, PROPN 
90.0(4, PROPN 

, SPACE 
Ru, PROPN 
-C(21, PUNCT 
-0(2, PUNCT 
78.2(6, PROPN 
76.5(7, PROPN 

, SPACE 
Ru(!)-C(22)-0(22, NOUN 
176.7(8, NUM 
178, NUM 
8), NUM 

, SPACE 
Ru(2)-C(23)-0(23, NOUN 
178.8(7, NUM 
75.1(9, NOUN 

, SPACE 
Ru(2)-C(24)-0(24, NOUN 
78.7(6, VERB 
77.7(71, PROPN 

, SPACE 
c(3)-c(i, X 
-c(8, PUNCT 
i09.0(7, PROPN 
108.0(7, NUM 

, SPACE 
pentahapto, VERB 
Ru(CO)2CI, ADJ 
moiety, NOUN 

, SPACE 
exception, NOUN 
methyl, NOUN 
groups, NOUN 
bridge, NOUN 
IX, PROPN 

, SPACE 
molecules, NOUN 
compounds, NOUN 
VIII, PROPN 
IX, PROPN 
effectively, ADV 

, SPACE 
superimposable, ADJ 
cases, NOUN 
rings, NOUN 

, SPACE 
exactly, ADV 
perpendicular, ADJ 

, SPACE 
geometrically, ADV 
similar, ADJ 
ruthenium, NOUN 
sites, NOUN 

, SPACE 
molecules, NOUN 
three.legged, VERB 
piano, NOUN 
stool, NOUN 
type, NOUN 

, SPACE 
interligand, PROPN 
angles, VERB 
average, ADJ 
90, NUM 
°, NUM 
bond, NOUN 

, SPACE 
metric, ADJ 
shows, VERB 
evidence, NOUN 
unusual, ADJ 
strain, NOUN 

, SPACE 
accommodation, NOUN 
formation, NOUN 
o, NOUN 
Ru, PROPN 
Cp, PROPN 

, SPACE 
bond, NOUN 
Crystallographic, ADJ 
data, NOUN 
presented, VERB 
Table, PROPN 

, SPACE 
selected, VERB 
bond, NOUN 
lengths, NOUN 
angles, NOUN 
presented, VERB 

, SPACE 
Table, PROPN 
2, NUM 

, SPACE 
4, X 
Discussion, NOUN 

, SPACE 
studies, NOUN 
described, VERB 
revealed, VERB 
previ-, NOUN 

, SPACE 
ously, ADV 
unobserved, ADJ 
photoinitiated, ADJ 
rearrangement, NOUN 

, SPACE 
ring, NOUN 
coupled, VERB 
cyclopentadienyirutheniumcarbonyl, NOUN 
corn-, NOUN 


, SPACE 
18, NUM 
T.E., PROPN 
BitterwoU, PROPN 
et, PROPN 
al, PROPN 
Journal, PROPN 
Orgam, PROPN 
~, PROPN 
metallic, ADJ 
Ckcmistry, PROPN 
514, NUM 
1996, NUM 
13, NUM 
21, NUM 

, SPACE 
pounds, NOUN 
Ru, PROPN 
Ru, PROPN 
bond, NOUN 
broken, VERB 
new, ADJ 

, SPACE 
Ru, PROPN 
o,, NOUN 
Cp, PROPN 
Ru, PROPN 
H, PROPN 
bonds, NOUN 
formed, VERB 
Reaction, NOUN 

, SPACE 
hydride, NOUN 
intermediates, NOUN 
halocarbons, NOUN 
rise, NOUN 

, SPACE 
isolable, ADJ 
chloride, NOUN 
derivatives, NOUN 
parallel, ADJ 
chemistry, NOUN 

, SPACE 
observed, VERB 
iron, NOUN 
analogue, NOUN 
iIl, NOUN 

, SPACE 
recently, ADV 
found, VERB 
similar, ADJ 
behavior, NOUN 
ring, NOUN 
coupled, VERB 

, SPACE 
heterobimetallic, ADJ 
compounds, NOUN 
general, ADJ 
formula, NOUN 

, SPACE 
RuM(CO)s(.qs, PROPN 
T/5, ADJ 
CsH4, ADJ 
L, NOUN 
C5H4, PROPN 
M, PROPN 
=, PUNCT 

, SPACE 
W, PROPN 
L, PROPN 
CH, PROPN 
2, NUM 
C(CH3, PROPN 
2, NUM 
bimetallic, PROPN 

, SPACE 
molybdenum, PROPN 
compound, PROPN 
M2(CO)5(~5,7/5, PROPN 
C5H4CH2C5, PROPN 

, SPACE 
H4, PROPN 
studies, NOUN 
reported, VERB 

, SPACE 
germane, NOUN 
mechanism, NOUN 
rear-, ADJ 

, SPACE 
rangement, NOUN 
reactions, NOUN 
observation, NOUN 
photolyses, VERB 

, SPACE 
bridged, VERB 
compounds, NOUN 
neat, ADJ 
chlorocarbons, NOUN 

, SPACE 
CCI, PROPN 
4, NUM 
CHCI3, PROPN 
rise, NOUN 
chloro, PROPN 
deriva-, ADJ 

, SPACE 
tives, NOUN 
Ru(CO)2CI]2(~/5,~5, PROPN 
CsH4LCsH4, PROPN 
small, ADJ 

, SPACE 
quantities, NOUN 
twist, NOUN 
chlorides, NOUN 
twist, NOUN 
com-, NOUN 

, SPACE 
pounds, NOUN 
efficiently, ADV 
produced, VERB 
4:1, NUM 
benzene, NOUN 
halo-, X 

, SPACE 
carbon, NOUN 
mixtures, NOUN 
Photolysis, NOUN 
presence, NOUN 

, SPACE 
chlorocarbons, NOUN 
Ru(CO)2CI(~/5, PROPN 
CsHs, PROPN 

, SPACE 
known, VERB 
presumed, VERB 
proceed, VERB 
photochemical, ADJ 

, SPACE 
cleavage, NOUN 
Ru, PROPN 
Ru, PROPN 
bond, NOUN 
CpRu(CO, NOUN 
2, NUM 
free, ADJ 

, SPACE 
radicals, NOUN 
turn, NOUN 
react, VERB 
chlorocarbons, NOUN 

, SPACE 
anticipated, VERB 
ring, NOUN 
coupling, NOUN 
effect, NOUN 

, SPACE 
keeping, VERB 
CpRu(CO, NOUN 
2, NUM 
radicals, NOUN 
close, ADJ 
proximity, NOUN 

, SPACE 
facilitating, VERB 
thermal, ADJ 
reaction, NOUN 
reform, VERB 

, SPACE 
metal, NOUN 
metal, NOUN 
bonds, NOUN 
neat, ADJ 
chlorocarbon, NOUN 
solvents, NOUN 

, SPACE 
appears, VERB 
photochemically, ADV 
generated, VERB 
radicals, NOUN 

, SPACE 
efficiently, ADV 
intercepted, VERB 
yield, VERB 
Ru(CO)eCI]2[vls, NOUN 
v, NOUN 
s-, X 

, SPACE 
C, PROPN 
~, SYM 
H4LCsH4, NOUN 
products, NOUN 

, SPACE 
diradical, ADJ 
intermediate, NOUN 
involved, VERB 

, SPACE 
twist, NOUN 
reaction, NOUN 
determined, VERB 
Detailed, ADJ 

, SPACE 
photochemical, ADJ 
studies, NOUN 
reported, VERB 
9, NUM 
indi-, NOUN 

, SPACE 
cate, NOUN 
carbonyloloss, NOUN 
observed, VERB 

, SPACE 
wavelengths, NOUN 
shown, VERB 
responsible, ADJ 
twist, NOUN 
reac-, ADJ 

, SPACE 
tion, NOUN 
intermediacy, NOUN 
unsaturated, ADJ 
species, NOUN 

, SPACE 
ruled, VERB 

, SPACE 
particular, ADJ 
case, NOUN 
VI, PROPN 
appear, VERB 

, SPACE 
twist, NOUN 
hydride, NOUN 
undergoes, VERB 
photochemical, ADJ 
reaction, NOUN 

, SPACE 
yield, VERB 
Xil, PROPN 
CpRu(CO)2, PROPN 
moiety, NOUN 

, SPACE 
effectively, ADV 
rotated, VERB 
relative, ADJ 
orientation, NOUN 
VI, PROPN 

, SPACE 
similar, ADJ 
reaction, NOUN 
reported, VERB 
Sun, PROPN 
et, PROPN 
al, PROPN 
11, NUM 

, SPACE 
Fe,(CO)4[v, PROPN 
s, PROPN 
v, PROPN 
S, PROPN 
CsH4(CH~)2SiCsH4, PROPN 
ther-, NOUN 

, SPACE 
mally, ADV 
transformed, VERB 
Fe(CO)z],[/z, ADJ 
v/'~:l, NOUN 
I-, PROPN 

, SPACE 
CH~)zSiCsH4, PROPN 
relevant, ADJ 
report, NOUN 

, SPACE 
Vollhardt, PROPN 
Weidman, PROPN 
12, NUM 
fulvalene, NOUN 
deriva-, ADJ 

, SPACE 
tive, NOUN 
Ru=(CO)4(v, PROPN 
s,7, NOUN 
S, PROPN 
CsH4CsH4, PROPN 
undergoes, VERB 
photo-, ADJ 

, SPACE 
chemical, NOUN 
rearrangement, NOUN 
Ru(CO)2]z(~-T/5:?/I-, PROPN 

, SPACE 
C5H4, PROPN 
~, PUNCT 
restored, VERB 
original, ADJ 
form, NOUN 

, SPACE 
heating, NOUN 
Voilhardt, PROPN 
Weidman, PROPN 
tentatively, ADV 
ruled, VERB 

, SPACE 
radical, ADJ 
mechanism, NOUN 
reaction, NOUN 
process, NOUN 

, SPACE 
appeared, VERB 
unaffected, ADJ 
presence, NOUN 
M, PROPN 
CCI~., PROPN 

, SPACE 
light, NOUN 
present, ADJ 
results, NOUN 
appear, VERB 

, SPACE 
mean, ADJ 
lifetimes, NOUN 
reactive, ADJ 
intermediate, NOUN 

, SPACE 
sufficiently, ADV 
long, ADJ 
dilute, NOUN 
CCI~, PROPN 
allow, VERB 
radical, ADJ 

, SPACE 
rearrangement, NOUN 
observed, ADJ 
product, NOUN 
5, X 
Experimental, ADJ 

, SPACE 
H, NOUN 
t3C, NOUN 
NMR, PROPN 
spectra, NOUN 
recorded, VERB 

, SPACE 
IBM, PROPN 
NR-300, PROPN 
MHz, NOUN 
NMR, PROPN 
spectrometer, NOUN 
University, PROPN 

, SPACE 
Idaho, PROPN 
GE, PROPN 
QE-300, PROPN 
MHz, NOUN 
NMR, PROPN 
