Determining, VERB 
upper, ADJ 
mobile, ADJ 
anvil, NOUN 
stainless, ADJ 
steel, NOUN 
rod, NOUN 
attached, VERB 

, SPACE 
immersible, ADJ 
load, NOUN 
cell, NOUN 
AL311BN, PROPN 
I6, PROPN 
Honeywell, PROPN 
Sensotec, PROPN 
OH, PROPN 
USA, PROPN 

, SPACE 
capable, ADJ 
measuring, VERB 
loads, NOUN 
120, NUM 
N, PROPN 
tension, NOUN 
compression, NOUN 

, SPACE 
rod, NOUN 
moved, VERB 
sub, ADJ 
micrometer, ADJ 
high, ADJ 
precision, NOUN 
DC, PROPN 
motor, NOUN 

, SPACE 
controller, NOUN 
PI, PROPN 
M-235.5DG, PROPN 
Physik, PROPN 
Instrumente, PROPN 
PI, PROPN 
GmbH, PROPN 
Germany, PROPN 

, SPACE 
order, NOUN 
compress, VERB 
femoral, ADJ 
segment, NOUN 
lower, ADJ 
stationary, ADJ 

, SPACE 
anvil, NOUN 
segments, NOUN 
compressed, VERB 
non, ADJ 
destructively, ADV 

, SPACE 
elastic, ADJ 
region, NOUN 
allowing, VERB 
repeated, VERB 
measurements, NOUN 
expe-, ADJ 

, SPACE 
riment, NOUN 
consisted, VERB 
sets, NOUN 
loading, NOUN 
cycles, NOUN 
samples, NOUN 

, SPACE 
loaded, VERB 
compression, NOUN 
50, NUM 
successive, ADJ 
steps, NOUN 
0.5, NUM 
micrometer, NOUN 

, SPACE 
increments, NOUN 
upper, ADJ 
anvil, NOUN 
25, NUM 
micrometer, NOUN 
movement, NOUN 
total, NOUN 

, SPACE 
1.5, NUM 
second, ADJ 
pause, NOUN 
required, VERB 
successive, ADJ 
loading, NOUN 

, SPACE 
increments, NOUN 
allow, VERB 
ESPI, PROPN 
measurements, NOUN 

, SPACE 
Force, PROPN 
measurements, NOUN 
collected, VERB 
stored, VERB 
computer, NOUN 

, SPACE 
D, ADJ 
converter, NOUN 
Omega, NOUN 
DAQP-308, NOUN 
PCMCIA, NOUN 
16, NUM 
bit, NOUN 
Analogue, PROPN 
O, PROPN 
analyzed, VERB 
custom, ADV 
written, VERB 
software, NOUN 
National, PROPN 
Instru, PROPN 
ments, NOUN 
Labview, PROPN 
v, ADP 
7.0, NUM 
Matlab, PROPN 
v, ADP 
6.0, NUM 
end, NOUN 
compression, NOUN 

, SPACE 
set, VERB 
upper, ADJ 
anvil, NOUN 
automatically, ADV 
returned, VERB 
original, ADJ 
pre, NOUN 
load, ADJ 

, SPACE 
position, NOUN 
repeating, VERB 
entire, ADJ 
loading, NOUN 
sequence, NOUN 
times, NOUN 
robust, ADJ 

, SPACE 
repeatable, ADJ 
data, NOUN 
set, NOUN 
obtained, VERB 
loading, NOUN 

, SPACE 
sequence, NOUN 
composed, VERB 
50, NUM 
individual, ADJ 
steps, NOUN 

, SPACE 
evaluated, VERB 
independently, ADV 
statistical, ADJ 
robustness, NOUN 

, SPACE 
strengthened, VERB 

, SPACE 
completion, NOUN 
sets, NOUN 
sample, NOUN 
completely, ADV 

, SPACE 
unloaded, VERB 
water, NOUN 
drained, VERB 
test, NOUN 
chamber, NOUN 
opened, VERB 

, SPACE 
upper, ADJ 
anvil, NOUN 
composite, NOUN 
attached, VERB 
lifted, VERB 

, SPACE 
sample, NOUN 

, SPACE 
ESPI, ADJ 
optical, ADJ 
measurements, NOUN 

, SPACE 
commercially, ADV 
available, ADJ 
ESPI, PROPN 
device, NOUN 
Q300, NOUN 
Dantec-, PROPN 

, SPACE 
Ettemeyer, PROPN 
Ulm, PROPN 
Germany, PROPN 
custom, ADV 
written, VERB 
software, NOUN 
Matlab, PROPN 
v, NOUN 

, SPACE 
6.0, NUM 
surface, NOUN 
displacements, NOUN 
recorded, VERB 

, SPACE 
loading, NOUN 
steps, NOUN 
medial, ADJ 
surface, NOUN 
tested, VERB 
segments, NOUN 
axial, NOUN 

, SPACE 
Y, PROPN 
direction, NOUN 
method, NOUN 
described, VERB 
previously, ADV 
detail, NOUN 
45, NUM 

, SPACE 
rough, ADJ 
surface, NOUN 
bone, NOUN 
illuminated, VERB 
coherent, ADJ 
laser, NOUN 
light, NOUN 
source(780, PROPN 
nm, PROPN 
wave, NOUN 
length, NOUN 
dual, ADJ 
illumination, NOUN 
scheme, NOUN 
33,45,46, NUM 

, SPACE 
optically, ADV 
rough, ADJ 
surface, NOUN 
required, VERB 
application, NOUN 
speckleinterferometry, NOUN 
techniques, NOUN 
45, NUM 
coherent, ADJ 
laser, NOUN 
light, NOUN 
scatters, NOUN 

, SPACE 
optically, ADV 
rough, ADJ 
surface, NOUN 
bone, NOUN 
speckles, NOUN 
formed, VERB 
localinterference, NOUN 
Interference, VERB 
reference, NOUN 
beam, NOUN 
imaged, VERB 
CCD, NOUN 

, SPACE 
detector, NOUN 
array, NOUN 
differences, NOUN 
patterns, NOUN 
consecutive, ADJ 

, SPACE 
speckle, NOUN 
images, NOUN 
taken, VERB 
applying, VERB 
load, NOUN 

, SPACE 
detect, VERB 
shifts, NOUN 
phases, NOUN 
speckles, NOUN 
phase, NOUN 
shifts, NOUN 

, SPACE 
correspond, VERB 
displacements, NOUN 
surface, NOUN 
relative, ADJ 
reference, NOUN 

, SPACE 
point, NOUN 
selected, VERB 
region, NOUN 
interest, NOUN 
extent, NOUN 

, SPACE 
determined, VERB 
phase, NOUN 
shifting, VERB 
algorithm, PROPN 
combined, VERB 
phase, NOUN 

, SPACE 
unwrapping, NOUN 
technique, NOUN 
extremely, ADV 
sensitive, ADJ 
possible, ADJ 
tomeasure, NOUN 
displacements, NOUN 
small, ADJ 
25, NUM 
nm, NOUN 
generate, VERB 
full-, NOUN 
ﬁeld, ADJ 

, SPACE 
displacement, NOUN 
maps, NOUN 
Fig, PROPN 
2, NUM 

, SPACE 
Fig, PROPN 
1, NUM 
Micro, PROPN 
CT, PROPN 
images, NOUN 
femur, NOUN 
cranial, ADJ 
view, NOUN 
2, NUM 
mm, NOUN 
diaphyseal, ADJ 
section, NOUN 
interest, NOUN 
marked, VERB 
yellow, ADJ 
left, ADJ 
right, NOUN 
botto, PROPN 
m, VERB 
different, ADJ 

, SPACE 
views, NOUN 
2, NUM 
mm, NOUN 
segment, NOUN 
cranial, ADJ 
view, NOUN 
lateral, ADJ 
view, NOUN 
longitudinal, ADJ 
cross, NOUN 
section, NOUN 
transverse, ADJ 
cross, NOUN 
section, NOUN 
B, NOUN 
ESPI, PROPN 
Experimental, ADJ 
setup, NOUN 
showing, VERB 
location, NOUN 
tested, VERB 

, SPACE 
segment, NOUN 
3D, ADJ 
image, NOUN 
Dr., PROPN 
M.M., PROPN 
Barak, PROPN 
Google, PROPN 
Skechup, PROPN 
7)].86, PROPN 
N.L.-T., PROPN 
Chattah, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
45, NUM 
2009, NUM 
84, NUM 
90, NUM 

, SPACE 
Elastic, ADJ 
modulus, NOUN 
ESPI, ADJ 
optical, ADJ 
data, NOUN 
analysis, NOUN 

, SPACE 
Cumulative, PROPN 
Y, PROPN 
direction, NOUN 
displacement, NOUN 
matrices, NOUN 
created, VERB 

, SPACE 
experimental, ADJ 
sets, NOUN 
conducted, VERB 
segment, NOUN 
summation, NOUN 

, SPACE 
displacement, ADJ 
matrices, NOUN 
measured, VERB 
50, NUM 
loading, NOUN 
steps, NOUN 

, SPACE 
cumulative, ADJ 
matrix, NOUN 
provides, VERB 
total, ADJ 
displacement, NOUN 

, SPACE 
micrometers, NOUN 
pixel, NOUN 
region, NOUN 
interest, NOUN 
5000, NUM 

, SPACE 
data, NOUN 
points, NOUN 
located, VERB 
surface, NOUN 
sample, NOUN 
end, NOUN 
cycle, NOUN 

, SPACE 
50, NUM 
loading, NOUN 
steps, NOUN 
row, NOUN 
matrix, NOUN 
provides, VERB 
Y-, PROPN 

, SPACE 
displacements, NOUN 
pixels, NOUN 
located, VERB 
Y, PROPN 
position, NOUN 

, SPACE 
lower, ADJ 
anvil, NOUN 
measured, ADJ 
displacements, NOUN 
nearly, ADV 
uniform, ADJ 

, SPACE 
Y, PROPN 
position, NOUN 
experiments, NOUN 
samples, NOUN 
tested, VERB 

, SPACE 
represent, VERB 
displacements, NOUN 
row, NOUN 
Y, PROPN 
position, NOUN 

, SPACE 
mean, NOUN 
resulting, VERB 
vector, NOUN 
displacements, NOUN 
Y, PROPN 
direction, NOUN 

, SPACE 
sample, NOUN 
displacement, NOUN 
vs., ADP 
Y, NOUN 
position, NOUN 
relationship, NOUN 
plotted, VERB 

, SPACE 
linear, ADJ 
regression, NOUN 
calculated, VERB 
high, ADJ 
R2values, NOUN 
obtained, VERB 

, SPACE 
experiments, NOUN 
R2values, NOUN 
0.99, NUM 

, SPACE 
displacements, NOUN 
consistently, ADV 
varied, VERB 
linearly, ADV 
Y, PROPN 
position, NOUN 

, SPACE 
Fig, PROPN 
2, NUM 
slope, NOUN 
linear, ADJ 
regression, NOUN 
represents, VERB 
effective, ADJ 

, SPACE 
strain, NOUN 
sample, NOUN 
Y, PROPN 
direction, NOUN 
noted, VERB 

, SPACE 
magnitude, NOUN 
measured, ADJ 
displacements, NOUN 
determined, VERB 
relativeto, ADJ 
reference, NOUN 
point, NOUN 
gradient, NOUN 
measured, VERB 
Y, PROPN 
component, NOUN 

, SPACE 
strain, NOUN 
absolute, ADJ 
delta, NOUN 
force, NOUN 
pre, NOUN 
load, NOUN 
load, NOUN 

, SPACE 
reached, VERB 
end, NOUN 
50, NUM 
step, NOUN 
set, NOUN 
obtained, VERB 

, SPACE 
measurements, NOUN 
provided, VERB 
load, NOUN 
cell, NOUN 
force, NOUN 
divided, VERB 
bythe, ADP 
mean, VERB 
cross, ADJ 
sectional, ADJ 
area, NOUN 
sample, NOUN 
determined, VERB 
micro-, NOUN 

, SPACE 
CT, PROPN 
scanning, NOUN 
resulting, VERB 
value, NOUN 
considered, VERB 
effective, ADJ 

, SPACE 
stress, NOUN 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
E, NOUN 
calculated, VERB 

, SPACE 
ratio, NOUN 
effective, ADJ 
stress, NOUN 
effective, ADJ 
strain, NOUN 

, SPACE 
Validation, PROPN 

, SPACE 
order, NOUN 
validate, VERB 
proposed, VERB 
method, NOUN 
ULTEM, NOUN 
tube, NOUN 

, SPACE 
samples, NOUN 
prepared, VERB 
tubes, NOUN 
resemble, VERB 
bone, NOUN 

, SPACE 
segments, NOUN 
2, NUM 
mm, NOUN 
length, NOUN 
outer, ADJ 
diameter, NOUN 
1.26, NUM 
mm, NUM 

, SPACE 
inner, ADJ 
diameter, NOUN 
1, NUM 
mm, NUM 
ULTEM, PROPN 
1000, NUM 
Acetal, PROPN 
Polyether, PROPN 
Imide, PROPN 

, SPACE 
isotropic, ADJ 
material, NOUN 
ULTEM, PROPN 
1000, NUM 

, SPACE 
®, NOUN 
General, PROPN 
Electric, PROPN 
Plastics, PROPN 

, SPACE 
known, VERB 
elastic, ADJ 
modulus, NOUN 
reported, VERB 
manufacturer, NOUN 
∼3516, PROPN 
Mpa, PROPN 

, SPACE 
tubes, NOUN 
tested, VERB 
according, VERB 
protocol, NOUN 
described, VERB 

, SPACE 
Elastic, ADJ 
modulus, NOUN 
point, NOUN 
bending, VERB 

, SPACE 
femora, NOUN 
tested, VERB 
point, NOUN 
bending, NOUN 
Biomecha-, PROPN 

, SPACE 
nical, ADJ 
testing, NOUN 
performed, VERB 
custom, NOUN 
designed, VERB 
mecha-, ADJ 

, SPACE 
nical, ADJ 
tension, NOUN 
compression, NOUN 
device, NOUN 
described, VERB 
ﬁtted, VERB 

, SPACE 
custom, NOUN 
built, VERB 
point, NOUN 
bending, VERB 
testing, NOUN 
device, NOUN 
bones, NOUN 
testedwhile, ADJ 
fully, ADV 
immersed, VERB 
water, NOUN 
femur, NOUN 
placed, VERB 
supports, NOUN 

, SPACE 
having, AUX 
rounded, VERB 
proﬁ, PROPN 
les, X 
0.5, NUM 
mm, NOUN 
diameter, NOUN 
supports, NOUN 

, SPACE 
located, VERB 
equidistant, ADJ 
ends, NOUN 
bone, NOUN 
contactedthe, DET 
anterior, ADJ 
aspect, NOUN 
diaphysis, NOUN 
span, NOUN 
supports, NOUN 

, SPACE 
5, NUM 
mm, NUM 
bone, NOUN 
loaded, VERB 
posterior, ADJ 
aspect, NOUN 
mid, NOUN 
distance, NOUN 
supports, NOUN 
Loading, NOUN 
conducted, VERB 
aconstant, ADJ 
rate, NOUN 
200, NUM 
μm, NOUN 
min, NOUN 
Force, NOUN 
displacement, NOUN 
data, NOUN 
collected, VERB 

, SPACE 
custom, ADV 
written, VERB 
software, NOUN 
Lab, NOUN 
view, NOUN 
7.0, NUM 
50, NUM 
Hz, PROPN 
resultingload, NOUN 
displacement, ADJ 
curves, NOUN 
analyzed, VERB 
calculate, VERB 
bone, NOUN 

, SPACE 
stiffness, NOUN 
slope, NOUN 
linear, ADJ 
portion, NOUN 
load, NOUN 
displacement, NOUN 
curve, NOUN 

, SPACE 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
cortical, ADJ 
bone, NOUN 
material, NOUN 
estima-, NOUN 

, SPACE 
ted, VERB 
based, VERB 
beam, NOUN 
theory, NOUN 
yields, VERB 
following, VERB 
relationship, NOUN 

, SPACE 
E=, NOUN 

, SPACE 
s, PROPN 
C1L3, PROPN 

, SPACE 
48Ið1Þ, NUM 

, SPACE 
Eis, PROPN 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
N, PROPN 
mm2),Sis, NOUN 
slope, NOUN 

, SPACE 
linear, ADJ 
portion, NOUN 
load, NOUN 
displacement, NOUN 
curve, NOUN 
N, PROPN 
mm, PROPN 
Lis, PROPN 
support, NOUN 

, SPACE 
span, NOUN 
mm, PROPN 
Iis, PROPN 
cross, ADJ 
sectional, ADJ 
moment, NOUN 
inertia, NOUN 
mm4)o, NOUN 
ft, PROPN 
h, PROPN 
e, AUX 

, SPACE 
mid, NOUN 
diaphysis, NOUN 
tested, VERB 
bone, NOUN 
determined, VERB 
micro, NOUN 
CT, NOUN 

, SPACE 
Statistical, ADJ 
analyses, NOUN 

, SPACE 
Statistical, ADJ 
analyses, NOUN 
preformed, VERB 
Graphpad, PROPN 
prism, NOUN 
5.0, NUM 

, SPACE 
software, NOUN 
GraphPad, PROPN 
Inc., PROPN 
Statistical, ADJ 
signi, NOUN 
ﬁcance, NOUN 
set, VERB 
Pb0.05, PROPN 

, SPACE 
way, NOUN 
analysis, NOUN 
variance, NOUN 
ANOVA, PROPN 
compare, VERB 

, SPACE 
effective, ADJ 
elastic, ADJ 
moduli, NOUN 
tested, VERB 
femoral, ADJ 
segments, NOUN 

, SPACE 
different, ADJ 
groups, NOUN 
followed, VERB 
Tukey, PROPN 
posthoc, NOUN 
test, NOUN 
Elastic, ADJ 
moduli, NOUN 

, SPACE 
paired, VERB 
left, ADJ 
right, ADJ 
femoral, ADJ 
segments, NOUN 
compared, VERB 
paired, VERB 

, SPACE 
Student, PROPN 
t, NOUN 
test, NOUN 
Spearman, PROPN 
rank, NOUN 
correlation, NOUN 
examine, VERB 

, SPACE 
correlation, NOUN 
mouse, NOUN 
weight, NOUN 
elastic, ADJ 
modulus, NOUN 

, SPACE 
ResultsMicro, PROPN 
CT, PROPN 
structural, ADJ 
analysis, NOUN 

, SPACE 
Table, NOUN 
1, NUM 
provides, VERB 
mean, ADJ 
cortical, ADJ 
area, NOUN 
length, NOUN 
seg-, PROPN 

, SPACE 
ments, NOUN 
results, NOUN 
cortical, ADJ 
area, NOUN 
uniform, ADJ 

, SPACE 
segment, NOUN 
inferred, VERB 
small, ADJ 
standard, ADJ 
deviations, NOUN 

, SPACE 
Elastic, ADJ 
modulus, NOUN 
based, VERB 
ESPI, ADJ 
optical, ADJ 
data, NOUN 
analysis, NOUN 

, SPACE 
Determination, NOUN 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
2, NUM 
mm, NOUN 
femoral, ADJ 

, SPACE 
segments, NOUN 
week, NOUN 
old, ADJ 
B6, NOUN 
mice, NOUN 
ESPI, PROPN 
Table, PROPN 
1, NUM 
shows, VERB 

, SPACE 
Fig, PROPN 
2, NUM 
Y, PROPN 
displacement, NOUN 
map, NOUN 
based, VERB 
mean, ADJ 
displacements, NOUN 
obtained, VERB 

, SPACE 
repeated, VERB 
loading, NOUN 
sequences, NOUN 
black, ADJ 
arrow, NOUN 
points, NOUN 
direction, NOUN 
applied, VERB 
force, NOUN 

, SPACE 
axes, NOUN 
represent, VERB 
number, NOUN 
pixels, NOUN 
region, NOUN 
interest, NOUN 
pixel, NOUN 
size, NOUN 
approx-, NUM 

, SPACE 
imately, ADV 
12, NUM 
μm, NOUN 

, SPACE 
Table, NOUN 
1Geometric, ADJ 
parameters, NOUN 
bone, NOUN 
segments, NOUN 
ESPI, PROPN 
derived, VERB 
strain, NOUN 
stress, NOUN 
elasticmoduli, NOUN 
E, NOUN 

, SPACE 
Storage, PROPN 
Specimen, PROPN 
Cortical, PROPN 

, SPACE 
cross, ADJ 
sectionalarea, ADJ 
mm, PROPN 

, SPACE 
2)Stress, NOUN 
MPa, PROPN 
Strain, PROPN 
μs, PROPN 
E(GPa, PROPN 

, SPACE 
Mean, PROPN 
±SD, NOUN 
Mean, PROPN 
±SD, NOUN 
Mean, PROPN 
±SD, NOUN 
Mean, PROPN 
±SD, PROPN 

, SPACE 
Frozen:8, PROPN 
months201R, NOUN 
0.40, NUM 
0.01, NUM 
50.24, NUM 
0.65, NUM 
5480, NUM 
130, NUM 
9.18, NUM 
0.11)201L, NUM 
0.40, NUM 
0.02, NUM 
53.04, NUM 
0.51, NUM 
4900, NUM 
0, NUM 
10.82, NUM 
0.10)202R, PROPN 
0.40, NUM 
0.01, NUM 
50.80, NUM 
0.79, NUM 
4750, NUM 
90, NUM 
10.70, NUM 
0.28)202L, NOUN 
0.39, NUM 
0.01, NUM 
54.97, NUM 
0.55, NUM 
5430, NUM 
40, NUM 
10.01, NUM 
0.07)203R, PROPN 
0.43, NUM 
0.01, NUM 
48.81, NUM 
0.62, NUM 
4330, NUM 
40, NUM 
11.29, NUM 
0.17, NUM 

, SPACE 
203L, PROPN 
0.41, NUM 
0.01, NUM 
54.56, NUM 
0.54, NUM 
4680, NUM 
80, NUM 
11.68, NUM 
0.29, NUM 

, SPACE 
204L, PROPN 
0.40, NUM 
0.01, NUM 
49.01, NUM 
0.52, NUM 
5580, NUM 
160, NUM 
8.70, NUM 
0.19)205L, NOUN 
0.49, NUM 
0.01, NUM 
48.60, NUM 
0.52, NUM 
4400, NUM 
70, NUM 
11.05, NUM 
0.16)206L, PROPN 
0.47, NUM 
0.01, NUM 
47.64, NUM 
0.25, NUM 
4430, NUM 
150, NUM 
11.03, NUM 
0.36)207L, PROPN 
0.47, NUM 
0.01, NUM 
49.97, NUM 
0.66, NUM 
4950, NUM 
110, NUM 
10.10, NUM 
0.14)209L, PROPN 
0.48, NUM 
0.02, NUM 
45.74, NUM 
0.43, NUM 
4280, NUM 
110, NUM 
10.71, NUM 
0.25)210L, NOUN 
0.49, NUM 
0.01, NUM 
50.74, NUM 
0.35, NUM 
5200, NUM 
120, NUM 
9.76, NUM 
0.29, NUM 

, SPACE 
Frozen, PROPN 

, SPACE 
2, NUM 
weeks301R, X 
0.46, NUM 
0.01, NUM 
49.54, NUM 
0.59, NUM 
5780, NUM 
190, NUM 
8.59, NUM 
0.21)302R, PROPN 
0.47, NUM 
0.01, NUM 
51.66, NUM 
0.14, NUM 
5480, NUM 
150, NUM 
9.44, NUM 
0.25, NUM 

, SPACE 
303R, PROPN 
0.45, NUM 
0.02, NUM 
50.96, NUM 
0.22, NUM 
4980, NUM 
80, NUM 
10.25, NUM 
0.15)305R, PROPN 
0.40, NUM 
0.01, NUM 
52.38, NUM 
0.36, NUM 
6080, NUM 
220, NUM 
8.63, NUM 
0.26)306R, PROPN 
0.48, NUM 
0.01, NUM 
41.54, NUM 
0.24, NUM 
6930, NUM 
130, NUM 
6.00, NUM 
0.08, NUM 

, SPACE 
Fresh, PROPN 
302L, PROPN 
0.47, NUM 
0.01, NUM 
45.60, NUM 
0.18, NUM 
5750, NUM 
180, NUM 
7.94, NUM 
0.28, NUM 

, SPACE 
303L, PROPN 
0.42, NUM 
0.01, NUM 
54.34, NUM 
0.52, NUM 
6480, NUM 
180, NUM 
8.40, NUM 
0.17)304L, PROPN 
0.42, NUM 
0.01, NUM 
49.11, NUM 
0.21, NUM 
6330, NUM 
40, NUM 
7.77, NUM 
0.05)305L, PROPN 
0.47, NUM 
0.02, NUM 
42.46, NUM 
0.44, NUM 
5130, NUM 
40, NUM 
8.29, NUM 
0.09, NUM 

, SPACE 
306L, PROPN 
0.36, NUM 
0.01, NUM 
62.09, NUM 
0.34, NUM 
5900, NUM 
70, NUM 
10.52, NUM 
0.13, NUM 

, SPACE 
307L, PROPN 
0.40, NUM 
0.01, NUM 
56.64, NUM 
0.88, NUM 
5430, NUM 
110, NUM 
10.44, NUM 
0.20, NUM 

, SPACE 
L, PROPN 
=, VERB 
left, VERB 
femur, NOUN 
R, NOUN 
=, NOUN 
right, ADJ 
femur.87, NOUN 
N.L.-T., PROPN 
Chattah, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
45, NUM 
2009, NUM 
84, NUM 
90, NUM 

, SPACE 
mean, ADJ 
moduli, NOUN 
calculated, VERB 
different, ADJ 
groups, NOUN 
10.4±, PROPN 

, SPACE 
0.9, NUM 
GPa, NOUN 
femora, NOUN 
frozen, VERB 
months, NOUN 
8.6±1.4, NUM 
GPa, NOUN 

, SPACE 
femora, NOUN 
frozen, VERB 
weeks, NOUN 
8.9±1.1, NUM 
GPa, NOUN 
fresh, ADJ 
femora, NOUN 

, SPACE 
way, NOUN 
ANOVA, PROPN 
Pb0.0086, PROPN 
followed, VERB 
Tukey, PROPN 
posthoc, NOUN 
test, NOUN 
showed, VERB 

, SPACE 
samples, NOUN 
group, NOUN 
frozen, VERB 
months, NOUN 
asigniﬁcantly, ADV 
higher, ADJ 
mean, ADJ 
elastic, ADJ 
modulus, NOUN 
compared, VERB 
fresh, ADJ 

, SPACE 
segments, NOUN 
frozen, ADJ 
weeks, NOUN 
Pb0.05, NOUN 
elastic, ADJ 

, SPACE 
moduli, NOUN 
paired, VERB 
left, NOUN 
right, ADJ 
femoral, ADJ 
segments, NOUN 
indi, PROPN 
vidual, ADJ 
differ, VERB 
frozen, ADJ 
group, NOUN 
n=3, PROPN 
pooled, ADJ 
fresh, ADJ 

, SPACE 
recent, ADJ 
frozen, ADJ 
group, NOUN 
N=4, PROPN 
Paired, VERB 
Student, PROPN 
t, NOUN 
test, NOUN 
corre-, ADJ 

, SPACE 
lation, NOUN 
found, VERB 
body, NOUN 
weight, NOUN 
calculated, VERB 
elastic, ADJ 

, SPACE 
modulus, NOUN 
Spearman, PROPN 
Rank, PROPN 
correlation, NOUN 

, SPACE 
Validation, PROPN 

, SPACE 
Table, NOUN 
2, NUM 
shows, VERB 
mean, VERB 
elastic, ADJ 
moduli, NOUN 
calculated, VERB 
ULTEM, PROPN 

, SPACE 
tubes, NOUN 
determined, VERB 
method, NOUN 
described, VERB 
table, NOUN 

, SPACE 
provides, VERB 
comparison, NOUN 
values, NOUN 
supplied, VERB 
manufacturer, NOUN 

, SPACE 
based, VERB 
point, NOUN 
bending, VERB 
tests, NOUN 
determined, VERB 

, SPACE 
compression, NOUN 
ULTEM, PROPN 
2×2×2, NUM 
mm, NOUN 
cubes, NOUN 
ESPI, PROPN 
method, NOUN 
33, NUM 

, SPACE 
measured, ADJ 
moduli, NOUN 
ULTEM, PROPN 
tubes, NOUN 
8.5, NUM 
thevalue, NOUN 
reported, VERB 
manufacturer, NOUN 
close, ADJ 
values, NOUN 

, SPACE 
previously, ADV 
reported, VERB 
Shahar, PROPN 
et, PROPN 
al, PROPN 
33, NUM 
results, NOUN 
indicate, VERB 

, SPACE 
ESPI, PROPN 
method, NOUN 
accurate, ADJ 
determining, VERB 
elastic, ADJ 
modulus, NOUN 
ofmillimeter, NOUN 
sized, ADJ 
tubular, ADJ 
shaped, VERB 
geometrical, ADJ 
specimens, NOUN 

, SPACE 
Precision, PROPN 

, SPACE 
mean, ADJ 
elastic, ADJ 
moduli, NOUN 
bone, NOUN 
segments, NOUN 
ULTEM, PROPN 
tubes, NOUN 

, SPACE 
based, VERB 
averaging, VERB 
elastic, ADJ 
moduli, NOUN 
obtained, VERB 
separate, ADJ 

, SPACE 
incremental, ADJ 
loading, NOUN 
experiments, NOUN 
specimen, NOUN 
Tables, NOUN 
1, NUM 
2, NUM 

, SPACE 
standard, ADJ 
deviation, NOUN 
sets, NOUN 
low, ADJ 
rangingbetween, ADJ 
0.64, NUM 
3.53, NUM 
bone, NOUN 
segments, NOUN 
1.14, NUM 
1.99, NUM 

, SPACE 
ULTEM, PROPN 
tubes, NOUN 
bone, NOUN 
segments, NOUN 
Table, NOUN 
1, NUM 
effective, ADJ 
stress, NOUN 

, SPACE 
strain, NOUN 
low, ADJ 
standard, ADJ 
deviations, NOUN 
ranging, VERB 
0.57, NUM 
and1.56, NOUN 
0, NUM 
3.62, NUM 
respectively, ADV 
results, NOUN 
indicate, VERB 
ESPI, PROPN 

, SPACE 
method, NOUN 
precise, ADJ 

, SPACE 
point, NOUN 
bending, VERB 

, SPACE 
elastic, ADJ 
moduli, NOUN 
obtained, VERB 
point, NOUN 
bending, VERB 
tests, NOUN 

, SPACE 
low, ADJ 
compared, VERB 
results, NOUN 
ESPI, PROPN 
Fig, PROPN 
3, NUM 
Table, PROPN 
3, NUM 
mean, ADJ 

, SPACE 
modulus, NOUN 
bones, NOUN 
n=5, PROPN 
0.88±0.18, PROPN 
GPa, NOUN 

, SPACE 
Discussion, PROPN 

, SPACE 
study, NOUN 
introduce, VERB 
novel, ADJ 
method, NOUN 
determining, VERB 

, SPACE 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
mice, NOUN 
cortical, ADJ 
bone, NOUN 
millimeter, NOUN 
sized, ADJ 

, SPACE 
femoral, ADJ 
midshaft, NOUN 
diaphyses, NOUN 
segments, NOUN 
tested, VERB 
compression, NOUN 

, SPACE 
elastic, ADJ 
modulus, NOUN 
determined, VERB 
ESPI, PROPN 
optical, ADJ 
metrology, NOUN 

, SPACE 
method, NOUN 
based, VERB 
averaging, VERB 
elastic, ADJ 
moduli, NOUN 
obtained, VERB 

, SPACE 
independent, ADJ 
experiments, NOUN 
segment, NOUN 
theESPI, PROPN 
method, NOUN 
accurately, ADV 
precisely, ADV 
determine, VERB 

, SPACE 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
cortical, ADJ 
bone, NOUN 
segments, NOUN 
direct, ADJ 

, SPACE 
measurement, NOUN 
surface, NOUN 
displacements, NOUN 
compression, NOUN 

, SPACE 
axial, ADJ 
direction, NOUN 
method, NOUN 
tested, VERB 
week, NOUN 
old, ADJ 
mice, NOUN 

, SPACE 
moduli, NOUN 
observed, VERB 
greater, ADJ 
reported, VERB 

, SPACE 
literature, NOUN 
mice, NOUN 
femora, NOUN 
age, NOUN 
elastic, ADJ 
moduli, NOUN 

, SPACE 
determined, VERB 
bending, VERB 
tests, NOUN 
Fig, PROPN 
3, NUM 

, SPACE 
Studies, NOUN 
shown, VERB 
bone, NOUN 
bending, VERB 
tests, NOUN 

, SPACE 
determining, VERB 
effective, ADJ 
elastic, ADJ 
modulus, NOUN 
mouse, NOUN 
cortical, ADJ 
