ORIGINAL, PROPN 
15-, PROPN 

, SPACE 
and25, ADJ 
day, NOUN 
oldratsrevealedthepresenceofnervefiberseitherinthevicinityoftheperiosteumandsurroundingconnectivetissuesorinthemusclesattachedtoit, NOUN 
Someofthemwererunningalongveins, NOUN 
arteries, NOUN 
diaphyseal, ADJ 
nerve, NOUN 
trunk, NOUN 
entering, VERB 
bonealongnutrientvessels, NOUN 
comprisedmainlynonmyelinatedfibersin15, NOUN 
day, NOUN 
old, ADJ 
rats, NOUN 
Figure, VERB 
1, NUM 
periosteum, NOUN 
15-, PROPN 

, SPACE 
25, NUM 
day, NOUN 
old, ADJ 
rats, NOUN 
nerve, NOUN 
fibers, NOUN 
generally, ADV 
unmyelinated, ADJ 
whereasintheendosteum, NOUN 
somemyelinatedfiberswereobservedin, VERB 
proximity, NOUN 
osteoblasts, NOUN 
numerous, ADJ 
25, NUM 
day, NOUN 
old, ADJ 
rats(Figure, NOUN 
1b, PROPN 
bone, NOUN 
marrow, NOUN 
unmyelinated, ADJ 
nerve, NOUN 
fibersrunning, VERB 
hematopoı, NOUN 
¨etic, ADJ 
cells, NOUN 
demonstrated, VERB 
Figure, NOUN 

, SPACE 
1c).Myelinatednervefiberswereneverpresentintheendosteumor, NUM 
bone, NOUN 
marrow, NOUN 
neonatal, ADJ 
rats, NOUN 

, SPACE 
addition, NOUN 
sparse, NOUN 
morphologically, ADV 
clearly, ADV 
identified, VERB 

, SPACE 
nervefibers, NOUN 
abundantthinnerve, NOUN 
likeprocesseswereobservedinlong, ADJ 
bone, NOUN 
sections, NOUN 
ran, VERB 
vessels, NOUN 
adjacent, ADJ 
bonetrabeculae, NOUN 
vicinity, NOUN 
hematopoı, NOUN 
¨etic, ADJ 
bone, NOUN 
cells, NOUN 

, SPACE 
showed, VERB 
enlarged, ADJ 
endings, NOUN 
close, ADJ 
contact, NOUN 
cells, NOUN 
devoid, ADJ 
basement, NOUN 
membrane, NOUN 
NeitherSchawnn, PROPN 
cells, NOUN 
myelin, NOUN 
sheath, NOUN 
observed, VERB 
periph, NOUN 
ery, NOUN 
structural, ADJ 
features, NOUN 
nerve, NOUN 
like, ADJ 
processes, NOUN 
wereslightly, ADV 
different, ADJ 
neonatal, ADJ 
15, NUM 
day, NOUN 
old, ADJ 
rats, NOUN 
neonatalrats, NOUN 
nerve, NOUN 
like, ADP 
processes, NOUN 
contained, VERB 
hyaloplasm, NOUN 
rareorganelles, NOUN 
Figure, NOUN 
1d, NUM 
older, ADJ 
rats, NOUN 
organelles, NOUN 
wereobserved, VERB 
small, ADJ 
mitochondria, PROPN 
glycogen, NOUN 
particles, NOUN 
anddense, NOUN 
granules, NOUN 
Microfilaments, NOUN 
microtubules, NOUN 
microvesicles, NOUN 
usually, ADV 
abundant, X 
nerve, NOUN 
fibers, NOUN 
visible, ADJ 
cellprocesses, NOUN 
Figure, VERB 
1e, PROPN 
contrast, NOUN 
contained, VERB 
golgiapparatus, NOUN 
endoplasmic, ADJ 
tubular, ADJ 
structures, NOUN 
generally, ADV 
de, ADJ 
scribed, ADJ 
stromal, ADJ 
cells, NOUN 

, SPACE 
Immunoreactivity, NOUN 
Nerve, PROPN 
Processes, PROPN 

, SPACE 
Specific, PROPN 
Neuronal, PROPN 
Markers, PROPN 

, SPACE 
antibody, NOUN 
directed, VERB 
NF200, PROPN 
general, ADJ 
nerve, NOUN 

, SPACE 
marker, NOUN 
revealed, VERB 
epiphysis, NOUN 
neonatal, ADJ 
rats, NOUN 
consistedonly, ADV 
cartilage, NOUN 
stage, NOUN 
development, NOUN 
devoid, ADJ 
ofinnervation, NOUN 
Incontrast, PROPN 
inallthemetaphysisofneonatalratsandin, VERB 
diaphysal, ADJ 
area, NOUN 
containing, VERB 
nutrient, ADJ 
vessels, NOUN 
denseinnervation, NOUN 
observed, VERB 
appeared, VERB 
prominent, ADJ 
networkof, ADJ 
thin, ADJ 
cytoplasmic, ADJ 
cell, NOUN 
processes, NOUN 
close, ADJ 
relation, NOUN 
bloodvessels, NOUN 
Figure, NOUN 
2a, PROPN 
Nerve, NOUN 
endings, NOUN 
corresponding, VERB 
dilatations, NOUN 

, SPACE 
nerve, NOUN 
processes, NOUN 
found, VERB 
contact, NOUN 
medullarycells, NOUN 
bone, NOUN 
cells, NOUN 
Figure, NOUN 
2a, PROPN 
Hematopoı, ADJ 
¨etic, ADJ 
cells, NOUN 
endothelial, ADJ 

, SPACE 
cells, NOUN 
bone, NOUN 
cells, NOUN 
negative, ADJ 
marker, NOUN 
anypart, NOUN 
bone, NOUN 
nerve, NOUN 
processes, NOUN 
labeled, VERB 
TH(Figure, NOUN 
2b, NUM 
MAP2, PROPN 
Figure, NOUN 
2c, PROPN 
markers, NOUN 
nervefibers, NOUN 
Control, NOUN 
sections, NOUN 
specific, ADJ 
antibodies, NOUN 
placed, VERB 
MOPC21, NOUN 
purified, VERB 
immunoglobulins, NOUN 
G, NOUN 
fromrabbit, NOUN 
showednospecificimmunoreactivity(datanotshown).Infemurs, NOUN 
tibia, PROPN 
15-, PROPN 
25, NUM 
day, NOUN 
old, ADJ 
rats, NOUN 
immunolabeling, VERB 
forneuronal, ADJ 
markers, NOUN 
stained, VERB 
network, NOUN 
nerve, NOUN 
processesadjacent, NOUN 
blood, NOUN 
vessels, NOUN 
bone, NOUN 
marrow, NOUN 
bone, NOUN 
cells, NOUN 

, SPACE 
distribution, NOUN 
slightly, ADV 
different, ADJ 
later, ADJ 
stages, NOUN 
devel, NOUN 
opment, NOUN 
nerve, NOUN 
processes, NOUN 
observed, VERB 
epiphysisin, NOUN 
secondary, ADJ 
ossification, NOUN 
center, NOUN 
localized, VERB 
inproximity, NOUN 
bone, NOUN 
cells, NOUN 
lining, VERB 
trabeculae, NOUN 
facing, VERB 
growth, NOUN 
plate, NOUN 
deeper, ADJ 
epiphysis, NOUN 
appeared, VERB 
innervated, VERB 
themetaphysis, NOUN 
immediately, ADV 
growth, NOUN 
plate, NOUN 
nerve, NOUN 
processeswere, ADV 
sparse, NOUN 
Farther, ADV 
away, ADV 
growth, NOUN 
plate, NOUN 
formed, VERB 
anexpanded, VERB 
network, NOUN 
bone, NOUN 
trabeculae, NOUN 
inten, NOUN 
sity, NOUN 
labeling, NOUN 
homogeneous, ADJ 
trabecula, NOUN 
toanother, NOUN 
diaphysis, NOUN 
nerve, NOUN 
processes, NOUN 
seen, VERB 
undercortical, ADJ 
bone, NOUN 
periosteocytic, ADJ 
lacunae, NOUN 
nerve, NOUN 

, SPACE 
Figure, NOUN 
4, NUM 
Electron, PROPN 
micrographs, NOUN 
rat, NOUN 
long, ADJ 
bone, NOUN 
sections, NOUN 
immu-, X 

, SPACE 
nocytochemical, ADJ 
labeling, NOUN 
nerve, NOUN 
markers, NOUN 
b, PROPN 
c, PROPN 
d, X 
Immunola, PROPN 
belings, NOUN 
neonatal, ADJ 
rat, PROPN 
femur, NOUN 
c, PROPN 
d, NUM 
15, NUM 
day, NOUN 
old, ADJ 
rat, PROPN 
tibia, PROPN 
b, PROPN 
metaph, NOUN 
ysis, NOUN 
followed, VERB 
biotin, NOUN 
streptavidin, PROPN 
gold, ADJ 
complex, NOUN 
staining, NOUN 
NF200(a, PROPN 
b, NUM 
TH, PROPN 
c, NOUN 
MAP2, PROPN 
d, PROPN 
gold, NOUN 
particles, NOUN 
arrows, NOUN 
localized, VERB 
innerveprocessesrunninginbonemarrowclosetopreosteoblasts(pOb),orin, NOUN 
nerve, NOUN 
endings, NOUN 
containing, VERB 
microvesicle, NOUN 
asterisk, NOUN 
contact, NOUN 
withhematopoı, ADJ 
¨eticcell(H).Theinsetin4cpointsoutgoldparticules(arrow, NUM 

, SPACE 
Bars, NOUN 
200, NUM 
nm, NOUN 
e, NOUN 
Low, ADJ 
magnification, NOUN 
electron, NOUN 
micrograph, NOUN 
reembed, ADJ 
ded, VERB 
semithin, NOUN 
section, NOUN 
immunostained, VERB 
NF200, PROPN 
Positive, ADJ 
profiles, NOUN 
ar, NOUN 
rows, NOUN 
contain, VERB 
organelles, NOUN 
morphologically, ADV 
similar, ADJ 
thoseobserved, ADJ 
ultrathin, ADJ 
sections, NOUN 
immunolabeled, VERB 
gold, NOUN 
particles, NOUN 
Fig.4a, NOUN 
b).626, PROPN 
C., PROPN 
M., PROPN 
Serre, PROPN 
et, PROPN 
al, PROPN 
Bone, PROPN 
Vol, PROPN 
25, NUM 
6, NUM 

, SPACE 
Glu, PROPN 
containing, VERB 
nerve, NOUN 
processes, NOUN 
bone, NOUN 
December, PROPN 
1999:623–629, NUM 

, SPACE 
endings, NOUN 
evident, ADJ 
center, NOUN 
diaphysis, NOUN 

, SPACE 
contact, NOUN 
hematopoı, NOUN 
¨etic, ADJ 
cells, NOUN 
Figure, NOUN 
2d, PROPN 

, SPACE 
distribution, NOUN 
nerve, NOUN 
markers, NOUN 
different, ADJ 

, SPACE 
type, NOUN 
III, NUM 
collagens, NOUN 
Immunolabelings, NOUN 
NF200, PROPN 
type, NOUN 
Ior, PROPN 
type, NOUN 
III, PROPN 
collagen, NOUN 
performed, VERB 
consecutive, ADJ 
bone, NOUN 
sections, NOUN 
found, VERB 
mutually, ADV 
exclusive, ADJ 
Type, NOUN 
collagen, VERB 
wasvisualized, VERB 
bone, NOUN 
matrix, NOUN 
osteoblasts, NOUN 
stromal, ADJ 
cellsprobably, ADV 
preosteoblasts, NOUN 
Figure, NOUN 
3a, PROPN 
cell, NOUN 
processes, NOUN 

, SPACE 
immunolabeled, VERB 
NF200, PROPN 
Figure, NOUN 
3b, PROPN 
Type, PROPN 
III, PROPN 
collagen, NOUN 
waspresent, NOUN 
remaining, VERB 
cartilage, NOUN 
matrix, NOUN 
bone, NOUN 
trabeculaeand, NOUN 
extracellular, ADJ 
collagen, NOUN 
fibrils, NOUN 
abundant, ADJ 
stromal, ADJ 
cellperiphery, NOUN 
Figure, NOUN 
3c, NUM 
expressed, VERB 
network, NOUN 
ofcell, NOUN 
processes, NOUN 
containing, VERB 
NF200, PROPN 
Figure, PROPN 
3d, PROPN 

, SPACE 
electron, NOUN 
microscopic, ADJ 
analysis, NOUN 
colloidal, NOUN 
gold, NOUN 
im-, NOUN 

, SPACE 
munolabeling, NOUN 
neuronal, ADJ 
markers, NOUN 
confirmed, VERB 
nerve, NOUN 
pro, ADJ 
cesses, NOUN 
expressing, VERB 
NF200, PROPN 
Figure, PROPN 
4a, PROPN 
b, X 
TH, PROPN 
Figure, NOUN 
4c, PROPN 

, SPACE 
MAP2, PROPN 
Figure, NOUN 
4d, PROPN 
labeling, NOUN 
abundant, ADJ 
nerveprocesses, NOUN 
running, VERB 
bone, NOUN 
marrow, NOUN 
widened, ADJ 
parts, NOUN 
incontact, VERB 
hematopoı, NOUN 
¨etic, ADJ 
cells, NOUN 
Figure, PROPN 
4a, NUM 
bone, NOUN 
cells, NOUN 

, SPACE 
Figure, NOUN 
4b, PROPN 
c, PROPN 
d, NUM 
low, ADJ 
magnification, NOUN 
electron, NOUN 
micrograph, NOUN 
areembedded, VERB 
semithin, NOUN 
section, NOUN 
immunostained, VERB 
NF200, PROPN 
Figure4e, PROPN 
showed, VERB 
immunolabeled, VERB 
profiles, NOUN 
contained, VERB 
rare, ADJ 
ganelles, NOUN 
morphologically, ADV 
similar, ADJ 
observed, VERB 
onultrathin, ADJ 
sections, NOUN 
immunostained, VERB 
NF200, PROPN 
colloidal, NOUN 
gold(Figure, PROPN 
4a, PROPN 
b, NUM 

, SPACE 
Synaptophysin, PROPN 
major, ADJ 
proteins, NOUN 
present, ADJ 
synaptic, ADJ 

, SPACE 
vesicles, NOUN 
detected, VERB 
long, ADJ 
bone, NOUN 
sections, NOUN 
tissue, NOUN 
distribu, NOUN 
tion, NOUN 
protein, NOUN 
similar, ADJ 
nerve, NOUN 
markers, NOUN 
notidentical, ADJ 
Labeling, VERB 
synaptophysin, NOUN 
restricted, ADJ 
andmainlylocalizedtoshortnervestructuresincontacttobonecells, NOUN 
endothelial, NOUN 
bone, NOUN 
marrow, NOUN 
cells, NOUN 
Figure, NOUN 
5a, PROPN 
b, PROPN 
c, NOUN 
VIP, NOUN 
immu-, NOUN 

, SPACE 
noreactivity, NOUN 
found, VERB 
bone, NOUN 
tissue, NOUN 
distribution, NOUN 
ofthis, PROPN 
neuropeptide, ADV 
identical, ADJ 
synaptophysin, NOUN 
Figure, NOUN 
5d, PROPN 

, SPACE 
Figure, NOUN 
5, NUM 
Immunocytochemical, ADJ 
localizations, NOUN 
synaptophysin, NOUN 
VIP, PROPN 

, SPACE 
long, ADJ 
bones, NOUN 
growing, VERB 
rats, NOUN 
Metaphysis, PROPN 
neonatal, ADJ 
rat, NOUN 
femur, NOUN 
Synaptophysin, PROPN 
present, ADJ 
enlargements, NOUN 
nerve, NOUN 
processes, NOUN 
contactwith, ADJ 
blood, NOUN 
vessels, NOUN 
arrows, NOUN 
osteoclasts, NOUN 
asterisk, NOUN 
hematopoı, VERB 
¨etic, ADJ 

, SPACE 
cells, NOUN 
arrow, NOUN 
heads, NOUN 
b, X 
Diaphysis, NOUN 
25, NUM 
day, NOUN 
old, ADJ 
rat, PROPN 
tibia, PROPN 
Synaptophysinis, PROPN 
present, ADJ 
nerve, NOUN 
endings, NOUN 
arrow, NOUN 
heads, NOUN 
contact, NOUN 
osteoblastsunderlaying, VERB 
cortical, ADJ 
bone, NOUN 
c, NOUN 
periosteocytic, ADJ 
lacunae, NOUN 
contain, VERB 
positiveendings, NOUN 
arrow, ADV 
contact, NOUN 
osteocytes, NOUN 
c, NOUN 
d, X 
Consecutive, ADJ 
sectionsofneonatalratfemurmetaphysis, NOUN 
nearafferentvessels, NOUN 
Synaptophysin(c)isvisualizedinnerveprocessesclosetohematopoı, VERB 
¨eticcells(arrows)andinthe, DET 

, SPACE 
walloftheartery(a)(arrowheads).VIP(d)iscoexpressedinthesamenerveprofiles, NOUN 
Original, ADJ 
magnification, NOUN 
31000, NUM 

, SPACE 
Figure, PROPN 
6, NUM 
Immunocytochemical, ADJ 
localization, NOUN 
glutamate, ADJ 
long, ADJ 
bones, NOUN 

, SPACE 
ofgrowingrats.(a)Metaphysisofneonatalrat, PROPN 
Glu(arrows)ispresentinnerve, PROPN 
processes, NOUN 
running, VERB 
bone, NOUN 
marrow, NOUN 
showing, VERB 
enlargements, NOUN 
incontactwithhematopoı, ADJ 
¨eticcells(H).Originalmagnification, NOUN 
3800.(b, NUM 
c, PROPN 

, SPACE 
Electron, PROPN 
micrographs, NOUN 
15, NUM 
day, NOUN 
old, ADJ 
rat, PROPN 
tibia, PROPN 
sections, NOUN 
immunolabeled, VERB 
forGlu, NOUN 
Glu, PROPN 
arrows, NOUN 
observed, VERB 
nerve, NOUN 
processes, NOUN 
vicinity, NOUN 
ofosteoblasts, NOUN 
Ob, NOUN 
afferent, NOUN 
nerve, NOUN 
trunk, NOUN 
S, NOUN 
Schwann, PROPN 
cell;A, PROPN 
unmyelinated, ADJ 
axon.627, NOUN 
Bone, PROPN 
Vol, PROPN 
25, NUM 
6, NUM 
C., PROPN 
M., PROPN 
Serre, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
December, PROPN 
1999:623–629, NUM 
Glu, PROPN 
containing, VERB 
nerve, NOUN 
processes, NOUN 
bone, NOUN 

, SPACE 
Expression, PROPN 
Glutamate, PROPN 
Long, ADJ 
Bones, NOUN 
Growing, VERB 
Rats, NOUN 

, SPACE 
metaphysis, NOUN 
diaphysis, NOUN 
neonatal, ADJ 
rat, NOUN 
femurs, NOUN 
nerve, NOUN 

, SPACE 
processes, NOUN 
running, VERB 
bone, NOUN 
marrow, NOUN 
close, ADJ 
bone, NOUN 
cells, NOUN 
bloodvessels, NOUN 
contained, VERB 
Glu, PROPN 
Figure, VERB 
6a, PROPN 
Immunolabeling, VERB 
Glu, PROPN 

, SPACE 
particularly, ADV 
abundant, ADJ 
endosteal, ADJ 
metaphysis, NOUN 
andwas, AUX 
localized, VERB 
expanded, VERB 
network, NOUN 
thin, PROPN 
processespreviously, ADV 
shown, VERB 
immunoreactive, ADJ 
nerve, NOUN 
markers, NOUN 
Afew, ADJ 
cells, NOUN 
mainly, ADV 
osteoblastic, ADJ 
cells, NOUN 
contained, VERB 
Glu, PROPN 
invarying, VERB 
amounts, NOUN 
osteoclasts, NOUN 
endothelial, NOUN 
hemato, PROPN 
poı¨etic, ADJ 
cells, NOUN 
negative, ADJ 

, SPACE 
15-, NUM 
25, NUM 
day, NOUN 
old, ADJ 
rat, PROPN 
tibia, PROPN 
Glu, PROPN 
tissue, NOUN 

, SPACE 
distribution, NOUN 
neuronal, ADJ 
markers, NOUN 
highly, ADV 
expressed, VERB 
nerveprocesses, NOUN 
proximity, NOUN 
blood, NOUN 
vessels, NOUN 
bone, NOUN 
cells, NOUN 

, SPACE 
electron, NOUN 
microscopic, ADJ 
immunocytochemistry, NOUN 
analysis, NOUN 

, SPACE 
confirmed, VERB 
Glu, PROPN 
largely, ADV 
present, ADJ 
nerve, NOUN 
processes, NOUN 
thevicinity, NOUN 
contact, NOUN 
bone, NOUN 
cells, NOUN 
Figure, NOUN 
6b, NUM 
insome, ADJ 
axons, NOUN 
afferent, NOUN 
nerve, NOUN 
trunk, NOUN 
Figure, NOUN 
6c, PROPN 

, SPACE 
Discussion, PROPN 

, SPACE 
present, ADJ 
study, NOUN 
demonstrated, VERB 
existence, NOUN 
long, ADJ 
bones, NOUN 

, SPACE 
neonatal, ADJ 
15-, NUM 
25, NUM 
day, NOUN 
old, ADJ 
rats, NOUN 
extensive, ADJ 
network, NOUN 
ofcytoplasmic, ADJ 
cell, NOUN 
processes, NOUN 
immunostained, VERB 
nervemarkers, NOUN 
NF200, PROPN 
general, ADJ 
neuronal, ADJ 
marker, NOUN 
specific, NOUN 
neuro, PROPN 
filaments, NOUN 
present, ADJ 
cells, NOUN 
tissues, NOUN 
neuronal, ADJ 
origin, NOUN 
Immu, NOUN 
noreactivity, NOUN 
NF200, PROPN 
found, VERB 
thin, ADJ 
cell, NOUN 
processes, NOUN 
showingsome, NOUN 
dilatations, NOUN 
distributed, VERB 
uniformly, ADV 
weremore, ADV 
numerous, ADJ 
close, ADJ 
blood, NOUN 
vessels, NOUN 
confirmthe, ADJ 
identity, NOUN 
nerve, NOUN 
processes, NOUN 
antibodies, VERB 
directed, VERB 
againstother, PROPN 
neuronal, ADJ 
markers, NOUN 
TH, PROPN 
synaptophysin, NOUN 
MAP2were, PRON 
Immunostaining, VERB 
TH, PROPN 
commonly, ADJ 
acceptedmarker, NOUN 
noradrenergic, ADJ 
fibers, NOUN 

, SPACE 
3revealed, NUM 
occurrence, NOUN 

, SPACE 
sympathetic, ADJ 
nerve, NOUN 
processes, NOUN 
network, NOUN 
confirmed, VERB 
thepresence, NOUN 
VIP, NOUN 
immunoreactive, ADJ 
nerve, NOUN 
profiles, NOUN 
shown, VERB 
pre, ADJ 
viously, ADV 

, SPACE 
19Synaptophysin, PROPN 
nerve, NOUN 
terminal, NOUN 
marker, NOUN 
mainly, ADV 

, SPACE 
demonstrated, VERB 
varicosities, NOUN 
short, ADJ 
nerve, NOUN 
processes, VERB 
gen, PROPN 
erally, ADV 
located, VERB 
vicinity, NOUN 
contact, NOUN 
blood, NOUN 
vessels, NOUN 
bone, NOUN 
cells, NOUN 
hematopoı, VERB 
¨etic, ADJ 
cells, NOUN 
MAP2, PROPN 
immunoreactive, ADJ 
nerve, NOUN 

, SPACE 
processes, NOUN 
present, ADJ 
rat, NOUN 
long, ADJ 
bones, NOUN 
besensory, ADJ 
nerve, NOUN 
processes, NOUN 
neuronal, ADJ 
marker, NOUN 
primar, PROPN 
ily, ADV 
expressed, VERB 
dendrosomatic, ADJ 
compartment, NOUN 
excludedfrom, VERB 
axons, NOUN 
nerve, ADJ 
fibers, NOUN 

, SPACE 
13Our, PROPN 
results, NOUN 
confirm, VERB 

, SPACE 
presenceofbothsensoryandsympatheticnervefiberspreviouslydocumented, ADJ 
bone, NOUN 
suggest, VERB 
types, NOUN 
inner, ADJ 
vation, NOUN 
form, VERB 
parallel, ADJ 
networks, NOUN 
close, ADJ 
distribution, NOUN 
inbone, NOUN 
tissue, NOUN 
Immunoreactivities, NOUN 
specific, ADJ 
nerve, NOUN 
markerswere, NOUN 
observed, VERB 
network, NOUN 
particular, ADJ 
cell, NOUN 
processesand, ADV 
defined, VERB 
nerve, NOUN 
fibers, NOUN 
Stromal, ADJ 
cells, NOUN 
expressing, VERB 
type, NOUN 
Iand, PROPN 
III, PROPN 
collagens, NOUN 
osteoblastic, ADJ 
cells, NOUN 
hematopoı, VERB 
¨etic, ADJ 
cells, NOUN 
endo-, ADJ 

, SPACE 
thelial, ADJ 
cells, NOUN 
osteoclasts, NOUN 
negative, ADJ 
ofthese, ADJ 
neuronal, ADJ 
markers, NOUN 
demonstrated, VERB 
light, ADJ 
andelectron, PROPN 
microscopy, NOUN 

, SPACE 
dense, ADJ 
network, NOUN 
thin, ADJ 
varicose, NOUN 
nerve, NOUN 
processes, NOUN 
running, VERB 

, SPACE 
medullary, NOUN 
sinusoids, NOUN 
deeply, ADV 
metaphysis, NOUN 
ending, VERB 
incontact, NOUN 
bone, NOUN 
cells, NOUN 
medullary, NOUN 
cells, NOUN 
constitutes, VERB 
novelobservationnotemphasizedinpreviousstudies, NOUN 
Morphologicallywell, NOUN 
defined, VERB 
unmyelinated, ADJ 
myelinated, ADJ 
nerve, NOUN 
fibers, NOUN 
de, NOUN 
scribed, VERB 
previously, ADV 

, SPACE 
6,28were, NUM 
observed, VERB 
15-, NUM 
25, NUM 
day, NOUN 
old, ADJ 

, SPACE 
rat, NOUN 
long, ADJ 
bone, NOUN 
sections, NOUN 
neonatal, ADJ 
bones, NOUN 
contrast, NOUN 
thenetwork, NOUN 
nerve, NOUN 
like, ADJ 
processes, NOUN 
present, ADJ 
neonatalrats, NOUN 
identification, NOUN 
TH, PROPN 
VIP, PROPN 
MAP2, PROPN 
immunoreac, ADJ 
tive, NOUN 
processes, NOUN 
network, NOUN 
confirmed, VERB 
rat, NOUN 
bone, NOUN 
alreadysupplied, VERB 
birth, NOUN 
sympathetic, ADJ 
sensory, ADJ 
nerve, NOUN 
fibers, NOUN 

, SPACE 
32, NUM 

, SPACE 
localization, NOUN 
nerve, NOUN 
processes, NOUN 
proximity, NOUN 
bone, NOUN 

, SPACE 
medullary, NOUN 
cells, NOUN 
indicative, ADJ 
possible, ADJ 
role, NOUN 
nerve, NOUN 
supply, NOUN 
inthe, NOUN 
regulation, NOUN 
bone, NOUN 
cell, NOUN 
activities, NOUN 
agreement, NOUN 
clinical, ADJ 

, SPACE 
observations, NOUN 
patients, NOUN 
neurological, ADJ 
disorders, NOUN 
experi, ADJ 
mental, ADJ 
denervation, NOUN 
studies, NOUN 

, SPACE 
10,11,15However, PROPN 

, SPACE 
nerve, NOUN 
terminals, NOUN 
contact, NOUN 
bone, NOUN 
bone, NOUN 
marrowcells, NOUN 
electron, NOUN 
microscopic, ADJ 
observations, NOUN 
detect, VERB 
typi, NOUN 
cal, ADJ 
synapses, NOUN 
nerve, NOUN 
endings, NOUN 
contain, VERB 
manyvesicles, NOUN 
Hara, PROPN 
Irieetal, PROPN 

, SPACE 
14havealsodemonstratedthepresenceof, PROPN 

, SPACE 
CGRP, PROPN 
positive, ADJ 
nerve, NOUN 
fibers, NOUN 
close, ADJ 
contact, NOUN 
osteoclasts, NOUN 
atepiphysal, ADJ 
trabeculae, NOUN 
facing, VERB 
growth, NOUN 
plate, NOUN 
rat, PROPN 
femurs, NOUN 
thesestructures, NOUN 
typical, ADJ 
synapses, NOUN 
agreement, NOUN 
ownfindings, NOUN 
Furtherstudieswillbeneededtoclarifythepresenceofsynaptophysin, ADJ 
bone, NOUN 
absence, NOUN 
synaptic, ADJ 
structures, NOUN 

, SPACE 
nature, NOUN 
neurotransmitters, NOUN 
present, ADJ 
bone, NOUN 

, SPACE 
clearlyidentified, VERB 
Inadditiontonoradrenergicsympatheticnervefibers, NOUN 
neuropeptides, NOUN 
sensory, ADJ 
post, ADJ 
ganglionic, ADJ 
sympathetic, ADJ 
nerve, NOUN 
fibers, NOUN 
demonstrated, VERB 
inbone, VERB 
suggesting, VERB 
possible, ADJ 
role, NOUN 
neuromediators, NOUN 
inskeletal, ADJ 
metabolism, NOUN 

, SPACE 
19,20,22,23, PROPN 

, SPACE 
study, NOUN 
reveal, VERB 
glutamate, ADJ 
immunoreactive, ADJ 

, SPACE 
nerve, NOUN 
processes, NOUN 
bone, NOUN 
Glu, PROPN 
primary, ADJ 
excitatory, NOUN 
neurome, NOUN 
diator, NOUN 
central, ADJ 
nervous, ADJ 
system, NOUN 
peripheralnervous, ADJ 
system, NOUN 

, SPACE 
26We, NUM 
shown, VERB 
Glu, PROPN 
widely, ADV 
ex-, ADJ 

, SPACE 
pressed, VERB 
nerve, NOUN 
processes, NOUN 
running, VERB 
bone, NOUN 
marrow, NOUN 
thevicinity, NOUN 
bone, NOUN 
bone, NOUN 
marrow, NOUN 
cells, NOUN 
suggesting, VERB 
mightalso, ADV 
act, VERB 
neurotransmitter, NOUN 
bone, NOUN 
addition, NOUN 
Glu, PROPN 
wasdetected, VERB 
osteoblasts, NOUN 
preosteoblasts, NOUN 
probably, ADV 
inrelation, NOUN 
cell, NOUN 
metabolism, NOUN 
observations, NOUN 
clearly, ADV 
dem, ADV 
onstrated, VERB 
contacts, NOUN 
Glu, PROPN 
immunoreactive, ADJ 
nerve, NOUN 
ter, NOUN 
minals, NOUN 
bone, NOUN 
cells, NOUN 
synaptic, ADJ 
vesicles, NOUN 
observed, VERB 
inthese, ADJ 
structures, NOUN 
study, NOUN 
evidencefor, ADP 
release, NOUN 
Glu, PROPN 
nerve, NOUN 
terminals, NOUN 
considerthat, VERB 
significant, ADJ 
local, ADJ 
concentrations, NOUN 
Glu, PROPN 
present, ADJ 
inthe, NOUN 
vicinity, NOUN 
bone, NOUN 
cells, NOUN 

, SPACE 
Glu, PROPN 
acts, VERB 
variety, NOUN 
different, ADJ 
ligand, NOUN 
gated, VERB 
ion, NOUN 
cell, NOUN 
surface, NOUN 

, SPACE 
receptors, NOUN 
classified, VERB 
categories, NOUN 
mainly, ADV 
NMDA, PROPN 
receptorsand, NOUN 
non, ADJ 
NMDA, ADJ 
receptors, NOUN 
receptors, NOUN 
glutamatetransporters, NOUN 
shown, VERB 
expressed, VERB 
bonecells, NOUN 

, SPACE 
7,25,31Furthermore, NUM 
recently, ADV 
demonstrated, VERB 

, SPACE 
NMDA, PROPN 
subtype, VERB 
Glu, PROPN 
receptors, NOUN 
expressed, VERB 
osteoclasts, NOUN 
arefunctional, ADJ 
Glu, PROPN 
elicits, VERB 
current, ADJ 
cells, NOUN 

, SPACE 
7,9, NUM 

, SPACE 
cellular, ADJ 
origin, NOUN 
Glu, PROPN 
mechanisms, NOUN 
leading, VERB 

, SPACE 
release, NOUN 
bone, NOUN 
unknown, ADJ 
proposed, ADJ 
hypothesis, NOUN 
thatGlu, NUM 
released, VERB 
bone, NOUN 
cells, NOUN 
role, NOUN 
paracrineintercellular, ADJ 
communications, NOUN 
bone, NOUN 

, SPACE 
25Another, NUM 
possibility, NOUN 

, SPACE 
Glu, PROPN 
largely, ADV 
distributed, VERB 
neuromediator, NOUN 
inthe, PROPN 
nervous, ADJ 
system, NOUN 
released, VERB 
nerve, NOUN 
fibers, NOUN 
present, ADJ 
thevicinity, NOUN 
bone, NOUN 
cells, NOUN 
results, NOUN 
demonstrate, VERB 
longbones, NOUN 
growing, VERB 
rats, NOUN 
extensive, ADJ 
network, NOUN 
nerve, NOUN 
