H, PROPN 
, SPACE 
facilitating, VERB 
crystalline, NOUN 
amorphous, ADJ 
transforma-, NOUN 

, SPACE 
tion, NOUN 
change, NOUN 
defect, ADJ 
mobility, NOUN 

, SPACE 
possibly, ADV 
change, NOUN 
diffusion, NOUN 
modes, NOUN 
caused, VERB 
pres-, NOUN 

, SPACE 
ence, NOUN 
stacking, VERB 
faults, NOUN 
3.2, NUM 
Electron, NOUN 
energy, NOUN 
dependence, NOUN 
amorphization, NOUN 

, SPACE 
Zr, PROPN 
Fe, PROPN 
Zr, PROPN 
Fe, PROPN 
ZrCr, PROPN 
determination, NOUN 

, SPACE 
threshold, NOUN 
displacement, NOUN 
energies, NOUN 
atoms, NOUN 

, SPACE 
compounds, VERB 

, SPACE 
results, NOUN 
ion, NOUN 
electron, NOUN 
irradiations, NOUN 

, SPACE 
understood, VERB 
framework, NOUN 
damage, NOUN 
accumulation, NOUN 

, SPACE 
irradiation, NOUN 
Damage, NOUN 
produced, VERB 
irradiation, NOUN 
op-, ADV 

, SPACE 
posed, VERB 
thermal, ADJ 
annealing, NOUN 
balance, NOUN 
rate, NOUN 

, SPACE 
damage, NOUN 
production, NOUN 
ability, NOUN 
material, NOUN 

, SPACE 
repair, VERB 
dictates, VERB 
response, NOUN 
material, NOUN 
inadia-, ADJ 

, SPACE 
tion, NOUN 
low, ADJ 
temperatures, NOUN 
damage, NOUN 
produced, VERB 
irradiation, NOUN 

, SPACE 
remains, VERB 
frozen, VERB 
little, ADJ 
annealing, NOUN 
taking, VERB 
place, NOUN 

, SPACE 
temperature, NOUN 
regime, NOUN 
dose, VERB 
amorphization, NOUN 
al-, ADP 
Studies, NOUN 
undertaken, VERB 
determine, VERB 
energy, NOUN 

, SPACE 
dependence, NOUN 
dose, VERB 
amorphization, NOUN 
electron, NOUN 

, SPACE 
irradiation, NOUN 
Zr, PROPN 
Fe, PROPN 
Zr, PROPN 
Fe, PROPN 
ZrCr, PROPN 
23, NUM 
30, NUM 
K, PROPN 
18, NUM 
201, NUM 

, SPACE 
Samples, NOUN 
alloys, NOUN 
irradiated, VERB 
HVEM, PROPN 

, SPACE 
ANL, PROPN 
energies, NOUN 
200, NUM 
900, NUM 
keV., NOUN 
irradiations, NOUN 

, SPACE 
performed, VERB 
low, ADJ 
temperatures, NOUN 
23, NUM 
30, NUM 
K, PROPN 

, SPACE 
order, NOUN 
eliminate, VERB 
dose, ADJ 
rate, NOUN 
effects, NOUN 
dose, VERB 
to-, NOUN 

, SPACE 
amorphization, NOUN 
Amorphization, NOUN 
occurred, VERB 
alloys, NOUN 

, SPACE 
energies, NOUN 
900, NUM 
300, NUM 
keV., NOUN 
results, NOUN 

, SPACE 
alloys, NOUN 
shown, VERB 
Fig, PROPN 
2, NUM 
distinct, ADJ 
regions, NOUN 

, SPACE 
observed, VERB 
Fig, PROPN 
2, NUM 
900, NUM 
700, NUM 
keV, NOUN 

, SPACE 
amorphization, NOUN 
occurred, VERB 
lowest, ADJ 
dose, NOUN 

, SPACE 
relatively, ADV 
constant, ADJ 
higher, ADJ 
plateau, NOUN 
dose, VERB 
amorphiza-, NOUN 

, SPACE 
tion, NOUN 
present, ADJ 
500, NUM 
600, NUM 
K, NOUN 
Zr, PROPN 
Fe, PROPN 
400, NUM 
500, NUM 

, SPACE 
K, NOUN 
Zr, PROPN 
Fe, PROPN 
550, NUM 
600, NUM 
K, NOUN 
ZrCr, PROPN 
Finally, ADV 

, SPACE 
sharp, ADJ 
increase, NOUN 
dose, VERB 
amorphization, NOUN 

, SPACE 
plateau, NOUN 
regions, NOUN 

, SPACE 
results, NOUN 
energy, NOUN 
dependence, NOUN 
experiments, NOUN 

, SPACE 
analyzed, VERB 
terms, NOUN 
composite, ADJ 
displacement, NOUN 
cross, NOUN 

, SPACE 
section, NOUN 
dominated, VERB 
high, ADJ 
energies, NOUN 
700, NUM 
900, NUM 
keV, NOUN 

, SPACE 
displacements, NOUN 
Zr, PROPN 
Fe, PROPN 
Cr, NOUN 
atoms, NOUN 
displace-, NOUN 

, SPACE 
ments, NOUN 
Fe, PROPN 
Cr, PROPN 
intermediate, ADJ 
energies, NOUN 
400, NUM 
600, NUM 

, SPACE 
keV, NOUN 
secondary, ADJ 
displacements, NOUN 
lattice, NOUN 
atoms, NOUN 

, SPACE 
recoil, NOUN 
impurities, NOUN 
low, ADJ 
energies, NOUN 
400, NUM 
keV, NOUN 

, SPACE 
obtain, VERB 
information, NOUN 
concentration, NOUN 
light, ADJ 

, SPACE 
IX, PROPN 
NEW, ADJ 
MATERIALS, PROPN 

, SPACE 
666, NUM 
L.M., PROPN 
Howe, PROPN 
er, INTJ 
al, PROPN 
/NucI., PROPN 
Insrr, PROPN 
und, PROPN 
Meth, PROPN 
Phys, PROPN 
Rex, PROPN 
B, PROPN 
I18, PROPN 
I19961, PROPN 
663, NUM 
669, NUM 

, SPACE 
AMORPHKATlON, NOUN 
Zr3fc, NUM 
ZrZfe, PROPN 
210~, NUM 
PRODUCED, PROPN 

, SPACE 
ELECTRON, PROPN 
lRtlAOlATlON, PUNCT 
ATZMOK, NOUN 
a.0, PUNCT 
Q, PROPN 

, SPACE 

, SPACE 
ml, PROPN 
wo, AUX 
5, NUM 
m, VERB 
x4, PROPN 
00, NUM 
900, NUM 

, SPACE 
ELECTRON, PROPN 
ENERGY, PROPN 
keV, PROPN 

, SPACE 
Fig, PROPN 
2, NUM 
Dose, NOUN 
amorphization, NOUN 
Zr, PROPN 
Fe, PROPN 
different, ADJ 
sam-, NOUN 

, SPACE 
ples, NOUN 
ZrzFe, PROPN 
ZrCr, PROPN 
23, NUM 
30, NUM 
K, NOUN 
function, NOUN 
incident, NOUN 

, SPACE 
electron, NOUN 
energy, NOUN 

, SPACE 
element, NOUN 
impurities, NOUN 
present, ADJ 
samples, NOUN 
forward, ADJ 
elastic-, NOUN 

, SPACE 
recoil, NOUN 
measurements, NOUN 
230, NUM 
MeV, PROPN 
2wBi, NUM 
ions, NOUN 

, SPACE 
performed, VERB 
recoiling, VERB 
target, NOUN 
atoms, NOUN 
detected, VERB 

, SPACE 
specially, ADV 
designed, VERB 
E, ADJ 
E, ADJ 
detector, NOUN 
9, NUM 
technique, NOUN 

, SPACE 
enabled, VERB 
determine, VERB 
depth, NOUN 
distribution, NOUN 
light, ADJ 

, SPACE 
element, NOUN 
impurities, NOUN 
depth, NOUN 
comparable, ADJ 

, SPACE 
HVEM, PROPN 
examinations, NOUN 
i.e., X 
N, PROPN 
200, NUM 
350, NUM 
nm, NOUN 

, SPACE 
N, PROPN 
1000, NUM 
nm, NOUN 
0.5, NUM 
l, NOUN 
5, NUM 
MeV, NOUN 
40Ar, NUM 
ion, NOUN 

, SPACE 
irradiations, NOUN 

, SPACE 
typical, ADJ 
example, NOUN 
coincidence, NOUN 
AE, PROPN 
E, PROPN 
spectra, NOUN 

, SPACE 
shown, VERB 
Fig, PROPN 
3, NUM 
zirconium, NOUN 
intermetallic, ADJ 

, SPACE 
compounds, NOUN 
seen, VERB 
principal, ADJ 
light, ADJ 
element, NOUN 

, SPACE 
impurities, NOUN 
0, PUNCT 
C., PROPN 
results, NOUN 
alloys, NOUN 

, SPACE 
present, ADJ 
investigations, NOUN 
indicate, VERB 
near, ADP 

, SPACE 
surface, NOUN 
region, NOUN 
<, X 
25, NUM 
nm, PROPN 
0, NUM 
C, NOUN 
levels, NOUN 

, SPACE 
4, NUM 
10, NUM 
atom, NOUN 
8, NUM 
N, NUM 
l-3, PROPN 
atom, NOUN 
respectively, ADV 

, SPACE 
surface, NOUN 
region, NOUN 
bulk, NOUN 
specimen, NOUN 
0, NUM 
C, NOUN 

, SPACE 
levels, NOUN 
range, VERB 
0.5, NUM 
2.0, NUM 
atom, NOUN 
0.25, NUM 
1.0, NUM 

, SPACE 
atom, NOUN 
respectively, ADV 

, SPACE 
low, ADJ 
temperature, NOUN 
electron, NOUN 
irradiations, NOUN 
per-, X 

, SPACE 
formed, VERB 
Zr, PROPN 
Fe, PROPN 
Zr, PROPN 
Fe, PROPN 
ZrCr, PROPN 
annealing, VERB 

, SPACE 
irradiation, NOUN 
produced, VERB 
defects, NOUN 
factor, NOUN 

, SPACE 
dose, ADJ 
rate, NOUN 
effect, NOUN 
observed, VERB 
experimentally, ADV 

, SPACE 
Amorphization, PROPN 
occurs, VERB 
dose, VERB 
amorphization, NOUN 

, SPACE 
equal, ADJ 
critical, ADJ 
dose, PROPN 
Dcrit, PROPN 
i.e., X 
constant, ADJ 
dpa, NOUN 

, SPACE 
specific, ADJ 
inter, ADJ 
metallic, ADJ 
compound, NOUN 
Consequently, ADV 

, SPACE 
electron, NOUN 
energy, NOUN 
E, NOUN 
amorphization, NOUN 

, SPACE 
=, PROPN 
Dcrit, PROPN 
3, NUM 
1, NUM 
D(E, X 
dose, VERB 
amorphization, NOUN 
4, NUM 
elec-, X 

, SPACE 
tron, NOUN 
flux, PROPN 
f, PROPN 
measured, ADJ 
time, NOUN 
amorphization, NOUN 
.Y, PROPN 

, SPACE 
concentration, NOUN 
element, NOUN 
ahi, NOUN 
EA, NOUN 
E, PROPN 
displace-, ADJ 

, SPACE 
ment, ADJ 
cross, NOUN 
section, NOUN 
displacement, ADJ 
threshold, NOUN 
en-, NOUN 

, SPACE 
ergy, NOUN 
Q, PROPN 
critical, ADJ 
dose, NOUN 
amorphization, NOUN 
Eq, PROPN 

, SPACE 
states, VERB 
multiply, VERB 
values, NOUN 
dose, VERB 
to-, NOUN 

, SPACE 
amorphization, NOUN 
function, NOUN 
energy, NOUN 
given, VERB 
Fig, PROPN 
2, NUM 

, SPACE 
example, NOUN 
weighted, VERB 
displacement, PROPN 
cross, NOUN 
section, NOUN 

, SPACE 
obtained, VERB 
tabulations, NOUN 
Oen, PROPN 
21, NUM 
result, NOUN 

, SPACE 
independent, ADJ 
energy, NOUN 
values, NOUN 

, SPACE 
Oen, PROPN 
tables, NOUN 
2l, NOUN 
dependent, ADJ 
displacement, NOUN 
en-, NOUN 

, SPACE 
ergy, NOUN 
possible, ADJ 
find, VERB 
set, NOUN 
displacement, NOUN 
energies, NOUN 

, SPACE 
best, ADJ 
fits, VERB 
experimental, ADJ 
data, NOUN 

, SPACE 
mentioned, VERB 
displacements, NOUN 
occur, VERB 

, SPACE 
secondary, ADJ 
displacement, NOUN 
mechanism, NOUN 
mediated, VERB 
light, ADJ 
ele-, NOUN 

, SPACE 
ment, ADJ 
impurities, NOUN 
forward, ADJ 
elastic, ADJ 
recoil, NOUN 
measurements, NOUN 

, SPACE 
0, NUM 
major, ADJ 
light, ADJ 
element, NOUN 
impurity, NOUN 

, SPACE 
zirconium, NUM 
intermetallic, ADJ 
compounds, NOUN 
investiga-, ADJ 

, SPACE 
tion, NOUN 
displacements, NOUN 
produced, VERB 
secondary, ADJ 

, SPACE 
displacement, NOUN 
mechanism, NOUN 
taken, VERB 
account, NOUN 

, SPACE 
D(E, X 
=, PROPN 
E, PROPN 
-xZra;lz, PUNCT 
Edz’J, PROPN 

, SPACE 
fx, PROPN 
Fe1, ADJ 
C, PROPN 
r, NOUN 
ob, ADP 
F&r, PROPN 
EIe(cr, PROPN 
E, PROPN 

, SPACE 
+, NOUN 
aoo, PROPN 
o(E, PROPN 
O, PROPN 
E)~oZr, PROPN 
Fe(Cr~, X 
=, PUNCT 
DC, PROPN 
2, NUM 

, SPACE 
~92~~~~, NOUN 
number, NOUN 
displacements, NOUN 

, SPACE 
Zr, PROPN 
Fe(Cr, PROPN 
lattices, NOUN 
caused, VERB 
0, NUM 
displacement, NOUN 

, SPACE 
fiFFtiC, NOUN 
taken, VERB 

, SPACE 
appropriate, ADJ 
values, NOUN 
.rzr, NOUN 
.~r, PROPN 
~, NOUN 
c, PROPN 

, SPACE 
major, ADJ 
alloying, VERB 
elements, NOUN 
i.e., X 
Zr, PROPN 
Fe, PROPN 
Cr, PROPN 

, SPACE 
value, NOUN 
x0, PROPN 
light, ADJ 
element, NOUN 
impurity, NOUN 
0, NUM 

, SPACE 
displacement, ADJ 
threshold, NOUN 
energies, NOUN 
obtained, VERB 

, SPACE 
specific, ADJ 
x0, ADJ 
values, NOUN 
Zr, PROPN 
Fe, PROPN 
sample, NOUN 
Zr, PROPN 
Fe, PROPN 

, SPACE 
sample, NOUN 
B, PROPN 
Zr, PROPN 
Fe, PROPN 
Z&r, PROPN 
0.03, NUM 
0.0, NUM 
0.02, NUM 

, SPACE 
200, NUM 

, SPACE 
0, PROPN 
50, NUM 
100, NUM 
150, NUM 
200, NUM 

, SPACE 
E, NOUN 
chnl, ADJ 

, SPACE 
Fig, PROPN 
3, NUM 
Coincidence, PROPN 
E-, PROPN 
E, NOUN 
spectrum, NOUN 
Zr-25.0, PROPN 
at.%, PROPN 
Fe, PROPN 
alloy, NOUN 

, SPACE 
obtained, VERB 
230, NUM 
MeV, PROPN 
lo9Bi, PROPN 
ion, NOUN 
beam, NOUN 

, SPACE 
L.M., PROPN 
Howe, PROPN 
et, NOUN 
ul./Nucl, NOUN 
Insrr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, NOUN 
I8, NOUN 
1996, NUM 
663469, NUM 
661, NUM 

, SPACE 
DATA, NOUN 
ANALYSIS, NOUN 
ELECTRON, PROPN 
ENERGY, PROPN 
DEPENDENCE, PROPN 
specific, ADJ 
values, NOUN 
obtained, VERB 
displacement, NOUN 

, SPACE 
AMORPHIZATION, PROPN 
Zr, PROPN 
Fe, PROPN 
Zr, PROPN 
Fe, PROPN 
AN0, PROPN 
Z&r2, PROPN 
threshold, NOUN 
energies, NOUN 
follows, VERB 

, SPACE 
0, NUM 
SampleB, NOUN 
E"X, NUM 
1s, NUM 
cv, NOUN 

, SPACE 
02, NUM 
E:=l2rV, PROPN 

, SPACE 
ELECTRON, PROPN 
ENERGY, PROPN 
keV, PROPN 

, SPACE 
Fig, PROPN 
4, NUM 
optimized, VERB 
profile, NOUN 
dose, VERB 
amorphization, NOUN 
dpa, PROPN 

, SPACE 
versus, ADP 
electron, NOUN 
energy, NOUN 
Zr, PROPN 
Fe, PROPN 
samples, NOUN 
having, VERB 
different, ADJ 

, SPACE 
0, NUM 
concentrations, NOUN 
Zr, PROPN 
Fe, PROPN 
ZrCr, PROPN 
dotted, ADJ 
horizontal, ADJ 
lines, NOUN 

, SPACE 
represent, VERB 
average, NOUN 
D, PROPN 
dose, VERB 
amorphization, NOUN 
values, NOUN 

, SPACE 
set, NOUN 
data, NOUN 

, SPACE 
0.025, NUM 
respectively, ADV 
Eq, PROPN 
2, X 
fit, VERB 
data, NOUN 

, SPACE 
minimizing, VERB 
squares, NOUN 
deviation, NOUN 
horizontal, NOUN 

, SPACE 
results, NOUN 
analysis, NOUN 
shown, VERB 
Fig, PROPN 
4, NUM 
1, X 
Zr, PROPN 
Fe, PROPN 
orthorhombic, ADJ 
phase, NOUN 
Ep, PROPN 
=, SYM 
26, NUM 
eV, PROPN 
E, NOUN 
=, VERB 
18, NUM 

, SPACE 
eV, X 
E,“=, NOUN 
12, NUM 
eV., ADJ 

, SPACE 
2, NUM 
Zr, PROPN 
Fe, PROPN 
tetragonal, ADJ 
phase, NOUN 
EF, PROPN 
=, VERB 
25, NUM 
eV, ADJ 
E, NOUN 
=, VERB 
27, NUM 
eV, NUM 

, SPACE 
E, NOUN 
=, SYM 
8, NUM 
eV., ADJ 

, SPACE 
3, NUM 
ZrCr, PROPN 
d(a, PROPN 
cubic, ADJ 
Laves, PROPN 
phase, NOUN 
E, PROPN 
z, NOUN 
=, VERB 
22, NUM 
eV, NUM 
EF, PROPN 
=, SYM 
23, NUM 

, SPACE 
eV, X 
E, NOUN 
=, VERB 
4, NUM 
eV., ADJ 

, SPACE 
detailed, ADJ 
analysis, NOUN 
electron, NOUN 
energy, NOUN 

, SPACE 
dependence, NOUN 
amorphization, NOUN 
Zr, PROPN 
Fe, PROPN 
Zr, PROPN 
Fe, PROPN 
ZrCr, PROPN 

, SPACE 
possible, ADJ 
obtain, VERB 
specific, ADJ 
values, NOUN 

, SPACE 
displacement, ADJ 
threshold, NOUN 
energies, NOUN 
atoms, NOUN 
sub-, NOUN 

, SPACE 
lattices, NOUN 
compounds, NOUN 
assess, VERB 

, SPACE 
importance, NOUN 
secondary, ADJ 
displacement, NOUN 
events, NOUN 
produced, VERB 

, SPACE 
light, ADJ 
element, NOUN 
impurities, NOUN 

, SPACE 
3.3, NUM 
Trapping, VERB 
Fe, PROPN 
irradiation, NOUN 
produced, VERB 
defects, NOUN 
Zr, PROPN 

, SPACE 
order, NOUN 
investigate, VERB 
effect, NOUN 
irradiation, NOUN 

, SPACE 
trapping, NOUN 
Fe, PROPN 
irradiation, NOUN 
produced, VERB 
defects, NOUN 
Zr, PROPN 
ion, NOUN 

, SPACE 
implantations, NOUN 
combined, VERB 
SIMS, PROPN 
analysis, NOUN 

, SPACE 
implanted, ADJ 
Fe, PROPN 
depth, NOUN 
profile, NOUN 
Initially, ADV 
Zr, PROPN 
single, ADJ 

, SPACE 
crystals, NOUN 
implanted, VERB 
35, NUM 
K, NOUN 
1, NUM 
.O, NOUN 
MeV, NOUN 
56Fe, NUM 
ions, NOUN 

, SPACE 
fluence, NOUN 
2.5, NUM 
X, NOUN 
lOI, ADJ 
ions, NOUN 
cm, NOUN 
Subsequent, ADJ 
ion, NOUN 
implan-, NOUN 

, SPACE 
tations, NOUN 
crystals, NOUN 
performed, VERB 
723, NUM 
K, NOUN 

, SPACE 
0.9, NUM 
MeV, NOUN 
OAr, NOUN 
ions, NOUN 
fluences, NOUN 
5.0, NUM 
X, X 
lOI, NOUN 

, SPACE 
5.0, NUM 
x, SYM 
10, NUM 
I5, PROPN 
OAr, NOUN 
ions, NOUN 
cme2, NOUN 
OAr, NOUN 
ion, NOUN 
bombard-, NOUN 

, SPACE 
ment, NOUN 
half, NOUN 
crystal, NOUN 
masked, VERB 
serve, VERB 

, SPACE 
unirradiated, ADJ 
reference, NOUN 
thermal, ADJ 
annealing, NOUN 
oc-, X 

, SPACE 
curred, VERB 
energy, NOUN 
OAr, NOUN 
ion, NOUN 
beam, NOUN 
i.e., X 
0.9, NUM 
MeV, NOUN 

, SPACE 
chosen, VERB 
damage, NOUN 
distribution, NOUN 
produced, VERB 

, SPACE 
OAr, NOUN 
ions, NOUN 
similar, ADJ 
range, NOUN 
profile, NOUN 

, SPACE 
implanted, VERB 
1.0, NUM 
MeV, NOUN 
56Fe, NUM 
ions, NOUN 

, SPACE 
results, NOUN 
shown, VERB 
Figs, PROPN 
5, NUM 
6, NUM 
absence, NOUN 

, SPACE 
OAr, NOUN 
ion, NOUN 
irradiation, NOUN 
723, NUM 
K, NOUN 
appreciable, ADJ 
migration, NOUN 

, SPACE 
Effect, PROPN 
Irradiation, PROPN 
Annealing, PROPN 
Depth, NOUN 
Profile, NOUN 

, SPACE 
Fe, PROPN 
Atoms, PROPN 
Implanted, VERB 
0001, NUM 
Zr, PROPN 
Crystal, PROPN 

, SPACE 
l., VERB 
OE+OZ, PROPN 

, SPACE 
s, VERB 

, SPACE 
5, NUM 

, SPACE 
Fl, PROPN 

, SPACE 
v, PROPN 
l., X 
OE+Ol, PROPN 

, SPACE 
l., NOUN 
OE+OO, PROPN 

, SPACE 
sw, PROPN 
1om, NOUN 
1500, NUM 
2ooo, NUM 
2600, NUM 

, SPACE 
DEPTH, PROPN 
nm, ADJ 

, SPACE 
Fig, PROPN 
5, NUM 
Effect, NOUN 
irradiation, NOUN 
annealing, VERB 
depth, NOUN 
profile, NOUN 
.%Fe, PUNCT 
atoms, NOUN 
implanted, VERB 
0001, NUM 
crystal, NOUN 
Ar, PROPN 
ion, NOUN 
fluence, NOUN 
723, NUM 
K, PROPN 

, SPACE 
5.0, NUM 
X, NOUN 
lOI, ADJ 
ions, NOUN 
cmm2, NOUN 

, SPACE 
IX, PROPN 
NEW, ADJ 
MATERIALS, PROPN 

, SPACE 
668, NUM 
L.M., PROPN 
Howe, PROPN 
et, PROPN 
al./Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
I18, PROPN 
1996, NUM 
663, NUM 
669, NUM 

, SPACE 
Effect, NOUN 
Irradiation, PROPN 
Annealing, PROPN 
Depth, NOUN 
Profile, NOUN 

, SPACE 
mFe, NOUN 
Atoms, NOUN 
Implanted, VERB 
0001, NUM 
Zr, PROPN 
Crystal, PROPN 

, SPACE 
E, NOUN 
l., NOUN 
OE+O4, PROPN 

, SPACE 
z, PROPN 
l, NOUN 
Fe, PROPN 
Implant, PROPN 
+, PROPN 
5.0, NUM 
x, SYM 
1O’5, NUM 
@Ar, PROPN 
ions, NOUN 
cm, NOUN 
723, NUM 
K., PROPN 

, SPACE 
z, PROPN 
i., PROPN 
OE+O3, PROPN 

, SPACE 
0, PROPN 
0, NUM 
Fe, PROPN 
Implant, PROPN 
+, CCONJ 
723, NUM 
K, PROPN 
Anneal, PROPN 

, SPACE 
t, PROPN 

, SPACE 
d, X 
l., NOUN 
OE+OZ, PROPN 

, SPACE 
B, PROPN 

, SPACE 
Y, PROPN 

, SPACE 
ul, PROPN 

, SPACE 
.OE+Ol, PROPN 

, SPACE 
l., NOUN 
OE+OO, PROPN 
sao, PROPN 
fwo, PROPN 
1600, NUM 
2ooo, NUM 
2500, NUM 

, SPACE 
DEPTH, PROPN 
nm, ADJ 

, SPACE 
Fig, PROPN 
6, NUM 
Effect, NOUN 
irradiation, NOUN 
annealing, VERB 
depth, NOUN 
profile, NOUN 
56Fe, NUM 
atoms, NOUN 
implanted, VERB 
COOI, PROPN 
crystal, NOUN 
@Ar, PROPN 
ion, NOUN 
723, NUM 
K, PROPN 

, SPACE 
5.0, NUM 
X, NUM 
10, NUM 
ions, NOUN 
cm-, PROPN 

, SPACE 
Fe, PROPN 
atoms, NOUN 
occurred, VERB 
points, NOUN 
labelled, VERB 
56Fe, PROPN 

, SPACE 
implant, ADJ 
+, PROPN 
723, NUM 
K, PROPN 
anneal, ADJ 
consistent, ADJ 

, SPACE 
diffusion, NOUN 
results, NOUN 
indicate, VERB 
Fe, PROPN 
fast, ADJ 

, SPACE 
diffusing, NOUN 
species, NOUN 
Zr, PROPN 
5,6, X 
presence, NOUN 
irradia-, ADJ 

, SPACE 
tion, NOUN 
damage, NOUN 
produced, VERB 
@Ar, ADJ 
ions, NOUN 
723, NUM 
K, PROPN 
Fe, PROPN 

, SPACE 
atoms, NOUN 
trapped, VERB 
irradiation, NOUN 
produced, VERB 
defects, NOUN 

, SPACE 
Consistent, PROPN 
interpretation, NOUN 
fact, NOUN 

, SPACE 
trapping, VERB 
effect, NOUN 
noticeably, ADV 
larger, ADJ 
higher, ADJ 
fluence, NOUN 

, SPACE 
OAr, NOUN 
ions, NOUN 

, SPACE 
Zou, PROPN 
et, NOUN 
al, PROPN 
22, NUM 
combined, VERB 
ion, NOUN 
implantation, NOUN 

, SPACE 
electron, NOUN 
microprobe, NOUN 
analysis, NOUN 
study, VERB 
irradiation, NOUN 
effects, NOUN 

, SPACE 
Fe, PROPN 
distributions, NOUN 
Zircaloy-2, NOUN 
Zr-2SNb, NOUN 
irradi-, AUX 

, SPACE 
ated, VERB 
large, ADV 
grained, ADJ 
lo-40, VERB 
m, PROPN 
Zircaloy-2, PROPN 
Zr-2SNb, NOUN 

, SPACE 
specimens, VERB 
1.5, NUM 
MeV, PROPN 
db, PROPN 
Ar, PROPN 
ions, NOUN 
fluences, NOUN 
lOI, ADJ 

, SPACE 
ions, NOUN 
cm, NOUN 
323, NUM 
573, NUM 
693, NUM 
K., PROPN 
Subsequent, PROPN 
electron, NOUN 

, SPACE 
microprobe, NOUN 
analyses, NOUN 
revealed, VERB 
OAr, NOUN 
ion, NOUN 
irradiations, NOUN 

, SPACE 
lead, NOUN 
enhanced, VERB 
dissolution, NOUN 
Fe, PROPN 
phase, NOUN 

, SPACE 
irradiation, NOUN 
phase, NOUN 
Fe, PROPN 
levels, NOUN 
0.025, NUM 
0.15, NUM 
at.%, PROPN 

, SPACE 
compared, VERB 
equivalent, ADJ 
values, NOUN 
0.0070, NUM 
at.%, PROPN 

, SPACE 
non, ADJ 
irradiated, ADJ 
state, NOUN 
Zr-2.5Nb, NOUN 
P, NOUN 
phase, NOUN 
Fe, PROPN 
levels, NOUN 

, SPACE 
fell, VERB 
0.60, NUM 
0.35, NUM 
at.%, PROPN 
Zou, PROPN 
et, NOUN 
al, PROPN 
22, X 
propose, VERB 

, SPACE 
irradiation, NOUN 
driven, VERB 
dissolution, NOUN 
Fe, PROPN 
phase, NOUN 

, SPACE 
Zircaloy-2, PROPN 
Zr-2.5Nb, PROPN 
understood, VERB 
terms, NOUN 

, SPACE 
irradiation, NOUN 
induced, VERB 
defects, NOUN 
Fe, ADJ 
defect, NOUN 
interactions, NOUN 

, SPACE 
3.4, X 
Location, NOUN 
lattice, NOUN 
positions, NOUN 
Au, PROPN 
N, PROPN 
atoms, NOUN 

, SPACE 
Zr, PROPN 
interaction, NOUN 
solute, NOUN 
atoms, NOUN 

, SPACE 
irradiation, NOUN 
produced, VERB 
defects, NOUN 

, SPACE 
Backscattering, NOUN 
2.0, NUM 
MeV, NOUN 
4He, NUM 
ions, NOUN 
Zr-0.2, ADP 
at.%, PROPN 

, SPACE 
Au, PROPN 
Zr-0.3, PROPN 
at.%, PROPN 
Au, PROPN 
crystals, NOUN 
measured, VERB 
OOOl, NOUN 

, SPACE 
1120, NUM 
lOiO, PROPN 
>, X 
directions, NOUN 
0001, NUM 
plane, NOUN 

, SPACE 
order, NOUN 
determine, VERB 
trapping, VERB 
characteristics, NOUN 
Au, PROPN 
atoms, NOUN 

, SPACE 
irradiation, NOUN 
induced, VERB 
defects, NOUN 
23, NUM 
observed, VERB 

, SPACE 
Au, PROPN 
atoms, NOUN 
initially, ADV 
substitutional, ADJ 
sites, NOUN 
formed, VERB 
strong, ADJ 
traps, NOUN 
Zr, PROPN 
self, NOUN 
interstitial, ADJ 
atoms, NOUN 

, SPACE 
mobile, ADJ 
120, NUM 
K., NOUN 
direction, NOUN 
Au, PROPN 
atom, NOUN 

, SPACE 
displacements, NOUN 
trapped, VERB 
configuration, NOUN 

, SPACE 
40?3, PROPN 
lOi0, PROPN 
axes, NOUN 
displacement, NOUN 
Au, PROPN 

, SPACE 
reduced, VERB 
annealing, VERB 
200, NUM 
400, NUM 
K, NOUN 

, SPACE 
reduced, VERB 
550, NUM 
700, NUM 
K., NOUN 
recovery, NOUN 
stage, NOUN 

, SPACE 
550, NUM 
700, NUM 
K, PROPN 
likely, ADJ 
vacancies, NOUN 
initially, ADV 

, SPACE 
proposed, VERB 
recovery, NOUN 
stage, NOUN 
200, NUM 
400, NUM 
K, PROPN 

, SPACE 
type, NOUN 
Zr, PROPN 
self, NOUN 
interstitial, ADJ 
atom, NOUN 

, SPACE 
believed, VERB 
interstitial, ADJ 
Fe, PROPN 
vacancy, NOUN 
Fe, PROPN 
V, NOUN 
com-, NOUN 

, SPACE 
plexes, NOUN 
strongly, ADV 
bound, VERB 
1.4, NUM 
eV, NUM 
>, PUNCT 

, SPACE 
low, ADJ 
migration, NOUN 
energies, NOUN 
24,25, NUM 

, SPACE 
possible, ADJ 
recovery, NOUN 
occurring, VERB 
200, NUM 
400, NUM 
K, NOUN 

, SPACE 
