~.~Joum'al, PUNCT 
methylenedioxyacetophenone, NOUN 
1,3, NUM 
divinyitetrameth-, NOUN 

, SPACE 
yidisiloxane, NOUN 
3,3,6,6, NUM 
tetrameti, NOUN 
~, NOUN 
yl*3,6, PROPN 
disila, PROPN 
l,7, PROPN 
°, NOUN 
oc-, VERB 

, SPACE 
tadiene, NOUN 
Ru, PROPN 
catalyst, NOUN 
previously, ADV 

, SPACE 
activated, VERB 
treatment, NOUN 
equivalent, ADJ 

, SPACE 
styrene, ADJ 
proceeds, VERB 
smoothly, ADV 
high, ADJ 
molecular, ADJ 

, SPACE 
copolymers, NOUN 
excellent, ADJ 
yield, NOUN 

, SPACE 
copolymers, NOUN 
different, ADJ 
~'~Si, NOUN 
NMR, PROPN 
signals, NOUN 

, SPACE 
observed, VERB 
result, VERB 
presence, NOUN 

, SPACE 
microstructures, NOUN 
|he, PROPN 
mljaccnt, PROPN 
4,5omcthylen~, NUM 

, SPACE 
cdioxy, NOUN 
units, NOUN 
t, PROPN 
lo, PROPN 
c, PROPN 
second, ADJ 
close, ADJ 

, SPACE 
distant, ADJ 
distant, ADJ 

, SPACE 
Consistent, PROPN 
tiffs, NOUN 
interpretation, NOUN 
~C, PUNCT 
Fig, PROPN 
~, PUNCT 

, SPACE 
si~,nals, PROPN 
methyl, NOUN 
groups, NOUN 
bonded, VERB 
silicon, NOUN 

, SPACE 
0.07, NUM 
0.13, NUM 
0.18, NUM 
ppm, PROPN 
detected, VERB 
SlXXtrum, NOUN 

, SPACE 
copoly, ADJ 
3,3,5, NUM 
5, NUM 
tetramethyl*4, NOUN 
oxa, NOUN 
3,5odisilao, NUM 
1,7ohept, NUM 
mo, NOUN 

, SPACE 
ylene/2, PROPN 
aceto-4,5, NOUN 
methylenedioxy, NOUN 
°, NOUN 
1,3ophenylene, NUM 

, SPACE 
s, NOUN 
~, NOUN 
gnals, NOUN 
observed, VERB 
m, AUX 
C, PROPN 
NMR, PROPN 
tot, NOUN 
-3, PUNCT 

, SPACE 
aromatic, ADJ 
ring, NOUN 
134, NUM 
0, PUNCT 
34.20, NUM 
34.46, NUM 
ppm, PROPN 

, SPACE 
Similarly, ADV 
signals, NOUN 
obsetwed, VERB 
benzylic, NOUN 

, SPACE 
methylene, NOUN 
carbons, NOUN 
copolymer, NOUN 

, SPACE 
single, ADJ 
~C, PUNCT 
reson, PROPN 
mces, VERB 
methyl, NOUN 
groups, NOUN 
bonded, VERB 

, SPACE 
silicon, NOUN 
C-3, PROPN 
aromatic, ADJ 
ring, NOUN 
observed, VERB 

, SPACE 
spectnma, NOUN 
copoly(3,3,6,6*tetramethyl-3,6, PROPN 
disila-, NOUN 

, SPACE 
8, NUM 
octanylene/2, ADJ 
aceto-4,5*methylenedioxy-1,3, NOUN 
phen-, NUM 

, SPACE 
ylene, NOUN 
copolymer, NOUN 
benzylic, NOUN 
methy-, ADJ 

, SPACE 
lene, NOUN 
carbons, NOUN 
adjacent, ADJ 
silicon, NOUN 
rise, NOUN 

, SPACE 
signals, NOUN 
reason, NOUN 
difference, NOUN 

, SPACE 
copolymers, NOUN 
apparent, ADJ 

, SPACE 
copolymers, NOUN 
stable, ADJ 
determined, VERB 

, SPACE 
TGA, PROPN 
example, NOUN 
copoly(3,3,5,5, PROPN 
tetramethyl-4, NUM 
oxa, NOUN 

, SPACE 
3,5, NUM 
disila, ADJ 
1,7, PROPN 
heptanylene/2, NOUN 
aceto-4,5, NOUN 
methylenedioxyo, NOUN 


, SPACE 
354, NUM 
G., PROPN 
Wang, PROPN 
et, NOUN 
al./, ADV 
Journal, PROPN 
Organometallie, PROPN 
Chemistry, PROPN 
521, NUM 
1996, NUM 
351, NUM 
354, NUM 

, SPACE 
1.3, NUM 
phenylene, NOUN 
thermally, ADV 
stable, ADJ 
270, NUM 
°, NOUN 
C, NOUN 

, SPACE 
270, NUM 
350, NUM 
°, NUM 
C, NOUN 
slow, ADJ 
thermal, ADJ 
decomposition, NOUN 
occurs, VERB 

, SPACE 
350, NUM 
°, NOUN 
C, NOUN 
rapid, ADJ 
weight, NOUN 
loss, NOUN 
observed, VERB 

, SPACE 
550, NUM 
°, NOUN 
C, NOUN 
significant, ADJ 
residue, NOUN 
45, NUM 
found, VERB 

, SPACE 
Acknowledgements, NOUN 

, SPACE 
work, NOUN 
supported, VERB 
Air, PROPN 
Force, PROPN 

, SPACE 
Office, PROPN 
Scientific, PROPN 
Research, PROPN 

, SPACE 
References, PROPN 
2, X 
S., PROPN 
Murai, PROPN 
F., PROPN 
Kakiuchi, PROPN 
S., PROPN 
Sekine, PROPN 
Y., PROPN 
Tanaka, PROPN 
A., PROPN 
Kamatani, PROPN 
M., PROPN 

, SPACE 
Sonoda, PROPN 
N., PROPN 
Chatani, PROPN 
Pure, PROPN 
Appl, PROPN 
Chem, PROPN 
66, NUM 
1994, NUM 
1527, NUM 

, SPACE 
3, X 
F., PROPN 
Kakiuchi, PROPN 
S., PROPN 
Sekine, PROPN 
Y., PROPN 
Tanaka, PROPN 
A., PROPN 
Kamatani, PROPN 
M., PROPN 
Sonoda, PROPN 
N., PROPN 

, SPACE 
Chatani, PROPN 
S., PROPN 
Murai, PROPN 
Bull, PROPN 
Chem, PROPN 
Soc, PROPN 
Jpn, NOUN 
68, NUM 
995, NUM 
62, NUM 

, SPACE 
4, X 
H., PROPN 
Guo, PROPN 
W.P., PROPN 
Weber, PROPN 
Polym, PROPN 
Bull, PROPN 
32, NUM 
1994, NUM 
525, NUM 

, SPACE 
5, X 
H., PROPN 
Guo, PROPN 
M.A., PROPN 
Tapsak, PROPN 
W.P., PROPN 
Weber, PROPN 
Polym, PROPN 
Bull, PROPN 
34, NUM 
1995, NUM 

, SPACE 
49, NUM 

, SPACE 
6, NUM 
H., PROPN 
Guo, PROPN 
G., PROPN 
Wang, PROPN 
M.A., PROPN 
Tapsak, PROPN 
W.P., PROPN 
Weber, PROPN 
Macro-, PROPN 

, SPACE 
molecules, NOUN 
28, NUM 
1995, NUM 
5686, NUM 

, SPACE 
7, X 
H., PROPN 
Guo, PROPN 
W.P., PROPN 
Weber, PROPN 
Polym, PROPN 
Bull, PROPN 
35, NUM 
995, NUM 
259, NUM 

, SPACE 
8, X 
H., PROPN 
Guo, PROPN 
M.A., PROPN 
Tapsak, PROPN 
W.P., PROPN 
Weber, PROPN 
Macromolecules, PROPN 
28, NUM 

, SPACE 
1995, NUM 
4714, NUM 

, SPACE 
9, X 
F., PROPN 
Freeman, PROPN 
H.D.W., PROPN 
Hill, PROPN 
R., PROPN 
Kaptein, PROPN 
J., PROPN 
Magn, PROPN 
Reson, PROPN 
7, NUM 

, SPACE 
1972, NUM 
327, NUM 

, SPACE 
10, NUM 
J.J., PROPN 
Levison, PROPN 
S.D., PROPN 
Robinson, PROPN 
J., PROPN 
tThem, PROPN 
Soe, INTJ 
1970, NUM 
2947, NUM 

, SPACE 
1, X 
S., PROPN 
Murai, PROPN 
F., PROPN 
Kakiuchi, PROPN 
S., PROPN 
Sekine, PROPN 
Y., PROPN 
Tanaka, PROPN 
M., PROPN 
Sonoda, PROPN 
N., PROPN 

, SPACE 
Chatani, PROPN 
Nature, PROPN 
London, PROPN 
366, NUM 
1993, NUM 
529, NUM 


, SPACE 
