~!~l, PROPN 
heat, NOUN 
flux, NOUN 

, SPACE 
1985, NUM 
studied, VERB 
buoyant, ADJ 
unenclosed, ADJ 
flame, NOUN 
impinging, VERB 

, SPACE 
flat, ADJ 
plate, NOUN 
convective, ADJ 
total, ADJ 
heat, NOUN 
flux, NOUN 
rates, NOUN 

, SPACE 
measured, VERB 
gauges, NOUN 
plated, VERB 
gold, NOUN 
black, ADJ 
foils, NOUN 
respec-, X 

, SPACE 
tively, ADV 
subtracting, VERB 
convection, NOUN 
effect, NOUN 
total, ADJ 
heat, NOUN 

, SPACE 
flux, NOUN 
radiation, NOUN 
calculated, VERB 
35, NUM 

, SPACE 
convective, ADJ 
flux, NOUN 
Thermal, ADJ 
radiation, NOUN 
dropped, VERB 
rapidly, ADV 
R, NOUN 

, SPACE 
increased, VERB 
fixed, VERB 
L., PROPN 

, SPACE 
Water, PROPN 
vapor, NOUN 
condensation, NOUN 

, SPACE 
studies, NOUN 
reviewed, VERB 
Hargrave, PROPN 
eta, NOUN 
1987, NUM 

, SPACE 
considered, VERB 
effect, NOUN 
condensation, NOUN 

, SPACE 
attempted, VERB 
eliminate, VERB 
careful, ADJ 
experimental, ADJ 
design, NOUN 
Flowing, VERB 
ethylene, NOUN 
glycol, NOUN 
cool, VERB 
inside, ADJ 
wall, NOUN 
cylinder, NOUN 

, SPACE 
heminosed, VERB 
cylinder, NOUN 
target, NOUN 
Glycol, PROPN 
higher, ADJ 
boiling, NOUN 
point, NOUN 

, SPACE 
water, NOUN 
target, NOUN 
surface, NOUN 
temperature, NOUN 

, SPACE 
maintained, VERB 
high, ADJ 
level, NOUN 
prevent, VERB 
water, NOUN 

, SPACE 
vapor, NOUN 
combustion, NOUN 
products, NOUN 
condensing, VERB 
target, NOUN 

, SPACE 
Water, NOUN 
cooled, VERB 
targets, NOUN 
studies, NOUN 
e.g., ADV 

, SPACE 
Anderson, PROPN 
Stresino, PROPN 
1963, NUM 
surface, NOUN 
temperature, NOUN 

, SPACE 
maintained, VERB 
boiling, NOUN 
point, NOUN 
water, NOUN 
prevented, VERB 

, SPACE 
cooling, VERB 
water, NOUN 
boiling, NOUN 
inside, ADP 
target, NOUN 
water, NOUN 
vapor, NOUN 

, SPACE 
combustion, NOUN 
products, NOUN 
condensed, VERB 
cool, ADJ 

, SPACE 
target, NOUN 
surface, NOUN 
air, NOUN 
fuel, NOUN 
flames, NOUN 
water, NOUN 
content, NOUN 

, SPACE 
combustion, NOUN 
products, NOUN 
relatively, ADV 
small, ADJ 
O2, PROPN 
CH, PROPN 
4, NUM 

, SPACE 
flames, NOUN 
example, NOUN 
products, NOUN 
thirds, NOUN 
water, NOUN 
Con-, PROPN 

, SPACE 
densation, NOUN 
important, ADJ 
studies, NOUN 
effect, NOUN 

, SPACE 
quantified, VERB 
study, NOUN 

, SPACE 
Thermophysical, ADJ 
properties, NOUN 

, SPACE 
transport, NOUN 
thermodynamic, ADJ 
properties, NOUN 
correla-, NOUN 

, SPACE 
tions, NOUN 
presented, VERB 
discussed, VERB 
section, NOUN 

, SPACE 
properties, NOUN 
evaluated, VERB 
rules, NOUN 
prop-, ADV 

, SPACE 
erties, NOUN 
include, VERB 
example, NOUN 
specific, ADJ 
heat, NOUN 
thermal, ADJ 
conductiv-, NOUN 

, SPACE 
ity, NOUN 
enthalpy, NOUN 
viscosity, NOUN 
combustion, NOUN 
products, NOUN 

, SPACE 
nomenclature, NOUN 
shown, VERB 
Figure, PROPN 
1, NUM 
common, ADJ 
rule, NOUN 

, SPACE 
evaluate, VERB 
properties, NOUN 
gas, NOUN 
temperature, NOUN 
edge, NOUN 

, SPACE 
stagnation, NOUN 
zone, NOUN 
boundary, ADJ 
layer, NOUN 
te, PROPN 

, SPACE 
Pe, PROPN 
=, NOUN 
p(t~, PROPN 
la, INTJ 

, SPACE 
p, NOUN 
property, NOUN 
evaluated, VERB 
common, ADJ 
rule, NOUN 

, SPACE 
evaluate, VERB 
properties, NOUN 
wall, NOUN 
temperature, NOUN 

, SPACE 
target, NOUN 
t, PROPN 
w, NOUN 

, SPACE 
Pw, PROPN 
=, NOUN 
P(tw, PROPN 
lb, ADV 

, SPACE 
properties, NOUN 
evaluated, VERB 
film, NOUN 
temperature, NOUN 

, SPACE 
mean, ADJ 
temperature, NOUN 
edge, NOUN 
stagnation, NOUN 

, SPACE 
zone, NOUN 
wall, NOUN 
temperature, NOUN 
property, NOUN 
evaluated, VERB 

, SPACE 
t5, PROPN 
=, NOUN 
p[(t, NOUN 
e, NOUN 
+, CCONJ 
tw)/2, PROPN 
lc, NOUN 

, SPACE 
studies, NOUN 
e.g., ADV 
Hargrave, PROPN 
et, PROPN 
al, PROPN 
1987, NUM 
weighted, ADJ 

, SPACE 
average, ADJ 
temperature, NOUN 
range, NOUN 
edge, NOUN 

, SPACE 
stagnation, NOUN 
zone, NOUN 
wall, NOUN 
temperatures, NOUN 

, SPACE 
~=, X 
ft, PROPN 
~, PROPN 
pdt/(te, PROPN 
tw, PROPN 
tw, PROPN 
ld, PROPN 

, SPACE 
BURNER, PROPN 
f, PROPN 
d, X 

, SPACE 
Figure, NOUN 
Nomenclature, PROPN 
flame, NOUN 
impinging, VERB 
normal, ADJ 

, SPACE 
plane, NOUN 
surface, NOUN 

, SPACE 
388, NUM 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
4, NUM 
August, PROPN 
1996, NUM 


, SPACE 
Flame, PROPN 
impingement, VERB 
heat, NOUN 
transfer, NOUN 
correlations, NOUN 
C., PROPN 
E., PROPN 
Baukal, PROPN 
B., PROPN 
Gebhart, PROPN 

, SPACE 
Hoogendoorn, PROPN 
et, PROPN 
al, PROPN 
1978, NUM 
Popiel, PROPN 
et, PROPN 
al, PROPN 
1980, NUM 

, SPACE 
reference, NOUN 
temperature, NOUN 
method, NOUN 
recommended, VERB 
Eckert, PROPN 
1956, NUM 

, SPACE 
Pref, PROPN 
=, NOUN 
p[te, PROPN 
+, NOUN 
0"5(tw, NUM 
+, CCONJ 
0"22(trec, PROPN 
te, PROPN 
le, X 

, SPACE 

, SPACE 
2, NUM 
0.5, NUM 
tre, NOUN 
c, NOUN 
=, PROPN 
t, PROPN 
e, PROPN 
+, PROPN 
t, NOUN 
e, NOUN 
Pr, PROPN 
e, NOUN 
/2cpe, PUNCT 
lf, PROPN 

, SPACE 
low, ADJ 
speed, NOUN 
flows, NOUN 
recovery, NOUN 
temperature, NOUN 

, SPACE 
t, PROPN 
e., PROPN 
Pref, PROPN 
nearly, ADV 
~, PUNCT 
Equation, PROPN 
lc, PROPN 

, SPACE 
Be6r, PROPN 
Chigier, PROPN 
1968, NUM 
evaluated, VERB 
properties, NOUN 
maxi-, X 

, SPACE 
mum, NOUN 
temperature, NOUN 
measured, VERB 
given, VERB 
location, NOUN 
flame, NOUN 
jet, NOUN 

, SPACE 
Pmax, NOUN 
=, PRON 
p(tmax, VERB 
lg, PROPN 

, SPACE 
Definitions, NOUN 
dimensionless, ADJ 
quantities, NOUN 
introduced, VERB 
be-, ADP 

, SPACE 
low, ADJ 
Nu, PROPN 
Pr, PROPN 
require, VERB 
specification, NOUN 

, SPACE 
characteristic, ADJ 
length, NOUN 
scale, NOUN 
characteristic, ADJ 
transport, NOUN 
properties, NOUN 

, SPACE 
transport, NOUN 
properties, NOUN 
turn, NOUN 
require, VERB 
specification, NOUN 

, SPACE 
rule, NOUN 
evaluated, VERB 
e.g., ADV 
use, NOUN 
specific, ADJ 
character-, NOUN 

, SPACE 
istic, ADJ 
temperature, NOUN 
material, NOUN 
transport, NOUN 
proper-, NOUN 

, SPACE 
ties, NOUN 
i.e., X 
material, ADJ 
temperature, NOUN 
required, VERB 
indicated, VERB 

, SPACE 
single, ADJ 
subscript, NOUN 
e.g., ADV 
Pr, PROPN 
e, NOUN 
i.e., X 
Pr, PROPN 
evaluated, VERB 
te, PROPN 

, SPACE 
characteristic, ADJ 
length, NOUN 
property, NOUN 
temperature, NOUN 
required, VERB 

, SPACE 
indicated, VERB 
second, ADJ 
subscripts, NOUN 

, SPACE 
respectively, ADV 
example, NOUN 
Re,,~, PROPN 
shorthand, NOUN 
notation, NOUN 

, SPACE 
e, NOUN 
=, PROPN 
PeUedn, PROPN 
la, PROPN 
e, NOUN 
example, NOUN 
characteristic, ADJ 
dimen-, X 

, SPACE 
sion, NOUN 
dn, ADJ 
dimension, NOUN 
important, ADJ 
parameter, NOUN 
correlat-, ADJ 

, SPACE 
ing, VERB 
heat, NOUN 
transfer, NOUN 
possible, ADJ 
lengths, NOUN 

, SPACE 
common, ADJ 
burner, NOUN 
nozzle, NOUN 

, SPACE 
diameter, NOUN 
d, NUM 
axial, ADJ 
distance, NOUN 

, SPACE 
nozzle, NOUN 
edge, NOUN 
surface, NOUN 
stagnation, NOUN 
point, VERB 
lj, ADV 
cylindrical, ADJ 

, SPACE 
heminosed, VERB 
cylindrical, ADJ 
targets, NOUN 
Figures, NOUN 
2, NUM 
3, NUM 
diameter, NOUN 

, SPACE 
body, NOUN 
d, PROPN 
b, NOUN 
plane, NOUN 
targets, NOUN 
distance, NOUN 

, SPACE 
surface, NOUN 
r, NOUN 
Smith, PROPN 
Lowes, PROPN 
1974, NUM 

, SPACE 
width, NOUN 
cooling, VERB 
channel, NOUN 
target, NOUN 
l, PROPN 
c., PROPN 
Kataoka, PROPN 
et, PROPN 

, SPACE 
al, PROPN 
1984, NUM 
radius, NOUN 
velocity, NOUN 
half, DET 
axial, ADJ 

, SPACE 
r, NOUN 
=, SYM 
0, NUM 
velocity, NOUN 
rl/2, VERB 

, SPACE 
Empirical, ADJ 
heat, NOUN 
transfer, NOUN 
correlations, NOUN 

, SPACE 
generally, ADV 
given, VERB 
forms, NOUN 

, SPACE 
Nusselt, PROPN 
number, NOUN 
dimensionless, ADJ 
heat, NOUN 
transfer, NOUN 
coeffi-, NOUN 

, SPACE 
cient, NOUN 
studies, NOUN 
considered, VERB 
appeared, VERB 
Nu, PROPN 
=, X 

, SPACE 
aPrbRe, NOUN 
c, PROPN 
b, NOUN 
c, PROPN 
constants, NOUN 
second, ADJ 
form, NOUN 

, SPACE 
directly, ADV 
terms, NOUN 
heat, NOUN 
flux, NOUN 
q, PROPN 
forms, NOUN 

, SPACE 
related, VERB 
follows, VERB 
q, NOUN 
=, PROPN 
k, PROPN 
d){Nu}At, PROPN 
k, PROPN 
thermal, ADJ 

, SPACE 
conductivity, NOUN 
fluid, NOUN 
d, NOUN 
characteristic, ADJ 
dimension, NOUN 

, SPACE 
consistency, NOUN 
correlations, NOUN 
given, VERB 

, SPACE 
written, VERB 
terms, NOUN 
q, NOUN 
makes, VERB 
easier, ADJ 
directly, ADV 
compare, VERB 

, SPACE 
equations, NOUN 
driving, VERB 
force, NOUN 
potential, NOUN 
heat, NOUN 

, SPACE 
transfer, NOUN 
explicitly, ADV 
given, VERB 
second, ADJ 
form, NOUN 
correla-, NOUN 
Figure, NOUN 
2, NUM 
BURNER, PROPN 

, SPACE 
Flame, PROPN 
impinging, VERB 
normal, ADJ 
cylinder, NOUN 
cross, ADJ 
flow, ADJ 

, SPACE 
tions, NOUN 
potential, NOUN 
temperature, NOUN 
difference, NOUN 

, SPACE 
enthalpy, NOUN 
difference, NOUN 
form, NOUN 
Nu, PROPN 
formulation, NOUN 

, SPACE 
potential, NOUN 
given, VERB 
explicitly, ADV 
correlations, NOUN 
con-, VERB 

, SPACE 
verted, VERB 
form, NOUN 
second, ADJ 
form, NOUN 
i.e., X 
Nu, PROPN 
q, PROPN 

, SPACE 
Nu, PROPN 
relationship, NOUN 
shown, VERB 
inside, ADP 
curved, VERB 
brackets, NOUN 

, SPACE 
section, NOUN 
arranged, VERB 
aid, VERB 
designer, NOUN 
researcher, NOUN 

, SPACE 
find, VERB 
appropriate, ADJ 
correlation, NOUN 
specific, ADJ 
set, NOUN 
conditions, NOUN 

, SPACE 
primary, ADJ 
consideration, NOUN 
ensure, VERB 
heat, NOUN 
transfer, NOUN 

, SPACE 
correlation, NOUN 
applies, VERB 
chosen, VERB 
geometric, ADJ 
configuration, NOUN 

, SPACE 
consideration, NOUN 
location, NOUN 
target, NOUN 
desired, VERB 

, SPACE 
flux, NOUN 
calculated, VERB 
typically, ADV 
specific, ADJ 

, SPACE 
location, NOUN 
stagnation, NOUN 
point, NOUN 
referred, VERB 

, SPACE 
local, ADJ 
heat, NOUN 
flux, NOUN 
Correlations, NOUN 
determined, VERB 

, SPACE 
average, ADJ 
heat, NOUN 
flux, NOUN 
given, VERB 
portion, NOUN 
target, NOUN 

, SPACE 
correlations, NOUN 
arranged, VERB 
terms, NOUN 
heat, NOUN 
transfer, NOUN 
mecha-, X 

, SPACE 
nism(s, PROPN 
include, VERB 
convection, NOUN 
TCHR, PROPN 
radiation, NOUN 
combi-, PRON 

, SPACE 
nations, NOUN 
Finally, ADV 
correlations, NOUN 
arranged, VERB 

, SPACE 
flow, NOUN 
type, NOUN 
laminar, NOUN 
turbulent, ADJ 
studies, NOUN 
e.g., ADV 
Fair-, ADJ 

, SPACE 
weather, NOUN 
et, PROPN 
al, PROPN 
1984, NUM 
correlations, NOUN 
given, VERB 
laminar, NOUN 

, SPACE 
turbulent, ADJ 
flows, NOUN 
studies, NOUN 
flow, NOUN 
type, NOUN 

, SPACE 
specified, VERB 

, SPACE 
Flames, NOUN 
impinging, VERB 
normal, ADJ 
cylinder, NOUN 

, SPACE 
refers, VERB 
flames, NOUN 
impinging, VERB 
perpendicular, ADJ 
cylinder, NOUN 

, SPACE 
Figure, PROPN 
2, NUM 
cylinder, NOUN 
cross, ADJ 
flow, NOUN 
experimental, ADJ 
conditions, NOUN 

, SPACE 
previous, ADJ 
studies, NOUN 
geometry, NOUN 
given, VERB 
Table, PROPN 
1, NUM 

, SPACE 
table, NOUN 
shows, VERB 
heat, NOUN 
transfer, NOUN 
mechanisms, NOUN 

, SPACE 
correlated, VERB 
studies, NOUN 

, SPACE 
Local, ADJ 
convection, NOUN 
heat, NOUN 
transfer, NOUN 

, SPACE 
Laminar, PROPN 
turbulent, ADJ 
flows, NOUN 
Hustad, PROPN 
co, NOUN 
workers, NOUN 
1991, NUM 

, SPACE 
measured, VERB 
radiation, NOUN 
total, ADJ 
heat, NOUN 
fluxes, NOUN 
laminar, NOUN 

, SPACE 
turbulent, ADJ 
flows, NOUN 
radiation, NOUN 
flux, NOUN 
calculated, VERB 

, SPACE 
convection, NOUN 
heat, NOUN 
transfer, NOUN 
calculated, VERB 
subtracting, VERB 
calcu-, ADJ 

, SPACE 
lated, VERB 
radiation, NOUN 
measured, ADJ 
heat, NOUN 
flux, NOUN 
correlations, NOUN 

, SPACE 
literature, NOUN 
tested, VERB 
convective, ADJ 
portion, NOUN 

, SPACE 
heat, NOUN 
transfer, NOUN 
best, ADJ 
match, NOUN 
experimental, ADJ 
convection, NOUN 

, SPACE 
stagnation, NOUN 
point, NOUN 
correlation, NOUN 
Zukauskas, PROPN 

, SPACE 
Figure, PROPN 
3, NUM 
BURNER, PROPN 
~, PUNCT 
~ARGET, PROPN 

, SPACE 
f, PROPN 

, SPACE 
Flame, PROPN 
impinging, VERB 
normal, ADJ 
hemi, ADJ 
nosed, ADJ 
cylinder, NOUN 
parallel, ADJ 
flow, NOUN 
0, NUM 

, SPACE 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
4, NUM 
August, PROPN 
1996, NUM 
389, NUM 


, SPACE 
Flame, PROPN 
impingement, VERB 
heat, NOUN 
transfer, NOUN 
correlations, NOUN 
C., PROPN 
E., PROPN 
Baukal, PROPN 
B., PROPN 
Gebhart, PROPN 

, SPACE 
Table, PROPN 
1, NUM 
Experimental, ADJ 
conditions, NOUN 
flames, NOUN 
impinging, VERB 
normal, ADJ 
cylinders, NOUN 

, SPACE 
Heat, PROPN 
transfer, NOUN 
mechanisms, NOUN 

, SPACE 
Location, PROPN 
Forced, VERB 
conv, ADJ 
TCHR, PROPN 
Radiation, PROPN 
Oxidizer, PROPN 
n, NOUN 
+, PROPN 
Fuel(s, PROPN 
Reference, PROPN 

, SPACE 
Local, PROPN 
~/, PROPN 
air, NOUN 

, SPACE 
¢, PROPN 
air, NOUN 

, SPACE 
Average, PROPN 
~/, PROPN 
air, NOUN 

, SPACE 
~/, PROPN 
air, PROPN 

, SPACE 
~/, PROPN 
air, PROPN 

, SPACE 
~/, PROPN 
air, PROPN 

, SPACE 
~/, PROPN 
~/, PROPN 
air, PROPN 
O, NOUN 
2, NUM 

, SPACE 
¢, PROPN 
02, NUM 

, SPACE 
¢, PROPN 
air, NOUN 

, SPACE 
¢, PROPN 
¢, PROPN 
02, NUM 

, SPACE 
¢, PROPN 
¢, PROPN 
02, NUM 

, SPACE 
~/, PROPN 
~/, PROPN 
air, PROPN 
O, NOUN 
2, NUM 

, SPACE 
¢, PROPN 
¢, PROPN 
02, NUM 

, SPACE 
Maximum, PROPN 
~/, PROPN 
~/, PROPN 
air, PROPN 
2000, NUM 
8000, NUM 
0.8, NUM 
1.2, NUM 
CH, PROPN 
4, NUM 

, SPACE 
200, NUM 
3600, NUM 
co, NOUN 
CH4, PROPN 
C3H8, PROPN 

, SPACE 
given, VERB 
1.25, NUM 
C3H, PROPN 
8, NUM 

, SPACE 
laminar, NOUN 
1.0, NUM 
1.19, NUM 
CO, PROPN 

, SPACE 
200, NUM 
3600, NUM 
oo, NOUN 
CH4, PROPN 
C3H8, PROPN 

, SPACE 
given, VERB 
0.6, NUM 
1.3, NUM 
natural, ADJ 
gas, NOUN 

, SPACE 
0.5, NUM 
1.3, NUM 

, SPACE 
0.5, NUM 
1.16, NUM 

, SPACE 
laminar, NOUN 
1.0, NUM 
H, NOUN 
2, NUM 

, SPACE 
1.0, NUM 
H, NOUN 
2, NUM 

, SPACE 
1.0, NUM 
2.0, NUM 
CO, PROPN 

, SPACE 
given, VERB 
lean, ADJ 
rich, ADJ 
town, NOUN 
gas, NOUN 

, SPACE 
1.0, NUM 

, SPACE 
26,000, NUM 
b, NOUN 
~, NOUN 
CH, PROPN 
4, NUM 

, SPACE 
54,000, NUM 
330,000, NUM 
b, NOUN 
C3H, PROPN 
8, NUM 

, SPACE 
66,000, NUM 
b, NOUN 
C4Hlo, NOUN 
Hargrave, PROPN 
et, PROPN 
al, PROPN 
1987, NUM 

, SPACE 
Hustad, PROPN 
co, NOUN 
workers, NOUN 
1991, NUM 

, SPACE 
Fells, PROPN 
Harker, PROPN 
1968, NUM 

, SPACE 
Kilham, PROPN 
1949, NUM 

, SPACE 
Hustad, PROPN 
co, NOUN 
workers, NOUN 
1991, NUM 

, SPACE 
Davies, NOUN 
1979, NUM 

, SPACE 
Jackson, PROPN 
Kilham, PROPN 
1956, NUM 

, SPACE 
Davies, NOUN 
1965, NUM 

, SPACE 
Hustad, PROPN 
et, PROPN 
al, PROPN 
1992, NUM 

, SPACE 
aAccording, PROPN 
author, NOUN 
qualitative, ADJ 

, SPACE 
bCalculated, VERB 
data, NOUN 
reference, NOUN 

, SPACE 
Ziugzda, PROPN 
1985, NUM 
assuming, VERB 
Tu, PROPN 
=, NUM 
0.02, NUM 

, SPACE 
=, PROPN 
--ke/0.41ReO.6preO.35TuO.,5/, PROPN 
--Pre, PROPN 
t, PROPN 
°, NUM 
"25/, PROPN 
t, PROPN 
e, PROPN 
-t, PROPN 
w, PROPN 

, SPACE 
q, NOUN 
db, PROPN 
~, PUNCT 
~Prw, PUNCT 
2, X 

, SPACE 
pure, ADJ 
fuel, NOUN 
jet, NOUN 
significant, ADJ 
quantities, NOUN 

, SPACE 
uncombusted, ADJ 
species, NOUN 
flame, NOUN 
impingement, ADJ 
point, NOUN 

, SPACE 
TCHR, PROPN 
important, ADJ 
dis-, NOUN 

, SPACE 
cussed, VERB 
Hustad, PROPN 
co, NOUN 
workers, NOUN 
TCHR, PROPN 
present, ADJ 

, SPACE 
included, VERB 
forced, VERB 
convection, NOUN 
Equation, NOUN 
2, NUM 

, SPACE 
Turbulent, ADJ 
flows, NOUN 
Hargrave, VERB 
et, PROPN 
al, PROPN 
1987, NUM 
studied, VERB 
effects, NOUN 

, SPACE 
turbulence, NOUN 
following, VERB 
correlation, NOUN 
determined, VERB 

, SPACE 
t, PROPN 
q~, PROPN 
=, PROPN 
~-b, PROPN 
~eb'5, PROPN 
1.071, NUM 
+, NUM 
4.669, NUM 
100, NUM 

, SPACE 
TuR, PROPN 
eb, X 
~, PUNCT 
-7.388, PUNCT 
~---~--0.5, PUNCT 
a]'~, CCONJ 
3, X 

, SPACE 
correlation, NOUN 
underpredicted, VERB 
data, NOUN 
14, NUM 

, SPACE 
Average, ADJ 
convection, NOUN 
heat, NOUN 
transfer, NOUN 

, SPACE 
Laminar, PROPN 
flows, VERB 
related, ADJ 
studies, NOUN 
Kilham, PROPN 
1949, NUM 
Jackson, PROPN 

, SPACE 
Kilham, PROPN 
1956, NUM 
measured, VERB 
total, ADJ 
radiative, VERB 
heat, NOUN 
fluxes, NOUN 

, SPACE 
convective, ADJ 
heat, NOUN 
transfer, NOUN 
calculated, VERB 
subtracting, VERB 

, SPACE 
radiation, NOUN 
total, ADJ 
flux, NOUN 
Kilham, PROPN 
studied, VERB 
air, NOUN 
CO, PROPN 
flames, NOUN 

, SPACE 
convection, NOUN 
correlated, VERB 

, SPACE 
7~, PROPN 
3, NUM 
q~, PROPN 
=, X 
~bb, NOUN 
l~, NUM 
°, NUM 
r, NOUN 
0.35, NUM 
+, NUM 
0.47, NUM 
~, PUNCT 
eb'52)}(te, X 
t, PROPN 
w, PROPN 
4a, PROPN 

, SPACE 
Jackson, PROPN 
Kilham, PROPN 
studied, VERB 
air, NOUN 
H, PROPN 
2, NUM 
O2, PROPN 
H, PROPN 
2, NUM 
Oa, PROPN 
CO, PROPN 
flames, NOUN 
convection, NOUN 
correlated, VERB 

, SPACE 
------O3, PUNCT 
q~, NOUN 
=, X 
Pr, PROPN 
0.35, NUM 
+, NUM 
0.50, NUM 
~, PUNCT 
ebSa)}(t, PROPN 
e, PROPN 
t, PROPN 
w, PROPN 

, SPACE 
ab, PROPN 
4b, PROPN 

, SPACE 
equations, NOUN 
valid, ADJ 
60, NUM 
<, X 
b, NOUN 
<, X 
230, NUM 
constant, ADJ 

, SPACE 
multiplying, VERB 
b, NOUN 
varied, ADJ 
slightly, ADV 
studies, NOUN 
McAdams, PROPN 

, SPACE 
1954, NUM 
correlation, NOUN 
geometry, NOUN 
nonreacting, VERB 
jet, NOUN 

, SPACE 
impingement, ADJ 
multiplier, ADJ 
0.56, NUM 
Oa, PROPN 
H, PROPN 
z, PROPN 
O2, PROPN 
CO, PROPN 

, SPACE 
flames, NOUN 
Jackson, PROPN 
Kilham, PROPN 
study, NOUN 

, SPACE 
significant, ADJ 
quantities, NOUN 
dissociated, VERB 
species, NOUN 
TCHR, PROPN 

, SPACE 
important, ADJ 
discussed, VERB 
TCHR, PROPN 

, SPACE 
present, ADJ 
included, VERB 
Equation, PROPN 
4b, PROPN 

, SPACE 
larger, ADJ 
difference, NOUN 
Equations, PROPN 
4a, PROPN 
b, PROPN 
expected, VERB 

, SPACE 
TCHR, PROPN 
significant, ADJ 

, SPACE 
Laminar, PROPN 
turbulent, ADJ 
flows, NOUN 
Hustad, PROPN 
co, NOUN 
workers, NOUN 
1991, NUM 

, SPACE 
measured, VERB 
total, ADJ 
heat, NOUN 
flux, NOUN 
radiation, NOUN 
heat, NOUN 
flux, NOUN 
as-, AUX 

, SPACE 
sumed, VERB 
uniformly, ADV 
distributed, VERB 
cylinder, NOUN 

, SPACE 
forced, VERB 
convection, NOUN 
calculated, VERB 
subtracting, VERB 
calculated, VERB 

, SPACE 
radiation, NOUN 
measured, ADJ 
total, ADJ 
heat, NOUN 
flux, NOUN 
turbulent, ADJ 

, SPACE 
intensity, NOUN 
2, NUM 
best, ADJ 
fit, NOUN 
data, NOUN 
given, VERB 

, SPACE 
q~, PROPN 
=, SYM 
d~, PROPN 
0"23Re, NUM 
°, NUM 
~6Pre, NOUN 
°, NOUN 
35Tu, NUM 
°, NOUN 
'lS, PROPN 
Pre, PROPN 
~0.25~, NOUN 

, SPACE 
~-P, X 
~, PUNCT 
r, NOUN 
, SPACE 
te, NOUN 
tw, PROPN 
5, X 

, SPACE 
Flow, NOUN 
type, NOUN 
unspecified, ADJ 
Fells, PROPN 
Harker, PROPN 
1968, NUM 
empirically, ADV 

, SPACE 
determined, VERB 

, SPACE 
=, PROPN 

, SPACE 
d~, PROPN 
~----------------0.5~, PROPN 
q, PROPN 
=, PROPN 
0.573, NUM 
0.0179, NUM 
lj)l~, PROPN 
b, PROPN 
t, PROPN 
e, PROPN 
t~, PROPN 
6, NUM 

, SPACE 
C3H, PROPN 
s, PART 
flames, NOUN 
correlated, VERB 
experimental, ADJ 
data, NOUN 

, SPACE 
10, NUM 
Davies, NOUN 
1979, NUM 
calculated, VERB 
forced, VERB 
convection, NOUN 
heat, NOUN 
trans-, X 

, SPACE 
fer, NOUN 
equation, NOUN 
developed, VERB 
Conolly, PROPN 
Davies, PROPN 
1972, NUM 

, SPACE 
390, NUM 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
4, NUM 
August, PROPN 
1996, NUM 


, SPACE 
Flame, PROPN 
impingement, VERB 
heat, NOUN 
transfer, NOUN 
correlations, NOUN 
C., PROPN 
E., PROPN 
Baukal, PROPN 
B., PROPN 
Gebhart, PROPN 

, SPACE 
water, NOUN 
cooled, VERB 
tube, NOUN 
cross, ADJ 
flow, ADJ 

, SPACE 
q~, NOUN 
=, SYM 
¢/db){1.32~', PROPN 
°, NOUN 
r, NOUN 
4i, NUM 
~, PUNCT 
eb'5, NOUN 
te, PROPN 
t~, PROPN 
7, X 

, SPACE 
Average, ADJ 
convection, NOUN 
heat, NOUN 
transfer, NOUN 
thermochemical, ADJ 

, SPACE 
heat, NOUN 
release, NOUN 
Flames, PROPN 
impinging, VERB 
normal, ADJ 
hemi, ADJ 
nosed, ADJ 
cylinder, NOUN 

, SPACE 
pertains, VERB 
cylinders, NOUN 
axis, NOUN 
parallel, ADJ 
flame, NOUN 

, SPACE 
shown, VERB 
Figure, PROPN 
3, NUM 
end, NOUN 
cylinder, NOUN 
hemispherical, ADJ 

, SPACE 
nose, NOUN 
flame, NOUN 
impinges, NOUN 
nose, NOUN 
Experimental, ADJ 
conditions, NOUN 

, SPACE 
studies, NOUN 
given, VERB 
Table, NOUN 
2, NUM 

, SPACE 
Local, ADJ 
convection, NOUN 
heat, NOUN 
transfer, NOUN 

, SPACE 
Flow, NOUN 
type, NOUN 
unspecified, ADJ 
Davies, NOUN 
1965, NUM 
correlated, VERB 
heat, NOUN 
flux, NOUN 

, SPACE 
data, NOUN 
equation, NOUN 
McAdams, PROPN 
1954, NUM 
assuming, VERB 
Pr, PROPN 
=, NOUN 
0.7, NUM 

, SPACE 
=, X 
¢, PROPN 
~------------0.466, PUNCT 
~, PUNCT 
q~, NOUN 
+, NOUN 
TCHR, PROPN 
=, PROPN 
k, PROPN 
db)[O'615]~b, ADJ 
I(t, PROPN 
t~, PROPN 
8), NUM 
Laminar, PROPN 
turbulent, ADJ 
flows, NOUN 
