Selective, PROPN 
cient, NOUN 
fractions, NOUN 
enriched, VERB 
tenascin, PROPN 
laminin, PROPN 
fibronectin, PROPN 
BSP, PROPN 
osteopontin, NOUN 
prompted, VERB 
test, VERB 
proteins, NOUN 
vitronectin, NOUN 
type, NOUN 
collagen, VERB 
osteocalcin, PROPN 

, SPACE 
2, NUM 
HS, PROPN 

, SPACE 
glycoprotein, NOUN 
fetuin, NOUN 
purified, ADJ 
reagents, NOUN 
assay, NOUN 
thesetests, NOUN 
number, NOUN 
cells, NOUN 
attached, VERB 
control, NOUN 
wells, NOUN 
wasvariable, ADJ 
assay, NOUN 
assay, VERB 
difference, NOUN 
cell, NOUN 
adhesionbetween, PROPN 
control, NOUN 
wells, NOUN 
wells, NOUN 
coated, VERB 
given, VERB 
proteinsample, NOUN 
reproducible, ADJ 
range, NOUN 
independent, ADJ 
experi, NOUN 
ments, NOUN 
proteins, NOUN 
tested, VERB 
cell, NOUN 
attachment, NOUN 
stronglystimulatedascomparedwithcontrolsbyfibronectin, PROPN 
32.3),type, PROPN 

, SPACE 
collagen, VERB 
33, NUM 
vitronectin, PROPN 
32.4, NUM 
shown, VERB 

, SPACE 
BSP, PROPN 
Figure, NOUN 
2, NUM 
Tenascin, PROPN 
shown, VERB 
laminin-1, PROPN 
Figure, PROPN 
2, NUM 

, SPACE 
inhibited, VERB 
RC, PROPN 
cell, NOUN 
attachment, NOUN 
timepoints, NOUN 
tested, VERB 

, SPACE 
proteins, NOUN 
effect, NOUN 
average, NOUN 
independentexperiments, NOUN 
RC, PROPN 
cell, NOUN 
attachment, NOUN 
laminin-1, PROPN 
52, NUM 
611, NUM 

, SPACE 
control, NOUN 
5, NUM 
min, NOUN 
plating, NOUN 
effect, NOUN 
sustained, VERB 
overtime, NOUN 
attachment, NOUN 
48, NUM 
617, NUM 
control, NOUN 
20, NUM 
min, NOUN 

, SPACE 
Figure, PROPN 
1, NUM 
Characterization, NOUN 
time, NOUN 
limited, VERB 
cell, NOUN 
attachment, NOUN 
assay, NOUN 
OP, NOUN 
selection, NOUN 
Linear, PROPN 
relationship, NOUN 
number, NOUN 
bone, NOUN 
nodules, NOUN 

, SPACE 
developed, VERB 
number, NOUN 
cells, NOUN 
attached, VERB 
RC, PROPN 
cells, NOUN 
plated, VERB 
100–1000, NUM 
cells, NOUN 
cm2, NOUN 
dishes, NOUN 
fixed, VERB 
24, NUM 
h, NOUN 
cell, NOUN 
counting, NOUN 

, SPACE 
orgrownfor15daystoassessbonenoduleproduction.(B)Experimentalprotocolfortime, NOUN 
limitedcell, NOUN 
attachmentassays, NOUN 
RCcellswereplatedonwel, PROPN 
ls, PROPN 

, SPACE 
coated, ADJ 
controls, NOUN 
protein, NOUN 
substrates, NOUN 
saturated, VERB 
denatured, VERB 
BSA, PROPN 
5, NUM 
10, NUM 
15, NUM 
20, NUM 
min, NOUN 
nonadherent, ADJ 
cells, NOUN 
removed, VERB 
andattached, VERB 
cells, NOUN 
counted, VERB 
grown, VERB 
15, NUM 
days, NOUN 
assess, VERB 
bone, NOUN 
nodule, NOUN 
production, NOUN 
C, NOUN 
proportion, NOUN 
OP, NOUN 
cells, NOUN 
attached, VERB 
aftertime, ADV 
limited, VERB 
plating, NOUN 
constant, ADJ 
plating, VERB 
time, NOUN 
RC, PROPN 
cells, NOUN 
2000, NUM 
cell, NOUN 
cm, PROPN 

, SPACE 
2, NUM 
subjected, VERB 
time, NOUN 
limited, VERB 
cell, NOUN 
attachment, NOUN 
assay, NOUN 
uncoated, ADJ 

, SPACE 
BSA, PROPN 
saturated, VERB 
wells, NOUN 
controls, NOUN 
described, VERB 
B, NOUN 
number, NOUN 
cells, NOUN 
attached, VERB 
bone, NOUN 
nodules, NOUN 
formed, VERB 
increased, VERB 
plating, VERB 
time, NOUN 
ratio, NOUN 
n, CCONJ 

, SPACE 
nodules/100, NOUN 
cells, NOUN 
attached, VERB 
indirect, ADJ 
measurement, NOUN 
proportion, NOUN 
OP, NOUN 
cells, NOUN 
plated, VERB 
constant, ADJ 
Open, ADJ 
circles, NOUN 
cells, NOUN 
attached, VERB 
cm2, ADJ 
open, ADJ 

, SPACE 
squares, NOUN 
bone, NOUN 
nodules, NOUN 
cm2, PROPN 
closed, ADJ 
squares, NOUN 
bone, NOUN 
nodules/100, NOUN 
cells, NOUN 
attached, VERB 
Values, NOUN 
mean, ADJ 
6SD, PROPN 
culture, NOUN 
wells, NOUN 
Materials, PROPN 
Methods, PROPN 

, SPACE 
details.331, ADJ 
Bone, PROPN 
Vol, PROPN 
24, NUM 
4, NUM 
P., PROPN 
Roche, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
April, PROPN 
1999:329–336, PROPN 
Osteoprogenitor, PROPN 
attachment, NOUN 
laminin, PROPN 

, SPACE 
Osteoprogenitor, PROPN 
Recruitment, PROPN 
Purified, PROPN 
Extracellular, PROPN 

, SPACE 
Matrix, PROPN 
Protein, PROPN 

, SPACE 
ThenumberofbonenodulesdevelopedandtheproportionofOP, NOUN 

, SPACE 
observed, VERB 
proteins, NOUN 
tested, VERB 
controls(notshown).InwellscoatedwithBSP, PROPN 
theproportionofOPwassignificantly, ADV 
reduced, VERB 
timepoints, NOUN 
5, NUM 
min, NOUN 
plating(Figure, NOUN 
2, NUM 
absolute, ADJ 
number, NOUN 
bone, NOUN 
nodules, NOUN 
devel, NOUN 
oped, NOUN 
increased, VERB 
shown, VERB 
reflecting, VERB 
increased, VERB 
numberof, NOUN 
cells, NOUN 
attached, VERB 
compared, VERB 
controls, NOUN 

, SPACE 
contrast, NOUN 
proportion, NOUN 
OP, NOUN 
cells, NOUN 
attached, VERB 

, SPACE 
laminin-1, PROPN 
significantly, ADV 
increased, VERB 
individual, ADJ 
experi, PROPN 
mentsconducted(Figure2).Thiseffectwasobservedafter5minof, PROPN 
plating, NOUN 
422, NUM 
6162, NUM 
controls, NOUN 
n, PRON 
55, NUM 
independent, ADJ 
exper-, ADJ 

, SPACE 
iments, NOUN 
sustained, VERB 
time, NOUN 
ratio, NOUN 
remaining, VERB 
at350629%ofcontrols(n, PROPN 
55)after20min, PROPN 
WhenRCcellswere, VERB 

, SPACE 
plated, VERB 
increasing, VERB 
amounts, NOUN 
coated, ADJ 
laminin-1, PROPN 
cell, NOUN 
attach, NOUN 
ment, NOUN 
decreased, VERB 
dose, NOUN 
dependently, ADV 
Figure, NOUN 
3A, PROPN 
abso-, NUM 

, SPACE 
lute, ADJ 
number, NOUN 
nodules, NOUN 
formed, VERB 
Figure, NOUN 
3B, NOUN 
increased, VERB 
concomi, NOUN 
tantly, ADV 
decrease, NOUN 
cell, NOUN 
attachment, NOUN 
ratio(nodules/100, NOUN 
cells, NOUN 
attached, VERB 
Figure, NOUN 
3C, PROPN 
Furthermore, ADV 
signifi, NOUN 
cant, ADJ 
OP, NOUN 
recruitment, NOUN 
occurred, VERB 
earlier, ADJ 
timepoints, NOUN 
higherdensities, NOUN 
coated, ADJ 
laminin-1, PROPN 
shown, VERB 
Similar, ADJ 
results, NOUN 
wereobtainedwithentactin, PROPN 
freelaminin-1(notshown).EnrichmentinOP, PROPN 
increased, VERB 
bone, NOUN 
nodule, NOUN 
formation, NOUN 
observedwith, PROPN 
tenascin, PROPN 
lesser, ADJ 
degree, NOUN 
data, NOUN 
shown, VERB 

, SPACE 
Osteoprogenitor, PROPN 
Recruitment, PROPN 
Laminin-1, PROPN 

, SPACE 
Cell, PROPN 
Attachment, PROPN 
Effect, PROPN 

, SPACE 
Differentiation, PROPN 
assay, NOUN 
investigate, VERB 
possibility, NOUN 
action, NOUN 

, SPACE 
matrix, NOUN 
substrate, NOUN 
OP, NOUN 
differentiation, NOUN 
RC, PROPN 
cells, NOUN 
wereplated, VERB 
24, NUM 
h, NOUN 
wells, NOUN 
coated, VERB 
laminin-1, PROPN 
Figure, PROPN 
4A, PROPN 

, SPACE 
ensure, VERB 
maximal, ADJ 
cell, NOUN 
attachment, NOUN 
assay, NOUN 
cells, NOUN 
wereplated, VERB 
culture, NOUN 
medium, NOUN 
containing, VERB 
serum, NOUN 
derived, VERB 
cell, NOUN 
attach, NOUN 
ment, NOUN 
factors, NOUN 
plastic, NOUN 
culture, NOUN 
saturatedwith, ADP 
BSA, PROPN 
cells, NOUN 
plated, VERB 
thenumber, NOUN 
adherent, NOUN 
cells, NOUN 
similar, ADJ 
cell, NOUN 
attachment, NOUN 
assays, NOUN 

, SPACE 
conditions, NOUN 
cells, NOUN 
plated, VERB 
70%–100, NUM 
attached, VERB 
tothe, ADJ 
wells, NOUN 
difference, NOUN 
observed, VERB 
number, NOUN 
cellsattached, VERB 
coated, ADJ 
control, NOUN 
wells, NOUN 
shown, VERB 
Lami, PROPN 
nin-1, PROPN 
significantly, ADV 
stimulate, VERB 
bone, NOUN 
nodule, NOUN 
formation, NOUN 
inthese, ADJ 
experiments, NOUN 
Figure, NOUN 
4A, PROPN 
consistent, ADJ 
effect, NOUN 
OPdifferentiation, PROPN 
observed, VERB 
similar, ADJ 
assays, NOUN 
boneproteinextractfractionsorwiththeotherpurifiedmatrixproteinstested, VERB 
cell, NOUN 
attachment, NOUN 
assay, NOUN 
shown, VERB 

, SPACE 
Depletion, PROPN 
experiments, NOUN 
Cell, NOUN 
attachment, NOUN 
assays, NOUN 

, SPACE 
cells, NOUN 
attached, VERB 
10, NUM 
min, NOUN 
platingon, PROPN 
laminin-1, PROPN 
selection, NOUN 
replated, VERB 
additional, ADJ 
10min, NOUN 
second, ADJ 
set, NOUN 
laminin-1, PROPN 
coated, VERB 
wells, NOUN 
second, ADJ 
selection, NOUN 

, SPACE 
Figure, PROPN 
2, NUM 
Time, NOUN 
course, NOUN 
RC, PROPN 
cell, NOUN 
attachment, NOUN 
OP, NOUN 
recruitment, NOUN 

, SPACE 
purified, ADJ 
matrix, NOUN 
proteins, NOUN 
Cells, NOUN 
plated, VERB 
wells, PROPN 
coated, VERB 
closedsymbols, NOUN 
open, ADJ 
symbols, NOUN 
laminin-1, PROPN 
BSP, PROPN 
5, NUM 
10, NUM 
15,and, NUM 
20, NUM 
min, NOUN 
nonadherent, ADJ 
cells, NOUN 
removed, VERB 
attached, VERB 
cells, NOUN 
wereeither, ADV 
counted, VERB 
grown, VERB 
15, NUM 
days, NOUN 
assess, VERB 
bone, NOUN 
nodule, NOUN 
production, NOUN 
Open, ADJ 
closed, ADJ 
circles, NOUN 
cells, NOUN 
attached, VERB 
cm, PROPN 

, SPACE 
2, NUM 
open, ADJ 
closed, ADJ 
triangles, NOUN 
bone, NOUN 
nod-, ADJ 

, SPACE 
ules, NOUN 
grown/100, NOUN 
cells, NOUN 
attached, VERB 
Results, NOUN 
mean, ADJ 
6SD, NUM 
culture, NOUN 

, SPACE 
wells, NOUN 
p,0.05, PROPN 
p,0.01, X 
vs., ADP 
time, NOUN 
matched, VERB 
control, NOUN 
Mann, PROPN 
Whitney, PROPN 

, SPACE 
U, NOUN 
test, NOUN 
Materials, PROPN 
Methods, PROPN 
details, NOUN 

, SPACE 
Figure, PROPN 
3, NUM 
Dose, NOUN 
dependency, NOUN 
effect, NOUN 
laminin-1, PROPN 
RC, PROPN 
cell, NOUN 

, SPACE 
attachment, NOUN 
OP, NOUN 
recruitment, NOUN 
RC, PROPN 
cells, NOUN 
plated, VERB 
5, NUM 
10, NUM 
15, NUM 
20min, NOUN 
wells, PROPN 
coated, VERB 
filled, VERB 
bars, NOUN 
hatched, VERB 
bars, NOUN 
increasingamounts, NOUN 
laminin-1, PROPN 
Nonadherent, NOUN 
cells, NOUN 
removed, VERB 
cultureswere, NOUN 
stopped, VERB 
cell, NOUN 
counting, NOUN 
grown, VERB 
15, NUM 
days, NOUN 
forassessment, NOUN 
bone, NOUN 
nodule, NOUN 
production, NOUN 
B, NOUN 
nodules, NOUN 
formed, VERB 
squarecentimeter, NOUN 
culture, NOUN 
C, PROPN 
nodules, VERB 
formed/100, ADJ 
cells, NOUN 
attached, VERB 
5, NUM 

, SPACE 
percentofOP.Dataobtainedafter10minofplating, NOUN 
Resultsaremean, ADJ 
6, NUM 

, SPACE 
SD, NOUN 
culture, NOUN 
wells, NOUN 
Adsorbed, PROPN 
laminin-1, PROPN 
amounts, NOUN 
mean, ADJ 
6SD, PROPN 

, SPACE 
triplicate, ADJ 
measurements, NOUN 
p,0.05, PROPN 
p,0.01, X 
vs., X 
time, NOUN 
matched, VERB 

, SPACE 
control, NOUN 
way, NOUN 
ANOVA, PROPN 
Materials, PROPN 
Methods, PROPN 
details.332, PROPN 
P., PROPN 
Roche, PROPN 
et, PROPN 
al, NOUN 
Bone, PROPN 
Vol, PROPN 
24, NUM 
4, NUM 

, SPACE 
Osteoprogenitor, PROPN 
attachment, NOUN 
laminin, NOUN 
April, PROPN 
1999:329–336, NUM 

, SPACE 
cells, NOUN 
left, VERB 
unattached, ADJ 
second, ADJ 
step, NOUN 
replated, VERB 

, SPACE 
24, NUM 
h, NOUN 
culture, NOUN 
medium, NOUN 
containing, VERB 
serum, NOUN 
10, NUM 
final, ADJ 
concentra, ADJ 
tion, NOUN 
uncoated, ADJ 
unsaturated, ADJ 
wells, NOUN 
recovery, NOUN 
step, NOUN 
Figure4B).Whereaslaminin-1significantlyinhibitedcellattachmentinboth, PUNCT 
selection, NOUN 
steps, NOUN 
sum, NOUN 
number, NOUN 
cells, NOUN 
attached, VERB 
inthe, DET 
selection, NOUN 
wells, NOUN 
plus, CCONJ 
recovery, NOUN 
onlaminin-1, PROPN 
controls, NOUN 
showing, VERB 
coated, ADJ 
laminin-1, PROPN 
nolethal, ADJ 
effect, NOUN 
cells, NOUN 
Figure, NOUN 
4B, PROPN 
shown, VERB 
Figure, PROPN 
4C, PROPN 
theproportion, NOUN 
OP, NOUN 
strongly, ADV 
decreased, VERB 
laminin-1, PROPN 
thesecond, NOUN 
selection, NOUN 
step, NOUN 
compared, VERB 
itdid, AUX 
vary, VERB 
successive, ADJ 
steps, NOUN 
control, NOUN 
wells, NOUN 
wassignificantly, ADV 
reduced, VERB 
compared, VERB 
controls, NOUN 
recoverystep, NOUN 
selection, NOUN 
laminin-1, PROPN 
note, VERB 
global, ADJ 
ratio(nodules/100, NOUN 
cells, NOUN 
attached, VERB 
obtained, VERB 
summing, VERB 
nodulesformed, VERB 
successive, ADJ 
steps, NOUN 
experiment, NOUN 
dividing, VERB 
bythe, DET 
total, ADJ 
number, NOUN 
cells, NOUN 
attached, VERB 
differ, VERB 
lami, NOUN 
nin-1, NOUN 
controls, NOUN 
11.3, NUM 
61.2, NUM 
vs., ADP 
10, NUM 
62.5%,p50.59, NUM 
Figure, PROPN 

, SPACE 
4C, PROPN 

, SPACE 
Laminin-1, PROPN 
Preferentially, ADV 
Recruits, PROPN 
Osteoprogenitors, NOUN 

, SPACE 
Early, PROPN 
Populations, PROPN 

, SPACE 
WhensuccessiveRCcellpopulations(I, VERB 
V),obtainedbysequen-, NOUN 

, SPACE 
tial, ADJ 
collagenase, NOUN 
digestion, NOUN 
grown, VERB 
independently, ADV 
early, ADJ 
pop, NOUN 
ulations, NOUN 
II, PROPN 
produce, VERB 
bone, NOUN 
colonies, NOUN 
grownwithout, VERB 
Dex, PROPN 
Figure, PROPN 
5A, PROPN 
wells, NOUN 
grown, VERB 
10, NUM 

, SPACE 
28mol, NOUN 
L, PROPN 
Dex, PROPN 

, SPACE 
earliest, ADJ 
populations, NOUN 
formed, VERB 
nodules, NOUN 
albeit, SCONJ 
flecting, VERB 
scarcity, NOUN 
OP, NOUN 
Later, ADV 
populations, NOUN 
III, PROPN 
V, NOUN 
formednumerous, ADJ 
bone, NOUN 
nodules, NOUN 
absence, NOUN 
Dex, PROPN 
werefewer, NOUN 
Dex, PROPN 
Figure, PROPN 
5A, PROPN 
populations, NOUN 
V, NOUN 
weresubmitted, VERB 
independently, ADV 
time, NOUN 
limited, VERB 
cell, NOUN 
attachment, NOUN 
assaywith, PROPN 
laminin-1, PROPN 
attachment, NOUN 
cells, NOUN 
populations, NOUN 
wasinhibited, VERB 
extent, NOUN 
data, NOUN 
shown, VERB 
Cells, NOUN 
allpopulationsthatattachedtolaminin-1wereenrichedinOPwhengrown, PROPN 
10, NUM 

, SPACE 
28mol, NOUN 
L, PROPN 
Dex, PROPN 
Figure, PROPN 
5B, PROPN 
effi-, NUM 

, SPACE 
ciency, NOUN 
OP, NOUN 
selection, NOUN 
proportionately, ADV 
higher, ADJ 
earlier, ADJ 
vs.later, NOUN 
populations, NOUN 
i.e., X 
1700, NUM 
61500, NUM 
controls, NOUN 
population, NOUN 

, SPACE 
p,0.05, NOUN 
vs., X 
populations, NOUN 
II, PROPN 
IV, PROPN 
V, PROPN 
470, NUM 
6130, NUM 

, SPACE 
population, PROPN 
II, PROPN 
p,0.05, NOUN 
vs., ADP 
250, NUM 
650, NUM 
200, NUM 
620, NUM 

, SPACE 
respectively, ADV 
populations, NOUN 
IV, PROPN 
V, PROPN 

, SPACE 
Discussion, PROPN 

, SPACE 
present, ADJ 
study, NOUN 
investigated, VERB 
time, NOUN 
limited, VERB 
cell, NOUN 
attach-, NOUN 

, SPACE 
ment, ADJ 
assay, NOUN 
developed, VERB 
test, VERB 
ability, NOUN 
proteinsubstrates, NOUN 
recruit, VERB 
OP, NOUN 
selective, ADJ 
high, ADJ 
affinity, NOUN 
cellbinding, NOUN 
assay, NOUN 
laminin-1, PROPN 
inhibited, VERB 
RC, PROPN 
cell, NOUN 
attachmentand, NOUN 
strongly, ADV 
increased, VERB 
OP, NOUN 
recruitment, NOUN 
matrix, NOUN 
proteinstestedhadnoorlittlesignificanteffectonbonenoduleformation, NOUN 
tenascin, PROPN 
showed, VERB 
properties, NOUN 
similar, ADJ 
lami, PROPN 
nin-1, NUM 
note, VERB 
action, NOUN 
laminin-1, PROPN 
reported, VERB 
beascribed, VERB 
possible, ADJ 
contamination, NOUN 
entactin, NOUN 
entactin, NOUN 
freelaminin-1hadthesameeffectonRCcellattachmentandOPselection, NUM 
studies, NOUN 
reported, VERB 
enhanced, ADJ 
attachment, NOUN 
im, PROPN 
mortalizedosteoblasticcelllinesorprimaryosteoblastsplatedonlaminin-1, PROPN 
45, NUM 
min, NOUN 
2, NUM 
h., NOUN 

, SPACE 
1,18,24,33,36In, PROPN 
present, ADJ 
work, NOUN 
RC, PROPN 

, SPACE 
cells, NOUN 
plated, VERB 
short, ADJ 
time, NOUN 
5–20, PROPN 
min, PROPN 
order, NOUN 
todetect, NOUN 
small, ADJ 
differences, NOUN 
affinity, NOUN 
OP, NOUN 
celltypes, NOUN 
assessed, VERB 
early, ADJ 
rapid, ADJ 
cell, NOUN 
attach, NOUN 
ment, ADJ 
events, NOUN 
occur, VERB 
cellular, ADJ 
responses, NOUN 
e.g., ADV 
receptorrecruitment, NOUN 
protein, NOUN 
synthesis, NOUN 
modify, VERB 
cell, NOUN 
substrate, NOUN 
inter, NOUN 
actions, NOUN 
instance, NOUN 
mixed, ADJ 
RC, PROPN 
cell, NOUN 
population, NOUN 
displayed, VERB 
ahigher, ADJ 
affinity, NOUN 
BSP, PROPN 
osteopontin, NOUN 
experiments, NOUN 
apparent, ADJ 
studies, NOUN 
platingtimes, NOUN 
$, SYM 
1, NUM 
h, NOUN 
shows, VERB 
sensitivity, NOUN 
time, NOUN 
limited, VERB 
assays, NOUN 

, SPACE 

, SPACE 
Figure, NOUN 
4, NUM 
OP, NOUN 
recruitment, NOUN 
laminin-1, PROPN 
cell, NOUN 
attachment, NOUN 
effect, NOUN 

, SPACE 
Laminin-1, PROPN 
effect, NOUN 
OP, NOUN 
differentiation, NOUN 
RC, PROPN 
cells, NOUN 
plated, VERB 
100cells, PROPN 
cm, PROPN 

, SPACE 
2, NUM 
10, NUM 
serum, NOUN 
wells, PROPN 
coated, VERB 
filled, VERB 
bars, NOUN 
LN, PROPN 
hatched, VERB 

, SPACE 
bars, NOUN 
CT)withlaminin-1,butnotsaturatedwithBSA.After24h, PROPN 
unattachedcells, NOUN 
removed, VERB 
culture, NOUN 
plates, NOUN 
processed, VERB 
cell, NOUN 
counting, VERB 
andnodule, NOUN 
development, NOUN 
quantitation, NOUN 
Results, NOUN 
nodules, NOUN 
formed/100, PROPN 
cellsattached, VERB 
Values, NOUN 
means, VERB 
6SD, PROPN 
independent, ADJ 
experiments, NOUN 
B, NOUN 

, SPACE 
Time, PROPN 
limitedplatingonlaminin-1depletesOPfromRCcells, NOUN 
RCcellsweresubjected, VERB 
successive, ADJ 
10, NUM 
min, NOUN 
plating, NOUN 
second, ADJ 
selection, NOUN 
stepson, PROPN 
wells, PROPN 
coated, VERB 
filled, VERB 
bars, NOUN 
LN, PROPN 
hatched, VERB 
bars, NOUN 
CT, PROPN 
laminin-1;cells, NOUN 
unattached, ADJ 
second, ADJ 
selection, NOUN 
step, NOUN 
plated, VERB 
24, NUM 
h, NOUN 
withculture, NOUN 
medium, NOUN 
containing, VERB 
excess, ADJ 
FCS, PROPN 
10, NUM 
final, ADJ 
concentration, NOUN 
un, ADJ 
coated, ADJ 
unsaturated, ADJ 
wells, NOUN 
recovery, NOUN 
step, NOUN 
Plates, NOUN 
processed, VERB 
cellcounting(B)andnoduledevelopmentandquantitation[(C)nodulesformed/100, PROPN 
cells, NOUN 
attached, VERB 
5percent, NUM 
OP, NOUN 
Total, ADJ 
5sum, NUM 
cells, NOUN 
attached, VERB 

, SPACE 
B, PROPN 
ratio, NOUN 
nodules, NOUN 
formed, VERB 
cells, NOUN 
attached, VERB 
3100, NUM 
C, PROPN 

, SPACE 
thethreesuccessivesstepsonlaminin-1orcontrols, NOUN 
Dataaremean, ADJ 
6SDof, NOUN 

, SPACE 
sixculturewells, NOUN 
p,0.05,**p,0.01,***p,0.001vs.matchedcontrol, NOUN 

, SPACE 
p,0.01, X 
vs., ADP 
selection, NOUN 
step, NOUN 
Mann, PROPN 
Whitney, PROPN 
U, NOUN 
test, NOUN 
Material, PROPN 

, SPACE 
Methodsfor, PROPN 
details.333, NOUN 
Bone, PROPN 
Vol, PROPN 
24, NUM 
4, NUM 
P., PROPN 
Roche, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
April, PROPN 
1999:329–336, PROPN 
Osteoprogenitor, PROPN 
attachment, NOUN 
laminin, PROPN 

, SPACE 
Matrix, PROPN 
proteins, NOUN 
affect, VERB 
proliferation, NOUN 
differentia-, SYM 

, SPACE 
tion, NOUN 
adherent, NOUN 
cells, NOUN 
instance, NOUN 
Moursi, PROPN 
et, NOUN 
al.28recently, ADV 

, SPACE 
analyzed, VERB 
effect, NOUN 
fibronectin, NOUN 
osteogenesis, NOUN 
RC, PROPN 
cellcultures, NOUN 
showed, VERB 
initiation, NOUN 
and/or, CCONJ 
maturation, NOUN 
bonenodules, NOUN 
blocked, VERB 
fibronectin, NOUN 
fragments, NOUN 
exper, NOUN 
iments, NOUN 
conceivable, ADJ 
laminin-1, PROPN 
induced, VERB 
thecommitment, VERB 
osteoblast, ADJ 
lineage, NOUN 
progenitors, NOUN 
thatmay, AUX 
present, ADJ 
RC, PROPN 
cell, NOUN 
population, NOUN 
differ, VERB 
entiate, ADJ 
osteoblasts, NOUN 
normal, ADJ 
conditions, NOUN 
clarify, VERB 
point, NOUN 
experimentsweredesignedinwhichanyeffectofcoatedproteinsoncellattachmentwasbypassed, VERB 
inordertotestspecificallytheiraction, NOUN 
OP, NOUN 
differentiation, NOUN 
tests, NOUN 
bone, NOUN 
nodule, NOUN 
forma, NOUN 
tion, NOUN 
cells, NOUN 
plated, VERB 
laminin-1, PROPN 
significantly, ADV 
differentfrom, ADJ 
controls, NOUN 
depletion, NOUN 
experiments, NOUN 
showed, VERB 
short, ADJ 
duration, NOUN 
plating, NOUN 
laminin-1, PROPN 
enriched, VERB 
cell, NOUN 
population, NOUN 
tached, VERB 
OP, NOUN 
depleted, VERB 
recovered, VERB 
population, NOUN 

, SPACE 
wouldbeexpectedfromacell, NOUN 
attachmentprocess, NOUN 
theoverall, NOUN 
nodule, ADJ 
cell, NOUN 
ratio, NOUN 
cells, NOUN 
attached, VERB 
selection, NOUN 
1, NUM 

, SPACE 
recovery, NOUN 
steps, NOUN 
higher, ADJ 
laminin-1, PROPN 
selected, VERB 
cells, NOUN 
thanfor, VERB 
controls, NOUN 
indicating, VERB 
new, ADJ 
progenitor, NOUN 
differenti, NOUN 
ated, VERB 
population, NOUN 
plated, VERB 
laminin-1, PROPN 
thedistribution, NOUN 
OP, NOUN 
successive, ADJ 
attachment, NOUN 
steps, NOUN 
hadchanged, VERB 
Vukicevik, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
36reported, VERB 
stimulation, NOUN 
expres-, NOUN 

, SPACE 
sion, NOUN 
osteoblast, ADJ 
phenotype, NOUN 
MC3T3, PROPN 
E1, PROPN 
RC, PROPN 
cellsplated, VERB 
laminin-1, PROPN 
assessed, VERB 
alkaline, NOUN 
phosphatase, NOUN 
stain, NOUN 
ing, PROPN 
attempt, NOUN 
work, NOUN 
address, VERB 
theheterogeneity, NOUN 
RC, PROPN 
cell, NOUN 
populations, NOUN 
clear, ADJ 
whethertheirobservationsreflectthedifferentiationofuncommitedcells, NOUN 
phenotypic, ADJ 
modulation, NOUN 
cells, NOUN 
commited, VERB 
theosteoblast, NOUN 
lineage, NOUN 
bone, NOUN 
nodule, NOUN 
formation, NOUN 
wasobserved, VERB 
cultures, NOUN 
quantitation, NOUN 
reported, VERB 
Al, PROPN 
thoughfewercellsattachedtolaminin-1inourexperiments, NOUN 
theyformed, PROPN 
greater, ADJ 
absolute, ADJ 
number, NOUN 
nodules, NOUN 
controlwells, NOUN 
Figure, PROPN 
3, NUM 
suggesting, VERB 
laminin-1, PROPN 
actively, ADV 
promotesthe, VERB 
attachment, NOUN 
OP, NOUN 
substrate, NOUN 
exerting, VERB 
positiveselection, NOUN 
alternate, ADJ 
hypothesis, NOUN 
laminin-1, PROPN 
inhibits, VERB 
theattachment, NOUN 
cell, NOUN 
type, NOUN 
presence, NOUN 
wouldinhibit, VERB 
OP, NOUN 
differentiation, NOUN 
culture, NOUN 
best, ADJ 
ourknowledge, NOUN 
evidence, NOUN 
effect, NOUN 
reported, VERB 
inthe, DET 
RC, PROPN 
cell, NOUN 
culture, NOUN 
system, NOUN 
contrast, NOUN 
rat, VERB 
bone, NOUN 
marrowstromalcellcultures, NOUN 
inwhichinhibitionofOPdifferentiationbyaddedfibroblasticcellshasbeendocumented, PROPN 

, SPACE 
30Thelattermodel, NOUN 

, SPACE 
linear, ADJ 
relationship, NOUN 
bone, NOUN 
nodule, NOUN 
forma, NOUN 
tion, NOUN 
cell, NOUN 
numbers, NOUN 
limiting, VERB 
dilution, NOUN 
analysis, NOUN 
sug, NOUN 
geststheinterferenceofatleastoneothercelltypeintheprocessof, ADJ 
OP, NOUN 
differentiation, NOUN 

, SPACE 
2Although, ADV 
linear, PROPN 
relationship, NOUN 
men-, X 

, SPACE 
tioned, VERB 
earlier, ADV 
RC, PROPN 
cells, NOUN 
plated, VERB 
nodules, NOUN 
formed4(see, PUNCT 

, SPACE 
Figure, PROPN 
1, NUM 
provide, VERB 
evidence, NOUN 
existence, NOUN 
thismodel, NOUN 
limiting, VERB 
cell, NOUN 
type, NOUN 
OP, NOUN 
resultsdo, NOUN 
rule, VERB 
possibility, NOUN 
negative, ADJ 
selection, NOUN 
orseveral, ADJ 
hitherto, PROPN 
undiscovered, ADJ 
inhibitory, ADJ 
cell, NOUN 
types, NOUN 

, SPACE 
Laminins, NOUN 
family, NOUN 
heterotrimeric, ADJ 
proteins, NOUN 
11, NUM 

, SPACE 
different, ADJ 
variants, NOUN 
