Selective, ADJ 
isopropanol, NOUN 
70, NUM 
ETOH, PROPN 
air, NOUN 

, SPACE 
drying, NOUN 
resuspension, NOUN 
DEPC, PROPN 
water, NOUN 
cDNA, NOUN 
constructed, VERB 

, SPACE 
revertAid, PROPN 
H, PROPN 
minus, CCONJ 
ﬁrst, PROPN 
strand, PROPN 
cDNA, PROPN 
synthesis, NOUN 
kit, NOUN 
Fermentas, PROPN 
St, PROPN 

, SPACE 
Leon, PROPN 
Rot, PROPN 
Germany, PROPN 
according, VERB 
manufacturer, NOUN 
instructions, NOUN 

, SPACE 
qRT, PROPN 
PCR, PROPN 
accomplished, VERB 
MyIQ, PROPN 
detection, NOUN 
system, NOUN 
Bio, PROPN 
Rad, PROPN 

, SPACE 
Copenhagen, PROPN 
Denmark, PROPN 
20, NUM 
μl, ADJ 
volume, NOUN 
20, NUM 
pmol, NOUN 

, SPACE 
primer, NOUN 
2×, PROPN 
SYBERgreen, PROPN 
Bio, PROPN 
Rad, PROPN 
Copenhagen, PROPN 
Denmark, PROPN 
15, NUM 
μg, NOUN 

, SPACE 
cDNA, PROPN 
ICycler, PROPN 
optical, ADJ 
system, NOUN 
software, NOUN 
Bio, PROPN 
Rad, PROPN 
v3.1, PROPN 

, SPACE 
Microsoft, PROPN 
Excel, PROPN 
relative, ADJ 
gene, NOUN 
e, PROPN 
xpression, PROPN 
data, PROPN 
calculated, VERB 

, SPACE 
Following, VERB 
normalisation, NOUN 
reference, NOUN 
gene, NOUN 
β, AUX 
actin, NOUN 
quanti, PROPN 
ﬁcation, PROPN 

, SPACE 
gene, NOUN 
expression, NOUN 
carried, VERB 
comparative, ADJ 
Ct, PROPN 
method232, PROPN 
L., PROPN 
Harkness, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
48, NUM 
2011, NUM 
231, NUM 
241, NUM 

, SPACE 
ΔCT, PROPN 
difference, NOUN 
CT, PROPN 
values, NOUN 
target, NOUN 

, SPACE 
reference, NOUN 
gene, NOUN 

, SPACE 
days, NOUN 
0, NUM 
5, NUM 
10, NUM 
15, NUM 
osteoblast, ADJ 
OB, PROPN 
adipocyte, NOUN 
AD, NOUN 

, SPACE 
induction, NOUN 
cells, NOUN 
taken, VERB 
qRT, ADJ 
PCR, PROPN 
OB, PROPN 
alkaline, NOUN 
phosphatase, NOUN 

, SPACE 
ALP),D, PROPN 
L, PROPN 
X, PROPN 
5, NUM 
R, NOUN 
U, PROPN 
N, PROPN 
X, PROPN 
2, NUM 
M, PROPN 
S, PROPN 
X, PROPN 
2, NUM 
c, PROPN 
o, PROPN 
l, X 
l, X 
g, NOUN 
e, NOUN 
n1, ADJ 
α1(COL1a1, NOUN 
osteocalcin, PROPN 

, SPACE 
BGLAP, PROPN 
osteonectin, NOUN 
SPARC, PROPN 
decorin, PROPN 
DCN, PROPN 
lysyl, NOUN 
oxidase, NOUN 
4, NUM 
LOX-, NUM 

, SPACE 
L4, PROPN 
bone, NOUN 
sialoprotein, PROPN 
IBSP, PROPN 
AD, NOUN 
adipocyte, NOUN 
speci, NOUN 
ﬁc, INTJ 
lipid, ADJ 
binding, VERB 

, SPACE 
protein, NOUN 
2, NUM 
aP2),PPARγ2and, NOUN 
C, PROPN 
CEBP, PROPN 
α, NUM 
days, NOUN 
0, NUM 
7, NUM 
14, NUM 
21, NUM 

, SPACE 
chondrocytic, ADJ 
differentiation, NOUN 
cell, NOUN 
pellets, NOUN 
taken, VERB 
qRT, PROPN 
PCR, PROPN 

, SPACE 
SOX9, PROPN 
collagen, NOUN 
2, NUM 
α1(COL2a1, NOUN 
aggrecan, PROPN 
ACAN, PROPN 
ALP, PROPN 
RUNX2, PROPN 

, SPACE 
COL1a1, PUNCT 
primers, NOUN 
obtained, VERB 
DNA, PROPN 
Technology, PROPN 
S, PROPN 

, SPACE 
Risskov, PROPN 
Denmark, PROPN 

, SPACE 
Cytochemical, ADJ 
immunohistochemical, ADJ 
stainingCytochemical, ADJ 

, SPACE 
Alizarin, PROPN 
red, NOUN 
AZR, PROPN 
Sigma, PROPN 
Aldrich, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
alkaline, NOUN 

, SPACE 
phosphatase, NOUN 
ALP, PROPN 
staining, VERB 
OB, PROPN 
differentiation, NOUN 
carried, VERB 

, SPACE 
following, VERB 
ﬁxation, NOUN 
ice, NOUN 
cold, ADJ 
70, NUM 
ETOH, PROPN 
1, NUM 
h, NOUN 
AZR, PROPN 

, SPACE 
0.10, NUM 
mM, NUM 
citrate, NOUN 
buffer, NOUN 
pH, NUM 
4.2, NUM 
acetone, NOUN 
ﬁx, PROPN 
ratio, NOUN 
3:2, NUM 
5, NUM 
min, NOUN 
RT, PROPN 

, SPACE 
ALP, PROPN 
Cells, NOUN 
incubated, VERB 
40, NUM 
mM, NUM 
AZR, PROPN 
pH, NUM 
4.2, NUM 
10, NUM 
min, NOUN 
RT, PROPN 

, SPACE 
examination, NOUN 
presence, NOUN 
mineralised, VERB 
matrix, NOUN 
ALP, PROPN 

, SPACE 
staining, NOUN 
carried, VERB 
solution, NOUN 
0.2, NUM 
mg, NOUN 
ml, PROPN 
Napthol, PROPN 
TR, ADJ 

, SPACE 
phosphate, ADJ 
substrate, NOUN 
Sigma, PROPN 
Aldrich, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
water, NOUN 

, SPACE 
combined, VERB 
0.417, NUM 
mg, NOUN 
ml, PROPN 
Fast, ADJ 
red, ADJ 
Sigma, PROPN 
Aldrich, PROPN 
Brøndby, PROPN 

, SPACE 
Denmark, PROPN 
0.1, NUM 
M, PROPN 
Tris, PROPN 
pH, NUM 
9.5, NUM 
1, NUM 
h, NOUN 
RT, PROPN 
Following, VERB 
ﬁxation, NOUN 
4, NUM 

, SPACE 
PFA, PROPN 
10, NUM 
min, NOUN 
Oil, NOUN 
red, NOUN 
Sigma, PROPN 
Aldrich, PROPN 
Brøndby, PROPN 
Denmark, PROPN 
0.5, NUM 
g, NOUN 

, SPACE 
60, NUM 
isopropanol, NOUN 
staining, VERB 
lipid, ADJ 
deposition, NOUN 
carried, VERB 
RTfor, PROPN 
1, NUM 
h, NOUN 
counterstaining, VERB 
haematoxylin, NOUN 
Pellets, NOUN 
cells, NOUN 

, SPACE 
undergoing, VERB 
chondrocytic, ADJ 
differentiation, NOUN 
ﬁxed, VERB 
10, NUM 
min, NOUN 
4, NUM 

, SPACE 
PFA, PROPN 
washed, VERB 
PBS, PROPN 
processed, VERB 
embedded, VERB 
paraf, NOUN 
ﬁn, NOUN 

, SPACE 
sectioning, VERB 
staining, VERB 

, SPACE 
Immunohistochemical, ADJ 

, SPACE 
Routine, PROPN 
protocols, NOUN 
31, NUM 
stain, VERB 
SOX9, PROPN 
1:200, NUM 
R&D, PROPN 

, SPACE 
Systems, PROPN 
Abingdon, PROPN 
UK, PROPN 
collagen, NOUN 
type, NOUN 
1, NUM 
1:200, NUM 
AbCam, PROPN 
Cambridge, PROPN 

, SPACE 
UK, PROPN 
human, NOUN 
Vimentin, PROPN 
1:400, PROPN 
Dako, PROPN 
Glostrup, PROPN 
Denmark, PROPN 
Tra1, NUM 
85, NUM 

, SPACE 
1:100, PROPN 
Chemicon, PROPN 
Millipore, PROPN 
Copenhagen, PROPN 
Denmark, PROPN 
Brie, PROPN 
ﬂy, PROPN 
immu-, X 

, SPACE 
nocyto-, PROPN 
histo, ADJ 
chemical, NOUN 
staining, NOUN 
performed, VERB 
DAKO, PROPN 
En, PROPN 

, SPACE 
Vision+, PROPN 
PowerVision, PROPN 
according, VERB 
manufacturer, NOUN 
instructions, NOUN 

, SPACE 
Primary, PROPN 
antibodies, NOUN 
diluted, VERB 
ChemMate, PROPN 
Antibody, PROPN 
diluent, NOUN 

, SPACE 
S2022, PROPN 
Dako, PROPN 
Glostrup, PROPN 
Denmark, PROPN 
processed, VERB 
automatic, ADJ 

, SPACE 
slide, NOUN 
processor, NOUN 
Techmate500, PROPN 
Dako, PROPN 
Glostrup, PROPN 
Denmark, PROPN 

, SPACE 
dilutions, NOUN 
stated, VERB 

, SPACE 
Analysis, PROPN 
carried, VERB 
IX50, PROPN 
Olympus, PROPN 
microscope, NOUN 

, SPACE 
OlympusDP, PROPN 
Software, PROPN 
v3.1, ADP 
Olympus, PROPN 
Essex, PROPN 
UK, PROPN 
Leica, PROPN 
DM4500, PROPN 

, SPACE 
Leica, PROPN 
Wetzlar, PROPN 
Germany, PROPN 
Surveyor, PROPN 
Turboscan, PROPN 
Mosaic, PROPN 

, SPACE 
acquisition, NOUN 
imaging, NOUN 
analysis, NOUN 
system, NOUN 
v5.04.01, NOUN 
Objective, PROPN 
Imaging, PROPN 
Ltd, PROPN 

, SPACE 
Cambridge, PROPN 
UK, PROPN 

, SPACE 
vivo, ADJ 
implantation, NOUN 
studiesTeratoma, X 
formation, NOUN 

, SPACE 
Undifferentiated, PROPN 
OD3, PROPN 
stromal, ADJ 
cells, NOUN 
implanted, VERB 
1:2, NUM 

, SPACE 
dilution, NOUN 
Matrigel, PROPN 
®, NOUN 
basement, NOUN 
membrane, NOUN 
matrix, NOUN 
BD, PROPN 
Biosciences, PROPN 

, SPACE 
Brøndby, PROPN 
Denmark, PROPN 
Knockout, PROPN 
DMEM, PROPN 
subcutaneously, ADV 

, SPACE 
dorsal, NOUN 
surface, NOUN 
4, NUM 
NOD, PROPN 
MrkBomTac, PROPN 
PrkdcSCIDmice, PROPN 
period, NOUN 

, SPACE 
8, NUM 
10, NUM 
weeks, NOUN 
33, NUM 
mouse, NOUN 
n=4, PROPN 
received, VERB 
2×106cells, NUM 

, SPACE 
2, NUM 
implantation, NOUN 
sites, NOUN 
teratoma, NOUN 
formed, VERB 
implantation, NOUN 

, SPACE 
OD3, PROPN 
stromal, ADJ 
cells, NOUN 
identi, VERB 
ﬁcation, NOUN 
injection, NOUN 
sites, NOUN 
cells, NOUN 

, SPACE 
placed, VERB 
dif, PROPN 
ﬁcult, PROPN 
87, NUM 
7/8, NUM 
implantation, NOUN 
sites, NOUN 

, SPACE 
identi, NOUN 
ﬁed, PROPN 
residual, ADJ 
Matrigel, PROPN 
®, NOUN 
plug, NOUN 
small, ADJ 

, SPACE 
tissue, NOUN 
recovered, VERB 
Implantation, NOUN 
sites, NOUN 
ﬁxed, VERB 
4, NUM 
PFA, NOUN 
embedded, VERB 

, SPACE 
sectioned, VERB 
stained, VERB 
H&E, PROPN 
Tra1, NOUN 
85, NUM 
1:100, NUM 
Chemicon/, PROPN 

, SPACE 
Millipore, PROPN 
S, PROPN 
Copenhagen, PROPN 
Denmark, PROPN 
establish, VERB 
human, ADJ 
cell, NOUN 

, SPACE 
identi, NOUN 
ﬁcation, NOUN 
Additionally, ADV 
3, NUM 
4×106hESC, NUM 
KMEB3, PROPN 
cells, NOUN 
wereimplanted, VERB 
4, NUM 
injection, NOUN 
sites, NOUN 
dorsal, ADJ 
surface, NOUN 
1, NUM 
NOD-, NUM 

, SPACE 
SCID, PROPN 
mouse, NOUN 
1:2, NUM 
dilution, NOUN 
Matrigel, PROPN 
®, NOUN 
establish, VERB 
teratoma, NOUN 

, SPACE 
formation, NOUN 
Teratomas, PROPN 
removed, VERB 
4, NUM 
5, NUM 
weeks, NOUN 
vacuolation, NOUN 

, SPACE 
hESC, PROPN 
induced, VERB 
teratoma, NOUN 
tissue, NOUN 
hESC, PROPN 
KMEB3, PROPN 
formed, VERB 
teratoma, NOUN 

, SPACE 
containing, VERB 
tissues, NOUN 
derived, VERB 
germ, NOUN 
layers, NOUN 
previously, ADV 

, SPACE 
reported, VERB 
31, NUM 

, SPACE 
vivo, ADJ 
bone, NOUN 
formation, NOUN 
assay, VERB 

, SPACE 
million, NUM 
OD3, PROPN 
hESC, PROPN 
stromal, ADJ 
cells, NOUN 
undergoing, VERB 
osteoblast, ADJ 
differ-, ADJ 

, SPACE 
entiation, NOUN 
5, NUM 
days, NOUN 
non, ADJ 
induced, VERB 
cells, NOUN 
implanted, VERB 
NOD/, PROPN 

, SPACE 
MrkBomTac, PROPN 
PrkdcSCIDmice, PROPN 
combination, NOUN 
40, NUM 
mg, ADP 
hydroxyap-, X 

, SPACE 
atite, ADJ 
tricalcium, NOUN 
phosphate, NOUN 
HA, PROPN 
TCP, PROPN 
Triosite, PROPN 
0.5, NUM 
1, NUM 
mm, NOUN 
granules, NOUN 

, SPACE 
Biomatlante, PROPN 
Zimmer, PROPN 
Vigneux, PROPN 
de, X 
Bretagne, PROPN 
France, PROPN 
weeks, NOUN 

, SPACE 
implantation, NOUN 
scaffold, NOUN 
removed, VERB 
ﬁxed, VERB 
4, NUM 
PFA, NOUN 

, SPACE 
embedding, VERB 
paraf, NOUN 
ﬁn, NOUN 
Sections, NOUN 
stained, VERB 
haematoxylin, NOUN 

, SPACE 
eosin, NOUN 
H&E, PROPN 
collagen, NOUN 
type, NOUN 
1, NUM 
1:200, NUM 
AbCam, PROPN 
Cambridge, PROPN 
UK, PROPN 
Tra1, NOUN 
85, NUM 

, SPACE 
1:100, PROPN 
Chemicon, PROPN 
Millipore, PROPN 
Copenhagen, PROPN 
Denmark, PROPN 
human, PROPN 
Vimen-, PROPN 

, SPACE 
tin, NOUN 
1:400, PROPN 
Dako, PROPN 
Glostrup, PROPN 
Denmark, PROPN 
Sirius, PROPN 
red, PROPN 
KMEB3, PROPN 
hESC, VERB 

, SPACE 
cells, NOUN 
3, NUM 
4×106, NUM 
addition, NOUN 
seeded, VERB 
HA, PROPN 
TCP, PROPN 
implanted, VERB 

, SPACE 
NOD, PROPN 
SCID, PROPN 
mice, NOUN 
establish, VERB 
cells, NOUN 
adherent, NOUN 
scaffold, NOUN 

, SPACE 
formed, VERB 
teratomas, NOUN 
presence, NOUN 
scaffold, NOUN 
impeded, VERB 
teratoma, NOUN 

, SPACE 
formation, NOUN 
Scaffolds, NOUN 
removed, VERB 
8, NUM 
weeks, NOUN 
processed, VERB 
asabove, NOUN 

, SPACE 
Critical, ADJ 
sized, ADJ 
calvarial, ADJ 
defect, NOUN 

, SPACE 
critical, ADJ 
size, NOUN 
calvarial, ADJ 
defect, NOUN 
model, NOUN 
established, VERB 
described, VERB 

, SPACE 
Gupta, PROPN 
et, PROPN 
al, PROPN 
34, NUM 
brief, NOUN 
3, NUM 
mm, NOUN 
circular, ADJ 
calvarial, ADJ 
defects, NOUN 

, SPACE 
created, VERB 
right, NOUN 
left, VERB 
parietal, ADJ 
bones, NOUN 
month, NOUN 
old, ADJ 

, SPACE 
NOD, PROPN 
MrkBomTac, PROPN 
Prkdc, PROPN 

, SPACE 
SCIDmice, PROPN 
biopsy, NOUN 
punch, NOUN 
Kai, PROPN 
Medical, PROPN 

, SPACE 
Solingen, PROPN 
Germany, PROPN 
dura, ADJ 
mater, NOUN 
carefully, ADV 
removed, VERB 

, SPACE 
prevent, VERB 
regeneration, NOUN 
bone, NOUN 
source, NOUN 
order, NOUN 
allow, VERB 

, SPACE 
visualization, NOUN 
bone, NOUN 
healing, NOUN 
μCT, NOUN 
scanning, NOUN 
cells, NOUN 

, SPACE 
concentration, NOUN 
10, NUM 
15,000, NUM 
cm2, NOUN 
seeded, VERB 
PCL, PROPN 
ﬁlm, NOUN 

, SPACE 
Healos, PROPN 
®, NOUN 
Bone, PROPN 
Graft, PROPN 
Replacement, PROPN 
gifted, VERB 
Protesekompagniet, PROPN 

, SPACE 
Albertslund, PROPN 
Denmark, PROPN 
currently, ADV 
Clinic, PROPN 

, SPACE 
treating, VERB 
bone, NOUN 
defects, NOUN 
http://www.depuyacromed.com/products/, PROPN 

, SPACE 
biologicssolutions, NOUN 
healos.asp, X 
Cells, NOUN 
seeded, VERB 
scaffolds, NOUN 

, SPACE 
incubated, VERB 
2, NUM 
h, NOUN 
allow, VERB 
cells, NOUN 
adhere, VERB 
scaffold, NOUN 
prior, ADV 

, SPACE 
additional, ADJ 
media, NOUN 
added, VERB 
PCL, PROPN 
ﬁlm, NOUN 
fabricated, VERB 
Solvay, PROPN 

, SPACE 
polycaprolactone, NOUN 
grade, NOUN 
6405, NUM 
ﬁlm, NOUN 
dissolving, VERB 
HPC, PROPN 
grade, NOUN 
1,4-, NUM 

, SPACE 
dioxane, NOUN 
dissolved, VERB 
ﬁlm, NOUN 
distributed, VERB 
glass, NOUN 
surface, NOUN 

, SPACE 
dioxane, NOUN 
evaporated, VERB 
fume, NOUN 
hood, NOUN 
Finally, ADV 
ﬁlm, NOUN 
placed, VERB 

, SPACE 
vacuum, NOUN 
oven, VERB 
eliminate, VERB 
rest, NOUN 
dioxane, NOUN 
3, NUM 
mm, NOUN 
implant, NOUN 

, SPACE 
resultant, ADJ 
PCL, PROPN 
ﬁlm, NOUN 
Healos, PROPN 
®, NOUN 
inserted, VERB 
defect, NOUN 

, SPACE 
animal, NOUN 
defect, NOUN 
assigned, VERB 
PCL, PROPN 
ﬁlm, NOUN 
Healos, PROPN 
®, NOUN 
scaffold, NOUN 

, SPACE 
cells, NOUN 
defect, NOUN 
OD3, PROPN 
stromal, ADJ 
cells, NOUN 
seeded, VERB 

, SPACE 
PCL, PROPN 
ﬁlm, NOUN 
cells, NOUN 
seeded, VERB 
underside, NOUN 
scaffold, NOUN 

, SPACE 
Healos, PROPN 
®, NOUN 
scaffold, NOUN 
permeable, ADJ 
cells, NOUN 
seeded, VERB 

, SPACE 
scaffold, NOUN 
mice, NOUN 
PCL, PROPN 
ﬁlm, NOUN 
mice, NOUN 
Healos, PROPN 
®, NOUN 
received, VERB 

, SPACE 
cells, NOUN 
undergone, VERB 
5, NUM 
days, NOUN 
vitro, X 
osteogenic, ADJ 
induction, NOUN 

, SPACE 
seeding, NOUN 
scaffold, NOUN 
mice, NOUN 
PCL, PROPN 
ﬁlm, NOUN 
mice, NOUN 
Healos, ADJ 
®, NOUN 

, SPACE 
received, VERB 
cells, NOUN 
grown, VERB 
5, NUM 
days, NOUN 
received, VERB 

, SPACE 
osteogenic, ADJ 
induction, NOUN 
HA, PROPN 
TCP, PROPN 
employed, VERB 
calvarial, ADJ 

, SPACE 
defect, ADJ 
model, NOUN 
μCT, NOUN 
scanning, VERB 
studies, NOUN 
carried, VERB 

, SPACE 
radiodensity, NOUN 
HA, PROPN 
TCP, PROPN 
equivalent, ADJ 
bone, NOUN 

, SPACE 
Samples, NOUN 
harvested, VERB 
14, NUM 
weeks, NOUN 
implantation, NOUN 
calvaria, NOUN 

, SPACE 
ﬁxed, VERB 
4, NUM 
formalin, NOUN 
3, NUM 
days, NOUN 
decalci, NOUN 
ﬁcation, NOUN 
0.38, NUM 
M, PROPN 

, SPACE 
EDTA, PROPN 
di, PROPN 
sodium, NOUN 
salt, NOUN 
pH, NUM 
7.2, NUM 
5, NUM 
days, NOUN 
defects, NOUN 
embedded, VERB 

, SPACE 
sectioned, ADJ 
5, NUM 
μm, NOUN 
stained, VERB 
human, ADJ 
Vimentin, PROPN 
1:400, PROPN 
Dako, PROPN 

, SPACE 
Glostrup, PROPN 
Denmark, PROPN 
Tra1, NOUN 
85, NUM 
1:100, NUM 
Chemicon, PROPN 
Millipore, PROPN 
Copenha-, PROPN 

, SPACE 
gen, PROPN 
Denmark, PROPN 
Sirius, PROPN 
red, NOUN 
H&E., NOUN 
detect, VERB 
healing, NOUN 
microcomputed, VERB 

, SPACE 
tomographical, ADJ 
μCT, NOUN 
scanning, VERB 
images, NOUN 
obtained, VERB 
mice, NOUN 

, SPACE 
critical, ADJ 
sized, ADJ 
calvarial, ADJ 
defect, NOUN 
study, NOUN 
weeks, NOUN 
3, NUM 
14, NUM 
weeks, NOUN 

, SPACE 
PCL, PROPN 
ﬁlm, NOUN 
2, NUM 
14, NUM 
weeks, NOUN 
Healos, PROPN 
®, NOUN 
VivaCT40, ADJ 
scanner, NOUN 

, SPACE 
Scanco, PROPN 
Medical, PROPN 
AG, PROPN 
Bassersdorf, PROPN 
Switzerland, PROPN 
dimensional233, NOUN 
L., PROPN 
Harkness, PROPN 
et, PROPN 
al, PROPN 
Bone, NOUN 
48, NUM 
2011, NUM 
231, NUM 
241, NUM 

, SPACE 
images, NOUN 
acquired, VERB 
calvarial, ADJ 
defect, NOUN 
area, NOUN 
3-, NUM 

, SPACE 
dimensional, ADJ 
reconstructions, NOUN 
cubic, ADJ 
voxel, NOUN 
size, NOUN 
38, NUM 
μm, NOUN 

, SPACE 
generated, VERB 
Images, NOUN 
analysed, VERB 
built, VERB 
software, NOUN 

, SPACE 
Results, NOUN 

, SPACE 
Isolation, NOUN 
hESC, PROPN 
stromal, ADJ 
cells, NOUN 
selective, ADJ 
adherence, NOUN 
HA, PROPN 
coated, VERB 

, SPACE 
plates, NOUN 

, SPACE 
hESC, NOUN 
lines, NOUN 
transitioned, VERB 
culture, NOUN 
inactivated, ADJ 
MEF, PROPN 
feeders, NOUN 

, SPACE 
Fig, PROPN 
1, NUM 
feeder, VERB 
free, ADJ 
culture, NOUN 
conditions, NOUN 
presence, NOUN 
Matrigel, PROPN 
®, NOUN 

, SPACE 
MEF, PROPN 
conditioned, VERB 
media, NOUN 
contained, VERB 
distinct, ADJ 

, SPACE 
populations, NOUN 
cells, NOUN 
hESC, VERB 
colonies, NOUN 
Fig, PROPN 
1, NUM 
sub, NOUN 
population, NOUN 

, SPACE 
ﬁbroblast, NOUN 
like, ADJ 
stromal, ADJ 
cells, NOUN 
Fig, PROPN 
1, NUM 
C, NOUN 
termed, VERB 
hESC, PROPN 
stromal, ADJ 

, SPACE 
cells, NOUN 
Changes, NOUN 
localisation, NOUN 
expression, NOUN 
CD44, PROPN 
HA, NOUN 
receptor, NOUN 

, SPACE 
noted, VERB 
colony, NOUN 
cells, NOUN 
transferred, VERB 
feeders, NOUN 
feeder, VERB 
free, ADJ 

, SPACE 
conditions, NOUN 
CD44, PROPN 
found, VERB 
highly, ADV 
expressed, VERB 
colony, NOUN 
cells, NOUN 

, SPACE 
grown, VERB 
feeders, NOUN 
Fig, PROPN 
1, NUM 
absent, ADJ 
colony, NOUN 
cells, NOUN 
grown, VERB 

, SPACE 
Matrigel, PROPN 
®, NOUN 
(Fig, X 
1, NUM 
B, PROPN 
hESC, NOUN 
stromal, ADJ 
cells, NOUN 
appeared, VERB 

, SPACE 
colonies, NOUN 
grown, VERB 
Matrigel, PROPN 
®, NOUN 
CD44, PROPN 
+, NOUN 
Culturing, VERB 
cells, NOUN 
HA, PROPN 

, SPACE 
coated, ADJ 
wells, NOUN 
enriched, VERB 
CD44+hESC, ADJ 
stromal, ADJ 
cells, NOUN 
colony, NOUN 

, SPACE 
cells, NOUN 
CD44−, NOUN 
adhere, VERB 
Fig, PROPN 
1, NUM 
C, NOUN 
Transferring, VERB 
hESC, NOUN 

, SPACE 
directly, ADV 
feeder, NOUN 
cultures, NOUN 
HA, NOUN 
coated, VERB 
wells, NOUN 
select, VERB 

, SPACE 
stromal, ADJ 
cell, NOUN 
population, NOUN 
majority, NOUN 
colony, NOUN 
cells, NOUN 
CD44, PROPN 
+, PROPN 

, SPACE 
adhered, VERB 
matrix, NOUN 
seen, VERB 
Fig, PROPN 
1, NUM 
D, PROPN 
hESC, PROPN 
stromal, ADJ 
cells, NOUN 

, SPACE 
proliferated, VERB 
readily, ADV 
culture, NOUN 
population, NOUN 
doubling, VERB 
time, NOUN 

, SPACE 
PDT, PROPN 
24, NUM 
h, NOUN 
continued, VERB 
growth, NOUN 
rate, NOUN 
15, NUM 
passages, NOUN 

, SPACE 
evidence, NOUN 
vitro, X 
replicative, ADJ 
senescence, NOUN 
Fig, PROPN 
1, NUM 
E, NOUN 
demon-, ADJ 

, SPACE 
strates, NOUN 
hESC, PROPN 
OD3, PROPN 
grown, VERB 
Matrigel, PROPN 
®, NOUN 
absence, NOUN 
stromalcells, NOUN 
100, NUM 
CD44−and, NOUN 
hESC, PROPN 
stromal, ADJ 
cells, NOUN 
isolated, VERB 
hESC, PROPN 

, SPACE 
cultured, VERB 
Matrigel, PROPN 
®, NOUN 
100, NUM 
CD44, PROPN 
+, PROPN 
test, VERB 
hESC, PROPN 
stromal, ADJ 

, SPACE 
cells, NOUN 
revert, VERB 
pluripotential, ADJ 
colony, NOUN 
cells, NOUN 
cells, NOUN 
re-, ADV 

, SPACE 
cultured, ADJ 
5, NUM 
passages, NOUN 
HA, PROPN 
Matrigel, PROPN 
®, NOUN 
presence, NOUN 
MEF, PROPN 

, SPACE 
conditioned, VERB 
media, NOUN 
supplemented, VERB 
hbFGF, NOUN 
colony, NOUN 
formation, NOUN 

, SPACE 
observed, VERB 
suggesting, VERB 
hESC, PROPN 
stromal, ADJ 
cells, NOUN 

, SPACE 
established, VERB 
differentiated, VERB 
cell, NOUN 
line, NOUN 
cells, NOUN 
negative, ADJ 
pluripotency, NOUN 
marker, NOUN 
Oct3/4, PUNCT 
Fig, PROPN 
2, NUM 
supplementary, ADJ 

, SPACE 
data, NOUN 
Additionally, ADV 
karyotypic, ADJ 
analysis, NOUN 
performed, VERB 

, SPACE 
parental, ADJ 
hESC, PROPN 
hESC, PROPN 
derived, VERB 
stromal, ADJ 
cells, NOUN 
normal, ADJ 

, SPACE 
data, NOUN 
shown, VERB 

, SPACE 
vitro, ADJ 
expansion, NOUN 
differentiation, NOUN 
hESC, NOUN 
stromal, ADJ 
cells, NOUN 

, SPACE 
performed, VERB 
absence, NOUN 
HA, PROPN 

, SPACE 
order, NOUN 
establish, VERB 
presence, NOUN 
HA, PROPN 
needed, VERB 

, SPACE 
maintenance, NOUN 
growth, NOUN 
differentiation, NOUN 
status, NOUN 
hESC, PROPN 
stromal, ADJ 

, SPACE 
cells, NOUN 
cells, NOUN 
passage, NOUN 
3, NUM 
10, NUM 
transferred, VERB 
wells, NOUN 

, SPACE 
precoating, VERB 
HA, NOUN 
change, NOUN 
observed, VERB 
cell, NOUN 
morphology, NOUN 

, SPACE 
surface, NOUN 
marker, NOUN 
expression, NOUN 
passage, NOUN 
3, NUM 
data, NOUN 
CD44, PROPN 
CD73, PROPN 
CD105, PROPN 
CD146, PROPN 

, SPACE 
CD166, PROPN 
Fig, PROPN 
1A, PROPN 
supplementary, ADJ 
data, NOUN 
proliferation, NOUN 
capacity, NOUN 
Fig, PROPN 
1, NUM 
C, PROPN 

, SPACE 
cells, NOUN 
Similarly, ADV 
signi, NOUN 
ﬁcant, NOUN 
differences, NOUN 
gene, NOUN 
expression, NOUN 
RUNX2, PROPN 

, SPACE 
ALP, PROPN 
BGLAP, PROPN 
COL1a1, NOUN 
seen, VERB 
hESC, NOUN 
stromal, ADJ 
cells, NOUN 
undergoing, VERB 

, SPACE 
osteoblast, ADJ 
differentiation, NOUN 
grown, VERB 
HA, PROPN 
matrix, NOUN 

, SPACE 
Fig, PROPN 
1B, PROPN 
E, NOUN 
supplementary, ADJ 
data, NOUN 
n=3, DET 
independent, ADJ 
experiments, NOUN 

, SPACE 
Additionally, ADV 
observe, VERB 
spontaneous, ADJ 
regulation, NOUN 

, SPACE 
osteoblastic, ADJ 
gene, NOUN 
expression, NOUN 
hESC, NOUN 
stromal, ADJ 
cells, NOUN 
examined, VERB 
days, NOUN 

, SPACE 
1, NUM 
5, NUM 
10, NUM 
14, NUM 
culture, NOUN 
Fig, PROPN 
1B, PROPN 
E, NOUN 
supplementary, ADJ 
data, NOUN 

, SPACE 
Fig, PROPN 
1, NUM 
Localisation, NOUN 
CD44, PROPN 
hESC, PROPN 
OD3, PROPN 
OD3, PROPN 
stromal, ADJ 
cells, NOUN 
