JOURNAL, PROPN 
.41, NUM 
H, PROPN 
blank, ADJ 
wells, NOUN 
CTLL-2, NOUN 
cell5, NOUN 
incubated, VERB 

, SPACE 
IL-, PROPN 
figures, NOUN 
curve.\, NOUN 
population, NOUN 
growth, NOUN 
mtes, NOUN 
G3, PROPN 
h, NOUN 
incubation, NOUN 
marked, ADJ 

, SPACE 
corresponds, VERB 
data, NOUN 
shown, VERB 
Fig, PROPN 
2, NUM 

, SPACE 
1.0, NUM 

, SPACE 
0.9, NUM 

, SPACE 
z, NOUN 
0.6, NUM 

, SPACE 
8, NUM 

, SPACE 
=, VERB 
c, NOUN 
0.7, NUM 

, SPACE 
.P, NOUN 

, SPACE 
zi, PROPN 
.Ei, PROPN 
0.6, NUM 

, SPACE 
E, NOUN 
05, NUM 

, SPACE 
k, NOUN 

, SPACE 
=, SYM 
04, NUM 

, SPACE 

, SPACE 
E, NOUN 
0, NUM 
0.3, NUM 

, SPACE 
E, NOUN 

, SPACE 
O, NOUN 
0.2, NUM 

, SPACE 
8, NUM 

, SPACE 
J, PROPN 

, SPACE 

, SPACE 

, SPACE 
r, NOUN 
T, PROPN 
-7, INTJ 

, SPACE 
0, NUM 
100, NUM 
200, NUM 
300, NUM 
400, NUM 
500, NUM 
600, NUM 
700, NUM 
800, NUM 
900, NUM 
1000, NUM 

, SPACE 
Cell, PROPN 
Number, PROPN 
x, SYM 
1000, NUM 

, SPACE 
Fig, PROPN 
4, NUM 
Calibration, NOUN 
curve, NOUN 
cells, NOUN 
measured, VERB 
nt, PART 
690, NUM 
nm, NOUN 
filling, NOUN 
volume, NOUN 
wab, VERB 
100, NUM 
~1, ADJ 

, SPACE 
K., PROPN 
Vorauer, PROPN 
et, NOUN 
al./, ADV 
J., PROPN 
Biochem, PROPN 
Biophys, NOUN 
Methods, NOUN 
32, NUM 
1996, NUM 
85, NUM 
96, NUM 
91, NUM 

, SPACE 
96, NUM 
representation, NOUN 
Fig, PROPN 
3, NUM 
allows, VERB 
quick, ADJ 
overview, NOUN 
cell, NOUN 
culture, NOUN 

, SPACE 
plate, NOUN 
overview, NOUN 
cell, NOUN 
growth, NOUN 
kinetics, NOUN 
lag, NOUN 
phase, NOUN 
indications, NOUN 

, SPACE 
influences, NOUN 
additives, NOUN 
osmolarity, NOUN 
etc, X 
seen, VERB 
test, NOUN 
plate, NOUN 

, SPACE 
0.07, NUM 

, SPACE 
0.06, NUM 

, SPACE 
0.05, NUM 

, SPACE 
0.04, NUM 

, SPACE 
0.03, NUM 

, SPACE 
0.02, NUM 

, SPACE 
0.01, NUM 

, SPACE 
0.00, NUM 

, SPACE 
-0.01, NUM 

, SPACE 
-0.02, NUM 

, SPACE 
0.07, NUM 

, SPACE 
0.06, NUM 

, SPACE 
0.05, NUM 

, SPACE 
0.04, NUM 

, SPACE 
0.03, NUM 

, SPACE 
0.02, NUM 

, SPACE 
0.01, NUM 

, SPACE 
0.00, NUM 

, SPACE 
-0.01, NUM 

, SPACE 
-0.02, NUM 
Prediction, PROPN 
interval, NOUN 
P, PROPN 
=, SYM 
O.95, PROPN 

, SPACE 
0.01, NUM 
0.1, NUM 
1, NUM 
10, NUM 

, SPACE 
IL-2, NOUN 
Units, NOUN 

, SPACE 
r, NOUN 

, SPACE 
0.01, NUM 
0.1, NUM 
1, NUM 
10, NUM 

, SPACE 
IL-2, NOUN 
Units, PROPN 

, SPACE 
Fig, PROPN 
5, NUM 
Population, NOUN 
growth, NOUN 
rates, NOUN 
plotted, VERB 
versus, ADP 
units, NOUN 
IL-2, NUM 
curve, NOUN 
fitting, VERB 
fourth, ADJ 
polynom, NOUN 

, SPACE 
y, PROPN 
=, ADJ 
+, CCONJ 
x, PROPN 
+, NUM 
aI, NUM 
x2, PROPN 
+, PUNCT 
x3, PROPN 
+, PROPN 
a,.rJ, PROPN 
8, NUM 
consecutive, ADJ 
calibration, NOUN 
curves, NOUN 
measured, VERB 
8, NUM 

, SPACE 
different, ADJ 
plates, NOUN 
compared, VERB 
B, NOUN 
sample, NOUN 
measured, VERB 
8, NUM 
different, ADJ 
plates, NOUN 
0, X 
shows, VERB 
mean, ADJ 
values, NOUN 

, SPACE 
standard, ADJ 
deviation, NOUN 
population, NOUN 
growth, NOUN 
rate, NOUN 

, SPACE 
91, NUM 

, SPACE 
0, NUM 
00, NUM 
+, NUM 
.T, PUNCT 

, SPACE 
4, NUM 
$, SYM 
z, NOUN 
00, NUM 
d, NOUN 
N, PROPN 

, SPACE 
Sample(llDilutlon, NOUN 

, SPACE 
IL-2, VERB 
Standard, PROPN 
u, NOUN 

, SPACE 
Fig, PROPN 
6, NUM 
Population, NOUN 
growth, NOUN 
rate, NOUN 
different, ADJ 
IL-2, ADJ 
samples, NOUN 
compared, VERB 
standard, ADJ 
IL-2, NOUN 
sample, NOUN 
0, NUM 

, SPACE 
sample, NOUN 
2, NUM 
H, NOUN 
Sample, PROPN 
2, NUM 
different, ADJ 
slope, NOUN 
compared, VERB 
calibration, NOUN 
curve, NOUN 

, SPACE 
growth, NOUN 
curve, NOUN 
shown, VERB 
population, NOUN 
growth, NOUN 
rate, NOUN 
~1, NOUN 
calculated, VERB 

, SPACE 
exponential, ADJ 
growth, NOUN 
phase, NOUN 
Dependence, NOUN 
IL-2, NOUN 
proliferation, NOUN 
IL-2, NOUN 
concentration, NOUN 

, SPACE 
shown, VERB 
accuracy, NOUN 
reasons, NOUN 
samples, NOUN 
covering, VERB 
border, NOUN 
wells, NOUN 
measured, VERB 

, SPACE 
triplicates, NOUN 
border, NOUN 
wells, NOUN 
shows, VERB 
outliners, NOUN 

, SPACE 
calibration, NOUN 
curve, NOUN 
CTLL-2, NOUN 
cells, NOUN 
opacity, NOUN 
vs., ADP 
cell, NOUN 
number, NOUN 
shown, VERB 
Fig, PROPN 
4, NUM 

, SPACE 
demonstrate, VERB 
GCSS, PROPN 
offers, VERB 
cell, NOUN 
number, NOUN 
determination, NOUN 
measuring, VERB 

, SPACE 
turbidity, NOUN 
non, ADJ 
homogeneous, ADJ 
cell, NOUN 
suspension, NOUN 
essential, ADJ 
calculation, NOUN 
IL-2, NOUN 

, SPACE 
activity, NOUN 

, SPACE 
exact, ADJ 
determination, NOUN 
cell, NOUN 
density, NOUN 
quantitative, ADJ 
determination, NOUN 

, SPACE 
activity, NOUN 
IL-2, NOUN 
IL-2, NOUN 
samples, NOUN 
IL-2, NOUN 
standard, NOUN 
tested, VERB 
different, ADJ 

, SPACE 
concentration, NOUN 
ranges, VERB 
Fig, PROPN 
5A, ADJ 
population, NOUN 
growth, NOUN 
rate, NOUN 
h, NOUN 
data, NOUN 
IL-2, PROPN 
standard, NOUN 

, SPACE 
performed, VERB 
8, NUM 
parallel, ADJ 
GCSS, NOUN 
plates, NOUN 
shown, VERB 
selected, VERB 
sample, NOUN 
tested, VERB 

, SPACE 
plates, NOUN 
Data, NOUN 
shown, VERB 
Fig, PROPN 
5B., NUM 
confidence, NOUN 
limits, NOUN 
fitted, VERB 
parameters, NOUN 

, SPACE 
a,--~, PROPN 
fourth, PROPN 
polynom, PROPN 
differ, VERB 
significantly, ADV 
Y, PROPN 
=, PUNCT 
0.05, NUM 

, SPACE 
slope, NOUN 
p, PROPN 
versus, ADP 
concentration, NOUN 
differs, VERB 
sample, NOUN 
standard, ADJ 
curve, NOUN 

, SPACE 
determination, NOUN 
sample, NOUN 
activity, NOUN 
accurate, ADJ 
Fig, PROPN 
6, NUM 
reduced, ADJ 
slope, NOUN 

, SPACE 
indication, NOUN 
inhibitation, NOUN 
competitive, ADJ 
effect, NOUN 
reduced, VERB 
biological, ADJ 
activity, NOUN 
activity, NOUN 

, SPACE 
based, VERB 
mass, NOUN 
molarity, NOUN 
target, NOUN 
protein, NOUN 

, SPACE 
K., PROPN 
Vorauer, PROPN 
et, PROPN 
al, PROPN 
/J., PROPN 
Biochem, PROPN 
Biophy, PROPN 
Methods, NOUN 
32, NUM 
9, NUM 
85, NUM 
96, NUM 
93, NUM 

, SPACE 
0.06, NUM 

, SPACE 
0.05, NUM 

, SPACE 
T, NOUN 
0.04, NUM 

, SPACE 
c, X 

, SPACE 
al, PROPN 

, SPACE 
3, NUM 
0.03, NUM 

, SPACE 
r, NOUN 

, SPACE 
g, PROPN 
0.02, NUM 

, SPACE 
E, NOUN 

, SPACE 
g, PROPN 
0.01, NUM 

, SPACE 
2, NUM 

, SPACE 
2, NUM 
0.00, NUM 

, SPACE 
-0.01, NUM 
1, NUM 

, SPACE 
-0.02, NUM 

, SPACE 
0.0001, NUM 
0.01, NUM 
0.1, NUM 
1, NUM 
10, NUM 
100, NUM 

, SPACE 
IL-2, NOUN 
Units, PROPN 

, SPACE 
Fig, PROPN 
7, NUM 
Population, NOUN 
growth, NOUN 
rate, NOUN 
different, ADJ 
IL-2, ADJ 
samples, NOUN 
0.0, NUM 
1, NUM 
having, VERB 
identical, ADJ 
IL-2, ADJ 
activity, NOUN 

, SPACE 
mass, NOUN 
IL-2, NOUN 
mass, NOUN 
measured, VERB 
ELISA, PROPN 
calibration, NOUN 
curve, NOUN 
1, NUM 
carried, VERB 
Fig, PROPN 
6, NUM 

, SPACE 
GCSS, NOUN 
method, NOUN 
checking, VERB 
identical, ADJ 
activity, NOUN 
different, ADJ 

, SPACE 
samples, NOUN 
compared, VERB 
known, VERB 
standard, NOUN 
order, NOUN 
ascertain, VERB 
different, ADJ 
samples, NOUN 

, SPACE 
IL-2, NUM 
activity, NOUN 
determine, VERB 
IL-2, ADJ 
content, NOUN 
ELBA, PROPN 
prior, ADV 

, SPACE 
proliferation, NOUN 
assay, NOUN 
samples, NOUN 
bioactivity, NOUN 
test, NOUN 
diluted, VERB 
identical, ADJ 
IL-2, NOUN 

, SPACE 
content, NOUN 
derived, VERB 
ELISA, PROPN 
curve, NOUN 
p, PROPN 
versus, ADP 
concentration, NOUN 
identical, ADJ 

, SPACE 
case, NOUN 
IL-2, NUM 
activity, NOUN 
shown, VERB 
Fig, PROPN 
7, NUM 

, SPACE 
find, VERB 
appropriate, ADJ 
time, NOUN 
interval, NOUN 
quantification, NOUN 
calculated, VERB 
population, NOUN 

, SPACE 
growth, NOUN 
rate, NOUN 
48, NUM 
h, NOUN 
72, NUM 
h, NOUN 
incubations, NOUN 
calculated, VERB 
IL-2, NOUN 
levels, NOUN 

, SPACE 
compared, VERB 
Table, NOUN 
1, NUM 
significant, ADJ 
difference, NOUN 
IL-2, NUM 
activity, NOUN 
observed, VERB 

, SPACE 
different, ADJ 
time, NOUN 
periods, NOUN 
calculation, NOUN 
CL, PROPN 
data, NOUN 
assay, NOUN 

, SPACE 
Table, PROPN 
1, NUM 

, SPACE 
Comoarison, PROPN 
11, NUM 
2, NUM 
values, NOUN 
obtained, VERB 
48, NUM 
h, NOUN 
72, NUM 
h, NOUN 
incubation, NOUN 

, SPACE 
Sample, PROPN 
IL-2, PROPN 
units, NOUN 
ml-48h, ADJ 
IL-2, NOUN 
units, NOUN 
ml-72h, NOUN 
IL-2, NOUN 
units-48h, NOUN 
IL-2, NOUN 
units-72hlX, ADJ 
100, NUM 
l, NOUN 

, SPACE 
Al, PROPN 

, SPACE 
A2, PROPN 

, SPACE 
A3, NOUN 

, SPACE 
A4, NOUN 

, SPACE 
A5, PROPN 

, SPACE 
A6, PROPN 

, SPACE 
A7, PROPN 
19, NUM 
100&290, NUM 

, SPACE 
850, NUM 
+, SYM 
56, NUM 

, SPACE 
18, NUM 
100&210, ADP 

, SPACE 
970, NUM 
+, NUM 
26, NUM 

, SPACE 
945, NUM 
f, PROPN 
14, NUM 

, SPACE 
19300&78, NUM 

, SPACE 
1870, NUM 
+, SYM 
19, NUM 
203OOrt600, NUM 

, SPACE 
915, NUM 
18, NUM 

, SPACE 
18OOOk487, NUM 

, SPACE 
960f, PROPN 
10, NUM 

, SPACE 
98Ok, NUM 
15, NUM 

, SPACE 
18900&75, NUM 

, SPACE 
187Ok85, NUM 
106, NUM 

, SPACE 
107, NUM 

, SPACE 
99, NUM 

, SPACE 
99, NUM 

, SPACE 
104, NUM 

, SPACE 
98, NUM 

, SPACE 
99, NUM 

, SPACE 
mean, VERB 
102, NUM 

, SPACE 
Samples, NOUN 
measured, VERB 
triplicates, NOUN 

, SPACE 
94, NUM 
K., PROPN 
Vowurr, PROPN 
rt, PROPN 
4, NUM 
/.t, PUNCT 
Bioctum, PROPN 
Bioptrys, NOUN 
Mrthods, NOUN 
32, NUM 
f, PROPN 
IYY6, PROPN 
85, NUM 
96, NUM 

, SPACE 
Table, NOUN 
2, NUM 

, SPACE 
II-2, NUM 
activity, NOUN 
measured, VERB 
7, NUM 
different, ADJ 
samples, NOUN 
GCSS, PROPN 
MTT, PROPN 
MTS, PROPN 

, SPACE 
IL-3, PUNCT 
units, NOUN 
ml, PROPN 

, SPACE 
Sample, PROPN 
GCSS, PROPN 
MTT, PROPN 
MTS, PROPN 

, SPACE 
Al, PROPN 
19, NUM 
loo+290, NOUN 

, SPACE 
A7, PROPN 
850, NUM 
f, PROPN 
56, NUM 

, SPACE 
A3, NOUN 
IX, PROPN 
IOOiZlO, NOUN 

, SPACE 
Al, PROPN 
970, NUM 
I26, PROPN 

, SPACE 
A5, PROPN 
945, NUM 
II, PROPN 

, SPACE 
A6, ADJ 
l9300, NOUN 
+, NUM 
78, NUM 

, SPACE 
A7, NOUN 
l890, NOUN 
+, CCONJ 
I9, NOUN 

, SPACE 
Samples, NOUN 
measured, VERB 
triplicates, NOUN 
19530, NUM 
+, NUM 
175, NUM 
18880&-206, NUM 

, SPACE 
875, NUM 
f, PROPN 
30, NUM 
861&-30, NUM 

, SPACE 
17740, NUM 
179, NUM 
17250~200, NUM 

, SPACE 
951, NUM 
1x, NUM 
1020, NUM 
34, NUM 

, SPACE 
93oi, NOUN 
70, NUM 
970, NUM 
+, SYM 
12, NUM 

, SPACE 
197oo+‘zJ, NUM 
20400, NUM 
I04, PROPN 

, SPACE 
I893k23, NOUN 
1887, NUM 
50, NUM 

, SPACE 
dependent, ADJ 
exact, ADJ 
time, NOUN 
evaluation, NOUN 
cell, NOUN 
number, NOUN 
flexible, ADJ 
set, NOUN 

, SPACE 
experiments, NOUN 
carried, VERB 

, SPACE 
novel, ADJ 
proliferation, NOUN 
assay, NOUN 
General, PROPN 
cell, NOUN 
screening, NOUN 
system, NOUN 
compared, VERB 

, SPACE 
conventional, ADJ 
methods, NOUN 
Calorimetric, ADJ 
MTT, PROPN 
MTS, PROPN 
assays, NOUN 
performed, VERB 
written, VERB 

, SPACE 
Section, NOUN 
2, NUM 
Materials, NOUN 
methods, NOUN 
Results, NOUN 
7, NUM 
different, ADJ 
samples, NOUN 
unknown, ADJ 
IL-2, ADJ 

, SPACE 
activity, NOUN 
listed, VERB 
Table, PROPN 
2, NUM 
showing, VERB 
assays, NOUN 
produce, VERB 
comparable, ADJ 
data, NOUN 

, SPACE 
obtained, VERB 
IL-2, NOUN 
units, NOUN 
vary, VERB 
significantly, ADV 
applied, VERB 
methods, NOUN 

, SPACE 
residuals, NOUN 
GCSS, PROPN 
data, NOUN 
MTT, PROPN 
MTS, PROPN 
data, NOUN 
samples, NOUN 
known, VERB 

, SPACE 
0.06, NUM 

, SPACE 
-0.06, NUM 

, SPACE 
-0.08, NUM 
-1, PUNCT 

, SPACE 
Fig, PROPN 
8, NUM 
Residuala, PROPN 
IL-2, NOUN 
activities, NOUN 
known, VERB 
IL-2, NOUN 
samples, NOUN 
GCSS, NOUN 
MTT, PROPN 
hatched, VERB 
bar, NOUN 
GCSS, PROPN 
MTS, PROPN 
open, ADJ 

, SPACE 
bar, NOUN 
samples, NOUN 
measured, VERB 
triplicates, NOUN 
residuals, NOUN 
defined, VERB 
differences, NOUN 
IL-2, NOUN 

, SPACE 
activity, NOUN 
determined, VERB 
GCSS, NOUN 
method, NOUN 
conventional, ADJ 
methods, NOUN 
MTT-, X 
MTS, PROPN 
assay, PROPN 

, SPACE 
K., PROPN 
Vorauer, PROPN 
et, NOUN 
al./J., VERB 
Biochem, PROPN 
Biophy, PROPN 
Methods, NOUN 
32, NUM 
19961X-96, NUM 
95, NUM 

, SPACE 
IL-2, NOUN 
activity, NOUN 
plotted, VERB 
concentration, NOUN 
IL-2, NOUN 
residuals, NOUN 

, SPACE 
calculated, VERB 
substraction, NOUN 
GCSS, NOUN 
data, NOUN 
conventional, ADJ 
calorimetric, NOUN 
assay, VERB 

, SPACE 
data, NOUN 
study, NOUN 
trend, NOUN 
observed, VERB 
range, NOUN 
IL-2, NOUN 
Fig, PROPN 

, SPACE 
81, NUM 
MTT, PROPN 
MTS, PROPN 
data, NOUN 
applicable, ADJ 
residuals, NOUN 
depend, VERB 
IL-2, NUM 

, SPACE 
concentrations, NOUN 

, SPACE 
4, X 
Discussion, NOUN 

, SPACE 
GCSS, PROPN 
offers, VERB 
novel, ADJ 
strategy, NOUN 
measurement, NOUN 
biological, ADJ 
activity, NOUN 

, SPACE 
cytokine, ADJ 
samples, NOUN 
terms, NOUN 
cell, NOUN 
proliferation, NOUN 
measuring, VERB 
transmission, NOUN 

, SPACE 
incubation, NOUN 
period, NOUN 
IL-2, ADJ 
dependent, ADJ 
cell, NOUN 
line, NOUN 
CTLL-2, NOUN 
found, VERB 

, SPACE 
exactly, ADV 
determine, VERB 
cell, NOUN 
number, NOUN 
given, VERB 
cell, NOUN 
type, NOUN 
increase, NOUN 
cell, NOUN 
density, NOUN 

, SPACE 
fundamental, ADJ 
criterion, NOUN 
proliferation, NOUN 
assay, NOUN 
contrast, NOUN 
cell, NOUN 
proliferation, NOUN 

, SPACE 
assays, NOUN 
range, NOUN 
detection, NOUN 
particular, ADJ 
assay, NOUN 
broad, ADJ 
Assays, NOUN 
based, VERB 

, SPACE 
incorporation, NOUN 
radiolabelled, VERB 
nucleotides, NOUN 
3,11, X 
detect, VERB 
cell, NOUN 
proliferation, NOUN 
addition, NOUN 

, SPACE 
nucleotides, NOUN 
DNA, NOUN 
synthesis, NOUN 
rate, NOUN 
observed, VERB 
narrow, ADJ 
time, NOUN 
range, NOUN 

, SPACE 
correlated, VERB 
biological, ADJ 
activity, NOUN 
incorporation, NOUN 
consequence, NOUN 

, SPACE 
analytical, ADJ 
response, NOUN 
depends, VERB 
heavily, ADV 
cell, NOUN 
activity, NOUN 
time, NOUN 
period, NOUN 

, SPACE 
addition, NOUN 
nucleotides, NOUN 
cell, NOUN 
population, NOUN 
harvesting, NOUN 
cells, NOUN 

, SPACE 
parameters, NOUN 
carefully, ADV 
optimized, VERB 
order, NOUN 
obtain, VERB 
reliable, ADJ 
data, NOUN 
case, NOUN 

, SPACE 
GCSS, PROPN 
lag, NOUN 
phase, NOUN 
detected, VERB 
instance, NOUN 
early, ADJ 
termination, NOUN 
assay, NOUN 

, SPACE 
avoided, VERB 
types, NOUN 
end, NOUN 
point, NOUN 
assays, NOUN 
observation, NOUN 
time, NOUN 
cell, NOUN 

, SPACE 
harvesting, NOUN 
addition, NOUN 
MTT, PROPN 
MTS, PROPN 
quantification, NOUN 

, SPACE 
calculation, NOUN 
population, NOUN 
growth, NOUN 
rate, NOUN 
~1, NOUN 
CTLL-2, NOUN 
cell, NOUN 
line, NOUN 
48, NUM 
h, NOUN 

, SPACE 
cultivation, NOUN 
correlated, VERB 
IL-2, ADJ 
activity, NOUN 
IL-2, NOUN 
containing, VERB 
samples, NOUN 
different, ADJ 

, SPACE 
origin, NOUN 
autologous, ADJ 
recombinant, ADJ 
regression, NOUN 
coefficients, NOUN 
fourth, PROPN 
polynom, PROPN 

, SPACE 
R, PROPN 
=, NOUN 
0.998, NUM 
R, PROPN 
=, PROPN 
0.996, NUM 
Adj, PROPN 
Rsqr, PROPN 
=, SYM 
0.993, NUM 
concentration, NOUN 
range, NOUN 

, SPACE 
9.76, NUM 
X, NOUN 
10e3, NUM 
units, NOUN 
IL-2, NUM 
10, NUM 
units, NOUN 
IL-2, NOUN 
Advantages, NOUN 
system, NOUN 
based, VERB 

, SPACE 
growth, NOUN 
kinetics, NOUN 
obvious, ADJ 
plate, NOUN 
measured, VERB 
32, NUM 
times, NOUN 

, SPACE 
manipulation, NOUN 
influencing, VERB 
culture, NOUN 
conditions, NOUN 
feature, NOUN 
makes, VERB 

, SPACE 
system, NOUN 
transparent, ADJ 
cell, NOUN 
densities, NOUN 
observed, VERB 
long, ADJ 
time, NOUN 
period, NOUN 

, SPACE 
optimal, ADJ 
time, NOUN 
exponential, ADJ 
growth, NOUN 
curve, NOUN 
observed, VERB 
utilized, VERB 

, SPACE 
calculation, NOUN 
samples, NOUN 
processed, VERB 
continuously, ADV 
controlled, VERB 
system, NOUN 

, SPACE 
manpower, NOUN 
time, NOUN 
costs, NOUN 
minimized, VERB 

, SPACE 
comparison, NOUN 
calorimetric, NOUN 
MTT, PROPN 
MTS, PROPN 
methods, NOUN 
incorporation, NOUN 
radiola-, ADJ 

, SPACE 
belled, VERB 
nucleotides, NOUN 
L3H]Tdr, PROPN 
use, NOUN 
toxic, ADJ 
components, NOUN 
solvents, NOUN 
radioactive, ADJ 

, SPACE 
substances, NOUN 
necessary, ADJ 
methods, NOUN 
require, VERB 
additional, ADJ 
manipulation, NOUN 

, SPACE 
steps, NOUN 
represent, VERB 
moment, NOUN 
continuous, ADJ 
situation, NOUN 
main, ADJ 
advantage, NOUN 

, SPACE 
GCSS, NOUN 
proliferation, NOUN 
assay, NOUN 
fact, NOUN 
culture, NOUN 
kept, VERB 
permanent, ADJ 

, SPACE 
observation, NOUN 
calculation, NOUN 
cell, NOUN 
kinetics, NOUN 
simplified, VERB 
direct, ADJ 
combina-, NOUN 

, SPACE 
tion, NOUN 
multiwell, NOUN 
scanning, VERB 
spectrophotometer, NOUN 
personal, ADJ 
computer, NOUN 

, SPACE 
results, NOUN 
GCSS, NOUN 
IL-2, NOUN 
proliferation, NOUN 
assay, VERB 
correlate, NOUN 
results, NOUN 
calculated, VERB 

, SPACE 
calorimetric, ADJ 
assays, NOUN 
Table, NOUN 
2, NUM 
residuals, NOUN 
GCSS, PROPN 
MIT, PROPN 
GCSS, PROPN 
MTS, PROPN 
versus, ADP 

, SPACE 
IL-2, NOUN 
activity, NOUN 
randomly, ADV 
distributed, VERB 
reproducibility, NOUN 
test, NOUN 
system, NOUN 
relies, VERB 

, SPACE 
quality, NOUN 
specially, ADV 
designed, VERB 
multiwell, NOUN 
plates, NOUN 
minimization, NOUN 
manipula-, ADJ 

, SPACE 
tions, NOUN 
indirect, ADJ 
measurement, NOUN 
cell, NOUN 
density, NOUN 
addition, NOUN 
component, NOUN 
use, NOUN 

, SPACE 
optimal, ADJ 
cell, NOUN 
density, NOUN 
Consequently, ADV 
precise, ADJ 
quantitation, NOUN 
samples, NOUN 
shown, VERB 

, SPACE 
Fig, PROPN 
5B., NUM 

, SPACE 
observations, NOUN 
GCSS, NOUN 
IL-2, NOUN 
method, NOUN 
suggest, VERB 
determination, NOUN 
IL-2, NOUN 

, SPACE 
activity, NOUN 
computer, NOUN 
assisted, VERB 
system, NOUN 
manipulations, NOUN 
simplifies, NOUN 

, SPACE 
handling, NOUN 
multiple, ADJ 
samples, NOUN 
routine, ADJ 
laboratory, NOUN 
feel, VERB 
system, NOUN 
safer, ADJ 

, SPACE 
cost, NOUN 
effective, ADJ 
compared, VERB 
methods, NOUN 
principle, NOUN 
test, NOUN 
suited, VERB 

, SPACE 
screening, NOUN 
cytokine, ADJ 
dependent, ADJ 
cells, NOUN 
CTLL-2, NOUN 
cell, NOUN 
line, NOUN 
system, NOUN 

, SPACE 
applicable, ADJ 
screening, NOUN 
growth, NOUN 
inhibition, NOUN 
factors, NOUN 
biological, ADJ 

, SPACE 
activity, NOUN 
observed, VERB 
conjunction, NOUN 
cell, NOUN 
kinetics, NOUN 
GCSS, PROPN 
quantifica-, NOUN 

, SPACE 
tion, NOUN 
biological, ADJ 
activity, NOUN 

, SPACE 
References, NOUN 

, SPACE 
Mosmann, PROPN 
T, NOUN 
Rapid, ADJ 
calorimetric, NOUN 
assay, VERB 
cellular, ADJ 
growth, NOUN 
survival, NOUN 
application, NOUN 
proliferation, NOUN 

, SPACE 
cytotoxicity, NOUN 
assays, NOUN 
J., PROPN 
Immunol, PROPN 
Methods, NOUN 
65, NUM 
C, NOUN 
198.1, NUM 
55, NUM 
63, NUM 

, SPACE 
2, X 
Tada, PROPN 
H, PROPN 
Shiho, PROPN 
0, NUM 
Kuroshima, PROPN 
K, PROPN 
Koyama, PROPN 
M., PROPN 
Tsukamoto, PROPN 
K., PROPN 
improved, ADJ 
calorimetric, NOUN 
assay, NOUN 

, SPACE 
Interleukin-2, NUM 
J., PROPN 
Immunol, PROPN 
Methoda, PROPN 
93, NUM 
1986, NUM 
157, NUM 
165, NUM 

, SPACE 
3, X 
Hewlett, PROPN 
G, PROPN 
Stiinkel, PROPN 
K.G., PROPN 
Schlumherger, PROPN 
H.D, PROPN 
method, NOUN 
quantification, NOUN 
Interleukin-2, ADJ 
activity, NOUN 

, SPACE 
J., PROPN 
Immunol, PROPN 
Methods, NOUN 
I7, VERB 
1989, NUM 
243, NUM 
246, NUM 

, SPACE 
4, X 
Rohh, PROPN 
R.J, PROPN 
Kutny, PROPN 
R.M, PROPN 
Panico, PROPN 
M, PROPN 
Morri\., PROPN 
H.R., PROPN 
Chowdhry, PROPN 
V, NOUN 
Amino, ADJ 
acid, NOUN 
sequence, NOUN 

, SPACE 
post, ADJ 
translational, ADJ 
modification, NOUN 
human, PROPN 
interleukin-7, PROPN 
Proc, PROPN 
Natl, PROPN 
Acad, PROPN 
Sci, PROPN 
USA, PROPN 
81, NUM 
1984, NUM 
6486, NUM 
6490, NUM 

, SPACE 
5, X 
Strahel, PROPN 
R.A, PROPN 
Klinische, PROPN 
Bedeutung, PROPN 
van, NOUN 
Interleukin-2, PROPN 
der, PROPN 
Tumortherapie, PROPN 
Prakt, PROPN 
Onkol, PROPN 
8, NUM 
1989, NUM 

, SPACE 
126, NUM 
129, NUM 

, SPACE 
6, NUM 
Ju, NOUN 
G, PROPN 
Collins, PROPN 
L, PROPN 
Kaftka, PROPN 
K.L, PROPN 
Tsien, PROPN 
W, PROPN 
Chizzonite, PROPN 
R, PROPN 
Crowl, PROPN 
R, NOUN 
Bhatt, PROPN 
R., PROPN 
Kilian, PROPN 
P.L, PROPN 

, SPACE 
Structure, PROPN 
Function, PROPN 
Analysis, PROPN 
Human, PROPN 
Interleukin-2, NOUN 
J., PROPN 
Biol, PROPN 
Chem, PROPN 
262, NUM 
1987, NUM 
5733, NUM 
5731, NUM 

, SPACE 
7, X 
Buttke, PROPN 
T.M., PROPN 
McCuhrey, PROPN 
J.A., PROPN 
Owen, PROPN 
T.C., PROPN 
Use, PROPN 
aqueous, ADJ 
soluble, ADJ 
tetrazolium, NOUN 
formazan, NOUN 
assay, VERB 

, SPACE 
measure, VERB 
viability, NOUN 
proliferation, NOUN 
lymphokinr, ADJ 
dependent, ADJ 
cell, NOUN 
lines, NOUN 
J., PROPN 
Immunol, PROPN 
Methods, NOUN 
I57, PROPN 
993, NUM 

, SPACE 
233, NUM 
240, NUM 

, SPACE 
x, X 
Barltrop, PROPN 
J.A., PROPN 
Owen, PROPN 
T.C, PROPN 
.5-(3, PROPN 
Carhoxymethoxyphenyl)-2-(3.5, PROPN 
