jouma, PROPN 
, SPACE 
present, ADJ 
surface, NOUN 
catalysts, NOUN 
BlooB5, NOUN 

, SPACE 
El, PROPN 
E3, PROPN 
promote, VERB 
catalytic, ADJ 
activity, NOUN 

, SPACE 
bis(ethene)rhodium(l, NOUN 
complexes, NOUN 
solution, NOUN 
reac-, ADJ 

, SPACE 
tion, NOUN 
C, PROPN 
I-, PROPN 
4, NUM 
Ph, PROPN 
CN, PROPN 
investigated, VERB 
toluene, NOUN 

, SPACE 
40, NUM 
°, NOUN 
C, NOUN 
complex, ADJ 
catalyst, NOUN 
presence, NOUN 

, SPACE 
HCI, PROPN 
Me3SiCI, PROPN 
SiCla, PROPN 
results, NOUN 
Table, NOUN 
2, NUM 

, SPACE 
reveal, VERB 
turnover, NOUN 
numbers, NOUN 

, SPACE 
ratio, NOUN 
8:9, NUM 
decre, NOUN 
ises, VERB 
Lewis, PROPN 
acids, NOUN 

, SPACE 
Table, PROPN 
2, NUM 

, SPACE 
Data, NOUN 
activity, NOUN 
selectivity, NOUN 
complex, NOUN 
m, VERB 
presence, NOUN 

, SPACE 
Lewis, PROPN 
acids, NOUN 
tile, ADJ 
reaction, NOUN 
etheue, NOUN 
diphenyldiazomcthane, NOUN 

, SPACE 
TON, NOUN 
retool, NOUN 
product, NOUN 
mmol, PROPN 
rhodium, NOUN 

, SPACE 
Lewis, PROPN 
acid, NOUN 
Ratio, NOUN 
Rh, PROPN 
acid, NOUN 
TON, NOUN 
Ratio, NOUN 
8:9, NUM 

, SPACE 
HCI, PROPN 
I:1, NOUN 
i0, ADV 
>, X 
99, NUM 

, SPACE 
HCI, PROPN 
1:2, NUM 
3, NUM 
89:1, NUM 

, SPACE 
CH, PROPN 
~).~SiCI, PROPN 
I:10, X 
19, NUM 
93:7, NUM 

, SPACE 
SiCl,~, NOUN 
1:2, NUM 
10, NUM 
98:2, NUM 


, SPACE 
184, NUM 
M.E., PROPN 
Schnehler, PROPN 
et, X 
al./, ADV 
Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
520, NUM 
1996, NUM 
181, NUM 
186, NUM 

, SPACE 
Table, PROPN 
3, NUM 

, SPACE 
Comparison, PROPN 
activity, NOUN 
selectivity, NOUN 
catalyst, NOUN 
BI, PROPN 

, SPACE 
reaction, NOUN 
ethene, NOUN 
diphenyldiazomethane, NOUN 
function, NOUN 
tem-, NOUN 

, SPACE 
ix'ratute, NOUN 
TON, NOUN 
mmolproduct, NOUN 
mmolrhodium, NOUN 

, SPACE 
lemDerature, PROPN 
C, PROPN 
40, NUM 
50, NUM 
60, NUM 
70, NUM 
80, NUM 

, SPACE 
TON, PROPN 
91, NUM 
160, NUM 
184, NUM 
241, NUM 
194, NUM 

, SPACE 
Ratio, NOUN 
$, SYM 
9, NUM 
>, X 
99, NUM 
>, X 
99:1, NUM 
97:3, NUM 
90:10, NUM 
70:30, NUM 

, SPACE 
added, VERB 
1, NUM 
reason, NOUN 
decreased, VERB 
activity, NOUN 
possi-, X 

, SPACE 
bly, ADV 
1, NUM 
RX, NOUN 
R, NOUN 
=, NOUN 
H, PROPN 
SiMea, PROPN 
SiC, NUM 
3, X 
higher, ADJ 

, SPACE 
coordinated, VERB 
rhodium, NOUN 
compounds, NOUN 
formed, VERB 
interme-, PRON 

, SPACE 
diates, NOUN 
interaction, NOUN 
olefin, NOUN 

, SPACE 
diazoalkane, NOUN 
metal, NOUN 
centre, NOUN 
inhibited, VERB 

, SPACE 
effect, NOUN 
temperature, NOUN 
catalytic, ADJ 
reac-, ADJ 

, SPACE 
tion, NOUN 
CzH, PROPN 
4, NUM 
PhzCN, NOUN 
2, NUM 
illustrated, VERB 
Table, PROPN 
3, NUM 

, SPACE 
solution, NOUN 
methyicyclohexane, NOUN 
toluene, NOUN 
ace-, PRON 

, SPACE 
tone, NOUN 
largest, ADJ 
turnover, NOUN 
numbers, NOUN 
found, VERB 
40, NUM 
°, NUM 
C, NOUN 

, SPACE 
3, NUM 
°, NUM 
5, NUM 
°, NOUN 
highest, ADJ 
activity, NOUN 
catalyst, NOUN 
BI, PROPN 
observed, VERB 

, SPACE 
70"C., NUM 
far, ADV 
optimum, ADJ 
yield, NOUN 
olefin, NOUN 
8, NUM 

, SPACE 
concerned, VERB 
lower, ADJ 
temperature, NOUN 
70, NUM 
°, NOUN 
C, NOUN 
preferred, VERB 

, SPACE 
combining, VERB 
aspects, NOUN 
activity, NOUN 

, SPACE 
selectivity, NOUN 
reaction, NOUN 
temperature, NOUN 
50, NUM 
°, NOUN 
C, NOUN 

, SPACE 
best, ADJ 
emphasized, VERB 
al-, ADP 

, SPACE 
50"C, NUM 
TON, NOUN 
value, NOUN 
BI, PROPN 
somewhat, ADV 

, SPACE 
lower, ADJ 
complex, ADJ 
1, NUM 
soiution, NOUN 
great, ADJ 
advan-, NUM 

, SPACE 
tage, NOUN 
supported, VERB 
catalyst, NOUN 
ease, NOUN 

, SPACE 
isolation, NOUN 
olefinic, ADJ 
product, NOUN 

, SPACE 
interested, ADJ 
comparing, VERB 
activity, NOUN 

, SPACE 
catalyst, NOUN 
BI, PROPN 
heterogeneous, ADJ 
phase, NOUN 
complex, ADJ 

, SPACE 
homogeneous, ADJ 
phase, NOUN 
reaction, NOUN 
ethene, PROPN 

, SPACE 
dia, PROPN 
~, PUNCT 
oalkane, NOUN 
derivatives, NOUN 
Ph, PROPN 
~CN~., NOUN 
results, NOUN 

, SPACE 
at~, PROPN 
shown, VERB 
Fig, PROPN 
at'e, ADV 
remarkable, ADJ 

, SPACE 
depending, VERB 
substituents, NOUN 
R, NOUN 
R, NOUN 

, SPACE 
point, NOUN 
direction, NOUN 
cases, NOUN 
R, NOUN 
~, PUNCT 
Ph, PROPN 

, SPACE 
R'-, PROPN 
Ph, PROPN 
CH, PROPN 
~, PROPN 
Ph, PROPN 
activity, NOUN 
higher, ADJ 

, SPACE 
heterogeneous, ADJ 
conditions, NOUN 
R, NOUN 
~, PUNCT 
R, NOUN 

, SPACE 
p, NOUN 
~, PUNCT 
Tol, PROPN 
p, NOUN 
~, PUNCT 
Anis, PROPN 
turnover, NOUN 
numbers, NOUN 
solution, NOUN 
ex-, X 

, SPACE 
ceed, NOUN 
far, ADV 
obtained, VERB 
supported, VERB 
catalyst, NOUN 

, SPACE 
immot)ilization, NOUN 
iridium(1, NOUN 
complexes, NOUN 
IrX(C2H4)_~, X 
r, NOUN 
6, NUM 
7)(see, NUM 
Scheme, PROPN 
1, NUM 
occurred, VERB 
similarly, ADV 

, SPACE 
rhodium, NOUN 
counterparts, VERB 
2, NUM 
inor-, ADJ 

, SPACE 
ganic, ADJ 
supports, NOUN 
oxidic, ADJ 
materials, NOUN 
E, PROPN 

, SPACE 
treatment, NOUN 
6, NUM 
7, NUM 
gave, VERB 
catalysts, NOUN 

, SPACE 
A6, PROPN 
A7, PROPN 
D7, PROPN 
E7, PROPN 
respectively, ADV 
results, NOUN 

, SPACE 
obtained, VERB 
immobilized, VERB 
catalysts, NOUN 

, SPACE 
reaction, NOUN 
C2H, PROPN 
4, NUM 
PhECN, NUM 
2, NUM 
summarized, VERB 

, SPACE 
Table, PROPN 
4, NUM 
general, ADJ 
conclusion, NOUN 
activity, NOUN 

, SPACE 
iridium(1, NOUN 
complexes, NOUN 
increased, VERB 

, SPACE 
chemisorption, NOUN 
chosen, VERB 
inorganic, NOUN 
supports, NOUN 
far, ADV 

, SPACE 
selectivity, NOUN 
concerned, VERB 
difference, NOUN 
be-, X 

, SPACE 
tween, VERB 
reactions, NOUN 
solution, NOUN 
heterogeneous, ADJ 

, SPACE 
phase, NOUN 
ts, ADP 
acetato, NOUN 
compound, VERB 
7, NUM 
methylcy-, NOUN 

, SPACE 
clohexane, NOUN 
40, NUM 
°, NUM 
(2, PRON 
favours, VERB 
formation, NOUN 
9, NUM 
ratio, NOUN 

, SPACE 
8:9, NUM 
=, NOUN 
9, X 
5, X 
olefin, NOUN 
8, NUM 
major, ADJ 
product, NOUN 

, SPACE 
supported, VERB 
catalyst, NOUN 
E7, PROPN 
conditions, NOUN 
homoge-, NOUN 

, SPACE 
neous, ADJ 
heterogeneous, ADJ 
turnover, NOUN 
numbers, NOUN 
7, NUM 

, SPACE 
E7, PROPN 

, SPACE 
2.2.1, NUM 
Concluding, NOUN 
remarks, VERB 

, SPACE 
present, ADJ 
study, NOUN 
shown, VERB 
immo-, NOUN 

, SPACE 
bilized, VERB 
catalysts, NOUN 
containing, VERB 
rhodium, NOUN 
iridium, NOUN 

, SPACE 
active, ADJ 
metal, NOUN 
advantage, NOUN 
ease, NOUN 
product, NOUN 

, SPACE 
separation, NOUN 
isolation, NOUN 
reaction, NOUN 
ethene, PROPN 

, SPACE 
diphenyldiazomethane, NOUN 
selective, ADJ 

, SPACE 
respective, ADJ 
bis(ethene)rhodium(1, NOUN 
-iridium(l, PROPN 
com-, NOUN 

, SPACE 
plexes, NOUN 
homogeneous, ADJ 
phase, NOUN 
reason, NOUN 

, SPACE 
decreased, VERB 
selectivity, NOUN 
probably, ADV 
originates, VERB 

, SPACE 
type, NOUN 
inorganic, ADJ 
support, NOUN 
natu,~, PROPN 
anion, NOUN 

, SPACE 
X=, NOUN 
precursor, NOUN 
compounds, VERB 
MX(Ca, NOUN 
t.t, PROPN 
~, PUNCT 
M, PROPN 

, SPACE 
Rh, PROPN 
lr, PROPN 
X, NOUN 
~, PUNCT 
CI, PROPN 
OAc, NOUN 
aeac, NOUN 
fcacac, PROPN 
f, PROPN 
~, PROPN 
oaeac, NOUN 
dur-, DET 

, SPACE 
ing, VERB 
preparation, NOUN 
catalysts, NOUN 
HX, PROPN 
Ibrmed, ADJ 

, SPACE 
quickly, ADV 
removed, VERB 
surfitce, NOUN 
question, NOUN 

, SPACE 
r.~tio, NOUN 
olefin, PROPN 
cyclopropane, NOUN 
in-, ADV 

, SPACE 
creased, VERB 
modifying, VERB 
oxide, NOUN 
support, NOUN 

, SPACE 
presently, ADV 
difficult, ADJ 
answer, VERB 
preliminary, ADJ 
ex-, NOUN 

, SPACE 
periments, NOUN 
indicated, VERB 
increase, NOUN 
activ-, ADJ 

, SPACE 
ity, NOUN 
possible, ADJ 
particular, ADJ 
anchoring, VERB 

, SPACE 
cationic, ADJ 
olefinrhodium, NOUN 
-iridium, NOUN 
complexes, NOUN 

, SPACE 
inorganic, ADJ 
support, NOUN 

, SPACE 
~, PUNCT 
n, CCONJ 
~, PROPN 
oylphcn, NOUN 
~, PUNCT 
diuometh, NOUN 
~, PUNCT 
o, NOUN 

, SPACE 
b, NOUN 
~, NOUN 
n~'lphenyidl, PROPN 
~, PROPN 
mcthanc, PROPN 

, SPACE 
methylph¢~ldi, PROPN 
~, PUNCT 
om, ADP 
~, X 
h~, PROPN 

, SPACE 
ph, PROPN 
~, PROPN 
yt, PROPN 
o-4, NUM 
~l, PROPN 
~, PUNCT 
yl, PROPN 
tl, PROPN 
i~¢,t, PROPN 
h, PROPN 
~, PUNCT 
n~, NOUN 

, SPACE 
dt{p.t, X 
~, X 
yl)dl, X 
~, PUNCT 
n, CCONJ 
~, PROPN 
cth, PROPN 
~, PUNCT 
e, PROPN 

, SPACE 
di(l, PROPN 
~, PROPN 
Inis~)di, NOUN 
~, PUNCT 
th~, PROPN 

, SPACE 
dl, PROPN 
phi, PROPN 
~, NOUN 
ld, PROPN 
IL~'~eth, PROPN 
~, PUNCT 
a~, PROPN 
L, PROPN 
Sk|¢rogcacous, PROPN 
Ohomog, PROPN 
©, PROPN 
nQous, PROPN 

, SPACE 
o, X 
$, SYM 
o, NOUN 
~, PUNCT 
13o, X 
2~, PROPN 
2$o, PROPN 

, SPACE 
tur, PROPN 
~, NOUN 
v{r, PROPN 
number, NOUN 

, SPACE 
Fig, PROPN 
Comparison, PROPN 
reactivity, NOUN 
|, NOUN 
40, NUM 
°, NUM 
C, NOUN 
supported, VERB 
catalyst, NOUN 
BI, PROPN 
50, NUM 
°, NOUN 
C, NOUN 
reaeion, NOUN 
different, ADJ 
diazoalkanes, NOUN 
turnover, NOUN 

, SPACE 
number, NOUN 
TON, PROPN 
equal, ADJ 
mmol, PROPN 
product, NOUN 
retool, NOUN 
rhodium, NOUN 


, SPACE 
M.E., PROPN 
Schneider, PROPN 
.,,l, PUNCT 
Journal, PROPN 
qtr, NOUN 
Organometallic, PROPN 
Chemistry, PROPN 
520, NUM 
¢1996, SYM 
181, NUM 
186, NUM 
185, NUM 

, SPACE 
Table, PROPN 
4, NUM 

, SPACE 
Preparation, PROPN 
supported, VERB 
iridium, NOUN 
catalysts, NOUN 
data, NOUN 
activity, NOUN 
selectivity, NOUN 
reaction, NOUN 
ethene, PROPN 
diphenyldiazomethane, NOUN 
TON, PROPN 

, SPACE 
lhXtC., PROPN 
H, PROPN 
a)2, PROPN 
l., PROPN 

, SPACE 
mmol, PROPN 
product, NOUN 
mmol, PROPN 
iridium))A, VERB 
D, PROPN 
E, PROPN 
~, PUNCT 
immobilized, VERB 
catalysts, NOUN 
A6, ADV 
E7, PROPN 

, SPACE 
atmC2H, VERB 
4, NUM 

, SPACE 
Catalyst, PROPN 
preparation, NOUN 
Catalytic, ADJ 
olefin, NOUN 
synthesis, NOUN 

, SPACE 
Support, PROPN 
X, PROPN 
Catalyst, PROPN 
Ir, PROPN 
content, NOUN 
Conversion, PROPN 
40, NUM 
°, NUM 
C, NOUN 
60, NUM 
°, NUM 
C, NOUN 

, SPACE 
material, NOUN 
~, PUNCT 
immobilization, NOUN 
TON, NOUN 
Ratio, NOUN 
8:9, NUM 
TON, NOUN 
Ratio, NOUN 
8:9, NUM 

, SPACE 
reaction, NOUN 

, SPACE 
CI, PROPN 
A6, ADP 
0.3, NUM 
30, NUM 
13, NUM 
15:85, NUM 

, SPACE 
OAc, NOUN 
A7, NOUN 
.0, NUM 
>, X 
95, NUM 
3, NUM 
33:67, NUM 
5, NUM 
40:60, NUM 

, SPACE 
D, PROPN 
OAc, NOUN 
7, NUM 
1.0, NUM 
>, SYM 
95, NUM 
7, NUM 
15:85, NUM 
7, NUM 
12:88, NUM 

, SPACE 
E, NOUN 
OAc, VERB 
E7, PROPN 
1.0, NUM 
>, NOUN 
95, NUM 
14, NUM 
68:32, NUM 
l0, NOUN 
71:29, NUM 

, SPACE 
3, X 
Experimental, ADJ 
tl, NOUN 
tails, NOUN 

, SPACE 
reactions, NOUN 
carried, VERB 
argon, NOUN 

, SPACE 
Schlenk, PROPN 
tube, NOUN 
techniques, NOUN 
Solvents, NOUN 
dried, VERB 
stan-, NOUN 

, SPACE 
dard, NOUN 
procedures, NOUN 
prior, ADV 
use, VERB 
Ethene, PROPN 
purchased, VERB 

, SPACE 
commercial, ADJ 
suppliers, NOUN 

, SPACE 
purification, NOUN 
starting, NOUN 
materials, NOUN 
RhCI(C, X 
2, NUM 
H, NOUN 
4)2, PROPN 
2, NUM 
1, NUM 

, SPACE 
14, NUM 
Rh(O2CCH3)(C2H4)2]2, X 
2, X 
5, NUM 
Rh(acac)-, X 

, SPACE 
C:,H4, NOUN 
21, NUM 
3, X 
i5, NOUN 
Rh(f3, PROPN 
acac)(C2H4)2, ADP 
4, X 
16, NUM 

, SPACE 
Rh(f6, PROPN 
acac)(C2H4, PROPN 
5, X 
17, NUM 
IrCI(C2H4)2, X 
2, NUM 
6, NUM 
18, NUM 

, SPACE 
h(O2CCH3)(C2H4).,]:~, PROPN 
7, NUM 
5, X 
prepared, VERB 

, SPACE 
described, VERB 
literature, NOUN 

, SPACE 
Silica, PROPN 
Merck, PROPN 
Kieselgel, PROPN 
60, NUM 
0.2, NUM 
0.5, NUM 
mm, NOUN 
diameter, NOUN 

, SPACE 
magnesium, NOUN 
oxide, NOUN 
Merck, PROPN 
heavy, ADJ 
powder, NOUN 

, SPACE 
pretreated, VERB 
180, NUM 
°, NUM 
C, NOUN 
10, NUM 
mbar, NOUN 
14, NUM 
h., NOUN 
con-, ADJ 

, SPACE 
tent, NOUN 
hydroxyl, NOUN 
groups, NOUN 
determined, VERB 
th~, PROPN 
method, NOUN 

, SPACE 
7, NUM 
~, NOUN 
rewitinov, NOUN 
CHaMgl, PROPN 
anisol, PROPN 
modified, VERB 

, SPACE 
apparatus, NOUN 
described, VERB 
Ref, PROPN 
19, NUM 
Si, PROPN 
Mg, PROPN 
OH)-con-, PROPN 

, SPACE 
tent, NOUN 
found, VERB 
1.8mmol(OH)g, PROPN 
~, PROPN 
t, PROPN 
pds, NOUN 

, SPACE 
2.3, NUM 
mmol(OH)g, X 
~l, PUNCT 
Ixhn, PROPN 
D, PROPN 
Scheme, PROPN 
2, NUM 

, SPACE 
NMR, PROPN 
spectra, NOUN 
recorded, VERB 
room, NOUN 
temperature, NOUN 

, SPACE 
Bruker, PROPN 
AC, PROPN 
200, NUM 
instruments, NOUN 
GC, PROPN 
MS, PROPN 
analyses, NOUN 

, SPACE 
caiTied, VERB 
liP, NOUN 
GCD, PROPN 
1800A, PROPN 
system, NOUN 

, SPACE 
electron, NOUN 
ionisation, NOUN 
El, NOUN 
detector, NOUN 

, SPACE 
3.1, X 
Prelmration, NOUN 
support, NOUN 
material, NOUN 
B, NOUN 

, SPACE 
suspension, NOUN 
6.65, NUM 
g, NOUN 
silica, PROPN 
15, NUM 
mi, NOUN 
hexane, NOUN 

, SPACE 
treated, VERB 
1.45ml, NUM 
12.7retool, PROPN 
SiCI, PROPN 
4, NUM 

, SPACE 
resulting, VERB 
mixture, NOUN 
shaken, VERB 
room, NOUN 
temperature, NOUN 

, SPACE 
2, NUM 
h, NOUN 
formation, NOUN 
gaseous, ADJ 
HC, PROPN 
subsided, VERB 

, SPACE 
solvent, NOUN 
removed, VERB 
residue, NOUN 
extracted, VERB 

, SPACE 
portions, NOUN 
10, NUM 
ml, NOUN 
pentane, NOUN 
washings, NOUN 
pH, PRON 

, SPACE 
neutral, ADJ 
product, NOUN 
dried, VERB 
vacuo, PROPN 

, SPACE 
3.2, NUM 
Preparation, NOUN 
support, NOUN 
material, NOUN 
C, NOUN 

, SPACE 
suspension, NOUN 
7.79, NUM 
g, NOUN 
silica, PROPN 
20, NUM 
ml, NOUN 
hexane, NOUN 

, SPACE 
treated, VERB 
1.62ml, PROPN 
14.8retool, NUM 
TiCI, PROPN 
4, NUM 

, SPACE 
resulting, VERB 
mixture, NOUN 
shaken, VERB 
room, NOUN 
temperature, NOUN 

, SPACE 
2, NUM 
h, NOUN 
formation, NOUN 
gaseous, ADJ 
HCI, PROPN 
subsided, VERB 

, SPACE 
solvent, NOUN 
removed, VERB 
residue, NOUN 
extracted, VERB 

, SPACE 
portions, NOUN 
10, NUM 
ml, NOUN 
pentane, NOUN 
washings, NOUN 
pH, PRON 

, SPACE 
neutral, ADJ 
product, NOUN 
dried, VERB 
vacuo, PROPN 
3.3, NUM 
Preparation, NOUN 
support, NOUN 
material, NOUN 
E, NOUN 

, SPACE 
suspension, NOUN 
1.49, NUM 
g, NOUN 
magnesium, NOUN 
oxide, NOUN 
D, NOUN 

, SPACE 
10ml, NOUN 
hexane, NOUN 
treated, VERB 
4470, NUM 
3.90mmol, PROPN 

, SPACE 
SiCi, PROPN 
4, NUM 
resulting, VERB 
mixture, NOUN 
shaken, VERB 
room, NOUN 
tem-, NOUN 

, SPACE 
perature, NOUN 
2h, NOUN 
formation, NOUN 
gaseous, ADJ 
HCI, PROPN 

, SPACE 
subsided, VERB 
solvent, NOUN 
removed, VERB 
residue, NOUN 

, SPACE 
extracted, VERB 
portions, NOUN 
10, NUM 
ml, NOUN 
pentane, NOUN 

, SPACE 
washings, NOUN 
pH, ADV 
neutral, ADJ 
product, NOUN 
dried, VERB 

, SPACE 
vacuo, PROPN 

, SPACE 
3.4, X 
Preparation, NOUN 
support, NOUN 
material, NOUN 
F, PROPN 

, SPACE 
suspension, NOUN 
2.10, NUM 
g, PROPN 
silica, PROPN 
10ml, NOUN 
hexane, NOUN 

, SPACE 
treated, VERB 
1.51, NUM 
ml, NOUN 
3.78, NUM 
mmol, PROPN 
2.5, NUM 
N, NUM 
solution, NOUN 

, SPACE 
BuLl, PROPN 
hexane, NOUN 
shaken, VERB 
30min, NOUN 
room, NOUN 

, SPACE 
temperature, NOUN 
solvent, NOUN 
removed, VERB 
residue, NOUN 

, SPACE 
extracted, VERB 
twice, ADV 
portions, NOUN 
10ml, NOUN 
hexane, NOUN 

, SPACE 
resulting, VERB 
solid, ADJ 
suspended, VERB 
10ml, NOUN 
hexane, NOUN 
rod, NOUN 

, SPACE 
treated, VERB 
4300,1, NOUN 
3.78, NUM 
retool)of, NOUN 
SiCI4, PROPN 
re:~ulting, NOUN 

, SPACE 
mixture, NOUN 
shaken, VERB 
room, NOUN 
temperature, NOUN 
2h, NUM 

, SPACE 
solvent, NOUN 
removed, VERB 
residue, NOUN 
extracted, VERB 

, SPACE 
times, NOUN 
portions, NOUN 
10mi, NOUN 
ether, NOUN 
remove, VERB 
LiCI, PROPN 

, SPACE 
product, NOUN 
dried, VERB 
vacuo, PROPN 

, SPACE 
3.5, X 
General, ADJ 
procedure, NOUN 
jbr, VERB 
preparation, NOUN 
catao, NOUN 

, SPACE 
lysts, NOUN 

, SPACE 
atmosphere, NOUN 
ethene, PROPN 
suspension, NOUN 

, SPACE 
2.00, NUM 
g, NOUN 
suppotl, NOUN 
material, NOUN 
F, NOUN 
10ml, NOUN 
hexane, NOUN 

, SPACE 
treated, VERB 
solution, NOUN 
1, NUM 
5, NUM 
0.194, NUM 
mmol, PROPN 
Rh, PROPN 

, SPACE 
6, NUM 
7, NUM 
0.104, NUM 
mmoi, NOUN 
Ir, PROPN 
15, NUM 
mi, NOUN 
hexane, NOUN 
mixture, NOUN 

, SPACE 
shaken, VERB 
loom, NOUN 
temperature, NOUN 
pressure, NOUN 

, SPACE 
atm, NOUN 
ethene, PROPN 
2, NUM 
h., NOUN 
solvent, NOUN 
removed, VERB 

, SPACE 
residue, NOUN 
washed, VERB 
times, NOUN 
20ml, PROPN 
pentane, NOUN 

, SPACE 
solid, ADJ 
dried, VERB 
vacuo, PROPN 

, SPACE 
3.6, X 
Procedure, NOUN 
catalytic, ADJ 
reaction, NOUN 
ethene, NOUN 

, SPACE 
diphenyldiazomethane, NOUN 
supported, VERB 
catalysts, NOUN 

, SPACE 
suspension, NOUN 
150, NUM 
mg, NOUN 
immobilized, VERB 
cata-, PROPN 

, SPACE 
lyst, NOUN 
6, NUM 
ml, NOUN 
methylcyclohexane, NOUN 
40, NUM 
60, NUM 
°, NOUN 
C, NOUN 

, SPACE 
BI, PROPN 
catalyst, NOUN 
50, NUM 
70, NUM 
80, NUM 
°, NUM 
C, NOUN 
solution, NOUN 


, SPACE 
186, NUM 
M.E., PROPN 
Schneider, PROPN 
et, PROPN 
al./Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
520, NUM 
1996, NUM 
181, NUM 
186, NUM 

, SPACE 
0.1, NUM 
M, PROPN 
diphenyldiazomethane, NOUN 
methylcyclohexane, PROPN 

, SPACE 
added, VERB 
dropwise, ADJ 
whiie, NOUN 
bubbling, VERB 
ethene, ADJ 

, SPACE 
suspension, NOUN 
catalytic, ADJ 
reaction, NOUN 
finished, VERB 

, SPACE 
violet, ADJ 
colour, NOUN 
diazoalkane, NOUN 
solution, NOUN 

, SPACE 
disappear, VERB 
addition, NOUN 
reaction, NOUN 
mixture, NOUN 

, SPACE 
solvent, NOUN 
removed, VERB 
vacuo, PROPN 
residue, NOUN 
dissolved, VERB 

, SPACE 
small, ADJ 
hexane, NOUN 
order, NOUN 
destroy, VERB 

, SPACE 
excess, NOUN 
diphenyldiazomethane, NOUN 
separate, VERB 
reac-, ADJ 

, SPACE 
tion, NOUN 
products, NOUN 
catalyst, NOUN 
mixture, NOUN 
filtered, VERB 

, SPACE 
AI203, PROPN 
neutral, ADJ 
activity, NOUN 
grade, NOUN 
HI, PROPN 
height, NOUN 
column, NOUN 

, SPACE 
3, NUM 
cm, NOUN 
eluate, NOUN 
gave, VERB 
evaporation, NOUN 
solvent, NOUN 

, SPACE 
white, ADJ 
solid, ADJ 
l.l, NOUN 
diphenylpropene, NOUN 
oil, NOUN 

, SPACE 
mixture, NOUN 
l.l, NOUN 
diphenylpropene, NOUN 
l.l, PROPN 
diphenyl-, NOUN 

, SPACE 
cyclopropane, NOUN 
ratio, NOUN 
products, NOUN 
determined, VERB 

, SPACE 
integration, NOUN 
characteristic, ADJ 
signals, NOUN 
~H, PUNCT 
NMK, PROPN 

, SPACE 
spectra, PROPN 
GC, PROPN 
analysis, NOUN 

, SPACE 
3.7, X 
Procedure, NOUN 
catalytic, ADJ 
reaction, NOUN 
presence, NOUN 

, SPACE 
HCI, PROPN 
SiCl, PROPN 
CH~)3, NOUN 
SiCl, PROPN 

, SPACE 
solution, NOUN 
10, NUM 
mg, X 
0.026mmol, PROPN 
1, NUM 
6ml, NOUN 

, SPACE 
toluene, NOUN 
40, NUM 
°, NOUN 
C, NOUN 
treated, VERB 
solution, NOUN 

, SPACE 
0.05, NUM 
M, PROPN 
HC, PROPN 
toluene, PROPN 
SiC, PROPN 
4, NUM 
CH.~)3SiC, PROPN 

, SPACE 
bubbling, VERB 
ethene, NOUN 
solution, NOUN 
following, VERB 

, SPACE 
catalytic, ADJ 
reaction, NOUN 
described, VERB 
Section, NOUN 
3.6, NUM 

, SPACE 
3.8, X 
Procedure, NOUN 
catalytic, ADJ 
reaction, NOUN 
ethene, PROPN 

, SPACE 
d~'erem, PROPN 
diazoalkanes, VERB 

, SPACE 
suspension, NOUN 
150rag, NUM 
BI, PROPN 
6ml, NOUN 
toluene, NOUN 

, SPACE 
50, NUM 
°, NUM 
C, NOUN 
solution, NOUN 
0.1, NUM 
M, PROPN 
diazoalkane, NOUN 
Fig, PROPN 

, SPACE 
toluene, NOUN 
added, VERB 
dropwise, ADV 
bubbling, VERB 
ethene, NOUN 

, SPACE 
suspension, NOUN 
catalytic, ADJ 
refection, NOUN 
fin-, ADJ 

, SPACE 
ished, VERB 
violet, NOUN 
colour, NOUN 
diazoalkane, NOUN 
solution, NOUN 

, SPACE 
disappear, VERB 
addition, NOUN 
~action, NOUN 
mixture, NOUN 

, SPACE 
mixture, NOUN 
worked, VERB 
described, VERB 
Section, NOUN 
3.6, NUM 

, SPACE 
ratio, NOUN 
cyclopropane, NOUN 
olefin, NOUN 
derivatives, NOUN 

, SPACE 
determined, VERB 
integration, NOUN 
charactet'istic, ADJ 
sign~*~Is, NOUN 

, SPACE 
t, NOUN 
H, PROPN 
NMR, PROPN 
spectra, NOUN 

, SPACE 
Acknowledgements, NOUN 

, SPACE 
work, NOUN 
supported, VERB 
Fonds, PROPN 
der, NOUN 
Chemi-, PROPN 

, SPACE 
schen, PROPN 
industrie, PROPN 
Deutsche, PROPN 
Forschungsgemein-, CCONJ 

, SPACE 
schaft, NOUN 
Sonderforschungsbcreich, NOUN 
347, NUM 
l, NOUN 
~, NOUN 
chnical, ADJ 
assis-, NOUN 

, SPACE 
tance, NOUN 
Mr., PROPN 
R., PROPN 
Findeis, PROPN 
gratefully, ADV 
acknowledged, VERB 
References, NOUN 

, SPACE 
J., PROPN 
Wolf, PROPN 
L., PROPN 
Brandt, PROPN 
A., PROPN 
Fries, PROPN 
H., PROPN 
Wemer, PROPN 
Angew, PROPN 
Chem, NOUN 
102, NUM 

