TYT.U, PROPN 
finally, ADV 
decreases, VERB 
zero, NUM 
high, ADJ 
anneal-, NOUN 

, SPACE 
ing, ADJ 
temperature, NOUN 
graphitization, NOUN 
occurred, VERB 
21, NUM 

, SPACE 
initial, ADJ 
increase, NOUN 
I,,/, PROPN 
interpreted, VERB 
evi-, PROPN 

, SPACE 
dencing, VERB 
crystallites, NOUN 
grow, VERB 
size, NOUN 
and/or, CCONJ 
num-, PROPN 

, SPACE 
ber, NOUN 
effects, NOUN 
momentum, NOUN 
conservation, NOUN 

, SPACE 
important, ADJ 
momentum, NOUN 
conserved, VERB 
large, ADJ 
crystals, NOUN 

, SPACE 
Io, PROPN 
ratio, NOUN 
starts, VERB 
decreasing, VERB 
hypothesis, NOUN 
anneal-, X 

, SPACE 
ing, PROPN 
induces, VERB 
monotone, ADJ 
increase, NOUN 
sp, ADJ 
average, ADJ 
cluster, NOUN 

, SPACE 
size, NOUN 
initial, ADJ 
increasing, VERB 
trend, NOUN 
/lo, PROPN 
ratio, NOUN 

, SPACE 
198, NUM 
GA, NOUN 
Baratta, PROPN 
et, NOUN 
aL, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
116, NUM 
1996, NUM 
195, NUM 
199, NUM 

, SPACE 
agreement, NOUN 
experiments, NOUN 
carried, VERB 
amor-, ADJ 

, SPACE 
phous, ADJ 
carbon, NOUN 
films, NOUN 
different, ADJ 
order, NOUN 
degree, NOUN 
fact, NOUN 

, SPACE 
Yoshikawa, PROPN 
et, PROPN 
al, PROPN 
22, X 
found, VERB 
In/, PROPN 
ratio, NOUN 
related, VERB 

, SPACE 
size, NOUN 
distribution, NOUN 
sp, NOUN 
cluster, NOUN 
poor, ADJ 
ordered, VERB 

, SPACE 
amorphous, ADJ 
carbon, NOUN 
films, NOUN 
case, NOUN 
larger, ADJ 
clusters, NOUN 

, SPACE 
contribute, VERB 
preferentially, ADV 
D, ADJ 
line, NOUN 
hand, NOUN 

, SPACE 
relation, NOUN 
found, VERB 
181, NUM 
Zn, PROPN 
Zo, PROPN 
l, NOUN 
L, PROPN 
valid, ADJ 

, SPACE 
decreasing, VERB 
curve, NOUN 
crystal, NOUN 
size, NOUN 

, SPACE 
effects, NOUN 
cause, VERB 
decrease, NOUN 
intensity, NOUN 
ratio, NOUN 

, SPACE 
initial, ADJ 
increase, NOUN 
Zn, PROPN 
Zo, ADJ 
ratio, NOUN 
observed, VERB 

, SPACE 
irradiated, VERB 
samples, NOUN 
real, ADJ 
analogy, NOUN 
Ref, PROPN 
20, X 

, SPACE 
apply, VERB 
relation, NOUN 
Z, PROPN 
l, NOUN 
L, PROPN 
point, NOUN 
Fig, PROPN 
2, NUM 

, SPACE 
lowest, ADJ 
panel, NOUN 
provides, VERB 
comparison, NOUN 

, SPACE 
Fig, PROPN 
3, NUM 
Ref, PROPN 
la, X 
micro, PROPN 
crystal, NOUN 
size, NOUN 
L, PROPN 
=, PRON 
40, NUM 

, SPACE 
crystal, NOUN 
size, NOUN 
found, VERB 
Raman, PROPN 
spectroscopy, NOUN 
correct, ADJ 

, SPACE 
imply, VERB 
spheroidal, NOUN 
grains, NOUN 

, SPACE 
ordered, VERB 
physical, ADJ 
size, NOUN 
50, NUM 
average, ADJ 

, SPACE 
given, VERB 
TEM, PROPN 
analysis, NOUN 

, SPACE 
situ, NOUN 
Raman, PROPN 
spectroscopy, NOUN 
frozen, ADJ 
films, NOUN 
T, NOUN 
=, SYM 
10, NUM 

, SPACE 
K, PROPN 
benzene, NOUN 
butane, NOUN 
irradiated, VERB 
3, NUM 
keV, NOUN 
He+, NOUN 

, SPACE 
ions, NOUN 
6, NUM 
showed, VERB 
irradiated, VERB 
targets, NOUN 
converted, VERB 

, SPACE 
H, NOUN 
C, NOUN 
relatively, ADV 
low, ADJ 
degree, NOUN 
order, NOUN 

, SPACE 
irradiation, NOUN 
H, NOUN 
C, NOUN 
room, NOUN 
temperature, NOUN 
showed, VERB 

, SPACE 
opposite, ADJ 
behaviour, NOUN 
respect, NOUN 
found, VERB 
AC, PROPN 

, SPACE 
sample, NOUN 
particular, ADJ 
Z, PROPN 
ratio, NOUN 
found, VERB 
increase, VERB 

, SPACE 
dose, NOUN 
saturation, NOUN 
value, NOUN 
optical, ADJ 

, SPACE 
gap, NOUN 
H, PROPN 
C, PROPN 
ratio, NOUN 
measured, VERB 
ERDA, PROPN 

, SPACE 
decreased, VERB 
results, NOUN 
interpreted, VERB 
terms, NOUN 

, SPACE 
increasing, VERB 
average, ADJ 
sp, NOUN 
cluster, NOUN 
size, NOUN 
attributed, VERB 
prefer-, NOUN 

, SPACE 
ential, ADJ 
hydrogen, NOUN 
loss, NOUN 
sp2, NOUN 
sites, NOUN 
respect, NOUN 
sp3, ADJ 
sites, NOUN 

, SPACE 
evidenced, VERB 
infrared, PROPN 
spectroscopy, NOUN 
6, NUM 
Analogous, ADJ 
re-, ADP 

, SPACE 
sults, NOUN 
obtained, VERB 
bombarding, VERB 
polystyrene, ADJ 
film, NOUN 

, SPACE 
240, NUM 
keV, NOUN 
Ar+, ADJ 
ions, NOUN 
room, NOUN 
temperature, NOUN 
23, NUM 

, SPACE 
results, NOUN 
obtained, VERB 
AC, PROPN 
H, NOUN 
C, NOUN 
samples, NOUN 

, SPACE 
similar, ADJ 
found, VERB 
Compagnini, PROPN 
et, PROPN 
al, PROPN 
24, NUM 
set, NOUN 

, SPACE 
samples, NOUN 
high, ADJ 
temperature, NOUN 
annealed, VERB 
900, NUM 
°, NUM 
C, NOUN 
amor-, VERB 

, SPACE 
phous, ADJ 
carbon, NOUN 
called, VERB 
HGC, PROPN 
Hydrogenated, PROPN 
Graphitic, PROPN 
Car-, PROPN 

, SPACE 
bon, PROPN 
conventionally, ADV 
ion, NOUN 
produced, VERB 
H, NOUN 
C, NOUN 
carbon, NOUN 

, SPACE 
HGC, PROPN 
possesses, VERB 
optical, ADJ 
energy, NOUN 
gap, NOUN 
0.1, NUM 
eV, NUM 

, SPACE 
sp2, NOUN 
sp3, ADJ 
carbon, NOUN 
fraction, NOUN 
80, NUM 
EELS, PROPN 
H, NOUN 

, SPACE 
content, NOUN 
15, NUM 
at.%, PROPN 
H, NOUN 
C, PROPN 
highly, ADV 
hydro-, ADJ 

, SPACE 
genated, VERB 
sample, NOUN 
40, NUM 
at.%, PROPN 
energy, NOUN 
gap, NOUN 
1.5, NUM 
eV, NUM 

, SPACE 
sp2, ADJ 
sp3, ADJ 
carbon, NOUN 
fraction, NOUN 
30, NUM 
Ion, NOUN 
beam, NOUN 

, SPACE 
irradiation, NOUN 
300, NUM 
keV, NOUN 
Ar+, NOUN 
showed, VERB 
H, NOUN 
C, PROPN 

, SPACE 
optical, ADJ 
energy, NOUN 
gap, NOUN 
decreases, VERB 
reaching, VERB 
0.5, NUM 
eV, NOUN 

, SPACE 
H, PROPN 
content, NOUN 
decreases, VERB 
18, NUM 
sp2, ADJ 
sp3, ADJ 

, SPACE 
carbon, NOUN 
fraction, NOUN 
increase, VERB 
65, NUM 
HGC, PROPN 
process, NOUN 

, SPACE 
reversed, VERB 
particular, ADJ 
sp2, ADJ 
sp3, ADJ 
carbon, NOUN 
fraction, NOUN 
de-, X 

, SPACE 
creases, VERB 
saturation, NOUN 
value, NOUN 
70, NUM 
final, ADJ 

, SPACE 
result, NOUN 
amorphous, ADJ 
structure, NOUN 
physical, ADJ 

, SPACE 
properties, NOUN 
independently, ADV 
starting, NOUN 
sample, NOUN 
simi-, ADJ 

, SPACE 
larity, NOUN 
observed, VERB 
case, NOUN 
fact, NOUN 
Raman, PROPN 

, SPACE 
spectrum, NOUN 
IX, NOUN 
frozen, ADJ 
benzene, NOUN 
irradiated, VERB 

, SPACE 
highest, ADJ 
dose, NOUN 
1000, NUM 
eV, PROPN 
C, NOUN 
atom, NOUN 
6, X 
similar, ADJ 

, SPACE 
Raman, PROPN 
spectrum, NOUN 
AC, PROPN 
sample, NOUN 
660, NUM 
eV, X 
C, NOUN 
atom, NOUN 

, SPACE 
disordered, ADJ 
ion, NOUN 
beam, NOUN 
irradiation, NOUN 
competitive, ADJ 
processes, NOUN 

, SPACE 
considered, VERB 
graphitization, NOUN 
amorphization, NOUN 

, SPACE 
related, VERB 
energy, NOUN 
release, NOUN 
form, NOUN 

, SPACE 
heat, NOUN 
thermal, ADJ 
spikes, NOUN 
inside, ADP 
collision, NOUN 
cascade, NOUN 
sp3, NOUN 

, SPACE 
sp2, VERB 
conversion, NOUN 
H, PROPN 
loss, NOUN 

, SPACE 
caused, VERB 
displacement, NOUN 
collisions, NOUN 
depends, VERB 

, SPACE 
size, NOUN 
crystallites, NOUN 
considered, VERB 

, SPACE 
characteristic, ADJ 
time, NOUN 
relaxation, NOUN 
excitation, NOUN 

, SPACE 
generated, VERB 
ion, NOUN 
order, NOUN 
picosecond, NOUN 

, SPACE 
equilibrium, NOUN 
processes, NOUN 
like, ADP 
annealing, NOUN 

, SPACE 
possible, ADJ 
Ref, PROPN 
25, NUM 
comparison, NOUN 
laser, NOUN 

, SPACE 
irradiation, NOUN 
ion, NOUN 
electron, NOUN 
bombardment, NOUN 
thermal, ADJ 

, SPACE 
annealing, VERB 
H, NOUN 
C, PROPN 
According, VERB 
Ref, PROPN 
24, X 
saturation, NOUN 

, SPACE 
effect, NOUN 
competition, NOUN 
pro-, NOUN 

, SPACE 
cesses, NOUN 
saturation, NOUN 
reached, VERB 
equal, ADJ 

, SPACE 
analogy, NOUN 
Ref, PROPN 
24, NUM 
imply, VERB 
ion, NOUN 

, SPACE 
irradiation, NOUN 
AC, PROPN 
sample, NOUN 
produces, VERB 
strong, ADJ 
decluster-, NOUN 

, SPACE 
ing, NOUN 
atomic, ADJ 
configuration, NOUN 
sp2, ADJ 
carbon, NOUN 
compo-, PROPN 

, SPACE 
nent, NOUN 
amorphization, NOUN 
process, NOUN 
observed, VERB 
ion, NOUN 

, SPACE 
irradiated, VERB 
HOPG, PROPN 
9, NUM 
prevails, VERB 
graphitization, NOUN 
prob-, NOUN 

, SPACE 
ably, ADV 
initial, ADJ 
sp2, NOUN 
sp3, ADJ 
carbon, NOUN 
ratio, NOUN 
relatively, ADV 

, SPACE 
high, ADJ 
AC, PROPN 
sample, NOUN 
testified, VERB 
low, ADJ 
H, NOUN 

, SPACE 
content, NOUN 
initial, ADJ 
G, NOUN 
line, NOUN 
peak, NOUN 
position, NOUN 
Ion, NOUN 
irradia-, ADJ 

, SPACE 
tion, NOUN 
conventional, ADJ 
HC, PROPN 
contrast, NOUN 
produces, VERB 
cluster-, NOUN 

, SPACE 
ing, NOUN 
sp2, ADJ 
carbon, NOUN 
fraction, NOUN 
suggesting, VERB 
graphitiza-, ADJ 

, SPACE 
tion, NOUN 
accompanied, VERB 
H, PROPN 
loss, NOUN 
driving, VERB 
process, NOUN 

, SPACE 
structural, ADJ 
transformation, NOUN 
case, NOUN 
initial, ADJ 

, SPACE 
sp2, NOUN 
sp3, ADJ 
carbon, NOUN 
ratio, NOUN 
low, ADJ 
6, NUM 
structure, NOUN 

, SPACE 
highly, ADV 
disordered, VERB 
testified, VERB 
corresponding, ADJ 
Raman, PROPN 

, SPACE 
spectra, PROPN 
graphitization, NOUN 
prevails, VERB 
amorphization, NOUN 

, SPACE 
6, X 
Astrophysical, ADJ 
applications, NOUN 

, SPACE 
Raman, PROPN 
study, NOUN 
Wopenka, PROPN 
121, NUM 
Introduction, PROPN 

, SPACE 
20, NUM 
IDPs, NOUN 
classified, VERB 
6, NUM 
different, ADJ 
groups, NOUN 

, SPACE 
order, NOUN 
degree, NOUN 
decreases, VERB 
group, NOUN 
1, NUM 
group, NOUN 
6, NUM 

, SPACE 
testified, VERB 
increasing, VERB 
band, NOUN 
width, NOUN 

, SPACE 
decreasing, VERB 
Z&Z, PROPN 
ratio, NOUN 
Raman, PROPN 
spectrum, NOUN 

, SPACE 
ordered, VERB 
groups, NOUN 
similar, ADJ 
AC, PROPN 
grains, NOUN 

, SPACE 
irradiation, NOUN 
result, NOUN 
indicates, VERB 
AC, PROPN 
grains, NOUN 

, SPACE 
good, ADJ 
analogues, NOUN 
carbonaceous, ADJ 
phase, NOUN 
IDPs, NOUN 

, SPACE 
belonging, VERB 
ordered, ADJ 
groups, NOUN 
1, NUM 
2, NUM 

, SPACE 
structural, ADJ 
point, NOUN 
view, NOUN 

, SPACE 
shown, VERB 
IDPs, NOUN 
exposed, VERB 
penetrating, NOUN 

, SPACE 
E, NOUN 
=, PROPN 
100, NUM 
keV, PROPN 
solar, ADJ 
proton, NOUN 
flux, NOUN 
total, ADJ 
dose, NOUN 

, SPACE 
order, NOUN 
10, NUM 
100, NUM 
eV, PROPN 
mol, PROPN 
104, NUM 
lo5, NOUN 
yr, NOUN 
spent, VERB 

, SPACE 
interplanetary, ADJ 
medium, NOUN 
collection, NOUN 
Earth, PROPN 

, SPACE 
3, NUM 
flux, NOUN 
solar, ADJ 
wind, NOUN 
particles, NOUN 
provides, VERB 

, SPACE 
greater, ADJ 
dose, NOUN 
i04, ADJ 
lo5, NOUN 
eV, PROPN 
mol, PROPN 
depth, NOUN 

, SPACE 
=, SYM 
0.02, NUM 
j.4,m, NOUN 
scenario, NOUN 
investigating, VERB 

, SPACE 
possibility, NOUN 
different, ADJ 
order, NOUN 
degree, NOUN 
exhibited, VERB 

, SPACE 
IDPs, NOUN 
explained, VERB 
Fig, PROPN 
2, NUM 
different, ADJ 

, SPACE 
ion, NOUN 
irradiation, NOUN 
dose, NOUN 
corresponding, VERB 
time, NOUN 
spent, VERB 

, SPACE 
interplanetary, ADJ 
medium, NOUN 
collection, NOUN 
Earth, PROPN 
atmo-, NOUN 

, SPACE 
sphere, NOUN 

, SPACE 
GA, PROPN 
Baratta, PROPN 
et, NOUN 
al./NwA., PROPN 
Instr, PROPN 
Meth, PROPN 
Phys, PROPN 
Res, PROPN 
B, PROPN 
II6, PROPN 
1996, NUM 
195, NUM 
199, NUM 
199, NUM 

, SPACE 
References, PROPN 
141, NUM 

, SPACE 
l, X 
R.E., PROPN 
Johnson, PROPN 
Energetic, ADJ 
Charged, PROPN 
Particle, PROPN 
Interaction, PROPN 

, SPACE 
Atmospheres, PROPN 
Surfaces, PROPN 
Springer, PROPN 
Berlin, PROPN 
1990, NUM 

, SPACE 
2, X 
W.L., PROPN 
Brown, PROPN 
L.J., PROPN 
Lanzerotti, PROPN 
J.M., PROPN 
Poate, PROPN 
W.M., PROPN 
Augus-, PROPN 

, SPACE 
tiniak, NOUN 
Phys, PROPN 
Rev., PROPN 
Lett, PROPN 
40, NUM 
1978, NUM 
1027, NUM 

, SPACE 
3, X 
G., PROPN 
Strazzulla, PROPN 
R.E., PROPN 
Johnson, PROPN 
Comets, NOUN 
Post, PROPN 
Hal-, PROPN 

, SPACE 
ley, PROPN 
Era, PROPN 
eds, PROPN 
R., PROPN 
Newbum, PROPN 
Jr., PROPN 
M., PROPN 
Neugebauer, PROPN 
J., PROPN 
Rahe, PROPN 

, SPACE 
Kluwer, PROPN 
Dordrecht, PROPN 
1991, NUM 
p., NOUN 
243, NUM 

, SPACE 
4, X 
G., PROPN 
Strazzulla, PROPN 
G.A., PROPN 
Baratta, PROPN 
R.E., PROPN 
Johnson, PROPN 
B., PROPN 
Donn, PROPN 

, SPACE 
Icarus, PROPN 
91, NUM 
1991, NUM 
101, NUM 

, SPACE 
5, X 
G., PROPN 
Strazzulla, PROPN 
G.A., PROPN 
Baratta, PROPN 
A., PROPN 
Magazzh, PROPN 
Solid, ADJ 
State, PROPN 

, SPACE 
Astrophysics, PROPN 
eds, PROPN 
E., PROPN 
Bussoletti, PROPN 
G., PROPN 
Strazzulla, PROPN 
North-, PROPN 

, SPACE 
Holland, PROPN 
Amsterdam, PROPN 
1991, NUM 
p., NOUN 
403, NUM 

, SPACE 
6, NUM 
G., PROPN 
Strazzulla, PROPN 
G.A., PROPN 
Baratta, PROPN 
Astron, PROPN 
Astrophys, PROPN 
266, NUM 

, SPACE 
1992, NUM 
434, NUM 
151, NUM 

, SPACE 
161, NUM 

, SPACE 
171, NUM 

, SPACE 
h31, NOUN 

, SPACE 
191, NUM 

, SPACE 
DO1, PROPN 

, SPACE 
ml, VERB 

, SPACE 
7, X 
B.S., PROPN 
Elmau, PROPN 
M., PROPN 
Shayegan, PROPN 
M.S., PROPN 
Dresselhaus, PROPN 
H., PROPN 
Mazurek, PROPN 

, SPACE 
G., PROPN 
Dresselhaus, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
25, NUM 
1982, NUM 
4142, NUM 

, SPACE 
8, X 
B.S., PROPN 
Elman, PROPN 
M.S., PROPN 
Dresselhaus, PROPN 
G., PROPN 
Dresselhaus, PROPN 
E.W., PROPN 
Maby, PROPN 

, SPACE 
H., PROPN 
Mazurek, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
24, NUM 
1981, NUM 
1027, NUM 

, SPACE 
9, X 
G., PROPN 
Compagnini, PROPN 
G.A., PROPN 
Baratta, PROPN 
Appl, PROPN 
Phys, NOUN 
Lett, PROPN 
61, NUM 

, SPACE 
1992, NUM 
1796, NUM 
ml, PROPN 

, SPACE 
lo, X 
I.D.R., PROPN 
Mackimron, PROPN 
F.J.M., PROPN 
Rietmeijer, PROPN 
Rev., PROPN 
Geophys, PROPN 
25, NUM 

, SPACE 
1987, NUM 
1527, NUM 
1231, NUM 

, SPACE 
ll, X 
J.P., PROPN 
Bradley, PROPN 
D.E., PROPN 
Brownlee, PROPN 
D.R., PROPN 
Veblen, PROPN 
Science, PROPN 
223, NUM 

, SPACE 
1984, NUM 
65, NUM 
1241, NUM 
G., PROPN 
Compagnini, PROPN 
L., PROPN 
Calcagno, PROPN 
G., PROPN 
Foti, PROPN 
Phys, PROPN 
Rev., PROPN 
I&t, PROPN 
69, NUM 

, SPACE 
1992, NUM 
454, NUM 

, SPACE 
12, NUM 
B., PROPN 
Wopenka, PROPN 
Earth, PROPN 
Planet, PROPN 
Sci, PROPN 
88, NUM 
1988, NUM 
221, NUM 

, SPACE 
13, NUM 
L., PROPN 
Colangeli, PROPN 
V., PROPN 
Mennella, PROPN 
P., PROPN 
Palumbo, PROPN 
A., NOUN 
Rotundi, PROPN 
E., PROPN 

, SPACE 
Bussoletti, PROPN 
Astron, PROPN 
Astrophys, PROPN 
Suppl, PROPN 
113, NUM 
199.5, NUM 
561, NUM 
25, NUM 
R., PROPN 
Kalish, PROPN 
M.E., PROPN 
Adel, PROPN 
Mat, PROPN 
Sci, PROPN 
Forum, PROPN 
52, NUM 
1989, NUM 
427, NUM 
S.A., PROPN 
Sandford, PROPN 
L.J., PROPN 
Allamaudola, PROPN 
A.G.G.M., PROPN 
Tielens, PROPN 
K., PROPN 
Sel-, PROPN 

, SPACE 
gren, NOUN 
M., PROPN 
Tapia, PROPN 
Y., PROPN 
Pendleton, PROPN 
Astrophy, PROPN 
J., PROPN 
371, NUM 
1991, NUM 

, SPACE 
607, NUM 

, SPACE 
F., PROPN 
Spinella, PROPN 
G.A., PROPN 
Baratta, PROPN 
G., PROPN 
Strazzulla, PROPN 
Rev., PROPN 
Sci, PROPN 
Instr, PROPN 

, SPACE 
62, NUM 
1991, NUM 
1743, NUM 

, SPACE 
M., PROPN 
Di, PROPN 
Domenico, PROPN 
jr, PROPN 
S.H., PROPN 
Wemple, PROPN 
P.S., PROPN 
Porto, PROPN 
Phys, PROPN 

, SPACE 
Rev., PROPN 
174, NUM 
1968, NUM 
522, NUM 

, SPACE 
J., PROPN 
Robertson, PROPN 
Adv, PROPN 
Phys, PROPN 
35, NUM 
1986, NUM 
317, NUM 

, SPACE 
F., PROPN 
Tuinstra, PROPN 
J.L., PROPN 
Koenigh, PROPN 
J., PROPN 
Chem, PROPN 
Phys, PROPN 
53, NUM 
1970, NUM 

, SPACE 
1126, NUM 

, SPACE 
D., PROPN 
Beeman, PROPN 
J., PROPN 
Silverman, PROPN 
R., PROPN 
Lynds, PROPN 
M.R., PROPN 
Anderson, PROPN 

, SPACE 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
30, NUM 
1984, NUM 
876, NUM 

, SPACE 
R.O., PROPN 
Dillon, PROPN 
J.A., PROPN 
Wollam, PROPN 
V., PROPN 
Katkanant, PROPN 
Phys, PROPN 
Rev., PROPN 
B, PROPN 
29, NUM 

, SPACE 
1984, NUM 
3482, NUM 

, SPACE 
R.P., PROPN 
Vidano, PROPN 
D.B., PROPN 
Fishbach, PROPN 
Extended, PROPN 
Abstract, PROPN 

, SPACE 
15th, ADJ 
Biennial, PROPN 
Conf, PROPN 
Carbon, PROPN 
eds, PROPN 
F.L., PROPN 
Vogel, PROPN 
W.C., PROPN 

, SPACE 
Foresmau, PROPN 
American, PROPN 
Carbon, PROPN 
Society, PROPN 
University, PROPN 
Park, PROPN 
PA, PROPN 

, SPACE 
19811, NUM 
p., NOUN 
468, NUM 

, SPACE 
R.P., PROPN 
Vidano, PROPN 
Ph.D., NOUN 
thesis, NOUN 
University, PROPN 
Washington, PROPN 
1980, NUM 

, SPACE 
M., PROPN 
Yoshikawa, PROPN 
G., PROPN 
Katagiri, PROPN 
H., PROPN 
Ishida, PROPN 
A., NOUN 
Ishitani, PROPN 
T., PROPN 

, SPACE 
Akamatsu, PROPN 
J., PROPN 
Appl, PROPN 
Phys, PROPN 
64, NUM 
1988, NUM 
6464, NUM 

, SPACE 
G., PROPN 
Foti, PROPN 
R., PROPN 
Reitano, PROPN 
Nucl, PROPN 
Instr, PROPN 
Meth, PROPN 
B, NOUN 
46, NUM 
1990, NUM 

, SPACE 
306, NUM 

, SPACE 
