0LllTM.l, NUM 
Ga, PROPN 
Nl, PROPN 
=, NOUN 
2.011(8, NUM 
Ga, PROPN 
N2, PROPN 
=, PROPN 

, SPACE 
2.006(7, NUM 
Bu, PROPN 
ligands, NOUN 
Ga, PROPN 
Cl7, NOUN 
=, ADJ 
2.002(g, NOUN 

, SPACE 
Ga, PROPN 
C21, PROPN 
=, ADP 
1.985(12, NUM 
>, X 
bridging, VERB 
interaction, NOUN 

, SPACE 
lithium, NOUN 
cation, NOUN 
lone, ADJ 
pair, NOUN 
electrons, NOUN 

, SPACE 
amido, NOUN 
nitrogen, NOUN 
atoms, NOUN 
generates, VERB 
molecular, ADJ 

, SPACE 
core, NOUN 
planar, ADJ 
Ga, PROPN 
NI, PROPN 
Li, PROPN 
N2, PROPN 

, SPACE 
distorted, VERB 
square, ADJ 
Nl, PROPN 
Gal, PROPN 
N2, PROPN 
94.4, NUM 
Gal, PROPN 
N2, PROPN 
Lil, PROPN 

, SPACE 
86.2, NUM 
Nl, PROPN 
Lil, PROPN 
N2, PROPN 
92.2, NUM 
Gal, PROPN 
Nl, PROPN 
Lil, PROPN 
87.1, NUM 
Addi-, ADJ 

, SPACE 
tional, ADJ 
selected, VERB 
bond, NOUN 
distances, NOUN 
angles, NOUN 
4, NUM 
given, VERB 

, SPACE 
Tables, PROPN 
1, NUM 
2, NUM 
Consistent, ADJ 
spectroscopic, NOUN 

, SPACE 
data, NOUN 
presence, NOUN 
diethyl, PROPN 
ether, PROPN 
ligand, NOUN 
complet-, PROPN 

, SPACE 
ing, VERB 
unusual, ADJ 
distorted, VERB 
trigonal, ADJ 
planar, NOUN 
coordination, NOUN 

, SPACE 
Li, PROPN 
cation, NOUN 

, SPACE 
reported, VERB 
synthesis, NOUN 
new, ADJ 
dialkyl, ADJ 

, SPACE 
primary, ADJ 
amido, NOUN 
complexes, NOUN 
gallium, NOUN 

, SPACE 
compounds, NOUN 
dimeric, ADJ 
species, NOUN 
1, NUM 
monomeric, ADJ 

, SPACE 
dialkyl, NOUN 
diamido, VERB 
gallate, ADJ 
complex, NOUN 
41, NUM 
struc-, AUX 

, SPACE 
turally, ADV 
characterized, VERB 
Thermal, ADJ 
studies, NOUN 
anal-, NUM 

, SPACE 
ogous, ADJ 
complexes, NOUN 
currently, ADV 
underway, ADJ 

, SPACE 
2, X 
Experimental, ADJ 
section, NOUN 

, SPACE 
2.1, NUM 
General, ADJ 
procedure, NOUN 

, SPACE 
reactions, NOUN 
carried, VERB 
nitrogen, NOUN 

, SPACE 
filled, VERB 
drybox, NOUN 
nitrogen, NOUN 
standard, ADJ 
Schlenk-, PROPN 

, SPACE 
Fig, PROPN 
2, NUM 
Molecular, ADJ 
structure, NOUN 
atom, NOUN 
numbering, NOUN 
scheme, NOUN 
Bu, PROPN 
Ga[NH(2,6, PROPN 
C, PROPN 
H,],[Li(Et, PROPN 
O, INTJ 
4, NUM 
Hydrogen, NOUN 
atoms, NOUN 
omitted, VERB 

, SPACE 
clarity, NOUN 

, SPACE 
S.T., PROPN 
Barry, PROPN 
D.S., PROPN 
Richeson, PROPN 
Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
510, NUM 
1996, NUM 
103, NUM 
108, NUM 
107, NUM 

, SPACE 
line, NOUN 
techniques, NOUN 
Diethyl, PROPN 
ether, ADV 
hexane, NOUN 
THF, PROPN 
stirred, VERB 
24, NUM 
h., NOUN 
white, ADJ 
precipitate, NOUN 
removed, VERB 

, SPACE 
distilled, VERB 
Na, PROPN 
K, PROPN 
alloy, NOUN 
Toluene, PROPN 
distilled, VERB 

, SPACE 
sodium, NOUN 
Pyridine, PROPN 
py, PROPN 
dried, VERB 
purified, VERB 
distlla-, ADJ 
filtration, NOUN 
filtrate, NOUN 
evaporated, VERB 
oily, ADJ 

, SPACE 
residue, NOUN 
dissloved, VERB 
THF/, ADJ 
hexane, NOUN 

, SPACE 
tion, NOUN 
CaH, NOUN 
Deuterated, PROPN 
benzene, NOUN 
dried, VERB 

, SPACE 
vacuum, NOUN 
transfer, NOUN 
potassium, NOUN 
BuLi, PROPN 
BuMgCl, PROPN 
solution, NOUN 
cooled, VERB 
-30, PUNCT 
C, PROPN 
produced, VERB 
0.60, NUM 
g, NOUN 
36, NUM 

, SPACE 
2, NUM 
m.p, PROPN 
sealed, VERB 
34, NUM 
36, NUM 
C., PROPN 
IR, PROPN 
cm-, PROPN 
1461(s, NUM 

, SPACE 
GaCl, PROPN 
NHiBu, PROPN 
NH,(2,6-(Me)2C, PROPN 
H, PROPN 
pur-, ADJ 
1373(s, NUM 
1205(m, NUM 
1068(m, NUM 
1045(m, NUM 
1020(m, ADV 
948(w, NUM 

, SPACE 
chased, VERB 
Aldrich, PROPN 
received, VERB 
LiNH’Bu, NUM 

, SPACE 
LiNH(2,6-(Me)2C, PROPN 
H,)(THF, PROPN 
synthesized, VERB 
914(w, NOUN 
875(m, NUM 
754(w, NUM 
721(w, NUM 
H, NOUN 
NMR, PROPN 
C, PROPN 
D, PROPN 
S, PROPN 

, SPACE 
reaction, NOUN 
corresponding, VERB 
amine, NOUN 
BuLi, NOUN 
0, NUM 
C, NOUN 
3.56, NUM 
m, PROPN 
THF, PROPN 
4H, PROPN 
1.64, NUM 
m, PROPN 
CH, PROPN 
CH, PROPN 
CH, PROPN 
4H, PROPN 
1.54, NUM 

, SPACE 
m, PROPN 
CH, PROPN 
CH, PROPN 
CH, PROPN 
4H, PROPN 
1.40, NUM 
m, PROPN 
4H, PROPN 
THF, PROPN 
1.07, NUM 
s, PROPN 

, SPACE 
diethyl, PROPN 
ether, NOUN 
tetrahydrofuran, NOUN 
respectively, ADV 
C(CH, PROPN 
9H, NOUN 
1.05, NUM 
t, PROPN 
CH, PROPN 
CH, PROPN 
6H, PROPN 
0.98, NUM 
s, PROPN 
NH(‘Bu, PROPN 

, SPACE 
warming, VERB 
room, VERB 
temperature, NOUN 
reduction, NOUN 
H, PROPN 
0.64, NUM 
m, PROPN 
CH, PROPN 
CH, PROPN 
Ga, PROPN 
4H, PROPN 
13C, NUM 
NMR, PROPN 
C, PROPN 
D, PROPN 
6, NUM 

, SPACE 
volume, NOUN 
colorless, ADJ 
crystals, NOUN 
obtained, VERB 
good, ADJ 
yield, NOUN 
51.6, NUM 
NC(CH, PROPN 
32.9, NUM 
C(CH, PROPN 
29.5, NUM 

, SPACE 
NMR, PROPN 
spectra, NOUN 
obtained, VERB 
Bruker, PROPN 
500, NUM 
MHz, NOUN 
CH, PROPN 
CH, PROPN 
CH, PROPN 
28.8, NUM 
CH, PROPN 
CH, PROPN 
CH, PROPN 
16, NUM 

, SPACE 
NMR, PROPN 
spectrometer, NOUN 
C, PROPN 
D, PROPN 
solvent, ADJ 
IR, PROPN 
spectra, PROPN 
CH, PROPN 
CH, PROPN 
Ga, PROPN 
14.1, NUM 
CH, PROPN 
CH3, PROPN 
Anal, PROPN 
Calc, PROPN 

, SPACE 
recorded, VERB 
Nujol, PROPN 
mulls, VERB 
NaCl, PROPN 
plates, NOUN 
C,,H,,NGa, ADJ 
C, PROPN 
61.56, NUM 
H, PROPN 
11.62, NUM 
N, PROPN 
4.49, NUM 
Found, VERB 
C, NOUN 

, SPACE 
Mattson, PROPN 
Galaxy, PROPN 
3020, NUM 
spectrometer, NOUN 
61.15, NUM 
H, PROPN 
11.75, NUM 
N, PROPN 
4.46, NUM 

, SPACE 
2.2, X 
Preparation, NOUN 
Bu, PROPN 
GaCl, PROPN 
2.6, NUM 
Bu, PROPN 
Ga[NH(2,6, PROPN 
Me2C, PROPN 
H3, PROPN 
py, PROPN 
3, X 

, SPACE 
Prepared, PROPN 
according, VERB 
literature, NOUN 
procedure, NOUN 

, SPACE 
reaction, NOUN 
BuMgCl, PROPN 
GaCl, PROPN 
2, NUM 
1, NUM 
ratio, NOUN 
121, NUM 

, SPACE 
Yield, NOUN 
crystallization, NOUN 
71, NUM 
Purity, NOUN 
final, ADJ 
prod-, ADJ 

, SPACE 
ucts, NOUN 
confirmed, VERB 
H, NOUN 
NMR, PROPN 
H, NOUN 
NMR, PROPN 
C, PROPN 
D, PROPN 
6, NUM 

, SPACE 
1.32, NUM 
s, PROPN 

, SPACE 
2.3, X 
Preparation, NOUN 
Bu, PROPN 
GaCl, PROPN 

, SPACE 
compound, NOUN 
Bu, PROPN 
GaCl, PROPN 
prepared, VERB 
according, VERB 

, SPACE 
literature, NOUN 
procedure, NOUN 
reaction, NOUN 
BuLi, PROPN 
GaCl, PROPN 

, SPACE 
2, NUM 
1, NUM 
ratio, NOUN 
131, NUM 
Yield, NOUN 
vacuum, PROPN 
distillation, PROPN 
88, NUM 

, SPACE 
Purity, PROPN 
final, ADJ 
products, NOUN 
confirmed, VERB 
H, NOUN 
NMR, PROPN 

, SPACE 
H, NOUN 
NMR, PROPN 
C, PROPN 
D, PROPN 
6, NUM 
1.61, NUM 
m, PROPN 
CH, PROPN 
CH, PROPN 
CH, PROPN 
4H, PROPN 
1.35, NUM 

, SPACE 
m, PROPN 
CH, PROPN 
CH, PROPN 
CH, PROPN 
4H, PROPN 
0.94, NUM 
t, PROPN 
CH, PROPN 
CH, PROPN 
6H, PROPN 
0.82, NUM 

, SPACE 
m, PROPN 
CH, PROPN 
CH, PROPN 
Ga, PROPN 
4H, PROPN 

, SPACE 
2.4, X 
Ga, PROPN 
Bu, PROPN 
NH, NOUN 
Bu)/, VERB 
1, X 
solution, NOUN 
0.90, NUM 
g, NOUN 
4.1, NUM 
mmol, NOUN 
Bu, PROPN 
GaCl, PROPN 

, SPACE 
ether, NOUN 
combined, VERB 
0.53, NUM 
g, NOUN 
4.2, NUM 
mmol, PROPN 

, SPACE 
LiNH(2,6, PROPN 
C, PROPN 
H, PROPN 
reaction, NOUN 
mixture, NOUN 
stirred, VERB 

, SPACE 
24, NUM 
h., NOUN 
white, ADJ 
precipitate, NOUN 
removed, VERB 
filtration, NOUN 

, SPACE 
filtrate, NOUN 
evaporated, VERB 
oily, ADJ 
residue, NOUN 

, SPACE 
excess, ADJ 
pyridine, NOUN 
added, VERB 
solution, NOUN 
evap-, NUM 

, SPACE 
orated, VERB 
leaving, VERB 
involatile, ADJ 
oil, NOUN 
yield, NOUN 
3, NUM 
0.78, NUM 

, SPACE 
g, PROPN 
41, NUM 
IR, PROPN 
cm-, PROPN 
3297(w, NUM 
1594(m, NUM 
1446(s, NUM 

, SPACE 
1423(s, NOUN 
1373(m, NOUN 
1280(m, PROPN 
1253(s, NUM 
1224(s, NUM 
1189(s, X 

, SPACE 
1097(s, PROPN 
1068(s, PROPN 
1041, NUM 
ml, PROPN 
1012(m, ADV 
836(s, NUM 
754(s, NUM 

, SPACE 
698(s, NUM 
632(s, PROPN 
H, NOUN 
NMR, PROPN 
C, PROPN 
D, PROPN 
S, PROPN 
8.13, NUM 
d, PROPN 
2H, PROPN 
py, PROPN 

, SPACE 
7.15, NUM 
d, PROPN 
2H, PROPN 
py, PROPN 
6.90, NUM 
m, PROPN 
2H, PROPN 
Ar, PROPN 
H, PROPN 
6.74, NUM 
m, PROPN 
H, PROPN 
py, PROPN 

, SPACE 
6.39, NUM 
m, PROPN 
H, PROPN 
Ar, PROPN 
H, PROPN 
3.09, NUM 
br, PROPN 
s, PROPN 
H, PROPN 
NH, PROPN 
2.36, NUM 
s, NOUN 
6H, NOUN 

, SPACE 
ArCH, PROPN 
1.75, NUM 
m, PROPN 
4H, PROPN 
CH, PROPN 
CH, PROPN 
CH, PROPN 
1.61, NUM 
m, PROPN 
4H, PROPN 

, SPACE 
CH, PROPN 
C, PROPN 
H, PROPN 
CH, PROPN 
1.04, NUM 
t, NOUN 
6H, PROPN 
CH, PROPN 
0.77, NUM 
m, PROPN 
4H, PROPN 
GaCH, PROPN 

, SPACE 
Anal, PROPN 
Calc, PROPN 
CiH,,N, PROPN 
Ga, PROPN 
C, PROPN 
65.82, NUM 
H, PROPN 
8.68, NUM 
N, PROPN 

, SPACE 
7.31, NUM 
Found, VERB 
C, PROPN 
65.65, NUM 
H, PROPN 
8.75, NUM 
N, PROPN 
7.46, NUM 

, SPACE 
dry, ADJ 
box, NOUN 
hexane, ADJ 
suspension, NOUN 
1.25, NUM 
g, NOUN 
5.7, NUM 

, SPACE 
mmol, PROPN 
Bu, PROPN 
GaCl, PROPN 
combined, VERB 
0.47, NUM 
g, NOUN 
5.8, NUM 

, SPACE 
mmol, PROPN 
LiNH’Bu, NUM 
stirring, VERB 
48, NUM 
h, NOUN 
removal, NOUN 

, SPACE 
white, PROPN 
precipitate, NOUN 
filtration, NOUN 
solvent, NOUN 

, SPACE 
removed, VERB 
evaporation, NOUN 
Crystallization, NOUN 
1, NUM 

, SPACE 
THF, PROPN 
hexane, NOUN 
solution, NOUN 
cooled, VERB 
30, NUM 
C, NOUN 
afforded, VERB 
0.70, NUM 

, SPACE 
g, NOUN 
49, NUM 
colorless, PROPN 
cubic, ADJ 
crystals, NOUN 
m.p, PROPN 
sealed, VERB 
135-, NUM 

, SPACE 
140, NUM 
C(dec, PROPN 
IR, PROPN 
cm-, PROPN 
1461(s, NUM 
1375(m, NUM 
1193(m, NOUN 

, SPACE 
1176(m, PROPN 
1016(m, PROPN 
929(w, X 
908(w, PROPN 
885(m, NUM 
808(s, PROPN 

, SPACE 
750(w, NUM 
723(w, NUM 
H, NOUN 
NMR, PROPN 
C, PROPN 
D, PROPN 
6, NUM 
2.12, NUM 
br, PROPN 
s, PROPN 
H, PROPN 
NH, PROPN 

, SPACE 
0.32, NUM 
s, PROPN 
9H, NOUN 
Bu, PROPN 
0.18, NUM 
s, PROPN 
9H, NOUN 
Bu, PROPN 
Anal, PROPN 
Calc, PROPN 

, SPACE 
C,,H*sNGa, PROPN 
C, PROPN 
56.28, NUM 
H, PROPN 
11.02, NUM 
N, PROPN 
5.47, NUM 
Found, VERB 
C, PROPN 

, SPACE 
56.15, NUM 
H, PROPN 
10.75, NUM 
N, PROPN 
5.66, NUM 
2.7, NUM 
Bu, PROPN 
Ga[NH(2,6Me, PROPN 
C, PROPN 
Hj, PROPN 
112, PROPN 
Li(Et, PROPN 
O)l, NOUN 
4, X 

, SPACE 
2.5, NUM 
Ga(“Bu),(NH’Bt.d(THF, PROPN 
2, X 

, SPACE 
solution, NOUN 
1.25, NUM 
g, NOUN 
5.7, NUM 
mmol, PROPN 
Bu, PROPN 
GaCl, PROPN 

, SPACE 
hexane, NOUN 
added, VERB 
0.45, NUM 
g, NOUN 
5.7, NUM 
mmol, PROPN 
LiNH’Bu, NUM 

, SPACE 
room, NOUN 
temperature, NOUN 
dry, ADJ 
box, NOUN 
reaction, NOUN 
mixture, NOUN 
solution, NOUN 
4.5, NUM 
ml, NOUN 
36, NUM 
mmol, NOUN 
H, PROPN 
N(Ph(Me, NOUN 

, SPACE 
hexane, NOUN 
cooled, VERB 
-78, PUNCT 
C, NOUN 
28, NUM 
ml, NOUN 
2.5, NUM 
M, NOUN 

, SPACE 
hexane, NOUN 
solution, NOUN 
70, NUM 
mmol, NOUN 
BuLi, PROPN 
added, VERB 

, SPACE 
cannula, NOUN 
solution, NOUN 
slowly, ADV 
allowed, VERB 
warm, VERB 

, SPACE 
room, NOUN 
temperature, NOUN 
hexane, NOUN 
solution, NOUN 
5.0, NUM 
g, NOUN 
30, NUM 

, SPACE 
mmol, PROPN 
GaCl, PROPN 
added, VERB 
solution, NOUN 

, SPACE 
mixture, NOUN 
stirred, VERB 
17, NUM 
h, NOUN 
filtered, VERB 
remove, VERB 
white, ADJ 

, SPACE 
precipitate, NOUN 
evaporated, VERB 
dryness, NOUN 
resulting, VERB 

, SPACE 
solid, ADJ 
dissloved, VERB 
ether, NOUN 
cooled, VERB 
-30, PUNCT 
C, NOUN 

, SPACE 
yielding, VERB 
7.8, NUM 
g, NOUN 
38, NUM 
4, NUM 
Sublimes, VERB 
300, NUM 
C, NOUN 

, SPACE 
vacuum, NOUN 
IR, PROPN 
cm-, PROPN 
1592(m, NUM 
1456(s, NUM 
1376(s, X 

, SPACE 
1254(m, NOUN 
1224(m, NUM 
1205(m, NUM 
1096(m, NUM 
909(w, NUM 
824(m, PROPN 

, SPACE 
756(s, X 
680(m, NUM 
H, NOUN 
NMR, PROPN 
C, PROPN 
D, PROPN 
6, NUM 
7.00, NUM 
d, PROPN 
4H, PROPN 

, SPACE 
Ar, PROPN 
H, PROPN 
6.70, NUM 
m, PROPN 
2H, PROPN 
Ar, PROPN 
H, PROPN 
2.79, NUM 
q, NOUN 
4H, PROPN 
OCH, PROPN 
2.63, NUM 

, SPACE 
br, PROPN 
s, PROPN 
2H, PROPN 
NH, PROPN 
2.22, NUM 
s, PROPN 
12H, NUM 
ArCH, PROPN 
1.37, NUM 
m, PROPN 
4H, PROPN 

, SPACE 
CH, PROPN 
0.89, NUM 
t, NOUN 
6H, PROPN 
CH, PROPN 
0.58, NUM 
t, PROPN 
6H, PROPN 
OCH, PROPN 
CH, PROPN 
0.53, NUM 

, SPACE 
m, PROPN 
4H, PROPN 
CH, PROPN 
Anal, PROPN 
Calc, PROPN 
C,,H,,N,,GaLi, PROPN 
C, PROPN 

, SPACE 
108, NUM 
S.T., PROPN 
Barry, PROPN 
D.S., PROPN 
Richeson, PROPN 
Journal, PROPN 
Organometallic, PROPN 
Chemistry, PROPN 
510, NUM 
1996, NUM 
103, NUM 
108, NUM 

, SPACE 
66.53, NUM 
H, PROPN 
9.57, NUM 
N, PROPN 
5.54, NUM 
Found, VERB 
C, PROPN 
66.15, NUM 
H, PROPN 
9.75, NUM 
N, PROPN 
40, NUM 
pages, NOUN 
Ordering, VERB 
information, NOUN 
given, VERB 
cur-, NOUN 

, SPACE 
5.46, NUM 
rent, NOUN 
masthead, ADJ 
page, NOUN 

, SPACE 
2.8, NUM 
X, NOUN 
Ray, PROPN 
crystallography, NOUN 

, SPACE 
Acknowledgments, PROPN 

, SPACE 
Intensity, PROPN 
data, NOUN 
collected, VERB 
Rigaku, PROPN 
diffrac-, NOUN 

, SPACE 
tometer, NOUN 
110, NUM 
C, NOUN 
w-2, PROPN 
8, NUM 
scan, ADJ 
technique, NOUN 

, SPACE 
maximum, ADJ 
26, NUM 
value, NOUN 
49.8, NUM 
complex, ADJ 
1, NUM 
50, NUM 

, SPACE 
complex, ADJ 
2, NUM 
crystals, NOUN 
mounted, VERB 
glass, NOUN 
fibers, NOUN 
Cell, NOUN 

, SPACE 
constants, NOUN 
orientation, NOUN 
matrices, NOUN 
obtained, VERB 

, SPACE 
squares, NOUN 
refinement, NOUN 
24, NUM 
25, NUM 
carefully, ADV 
cen-, X 

, SPACE 
tered, VERB 
high, ADJ 
angle, NOUN 
reflections, NOUN 
Redundant, ADJ 
reflections, NOUN 

, SPACE 
removed, VERB 
data, NOUN 
set, NOUN 
intensities, NOUN 

, SPACE 
representative, ADJ 
reflections, NOUN 
measured, VERB 
150, NUM 

, SPACE 
reflections, NOUN 
monitor, VERB 
crystal, NOUN 
instrument, NOUN 
stabil-, ADJ 

, SPACE 
ity, NOUN 
Data, NOUN 
corrected, VERB 
Lorentz, PROPN 
polarization, NOUN 

, SPACE 
effects, NOUN 
absorption, NOUN 
structures, NOUN 
solved, VERB 

, SPACE 
direct, ADJ 
methods, NOUN 
non, ADJ 
hydrogen, ADJ 
atoms, NOUN 
re-, ADV 

, SPACE 
fined, VERB 
anisotropically, ADV 
Hydrogen, NOUN 
atom, NOUN 
positions, NOUN 

, SPACE 
located, VERB 
difference, NOUN 
Fourier, PROPN 
maps, NOUN 
refined, VERB 

, SPACE 
isotropically, ADV 
case, NOUN 
favorable, ADJ 
observation/, NUM 

, SPACE 
parameter, NOUN 
ratio, NOUN 
final, ADJ 
cycle, NOUN 
matrix, NOUN 

, SPACE 
squares, NOUN 
refinement, NOUN 
based, VERB 
number, NOUN 
ob-, NOUN 

, SPACE 
served, VERB 
reflections, NOUN 
>, X 
2.5a(I, NUM 
case, NOUN 

, SPACE 
complex, ADJ 
2, NUM 
disorder, NOUN 
n, ADV 
butyl, ADJ 

, SPACE 
chains, NOUN 
bound, VERB 
gallium, VERB 
chain, NOUN 
disordered, VERB 

, SPACE 
positions, NOUN 
Anomalous, ADJ 
dispersion, NOUN 
effects, NOUN 
in-, ADV 

, SPACE 
cluded, VERB 
Fcalc, PROPN 
calculations, NOUN 
performed, VERB 

, SPACE 
NRCVAX, PROPN 
package, NOUN 
Details, NOUN 
data, NOUN 
collec-, X 

, SPACE 
tion, NOUN 
refinement, ADJ 
final, ADJ 
atomic, ADJ 
coordinates, NOUN 
re-, ADV 

, SPACE 
ported, VERB 
Supplementary, PROPN 
Materials, PROPN 
work, NOUN 
supported, VERB 
Natural, PROPN 
Sciences, PROPN 

, SPACE 
Engineering, PROPN 
Research, PROPN 
Council, PROPN 
Canada, PROPN 

, SPACE 
References, PROPN 

, SPACE 
111, NUM 
S., PROPN 
Strite, PROPN 
H.J., PROPN 
MorkoE, PROPN 
Vat, PROPN 
Sci, PROPN 
Technol, PROPN 
B, PROPN 
10, NUM 
1992, NUM 

, SPACE 
1238, NUM 
references, NOUN 
b, X 
R.F., PROPN 
Davis, PROPN 
R., PROPN 
Freer, PROPN 
eds, PROPN 

, SPACE 
Physics, PROPN 
Chemistry, PROPN 
Carbides, PROPN 
Nitrides, PROPN 
Borides, PROPN 

, SPACE 
Kluwer, PROPN 
Academic, PROPN 
Publishers, PROPN 
Netherlands, PROPN 
1990, NUM 
pp, PROPN 
653, NUM 
669, NUM 

, SPACE 
references, NOUN 

, SPACE 
121, NUM 

, SPACE 
t31, NOUN 

, SPACE 
41, NUM 
S.H., PROPN 
Kim, PROPN 
H.S., PROPN 
Kim, PROPN 
J.S., PROPN 
Hwang, PROPN 
J.G., PROPN 
Choi, PROPN 
P.J., PROPN 
Chong, PROPN 

, SPACE 
Chem, PROPN 
Mater, PROPN 
6, NUM 
1994, NUM 
278, NUM 

, SPACE 
M.J., PROPN 
Almond, PROPN 
C.E., PROPN 
Jenkins, PROPN 
D.A., PROPN 
Rice, PROPN 
Organomet, PROPN 

, SPACE 
Chem, PROPN 
443, NUM 
1993, NUM 
137, NUM 

, SPACE 
T., PROPN 
Belgardt, PROPN 
S.D., PROPN 
Waezsada, PROPN 
H.W., PROPN 
Roesky, PROPN 
H., PROPN 
Gomitzka, PROPN 
L., PROPN 

, SPACE 
Haming, PROPN 
D., PROPN 
Stalke, PROPN 
Inorg, PROPN 
Chem, PROPN 
33, NUM 
1994, NUM 
6247, NUM 

, SPACE 
references, NOUN 

, SPACE 
151, NUM 

, SPACE 
El, PROPN 

, SPACE 
71, NUM 

, SPACE 
Bl, PROPN 
K.M., PROPN 
Waggoner, PROPN 
P.P., PROPN 
Power, PROPN 
J., PROPN 
Chem, NOUN 
Sot, PROPN 
113, NUM 
1991, NUM 

, SPACE 
3385, NUM 

, SPACE 
M.A., PROPN 
Petrie, PROPN 
K., PROPN 
Ruhlandt, PROPN 
Senge, PROPN 
P.P., PROPN 
Power, PROPN 
Inorg, PROPN 
Chem, PROPN 

, SPACE 
32, NUM 
1993, NUM 
1135, NUM 

, SPACE 
K.M., PROPN 
Waggoner, PROPN 
K., PROPN 
Ruhlandt, PROPN 
Senge, PROPN 
R.J., PROPN 
Wehmschulte, PROPN 
X., PROPN 

, SPACE 
M.M., PROPN 
Olmstead, PROPN 
P.P., PROPN 
Power, PROPN 
Inorg, PROPN 
Chem, PROPN 
32, NUM 
1993, NUM 
2557, NUM 

, SPACE 
P.J., PROPN 
Brothers, PROPN 
R.J., PROPN 
Wehmschulte, PROPN 
M.M., PROPN 
Olmstead, PROPN 
K., PROPN 
Ruhlandt-, PROPN 

, SPACE 
Senge, PROPN 
S.R., PROPN 
Parkin, PROPN 
P.P., PROPN 
Power, PROPN 
Organometallics, PROPN 
13, NUM 
1994, NUM 

, SPACE 
2792, NUM 

, SPACE 
3, X 
Supplementary, ADJ 
material, NOUN 
available, ADJ 
191, NUM 

, SPACE 
lOI, X 

, SPACE 
Ill, PROPN 

, SPACE 
1121, NUM 

, SPACE 
131, NUM 

, SPACE 
I41, PROPN 
O.T., PROPN 
Beachley, PROPN 
M.J., PROPN 
Noble, PROPN 
M.R., PROPN 
Churchill, PROPN 
C.H., PROPN 
Lake, PROPN 

, SPACE 
Organomerallics, PROPN 
I1, PROPN 
1992, NUM 
105, NUM 
1, NUM 

, SPACE 
D.A., PROPN 
Atwood, PROPN 
R.A., PROPN 
Jones, PROPN 
A.H., PROPN 
Cowley, PROPN 
S.G., PROPN 
Bott, PROPN 
J.L., PROPN 

, SPACE 
Atwood, PROPN 
J., PROPN 
Organomet, PROPN 
Chem, PROPN 
434, NUM 
1992, NUM 
143, NUM 

, SPACE 
D.A., PROPN 
Atwood, PROPN 
V.O., PROPN 
Atwood, PROPN 
A.H., PROPN 
Cowley, PROPN 
R.A., PROPN 
Jones, PROPN 
J.L., PROPN 

, SPACE 
Atwood, PROPN 
S.G., PROPN 
Bott, PROPN 
Inorg, PROPN 
Chem, PROPN 
33, NUM 
1994, NUM 
3251, NUM 

, SPACE 
H.-U., NOUN 
Schwering, PROPN 
E., PROPN 
Jungk, PROPN 
J.J., PROPN 
Weidlein, PROPN 
Organomet, PROPN 

, SPACE 
Chrm, PROPN 
91, NUM 
1975, NUM 
C4, PROPN 

, SPACE 
Descriptions, NOUN 
structural, ADJ 
solutions, NOUN 
tables, NOUN 

, SPACE 
atomic, ADJ 
positions, NOUN 
thermal, ADJ 
parameters, NOUN 
crystallographic, ADJ 

, SPACE 
data, NOUN 
bond, NOUN 
distances, NOUN 
angles, NOUN 
ORTEP, NOUN 
drawings, NOUN 

, SPACE 
structure, NOUN 
factor, NOUN 
tables, NOUN 
compounds, NOUN 
1, NUM 
41, NUM 
pages, NOUN 
4, NUM 
R.A., PROPN 
Kovar, PROPN 
H., PROPN 
Derr, PROPN 
D., PROPN 
Brandau, PROPN 
J.O., PROPN 
Callaway, PROPN 
Inorg, PROPN 
Chem, PROPN 

, SPACE 
14, NUM 
1975, NUM 
2809, NUM 

, SPACE 
structure, NOUN 
similar, ADJ 
alkylamido, NOUN 
gallate, VERB 
complex, ADJ 

, SPACE 
D.A., PROPN 
Atwood, PROPN 
A.H., PROPN 
Cowley, PROPN 
R.A., PROPN 
Jones, PROPN 
Organometallics, PROPN 

, SPACE 
12, NUM 
1993, NUM 
236, NUM 

, SPACE 
