~llk, NOUN 
work, NOUN 
CCD, PROPN 

, SPACE 
essentially, ADV 
monochrome, ADJ 
device, NOUN 
sensitive, ADJ 

, SPACE 
range, NOUN 
wavelengths, NOUN 
light, NOUN 
embodies, VERB 
mechanism, NOUN 

, SPACE 
discriminating, VERB 
wavelengths, NOUN 
range, NOUN 
spec-, ADJ 

, SPACE 
tral, ADJ 
resolution, NOUN 
required, VERB 
colour, ADJ 
imaging, NOUN 
provided, VERB 
use, NOUN 

, SPACE 
coloured, ADJ 
filters, NOUN 
typical, ADJ 
colour, NOUN 
CCD, NOUN 
consists, VERB 
matrix, NOUN 

, SPACE 
pixels, VERB 
sensitive, ADJ 
visible, ADJ 
light, NOUN 
overlaid, VERB 
mosaic, NOUN 
red, ADJ 

, SPACE 
green, ADJ 
blue, ADJ 
filters, NOUN 
pixel, NOUN 
sensitive, ADJ 
particular, ADJ 

, SPACE 
visible, ADJ 
spectrum, NOUN 
dictated, VERB 
filter, NOUN 
response, NOUN 

, SPACE 
sensitivity, NOUN 
signals, NOUN 
adjacent, ADJ 
pixels, NOUN 

, SPACE 
red, NOUN 
green, NOUN 
blue, ADJ 
sufficient, ADJ 
determine, VERB 

, SPACE 
colour, NOUN 
effect, NOUN 
human, ADJ 
eye, NOUN 
incident, NOUN 
light, NOUN 

, SPACE 
detailed, ADJ 
spectral, ADJ 
information, NOUN 
light, NOUN 
lost, VERB 

, SPACE 
Fortunately, ADV 
case, NOUN 
light, NOUN 
reflected, VERB 
TLC, PROPN 
coating, NOUN 

, SPACE 
general, ADJ 
form, NOUN 
spectral, ADJ 
content, NOUN 
approximated, VERB 

, SPACE 
monochromatic, ADJ 
spike, NOUN 
plus, CCONJ 
background, NOUN 
white, ADJ 
light, NOUN 
shown, VERB 

, SPACE 
Figure, PROPN 
4b, PROPN 
approximation, NOUN 
reduces, VERB 
number, NOUN 
degrees-, X 

, SPACE 
freedom, NOUN 
hue, INTJ 
measure, NOUN 
wavelength, NOUN 

, SPACE 
monochromatic, ADJ 
spike, NOUN 
saturation, NOUN 
relative, ADJ 
amounts, NOUN 

, SPACE 
monochromatic, ADJ 
white, ADJ 
light, NOUN 
intensity, NOUN 
total, ADJ 

, SPACE 
light, NOUN 
colour, NOUN 
described, VERB 
indepen-, NUM 

, SPACE 
dent, ADJ 
variables, NOUN 
usually, ADV 
components, NOUN 
red, ADJ 
green, ADJ 
blue, ADJ 

, SPACE 
spectral, ADJ 
content, NOUN 
reflected, ADJ 
light, NOUN 
particular, ADJ 
hue, NOUN 

, SPACE 
estimated, VERB 
Hue, NOUN 
analysis, NOUN 
frames, NOUN 
captured, VERB 
colour, ADJ 
spectral, ADJ 
density, NOUN 

, SPACE 
increasing, VERB 
tcrap, NOUN 
~, PUNCT 
ratu~, PROPN 

, SPACE 
q, NOUN 
1, NUM 
raormchromatl¢, NOUN 
slnk¢, NUM 

, SPACE 
II, PROPN 
ba, NOUN 
~, VERB 
und, VERB 

, SPACE 
white, ADJ 
fight, NOUN 

, SPACE 
wavelength, VERB 
blue, ADJ 
red, PROPN 

, SPACE 
a)'lX, PROPN 
picalspectvam, ADJ 

, SPACE 
spectrld, PROPN 
density, NOUN 

, SPACE 
monochromatk, NOUN 
intensity, NOUN 

, SPACE 
white, ADJ 
intensity, NOUN 

, SPACE 
mon0d, PROPN 
aom, PROPN 
~, NOUN 
c, PROPN 

, SPACE 
wa, VERB 
~, NOUN 
hingth, NOUN 
wavelength, VERB 

, SPACE 
b, PROPN 
Approximate, ADJ 
spectrum, NOUN 

, SPACE 
Figure, VERB 
4, NUM 
Spectral, ADJ 
content, NOUN 
light, NOUN 
reflected, VERB 
TLC, PROPN 
coating, VERB 

, SPACE 
CCD, NOUN 
imagers, NOUN 
best, ADV 
performed, VERB 
computer, NOUN 

, SPACE 
HSI, PROPN 
hue, NOUN 
saturation, NOUN 
intensity, NOUN 
colour, ADJ 
model, NOUN 

, SPACE 
alternative, NOUN 
RGB, PROPN 
red, ADJ 
green, ADJ 
blue, ADJ 
model, NOUN 
hard-, PROPN 

, SPACE 
ware, NOUN 
software, NOUN 
RGB, PROPN 
HSI, PROPN 
conversion, NOUN 
readily, ADV 

, SPACE 
available, ADJ 

, SPACE 
equipment, NOUN 
determine, VERB 
reflective, ADJ 

, SPACE 
properties, NOUN 
TLC, PROPN 
coating, VERB 
stationary, ADJ 
calibration, NOUN 

, SPACE 
rotational, ADJ 
tests, NOUN 
TLC, PROPN 
Hallcrest, PROPN 
R45C10W, NOUN 
changed, VERB 

, SPACE 
red, PROPN 
45, NUM 
°, NUM 
C, NOUN 
dark, ADJ 
blue, NOUN 
55, NUM 
°, NUM 
C, NOUN 
coating, NOUN 
illumi-, ADJ 

, SPACE 
494, NUM 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
5, NUM 
October, PROPN 
1996, NUM 


, SPACE 
nated, VERB 
tungsten, VERB 
filament, NOUN 
lamp, NOUN 
reflected, VERB 
light, NOUN 
moni-, X 

, SPACE 
tored, VERB 
Panasonic, PROPN 
WV, PROPN 
CL700, PROPN 
colour, NOUN 
CCD, PROPN 
video, NOUN 
camera, NOUN 

, SPACE 
fitted, VERB 
18, NUM 
108, NUM 
mm, NUM 
t2.5, NOUN 
zoom, NOUN 
lens, NOUN 
illumination, NOUN 

, SPACE 
viewing, VERB 
angles, NOUN 
shown, VERB 
Figure, PROPN 
5, NUM 
ensuing, VERB 
YC, PROPN 
video, NOUN 

, SPACE 
signal, NOUN 
recorded, VERB 
SVHS, PROPN 
videotape, NOUN 
Panasonic, PROPN 
AG-7355, ADJ 

, SPACE 
video, NOUN 
cassette, NOUN 
recorder, NOUN 
video, NOUN 
frames, NOUN 
analyzed, VERB 

, SPACE 
Silicon, PROPN 
Graphics, PROPN 
Indigo, PROPN 
R3000, PROPN 
workstation, NOUN 
fitted, VERB 
video, NOUN 

, SPACE 
board, NOUN 
RGB, PROPN 
HSI, PROPN 
conversion, NOUN 
performed, VERB 
software, NOUN 

, SPACE 
lmageVision, NOUN 
image, NOUN 
processing, VERB 
library, NOUN 
additional, ADJ 

, SPACE 
image, NOUN 
manipulation, NOUN 
data, NOUN 
processing, VERB 
routines, NOUN 
written, VERB 

, SPACE 
house, NOUN 

, SPACE 
3.2, X 
Image, NOUN 
processing, NOUN 

, SPACE 
Despite, SCONJ 
fundamental, ADJ 
difference, NOUN 
infrared, PROPN 
liq-, ADJ 

, SPACE 
uid, ADJ 
crystal, NOUN 
temperature, NOUN 
measurement, NOUN 
techniques, NOUN 

, SPACE 
imaging, NOUN 
systems, NOUN 
required, VERB 
similar, ADJ 
processing, NOUN 

, SPACE 
PC, PROPN 
based, VERB 
images, NOUN 
IR, PROPN 
thermal, ADJ 
imaging, NOUN 
system, NOUN 

, SPACE 
easily, ADV 
transferred, VERB 
Silicon, PROPN 
Graphics, PROPN 
workstation, NOUN 

, SPACE 
software, NOUN 
process, VERB 
IR, PROPN 
TLC, PROPN 

, SPACE 
images, NOUN 
Details, NOUN 
processing, NOUN 
extension, NOUN 

, SPACE 
described, VERB 
Wilson, PROPN 
et, PROPN 
al, PROPN 
1993, NUM 
outlined, VERB 

, SPACE 
TLC, PROPN 
calibration, NOUN 
rotational, ADJ 
tests, NOUN 
data, NOUN 

, SPACE 
taken, VERB 
steady, ADJ 
state, NOUN 
reached, VERB 
temper-, X 

, SPACE 
ature, NOUN 
distributions, NOUN 
changing, VERB 
time, NOUN 
simple, ADJ 
frame, NOUN 

, SPACE 
averaging, NOUN 
reduce, VERB 
effect, NOUN 
noise, NOUN 
time, NOUN 

, SPACE 
domain, NOUN 
image, NOUN 
suitable, ADJ 
processing, NOUN 
created, VERB 

, SPACE 
taking, VERB 
average, NOUN 
10, NUM 
TLC, PROPN 
frames, NOUN 
20, NUM 
IR, PROPN 
frames, NOUN 

, SPACE 
Spatial, ADJ 
averaging, NOUN 
increase, VERB 
confidence, NOUN 

, SPACE 
measured, VERB 
values, NOUN 
involves, VERB 
choosing, VERB 
area, NOUN 
image, NOUN 

, SPACE 
calculating, VERB 
average, ADJ 
value, NOUN 
constituent, NOUN 
pixels, VERB 

, SPACE 
area, NOUN 
chosen, VERB 
represent, VERB 
isotherm, NOUN 
Choosing, VERB 
isother-, NOUN 

, SPACE 
mal, ADJ 
area, NOUN 
calibration, NOUN 
apparatus, NOUN 
simple, ADJ 

, SPACE 
copper, NOUN 
block, NOUN 
Figure, PROPN 
6a, PROPN 
temperature, NOUN 
distribu-, NOUN 

, SPACE 
tion, NOUN 
rotating, VERB 
disc, NOUN 
axisymmetric, ADJ 

, SPACE 
radial, ADJ 
variations, NOUN 
necessary, ADJ 
average, VERB 
tempera-, ADJ 

, SPACE 
tures, NOUN 
described, VERB 

, SPACE 
TLC, PROPN 
coating, NOUN 
applied, VERB 
disc, NOUN 
surface, NOUN 

, SPACE 
radii, NOUN 
r, NOUN 
=, SYM 
220, NUM 
mm, NUM 
r, NOUN 
=, NOUN 
290, NUM 
mm, NOUN 
axisymmetric, ADJ 
nature, NOUN 

, SPACE 
experiment, NOUN 
allowed, VERB 
colour, ADJ 
CCD, PROPN 
camera, NOUN 
infrared, VERB 

, SPACE 
thermal, ADJ 
imager, ADJ 
view, VERB 
liquid, NOUN 
crystal, NOUN 
ring, NOUN 

, SPACE 
shown, VERB 
Figure, PROPN 
6b, NUM 
centre, NOUN 
disc, NOUN 
lay, VERB 
outside, ADP 

, SPACE 
field, NOUN 
view, NOUN 
reference, NOUN 
lines, NOUN 
r, NOUN 
=, NOUN 
225, NUM 
mm, NOUN 
r, NOUN 
=, NOUN 
285, NUM 

, SPACE 
500, NUM 
mm, NOUN 

, SPACE 
Figure, PROPN 
5, NUM 

, SPACE 
ment, NOUN 
coated, VERB 
~urface, X 

, SPACE 

, SPACE 
4oo, NOUN 
30, NUM 
°, NUM 
30, NUM 
°, NOUN 

, SPACE 
~, PUNCT 
l, PROPN 
lamp, NOUN 

, SPACE 
General, PROPN 
arrangement, NOUN 
remote, ADJ 
sensing, VERB 
equip-, ADJ 
Rotation, PROPN 
effects, NOUN 
liquid, ADJ 
crystals, NOUN 
B., PROPN 
J., PROPN 
Syson, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
Field, NOUN 
view, NOUN 
calibration, NOUN 
apparatus, NOUN 

, SPACE 
~2, PUNCT 
E~''s2x----'-'~"~2"Tzi'2, PROPN 

, SPACE 
>, X 

, SPACE 

, SPACE 
j, PROPN 
centre, NOUN 
disc, PROPN 

, SPACE 
b, PROPN 
Field, NOUN 
view, NOUN 
rotating, VERB 
disc, NOUN 

, SPACE 
Figure, PROPN 
6, NUM 
Field, NOUN 
view, NOUN 
thermal, ADJ 
signal, NOUN 

, SPACE 
mm, PROPN 
marked, VERB 
disc, NOUN 
enabled, VERB 
position, NOUN 

, SPACE 
disc, NOUN 
centre, NOUN 
disc, NOUN 
radius, NOUN 
corresponding, VERB 

, SPACE 
pixel, NOUN 
image, NOUN 
calculated, VERB 
pixels, NOUN 
known, VERB 
disc, NOUN 

, SPACE 
radius, NOUN 
reference, NOUN 
line, NOUN 
chosen, VERB 
image, NOUN 

, SPACE 
disc, NOUN 
centre, NOUN 
found, VERB 
minimising, VERB 
sum, NOUN 

, SPACE 
square, NOUN 
errors, NOUN 
known, VERB 
radii, NOUN 
regression, NOUN 

, SPACE 
performed, VERB 
software, NOUN 
written, VERB 
house, NOUN 
based, VERB 
nonlin-, ADJ 

, SPACE 
ear, NOUN 
Newton, PROPN 
Raphson, PROPN 
method, NOUN 

, SPACE 
local, ADJ 
temperature, NOUN 
calculated, VERB 
spatial, ADJ 
aver-, NOUN 

, SPACE 
age, NOUN 
small, ADJ 
segment, NOUN 
disc, NOUN 
temperature, NOUN 

, SPACE 
varied, VERB 
radius, NOUN 
radial, ADJ 
height, NOUN 
Ar, PROPN 
segment, NOUN 
set, VERB 

, SPACE 
millimeter, NOUN 
liquid, ADJ 
crystal, NOUN 
analysis, NOUN 
approximate, ADJ 

, SPACE 
angular, ADJ 
width, NOUN 
A0, NOUN 
segment, NOUN 
0.25, NUM 
radians, NOUN 

, SPACE 
resulting, VERB 
number, NOUN 
pixels, NOUN 
average, NOUN 
5000, NUM 

, SPACE 
infrared, VERB 
equivalent, ADJ 
values, NOUN 
0.6, NUM 
radians, NOUN 
100, NUM 
pixels, NOUN 

, SPACE 
3.3, X 
Calibration, NOUN 
apparatus, NOUN 

, SPACE 
Stationary, ADJ 
calibration, NOUN 
liquid, ADJ 
crystal, NOUN 
performed, VERB 

, SPACE 
copper, NOUN 
block, NOUN 
apparatus, NOUN 
shown, VERB 
Figure, PROPN 
7, NUM 
consists, VERB 

, SPACE 
copper, NOUN 
block, NOUN 
67, NUM 
mm, NUM 
×, PROPN 
67, NUM 
mm, NOUN 
x, SYM 
5, NUM 
mm, PROPN 
mounted, VERB 
poly-, NOUN 

, SPACE 
methacrylimide, NOUN 
insulation, NOUN 
foam, PROPN 
k, PROPN 
=, NOUN 
0.04, NUM 
W, PROPN 
mK, NUM 
block, NOUN 

, SPACE 
heated, VERB 
electrically, ADV 
thin, ADJ 
film, NOUN 
heater, NOUN 
attached, VERB 

, SPACE 
face, NOUN 
temperature, NOUN 
measured, VERB 
T, PROPN 
type, NOUN 
thermocouple, NUM 

, SPACE 
diameter, NOUN 
thermocouple, ADJ 
wires, NOUN 
0.13, NUM 
mm, PROPN 

, SPACE 
bead, NOUN 
located, VERB 
centre, NOUN 
block, NOUN 
face, NOUN 

, SPACE 
block, NOUN 
sprayed, VERB 
black, ADJ 
prior, ADV 
application, NOUN 
TLC, PROPN 
coating, VERB 

, SPACE 
test, NOUN 

, SPACE 
thickness, NOUN 
coating, NOUN 
black, ADJ 
paint, NOUN 
liquid, ADJ 
crystal, NOUN 

, SPACE 
measured, VERB 
found, VERB 
approximately, ADV 
25, NUM 
~, VERB 
m., VERB 

, SPACE 
copper, NOUN 
block, NOUN 
heated, VERB 
60, NUM 
°, NOUN 
C, NOUN 
upper, ADJ 
limit, NOUN 
R45C10W, PROPN 

, SPACE 
liquid, ADJ 
crystal, NOUN 
temperature, NOUN 
range, NOUN 
assuming, VERB 
typical, ADJ 

, SPACE 
thermal, ADJ 
conductivity, NOUN 
0.2, NUM 
W, PROPN 
mK, PROPN 
temperature, NOUN 
drop, NOUN 

, SPACE 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
5, NUM 
October, PROPN 
1996, NUM 
495, NUM 


, SPACE 
Rotation, PROPN 
effects, NOUN 
liquid, ADJ 
crystals, NOUN 
B., PROPN 
J., PROPN 
Syson, PROPN 
et, PROPN 
al, PROPN 

, SPACE 
67ran, PROPN 
limide, PROPN 
foam, PROPN 

, SPACE 
ocouple, NOUN 

, SPACE 
coating, VERB 

, SPACE 
Figure, NOUN 
7, NUM 
Schematic, ADJ 
diagram, NOUN 
copper, NOUN 
block, NOUN 
calibration, NOUN 

, SPACE 
apparatus, NOUN 

, SPACE 
coating, NOUN 
radiative, VERB 
free, ADJ 
convective, ADJ 
heat, NOUN 
transfer, NOUN 

, SPACE 
ambient, NOUN 
estimated, VERB 
approximately, ADV 
0.1, NUM 
°, NUM 
C, NOUN 
tem-, NOUN 

, SPACE 
perature, NOUN 
drop, NOUN 
copper, NOUN 
block, NOUN 
order, NOUN 

, SPACE 
magnitude, NOUN 
smaller, ADJ 

, SPACE 
4, X 
Experimental, ADJ 
measurements, NOUN 

, SPACE 
4.1, NUM 
Calibration, NOUN 
copper, NOUN 
block, NOUN 
apparatus, NOUN 

, SPACE 
copper, NOUN 
block, NOUN 
apparatus, NOUN 
described, VERB 
Calibration, PROPN 
appara-, ADJ 

, SPACE 
tus, PROPN 
section, NOUN 
calibrate, VERB 
TLC, PROPN 
coating, NOUN 
IR, PROPN 
thermal, NOUN 
imager, ADV 
employing, VERB 
thermocouple, NOUN 
secondary, ADJ 

, SPACE 
standard, NOUN 
T, NOUN 
type, NOUN 
thermocouple, NOUN 
copper, NOUN 
block, NOUN 

, SPACE 
batch, NOUN 
calibrated, VERB 
range, NOUN 
20, NUM 
120, NUM 
°, NUM 
C, NOUN 

, SPACE 
Haake, PROPN 
oil, NOUN 
bath, NOUN 
temperature, NOUN 
silicone, NOUN 
oil, NOUN 
mea-, ADJ 

, SPACE 
sured, ADJ 
NPL, PROPN 
mercury, NOUN 
filled, VERB 
thermometers, NOUN 
manufac-, ADJ 

, SPACE 
turer, NOUN 
specified, VERB 
accuracy, NOUN 
0.025, NUM 
°, NUM 
C, NOUN 
thermocouple, ADJ 
cold, ADJ 

, SPACE 
junction, NOUN 
isothermal, PROPN 
box, PROPN 
20, NUM 
°, NUM 
C, NOUN 

, SPACE 
measured, VERB 
platinum, NOUN 
resistance, NOUN 
thermometer, NOUN 
PRT, PROPN 

, SPACE 
specified, VERB 
accuracy, NOUN 
+0.1, PROPN 
°, NOUN 
C, NOUN 
0, NUM 
°, NOUN 
C, NOUN 
+0.2, NOUN 
°, NOUN 
C, NOUN 
100, NUM 
°, NOUN 
C, NOUN 

, SPACE 
voltages, NOUN 
PRT, PROPN 
thermocouples, NOUN 
measured, VERB 

, SPACE 
Solatron, PROPN 
3535D, PROPN 
datalogger, NOUN 
incorporating, VERB 
digital, ADJ 
voltmeter, NOUN 

, SPACE 
uncertainty, NOUN 
+, NOUN 
1, NUM 
IxV., NOUN 
Typically, PROPN 
100, NUM 
voltage, NOUN 
readings, NOUN 

, SPACE 
taken, VERB 
temperature, NOUN 
increments, NOUN 
5, NUM 
°, NUM 
C, NOUN 

, SPACE 
average, ADJ 
thermocouple, ADJ 
voltages, NOUN 
fitted, VERB 
measured, ADJ 
tem-, NOUN 

, SPACE 
peratures, NOUN 
squares, NOUN 
cubic, ADJ 
polynomial, NOUN 
maxi-, X 

, SPACE 
mum, NOUN 
difference, NOUN 
fitted, VERB 
measured, ADJ 
temperature, NOUN 

, SPACE 
0.1, NUM 
°, NUM 
C, NOUN 
range, NOUN 
20, NUM 
70, NUM 
°, NUM 
C, NOUN 
maximum, ADJ 
difference, NOUN 

, SPACE 
calibration, NOUN 
curve, NOUN 
British, PROPN 
Standard, PROPN 
4937, NUM 

, SPACE 
5, NUM 
T, NOUN 
type, NOUN 
thermocouples, NOUN 
0.1, NUM 
°, NUM 
C, NOUN 
range, NOUN 

, SPACE 
copper, NOUN 
block, NOUN 
heated, VERB 
required, VERB 
temperature, NOUN 

, SPACE 
measured, VERB 
thermocouple, NUM 
power, NOUN 
adjusted, VERB 

, SPACE 
maintain, VERB 
equilibrium, NOUN 
illumination, NOUN 
video, NOUN 
camera, NOUN 

, SPACE 
IR, PROPN 
scanner, NOUN 
arranged, VERB 
shown, VERB 
Figure, PROPN 
5, NUM 
IR, PROPN 
readings, NOUN 

, SPACE 
video, NOUN 
recordings, NOUN 
simultaneously, ADV 
Tests, NOUN 

, SPACE 
repeated, VERB 
approximately, ADV 
°, NOUN 
C, NOUN 
intervals, NOUN 
45, NUM 
58, NUM 
°, NOUN 
C, NOUN 

, SPACE 
results, NOUN 
IR, PROPN 
TLC, PROPN 
calibrations, NOUN 
presented, VERB 

, SPACE 
Table, PROPN 
1, NUM 

, SPACE 
emissivity, NOUN 
setting, NOUN 
e, NOUN 
=, NOUN 
0.96, NUM 
IR, PROPN 
imager, PROPN 
found, VERB 

, SPACE 
good, ADJ 
agreement, NOUN 
thermocouple, ADJ 
measurements, NOUN 

, SPACE 
shown, VERB 
Table, PROPN 
1, NUM 
difference, NOUN 
0.1, NUM 
°, NUM 
C, NOUN 

, SPACE 
values, NOUN 
error, NOUN 
0.2, NUM 
°, NUM 
C, NOUN 
0.3, NUM 
°, NUM 
C, NOUN 
Surprisingly, ADV 

, SPACE 
emissivity, NOUN 
TLC, PROPN 
appear, VERB 
change, VERB 

, SPACE 
surface, NOUN 
colours, NOUN 
changed, VERB 
reason, NOUN 
understood, VERB 

, SPACE 
TLC, PROPN 
calibration, NOUN 
Table, NOUN 
1, NUM 
shows, VERB 
number, NOUN 
pixels, NOUN 

, SPACE 
evaluate, VERB 
hue, NOUN 
average, ADJ 
value, NOUN 
hue, NOUN 

, SPACE 
standard, ADJ 
deviation, NOUN 
measured, VERB 
temperatures, NOUN 
Fig-, PROPN 

, SPACE 
ure, ADJ 
8, NUM 
shows, VERB 
variation, NOUN 
average, ADJ 
hue, NOUN 
temperature, NOUN 

, SPACE 
measured, VERB 
thermocouple, NUM 
uncertainty, NOUN 

, SPACE 
hue, NOUN 
based, VERB 
standard, ADJ 
deviations, NOUN 
2~, PROPN 

, SPACE 
pointed, VERB 
owing, VERB 
large, ADJ 
number, NOUN 
data, NOUN 
>, X 
104, NUM 

, SPACE 
determining, VERB 
average, ADJ 
hue, NOUN 
value, NOUN 
temperature, NOUN 

, SPACE 
95, NUM 
confidence, NOUN 
interval, NOUN 
average, NOUN 
equivalent, ADJ 

, SPACE 
+, NUM 
0.005, NUM 
°, NUM 
C, NOUN 
2tr, ADJ 
uncertainty, NOUN 
meaningful, ADJ 

, SPACE 
single, ADJ 
hue, NOUN 
value, NOUN 
determine, VERB 
temperature, NOUN 

, SPACE 
case, NOUN 
uncertainty, NOUN 
+0.4, ADJ 
°, NOUN 
C, NOUN 
practical, ADJ 

, SPACE 
cases, NOUN 
averaging, VERB 
large, ADJ 
number, NOUN 
data, NOUN 
reduces, VERB 
uncer-, NOUN 

, SPACE 
tainty, NOUN 
negligible, ADJ 
quantity, NOUN 

, SPACE 
remembered, VERB 
copper, NOUN 
block, NOUN 
provides, VERB 

, SPACE 
isothermal, ADJ 
surface, NOUN 
principle, NOUN 
monochromatic, ADJ 
How-, X 

, SPACE 
Table, PROPN 
1, NUM 
Calibration, NOUN 
IR, PROPN 
thermal, ADJ 
imager, ADJ 
s=, PROPN 
0.96, NUM 
TLC, PROPN 
copper, NOUN 
block, NOUN 
apparatus, NOUN 

, SPACE 
Thermocouple, PROPN 

, SPACE 
temperature, NOUN 
°, NUM 
C, NOUN 
IR, PROPN 
temperature, NOUN 
°, NOUN 
C, NOUN 
TLC, PROPN 
calibration, NOUN 

, SPACE 
Number, PROPN 
pixels, VERB 
Average, ADJ 
value, NOUN 
Standard, PROPN 

, SPACE 
hue, NOUN 
deviation, NOUN 
~r, PUNCT 

, SPACE 
47.5, NUM 
47.4, NUM 
42389, NUM 
9.6, NUM 
2.4, NUM 

, SPACE 
48.5, NUM 
48.5, NUM 
49263, NUM 
59.3, NUM 
3.6, NUM 

, SPACE 
49.5, NUM 
49.6, NUM 
36566, NUM 
78.3, NUM 
2.5, NUM 

, SPACE 
50.6, NUM 
50.6, NUM 
33538, NUM 
90.7, NUM 
2.2, NUM 

, SPACE 
51.5, NUM 
51.5, NUM 
39370, NUM 
98.3, NUM 
2.2, NUM 

, SPACE 
52.4, NUM 
52.4, NUM 
46706, NUM 
107.2, NUM 
2.2, NUM 

, SPACE 
53.5, NUM 
53.8, NUM 
51938, NUM 
119.2, NUM 
2.2, NUM 

, SPACE 
55.0, NUM 
55.0, NUM 
50897, NUM 
135.3, NUM 
1.8, NUM 

, SPACE 
56.7, NUM 
56.7, NUM 
36018, NUM 
148.0, NUM 
1.1, NUM 

, SPACE 
58.3, NUM 
58.5, NUM 
19604, NUM 
156.1, NUM 
0.8, NUM 

, SPACE 
496, NUM 
Int, PROPN 
J., PROPN 
Heat, PROPN 
Fluid, PROPN 
Flow, PROPN 
Vol, PROPN 
17, NUM 
5, NUM 
October, PROPN 
1996, NUM 


, SPACE 
160-, NUM 

, SPACE 
i., PROPN 
~, PUNCT 
140-, NUM 

, SPACE 
120-, NUM 

, SPACE 
80-, NUM 
Jr, PROPN 

, SPACE 
60-, X 

, SPACE 
40-, X 

, SPACE 
20-, NUM 

, SPACE 
0, NUM 

, SPACE 
47, NUM 
48, NUM 
49, NUM 
50, NUM 
511, NUM 
52, NUM 
513, NUM 
54, NUM 
55, NUM 
56, NUM 
57, NUM 
518, NUM 
59, NUM 

, SPACE 
thcm, NOUN 
~, PUNCT 
ocoup~, PROPN 
temperature, NOUN 
C, NOUN 

, SPACE 
Figure, PROPN 
8, NUM 
Variation, PROPN 
TLC, PROPN 
hue, NOUN 
temperature, NOUN 
measured, VERB 

, SPACE 
thermocouple, PRON 
copper, NOUN 
block, NOUN 

, SPACE 
temperature, NOUN 
rotating, VERB 
disc, NOUN 
varies, VERB 
radius, NOUN 

, SPACE 
complete, ADJ 
spectrum, NOUN 
colours, NOUN 
appear, VERB 
field, NOUN 
of-, NOUN 

, SPACE 
view, NOUN 
discussed, VERB 
Section, NOUN 
4.2, NUM 
colour, ADJ 
balance, NOUN 
circuits, NOUN 

, SPACE 
video, NOUN 
hardware, NOUN 
create, VERB 
bias, NOUN 
recorded, ADJ 
colour, NOUN 

, SPACE 
adding, VERB 
uncertainty, NOUN 
measurement, NOUN 
temperature, NOUN 

, SPACE 
TLC, PROPN 

, SPACE 
4.2, NUM 
Temperature, NOUN 
measurement, NOUN 
rotating, VERB 
disc, NOUN 

, SPACE 
video, NOUN 
camera, NOUN 
IR, PROPN 
scanner, NOUN 
lighting, NOUN 
set, VERB 
shown, VERB 

, SPACE 
Figure, NOUN 
5, NUM 
measurements, NOUN 
rotational, ADJ 
speeds, NOUN 

, SPACE 
1000, NUM 
7000, NUM 
rpm, NOUN 
increments, NOUN 
1000, NUM 
rpm, NOUN 

, SPACE 
coated, ADJ 
ring, NOUN 
disc, NOUN 
extended, VERB 
225, NUM 
<, X 
r, NOUN 
<, X 
285, NUM 
mm, PROPN 

, SPACE 
speeds, NOUN 
gave, VERB 
rise, NOUN 
centripetal, ADJ 
accelerations, NOUN 
250, NUM 

, SPACE 
15,600, NUM 
g, NOUN 
g, PROPN 
acceleration, NOUN 
gravity, NOUN 
case, NOUN 

, SPACE 
time, NOUN 
dependent, ADJ 
systematic, ADJ 
errors, NOUN 

, SPACE 
confused, ADJ 
effects, NOUN 
rotational, ADJ 
speed, NOUN 
high, ADJ 
speed, NOUN 

, SPACE 
low, ADJ 
speed, NOUN 
tests, NOUN 
carried, VERB 
alternately, ADV 

, SPACE 
rising, VERB 
falling, VERB 
sequence, NOUN 
speeds, NOUN 

, SPACE 
Figure, NOUN 
9, NUM 
shows, VERB 
variation, NOUN 
hue, NOUN 
obtained, VERB 

, SPACE 
video, NOUN 
recording, NOUN 
TLC, PROPN 
described, VERB 
temper-, X 

, SPACE 
ature, NOUN 
disc, NOUN 
measured, VERB 
IR, PROPN 
imager, ADJ 
Despite, SCONJ 
scatter, NOUN 

, SPACE 
160-, NUM 

, SPACE 
140-, NUM 

, SPACE 
120-, NUM 

, SPACE 
100-, NUM 

, SPACE 

, SPACE 
40-, PROPN 

, SPACE 
0, NUM 

, SPACE 
47, NUM 
.~.4, PROPN 
<, X 
~, PUNCT 
>, X 

, SPACE 
z-, X 

, SPACE 
4, NUM 

, SPACE 
/Z, PUNCT 
f, PROPN 
1000, NUM 
rzv, NOUN 
miu, PROPN 

, SPACE 
7.~, NOUN 
2000, NUM 
~tmia, PUNCT 

, SPACE 
~, PUNCT 
~,~'/, PUNCT 
40~0, NUM 
rev, PROPN 
min, PROPN 

, SPACE 
